|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1509.09        2500.00                 NaN            NaN   98.8898                 NaN            NaN            NaN  0.493296       0.616944                 NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN            NaN   98.8567                 NaN            NaN            NaN  0.459822       0.683487                 NaN            NaN            NaN            NaN            NaN
  1505.95        2500.00                 NaN            NaN   98.8673                 NaN            NaN            NaN  0.676815       0.455866                 NaN            NaN            NaN            NaN            NaN
  1504.39        2500.00                 NaN            NaN   98.8812                 NaN            NaN            NaN  0.669672       0.449149                 NaN            NaN            NaN            NaN            NaN
  1502.82        2500.00                 NaN            NaN   98.8921                 NaN  0.266991E-004            NaN  0.443840       0.664029                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00                 NaN            NaN   97.4718                 NaN  0.826665E-001            NaN  0.877682        1.56782                 NaN            NaN            NaN            NaN            NaN
  1499.69        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.12        2500.00                 NaN            NaN   99.3114                 NaN  0.234531E-001            NaN  0.422899       0.242289                 NaN            NaN            NaN            NaN            NaN
  1496.55        2500.00                 NaN            NaN   98.9392                 NaN  0.339658E-001            NaN  0.651108       0.375704                 NaN            NaN            NaN            NaN            NaN
  1494.99        2500.00                 NaN            NaN   98.9527                 NaN  0.317681E-001            NaN  0.641873       0.373676                 NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN            NaN   98.9665                 NaN  0.312496E-001            NaN  0.634221       0.368079                 NaN            NaN            NaN            NaN            NaN
  1491.85        2500.00                 NaN            NaN   98.9729                 NaN  0.296488E-001            NaN  0.630378       0.367123                 NaN            NaN            NaN            NaN            NaN
  1490.29        2500.00                 NaN            NaN   98.9830                 NaN  0.283314E-001            NaN  0.624194       0.364492                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN            NaN   98.9923                 NaN  0.270695E-001            NaN  0.618015       0.362603                 NaN            NaN            NaN            NaN            NaN
  1487.16        2500.00                 NaN            NaN   99.0023                 NaN  0.256232E-001            NaN  0.611416       0.360647                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN            NaN   99.0109                 NaN  0.244341E-001            NaN  0.358639       0.606068                 NaN            NaN            NaN            NaN            NaN
  1484.02        2500.00                 NaN            NaN   99.0201                 NaN  0.233672E-001            NaN  0.355025       0.601523                 NaN            NaN            NaN            NaN            NaN
  1482.46        2500.00                 NaN            NaN   99.0220       0.164353E-001  0.215711E-001            NaN  0.600014       0.339975                 NaN            NaN            NaN            NaN            NaN
  1480.89        2500.00                 NaN            NaN   99.0466                 NaN  0.204834E-001            NaN  0.349987       0.582881                 NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00                 NaN            NaN   99.0469                 NaN  0.195941E-001            NaN  0.583407       0.350119                 NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN            NaN   99.0544                 NaN  0.186384E-001            NaN  0.579218       0.347776                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00                 NaN            NaN   99.0621                 NaN  0.175513E-001            NaN  0.346259       0.574111                 NaN            NaN            NaN            NaN            NaN
  1474.62        2500.00                 NaN            NaN   99.0703                 NaN  0.165115E-001            NaN  0.343945       0.569224                 NaN            NaN            NaN            NaN            NaN
  1473.06        2500.00                 NaN            NaN   99.0788                 NaN  0.153768E-001            NaN  0.341470       0.564368                 NaN            NaN            NaN            NaN            NaN
  1471.49        2500.00                 NaN            NaN   99.0851                 NaN  0.144532E-001            NaN  0.340189       0.560210                 NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN            NaN   99.0925                 NaN  0.134874E-001            NaN  0.555901       0.338072                 NaN            NaN            NaN            NaN            NaN
  1468.36        2500.00                 NaN            NaN   99.1014                 NaN  0.122910E-001            NaN  0.550723       0.335548                 NaN            NaN            NaN            NaN            NaN
  1466.79        2500.00                 NaN            NaN   99.2643                 NaN  0.102591E-001            NaN  0.451027       0.274461                 NaN            NaN            NaN            NaN            NaN
  1465.23        2500.00                 NaN            NaN   98.9549                 NaN  0.122421E-001            NaN  0.640668       0.392161                 NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00                 NaN            NaN   99.1165                 NaN  0.951868E-002            NaN  0.541110       0.332878                 NaN            NaN            NaN            NaN            NaN
  1462.09        2500.00                 NaN            NaN   99.1348                 NaN  0.863121E-002            NaN  0.325610       0.530969                 NaN            NaN            NaN            NaN            NaN
  1460.53        2500.00                 NaN            NaN   99.1347                 NaN  0.779572E-002            NaN  0.326642       0.530883                 NaN            NaN            NaN            NaN            NaN
  1458.96        2500.00                 NaN            NaN   99.1402                 NaN  0.703157E-002            NaN  0.527586       0.325139                 NaN            NaN            NaN            NaN            NaN
  1457.39        2500.00                 NaN            NaN   99.1443                 NaN  0.673949E-002            NaN  0.322981       0.526012                 NaN            NaN            NaN            NaN            NaN
  1455.83        2500.00                 NaN            NaN   99.1576                 NaN  0.456060E-002            NaN  0.321612       0.516200                 NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00                 NaN            NaN   99.1596                 NaN  0.435608E-002            NaN  0.516734       0.319318                 NaN            NaN            NaN            NaN            NaN
  1452.69        2500.00                 NaN            NaN   99.1649                 NaN  0.363408E-002            NaN  0.513767       0.317714                 NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00                 NaN            NaN   99.1708                 NaN  0.283898E-002            NaN  0.510184       0.316177                 NaN            NaN            NaN            NaN            NaN
  1449.56        2500.00                 NaN            NaN   98.7771                 NaN  0.570108E-001            NaN  0.406182       0.552170       0.207521                 NaN            NaN            NaN            NaN
  1447.99        2500.00                 NaN            NaN   97.6851                 NaN  0.211517                 NaN  0.667535       0.651447       0.784383                 NaN            NaN            NaN            NaN
  1446.43        2500.00                 NaN            NaN   97.7408                 NaN  0.208773                 NaN  0.652484       0.632176       0.765780                 NaN            NaN            NaN            NaN
  1444.86        2500.00                 NaN            NaN   97.7487                 NaN  0.211823                 NaN  0.645405       0.627895       0.766225                 NaN            NaN            NaN            NaN
  1443.30        2500.00                 NaN            NaN   97.8784                 NaN  0.200694                 NaN  0.584838       0.617279       0.718771                 NaN            NaN            NaN            NaN
  1441.73        2500.00                 NaN            NaN   97.8875                 NaN  0.202861                 NaN  0.613853       0.578126       0.717661                 NaN            NaN            NaN            NaN
  1440.16        2500.00                 NaN            NaN   97.9289                 NaN  0.201736                 NaN  0.602958       0.562215       0.704240                 NaN            NaN            NaN            NaN
  1438.60        2500.00                 NaN            NaN   97.9753                 NaN  0.199616                 NaN  0.590378       0.545673       0.689022                 NaN            NaN            NaN            NaN
  1437.03        2500.00                 NaN            NaN   98.0157                 NaN  0.198081                 NaN  0.577937       0.532016       0.676229                 NaN            NaN            NaN            NaN
  1435.46        2500.00                 NaN            NaN   98.0553                 NaN  0.196670                 NaN  0.568901       0.516191       0.662977                 NaN            NaN            NaN            NaN
  1433.90        2500.00                 NaN            NaN   98.0977                 NaN  0.194444                 NaN  0.557612       0.501304       0.648918                 NaN            NaN            NaN            NaN
  1432.33        2500.00                 NaN            NaN   98.1347                 NaN  0.193594                 NaN  0.487823       0.546684       0.637239                 NaN            NaN            NaN            NaN
  1430.76        2500.00                 NaN            NaN   98.1730                 NaN  0.191047                 NaN  0.537251       0.474960       0.623761                 NaN            NaN            NaN            NaN
  1429.20        2500.00                 NaN            NaN   98.2052                 NaN  0.190514                 NaN  0.528836       0.461852       0.613627                 NaN            NaN            NaN            NaN
  1427.63        2500.00                 NaN            NaN   98.2406                 NaN  0.188691                 NaN  0.449976       0.518703       0.602065                 NaN            NaN            NaN            NaN
  1426.07        2500.00                 NaN            NaN   98.2735                 NaN  0.187524                 NaN  0.509979       0.437812       0.591151                 NaN            NaN            NaN            NaN
  1424.50        2500.00                 NaN            NaN   98.3041                 NaN  0.186603                 NaN  0.425941       0.502049       0.581264                 NaN            NaN            NaN            NaN
  1422.93        2500.00                 NaN            NaN   98.3416                 NaN  0.183931                 NaN  0.491558       0.414557       0.568347                 NaN            NaN            NaN            NaN
  1421.37        2500.00                 NaN            NaN   98.3664                 NaN  0.183890                 NaN  0.485201       0.404072       0.560463                 NaN            NaN            NaN            NaN
  1419.80        2500.00                 NaN            NaN   98.3968                 NaN  0.182319                 NaN  0.393754       0.477037       0.550111                 NaN            NaN            NaN            NaN
  1418.23        2500.00                 NaN            NaN   98.4252                 NaN  0.181341                 NaN  0.383239       0.469388       0.540783                 NaN            NaN            NaN            NaN
  1416.67        2500.00                 NaN            NaN   98.4534                 NaN  0.179663                 NaN  0.374201       0.461454       0.531259                 NaN            NaN            NaN            NaN
  1415.10        2500.00                 NaN            NaN   98.4795                 NaN  0.178906                 NaN  0.364016       0.454963       0.522603                 NaN            NaN            NaN            NaN
  1413.53        2500.00                 NaN            NaN   98.5049                 NaN  0.177994                 NaN  0.448469       0.354674       0.513966                 NaN            NaN            NaN            NaN
  1411.97        2500.00                 NaN            NaN   98.5316                 NaN  0.176451                 NaN  0.345935       0.440907       0.505088                 NaN            NaN            NaN            NaN
  1410.40        2500.00                 NaN            NaN   98.5555                 NaN  0.175594                 NaN  0.434519       0.337276       0.497142                 NaN            NaN            NaN            NaN
  1408.83        2500.00                 NaN            NaN   98.5791                 NaN  0.174720                 NaN  0.328929       0.427929       0.489308                 NaN            NaN            NaN            NaN
  1407.27        2500.00                 NaN            NaN   98.6023                 NaN  0.173454                 NaN  0.321179       0.421484       0.481571                 NaN            NaN            NaN            NaN
  1405.70        2500.00                 NaN            NaN   98.6258                 NaN  0.172322                 NaN  0.312729       0.415494       0.473668                 NaN            NaN            NaN            NaN
  1404.14        2500.00                 NaN            NaN   98.6474                 NaN  0.171449                 NaN  0.305426       0.409402       0.466323                 NaN            NaN            NaN            NaN
  1402.57        2500.00                 NaN            NaN   98.6691                 NaN  0.170536                 NaN  0.403940       0.297383       0.459085                 NaN            NaN            NaN            NaN
  1401.00        2500.00                 NaN            NaN   98.6904                 NaN  0.169147                 NaN  0.397985       0.290728       0.451755                 NaN            NaN            NaN            NaN
  1399.44        2500.00                 NaN            NaN   98.7109                 NaN  0.168366                 NaN  0.283450       0.392273       0.444979                 NaN            NaN            NaN            NaN
  1397.87        2500.00                 NaN            NaN   98.7268                 NaN  0.168504                 NaN  0.388780       0.275929       0.439956                 NaN            NaN            NaN            NaN
  1396.30        2500.00                 NaN            NaN   98.7497                 NaN  0.165590                 NaN  0.271496       0.381829       0.431340                 NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN            NaN   98.7711                 NaN  0.165366                 NaN  0.376420       0.262654       0.424485                 NaN            NaN            NaN            NaN
  1393.17        2500.00                 NaN            NaN   98.7867                 NaN  0.164495                 NaN  0.372240       0.257437       0.419121                 NaN            NaN            NaN            NaN
  1391.60        2500.00                 NaN            NaN   98.8052                 NaN  0.163423                 NaN  0.367044       0.251562       0.412803                 NaN            NaN            NaN            NaN
  1390.04        2500.00                 NaN            NaN   98.8231                 NaN  0.162472                 NaN  0.245595       0.362121       0.406721                 NaN            NaN            NaN            NaN
  1388.47        2500.00                 NaN            NaN   98.8398                 NaN  0.161550                 NaN  0.239855       0.357769       0.401030                 NaN            NaN            NaN            NaN
  1386.90        2500.00                 NaN            NaN   98.8569                 NaN  0.160522                 NaN  0.234654       0.352846       0.395123                 NaN            NaN            NaN            NaN
  1385.34        2500.00                 NaN            NaN   98.8730                 NaN  0.159573                 NaN  0.229155       0.348665       0.389573                 NaN            NaN            NaN            NaN
  1383.77        2500.00                 NaN            NaN   98.8896                 NaN  0.158529                 NaN  0.344094       0.223857       0.383957                 NaN            NaN            NaN            NaN
  1382.21        2500.00                 NaN            NaN   98.9047                 NaN  0.157638                 NaN  0.339964       0.218970       0.378710                 NaN            NaN            NaN            NaN
  1380.64        2500.00                 NaN            NaN   98.9205                 NaN  0.156631                 NaN  0.213949       0.335629       0.373248                 NaN            NaN            NaN            NaN
  1379.07        2500.00                 NaN            NaN   98.9347                 NaN  0.155743                 NaN  0.331768       0.209369       0.368440                 NaN            NaN            NaN            NaN
  1377.51        2500.00                 NaN            NaN   98.9488                 NaN  0.154294                 NaN  0.205822       0.327724       0.363356                 NaN            NaN            NaN            NaN
  1375.94        2500.00                 NaN            NaN   98.9644                 NaN  0.153820                 NaN  0.323510       0.199924       0.358298                 NaN            NaN            NaN            NaN
  1374.37        2500.00                 NaN            NaN   98.9776                 NaN  0.152243                 NaN  0.319535       0.197257       0.353331                 NaN            NaN            NaN            NaN
  1372.81        2500.00                 NaN            NaN   98.9916                 NaN  0.151215                 NaN  0.192629       0.316333       0.348258                 NaN            NaN            NaN            NaN
  1371.24        2500.00                 NaN            NaN   99.0047                 NaN  0.150391                 NaN  0.188688       0.312401       0.343821                 NaN            NaN            NaN            NaN
  1369.67        2500.00                 NaN            NaN   99.0182                 NaN  0.149157                 NaN  0.308903       0.184671       0.339100                 NaN            NaN            NaN            NaN
  1368.11        2500.00                 NaN            NaN   99.0303                 NaN  0.148183                 NaN  0.181169       0.305613       0.334776                 NaN            NaN            NaN            NaN
  1366.54        2500.00                 NaN            NaN   99.0433                 NaN  0.147040                 NaN  0.177363       0.302050       0.330204                 NaN            NaN            NaN            NaN
  1364.97        2500.00                 NaN            NaN   99.0509                 NaN  0.147673                 NaN  0.173488       0.299996       0.327908                 NaN            NaN            NaN            NaN
  1363.41        2500.00                 NaN            NaN   99.0724                 NaN  0.143136                 NaN  0.171978       0.293095       0.319412                 NaN            NaN            NaN            NaN
  1361.84        2500.00                 NaN            NaN   99.0789                 NaN  0.143552                 NaN  0.168013       0.292028       0.317531                 NaN            NaN            NaN            NaN
  1360.28        2500.00                 NaN            NaN   99.0835                 NaN  0.143109                 NaN  0.290820       0.166301       0.316313                 NaN            NaN            NaN            NaN
  1358.71        2500.00                 NaN            NaN   99.1080                 NaN  0.140041                 NaN  0.161121       0.284164       0.306640                 NaN            NaN            NaN            NaN
  1357.14        2500.00                 NaN            NaN   99.1127                 NaN  0.139724                 NaN  0.159955       0.282280       0.305332                 NaN            NaN            NaN            NaN
  1355.58        2500.00                 NaN            NaN   99.1233                 NaN  0.138565                 NaN  0.157342       0.279225       0.301558                 NaN            NaN            NaN            NaN
  1354.01        2500.00                 NaN            NaN   99.1341                 NaN  0.137314                 NaN  0.276059       0.154876       0.297646                 NaN            NaN            NaN            NaN
  1352.44        2500.00                 NaN            NaN   99.1447                 NaN  0.135988                 NaN  0.272696       0.152698       0.293925                 NaN            NaN            NaN            NaN
  1350.88        2500.00                 NaN            NaN   99.1540                 NaN  0.134480                 NaN  0.270153       0.151056       0.290263                 NaN            NaN            NaN            NaN
  1349.31        2500.00                 NaN            NaN   99.1641                 NaN  0.133093                 NaN  0.148872       0.267276       0.286669                 NaN            NaN            NaN            NaN
  1347.74        2500.00                 NaN            NaN   99.1723                 NaN  0.131993                 NaN  0.147430       0.264528       0.283723                 NaN            NaN            NaN            NaN
  1346.18        2500.00                 NaN            NaN   99.1843                 NaN  0.130129                 NaN  0.260951       0.145460       0.279144                 NaN            NaN            NaN            NaN
  1344.61        2500.00                 NaN            NaN   99.1929                 NaN  0.128774                 NaN  0.143888       0.258464       0.276001                 NaN            NaN            NaN            NaN
  1343.05        2500.00                 NaN            NaN   99.2019                 NaN  0.127451                 NaN  0.142258       0.255718       0.272696                 NaN            NaN            NaN            NaN
  1341.48        2500.00                 NaN            NaN   99.2103                 NaN  0.125896                 NaN  0.252957       0.141330       0.269554                 NaN            NaN            NaN            NaN
  1339.91        2500.00                 NaN            NaN   99.2200                 NaN  0.124300                 NaN  0.250103       0.139650       0.265921                 NaN            NaN            NaN            NaN
  1338.35        2500.00                 NaN            NaN   99.2282                 NaN  0.122906                 NaN  0.138622       0.247452       0.262866                 NaN            NaN            NaN            NaN
  1336.78        2500.00                 NaN            NaN   99.2360                 NaN  0.121280                 NaN  0.137941       0.244976       0.259788                 NaN            NaN            NaN            NaN
  1335.21        2500.00                 NaN            NaN   99.2449                 NaN  0.119478                 NaN  0.241783       0.137362       0.256496                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN            NaN   99.2523                 NaN  0.118678                 NaN  0.239651       0.135552       0.253838                 NaN            NaN            NaN            NaN
  1332.08        2500.00                 NaN            NaN   99.2604                 NaN  0.115538                 NaN  0.236036       0.137703       0.250327                 NaN            NaN            NaN            NaN
  1330.51        2500.00                 NaN            NaN   99.2684                 NaN  0.114615                 NaN  0.135489       0.233872       0.247600                 NaN            NaN            NaN            NaN
  1328.95        2500.00                 NaN            NaN   99.2767                 NaN  0.113108                 NaN  0.134385       0.231401       0.244433                 NaN            NaN            NaN            NaN
  1327.38        2500.00                 NaN            NaN   99.2833                 NaN  0.110903                 NaN  0.228727       0.135337       0.241712                 NaN            NaN            NaN            NaN
