|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.25/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1604.64        2500.00                 NaN            NaN   99.1362       0.781025       0.827454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.07        2500.00                 NaN            NaN   99.0849       0.829133       0.859182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00                 NaN            NaN   99.0996       0.815023       0.853512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.94        2500.00                 NaN            NaN   99.0776       0.836889       0.854906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00                 NaN            NaN   99.1413       0.779164       0.795837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.80        2500.00                 NaN            NaN   99.1238       0.794006       0.821822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.24        2500.00                 NaN            NaN   99.1331       0.791573       0.752860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.67        2500.00                 NaN            NaN   99.1397       0.775939       0.843571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN            NaN   99.1373       0.784997       0.776725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.54        2500.00                 NaN            NaN   99.1666       0.756472       0.769564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN            NaN   99.1638       0.760709       0.754771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.41        2500.00                 NaN            NaN   99.1717       0.753765       0.745703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN            NaN   99.1785       0.748055       0.734234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.27        2500.00                 NaN            NaN   99.1873       0.740606       0.721377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.71        2500.00                 NaN            NaN   99.1938       0.735520       0.707232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.14        2500.00                 NaN            NaN   99.2004       0.728225       0.714197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.57        2500.00                 NaN            NaN   99.2088       0.722847       0.683580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.01        2500.00                 NaN            NaN   99.2144       0.719001       0.665601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN            NaN   99.2215       0.712471       0.660502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.87        2500.00                 NaN            NaN   99.2274       0.706641       0.659093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.31        2500.00                 NaN            NaN   99.2358       0.699158       0.650877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.74        2500.00                 NaN            NaN   99.2393       0.695582       0.651410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.18        2500.00                 NaN            NaN   99.2481       0.689881       0.619949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.61        2500.00                 NaN            NaN   99.2590       0.680279       0.606771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.04        2500.00                 NaN            NaN   99.2581       0.683359       0.585266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.48        2500.00                 NaN            NaN   99.2666       0.674568       0.587922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00                 NaN            NaN   98.6778        1.22096       0.101257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.34        2500.00                 NaN            NaN   99.8742       0.115541       0.102832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.78        2500.00                 NaN            NaN   99.2841       0.659326       0.565907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.21        2500.00                 NaN            NaN   99.2878       0.658039       0.541835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN            NaN   99.2925       0.653327       0.541834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.08        2500.00                 NaN            NaN   99.3043       0.641164       0.544911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        2500.00                 NaN            NaN   99.3028       0.647793       0.493704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.94        2500.00                 NaN            NaN   97.8202        2.01193       0.167834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.81        2500.00                 NaN            NaN   99.9654       0.345785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00                 NaN            NaN   99.5230       0.449261       0.277565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN            NaN   99.3288       0.625626       0.455764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN            NaN   99.3350       0.620267       0.446960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.55        2500.00                 NaN            NaN   99.1447       0.800215       0.551266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        2500.00                 NaN            NaN   99.5379       0.430949       0.311731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.41        2500.00                 NaN            NaN   99.3486       0.608841       0.426076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00                 NaN            NaN   99.3532       0.605965       0.408826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.28        2500.00                 NaN            NaN   99.3566       0.603574       0.398319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00                 NaN            NaN   99.3607       0.599966       0.392887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.15        2500.00                 NaN            NaN   99.3659       0.595830       0.382284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.58        2500.00                 NaN            NaN   99.3709       0.591084       0.379856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.02        2500.00                 NaN            NaN   99.3723       0.591447       0.362187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        2500.00                 NaN            NaN   99.3781       0.586840       0.350512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.88        2500.00                 NaN            NaN   99.3810       0.584901       0.340551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00                 NaN            NaN   99.3839       0.587978       0.280985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00                 NaN            NaN   99.3877       0.576080       0.361856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.18        2500.00                 NaN            NaN   99.5555       0.421280       0.231952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN            NaN   99.2292       0.733349       0.374223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.05        2500.00                 NaN            NaN   99.3984       0.572117       0.295001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.48        2500.00                 NaN            NaN   99.1030       0.867158       0.298655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        2500.00                 NaN            NaN   99.7485       0.178145       0.308518E-001            NaN  0.425116E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.35        2500.00                 NaN            NaN   99.1731       0.258678       0.179804E-001            NaN  0.550244                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00                 NaN            NaN   99.1859                 NaN            NaN            NaN  0.814067                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.22        2500.00                 NaN            NaN   99.1675                 NaN            NaN            NaN  0.832521                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.65        2500.00                 NaN            NaN   99.1267                 NaN            NaN            NaN  0.811295       0.619566E-001            NaN            NaN            NaN            NaN            NaN
  1509.09        2500.00                 NaN            NaN   98.7378                 NaN            NaN            NaN  0.561996       0.700162                 NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN            NaN   98.7001                 NaN            NaN            NaN  0.524064       0.775868                 NaN            NaN            NaN            NaN            NaN
  1505.95        2500.00                 NaN            NaN   98.7116                 NaN            NaN            NaN  0.768571       0.519831                 NaN            NaN            NaN            NaN            NaN
  1504.39        2500.00                 NaN            NaN   98.7268                 NaN            NaN            NaN  0.760818       0.512419                 NaN            NaN            NaN            NaN            NaN
  1502.82        2500.00                 NaN            NaN   98.7387                 NaN  0.316019E-004            NaN  0.506600       0.754694                 NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00                 NaN            NaN   97.1214                 NaN  0.978476E-001            NaN   1.00075        1.78002                 NaN            NaN            NaN            NaN            NaN
  1499.69        2500.00                 NaN            NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.12        2500.00                 NaN            NaN   99.2135                 NaN  0.278312E-001            NaN  0.481523       0.277164                 NaN            NaN            NaN            NaN            NaN
  1496.55        2500.00                 NaN            NaN   98.7887                 NaN  0.403071E-001            NaN  0.741246       0.429763                 NaN            NaN            NaN            NaN            NaN
  1494.99        2500.00                 NaN            NaN   98.8037                 NaN  0.377277E-001            NaN  0.730971       0.427616                 NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN            NaN   98.8187                 NaN  0.371478E-001            NaN  0.722636       0.421504                 NaN            NaN            NaN            NaN            NaN
  1491.85        2500.00                 NaN            NaN   98.8255                 NaN  0.352686E-001            NaN  0.718618       0.420648                 NaN            NaN            NaN            NaN            NaN
  1490.29        2500.00                 NaN            NaN   98.8365                 NaN  0.337244E-001            NaN  0.711901       0.417908                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN            NaN   98.8467                 NaN  0.322485E-001            NaN  0.705128       0.415950                 NaN            NaN            NaN            NaN            NaN
  1487.16        2500.00                 NaN            NaN   98.8576                 NaN  0.305438E-001            NaN  0.697907       0.413931                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00                 NaN            NaN   98.8669                 NaN  0.291504E-001            NaN  0.411862       0.692112                 NaN            NaN            NaN            NaN            NaN
  1484.02        2500.00                 NaN            NaN   98.8769                 NaN  0.279028E-001            NaN  0.407958       0.687286                 NaN            NaN            NaN            NaN            NaN
  1482.46        2500.00                 NaN            NaN   98.8788       0.190006E-001  0.257549E-001            NaN  0.685731       0.390758                 NaN            NaN            NaN            NaN            NaN
  1480.89        2500.00                 NaN            NaN   98.9062                 NaN  0.244973E-001            NaN  0.402653       0.666622                 NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00                 NaN            NaN   98.9061                 NaN  0.234483E-001            NaN  0.667422       0.402986                 NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00                 NaN            NaN   98.9141                 NaN  0.223241E-001            NaN  0.662982       0.400561                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00                 NaN            NaN   98.9225                 NaN  0.210362E-001            NaN  0.399050       0.657426                 NaN            NaN            NaN            NaN            NaN
  1474.62        2500.00                 NaN            NaN   98.9315                 NaN  0.198079E-001            NaN  0.396592       0.652117                 NaN            NaN            NaN            NaN            NaN
  1473.06        2500.00                 NaN            NaN   98.9407                 NaN  0.184604E-001            NaN  0.393995       0.646895                 NaN            NaN            NaN            NaN            NaN
  1471.49        2500.00                 NaN            NaN   98.9475                 NaN  0.173646E-001            NaN  0.392704       0.642451                 NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN            NaN   98.9554                 NaN  0.162183E-001            NaN  0.637785       0.390547                 NaN            NaN            NaN            NaN            NaN
  1468.36        2500.00                 NaN            NaN   98.9652                 NaN  0.147911E-001            NaN  0.632137       0.387859                 NaN            NaN            NaN            NaN            NaN
  1466.79        2500.00                 NaN            NaN   99.1518                 NaN  0.123634E-001            NaN  0.518177       0.317658                 NaN            NaN            NaN            NaN            NaN
  1465.23        2500.00                 NaN            NaN   98.7955                 NaN  0.147533E-001            NaN  0.735945       0.453753                 NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00                 NaN            NaN   98.9811                 NaN  0.114840E-001            NaN  0.622008       0.385440                 NaN            NaN            NaN            NaN            NaN
  1462.09        2500.00                 NaN            NaN   99.0015                 NaN  0.104217E-001            NaN  0.377327       0.610709                 NaN            NaN            NaN            NaN            NaN
  1460.53        2500.00                 NaN            NaN   99.0010                 NaN  0.942049E-002            NaN  0.378727       0.610883                 NaN            NaN            NaN            NaN            NaN
  1458.96        2500.00                 NaN            NaN   99.0068                 NaN  0.850425E-002            NaN  0.607436       0.377269                 NaN            NaN            NaN            NaN            NaN
  1457.39        2500.00                 NaN            NaN   99.0111                 NaN  0.815963E-002            NaN  0.374937       0.605807                 NaN            NaN            NaN            NaN            NaN
  1455.83        2500.00                 NaN            NaN   99.0260                 NaN  0.552531E-002            NaN  0.373630       0.594890                 NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00                 NaN            NaN   99.0277                 NaN  0.528213E-002            NaN  0.595830       0.371190                 NaN            NaN            NaN            NaN            NaN
  1452.69        2500.00                 NaN            NaN   99.0333                 NaN  0.440943E-002            NaN  0.592721       0.369562                 NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00                 NaN            NaN   99.0396                 NaN  0.344809E-002            NaN  0.588894       0.368012                 NaN            NaN            NaN            NaN            NaN
  1449.56        2500.00                 NaN            NaN   98.6206                 NaN  0.692994E-001            NaN  0.472994       0.637557       0.199535                 NaN            NaN            NaN            NaN
  1447.99        2500.00                 NaN            NaN   97.4589                 NaN  0.257447                 NaN  0.770841       0.758860       0.753953                 NaN            NaN            NaN            NaN
  1446.43        2500.00                 NaN            NaN   97.5177                 NaN  0.254570                 NaN  0.754121       0.737216       0.736404                 NaN            NaN            NaN            NaN
  1444.86        2500.00                 NaN            NaN   97.5244                 NaN  0.258751                 NaN  0.746376       0.733318       0.737148                 NaN            NaN            NaN            NaN
  1443.30        2500.00                 NaN            NaN   97.6642                 NaN  0.245720                 NaN  0.683544       0.714708       0.691870                 NaN            NaN            NaN            NaN
  1441.73        2500.00                 NaN            NaN   97.6722                 NaN  0.248812                 NaN  0.711371       0.676460       0.691111                 NaN            NaN            NaN            NaN
  1440.16        2500.00                 NaN            NaN   97.7155                 NaN  0.247968                 NaN  0.699396       0.658612       0.678520                 NaN            NaN            NaN            NaN
  1438.60        2500.00                 NaN            NaN   97.7646                 NaN  0.245818                 NaN  0.685441       0.639961       0.664197                 NaN            NaN            NaN            NaN
  1437.03        2500.00                 NaN            NaN   97.8071                 NaN  0.244409                 NaN  0.671623       0.624674       0.652202                 NaN            NaN            NaN            NaN
  1435.46        2500.00                 NaN            NaN   97.8486                 NaN  0.243159                 NaN  0.661701       0.606737       0.639758                 NaN            NaN            NaN            NaN
  1433.90        2500.00                 NaN            NaN   97.8934                 NaN  0.240867                 NaN  0.649240       0.589962       0.626530                 NaN            NaN            NaN            NaN
  1432.33        2500.00                 NaN            NaN   97.9325                 NaN  0.240261                 NaN  0.574642       0.637016       0.615592                 NaN            NaN            NaN            NaN
  1430.76        2500.00                 NaN            NaN   97.9726                 NaN  0.237608                 NaN  0.626664       0.560258       0.602906                 NaN            NaN            NaN            NaN
  1429.20        2500.00                 NaN            NaN   98.0062                 NaN  0.237442                 NaN  0.617466       0.545453       0.593446                 NaN            NaN            NaN            NaN
  1427.63        2500.00                 NaN            NaN   98.0435                 NaN  0.235615                 NaN  0.532015       0.606230       0.582601                 NaN            NaN            NaN            NaN
  1426.07        2500.00                 NaN            NaN   98.0781                 NaN  0.234654                 NaN  0.596632       0.518250       0.572376                 NaN            NaN            NaN            NaN
  1424.50        2500.00                 NaN            NaN   98.1103                 NaN  0.233855                 NaN  0.504747       0.587956       0.563137                 NaN            NaN            NaN            NaN
  1422.93        2500.00                 NaN            NaN   98.1500                 NaN  0.231047                 NaN  0.576183       0.491859       0.550957                 NaN            NaN            NaN            NaN
  1421.37        2500.00                 NaN            NaN   98.1756                 NaN  0.231471                 NaN  0.569309       0.480000       0.543644                 NaN            NaN            NaN            NaN
  1419.80        2500.00                 NaN            NaN   98.2074                 NaN  0.230001                 NaN  0.468353       0.560349       0.533935                 NaN            NaN            NaN            NaN
  1418.23        2500.00                 NaN            NaN   98.2373                 NaN  0.229181                 NaN  0.456358       0.551898       0.525213                 NaN            NaN            NaN            NaN
  1416.67        2500.00                 NaN            NaN   98.2669                 NaN  0.227561                 NaN  0.446143       0.543114       0.516292                 NaN            NaN            NaN            NaN
  1415.10        2500.00                 NaN            NaN   98.2942                 NaN  0.227056                 NaN  0.434532       0.536030       0.508208                 NaN            NaN            NaN            NaN
  1413.53        2500.00                 NaN            NaN   98.3208                 NaN  0.226335                 NaN  0.528881       0.423870       0.500136                 NaN            NaN            NaN            NaN
  1411.97        2500.00                 NaN            NaN   98.3488                 NaN  0.224842                 NaN  0.413964       0.520554       0.491823                 NaN            NaN            NaN            NaN
  1410.40        2500.00                 NaN            NaN   98.3738                 NaN  0.224228                 NaN  0.513525       0.404078       0.484410                 NaN            NaN            NaN            NaN
  1408.83        2500.00                 NaN            NaN   98.3984                 NaN  0.223597                 NaN  0.394583       0.506275       0.477100                 NaN            NaN            NaN            NaN
  1407.27        2500.00                 NaN            NaN   98.4228                 NaN  0.222413                 NaN  0.385745       0.499203       0.469877                 NaN            NaN            NaN            NaN
  1405.70        2500.00                 NaN            NaN   98.4475                 NaN  0.221399                 NaN  0.376028       0.492624       0.462486                 NaN            NaN            NaN            NaN
  1404.14        2500.00                 NaN            NaN   98.4700                 NaN  0.220729                 NaN  0.367748       0.485874       0.455633                 NaN            NaN            NaN            NaN
  1402.57        2500.00                 NaN            NaN   98.4927                 NaN  0.220012                 NaN  0.479897       0.358492       0.448877                 NaN            NaN            NaN            NaN
  1401.00        2500.00                 NaN            NaN   98.5150                 NaN  0.218686                 NaN  0.473360       0.350901       0.442025                 NaN            NaN            NaN            NaN
  1399.44        2500.00                 NaN            NaN   98.5366                 NaN  0.218105                 NaN  0.342516       0.467044       0.435708                 NaN            NaN            NaN            NaN
  1397.87        2500.00                 NaN            NaN   98.5528                 NaN  0.218821                 NaN  0.463440       0.333811       0.431101                 NaN            NaN            NaN            NaN
  1396.30        2500.00                 NaN            NaN   98.5771                 NaN  0.215464                 NaN  0.328879       0.455600       0.422969                 NaN            NaN            NaN            NaN
  1394.74        2500.00                 NaN            NaN   98.5997                 NaN  0.215548                 NaN  0.449628       0.318574       0.416555                 NaN            NaN            NaN            NaN
  1393.17        2500.00                 NaN            NaN   98.6157                 NaN  0.214873                 NaN  0.445183       0.312674       0.411596                 NaN            NaN            NaN            NaN
  1391.60        2500.00                 NaN            NaN   98.6351                 NaN  0.213921                 NaN  0.439399       0.305897       0.405695                 NaN            NaN            NaN            NaN
  1390.04        2500.00                 NaN            NaN   98.6539                 NaN  0.213119                 NaN  0.299004       0.433943       0.400020                 NaN            NaN            NaN            NaN
  1388.47        2500.00                 NaN            NaN   98.6713                 NaN  0.212347                 NaN  0.292386       0.429233       0.394723                 NaN            NaN            NaN            NaN
  1386.90        2500.00                 NaN            NaN   98.6892                 NaN  0.211441                 NaN  0.286399       0.423785       0.389206                 NaN            NaN            NaN            NaN
  1385.34        2500.00                 NaN            NaN   98.7061                 NaN  0.210607                 NaN  0.280032       0.419223       0.384035                 NaN            NaN            NaN            NaN
  1383.77        2500.00                 NaN            NaN   98.7235                 NaN  0.209653                 NaN  0.414185       0.273896       0.378793                 NaN            NaN            NaN            NaN
  1382.21        2500.00                 NaN            NaN   98.7393                 NaN  0.208862                 NaN  0.409688       0.268248       0.373908                 NaN            NaN            NaN            NaN
  1380.64        2500.00                 NaN            NaN   98.7559                 NaN  0.208015                 NaN  0.262431       0.404894       0.368805                 NaN            NaN            NaN            NaN
  1379.07        2500.00                 NaN            NaN   98.7706                 NaN  0.207261                 NaN  0.400703       0.257142       0.364341                 NaN            NaN            NaN            NaN
  1377.51        2500.00                 NaN            NaN   98.7853                 NaN  0.205742                 NaN  0.253097       0.396266       0.359599                 NaN            NaN            NaN            NaN
  1375.94        2500.00                 NaN            NaN   98.8019                 NaN  0.205522                 NaN  0.391578       0.246136       0.354877                 NaN            NaN            NaN            NaN
  1374.37        2500.00                 NaN            NaN   98.8155                 NaN  0.203852                 NaN  0.387219       0.243191       0.350238                 NaN            NaN            NaN            NaN
  1372.81        2500.00                 NaN            NaN   98.8300                 NaN  0.202925                 NaN  0.237772       0.383775       0.345488                 NaN            NaN            NaN            NaN
  1371.24        2500.00                 NaN            NaN   98.8438                 NaN  0.202202                 NaN  0.233186       0.379418       0.341364                 NaN            NaN            NaN            NaN
  1369.67        2500.00                 NaN            NaN   98.8580                 NaN  0.200957                 NaN  0.375565       0.228487       0.336950                 NaN            NaN            NaN            NaN
  1368.11        2500.00                 NaN            NaN   98.8706                 NaN  0.200069                 NaN  0.224465       0.371974       0.332926                 NaN            NaN            NaN            NaN
  1366.54        2500.00                 NaN            NaN   98.8844                 NaN  0.198910                 NaN  0.219983       0.368074       0.328650                 NaN            NaN            NaN            NaN
  1364.97        2500.00                 NaN            NaN   98.8917                 NaN  0.200110                 NaN  0.215494       0.366040       0.326633                 NaN            NaN            NaN            NaN
  1363.41        2500.00                 NaN            NaN   98.9153                 NaN  0.194403                 NaN  0.213853       0.357978       0.318436                 NaN            NaN            NaN            NaN
  1361.84        2500.00                 NaN            NaN   98.9215                 NaN  0.195387                 NaN  0.209184       0.357080       0.316822                 NaN            NaN            NaN            NaN
  1360.28        2500.00                 NaN            NaN   98.9257                 NaN  0.195187                 NaN  0.355935       0.207270       0.315868                 NaN            NaN            NaN            NaN
  1358.71        2500.00                 NaN            NaN   98.9528                 NaN  0.191436                 NaN  0.201093       0.348248       0.306470                 NaN            NaN            NaN            NaN
  1357.14        2500.00                 NaN            NaN   98.9570                 NaN  0.191347                 NaN  0.199883       0.346328       0.305415                 NaN            NaN            NaN            NaN
  1355.58        2500.00                 NaN            NaN   98.9681                 NaN  0.190157                 NaN  0.196852       0.342964       0.301895                 NaN            NaN            NaN            NaN
  1354.01        2500.00                 NaN            NaN   98.9795                 NaN  0.188809                 NaN  0.339428       0.194010       0.298230                 NaN            NaN            NaN            NaN
  1352.44        2500.00                 NaN            NaN   98.9907                 NaN  0.187347                 NaN  0.335692       0.191517       0.294751                 NaN            NaN            NaN            NaN
  1350.88        2500.00                 NaN            NaN   99.0004                 NaN  0.185663                 NaN  0.332962       0.189688       0.291326                 NaN            NaN            NaN            NaN
  1349.31        2500.00                 NaN            NaN   99.0110                 NaN  0.184132                 NaN  0.187171       0.329781       0.287963                 NaN            NaN            NaN            NaN
  1347.74        2500.00                 NaN            NaN   99.0194                 NaN  0.182984                 NaN  0.185602       0.326784       0.285247                 NaN            NaN            NaN            NaN
  1346.18        2500.00                 NaN            NaN   99.0324                 NaN  0.180720                 NaN  0.322698       0.183316       0.280884                 NaN            NaN            NaN            NaN
  1344.61        2500.00                 NaN            NaN   99.0413                 NaN  0.179208                 NaN  0.181555       0.319984       0.277959                 NaN            NaN            NaN            NaN
  1343.05        2500.00                 NaN            NaN   99.0508                 NaN  0.177718                 NaN  0.179711       0.316938       0.274865                 NaN            NaN            NaN            NaN
  1341.48        2500.00                 NaN            NaN   99.0595                 NaN  0.175923                 NaN  0.313898       0.178769       0.271931                 NaN            NaN            NaN            NaN
  1339.91        2500.00                 NaN            NaN   99.0700                 NaN  0.173993                 NaN  0.310661       0.176825       0.268498                 NaN            NaN            NaN            NaN
  1338.35        2500.00                 NaN            NaN   99.0785                 NaN  0.172414                 NaN  0.175741       0.307730       0.265642                 NaN            NaN            NaN            NaN
  1336.78        2500.00                 NaN            NaN   99.0867                 NaN  0.170480                 NaN  0.175107       0.304961       0.262757                 NaN            NaN            NaN            NaN
  1335.21        2500.00                 NaN            NaN   99.0962                 NaN  0.168262                 NaN  0.301355       0.174552       0.259651                 NaN            NaN            NaN            NaN
  1333.65        2500.00                 NaN            NaN   99.1038                 NaN  0.167442                 NaN  0.299067       0.172473       0.257181                 NaN            NaN            NaN            NaN
  1332.08        2500.00                 NaN            NaN   99.1125                 NaN  0.163375                 NaN  0.294882       0.175397       0.253844                 NaN            NaN            NaN            NaN
  1330.51        2500.00                 NaN            NaN   99.1211                 NaN  0.162346                 NaN  0.172764       0.292477       0.251296                 NaN            NaN            NaN            NaN
  1328.95        2500.00                 NaN            NaN   99.1300                 NaN  0.160487                 NaN  0.171551       0.289693       0.248295                 NaN            NaN            NaN            NaN
  1327.38        2500.00                 NaN            NaN   99.1369                 NaN  0.157716                 NaN  0.286673       0.172972       0.245743                 NaN            NaN            NaN            NaN
