|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q              hed           
  1383.89        2500.00                 NaN   98.8947                 NaN            NaN            NaN            NaN  0.347117       0.363565                 NaN  0.206467E-001  0.373923                 NaN            NaN            NaN            NaN
  1382.47        2500.00                 NaN   98.9128                 NaN            NaN            NaN            NaN  0.342363       0.357394                 NaN  0.200258E-001  0.367394                 NaN            NaN            NaN            NaN
  1381.05        2500.00                 NaN   98.9315                 NaN            NaN            NaN            NaN  0.338098       0.350098                 NaN  0.194523E-001  0.360888                 NaN            NaN            NaN            NaN
  1379.63        2500.00                 NaN   98.9484                 NaN            NaN            NaN            NaN  0.333831       0.343989                 NaN  0.188880E-001  0.354891                 NaN            NaN            NaN            NaN
  1378.21        2500.00                 NaN   98.9653                 NaN            NaN            NaN            NaN  0.337456       0.330027                 NaN  0.183278E-001  0.348928                 NaN            NaN            NaN            NaN
  1376.78        2500.00                 NaN   98.9814                 NaN            NaN            NaN            NaN  0.326321       0.331451                 NaN  0.177462E-001  0.343041                 NaN            NaN            NaN            NaN
  1375.36        2500.00                 NaN   98.9971                 NaN            NaN            NaN            NaN  0.322561       0.325477                 NaN  0.172792E-001  0.337604                 NaN            NaN            NaN            NaN
  1373.94        2500.00                 NaN   99.0130                 NaN            NaN            NaN            NaN  0.319280       0.319345                 NaN  0.166828E-001  0.331733                 NaN            NaN            NaN            NaN
  1372.52        2500.00                 NaN   99.0274                 NaN            NaN            NaN            NaN  0.313617       0.316103                 NaN  0.161834E-001  0.326666                 NaN            NaN            NaN            NaN
  1371.10        2500.00                 NaN   99.0420                 NaN            NaN            NaN            NaN  0.312843       0.308053                 NaN  0.156743E-001  0.321451                 NaN            NaN            NaN            NaN
  1369.68        2500.00                 NaN   99.0561                 NaN            NaN            NaN            NaN  0.302429       0.309736                 NaN  0.152465E-001  0.316511                 NaN            NaN            NaN            NaN
  1368.25        2500.00                 NaN   99.0696                 NaN            NaN            NaN            NaN  0.307146       0.297063                 NaN  0.146799E-001  0.311540                 NaN            NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.0828                 NaN            NaN            NaN            NaN  0.292055       0.304063                 NaN  0.142369E-001  0.306808                 NaN            NaN            NaN            NaN
  1365.41        2500.00                 NaN   99.0956                 NaN            NaN            NaN            NaN  0.301814       0.286589                 NaN  0.137663E-001  0.302234                 NaN            NaN            NaN            NaN
  1363.99        2500.00                 NaN   99.1078                 NaN            NaN            NaN            NaN  0.299101       0.282007                 NaN  0.132962E-001  0.297762                 NaN            NaN            NaN            NaN
  1362.57        2500.00                 NaN   99.1202                 NaN            NaN            NaN            NaN  0.296957       0.276688                 NaN  0.128543E-001  0.293334                 NaN            NaN            NaN            NaN
  1361.14        2500.00                 NaN   99.1314                 NaN            NaN            NaN            NaN  0.294895       0.272109                 NaN  0.124005E-001  0.289193                 NaN            NaN            NaN            NaN
  1359.72        2500.00                 NaN   99.1434                 NaN            NaN            NaN            NaN  0.267012       0.292654                 NaN  0.119741E-001  0.284940                 NaN            NaN            NaN            NaN
  1358.30        2500.00                 NaN   99.1540                 NaN            NaN            NaN            NaN  0.291184       0.262224                 NaN  0.115204E-001  0.281061                 NaN            NaN            NaN            NaN
  1356.88        2500.00                 NaN   99.1652                 NaN            NaN            NaN            NaN  0.288934       0.257713                 NaN  0.111426E-001  0.277037                 NaN            NaN            NaN            NaN
  1355.46        2500.00                 NaN   99.1757                 NaN            NaN            NaN            NaN  0.287758       0.252568                 NaN  0.107103E-001  0.273263                 NaN            NaN            NaN            NaN
  1354.04        2500.00                 NaN   99.1858                 NaN            NaN            NaN            NaN  0.248670       0.285689                 NaN  0.103605E-001  0.269528                 NaN            NaN            NaN            NaN
  1352.61        2500.00                 NaN   99.1961                 NaN            NaN            NaN            NaN  0.284656       0.243561                 NaN  0.989250E-002  0.265794                 NaN            NaN            NaN            NaN
  1351.19        2500.00                 NaN   99.2054                 NaN            NaN            NaN            NaN  0.239229       0.283395                 NaN  0.953891E-002  0.262444                 NaN            NaN            NaN            NaN
  1349.77        2500.00                 NaN   99.2153                 NaN            NaN            NaN            NaN  0.234724       0.281914                 NaN  0.914590E-002  0.258903                 NaN            NaN            NaN            NaN
  1348.35        2500.00                 NaN   99.2211                 NaN            NaN            NaN            NaN  0.231666       0.281469                 NaN  0.882327E-002  0.256912                 NaN            NaN            NaN            NaN
  1346.93        2500.00                 NaN   99.2357                 NaN            NaN            NaN            NaN  0.224797       0.279873                 NaN  0.827782E-002  0.251312                 NaN            NaN            NaN            NaN
  1345.50        2500.00                 NaN   99.2417                 NaN            NaN            NaN            NaN  0.221335       0.279733                 NaN  0.799904E-002  0.249240                 NaN            NaN            NaN            NaN
  1344.08        2500.00                 NaN   99.2496                 NaN            NaN            NaN            NaN  0.279240       0.217208                 NaN  0.761231E-002  0.246357                 NaN            NaN            NaN            NaN
  1342.66        2500.00                 NaN   99.2580                 NaN            NaN            NaN            NaN  0.278548       0.212886                 NaN  0.725852E-002  0.243302                 NaN            NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.2655                 NaN            NaN            NaN            NaN  0.208438       0.278703                 NaN  0.686274E-002  0.240487                 NaN            NaN            NaN            NaN
  1339.82        2500.00                 NaN   99.2737                 NaN            NaN            NaN            NaN  0.204225       0.278057                 NaN  0.652266E-002  0.237506                 NaN            NaN            NaN            NaN
  1338.40        2500.00                 NaN   99.2803                 NaN            NaN            NaN            NaN  0.199849       0.278681                 NaN  0.613320E-002  0.235001                 NaN            NaN            NaN            NaN
  1336.97        2500.00                 NaN   99.2877                 NaN            NaN            NaN            NaN  0.279810       0.194455                 NaN  0.574678E-002  0.232285                 NaN            NaN            NaN            NaN
  1335.55        2500.00                 NaN   99.2950                 NaN            NaN            NaN            NaN  0.190945       0.278953                 NaN  0.546393E-002  0.229684                 NaN            NaN            NaN            NaN
  1334.13        2500.00                 NaN   99.3014                 NaN            NaN            NaN            NaN  0.279815       0.186409                 NaN  0.509997E-002  0.227268                 NaN            NaN            NaN            NaN
  1332.71        2500.00                 NaN   99.3082                 NaN            NaN            NaN            NaN  0.181794       0.280451                 NaN  0.476946E-002  0.224824                 NaN            NaN            NaN            NaN
  1331.29        2500.00                 NaN   99.3145                 NaN            NaN            NaN            NaN  0.177099       0.281476                 NaN  0.443183E-002  0.222496                 NaN            NaN            NaN            NaN
  1329.86        2500.00                 NaN   99.3208                 NaN            NaN            NaN            NaN  0.282236       0.172619                 NaN  0.412810E-002  0.220235                 NaN            NaN            NaN            NaN
