|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1464.16        500.000                 NaN   98.9491       0.279222                 NaN  0.771663                 NaN            NaN            NaN            NaN            NaN
  1462.77        500.000                 NaN   98.9589       0.274795                 NaN  0.766278                 NaN            NaN            NaN            NaN            NaN
  1461.38        500.000                 NaN   98.9703       0.270870                 NaN  0.758811                 NaN            NaN            NaN            NaN            NaN
  1459.99        500.000                 NaN   98.9804       0.264236       0.381395E-005  0.755324                 NaN            NaN            NaN            NaN            NaN
  1458.60        500.000                 NaN   98.9789       0.202618                 NaN  0.841198E-001  0.734328                 NaN            NaN            NaN            NaN
  1457.21        500.000                 NaN   98.9807       0.158202                 NaN  0.716200       0.144919                 NaN            NaN            NaN            NaN
  1455.82        500.000                 NaN   98.9773       0.457430E-001            NaN  0.303785       0.673164                 NaN            NaN            NaN            NaN
  1454.43        500.000                 NaN   98.9817       0.404773E-001            NaN  0.308444       0.669413                 NaN            NaN            NaN            NaN
  1453.04        500.000                 NaN   98.9880       0.334688E-001            NaN  0.663923       0.314632                 NaN            NaN            NaN            NaN
  1451.65        500.000                 NaN   98.9991       0.292851E-001            NaN  0.315424       0.656180                 NaN            NaN            NaN            NaN
  1450.26        500.000                 NaN   99.0063       0.233581E-001            NaN  0.649523       0.320777                 NaN            NaN            NaN            NaN
  1448.87        500.000                 NaN   99.0132       0.165016E-001            NaN  0.326548       0.643771                 NaN            NaN            NaN            NaN
  1447.48        500.000                 NaN   99.0195       0.109060E-001            NaN  0.331570       0.638047                 NaN            NaN            NaN            NaN
  1446.09        500.000                 NaN   99.0279       0.667709E-002            NaN  0.333783       0.631675                 NaN            NaN            NaN            NaN
  1444.70        500.000                 NaN   99.0345       0.125292E-002            NaN  0.337862       0.626339                 NaN            NaN            NaN            NaN
  1443.31        500.000                 NaN   99.0409       0.929326E-001            NaN  0.231243       0.634955                 NaN            NaN            NaN            NaN
  1441.92        500.000                 NaN   99.0531                 NaN            NaN  0.612867       0.334002                 NaN            NaN            NaN            NaN
  1440.53        500.000                 NaN   99.0557                 NaN            NaN  0.611310       0.333030                 NaN            NaN            NaN            NaN
  1439.14        500.000                 NaN   99.0622                 NaN            NaN  0.330738       0.607022                 NaN            NaN            NaN            NaN
  1437.76        500.000                 NaN   99.0695                 NaN            NaN  0.602153       0.328387                 NaN            NaN            NaN            NaN
  1436.37        500.000                 NaN   99.1455       0.172584                 NaN  0.681948                 NaN            NaN            NaN            NaN            NaN
  1434.98        500.000                 NaN   99.0227                 NaN            NaN  0.527273       0.450040                 NaN            NaN            NaN            NaN
  1433.59        500.000                 NaN   99.0889                 NaN            NaN  0.588550       0.322573                 NaN            NaN            NaN            NaN
  1432.20        500.000                 NaN   99.0955                 NaN            NaN  0.583062       0.321433                 NaN            NaN            NaN            NaN
  1430.81        500.000                 NaN   99.1018                 NaN            NaN  0.579078       0.319104                 NaN            NaN            NaN            NaN
  1429.42        500.000                 NaN   99.1064                 NaN            NaN  0.318071       0.575543                 NaN            NaN            NaN            NaN
  1428.03        500.000                 NaN   99.1122                 NaN            NaN  0.314942       0.572855                 NaN            NaN            NaN            NaN
  1426.64        500.000                 NaN   99.1209                 NaN            NaN  0.313488       0.565657                 NaN            NaN            NaN            NaN
  1425.25        500.000                 NaN   99.1250                 NaN            NaN  0.562503       0.312456                 NaN            NaN            NaN            NaN
  1423.86        500.000                 NaN   99.1301                 NaN            NaN  0.311254       0.558649                 NaN            NaN            NaN            NaN
  1422.47        500.000                 NaN   99.1358                 NaN            NaN  0.309899       0.554332                 NaN            NaN            NaN            NaN
  1421.08        500.000                 NaN   99.1422                 NaN            NaN  0.550396       0.307447                 NaN            NaN            NaN            NaN
  1419.69        500.000                 NaN   99.1471                 NaN            NaN  0.305696       0.547203                 NaN            NaN            NaN            NaN
  1418.30        500.000                 NaN   99.1523                 NaN            NaN  0.543063       0.304664                 NaN            NaN            NaN            NaN
  1416.91        500.000                 NaN   99.1577                 NaN            NaN  0.302389       0.539904                 NaN            NaN            NaN            NaN
  1415.52        500.000                 NaN   99.1630                 NaN            NaN  0.301376       0.535612                 NaN            NaN            NaN            NaN
  1414.13        500.000                 NaN   99.1671                 NaN            NaN  0.300484       0.532431                 NaN            NaN            NaN            NaN
  1412.74        500.000                 NaN   99.1720                 NaN            NaN  0.297566       0.530395                 NaN            NaN            NaN            NaN
  1411.35        500.000                 NaN   99.1782                 NaN            NaN  0.297125       0.524686                 NaN            NaN            NaN            NaN
  1409.96        500.000                 NaN   99.1819                 NaN            NaN  0.522121       0.296002                 NaN            NaN            NaN            NaN
  1408.57        500.000                 NaN   99.1869                 NaN            NaN  0.518301       0.294809                 NaN            NaN            NaN            NaN
  1407.18        500.000                 NaN   99.1911                 NaN            NaN  0.515446       0.293453                 NaN            NaN            NaN            NaN
  1405.79        500.000                 NaN   99.1959                 NaN            NaN  0.512020       0.292114                 NaN            NaN            NaN            NaN
  1404.40        500.000                 NaN   99.1998                 NaN            NaN  0.290723       0.509476                 NaN            NaN            NaN            NaN
  1403.01        500.000                 NaN   99.2050                 NaN            NaN  0.289258       0.505748                 NaN            NaN            NaN            NaN
  1401.62        500.000                 NaN   99.2076                 NaN            NaN  0.288286       0.504067                 NaN            NaN            NaN            NaN
  1400.23        500.000       0.604854E-003   99.2131                 NaN            NaN  0.498219       0.288043                 NaN            NaN            NaN            NaN
  1398.84        500.000                 NaN   99.2170                 NaN            NaN  0.497016       0.286008                 NaN            NaN            NaN            NaN
  1397.45        500.000                 NaN   99.2215                 NaN            NaN  0.284223       0.494243                 NaN            NaN            NaN            NaN
  1396.06        500.000                 NaN   99.2255                 NaN            NaN  0.490902       0.283595                 NaN            NaN            NaN            NaN
  1394.67        500.000                 NaN   99.2294                 NaN            NaN  0.488074       0.282491                 NaN            NaN            NaN            NaN
  1393.28        500.000                 NaN   99.2329                 NaN  0.103816E-005  0.485858       0.281194                 NaN            NaN            NaN            NaN
  1391.90        500.000                 NaN   99.2374                 NaN            NaN  0.482423       0.280134                 NaN            NaN            NaN            NaN
  1390.51        500.000                 NaN   99.2401                 NaN            NaN  0.279175       0.480697                 NaN            NaN            NaN            NaN
  1389.12        500.000                 NaN   99.2433                 NaN            NaN  0.277784       0.478887                 NaN            NaN            NaN            NaN
  1387.73        500.000                 NaN   99.2476                 NaN            NaN  0.276672       0.475701                 NaN            NaN            NaN            NaN
  1386.34        500.000       0.198786E-003   99.2513                 NaN            NaN  0.472066       0.276413                 NaN            NaN            NaN            NaN
  1384.95        500.000                 NaN   98.5165                 NaN            NaN  0.507287       0.626549       0.349617                 NaN            NaN            NaN
  1383.56        500.000                 NaN   98.3674                 NaN            NaN  0.698490       0.511342       0.422783                 NaN            NaN            NaN
  1382.17        500.000                 NaN   98.3896                 NaN            NaN  0.504146       0.689872       0.416350                 NaN            NaN            NaN
  1380.78        500.000                 NaN   98.4096                 NaN            NaN  0.682571       0.496861       0.411003                 NaN            NaN            NaN
  1379.39        500.000                 NaN   98.4275                 NaN            NaN  0.675197       0.491937       0.405414                 NaN            NaN            NaN
  1378.00        500.000                 NaN   98.4450                 NaN            NaN  0.668362       0.486217       0.400441                 NaN            NaN            NaN
  1376.61        500.000                 NaN   98.4599                 NaN            NaN  0.662181       0.481870       0.396085                 NaN            NaN            NaN
  1375.22        500.000                 NaN   98.4816                 NaN            NaN  0.653969       0.474520       0.389881                 NaN            NaN            NaN
  1373.83        500.000                 NaN   98.4951                 NaN            NaN  0.470317       0.648638       0.385921                 NaN            NaN            NaN
  1372.44        500.000                 NaN   98.5140                 NaN            NaN  0.641542       0.464161       0.380337                 NaN            NaN            NaN
  1371.05        500.000                 NaN   98.5273                 NaN            NaN  0.636589       0.459772       0.376380                 NaN            NaN            NaN
  1369.66        500.000                 NaN   98.5416                 NaN            NaN  0.454786       0.631451       0.372151                 NaN            NaN            NaN
  1368.27        500.000                 NaN   98.5563                 NaN  0.277845E-005  0.450041       0.625898       0.367785                 NaN            NaN            NaN
  1366.88        500.000                 NaN   98.5603                 NaN  0.167859       0.502177       0.380589       0.389106                 NaN            NaN            NaN
  1365.49        500.000                 NaN   98.5640                 NaN  0.305617       0.178351       0.545510       0.406538                 NaN            NaN            NaN
  1364.10        500.000                 NaN   98.5778                 NaN  0.307402       0.542442       0.169982       0.402358                 NaN            NaN            NaN
  1362.71        500.000                 NaN   98.5938                 NaN  0.309770       0.539613       0.158634       0.398174                 NaN            NaN            NaN
  1361.32        500.000                 NaN   98.6104                 NaN  0.311915       0.148921       0.535082       0.393634                 NaN            NaN            NaN
  1359.93        500.000                 NaN   98.6245                 NaN  0.313350       0.532602       0.139951       0.389590                 NaN            NaN            NaN
  1358.54        500.000                 NaN   98.6375                 NaN  0.315259       0.529987       0.131227       0.386021                 NaN            NaN            NaN
  1357.15        500.000                 NaN   98.6407                 NaN  0.317682       0.126044       0.530500       0.385041                 NaN            NaN            NaN
  1355.76        500.000                 NaN   98.6720                 NaN  0.317303       0.112175       0.522478       0.376088                 NaN            NaN            NaN
  1354.37        500.000                 NaN   98.6771                 NaN  0.320389       0.521285       0.106164       0.375017                 NaN            NaN            NaN
  1352.98        500.000                 NaN   98.6923                 NaN  0.321289       0.969562E-001  0.518955       0.370472                 NaN            NaN            NaN
  1351.59        500.000                 NaN   98.7004                 NaN  0.325039       0.519405       0.865889E-001  0.368548                 NaN            NaN            NaN
  1350.20        500.000                 NaN   98.7213                 NaN  0.321969       0.835513E-001  0.511180       0.361958                 NaN            NaN            NaN
  1348.81        500.000                 NaN   98.7281                 NaN  0.325710       0.743859E-001  0.511458       0.360323                 NaN            NaN            NaN
  1347.42        500.000                 NaN   98.7420                 NaN  0.325195       0.507429       0.692656E-001  0.356156                 NaN            NaN            NaN
  1346.04        500.000                 NaN   98.7533                 NaN  0.326886       0.505516       0.612813E-001  0.353036                 NaN            NaN            NaN
  1344.65        500.000                 NaN   98.7625                 NaN  0.328831       0.549513E-001  0.503265       0.350453                 NaN            NaN            NaN
  1343.26        500.000                 NaN   98.7785                 NaN  0.326941       0.497862E-001  0.499387       0.345361                 NaN            NaN            NaN
  1341.87        500.000                 NaN   98.7874                 NaN  0.328390       0.497571       0.438163E-001  0.342868                 NaN            NaN            NaN
  1340.48        500.000                 NaN   98.7965                 NaN  0.328989       0.496051       0.383723E-001  0.340093                 NaN            NaN            NaN
  1339.09        500.000                 NaN   98.8112                 NaN  0.329008       0.319292E-001  0.492055       0.335856                 NaN            NaN            NaN
  1337.70        500.000                 NaN   98.8167                 NaN  0.331082       0.492349       0.255330E-001  0.334375                 NaN            NaN            NaN
  1336.31        500.000                 NaN   98.8351                 NaN  0.326589       0.485499       0.245548E-001  0.328262                 NaN            NaN            NaN
  1334.92        500.000                 NaN   98.8417                 NaN  0.328845       0.177977E-001  0.484999       0.326668                 NaN            NaN            NaN
  1333.53        500.000                 NaN   98.8532                 NaN  0.328377       0.131805E-001  0.482169       0.323122                 NaN            NaN            NaN
  1332.14        500.000                 NaN   98.8624                 NaN  0.327978       0.479890       0.943168E-002  0.320307                 NaN            NaN            NaN
  1330.75        500.000                 NaN   98.8718                 NaN  0.326503       0.719254E-002  0.477332       0.317125                 NaN            NaN            NaN
  1329.36        500.000                 NaN   98.8757                 NaN  0.307649       0.461276       0.420573E-001  0.313338                 NaN            NaN            NaN
  1327.97        500.000                 NaN   98.8916                 NaN  0.324856       0.472530                 NaN  0.310995                 NaN            NaN            NaN
  1326.58        500.000       0.509256E-001   98.8387                 NaN  0.294534       0.478512E-002  0.491379       0.319719                 NaN            NaN            NaN
  1325.19        500.000       0.735066E-001   98.8198                 NaN  0.255155       0.428481E-001  0.491869       0.316816                 NaN            NaN            NaN
  1323.80        500.000       0.944730E-001   98.7924                 NaN  0.235504       0.504775       0.528380E-001  0.320023                 NaN            NaN            NaN
  1322.41        500.000       0.114435        98.7717                 NaN  0.217650       0.519933       0.550740E-001  0.321238                 NaN            NaN            NaN
  1321.02        500.000       0.131916        98.7542                 NaN  0.201399       0.534167       0.562849E-001  0.321998                 NaN            NaN            NaN
  1319.63        500.000       0.140701        98.7486                 NaN  0.194616       0.539811       0.538839E-001  0.322388                 NaN            NaN            NaN
  1318.24        500.000       0.149715        98.7589                 NaN  0.180292       0.532244E-001  0.541375       0.316501                 NaN            NaN            NaN
  1316.85        500.000       0.157966        98.7505                 NaN  0.173161       0.513209E-001  0.549815       0.317268                 NaN            NaN            NaN
  1315.46        500.000       0.162251        98.7566                 NaN  0.167471       0.477642E-001  0.551165       0.314723                 NaN            NaN            NaN
  1314.07        500.000       0.165032        98.7641                 NaN  0.162508       0.551318       0.450235E-001  0.311992                 NaN            NaN            NaN
  1312.68        500.000       0.165584        98.7770                 NaN  0.159381       0.547732       0.417899E-001  0.308527                 NaN            NaN            NaN
  1311.29        500.000       0.165538        98.7908                 NaN  0.158532       0.354148E-001  0.544522       0.305153                 NaN            NaN            NaN
  1309.90        500.000       0.165008        98.8019                 NaN  0.149978       0.447485E-001  0.536835       0.301510                 NaN            NaN            NaN
  1308.51        500.000       0.164294        98.8178                 NaN  0.152468       0.314502E-001  0.536221       0.297743                 NaN            NaN            NaN
  1307.12        500.000       0.163789        98.8304                 NaN  0.149085       0.531761       0.305814E-001  0.294424                 NaN            NaN            NaN
  1305.73        500.000       0.162265        98.8461                 NaN  0.147735       0.525930       0.272614E-001  0.290668                 NaN            NaN            NaN
  1304.34        500.000       0.160197        98.8558                 NaN  0.126222       0.501951       0.694903E-001  0.286335                 NaN            NaN            NaN
  1302.95        500.000       0.158487        98.8794                 NaN  0.155655       0.522748                 NaN  0.283682                 NaN            NaN            NaN
  1301.56        500.000       0.153875        98.8711                 NaN  0.112669       0.112490       0.468203       0.281703                 NaN            NaN            NaN
  1300.18        500.000       0.158194        98.9155                 NaN  0.136849       0.516541                 NaN  0.272878                 NaN            NaN            NaN
  1298.79        500.000       0.152839        98.9223                 NaN  0.148068       0.503891                 NaN  0.272881                 NaN            NaN            NaN
  1297.40        500.000       0.150784        98.9339                 NaN  0.131347       0.303125E-001  0.485157       0.268500                 NaN            NaN            NaN
  1296.01        500.000       0.148618        98.9525                 NaN  0.143521       0.490015                 NaN  0.265389                 NaN            NaN            NaN
  1294.62        500.000       0.146348        98.9667                 NaN  0.141609       0.483456                 NaN  0.261935                 NaN            NaN            NaN
  1293.23        500.000       0.144116        98.9798                 NaN  0.136162       0.768267E-002  0.473883       0.258361                 NaN            NaN            NaN
  1291.84        500.000       0.142509        98.9917                 NaN  0.125982       0.461771       0.234538E-001  0.254598                 NaN            NaN            NaN
  1290.45        500.000       0.140322        99.0051                 NaN  0.123633       0.454926       0.247581E-001  0.251258                 NaN            NaN            NaN
  1289.06        500.000       0.138308        99.0192                 NaN  0.121632       0.247036E-001  0.448349       0.247851                 NaN            NaN            NaN
  1287.67        500.000       0.136274        99.0323                 NaN  0.119157       0.258938E-001  0.441808       0.244571                 NaN            NaN            NaN
  1286.28        500.000       0.134289        99.0450                 NaN  0.116251       0.434878       0.282220E-001  0.241349                 NaN            NaN            NaN
  1284.89        500.000       0.132452        99.0585                 NaN  0.114292       0.428967       0.277489E-001  0.238011                 NaN            NaN            NaN
  1283.50        500.000       0.130259        99.0716                 NaN  0.111574       0.422020       0.299044E-001  0.234692                 NaN            NaN            NaN
  1282.11        500.000       0.125431        99.0611                 NaN  0.690331E-001  0.369301       0.141316       0.233858                 NaN            NaN            NaN
  1280.72        500.000       0.129902        99.1066                 NaN  0.110184       0.427207                 NaN  0.226121                 NaN            NaN            NaN
  1279.33        500.000       0.124330        99.1142                 NaN  0.120462       0.415577                 NaN  0.225461                 NaN            NaN            NaN
  1277.94        500.000       0.122802        99.1198                 NaN  0.981276E-001  0.437146E-001  0.393279       0.222321                 NaN            NaN            NaN
  1276.55        500.000       0.120477        99.1389                 NaN  0.116964       0.404275                 NaN  0.219398                 NaN            NaN            NaN
  1275.16        500.000       0.119016        99.1452                 NaN  0.982541E-001  0.356394E-001  0.385529       0.216368                 NaN            NaN            NaN
  1273.77        500.000       0.117156        99.1557                 NaN  0.925557E-001  0.377001       0.441837E-001  0.213449                 NaN            NaN            NaN
  1272.38        500.000       0.115351        99.1668                 NaN  0.896649E-001  0.370427       0.471633E-001  0.210605                 NaN            NaN            NaN
  1270.99        500.000       0.113573        99.1785                 NaN  0.872183E-001  0.364312       0.487222E-001  0.207715                 NaN            NaN            NaN
  1269.60        500.000       0.111768        99.1891                 NaN  0.839537E-001  0.357733       0.524892E-001  0.204969                 NaN            NaN            NaN
  1268.21        500.000       0.109920        99.1998                 NaN  0.812488E-001  0.555814E-001  0.351194       0.202244                 NaN            NaN            NaN
  1266.82        500.000       0.105976        99.2075                 NaN  0.848557E-001  0.341899       0.589892E-001  0.200775                 NaN            NaN            NaN
  1265.43        500.000       0.109124        99.2236                 NaN  0.688703E-001  0.593363E-001  0.343511       0.195532                 NaN            NaN            NaN
  1264.04        500.000       0.104977        99.2309                 NaN  0.723547E-001  0.333368       0.641823E-001  0.194213                 NaN            NaN            NaN
  1262.65        500.000       0.222418        97.3280                 NaN            NaN  0.526942       0.428291       0.398166        1.09622                 NaN            NaN
  1261.26        500.000       0.444145        93.4161                 NaN  0.131799E-004  0.990418       0.950671       0.823575        3.37504                 NaN            NaN
  1259.87        500.000       0.414526        93.8829                 NaN            NaN  0.926169       0.878094       0.767926        3.13035                 NaN            NaN
  1258.48        500.000       0.389081        94.2834                 NaN            NaN  0.870996       0.815291       0.720050        2.92123                 NaN            NaN
  1257.09        500.000       0.367153        94.6389                 NaN            NaN  0.756885       0.823054       0.677128        2.73689                 NaN            NaN
  1255.70        500.000       0.347071        94.9498                 NaN            NaN  0.779675       0.708312       0.639446        2.57565                 NaN            NaN
  1254.31        500.000       0.329637        95.2272                 NaN            NaN  0.742199       0.662868       0.605617        2.43243                 NaN            NaN
  1252.93        500.000       0.313734        95.4752                 NaN            NaN  0.707772       0.623133       0.575121        2.30505                 NaN            NaN
  1251.54        500.000       0.299659        95.7036                 NaN            NaN  0.676839       0.584360       0.546880        2.18869                 NaN            NaN
  1250.15        500.000       0.286266        95.9060                 NaN            NaN  0.552186       0.648267       0.521729        2.08558                 NaN            NaN
  1248.76        500.000       0.274267        96.0923                 NaN            NaN  0.522327       0.622315       0.498448        1.99037                 NaN            NaN
  1247.37        500.000       0.262745        96.2628                 NaN            NaN  0.598170       0.494994       0.476897        1.90442                 NaN            NaN
  1245.98        500.000       0.252245        96.4222                 NaN            NaN  0.468778       0.575400       0.456684        1.82465                 NaN            NaN
  1244.59        500.000       0.242142        96.5655                 NaN            NaN  0.447659       0.554638       0.438326        1.75178                 NaN            NaN
  1243.20        500.000       0.232922        96.7043                 NaN            NaN  0.424886       0.534181       0.420436        1.68326                 NaN            NaN
  1241.81        500.000       0.223649        96.8314                 NaN            NaN  0.515036       0.406038       0.404076        1.61982                 NaN            NaN
  1240.42        500.000       0.215220        96.9479                 NaN            NaN  0.388370       0.497792       0.388879        1.56186                 NaN            NaN
  1239.03        500.000       0.207091        97.0627                 NaN            NaN  0.370997       0.479889       0.373799        1.50552                 NaN            NaN
  1237.64        500.000       0.199460        97.1662                 NaN            NaN  0.463597       0.356386       0.360211        1.45414                 NaN            NaN
  1236.25        500.000       0.191809        97.2673                 NaN            NaN  0.447918       0.341486       0.346732        1.40475                 NaN            NaN
  1234.86        500.000       0.184393        97.3576                 NaN            NaN  0.330943       0.430888       0.334955        1.36122                 NaN            NaN
  1233.47        500.000       0.194646        97.2826                 NaN            NaN  0.308526       0.455399       0.343727        1.41507                 NaN            NaN
  1232.08        500.000       0.196089        96.8190                 NaN            NaN  0.558458       0.349020       0.413541        1.66384                 NaN            NaN
  1230.69        500.000       0.132653        97.5353                 NaN            NaN  0.459896       0.374433       0.302723        1.19496                 NaN            NaN
  1229.30        500.000       0.130623        98.4001                 NaN            NaN  0.187936       0.228508       0.199570       0.853309                 NaN            NaN
  1227.91        500.000       0.351732        95.9339                 NaN            NaN  0.129492       0.792024       0.537760        2.25510                 NaN            NaN
