|6.6.6
Archiving\03_Data\frac/QFM_m1.5/Y98/Y98_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1889.72        2500.00        99.0131       0.963259       0.236430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.0131       0.963257       0.236430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.0131       0.963256       0.236429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.0131       0.963254       0.236429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.0131       0.963253       0.236429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.0131       0.963252       0.236428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.0131       0.963250       0.236428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.0131       0.963249       0.236428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.0131       0.963247       0.236427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.0131       0.963246       0.236427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.0131       0.963244       0.236427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.0131       0.963243       0.236426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.0131       0.963241       0.236426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.0131       0.963239       0.236425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.0131       0.963238       0.236425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.0131       0.963236       0.236425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.0131       0.963235       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.0131       0.963233       0.236424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.0131       0.963232       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.0131       0.963230       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.0131       0.963228       0.236423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.0131       0.963227       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.0131       0.963225       0.236422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.0131       0.963223       0.236421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.0131       0.963222       0.236421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.0131       0.963220       0.236421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.0131       0.963218       0.236420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.0131       0.963216       0.236420E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.0131       0.963215       0.236419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.0131       0.963213       0.236419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.0131       0.963211       0.236419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.0131       0.963209       0.236418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.0132       0.963207       0.236418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.0132       0.963206       0.236417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.0132       0.963204       0.236417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.0132       0.963202       0.236416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.0132       0.963200       0.236416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.0132       0.963198       0.236415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.0132       0.963196       0.236415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.0132       0.963194       0.236414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.0132       0.963192       0.236414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.0132       0.963191       0.236413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.0132       0.963188       0.236413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.0132       0.963186       0.236412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.0132       0.963184       0.236412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.0132       0.963182       0.236411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.0132       0.963180       0.236411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.0132       0.963178       0.236410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.0132       0.963176       0.236410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.0132       0.963174       0.236409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.0132       0.963172       0.236409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.0132       0.963170       0.236408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.0132       0.963168       0.236408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.0132       0.963166       0.236407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.0132       0.963163       0.236407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.0132       0.963161       0.236406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.0132       0.963159       0.236406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.0132       0.963157       0.236405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.0132       0.963155       0.236405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.0132       0.963152       0.236404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.0132       0.963150       0.236403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.0132       0.963148       0.236403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.0132       0.963145       0.236402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.0132       0.963143       0.236402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.0132       0.963141       0.236401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.0132       0.963138       0.236401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.0132       0.963136       0.236400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.0132       0.963133       0.236399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.0132       0.963131       0.236399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.0132       0.963129       0.236398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.0132       0.963126       0.236398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.0132       0.963124       0.236397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.0132       0.963121       0.236396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.0126       0.963119       0.236396E-001  0.604062E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.0037       0.963122       0.236397E-001  0.958691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        98.9986       0.963211       0.236418E-001  0.145474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        98.9985       0.963348       0.236452E-001  0.145130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        98.7902       0.963456       0.110007E-001  0.149222E-001  0.220423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.9855                 NaN            NaN  0.144553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.9857                 NaN            NaN  0.143451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.9858                 NaN            NaN  0.141944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.9859                 NaN            NaN  0.141011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.9827                 NaN            NaN  0.172943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.9894                 NaN            NaN  0.105769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.9862                 NaN            NaN  0.137654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.9863                 NaN            NaN  0.136606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.9865                 NaN            NaN  0.135433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.9918                 NaN            NaN  0.819085E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.9814                 NaN            NaN  0.185804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.9867                 NaN            NaN  0.132519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.9869                 NaN            NaN  0.130702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.9870                 NaN            NaN  0.130193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.9871                 NaN            NaN  0.128861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9872                 NaN            NaN  0.127835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.9873                 NaN            NaN  0.126925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.9874                 NaN            NaN  0.125631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.9875                 NaN            NaN  0.124597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.9876                 NaN            NaN  0.123571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.8892                 NaN            NaN  0.123404E-001  0.984962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3267                 NaN            NaN  0.127090E-001  0.660551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3248                 NaN            NaN  0.127338E-001  0.662431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3266                 NaN            NaN  0.126589E-001  0.660735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.3266                 NaN            NaN  0.126439E-001  0.660737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.3353                 NaN            NaN  0.314554E-001   1.63323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.6360                 NaN            NaN  0.640560E-002  0.357599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3458                 NaN            NaN  0.122069E-001  0.641944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.7653                 NaN            NaN  0.460447E-002  0.406179       0.823891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.3583                 NaN            NaN            NaN  0.210787        1.43091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.3873                 NaN            NaN            NaN  0.206553        1.40614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.4123                 NaN            NaN            NaN  0.203830        1.38391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.4331                 NaN            NaN            NaN  0.197008        1.36987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.4648                 NaN            NaN            NaN  0.194282        1.34095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.4844                 NaN            NaN            NaN  0.189730        1.32591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5060                 NaN            NaN            NaN  0.185178        1.30882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.5310                 NaN            NaN            NaN  0.181543        1.28744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.5444                 NaN            NaN            NaN  0.175198        1.28040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.5836                 NaN            NaN            NaN  0.174429        1.24199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.5967                 NaN            NaN            NaN  0.170105        1.23318                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6134                 NaN            NaN            NaN  0.168189        1.21843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.6384                 NaN            NaN            NaN  0.164763        1.19681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6600                 NaN            NaN            NaN  0.159135        1.18083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.6747                 NaN            NaN            NaN  0.156583        1.16867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.6929                 NaN            NaN            NaN  0.152432        1.15469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7106                 NaN            NaN            NaN  0.150277        1.13910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.5565                 NaN            NaN            NaN  0.165610        1.27791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9151                 NaN            NaN            NaN  0.125163       0.959746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.7622                 NaN            NaN            NaN  0.140726        1.09706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.7776                 NaN            NaN            NaN  0.136845        1.08557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.5316                 NaN            NaN            NaN  0.152911        1.31544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0676                 NaN            NaN            NaN  0.102869       0.829526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.7969                 NaN            NaN            NaN  0.119430        1.08365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8544                 NaN            NaN            NaN  0.130412        1.01524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8542                 NaN            NaN            NaN  0.118734        1.02705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8667                 NaN            NaN            NaN  0.119521        1.01382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.8790                 NaN            NaN            NaN  0.116326        1.00469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8875                 NaN            NaN            NaN  0.113570       0.998960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9078                 NaN            NaN            NaN  0.111397       0.980791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9135                 NaN            NaN            NaN  0.108057       0.978413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9293                 NaN            NaN            NaN  0.106374       0.964305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9402                 NaN            NaN            NaN  0.104522       0.955249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9501                 NaN            NaN            NaN  0.100811       0.949050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.9605                 NaN            NaN            NaN  0.992102E-001  0.940247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.9715                 NaN            NaN            NaN  0.957477E-001  0.932704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.9782                 NaN            NaN            NaN  0.887161E-001  0.933091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.7590                 NaN            NaN            NaN  0.111939        1.12903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.2332                 NaN            NaN            NaN  0.665964E-001  0.700162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.0111                 NaN            NaN            NaN  0.861721E-001  0.902743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.0184                 NaN            NaN            NaN  0.823416E-001  0.899304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.7714                 NaN            NaN            NaN  0.323864E-001            NaN   1.19619                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.7252                 NaN            NaN            NaN  0.183577E-001  0.616822E-001   1.19474                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        98.7037                 NaN            NaN            NaN            NaN            NaN   1.29632                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        98.6946                 NaN            NaN            NaN            NaN            NaN   1.30543                 NaN            NaN            NaN            NaN            NaN            NaN
