|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/GRV/GRV_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1569.26        2500.00        98.8979                 NaN            NaN  0.257118E-003  0.118698E-001   1.09000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        98.8888                 NaN            NaN            NaN  0.117833E-001   1.09946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.8504                 NaN            NaN            NaN  0.119710E-001   1.13765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.8577                 NaN            NaN            NaN  0.116445E-001   1.13064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.8241                 NaN            NaN            NaN  0.117060E-001   1.16423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.7953                 NaN            NaN            NaN  0.117109E-001   1.19295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.7493                 NaN            NaN            NaN  0.116990E-001   1.23904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.6953                 NaN            NaN            NaN  0.117183E-001   1.29300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.5649                 NaN            NaN            NaN  0.115495E-001  0.135649        1.28788                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        98.1182                 NaN            NaN            NaN  0.104466E-001   1.52113       0.350227                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        98.1571                 NaN            NaN            NaN  0.102077E-001   1.48492       0.347743                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.1780                 NaN            NaN            NaN  0.100803E-001  0.348125        1.46377                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        98.1939                 NaN            NaN  0.102584       0.930004E-002   1.57440       0.119861                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        98.2038                 NaN            NaN  0.173236       0.876203E-002   1.61253       0.170183E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.2350                 NaN            NaN  0.170682       0.850551E-002   1.58578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.2597                 NaN            NaN  0.169617       0.829861E-002   1.56242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.2875                 NaN            NaN  0.170623       0.804436E-002   1.53382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.3171                 NaN            NaN  0.176370       0.773434E-002   1.49877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        97.9661                 NaN            NaN  0.209988       0.928717E-002   1.81463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.7386                 NaN            NaN  0.125921       0.573584E-002   1.12976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.3855                 NaN            NaN  0.160485       0.724882E-002   1.44677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.4093                 NaN            NaN  0.164191       0.699991E-002   1.41955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.4310                 NaN            NaN  0.157247       0.686102E-002   1.40488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.4515                 NaN            NaN  0.153871       0.667986E-002   1.38795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.4682                 NaN            NaN  0.145435       0.659768E-002   1.35983       0.199203E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.4836                 NaN            NaN  0.147822       0.641862E-002   1.35581       0.638717E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.5177                 NaN            NaN  0.146152       0.615595E-002   1.32880       0.121217E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.5305                 NaN            NaN  0.142954       0.599427E-002   1.32057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.5524                 NaN            NaN  0.142669       0.580382E-002  0.163932E-002   1.29749                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.5645                 NaN            NaN  0.134809       0.573196E-002  0.320481E-001   1.26288                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.5831                 NaN            NaN  0.130511       0.556970E-002  0.405119E-001   1.24028                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.5998                 NaN            NaN  0.127944       0.541855E-002   1.22020       0.466507E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.6166                 NaN            NaN  0.125201       0.526747E-002   1.20008       0.528254E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.6326                 NaN            NaN  0.122694       0.512973E-002   1.18166       0.578848E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.6486                 NaN            NaN  0.120282       0.499780E-002  0.636117E-001   1.16252                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        99.2658                 NaN            NaN  0.648869E-001  0.263223E-002  0.250918E-001  0.641569                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.0685                 NaN            NaN  0.168723       0.697037E-002   1.63978       0.116051                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        98.6997                 NaN            NaN  0.112481       0.455908E-002   1.10569       0.775514E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.7091                 NaN            NaN  0.110529       0.443355E-002  0.806686E-001   1.09526                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        98.7226                 NaN            NaN  0.108206       0.431722E-002   1.07786       0.870341E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.7362                 NaN            NaN  0.105976       0.417420E-002  0.895734E-001   1.06403                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.7487                 NaN            NaN  0.104053       0.406629E-002  0.929358E-001   1.05029                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.7635                 NaN            NaN  0.101530       0.392928E-002   1.03338       0.976779E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        98.7748                 NaN            NaN  0.990912E-001  0.383002E-002  0.103899        1.01838                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.7379                 NaN            NaN  0.144238       0.394731E-002  0.158304       0.955593                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.8492                 NaN            NaN  0.489220E-001  0.333531E-002  0.562891E-001   1.04227                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.8114                 NaN            NaN  0.934807E-001  0.346526E-002  0.980600       0.111013                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.8240                 NaN            NaN  0.916042E-001  0.335184E-002  0.967973       0.113079                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.8333                 NaN            NaN  0.896956E-001  0.326485E-002  0.122572       0.951126                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.8477                 NaN            NaN  0.875766E-001  0.313570E-002  0.938849       0.122772                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.8588                 NaN            NaN  0.856213E-001  0.303404E-002  0.926569       0.126016                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.2556                 NaN            NaN  0.644245E-001  0.187811E-002  0.635545       0.425234E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        98.4857                 NaN            NaN  0.102242       0.391291E-002   1.20201       0.206093                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        98.8878                 NaN            NaN  0.805801E-001  0.273499E-002  0.133003       0.895869                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        98.8947                 NaN            NaN  0.785732E-001  0.265921E-002  0.138444       0.885654                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        98.9112                 NaN            NaN  0.773271E-001  0.253606E-002  0.870735       0.138200                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        98.9173                 NaN            NaN  0.754795E-001  0.244934E-002  0.139529       0.865220                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        98.9262                 NaN            NaN  0.738968E-001  0.235631E-002  0.142237       0.855351                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        98.9354                 NaN            NaN  0.722918E-001  0.226707E-002  0.144439       0.845583                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        98.9443                 NaN            NaN  0.707191E-001  0.217768E-002  0.146258       0.836567                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        98.9529                 NaN            NaN  0.691388E-001  0.209532E-002  0.826623       0.149271                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        98.9608                 NaN            NaN  0.677181E-001  0.200812E-002  0.818910       0.150604                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        98.9689                 NaN            NaN  0.663448E-001  0.192998E-002  0.811313       0.151535                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        98.9780                 NaN            NaN  0.646926E-001  0.184564E-002  0.154654       0.800835                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        98.9855                 NaN            NaN  0.633337E-001  0.176472E-002  0.793052       0.156384                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        98.9917                 NaN            NaN  0.622229E-001  0.168622E-002  0.157375       0.787050                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        99.0015                 NaN            NaN  0.602890E-001  0.161465E-002  0.160131       0.776421                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.0472                 NaN            NaN  0.587936E-001  0.147147E-002  0.741008       0.151478                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00        98.9746                 NaN            NaN  0.583765E-001  0.153443E-002  0.791744       0.173700                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00        99.0226                 NaN            NaN  0.565491E-001  0.139189E-002  0.755104       0.164396                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00        99.0283                 NaN            NaN  0.553750E-001  0.132645E-002  0.748446       0.166587                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00        99.0359                 NaN            NaN  0.538898E-001  0.125081E-002  0.166626       0.742322                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00        99.0420                 NaN            NaN  0.528361E-001  0.118723E-002  0.168681       0.735316                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00        99.0484                 NaN            NaN  0.516635E-001  0.112011E-002  0.169690       0.729136                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00        99.0537                 NaN            NaN  0.503812E-001  0.105818E-002  0.171199       0.723706                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.0603                 NaN            NaN  0.491012E-001  0.994885E-003  0.717183       0.172416                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00        99.0666                 NaN            NaN  0.481198E-001  0.931295E-003  0.711528       0.172789                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.0715                 NaN            NaN  0.468505E-001  0.876130E-003  0.174761       0.705991                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00        99.0843                 NaN            NaN  0.945368E-001  0.662980E-003  0.733451       0.870759E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.0769                 NaN            NaN  0.412969E-005  0.873344E-003  0.665633       0.256636                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00        99.0873                 NaN            NaN  0.388072E-001  0.715857E-003  0.687207       0.186012                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00        99.0912                 NaN            NaN  0.424395E-001  0.636534E-003  0.688225       0.177500                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00        99.0984                 NaN            NaN  0.342424E-001  0.610951E-003  0.191690       0.675037                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00        99.1042                 NaN            NaN  0.474032E-001  0.517441E-003  0.166789       0.681051                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00        99.1080                 NaN            NaN  0.392357E-001  0.485101E-003  0.671649       0.180652                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00        99.1119                 NaN            NaN  0.381971E-001  0.427314E-003  0.668841       0.180665                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00        98.4210                 NaN            NaN  0.736874E-001  0.920752E-002  0.324394        1.17173                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        99.8102                 NaN            NaN  0.224109E-001            NaN  0.129854       0.375614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00        99.1224                 NaN            NaN  0.184716E-001            NaN  0.647284       0.211891                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00        99.1255                 NaN            NaN  0.168850E-001            NaN  0.644616       0.212976                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00        99.1340                 NaN            NaN  0.327799E-001  0.732134E-003  0.644319       0.188143                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00        99.1380                 NaN            NaN  0.320912E-001            NaN  0.185042       0.644821                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00        99.1399                 NaN            NaN  0.311228E-001            NaN  0.643075       0.185866                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.1444                 NaN            NaN  0.299281E-001            NaN  0.639508       0.186118                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00        98.9694                 NaN            NaN  0.309425E-001  0.817674E-002  0.258225       0.733296                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00        99.3960                 NaN            NaN  0.211127E-001            NaN  0.127205       0.455686                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00        99.0979                 NaN            NaN  0.264107E-001            NaN  0.672791       0.202926                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00        98.5982                 NaN            NaN  0.171814                 NaN  0.727471       0.223844                 NaN            NaN  0.278664                 NaN            NaN            NaN
  1422.83        2500.00        97.8543                 NaN            NaN  0.371076                 NaN  0.857780       0.263001                 NaN            NaN  0.653842                 NaN            NaN            NaN
  1421.34        2500.00        97.8871                 NaN            NaN  0.370630                 NaN  0.852515       0.245843                 NaN            NaN  0.643939                 NaN            NaN            NaN
  1419.84        2500.00        97.9097                 NaN            NaN  0.372400                 NaN  0.852405       0.228529                 NaN            NaN  0.636916                 NaN            NaN            NaN
  1418.35        2500.00        97.9537                 NaN            NaN  0.368569                 NaN  0.213138       0.840986                 NaN            NaN  0.623599                 NaN            NaN            NaN
  1416.86        2500.00        97.9788                 NaN            NaN  0.369575                 NaN  0.840468       0.195034                 NaN            NaN  0.616128                 NaN            NaN            NaN
  1415.36        2500.00        98.0079                 NaN            NaN  0.369248                 NaN  0.836104       0.179454                 NaN            NaN  0.607285                 NaN            NaN            NaN
  1413.87        2500.00        98.0350                 NaN            NaN  0.369017                 NaN  0.163205       0.833826                 NaN            NaN  0.598954                 NaN            NaN            NaN
  1412.37        2500.00        98.0621                 NaN            NaN  0.368658                 NaN  0.147374       0.830968                 NaN            NaN  0.590906                 NaN            NaN            NaN
  1410.88        2500.00        98.0895                 NaN            NaN  0.367521                 NaN  0.828276       0.132648                 NaN            NaN  0.582007                 NaN            NaN            NaN
  1409.39        2500.00        98.1146                 NaN            NaN  0.367498                 NaN  0.825386       0.118106                 NaN            NaN  0.574455                 NaN            NaN            NaN
  1407.89        2500.00        98.1386                 NaN            NaN  0.367302                 NaN  0.102740       0.824252                 NaN            NaN  0.567118                 NaN            NaN            NaN
  1406.40        2500.00        98.1642                 NaN            NaN  0.366203                 NaN  0.885975E-001  0.822112                 NaN            NaN  0.558914                 NaN            NaN            NaN
  1404.90        2500.00        98.1799                 NaN            NaN  0.367770                 NaN  0.829246       0.685086E-001            NaN            NaN  0.554540                 NaN            NaN            NaN
  1403.41        2500.00        98.2166                 NaN            NaN  0.362648                 NaN  0.816088       0.625586E-001            NaN            NaN  0.542070                 NaN            NaN            NaN
  1401.92        2500.00        98.2341                 NaN            NaN  0.364099                 NaN  0.820146       0.442835E-001            NaN            NaN  0.537356                 NaN            NaN            NaN
  1400.42        2500.00        98.2579                 NaN            NaN  0.363347                 NaN  0.818802       0.297356E-001            NaN            NaN  0.530175                 NaN            NaN            NaN
  1398.93        2500.00        98.2750                 NaN            NaN  0.363778                 NaN  0.823653       0.129228E-001            NaN            NaN  0.524639                 NaN            NaN            NaN
  1397.43        2500.00        98.3015                 NaN            NaN  0.360069                 NaN  0.557077E-002  0.817055                 NaN            NaN  0.515825                 NaN            NaN            NaN
  1395.94        2500.00        98.3171                 NaN            NaN  0.355537                 NaN  0.809364       0.782030E-002            NaN            NaN  0.510148                 NaN            NaN            NaN
  1394.45        2500.00        98.3364                 NaN            NaN  0.353126                 NaN  0.806526                 NaN            NaN            NaN  0.503904                 NaN            NaN            NaN
  1392.95        2500.00        98.3577                 NaN            NaN  0.351284                 NaN  0.794034                 NaN            NaN            NaN  0.496983                 NaN            NaN            NaN
  1391.46        2500.00        98.3759                 NaN            NaN  0.345851                 NaN  0.787605                 NaN            NaN            NaN  0.490604                 NaN            NaN            NaN
  1389.96        2500.00        98.3939                 NaN            NaN  0.341838                 NaN  0.779776                 NaN            NaN            NaN  0.484535                 NaN            NaN            NaN
  1388.47        2500.00        98.4057                 NaN            NaN  0.331763                 NaN  0.775086       0.759264E-002            NaN            NaN  0.479853                 NaN            NaN            NaN
  1386.97        2500.00        98.4320                 NaN            NaN  0.329287                 NaN  0.768217                 NaN            NaN            NaN  0.470499                 NaN            NaN            NaN
  1385.48        2500.00        98.4458                 NaN            NaN  0.327544                 NaN  0.760634                 NaN            NaN            NaN  0.466041                 NaN            NaN            NaN
  1383.99        2500.00        98.4617                 NaN            NaN  0.325635                 NaN  0.751980                 NaN            NaN            NaN  0.460714                 NaN            NaN            NaN
  1382.49        2500.00        98.4782                 NaN            NaN  0.328824                 NaN  0.736723                 NaN            NaN            NaN  0.456283                 NaN            NaN            NaN
  1381.00        2500.00        98.4953                 NaN            NaN  0.319959                 NaN  0.735592                 NaN            NaN            NaN  0.449126                 NaN            NaN            NaN
  1379.50        2500.00        98.5104                 NaN            NaN  0.317602                 NaN  0.727857                 NaN            NaN            NaN  0.444149                 NaN            NaN            NaN
  1378.01        2500.00        98.5261                 NaN            NaN  0.314189                 NaN  0.720854                 NaN            NaN            NaN  0.438829                 NaN            NaN            NaN
  1376.52        2500.00        98.5064                 NaN            NaN  0.311117                 NaN  0.737629                 NaN            NaN            NaN  0.444838                 NaN            NaN            NaN
  1375.02        2500.00        98.5880                 NaN            NaN  0.304913                 NaN  0.689384                 NaN            NaN            NaN  0.417703                 NaN            NaN            NaN
  1373.53        2500.00        98.5740                 NaN            NaN  0.304608                 NaN  0.698938                 NaN            NaN            NaN  0.422436                 NaN            NaN            NaN
  1372.03        2500.00        98.5872                 NaN            NaN  0.304545                 NaN  0.690248                 NaN            NaN            NaN  0.417967                 NaN            NaN            NaN
  1370.54        2500.00        98.5997                 NaN            NaN  0.299355                 NaN  0.687736                 NaN            NaN            NaN  0.413197                 NaN            NaN            NaN
  1369.05        2500.00        98.6131                 NaN            NaN  0.296401                 NaN  0.681853                 NaN            NaN            NaN  0.408636                 NaN            NaN            NaN
  1367.55        2500.00        98.6289                 NaN            NaN  0.295120                 NaN  0.672508                 NaN            NaN            NaN  0.403470                 NaN            NaN            NaN
  1366.06        2500.00        98.6391                 NaN            NaN  0.287981                 NaN  0.674018                 NaN            NaN            NaN  0.398923                 NaN            NaN            NaN
  1364.56        2500.00        98.6526                 NaN            NaN  0.285989                 NaN  0.666981                 NaN            NaN            NaN  0.394382                 NaN            NaN            NaN
  1363.07        2500.00        98.6658                 NaN            NaN  0.286149                 NaN  0.657929                 NaN            NaN            NaN  0.390155                 NaN            NaN            NaN
  1361.57        2500.00        98.6786                 NaN            NaN  0.281963                 NaN  0.653596                 NaN            NaN            NaN  0.385826                 NaN            NaN            NaN
  1360.08        2500.00        98.6896                 NaN            NaN  0.276902                 NaN  0.652596                 NaN            NaN            NaN  0.380900                 NaN            NaN            NaN
  1358.59        2500.00        98.7017                 NaN            NaN  0.274528                 NaN  0.646795                 NaN            NaN            NaN  0.376965                 NaN            NaN            NaN
  1357.09        2500.00        98.7135                 NaN            NaN  0.270569                 NaN  0.643174                 NaN            NaN            NaN  0.372744                 NaN            NaN            NaN
  1355.60        2500.00        98.7250                 NaN            NaN  0.268188                 NaN  0.638207                 NaN            NaN            NaN  0.368571                 NaN            NaN            NaN
  1354.10        2500.00        98.7375                 NaN            NaN  0.266848                 NaN  0.630958                 NaN            NaN            NaN  0.364648                 NaN            NaN            NaN
  1352.61        2500.00        98.7468                 NaN            NaN  0.260851                 NaN  0.631731                 NaN            NaN            NaN  0.360654                 NaN            NaN            NaN
  1351.12        2500.00        98.7600                 NaN            NaN  0.259820                 NaN  0.623865                 NaN            NaN            NaN  0.356297                 NaN            NaN            NaN
  1349.62        2500.00        98.7527                 NaN            NaN  0.256613                 NaN  0.632600                 NaN            NaN            NaN  0.358072                 NaN            NaN            NaN
  1348.13        2500.00        98.7894                 NaN            NaN  0.246711                 NaN  0.619318                 NaN            NaN            NaN  0.344550                 NaN            NaN            NaN
  1346.63        2500.00        98.7915                 NaN            NaN  0.249815                 NaN  0.612958                 NaN            NaN            NaN  0.345678                 NaN            NaN            NaN
  1345.14        2500.00        97.5337                 NaN            NaN  0.537496                 NaN   1.20871                 NaN            NaN            NaN  0.720079                 NaN            NaN            NaN
  1343.65        2500.00        99.9653                 NaN            NaN            NaN            NaN  0.291247E-001            NaN            NaN            NaN  0.552829E-002            NaN            NaN            NaN
  1342.15        2500.00        98.9046                 NaN            NaN  0.184752                 NaN  0.620950                 NaN            NaN            NaN  0.289742                 NaN            NaN            NaN
  1340.66        2500.00        98.8270                 NaN            NaN  0.231173                 NaN  0.610921                 NaN            NaN            NaN  0.330928                 NaN            NaN            NaN
  1339.16        2500.00        98.8372                 NaN            NaN  0.227672                 NaN  0.607866                 NaN            NaN            NaN  0.327257                 NaN            NaN            NaN
  1337.67        2500.00        98.8460                 NaN            NaN  0.225090                 NaN  0.604694                 NaN            NaN            NaN  0.324170                 NaN            NaN            NaN
  1336.17        2500.00        98.8554                 NaN            NaN  0.221410                 NaN  0.602417                 NaN            NaN            NaN  0.320758                 NaN            NaN            NaN
  1334.68        2500.00        98.8428                 NaN            NaN  0.216221                 NaN  0.608796                 NaN            NaN            NaN  0.321941       0.102276E-001            NaN            NaN
  1333.19        2500.00        98.7300                 NaN            NaN  0.198140                 NaN  0.656037                 NaN            NaN            NaN  0.344082       0.717397E-001            NaN            NaN
  1331.69        2500.00        98.7454                 NaN            NaN  0.204756                 NaN  0.636404                 NaN            NaN            NaN  0.341746       0.716882E-001            NaN            NaN
  1330.20        2500.00        98.7728                 NaN            NaN  0.194209                 NaN  0.633455                 NaN            NaN            NaN  0.331320       0.682012E-001            NaN            NaN
  1328.70        2500.00        98.7745                 NaN            NaN  0.198297                 NaN  0.627424                 NaN            NaN            NaN  0.331765       0.679919E-001            NaN            NaN
  1327.21        2500.00        98.7885                 NaN            NaN  0.191539                 NaN  0.626470                 NaN            NaN            NaN  0.327160       0.663152E-001            NaN            NaN
  1325.72        2500.00        98.8053                 NaN            NaN  0.191050                 NaN  0.615589                 NaN            NaN            NaN  0.322971       0.650883E-001            NaN            NaN
  1324.22        2500.00        98.8180                 NaN            NaN  0.187723                 NaN  0.611597                 NaN            NaN            NaN  0.318955       0.637140E-001            NaN            NaN
  1322.73        2500.00        98.8296                 NaN            NaN  0.188038                 NaN  0.603831                 NaN            NaN            NaN  0.315898       0.626141E-001            NaN            NaN
  1321.23        2500.00        98.8463                 NaN            NaN  0.182971                 NaN  0.598785                 NaN            NaN            NaN  0.310811       0.611193E-001            NaN            NaN
  1319.74        2500.00        98.8582                 NaN            NaN  0.179331                 NaN  0.595287                 NaN            NaN            NaN  0.307341       0.598647E-001            NaN            NaN
