|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             ilm            San(TH)        ne             lc            
  1507.48        2500.00        99.1086                 NaN  0.602875E-001  0.831124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00        99.3981                 NaN            NaN  0.601854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00        99.3991                 NaN            NaN  0.600870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00        99.4947                 NaN            NaN  0.505258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00        99.2869                 NaN            NaN  0.713140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00        99.3844                 NaN            NaN  0.615632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00        99.3780                 NaN            NaN  0.622012                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.3736                 NaN            NaN  0.626420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00        99.3649                 NaN            NaN  0.635109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00        99.2466                 NaN            NaN  0.525954       0.227476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        99.0514                 NaN            NaN  0.609221       0.339364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00        99.0603                 NaN            NaN  0.602611       0.337051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00        99.0666                 NaN            NaN  0.337877       0.594331       0.117883E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00        99.0662                 NaN            NaN  0.337532       0.594145       0.214242E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00        98.7497                 NaN            NaN  0.791714       0.455787       0.282691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00        99.9179                 NaN            NaN  0.305885E-001  0.513500E-001  0.178416E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00        98.6082                 NaN            NaN  0.508814       0.879956       0.305725E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        99.1065                 NaN            NaN  0.564031       0.327567       0.194184E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00        99.1132                 NaN            NaN  0.325028       0.559856       0.187405E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        99.1203                 NaN            NaN  0.555332       0.322591       0.181902E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00        99.1275                 NaN            NaN  0.550654       0.320104       0.175637E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00        99.1331                 NaN            NaN  0.318340       0.546819       0.170775E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00        99.1403                 NaN            NaN  0.542044       0.315993       0.165645E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00        99.1466                 NaN            NaN  0.313890       0.537870       0.159586E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00        99.1525                 NaN            NaN  0.311635       0.534302       0.154420E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        99.1576                 NaN            NaN  0.310035       0.530846       0.150828E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00        99.1690                 NaN            NaN  0.306657       0.522877       0.144100E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00        99.1725                 NaN            NaN  0.520766       0.305286       0.140479E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00        99.1777                 NaN            NaN  0.517782       0.303132       0.135550E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00        99.1841                 NaN            NaN  0.301166       0.513396       0.130658E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00        99.1905                 NaN            NaN  0.509008       0.299237       0.127093E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00        99.1953                 NaN            NaN  0.505861       0.297627       0.122415E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00        99.1994                 NaN            NaN  0.503407       0.296023       0.117414E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00        99.2089                 NaN            NaN  0.496817       0.293176       0.113484E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00        99.2126                 NaN            NaN  0.495022       0.291284       0.109864E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00        99.4755                 NaN            NaN  0.330251       0.193516       0.707635E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00        98.9619                 NaN            NaN  0.651965       0.384741       0.136929E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        99.2277                 NaN            NaN  0.286031       0.485281       0.982784E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00        99.2326                 NaN            NaN  0.284463       0.482004       0.924102E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00        99.2380                 NaN            NaN  0.282403       0.478743       0.900869E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00        99.9842       0.385032E-002            NaN  0.119857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00        98.5058                 NaN            NaN  0.950773       0.541730       0.170760E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00        99.2511                 NaN            NaN  0.277659       0.470427       0.785801E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00        99.2559                 NaN            NaN  0.275684       0.467628       0.758173E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00        99.2600                 NaN            NaN  0.274179       0.465096       0.741715E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00        99.2623                 NaN            NaN  0.463645       0.273317       0.692973E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00        99.2723                 NaN            NaN  0.270159       0.456837       0.664533E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00        99.2727                 NaN            NaN  0.457344       0.269301       0.632370E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00        99.2736                 NaN            NaN  0.268768       0.457023       0.619228E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00        99.2832                 NaN            NaN  0.450558       0.265621       0.582732E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00        99.2840                 NaN            NaN  0.265097       0.450386       0.565547E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00        99.2891                 NaN            NaN  0.263123       0.447291       0.528660E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00        99.2916                 NaN            NaN  0.445829       0.262084       0.510470E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        99.2958                 NaN            NaN  0.443248       0.260510       0.478635E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00        99.2988                 NaN            NaN  0.259038       0.441745       0.460566E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00        99.3022                 NaN            NaN  0.439753       0.257655       0.427265E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.3053                 NaN            NaN  0.256240       0.438092       0.413012E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00        99.3079       0.372217E-005            NaN  0.436780       0.254969       0.391044E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00        99.3117                 NaN            NaN  0.253503       0.434390       0.372744E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1424.54        2500.00        99.3152       0.105519E-004            NaN  0.432519       0.251881       0.351848E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1423.14        2500.00        98.8485       0.380737E-001            NaN  0.464957       0.387127                 NaN            NaN  0.261300                 NaN            NaN            NaN            NaN
  1421.73        2500.00        98.3692       0.212559                 NaN  0.328477       0.529162       0.303242E-002            NaN  0.557560                 NaN            NaN            NaN            NaN
  1420.32        2500.00        98.3984       0.212275                 NaN  0.530545       0.310776                 NaN            NaN  0.547992                 NaN            NaN            NaN            NaN
  1418.92        2500.00        98.4109       0.214284                 NaN  0.302038       0.527583                 NaN            NaN  0.545242                 NaN            NaN            NaN            NaN
  1417.51        2500.00        98.4444       0.212126                 NaN  0.518795       0.291300                 NaN            NaN  0.533350                 NaN            NaN            NaN            NaN
  1416.11        2500.00        98.4673       0.210385                 NaN  0.512866       0.283830                 NaN            NaN  0.525668                 NaN            NaN            NaN            NaN
  1414.70        2500.00        98.4864       0.210874                 NaN  0.508349       0.274440                 NaN            NaN  0.519934                 NaN            NaN            NaN            NaN
  1413.29        2500.00        98.5087       0.210442                 NaN  0.502423       0.265694                 NaN            NaN  0.512710                 NaN            NaN            NaN            NaN
  1411.89        2500.00        98.5281       0.209805                 NaN  0.498829       0.256867                 NaN            NaN  0.506443                 NaN            NaN            NaN            NaN
  1410.48        2500.00        98.5506       0.208994                 NaN  0.492966       0.248804                 NaN            NaN  0.498627                 NaN            NaN            NaN            NaN
  1409.08        2500.00        98.5697       0.208361                 NaN  0.487882       0.241579                 NaN            NaN  0.492443                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.5868       0.208566                 NaN  0.234875       0.482464                 NaN            NaN  0.487318                 NaN            NaN            NaN            NaN
  1406.27        2500.00        98.6095       0.207120                 NaN  0.478194       0.225970                 NaN            NaN  0.479176                 NaN            NaN            NaN            NaN
  1404.86        2500.00        98.6274       0.206724                 NaN  0.473523       0.218893                 NaN            NaN  0.473451                 NaN            NaN            NaN            NaN
  1403.45        2500.00        98.6400       0.208180                 NaN  0.471671       0.210304                 NaN            NaN  0.469871                 NaN            NaN            NaN            NaN
  1402.05        2500.00        98.7050       0.198837                 NaN  0.450729       0.198649                 NaN            NaN  0.446797                 NaN            NaN            NaN            NaN
  1400.64        2500.00        98.6476       0.209566                 NaN  0.470571       0.205464                 NaN            NaN  0.466813                 NaN            NaN            NaN            NaN
  1399.24        2500.00        98.6983       0.204034                 NaN  0.191517       0.456315                 NaN            NaN  0.449826                 NaN            NaN            NaN            NaN
  1397.83        2500.00        98.7144       0.204069                 NaN  0.184354       0.452574                 NaN            NaN  0.444623                 NaN            NaN            NaN            NaN
  1396.43        2500.00        98.7308       0.202809                 NaN  0.448896       0.178542                 NaN            NaN  0.438972                 NaN            NaN            NaN            NaN
  1395.02        2500.00        98.7462       0.202473                 NaN  0.444998       0.172449                 NaN            NaN  0.433844                 NaN            NaN            NaN            NaN
  1393.61        2500.00        98.7606       0.201879                 NaN  0.165880       0.442611                 NaN            NaN  0.429042                 NaN            NaN            NaN            NaN
  1392.21        2500.00        98.7773       0.201134                 NaN  0.438091       0.160130                 NaN            NaN  0.423324                 NaN            NaN            NaN            NaN
  1390.80        2500.00        98.7866       0.200473                 NaN  0.435830       0.157071                 NaN            NaN  0.420072                 NaN            NaN            NaN            NaN
  1389.40        2500.00        98.8106       0.199756                 NaN  0.429936       0.147825                 NaN            NaN  0.411867                 NaN            NaN            NaN            NaN
  1387.99        2500.00        98.8195       0.199161                 NaN  0.428088       0.144285                 NaN            NaN  0.408920                 NaN            NaN            NaN            NaN
  1386.59        2500.00        98.8356       0.198234                 NaN  0.138690       0.423655                 NaN            NaN  0.403772                 NaN            NaN            NaN            NaN
  1385.18        2500.00        98.8487       0.197484                 NaN  0.421361       0.133452                 NaN            NaN  0.398968                 NaN            NaN            NaN            NaN
  1383.77        2500.00        98.8620       0.196594                 NaN  0.417934       0.129085                 NaN            NaN  0.394404                 NaN            NaN            NaN            NaN
  1382.37        2500.00        98.8731       0.195929                 NaN  0.124922       0.415488                 NaN            NaN  0.390558                 NaN            NaN            NaN            NaN
  1380.96        2500.00        98.8883       0.194956                 NaN  0.119697       0.411708                 NaN            NaN  0.385381                 NaN            NaN            NaN            NaN
  1379.56        2500.00        98.9000       0.194048                 NaN  0.409093       0.115639                 NaN            NaN  0.381252                 NaN            NaN            NaN            NaN
  1378.15        2500.00        98.9116       0.194184                 NaN  0.110619       0.405958                 NaN            NaN  0.377619                 NaN            NaN            NaN            NaN
  1376.74        2500.00        98.9254       0.191194                 NaN  0.402518       0.108979                 NaN            NaN  0.371946                 NaN            NaN            NaN            NaN
  1375.34        2500.00        98.9367       0.191283                 NaN  0.400509       0.103061                 NaN            NaN  0.368402                 NaN            NaN            NaN            NaN
  1373.93        2500.00        98.9483       0.190200                 NaN  0.993112E-001  0.397888                 NaN            NaN  0.364343                 NaN            NaN            NaN            NaN
  1372.53        2500.00        98.9592       0.189183                 NaN  0.395314       0.959237E-001            NaN            NaN  0.360411                 NaN            NaN            NaN            NaN
  1371.12        2500.00        98.9705       0.188190                 NaN  0.926288E-001  0.392230                 NaN            NaN  0.356490                 NaN            NaN            NaN            NaN
  1369.72        2500.00        98.9815       0.186677                 NaN  0.892790E-001  0.390273                 NaN            NaN  0.352295                 NaN            NaN            NaN            NaN
  1368.31        2500.00        98.9916       0.189567                 NaN  0.790430E-001  0.390108                 NaN            NaN  0.349704                 NaN            NaN            NaN            NaN
  1366.90        2500.00        99.0023       0.180589                 NaN  0.383881       0.892928E-001            NaN            NaN  0.343958                 NaN            NaN            NaN            NaN
  1365.50        2500.00        99.0125       0.183086                 NaN  0.383191       0.802363E-001            NaN            NaN  0.341033                 NaN            NaN            NaN            NaN
  1364.09        2500.00        99.0219       0.181927                 NaN  0.381325       0.771686E-001            NaN            NaN  0.337673                 NaN            NaN            NaN            NaN
  1362.69        2500.00        99.0324       0.180857                 NaN  0.377843       0.749468E-001            NaN            NaN  0.333914                 NaN            NaN            NaN            NaN
  1361.28        2500.00        99.0428       0.178820                 NaN  0.722840E-001  0.376255                 NaN            NaN  0.329798                 NaN            NaN            NaN            NaN
  1359.88        2500.00        99.0518       0.177804                 NaN  0.374068       0.696141E-001            NaN            NaN  0.326701                 NaN            NaN            NaN            NaN
  1358.47        2500.00        99.0613       0.176194                 NaN  0.371592       0.678583E-001            NaN            NaN  0.323057                 NaN            NaN            NaN            NaN
  1357.06        2500.00        99.0696       0.174721                 NaN  0.370146       0.656728E-001            NaN            NaN  0.319868                 NaN            NaN            NaN            NaN
  1355.66        2500.00        99.0784       0.173098                 NaN  0.366962       0.650674E-001            NaN            NaN  0.316484                 NaN            NaN            NaN            NaN
  1354.25        2500.00        99.0880       0.171445                 NaN  0.365620       0.620755E-001            NaN            NaN  0.312838                 NaN            NaN            NaN            NaN
  1352.85        2500.00        99.0961       0.169688                 NaN  0.613537E-001  0.363129                 NaN            NaN  0.309754                 NaN            NaN            NaN            NaN
  1351.44        2500.00        99.1037       0.168346                 NaN  0.596224E-001  0.361491                 NaN            NaN  0.306884                 NaN            NaN            NaN            NaN
  1350.04        2500.00        99.1130       0.165980                 NaN  0.359331       0.586002E-001            NaN            NaN  0.303066                 NaN            NaN            NaN            NaN
  1348.63        2500.00        99.1206       0.164373                 NaN  0.357383       0.575588E-001            NaN            NaN  0.300108                 NaN            NaN            NaN            NaN
  1347.22        2500.00        99.1280       0.162555                 NaN  0.569486E-001  0.355274                 NaN            NaN  0.297194                 NaN            NaN            NaN            NaN
  1345.82        2500.00        99.1360       0.160605                 NaN  0.560264E-001  0.353393                 NaN            NaN  0.293982                 NaN            NaN            NaN            NaN
  1344.41        2500.00        99.1434       0.158705                 NaN  0.553787E-001  0.351435                 NaN            NaN  0.291032                 NaN            NaN            NaN            NaN
  1343.01        2500.00        99.1507       0.156521                 NaN  0.349058       0.556780E-001            NaN            NaN  0.288049                 NaN            NaN            NaN            NaN
  1341.60        2500.00        99.1574       0.154390                 NaN  0.555924E-001  0.347398                 NaN            NaN  0.285190                 NaN            NaN            NaN            NaN
  1340.19        2500.00        99.1645       0.152313                 NaN  0.345721       0.551484E-001            NaN            NaN  0.282277                 NaN            NaN            NaN            NaN
  1338.79        2500.00        99.1719       0.150261                 NaN  0.551229E-001  0.343358                 NaN            NaN  0.279343                 NaN            NaN            NaN            NaN
  1337.38        2500.00        99.1782       0.148019                 NaN  0.341489       0.555904E-001            NaN            NaN  0.276723                 NaN            NaN            NaN            NaN
  1335.98        2500.00        99.1703       0.145795                 NaN  0.338950       0.658131E-001            NaN            NaN  0.279095                 NaN            NaN            NaN            NaN
  1334.57        2500.00        99.2038       0.143343                 NaN  0.471395E-001  0.339860                 NaN            NaN  0.265816                 NaN            NaN            NaN            NaN
  1333.17        2500.00        99.1969       0.140897                 NaN  0.336078       0.576032E-001            NaN            NaN  0.268534                 NaN            NaN            NaN            NaN
  1331.76        2500.00        99.1517       0.151880                 NaN  0.389519                 NaN            NaN            NaN  0.283188       0.236722E-001            NaN            NaN            NaN
  1330.35        2500.00        99.1034       0.146287                 NaN  0.409386                 NaN            NaN            NaN  0.295299       0.455970E-001            NaN            NaN            NaN
  1328.95        2500.00        99.1147       0.145247                 NaN  0.403592                 NaN            NaN            NaN  0.291686       0.448069E-001            NaN            NaN            NaN
  1327.54        2500.00        99.1262       0.143095                 NaN  0.398892                 NaN            NaN            NaN  0.287915       0.439236E-001            NaN            NaN            NaN
  1326.14        2500.00        99.1363       0.140660                 NaN  0.395251                 NaN            NaN            NaN  0.284732       0.430353E-001            NaN            NaN            NaN
  1324.73        2500.00        99.1482       0.139830                 NaN  0.389439                 NaN            NaN            NaN  0.280294       0.422488E-001            NaN            NaN            NaN
  1323.33        2500.00        99.1585       0.137980                 NaN  0.385037                 NaN            NaN            NaN  0.277041       0.414723E-001            NaN            NaN            NaN
  1321.92        2500.00        99.1689       0.136072                 NaN  0.380691                 NaN            NaN            NaN  0.273712       0.406724E-001            NaN            NaN            NaN
  1320.51        2500.00        99.1782       0.134489                 NaN  0.376764                 NaN            NaN            NaN  0.270629       0.399427E-001            NaN            NaN            NaN
  1319.11        2500.00        99.1889       0.131811                 NaN  0.373364                 NaN            NaN            NaN  0.266786       0.390957E-001            NaN            NaN            NaN
  1317.70        2500.00        99.1985       0.130503                 NaN  0.368876                 NaN            NaN            NaN  0.263727       0.383942E-001            NaN            NaN            NaN
  1316.30        2500.00        99.2081       0.128637                 NaN  0.365066                 NaN            NaN            NaN  0.260544       0.376659E-001            NaN            NaN            NaN
  1314.89        2500.00        99.2172       0.127557                 NaN  0.360619                 NaN            NaN            NaN  0.257598       0.369920E-001            NaN            NaN            NaN
  1313.49        2500.00        99.2255       0.124355                 NaN  0.359485                 NaN            NaN            NaN  0.254426       0.362056E-001            NaN            NaN            NaN
  1312.08        2500.00        99.2349       0.123542                 NaN  0.354398                 NaN            NaN            NaN  0.251569       0.355676E-001            NaN            NaN            NaN
  1310.67        2500.00        99.2440       0.120194                 NaN  0.353035                 NaN            NaN            NaN  0.248001       0.347815E-001            NaN            NaN            NaN
  1309.27        2500.00        99.2528       0.120293                 NaN  0.347137                 NaN            NaN            NaN  0.245507       0.342294E-001            NaN            NaN            NaN
  1307.86        2500.00        99.2621       0.118339                 NaN  0.343574                 NaN            NaN            NaN  0.242419       0.335882E-001            NaN            NaN            NaN
  1306.46        2500.00        99.2700       0.116244                 NaN  0.341307                 NaN            NaN            NaN  0.239563       0.328947E-001            NaN            NaN            NaN
  1305.05        2500.00        99.2782       0.114724                 NaN  0.337951                 NaN            NaN            NaN  0.236846       0.323013E-001            NaN            NaN            NaN
  1303.65        2500.00        99.2858       0.112484                 NaN  0.335942                 NaN            NaN            NaN  0.234140       0.316530E-001            NaN            NaN            NaN
  1302.24        2500.00        99.2937       0.110596                 NaN  0.333202                 NaN            NaN            NaN  0.231491       0.310290E-001            NaN            NaN            NaN
  1300.83        2500.00        99.2994       0.108976                 NaN  0.331016                 NaN            NaN            NaN  0.230108       0.305424E-001            NaN            NaN            NaN
  1299.43        2500.00        99.3098       0.105526                 NaN  0.330012                 NaN            NaN            NaN  0.225010       0.296196E-001            NaN            NaN            NaN
  1298.02        2500.00        73.9380        1.82592                 NaN   3.93003                 NaN            NaN            NaN   3.60516       0.644218        16.0566                 NaN            NaN
  1296.62        2500.00        71.2584        1.31958                 NaN   4.76797                 NaN   1.07988                 NaN   3.85220       0.642409E-001   17.6577                 NaN            NaN
  1295.21        2500.00        71.2059        1.23464                 NaN   4.81330                 NaN   1.24328                 NaN   3.84109                 NaN   17.6617                 NaN            NaN
  1293.80        2500.00        75.4520        1.09417                 NaN   4.09454                 NaN   1.04488                 NaN   3.28172                 NaN   15.0327                 NaN            NaN
  1292.40        2500.00        78.5450       0.986621                 NaN   3.57640                 NaN  0.901101                 NaN   2.87333                 NaN   13.1175                 NaN            NaN
  1290.99        2500.00        80.6640       0.843271                 NaN   3.25126                 NaN  0.824382                 NaN   2.57565                 NaN   11.8414                 NaN            NaN
  1289.59        2500.00        83.0598       0.884136                 NaN   2.78508                 NaN  0.677353                 NaN   2.28950                 NaN   10.3041                 NaN            NaN
  1288.18        2500.00        84.2229       0.765721                 NaN   2.63266                 NaN  0.644159                 NaN   2.11467                 NaN   9.61992                 NaN            NaN
  1286.78        2500.00        85.4665       0.722022                 NaN   2.42697                 NaN  0.586846                 NaN   1.94909                 NaN   8.84853                 NaN            NaN
  1285.37        2500.00        85.6990       0.711310                 NaN   2.39269                 NaN  0.575074                 NaN   1.91591                 NaN   8.70600                 NaN            NaN
  1283.96        2500.00        82.7302       0.858745                 NaN   3.03206                 NaN  0.694705                 NaN   2.34059                 NaN   10.3437                 NaN            NaN
  1282.56        2500.00        94.3175       0.265542                 NaN  0.795745                 NaN  0.254166                 NaN  0.697302                 NaN   3.66970                 NaN            NaN
  1281.15        2500.00        87.6356       0.563641                 NaN   2.08077                 NaN  0.517108                 NaN   1.62826                 NaN   7.57460                 NaN            NaN
  1279.75        2500.00        89.8821       0.539020                 NaN   1.67282                 NaN  0.398702                 NaN   1.34035                 NaN   6.16701                 NaN            NaN
  1278.34        2500.00        88.9931       0.542097                 NaN   1.83939                 NaN  0.446009                 NaN   1.44159                 NaN   6.73781                 NaN            NaN
