|6.6.6
Archiving\03_Data\Deqfrac/QFM/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1493.42        2500.00        98.4620       0.397808       0.100149                 NaN   1.04006                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00        98.9402       0.272079       0.692421E-001            NaN  0.718497                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00        98.9501       0.269458       0.673676E-001            NaN  0.713050                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00        99.3342       0.170187       0.432216E-001            NaN  0.452402                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00        98.5937       0.359614       0.895909E-001            NaN  0.957049                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        98.9807       0.262364       0.626533E-001            NaN  0.694257                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00        98.9832       0.262704       0.610085E-001            NaN  0.693129                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00        98.9968       0.257414       0.602689E-001            NaN  0.685529                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00        99.0029       0.255480       0.594346E-001            NaN  0.682235                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00        99.0128       0.255101       0.567396E-001            NaN  0.675382                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00        99.0181       0.253503       0.554784E-001            NaN  0.672891                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00        99.0269       0.252052       0.536899E-001            NaN  0.667394                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00        99.0336       0.250714       0.521854E-001            NaN  0.663522                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.0403       0.249398       0.506293E-001            NaN  0.659633                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.17        2500.00        99.0458       0.249883       0.483638E-001            NaN  0.655993                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.65        2500.00        99.0545       0.246092       0.478525E-001            NaN  0.651519                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.13        2500.00        99.0597       0.247168       0.453681E-001            NaN  0.647758                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        99.0658       0.245268       0.443780E-001            NaN  0.644538                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.09        2500.00        99.0721       0.244234       0.430934E-001            NaN  0.640598                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.58        2500.00        99.0764       0.245328       0.400690E-001            NaN  0.638162                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00        99.0809       0.247539       0.375431E-001            NaN  0.634017                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.0883       0.243787       0.373693E-001            NaN  0.630499                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.02        2500.00        99.0916       0.245760       0.342444E-001            NaN  0.628360                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        99.0955       0.246944       0.320596E-001            NaN  0.625453                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.98        2500.00        99.0994       0.243335       0.302582E-001            NaN  0.622426       0.455011E-002            NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00        99.0674       0.296934E-001  0.144771E-001            NaN  0.302473       0.585944                 NaN            NaN            NaN            NaN            NaN
  1453.95        2500.00        99.0684       0.448501E-002  0.114110E-001            NaN  0.578470       0.337264                 NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        99.0726       0.861781E-002  0.101795E-001            NaN  0.331762       0.576829                 NaN            NaN            NaN            NaN            NaN
  1450.91        2500.00        99.0797       0.777321E-001  0.166052E-001            NaN  0.580982       0.244977                 NaN            NaN            NaN            NaN            NaN
  1449.39        2500.00        99.0810       0.237998E-002  0.935950E-006            NaN  0.347417       0.569193                 NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00        98.6592                 NaN  0.696025E-001            NaN  0.615638       0.434421       0.221182                 NaN            NaN            NaN            NaN
  1446.36        2500.00        97.5294                 NaN  0.255128                 NaN  0.664711       0.733325       0.817409                 NaN            NaN            NaN            NaN
  1444.84        2500.00        97.5787                 NaN  0.253813                 NaN  0.720339       0.645568       0.801618                 NaN            NaN            NaN            NaN
  1443.32        2500.00        97.6248                 NaN  0.253027                 NaN  0.707840       0.626982       0.787321                 NaN            NaN            NaN            NaN
  1441.80        2500.00        97.6747                 NaN  0.251291                 NaN  0.608541       0.694550       0.770959                 NaN            NaN            NaN            NaN
  1440.28        2500.00        97.7169                 NaN  0.250908                 NaN  0.683044       0.591244       0.757913                 NaN            NaN            NaN            NaN
  1438.77        2500.00        97.7603                 NaN  0.249827                 NaN  0.673542       0.572714       0.743582                 NaN            NaN            NaN            NaN
  1437.25        2500.00        97.8094                 NaN  0.247343                 NaN  0.658735       0.556771       0.727774                 NaN            NaN            NaN            NaN
  1435.73        2500.00        97.8455                 NaN  0.247560                 NaN  0.649303       0.541195       0.716437                 NaN            NaN            NaN            NaN
  1434.21        2500.00        97.8821                 NaN  0.247013                 NaN  0.639573       0.526263       0.705034                 NaN            NaN            NaN            NaN
  1432.69        2500.00        97.9255                 NaN  0.245626                 NaN  0.626947       0.510992       0.690892                 NaN            NaN            NaN            NaN
  1431.17        2500.00        97.9617                 NaN  0.244671                 NaN  0.618477       0.496066       0.679118                 NaN            NaN            NaN            NaN
  1429.66        2500.00        97.9968                 NaN  0.244094                 NaN  0.609239       0.481773       0.668097                 NaN            NaN            NaN            NaN
  1428.14        2500.00        98.0304                 NaN  0.243657                 NaN  0.600474       0.468021       0.657429                 NaN            NaN            NaN            NaN
  1426.62        2500.00        98.0637                 NaN  0.243140                 NaN  0.455112       0.591315       0.646708                 NaN            NaN            NaN            NaN
  1425.10        2500.00        98.0978                 NaN  0.242282                 NaN  0.441722       0.582440       0.635780                 NaN            NaN            NaN            NaN
  1423.58        2500.00        98.1293                 NaN  0.241815                 NaN  0.574072       0.429220       0.625629                 NaN            NaN            NaN            NaN
  1422.07        2500.00        98.1597                 NaN  0.241423                 NaN  0.565972       0.416992       0.615950                 NaN            NaN            NaN            NaN
  1420.55        2500.00        98.1886                 NaN  0.241028                 NaN  0.405643       0.558128       0.606623                 NaN            NaN            NaN            NaN
  1419.03        2500.00        98.2187                 NaN  0.240996                 NaN  0.392862       0.550131       0.597335                 NaN            NaN            NaN            NaN
  1417.51        2500.00        98.2486                 NaN  0.239344                 NaN  0.542403       0.382579       0.587088                 NaN            NaN            NaN            NaN
  1415.99        2500.00        98.2727                 NaN  0.240190                 NaN  0.371415       0.536000       0.579733                 NaN            NaN            NaN            NaN
  1414.47        2500.00        98.3005                 NaN  0.239583                 NaN  0.528573       0.360570       0.570728                 NaN            NaN            NaN            NaN
  1412.96        2500.00        98.3255                 NaN  0.239466                 NaN  0.350071       0.522075       0.562880                 NaN            NaN            NaN            NaN
  1411.44        2500.00        98.3480                 NaN  0.239748                 NaN  0.515958       0.340724       0.555530                 NaN            NaN            NaN            NaN
  1409.92        2500.00        98.3772                 NaN  0.239071                 NaN  0.508416       0.329122       0.546171                 NaN            NaN            NaN            NaN
  1408.40        2500.00        98.4016                 NaN  0.237916                 NaN  0.501915       0.320526       0.538045                 NaN            NaN            NaN            NaN
  1406.88        2500.00        98.3753                 NaN  0.230372                 NaN  0.505032       0.340250       0.549029                 NaN            NaN            NaN            NaN
  1405.36        2500.00        98.5097                 NaN  0.244358                 NaN  0.473471       0.269397       0.503028                 NaN            NaN            NaN            NaN
  1403.85        2500.00        98.4674                 NaN  0.238385                 NaN  0.484797       0.292349       0.517083                 NaN            NaN            NaN            NaN
  1402.33        2500.00        98.4890                 NaN  0.238150                 NaN  0.479207       0.283701       0.509935                 NaN            NaN            NaN            NaN
  1400.81        2500.00        98.5090                 NaN  0.238384                 NaN  0.275173       0.473759       0.503712                 NaN            NaN            NaN            NaN
  1399.29        2500.00        98.5289                 NaN  0.238332                 NaN  0.469077       0.266612       0.497121                 NaN            NaN            NaN            NaN
  1397.77        2500.00        98.5509                 NaN  0.237739                 NaN  0.463214       0.257997       0.490159                 NaN            NaN            NaN            NaN
  1396.26        2500.00        98.5708                 NaN  0.237640                 NaN  0.457668       0.250293       0.483567                 NaN            NaN            NaN            NaN
  1394.74        2500.00        98.5880                 NaN  0.238055                 NaN  0.242614       0.453262       0.478053                 NaN            NaN            NaN            NaN
  1393.22        2500.00        98.6080                 NaN  0.237596                 NaN  0.448142       0.234753       0.471499                 NaN            NaN            NaN            NaN
  1391.70        2500.00        98.6259                 NaN  0.237747                 NaN  0.443254       0.227302       0.465810                 NaN            NaN            NaN            NaN
  1390.18        2500.00        98.6330                 NaN  0.241103                 NaN  0.442172       0.218977       0.464769                 NaN            NaN            NaN            NaN
  1388.66        2500.00        98.6439                 NaN  0.243757                 NaN  0.214928       0.434071       0.463349                 NaN            NaN            NaN            NaN
  1387.15        2500.00        98.7081                 NaN  0.228169                 NaN  0.206589       0.422630       0.434524                 NaN            NaN            NaN            NaN
  1385.63        2500.00        98.6943                 NaN  0.237216                 NaN  0.425431       0.199725       0.443342                 NaN            NaN            NaN            NaN
  1384.11        2500.00        98.7097                 NaN  0.237549                 NaN  0.421967       0.192287       0.438516                 NaN            NaN            NaN            NaN
  1382.59        2500.00        98.7254                 NaN  0.237523                 NaN  0.185780       0.417948       0.433388                 NaN            NaN            NaN            NaN
  1381.07        2500.00        98.7412                 NaN  0.237180                 NaN  0.413699       0.179780       0.428110                 NaN            NaN            NaN            NaN
  1379.56        2500.00        98.7560                 NaN  0.237211                 NaN  0.173549       0.410082       0.423202                 NaN            NaN            NaN            NaN
  1378.04        2500.00        98.7710                 NaN  0.237064                 NaN  0.406091       0.167499       0.418334                 NaN            NaN            NaN            NaN
  1376.52        2500.00        98.7850                 NaN  0.237040                 NaN  0.402610       0.161662       0.413661                 NaN            NaN            NaN            NaN
  1375.00        2500.00        98.7996                 NaN  0.236710                 NaN  0.155949       0.398814       0.408890                 NaN            NaN            NaN            NaN
  1373.48        2500.00        98.8122                 NaN  0.237167                 NaN  0.149607       0.396158       0.404897                 NaN            NaN            NaN            NaN
  1371.96        2500.00        98.8279                 NaN  0.235721                 NaN  0.145680       0.391514       0.399160                 NaN            NaN            NaN            NaN
  1370.45        2500.00        98.8404                 NaN  0.236178                 NaN  0.388478       0.139622       0.395277                 NaN            NaN            NaN            NaN
  1368.93        2500.00        98.8527                 NaN  0.235973                 NaN  0.385238       0.135026       0.391091                 NaN            NaN            NaN            NaN
  1367.41        2500.00        98.8637                 NaN  0.236060                 NaN  0.382823       0.130087       0.387351                 NaN            NaN            NaN            NaN
  1365.89        2500.00        98.8795                 NaN  0.234779                 NaN  0.378630       0.125074       0.382025                 NaN            NaN            NaN            NaN
  1364.37        2500.00        98.8912                 NaN  0.234573                 NaN  0.375552       0.120556       0.378096                 NaN            NaN            NaN            NaN
  1362.85        2500.00        98.9023                 NaN  0.234432                 NaN  0.372810       0.116104       0.374322                 NaN            NaN            NaN            NaN
  1361.34        2500.00        98.9133                 NaN  0.234283                 NaN  0.370080       0.111735       0.370614                 NaN            NaN            NaN            NaN
  1359.82        2500.00        98.9261                 NaN  0.233030                 NaN  0.108101       0.366670       0.366068                 NaN            NaN            NaN            NaN
  1358.30        2500.00        98.9381                 NaN  0.233006                 NaN  0.363226       0.103305       0.362354                 NaN            NaN            NaN            NaN
  1356.78        2500.00        98.9486                 NaN  0.232076                 NaN  0.361020       0.999023E-001  0.358367                 NaN            NaN            NaN            NaN
  1355.26        2500.00        98.9559                 NaN  0.232372                 NaN  0.959374E-001  0.359631       0.356168                 NaN            NaN            NaN            NaN
  1353.75        2500.00        98.6033                 NaN            NaN            NaN  0.357363       0.492575       0.391098       0.155672                 NaN            NaN            NaN
  1352.23        2500.00        98.5320                 NaN            NaN            NaN  0.335412       0.532423       0.410219       0.189993                 NaN            NaN            NaN
  1350.71        2500.00        98.5637                 NaN            NaN            NaN  0.520363       0.327391       0.402393       0.186153                 NaN            NaN            NaN
  1349.19        2500.00        98.5933                 NaN            NaN            NaN  0.509888       0.318841       0.395251       0.182715                 NaN            NaN            NaN
  1347.67        2500.00        98.6243                 NaN            NaN            NaN  0.496697       0.313322       0.387494       0.178208                 NaN            NaN            NaN
  1346.15        2500.00        98.6540                 NaN            NaN            NaN  0.484571       0.306954       0.380277       0.174242                 NaN            NaN            NaN
  1344.64        2500.00        98.6812                 NaN            NaN            NaN  0.300295       0.474218       0.373617       0.170681                 NaN            NaN            NaN
  1343.12        2500.00        98.7090                 NaN            NaN            NaN  0.463154       0.294176       0.366816       0.166889                 NaN            NaN            NaN
  1341.60        2500.00        98.7351                 NaN            NaN            NaN  0.288169       0.453117       0.360272       0.163355                 NaN            NaN            NaN
  1340.08        2500.00        98.7610                 NaN            NaN            NaN  0.282878       0.442522       0.353779       0.159785                 NaN            NaN            NaN
  1338.56        2500.00        98.7865                 NaN            NaN            NaN  0.432806       0.276899       0.347425       0.156350                 NaN            NaN            NaN
  1337.04        2500.00        98.8111                 NaN            NaN            NaN  0.271875       0.422794       0.341335       0.152854                 NaN            NaN            NaN
  1335.53        2500.00        98.8348                 NaN            NaN            NaN  0.413558       0.266653       0.335355       0.149667                 NaN            NaN            NaN
  1334.01        2500.00        98.8580                 NaN            NaN            NaN  0.261688       0.404384       0.329507       0.146403                 NaN            NaN            NaN
  1332.49        2500.00        98.8807                 NaN            NaN            NaN  0.395210       0.257101       0.323776       0.143213                 NaN            NaN            NaN
  1330.97        2500.00        98.9025                 NaN            NaN            NaN  0.252502       0.386603       0.318328       0.140113                 NaN            NaN            NaN
  1329.45        2500.00        98.9237                 NaN            NaN            NaN  0.247934       0.378346       0.312883       0.137115                 NaN            NaN            NaN
  1327.94        2500.00        98.9446                 NaN            NaN            NaN  0.369913       0.243696       0.307583       0.134186                 NaN            NaN            NaN
  1326.42        2500.00        98.9647                 NaN            NaN            NaN  0.239534       0.362045       0.302464       0.131220                 NaN            NaN            NaN
  1324.90        2500.00        98.9842                 NaN            NaN            NaN  0.235808       0.354168       0.297409       0.128394                 NaN            NaN            NaN
  1323.38        2500.00        99.0034                 NaN            NaN            NaN  0.346867       0.231358       0.292611       0.125790                 NaN            NaN            NaN
  1321.86        2500.00        99.0220                 NaN            NaN            NaN  0.227848       0.339421       0.287709       0.123036                 NaN            NaN            NaN
  1320.34        2500.00        99.0398                 NaN            NaN            NaN  0.224496       0.332209       0.283096       0.120357                 NaN            NaN            NaN
  1318.83        2500.00        99.0574                 NaN            NaN            NaN  0.325154       0.221100       0.278602       0.117747                 NaN            NaN            NaN
  1317.31        2500.00        99.0749                 NaN            NaN            NaN  0.318581       0.217223       0.273950       0.115301                 NaN            NaN            NaN
  1315.79        2500.00        99.0912                 NaN            NaN            NaN  0.311423       0.214800       0.269858       0.112736                 NaN            NaN            NaN
  1314.27        2500.00        99.1076                 NaN            NaN            NaN  0.210842       0.305677       0.265535       0.110382                 NaN            NaN            NaN
  1312.75        2500.00        99.1236                 NaN            NaN            NaN  0.298706       0.208323       0.261324       0.107997                 NaN            NaN            NaN
  1311.24        2500.00        99.1387                 NaN            NaN            NaN  0.205377       0.292902       0.257414       0.105649                 NaN            NaN            NaN
  1309.72        2500.00        99.1538                 NaN            NaN            NaN  0.287002       0.202529       0.253356       0.103346                 NaN            NaN            NaN
  1308.20        2500.00        99.1687                 NaN            NaN            NaN  0.199863       0.280731       0.249476       0.101217                 NaN            NaN            NaN
  1306.68        2500.00        99.1830                 NaN            NaN            NaN  0.196991       0.275283       0.245637       0.990579E-001            NaN            NaN            NaN
  1305.16        2500.00        99.1971                 NaN            NaN            NaN  0.194229       0.269924       0.241884       0.969102E-001            NaN            NaN            NaN
  1303.64        2500.00        99.2104                 NaN            NaN            NaN  0.264435       0.191893       0.238421       0.948225E-001            NaN            NaN            NaN
  1302.13        2500.00        99.2236                 NaN            NaN            NaN  0.189726       0.259144       0.234817       0.927322E-001            NaN            NaN            NaN
  1300.61        2500.00        99.2368                 NaN            NaN            NaN  0.187216       0.253894       0.231387       0.907330E-001            NaN            NaN            NaN
  1299.09        2500.00        99.2491                 NaN            NaN            NaN  0.185262       0.248728       0.228104       0.888219E-001            NaN            NaN            NaN
  1297.57        2500.00        99.2617                 NaN            NaN            NaN  0.244123       0.182869       0.224529       0.867595E-001            NaN            NaN            NaN
  1296.05        2500.00        81.7552                 NaN            NaN            NaN   1.95520        2.26630        2.39156       0.823651        10.8081                 NaN            NaN
  1294.53        2500.00        79.4480                 NaN            NaN            NaN   2.11844        2.56424        2.67168       0.896980        12.3006                 NaN            NaN
  1293.02        2500.00        83.1079                 NaN            NaN            NaN   1.72397        2.13088        2.21268       0.730768        10.0938                 NaN            NaN
  1291.50        2500.00        84.7102                 NaN            NaN            NaN   1.56042        1.91138        2.01889       0.663176        9.13592                 NaN            NaN
  1289.98        2500.00        88.5398                 NaN            NaN            NaN   1.15191        1.47462        1.52207       0.491311        6.82032                 NaN            NaN
  1288.46        2500.00        88.9902                 NaN            NaN            NaN   1.40719        1.10381        1.47177       0.474484        6.55257                 NaN            NaN
  1286.94        2500.00        87.7011                 NaN            NaN            NaN   1.15725        1.69387        1.66160       0.482445        7.30371                 NaN            NaN
  1285.43        2500.00        94.2310                 NaN            NaN            NaN  0.675157       0.621931       0.779116       0.283012        3.40982                 NaN            NaN
  1283.91        2500.00        84.8081                 NaN            NaN            NaN   1.53568        1.92831        2.03287       0.553976        9.14104                 NaN            NaN
  1282.39        2500.00        99.6587                 NaN            NaN            NaN  0.984286E-001            NaN  0.106521       0.136352                 NaN            NaN            NaN
  1280.87        2500.00        94.8700                 NaN            NaN            NaN  0.465923       0.598304       0.686798       0.255420        3.12353                 NaN            NaN
  1279.35        2500.00        91.8953                 NaN            NaN            NaN  0.867764       0.983765        1.07586       0.270755        4.90660                 NaN            NaN
  1277.83        2500.00        95.8135                 NaN            NaN            NaN  0.548539       0.364503       0.622021       0.292264        2.35918                 NaN            NaN
  1276.32        2500.00        94.9248                 NaN            NaN            NaN  0.641356       0.502820       0.704057       0.228500        2.99846                 NaN            NaN
  1274.80        2500.00        94.9592                 NaN            NaN            NaN  0.517796       0.594821       0.701157       0.236074        2.99091                 NaN            NaN
