|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         Sp(TH)         ne             lc            
  1398.34        2500.00        98.7344                 NaN  0.164385                 NaN  0.271713       0.388970       0.440529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.76        2500.00        98.7543                 NaN  0.163044                 NaN  0.383538       0.265565       0.433552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.19        2500.00        98.7749                 NaN  0.161742                 NaN  0.258983       0.378049       0.426375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.62        2500.00        98.7929                 NaN  0.160719                 NaN  0.252918       0.373246       0.420209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1392.04        2500.00        98.8107                 NaN  0.159835                 NaN  0.246581       0.368538       0.414361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.47        2500.00        98.8281                 NaN  0.159155                 NaN  0.363193       0.241221       0.408360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1388.89        2500.00        98.8483                 NaN  0.156973                 NaN  0.358383       0.235439       0.400898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.32        2500.00        98.8632                 NaN  0.156534                 NaN  0.230024       0.354170       0.396027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1385.74        2500.00        98.8801                 NaN  0.155318                 NaN  0.224705       0.349747       0.390081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1384.17        2500.00        98.8959                 NaN  0.154574                 NaN  0.345249       0.219540       0.384783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.59        2500.00        98.9116                 NaN  0.152974                 NaN  0.341588       0.214795       0.379010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1381.02        2500.00        98.9272                 NaN  0.152056                 NaN  0.210102       0.336960       0.373694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.45        2500.00        98.9428                 NaN  0.150979                 NaN  0.205505       0.332471       0.368235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1377.87        2500.00        98.9572                 NaN  0.149840                 NaN  0.200734       0.329026       0.363155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.30        2500.00        98.9722                 NaN  0.148607                 NaN  0.324491       0.196842       0.357864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1374.72        2500.00        98.9855                 NaN  0.147546                 NaN  0.192631       0.321091       0.353197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1373.15        2500.00        98.9996                 NaN  0.146232                 NaN  0.189468       0.316535       0.348157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1371.57        2500.00        99.0134                 NaN  0.145110                 NaN  0.185015       0.313164       0.343303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1370.00        2500.00        99.0263                 NaN  0.144067                 NaN  0.309733       0.181062       0.338860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.42        2500.00        99.0395                 NaN  0.142500                 NaN  0.178476       0.305608       0.333935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1366.85        2500.00        99.0519                 NaN  0.141625                 NaN  0.302792       0.174169       0.329560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1365.27        2500.00        99.0649                 NaN  0.140068                 NaN  0.171616       0.298478       0.324895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1363.70        2500.00        99.0767                 NaN  0.138911                 NaN  0.168855       0.294822       0.320673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1362.13        2500.00        99.0880                 NaN  0.137839                 NaN  0.292103       0.165524       0.316545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1360.55        2500.00        99.1004                 NaN  0.136064                 NaN  0.288426       0.163052       0.312033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1358.98        2500.00        99.1118                 NaN  0.134941                 NaN  0.285287       0.160063       0.307953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1357.40        2500.00        99.1222                 NaN  0.133649                 NaN  0.282109       0.157844       0.304181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1355.83        2500.00        99.1331                 NaN  0.132037                 NaN  0.279233       0.155578       0.300083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1354.25        2500.00        99.1438                 NaN  0.130603                 NaN  0.275847       0.153588       0.296122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1352.68        2500.00        99.1545                 NaN  0.129275                 NaN  0.272360       0.151588       0.292322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1351.10        2500.00        99.1649                 NaN  0.128002                 NaN  0.149171       0.269482       0.288478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1349.53        2500.00        99.1726                 NaN  0.127690                 NaN  0.267023       0.146539       0.286185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1347.96        2500.00        99.1863                 NaN  0.123237                 NaN  0.262634       0.147961       0.279847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.38        2500.00        99.1940                 NaN  0.123257                 NaN  0.260294       0.144834       0.277576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.81        2500.00        99.2029                 NaN  0.121719                 NaN  0.143626       0.257496       0.274259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.23        2500.00        99.2130                 NaN  0.120028                 NaN  0.142027       0.254496       0.270421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1341.66        2500.00        99.2219                 NaN  0.118573                 NaN  0.140806       0.251555       0.267170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
