|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         Sp(TH)         Sp(TH)         ne             lc            
  1569.95        2500.00        99.2551       0.685406       0.595120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00        99.2542       0.686469       0.593636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00        99.2651       0.677365       0.574880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00        99.2709       0.672514       0.565718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.66        2500.00        99.2763       0.667923       0.557955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.08        2500.00        99.2802       0.665236       0.546097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.51        2500.00        99.2865       0.658266       0.552677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.93        2500.00        99.1724       0.766293       0.613080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        2500.00        99.4240       0.531933       0.440989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.78        2500.00        99.8810       0.879303E-001  0.310264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.21        2500.00        98.7271        1.21051       0.623448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.64        2500.00        99.3180       0.632986       0.490312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00        99.3204       0.631648       0.479974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.49        2500.00        99.3249       0.628435       0.466450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        2500.00        99.3298       0.624731       0.454572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.34        2500.00        99.3334       0.622442       0.441728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        2500.00        99.3402       0.615505       0.442652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.19        2500.00        99.3463       0.608821       0.448921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        2500.00        99.9796                 NaN  0.204042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.04        2500.00        98.7201        1.22167       0.581880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.47        2500.00        99.3568       0.604481       0.386805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.89        2500.00        99.3625       0.599471       0.380558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.32        2500.00        99.3655       0.597076       0.373797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.74        2500.00        99.3705       0.592940       0.366039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        2500.00        99.3746       0.579184       0.461954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.59        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.02        2500.00        98.7591        1.18501       0.558837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.44        2500.00        99.3858       0.568374       0.458439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.87        2500.00        99.3879       0.599095       0.130394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.30        2500.00        99.3921       0.580142       0.278040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.72        2500.00        99.3961       0.575638       0.282349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.15        2500.00        99.2947       0.220442       0.281399E-002            NaN  0.482087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        2500.00        99.4866                 NaN            NaN            NaN  0.513447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.00        2500.00        98.9063                 NaN            NaN            NaN   1.09367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        2500.00        99.1928                 NaN            NaN            NaN  0.807157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.85        2500.00        98.9022                 NaN  0.119963E-001            NaN   1.08577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.27        2500.00        99.4749                 NaN  0.115725E-004            NaN  0.525135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00        99.1701                 NaN            NaN            NaN  0.829864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.13        2500.00        99.1677                 NaN            NaN            NaN  0.832340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.55        2500.00        98.7230                 NaN            NaN            NaN  0.537954       0.739034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.98        2500.00        98.7079                 NaN            NaN            NaN  0.514148       0.777907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.40        2500.00        98.7216                 NaN            NaN            NaN  0.507725       0.770720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.83        2500.00        98.7337                 NaN            NaN            NaN  0.502453       0.763829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.25        2500.00        98.7469                 NaN            NaN            NaN  0.496849       0.756204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.68        2500.00        98.7590                 NaN            NaN            NaN  0.749447       0.491545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.10        2500.00        98.7729                 NaN  0.359193E-005            NaN  0.485902       0.741209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.53        2500.00        98.7817                 NaN            NaN            NaN  0.482621       0.735702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.96        2500.00        98.7989                 NaN  0.181953E-001            NaN  0.448960       0.733916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.38        2500.00        99.1048                 NaN  0.760472E-002            NaN  0.541097       0.346547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.81        2500.00        99.8671                 NaN            NaN            NaN  0.859925E-001  0.468740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        97.4926                 NaN  0.227295E-001            NaN  0.926839        1.55783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.66        2500.00        98.8481                 NaN  0.302899E-001            NaN  0.412153       0.709435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.08        2500.00        99.1062                 NaN  0.232103E-001            NaN  0.551896       0.318722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.51        2500.00        98.6125                 NaN  0.344438E-001            NaN  0.497483       0.855575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00        98.8769                 NaN  0.286424E-001            NaN  0.693266       0.401207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.36        2500.00        98.8766                 NaN  0.240693E-001            NaN  0.690119       0.409256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.79        2500.00        98.9051                 NaN  0.227107E-001            NaN  0.673663       0.398573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.21        2500.00        98.9043                 NaN  0.227470E-001            NaN  0.675376       0.397610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.64        2500.00        98.9083                 NaN  0.339628E-001            NaN  0.678371       0.379316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.06        2500.00        98.4236                 NaN  0.138427E-001            NaN  0.600848       0.961716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.49        2500.00        99.4482                 NaN  0.110956E-001            NaN  0.339240       0.201456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        98.9394                 NaN  0.176930E-001            NaN  0.653168       0.389764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00        98.9505                 NaN  0.162599E-001            NaN  0.646037       0.387165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        98.9573                 NaN  0.151551E-001            NaN  0.385274       0.642285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.19        2500.00        98.9649                 NaN  0.141438E-001            NaN  0.383204       0.637761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.61        2500.00        98.9716                 NaN  0.131812E-001            NaN  0.633297       0.381966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.04        2500.00        98.9808                 NaN  0.119627E-001            NaN  0.378916       0.628341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.47        2500.00        98.9866                 NaN  0.111078E-001            NaN  0.624027       0.378226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.89        2500.00        99.0235                 NaN  0.656585E-002            NaN  0.368159       0.601762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.32        2500.00        98.9758                 NaN  0.117254E-001            NaN  0.379775       0.632724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.74        2500.00        99.0089                 NaN  0.786293E-002            NaN  0.612023       0.371242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.17        2500.00        99.0164                 NaN  0.663910E-002            NaN  0.369685       0.607236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.0227                 NaN  0.583023E-002            NaN  0.603966       0.367534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.02        2500.00        99.0037                 NaN            NaN            NaN  0.407282       0.589039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.0610                 NaN  0.859213E-002            NaN  0.321749       0.608681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.87        2500.00        98.4154                 NaN  0.974456E-001            NaN  0.672787       0.522976       0.291432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.30        2500.00        97.3757                 NaN  0.260238                 NaN  0.796387       0.783670       0.783956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.72        2500.00        97.4370                 NaN  0.257455                 NaN  0.759811       0.779939       0.765803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        2500.00        97.4771                 NaN  0.256257                 NaN  0.743748       0.768395       0.754481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.57        2500.00        97.5625                 NaN  0.253017                 NaN  0.744739       0.710825       0.728935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.00        2500.00        97.6020                 NaN  0.251114                 NaN  0.695457       0.733652       0.717750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.42        2500.00        97.6509                 NaN  0.249474                 NaN  0.676010       0.720465       0.703117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.85        2500.00        97.6919                 NaN  0.248782                 NaN  0.708744       0.659541       0.691078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00        97.7514                 NaN  0.245165                 NaN  0.638011       0.691995       0.673451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.70        2500.00        97.7923                 NaN  0.243911                 NaN  0.621242       0.680983       0.661527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.13        2500.00        97.8366                 NaN  0.242142                 NaN  0.604631       0.668143       0.648453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.55        2500.00        97.8797                 NaN  0.240616                 NaN  0.588065       0.655751       0.635862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00        97.9195                 NaN  0.239170                 NaN  0.644555       0.572766       0.624046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        97.9585                 NaN  0.237843                 NaN  0.556785       0.634261       0.612619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.83        2500.00        97.9965                 NaN  0.236206                 NaN  0.623430       0.542774       0.601078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.25        2500.00        98.0309                 NaN  0.234860                 NaN  0.529164       0.614033       0.591082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.68        2500.00        98.0699                 NaN  0.234022                 NaN  0.513912       0.602673       0.579525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.10        2500.00        98.1056                 NaN  0.231835                 NaN  0.501725       0.592108       0.568687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.53        2500.00        98.1374                 NaN  0.231018                 NaN  0.582981       0.489166       0.559390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.96        2500.00        98.1630                 NaN  0.230838                 NaN  0.477902       0.576569       0.551667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.38        2500.00        98.2052                 NaN  0.227828                 NaN  0.464008       0.564138       0.538817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.81        2500.00        98.2311                 NaN  0.227346                 NaN  0.557728       0.452565       0.531251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.23        2500.00        98.2622                 NaN  0.226171                 NaN  0.441266       0.548285       0.522081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        2500.00        98.2901                 NaN  0.225108                 NaN  0.540609       0.430503       0.513676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.08        2500.00        98.3178                 NaN  0.224026                 NaN  0.532763       0.420014       0.505394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.51        2500.00        98.3434                 NaN  0.223033                 NaN  0.525645       0.410178       0.497767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.93        2500.00        98.3731                 NaN  0.221882                 NaN  0.398762       0.517557       0.488711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.36        2500.00        98.3967                 NaN  0.220600                 NaN  0.510714       0.390452       0.481565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.79        2500.00        98.4174                 NaN  0.222511                 NaN  0.504079       0.379850       0.476111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.21        2500.00        98.4518                 NaN  0.216430                 NaN  0.373235       0.494139       0.464360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.4682                 NaN  0.218937                 NaN  0.490941       0.361816       0.460110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.06        2500.00        98.4932                 NaN  0.216060                 NaN  0.355344       0.482867       0.452494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.49        2500.00        98.5141                 NaN  0.215998                 NaN  0.345941       0.477698       0.446217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.91        2500.00        98.5369                 NaN  0.214703                 NaN  0.338175       0.471087       0.439095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.34        2500.00        98.5577                 NaN  0.214365                 NaN  0.329814       0.465079       0.433033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1396.76        2500.00        98.5785                 NaN  0.213062                 NaN  0.459116       0.322777       0.426503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1395.19        2500.00        98.6002                 NaN  0.211772                 NaN  0.315183       0.453065       0.419769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1393.62        2500.00        98.6191                 NaN  0.210868                 NaN  0.308184       0.447799       0.414021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1392.04        2500.00        98.6378                 NaN  0.210147                 NaN  0.300849       0.442664       0.408581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1390.47        2500.00        98.6560                 NaN  0.209658                 NaN  0.436711       0.294675       0.402982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1388.89        2500.00        98.6774                 NaN  0.207258                 NaN  0.431438       0.287984       0.395934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1387.32        2500.00        98.6929                 NaN  0.207123                 NaN  0.281718       0.426842       0.391436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1385.74        2500.00        98.7106                 NaN  0.205924                 NaN  0.275544       0.422013       0.385869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1384.17        2500.00        98.7271                 NaN  0.205392                 NaN  0.417043       0.269557       0.380937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1382.59        2500.00        98.7436                 NaN  0.203692                 NaN  0.413146       0.264061       0.375528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1381.02        2500.00        98.7599                 NaN  0.202905                 NaN  0.258632       0.407975       0.370564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1379.45        2500.00        98.7764                 NaN  0.201859                 NaN  0.253300       0.402972       0.365451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1377.87        2500.00        98.7915                 NaN  0.200740                 NaN  0.247727       0.399280       0.360708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1376.30        2500.00        98.8073                 NaN  0.199516                 NaN  0.394220       0.243223       0.355748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1374.72        2500.00        98.8212                 NaN  0.198530                 NaN  0.238330       0.390562       0.351400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1373.15        2500.00        98.8360                 NaN  0.197157                 NaN  0.234725       0.385483       0.346677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1371.57        2500.00        98.8506                 NaN  0.196037                 NaN  0.229469       0.381799       0.342132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1370.00        2500.00        98.8640                 NaN  0.195064                 NaN  0.378064       0.224840       0.337988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1368.42        2500.00        98.8779                 NaN  0.193335                 NaN  0.221925       0.373443       0.333359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1366.85        2500.00        98.8909                 NaN  0.192514                 NaN  0.370450       0.216830       0.329271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1365.27        2500.00        98.9048                 NaN  0.190805                 NaN  0.213913       0.365579       0.324887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1363.70        2500.00        98.9172                 NaN  0.189610                 NaN  0.210754       0.361490       0.320939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1362.13        2500.00        98.9289                 NaN  0.188551                 NaN  0.358623       0.206866       0.317079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1360.55        2500.00        98.9422                 NaN  0.186484                 NaN  0.354505       0.204007       0.312829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1358.98        2500.00        98.9541                 NaN  0.185299                 NaN  0.351044       0.200522       0.309004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1357.40        2500.00        98.9650                 NaN  0.183937                 NaN  0.347550       0.197988       0.305483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1355.83        2500.00        98.9765                 NaN  0.182105                 NaN  0.344418       0.195388       0.301628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1354.25        2500.00        98.9879                 NaN  0.180486                 NaN  0.340616       0.193126       0.297905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1352.68        2500.00        98.9991                 NaN  0.179001                 NaN  0.336686       0.190835       0.294338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1351.10        2500.00        99.0102                 NaN  0.177601                 NaN  0.188008       0.333494       0.290720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1349.53        2500.00        99.0179                 NaN  0.177534                 NaN  0.330907       0.184956       0.288661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1347.96        2500.00        99.0330                 NaN  0.171680                 NaN  0.325806       0.186957       0.282516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1346.38        2500.00        99.0410                 NaN  0.172051                 NaN  0.323268       0.183220       0.280467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1344.81        2500.00        99.0503                 NaN  0.170252                 NaN  0.181911       0.320162       0.277358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1343.23        2500.00        99.0612                 NaN  0.168204                 NaN  0.180104       0.316802       0.273716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1341.66        2500.00        99.0706                 NaN  0.166493                 NaN  0.178748       0.313473       0.270662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
