|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/TIS/TIS_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q             
  1410.49        500.000                 NaN   98.7752       0.415491       0.382630                 NaN  0.165803E-001  0.410112                 NaN            NaN            NaN
  1409.39        500.000                 NaN   98.7980       0.407824       0.375488                 NaN  0.161935E-001  0.402535                 NaN            NaN            NaN
  1408.29        500.000                 NaN   98.8204       0.400339       0.368347                 NaN  0.158056E-001  0.395085                 NaN            NaN            NaN
  1407.19        500.000                 NaN   98.8426       0.393142       0.361262                 NaN  0.153997E-001  0.387624                 NaN            NaN            NaN
  1406.08        500.000                 NaN   98.8640       0.354595       0.385904                 NaN  0.150156E-001  0.380506                 NaN            NaN            NaN
  1404.98        500.000                 NaN   98.8846       0.347944       0.379090                 NaN  0.146747E-001  0.373691                 NaN            NaN            NaN
  1403.88        500.000                 NaN   98.9048       0.341406       0.372676                 NaN  0.142774E-001  0.366864                 NaN            NaN            NaN
  1402.78        500.000                 NaN   98.9229       0.366393       0.335625                 NaN  0.139835E-001  0.361143                 NaN            NaN            NaN
  1401.68        500.000                 NaN   98.9435       0.359735       0.329084                 NaN  0.136289E-001  0.354014                 NaN            NaN            NaN
  1400.58        500.000                 NaN   98.9619       0.354000       0.323000                 NaN  0.132442E-001  0.347815                 NaN            NaN            NaN
  1399.48        500.000                 NaN   98.9796       0.317505       0.348124                 NaN  0.129422E-001  0.341793                 NaN            NaN            NaN
  1398.38        500.000                 NaN   98.9964       0.312054       0.342723                 NaN  0.126418E-001  0.336212                 NaN            NaN            NaN
  1397.28        500.000                 NaN   99.0132       0.306661       0.337281                 NaN  0.123199E-001  0.330549                 NaN            NaN            NaN
  1396.18        500.000                 NaN   99.0288       0.301605       0.332202                 NaN  0.120771E-001  0.325345                 NaN            NaN            NaN
  1395.08        500.000                 NaN   99.0467       0.326546       0.295794                 NaN  0.117375E-001  0.319264                 NaN            NaN            NaN
  1393.98        500.000                 NaN   99.0614       0.291155       0.321650                 NaN  0.114626E-001  0.314375                 NaN            NaN            NaN
  1392.88        500.000                 NaN   99.0675       0.289639       0.318701                 NaN  0.114073E-001  0.312741                 NaN            NaN            NaN
  1391.78        500.000                 NaN   99.0993       0.278663       0.310164                 NaN  0.107501E-001  0.301147                 NaN            NaN            NaN
  1390.68        500.000                 NaN   99.0380       0.297805       0.330566                 NaN  0.115069E-001  0.322169                 NaN            NaN            NaN
  1389.58        500.000                 NaN   99.1874       0.251280       0.279739                 NaN  0.960541E-002  0.272023                 NaN            NaN            NaN
  1388.48        500.000                 NaN   99.9809       0.737687E-002            NaN            NaN  0.427352E-003  0.112483E-001            NaN            NaN            NaN
  1387.38        500.000                 NaN   98.3025       0.585253       0.529494                 NaN  0.194482E-001  0.563280                 NaN            NaN            NaN
  1386.28        500.000                 NaN   99.1592       0.259226       0.290533                 NaN  0.968088E-002  0.281374                 NaN            NaN            NaN
  1385.18        500.000                 NaN   99.1717       0.255196       0.286523                 NaN  0.944936E-002  0.277131                 NaN            NaN            NaN
  1384.07        500.000                 NaN   99.1839       0.251259       0.282582                 NaN  0.924649E-002  0.273047                 NaN            NaN            NaN
  1382.97        500.000                 NaN   99.1959       0.279064       0.247128                 NaN  0.898959E-002  0.268891                 NaN            NaN            NaN
  1381.87        500.000                 NaN   99.2065       0.275267       0.244069                 NaN  0.883707E-002  0.265367                 NaN            NaN            NaN
  1380.77        500.000                 NaN   99.2204       0.271409       0.239123                 NaN  0.853863E-002  0.260501                 NaN            NaN            NaN
  1379.67        500.000                 NaN   99.2292       0.236088       0.268704                 NaN  0.835981E-002  0.257675                 NaN            NaN            NaN
  1378.57        500.000                 NaN   99.2423       0.264354       0.232025                 NaN  0.814453E-002  0.253127                 NaN            NaN            NaN
  1377.47        500.000                 NaN   99.2519       0.228737       0.261501                 NaN  0.795406E-002  0.249883                 NaN            NaN            NaN
  1376.37        500.000                 NaN   99.2625       0.225293       0.258214                 NaN  0.774864E-002  0.246284                 NaN            NaN            NaN
  1375.27        500.000                 NaN   99.2727       0.221826       0.255088                 NaN  0.756371E-002  0.242788                 NaN            NaN            NaN
  1374.17        500.000                 NaN   99.2814       0.218883       0.252401                 NaN  0.739828E-002  0.239870                 NaN            NaN            NaN
  1373.07        500.000                 NaN   99.2933       0.214964       0.248690                 NaN  0.718680E-002  0.235812                 NaN            NaN            NaN
  1371.97        500.000                 NaN   99.3020       0.212108       0.246070                 NaN  0.700121E-002  0.232815                 NaN            NaN            NaN
  1370.87        500.000                 NaN   99.3111       0.243191       0.209152                 NaN  0.683975E-002  0.229718                 NaN            NaN            NaN
  1369.77        500.000                 NaN   99.3200       0.206023       0.240612                 NaN  0.667707E-002  0.226683                 NaN            NaN            NaN
  1368.67        500.000                 NaN   99.3296       0.202865       0.237701                 NaN  0.647780E-002  0.223401                 NaN            NaN            NaN
  1367.57        500.000                 NaN   99.3380       0.199957       0.235209                 NaN  0.631911E-002  0.220495                 NaN            NaN            NaN
  1366.47        500.000                 NaN   99.3464       0.232632       0.197218                 NaN  0.614892E-002  0.217643                 NaN            NaN            NaN
  1365.37        500.000                 NaN   99.3543       0.230353       0.194424                 NaN  0.599025E-002  0.214956                 NaN            NaN            NaN
  1364.27        500.000                 NaN   99.3639       0.191310       0.227336                 NaN  0.583107E-002  0.211659                 NaN            NaN            NaN
  1363.17        500.000                 NaN   99.3711       0.225255       0.188851                 NaN  0.566757E-002  0.209170                 NaN            NaN            NaN
  1362.06        500.000                 NaN   99.3790       0.186196       0.222822                 NaN  0.552097E-002  0.206475                 NaN            NaN            NaN
  1360.96        500.000                 NaN   99.3871       0.220426       0.183430                 NaN  0.535914E-002  0.203684                 NaN            NaN            NaN
  1359.86        500.000                 NaN   99.3941       0.218264       0.181031                 NaN  0.525935E-002  0.201345                 NaN            NaN            NaN
  1358.76        500.000                 NaN   99.4018       0.178467       0.216044                 NaN  0.507518E-002  0.198632                 NaN            NaN            NaN
  1357.66        500.000                 NaN   99.4092       0.175691       0.214150                 NaN  0.490648E-002  0.196057                 NaN            NaN            NaN
  1356.56        500.000                 NaN   99.4162       0.173340       0.212023                 NaN  0.477747E-002  0.193648                 NaN            NaN            NaN
  1355.46        500.000                 NaN   99.4231       0.170996       0.210022                 NaN  0.462254E-002  0.191274                 NaN            NaN            NaN
  1354.36        500.000                 NaN   99.4300       0.208027       0.168558                 NaN  0.449779E-002  0.188884                 NaN            NaN            NaN
  1353.26        500.000                 NaN   99.4333       0.164943       0.209865                 NaN  0.428280E-002  0.187576                 NaN            NaN            NaN
  1352.16        500.000                 NaN   99.4467       0.200376       0.165298                 NaN  0.429950E-002  0.183359                 NaN            NaN            NaN
  1351.06        500.000                 NaN   99.4495       0.202520       0.161702                 NaN  0.407325E-002  0.182171                 NaN            NaN            NaN
  1349.96        500.000                 NaN   99.4561       0.159412       0.200701                 NaN  0.393480E-002  0.179899                 NaN            NaN            NaN
  1348.86        500.000                 NaN   99.4623       0.157211       0.198908                 NaN  0.381792E-002  0.177754                 NaN            NaN            NaN
  1347.76        500.000                 NaN   99.4682       0.155207       0.197092                 NaN  0.372639E-002  0.175806                 NaN            NaN            NaN
  1346.66        500.000                 NaN   99.4740       0.195614       0.153059                 NaN  0.357358E-002  0.173745                 NaN            NaN            NaN
  1345.56        500.000                 NaN   99.4803       0.193863       0.150927                 NaN  0.342074E-002  0.171482                 NaN            NaN            NaN
  1344.46        500.000                 NaN   99.4862       0.148761       0.192284                 NaN  0.330313E-002  0.169486                 NaN            NaN            NaN
  1343.36        500.000                 NaN   99.4915       0.146898       0.190708                 NaN  0.321147E-002  0.167687                 NaN            NaN            NaN
  1342.26        500.000                 NaN   99.4975       0.189106       0.144782                 NaN  0.306775E-002  0.165564                 NaN            NaN            NaN
  1341.16        500.000                 NaN   99.5026       0.187790       0.142830                 NaN  0.295299E-002  0.163844                 NaN            NaN            NaN
  1340.05        500.000                 NaN   99.5071       0.141124       0.186742                 NaN  0.283169E-002  0.162238                 NaN            NaN            NaN
  1338.95        500.000                 NaN   99.5142       0.138640       0.184725                 NaN  0.269744E-002  0.159736                 NaN            NaN            NaN
  1337.85        500.000                 NaN   99.5180       0.137172       0.183660                 NaN  0.262578E-002  0.158518                 NaN            NaN            NaN
  1336.75        500.000                 NaN   99.5236       0.135137       0.182291                 NaN  0.248493E-002  0.156505                 NaN            NaN            NaN
  1335.65        500.000                 NaN   99.5282       0.180882       0.133613                 NaN  0.239232E-002  0.154928                 NaN            NaN            NaN
  1334.55        500.000                 NaN   99.5331       0.179980       0.131475                 NaN  0.224027E-002  0.153172                 NaN            NaN            NaN
  1333.45        500.000                 NaN   99.5385       0.178038       0.129952                 NaN  0.216510E-002  0.151369                 NaN            NaN            NaN
  1332.35        500.000                 NaN   99.5664       0.168135       0.121378                 NaN  0.192958E-002  0.142141                 NaN            NaN            NaN
  1331.25        500.000                 NaN   99.5238       0.133010       0.185292                 NaN  0.202532E-002  0.155886                 NaN            NaN            NaN
  1330.15        500.000                 NaN   99.5519       0.174931       0.124620                 NaN  0.185465E-002  0.146739                 NaN            NaN            NaN
  1329.05        500.000                 NaN   99.5565       0.173826       0.122895                 NaN  0.171435E-002  0.145061                 NaN            NaN            NaN
  1327.95        500.000                 NaN   99.5609       0.121132       0.172862                 NaN  0.159639E-002  0.143551                 NaN            NaN            NaN
  1326.85        500.000                 NaN   99.5651       0.119513       0.171787                 NaN  0.149924E-002  0.142060                 NaN            NaN            NaN
  1325.75        500.000                 NaN   99.5693       0.170724       0.117936                 NaN  0.139968E-002  0.140615                 NaN            NaN            NaN
  1324.65        500.000                 NaN   99.5736       0.116219       0.169733                 NaN  0.130681E-002  0.139168                 NaN            NaN            NaN
  1323.55        500.000                 NaN   99.5777       0.114668       0.168749                 NaN  0.119965E-002  0.137730                 NaN            NaN            NaN
  1322.45        500.000                 NaN   99.5815       0.113151       0.167851                 NaN  0.109542E-002  0.136371                 NaN            NaN            NaN
  1321.35        500.000                 NaN   99.5854       0.111476       0.167146                 NaN  0.977614E-003  0.135007                 NaN            NaN            NaN
  1320.25        500.000                 NaN   99.5892       0.166013       0.110132                 NaN  0.907287E-003  0.133708                 NaN            NaN            NaN
  1319.15        500.000                 NaN   99.5935       0.108398       0.165088                 NaN  0.804479E-003  0.132195                 NaN            NaN            NaN
  1318.04        500.000                 NaN   99.5967       0.107095       0.164406                 NaN  0.711811E-003  0.131126                 NaN            NaN            NaN
  1316.94        500.000                 NaN   99.6009       0.105150       0.163741                 NaN  0.591864E-003  0.129641                 NaN            NaN            NaN
  1315.84        500.000                 NaN   99.6042       0.104012       0.162862                 NaN  0.491267E-003  0.128455                 NaN            NaN            NaN
  1314.74        500.000                 NaN   99.6077       0.162009       0.102637                 NaN  0.405991E-003  0.127245                 NaN            NaN            NaN
  1313.64        500.000                 NaN   99.6112       0.101140       0.161328                 NaN  0.302353E-003  0.126036                 NaN            NaN            NaN
  1312.54        500.000                 NaN   99.6145       0.997990E-001  0.160648                 NaN  0.204997E-003  0.124882                 NaN            NaN            NaN
  1311.44        500.000                 NaN   99.6181       0.159963       0.981954E-001            NaN  0.107300E-003  0.123598                 NaN            NaN            NaN
  1310.34        500.000                 NaN   99.6212       0.967729E-001  0.159477                 NaN  0.113565E-004  0.122551                 NaN            NaN            NaN
  1309.24        500.000                 NaN   99.6245       0.956879E-001  0.158299                 NaN            NaN  0.121466                 NaN            NaN            NaN
  1308.14        500.000                 NaN   99.6279       0.157272       0.944460E-001            NaN            NaN  0.120415                 NaN            NaN            NaN
  1307.04        500.000                 NaN   99.6302       0.153535       0.952204E-001            NaN  0.545919E-003  0.120455                 NaN            NaN            NaN
  1305.94        500.000                 NaN   99.6348       0.925796E-001  0.154513                 NaN            NaN  0.118095                 NaN            NaN            NaN
  1304.84        500.000                 NaN   99.6372       0.154104       0.912158E-001            NaN            NaN  0.117525                 NaN            NaN            NaN
  1303.74        500.000                 NaN   99.6401       0.153093       0.902303E-001            NaN            NaN  0.116623                 NaN            NaN            NaN
  1302.64        500.000                 NaN   99.6431       0.892530E-001  0.151959                 NaN            NaN  0.115648                 NaN            NaN            NaN
  1301.54        500.000                 NaN   99.6458       0.880507E-001  0.151302                 NaN            NaN  0.114836                 NaN            NaN            NaN
  1300.44        500.000                 NaN   99.6493       0.870139E-001  0.149983                 NaN            NaN  0.113710                 NaN            NaN            NaN
  1299.34        500.000                 NaN   99.6516       0.149080       0.863419E-001            NaN            NaN  0.113014                 NaN            NaN            NaN
  1298.24        500.000                 NaN   99.6546       0.851620E-001  0.148127                 NaN            NaN  0.112152                 NaN            NaN            NaN
  1297.14        500.000                 NaN   99.6580       0.840411E-001  0.147016                 NaN            NaN  0.110979                 NaN            NaN            NaN
  1296.03        500.000                 NaN   99.6603       0.146271       0.831280E-001            NaN            NaN  0.110317                 NaN            NaN            NaN
  1294.93        500.000                 NaN   99.6074       0.153227       0.863057E-001            NaN            NaN  0.115282       0.377868E-001            NaN            NaN
  1293.83        500.000                 NaN   91.5850       0.699986        1.25930                 NaN  0.770103E-003  0.947287        5.50767                 NaN            NaN
  1292.73        500.000                 NaN   92.4349       0.661830        1.08133                 NaN  0.796398E-002  0.861719        4.95227                 NaN            NaN
  1291.63        500.000                 NaN   93.1910       0.597700       0.975005                 NaN  0.584704E-002  0.777385        4.45310                 NaN            NaN
  1290.53        500.000                 NaN   72.6236        5.23963       0.397048                 NaN            NaN   3.27875        18.4609                 NaN            NaN
  1289.43        500.000                 NaN   90.4464        1.84668       0.107251                 NaN            NaN   1.14828        6.45139                 NaN            NaN
  1288.33        500.000                 NaN   96.2867       0.615524E-001  0.706133                 NaN            NaN  0.445594        2.50006                 NaN            NaN
  1287.23        500.000                 NaN   97.9159       0.460502E-001  0.389345                 NaN            NaN  0.249711        1.39903                 NaN            NaN
  1286.13        500.000       0.701727E-004   98.6231       0.382162E-001  0.252456                 NaN            NaN  0.164721       0.921468                 NaN            NaN
  1285.03        500.000       0.399407E-003   98.9913       0.309328E-001  0.183061                 NaN            NaN  0.120604       0.673673                 NaN            NaN
  1283.93        500.000       0.132492E-003   99.2262       0.135063       0.321623E-001            NaN            NaN  0.921439E-001  0.514332                 NaN            NaN
  1282.83        500.000       0.161543E-003   99.0818       0.585640E-001  0.144065                 NaN            NaN  0.107643       0.607761                 NaN            NaN
  1281.73        500.000       0.325099E-003   98.7069       0.114630       0.177086                 NaN            NaN  0.149260       0.851844                 NaN            NaN
  1280.63        500.000                 NaN   99.2652       0.846668E-001  0.808015E-001            NaN  0.184741E-002  0.859664E-001  0.481486                 NaN            NaN
  1279.53        500.000                 NaN   99.4980       0.700078E-001  0.419875E-001            NaN  0.258671E-002  0.595304E-001  0.327930                 NaN            NaN
  1278.43        500.000                 NaN   99.6396       0.283193E-001  0.536701E-001            NaN  0.171860E-002  0.425094E-001  0.234225                 NaN            NaN
  1277.33        500.000                 NaN   97.5225       0.901347                 NaN            NaN  0.744757E-001  0.386006        1.11565                 NaN            NaN
  1276.23        500.000                 NaN   99.5185       0.141526                 NaN            NaN  0.843260E-002  0.629590E-001  0.268592                 NaN            NaN
  1275.13        500.000                 NaN   99.7542       0.663006E-001            NaN            NaN  0.264494E-002  0.292110E-001  0.147657                 NaN            NaN
  1274.02        500.000                 NaN   99.8280       0.418210E-001            NaN            NaN  0.655313E-003  0.182997E-001  0.111189                 NaN            NaN
  1272.92        500.000                 NaN   97.7177       0.616235                 NaN            NaN  0.208974E-001  0.137569        1.50758                 NaN            NaN
  1271.82        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1270.72        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1269.62        500.000                 NaN   80.3746        5.77830                 NaN            NaN            NaN   1.41965        11.8576       0.569789                 NaN
  1268.52        500.000                 NaN   97.8224                 NaN            NaN            NaN            NaN  0.732820        1.36028       0.844793E-001            NaN
  1267.42        500.000                 NaN   96.8099       0.709143                 NaN            NaN            NaN  0.344766        2.01765       0.118566                 NaN
  1266.32        500.000                 NaN   98.4273       0.278490                 NaN            NaN            NaN  0.172092        1.05496       0.671704E-001            NaN
  1265.22        500.000                 NaN   98.4773       0.268878                 NaN            NaN            NaN  0.166392        1.02473       0.627214E-001            NaN
  1264.12        500.000                 NaN   98.7002       0.228611                 NaN            NaN            NaN  0.141765       0.880313       0.491569E-001            NaN
  1263.02        500.000                 NaN   98.7677       0.216055                 NaN            NaN            NaN  0.134217       0.835423       0.465843E-001            NaN
  1261.92        500.000                 NaN   98.8202       0.207271                 NaN            NaN            NaN  0.128763       0.799590       0.442080E-001            NaN
  1260.82        500.000                 NaN   98.8735       0.197898                 NaN            NaN            NaN  0.123090       0.763586       0.419112E-001            NaN
  1259.72        500.000                 NaN   97.9858       0.316111                 NaN            NaN            NaN  0.265091        1.35312       0.799001E-001            NaN
  1258.62        500.000                 NaN   88.1517        1.64815                 NaN            NaN            NaN   1.75708        7.93836       0.504676                 NaN
  1257.52        500.000                 NaN   97.9936       0.331698                 NaN            NaN            NaN  0.212378        1.38262       0.797046E-001            NaN
  1256.42        500.000                 NaN   98.0545       0.321341                 NaN            NaN            NaN  0.205791        1.34147       0.768568E-001            NaN
  1255.32        500.000                 NaN   97.0279       0.510311                 NaN            NaN            NaN  0.345066        1.97924       0.137478                 NaN
  1254.22        500.000                 NaN   99.3372       0.842888E-001            NaN            NaN            NaN  0.336648E-001  0.538343       0.653497E-002            NaN
  1253.12        500.000                 NaN   97.8509       0.294406                 NaN            NaN            NaN  0.251905        1.50485       0.979153E-001            NaN
  1252.01        500.000                 NaN   98.6457       0.284524                 NaN            NaN            NaN  0.120924       0.913170       0.357138E-001            NaN
  1250.91        500.000                 NaN   98.3234       0.272803                 NaN            NaN            NaN  0.175534        1.16379       0.644983E-001            NaN
  1249.81        500.000                 NaN   98.3687       0.264890                 NaN            NaN            NaN  0.170580        1.13359       0.622362E-001            NaN
  1248.71        500.000                 NaN   98.4135       0.256751                 NaN            NaN            NaN  0.165577        1.10411       0.601129E-001            NaN
  1247.61        500.000                 NaN   98.4572       0.248995                 NaN            NaN            NaN  0.160674        1.07515       0.580237E-001            NaN
  1246.51        500.000                 NaN   98.4996       0.241361                 NaN            NaN            NaN  0.155831        1.04712       0.560542E-001            NaN
  1245.41        500.000                 NaN   98.5400       0.234036                 NaN            NaN            NaN  0.151248        1.02054       0.541478E-001            NaN
  1244.31        500.000                 NaN   98.5790       0.227054                 NaN            NaN            NaN  0.146857       0.994817       0.523003E-001            NaN
  1243.21        500.000                 NaN   98.6164       0.220205                 NaN            NaN            NaN  0.142621       0.970206       0.505428E-001            NaN
  1242.11        500.000                 NaN   98.6525       0.214026                 NaN            NaN            NaN  0.138586       0.946087       0.487539E-001            NaN
  1241.01        500.000                 NaN   98.6880       0.207319                 NaN            NaN            NaN  0.134408       0.923029       0.472049E-001            NaN
  1239.91        500.000                 NaN   98.7218       0.201329                 NaN            NaN            NaN  0.130585       0.900737       0.455959E-001            NaN
  1238.81        500.000                 NaN   98.7541       0.195613                 NaN            NaN            NaN  0.126899       0.879365       0.440375E-001            NaN
  1237.71        500.000                 NaN   98.7859       0.189927                 NaN            NaN            NaN  0.123272       0.858326       0.425715E-001            NaN
  1236.61        500.000                 NaN   98.8157       0.184513                 NaN            NaN            NaN  0.119883       0.838734       0.411790E-001            NaN
  1235.51        500.000                 NaN   98.8457       0.179219                 NaN            NaN            NaN  0.116512       0.818797       0.397904E-001            NaN
  1234.41        500.000                 NaN   98.8733       0.174471                 NaN            NaN            NaN  0.113478       0.800376       0.384142E-001            NaN
  1233.31        500.000                 NaN   98.9006       0.169655                 NaN            NaN            NaN  0.110296       0.782288       0.371379E-001            NaN
  1232.21        500.000                 NaN   98.9277       0.164763                 NaN            NaN            NaN  0.107168       0.764451       0.359427E-001            NaN
  1231.11        500.000                 NaN   98.9531       0.159426                 NaN            NaN            NaN  0.104050       0.748487       0.349587E-001            NaN
  1230.00        500.000                 NaN   98.9790       0.155753                 NaN            NaN            NaN  0.101272       0.730398       0.336122E-001            NaN
  1228.90        500.000                 NaN   99.0014       0.151734                 NaN            NaN            NaN  0.988188E-001  0.715477       0.325443E-001            NaN
  1227.80        500.000                 NaN   99.0248       0.147579                 NaN            NaN            NaN  0.962175E-001  0.699975       0.314698E-001            NaN
  1226.70        500.000                 NaN   96.8901       0.262252                 NaN            NaN            NaN  0.242328        1.60165       0.547696E-001  0.948861     
  1225.60        500.000                 NaN   86.6730       0.822812                 NaN            NaN            NaN  0.946866        5.90212       0.163777        5.49141     
  1224.50        500.000                 NaN   87.9474       0.756115                 NaN            NaN            NaN  0.860715        5.32482       0.143385        4.96753     
  1223.40        500.000                 NaN   89.0682       0.693771                 NaN            NaN            NaN  0.783272        4.82292       0.127116        4.50469     
  1222.30        500.000                 NaN   89.9517       0.642423                 NaN            NaN            NaN  0.721114        4.42715       0.114333        4.14329     
  1221.20        500.000                 NaN   90.6876       0.602232                 NaN            NaN            NaN  0.670871        4.09561       0.103166        3.84050     
  1220.10        500.000                 NaN   91.3146       0.567073                 NaN            NaN            NaN  0.627436        3.81404       0.939326E-001   3.58296     
  1219.00        500.000                 NaN   91.8530       0.535338                 NaN            NaN            NaN  0.588706        3.57341       0.864730E-001   3.36307     
  1217.90        500.000                 NaN   92.3065       0.510857                 NaN            NaN            NaN  0.557415        3.36909       0.796492E-001   3.17648     
  1216.80        500.000                 NaN   92.7081       0.488824                 NaN            NaN            NaN  0.530455        3.18810       0.734687E-001   3.01103     
  1215.70        500.000                 NaN   83.4705       0.638334       0.488082                 NaN            NaN   1.22964        7.17329       0.146963        6.85314     
  1214.60        500.000                 NaN   96.7770       0.199623       0.113416E-004            NaN            NaN  0.224092        1.41657       0.311537E-001   1.35160     
  1213.50        500.000                 NaN   98.3490       0.148308                 NaN            NaN            NaN  0.124583       0.705658       0.164424E-001  0.656036     
  1212.40        500.000                 NaN   96.3105       0.238321       0.245687E-002            NaN            NaN  0.270118        1.59437       0.443017E-001   1.53996     
  1211.30        500.000                 NaN   94.0579       0.296659                 NaN            NaN  0.896095E-001  0.508099        2.43343                 NaN   2.61433     
  1210.20        500.000                 NaN   90.3850       0.602471                 NaN            NaN            NaN  0.671403        4.22676       0.973508E-001   4.01697     
  1209.10        500.000                 NaN   92.1968       0.529383                 NaN            NaN            NaN  0.550358        3.42550       0.771167E-001   3.22085     
  1207.99        500.000                 NaN   98.4294       0.517707E-001  0.783838E-001            NaN            NaN  0.121636       0.669240       0.993363E-002  0.639676     
  1206.89        500.000                 NaN   99.8670                 NaN            NaN            NaN  0.103972E-002  0.978717E-002  0.583836E-001  0.414583E-003  0.633956E-001
  1205.79        500.000                 NaN   87.5385       0.773498                 NaN            NaN            NaN  0.849781        5.50803       0.126368        5.20385     
  1204.69        500.000                 NaN   90.8868       0.656419                 NaN            NaN            NaN  0.639639        3.93203       0.738312E-001   3.81130     
  1203.59        500.000                 NaN  100.0000       0.399758E-005            NaN            NaN            NaN  0.280111E-005  0.171578E-004            NaN  0.150037E-004
  1202.49        500.000                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.265983E-005  0.216338E-004  0.120274E-005  0.226228E-004
  1201.39        500.000                 NaN   83.5069        1.08226                 NaN            NaN            NaN   1.12423        7.28596       0.145461        6.85520     
  1200.29        500.000                 NaN   96.3693       0.208241                 NaN            NaN            NaN  0.253702        1.62256       0.306409E-001   1.51558     
  1199.19        500.000                 NaN   97.4633       0.169724                 NaN            NaN            NaN  0.169862        1.13122       0.214724E-001   1.04439     
  1198.09        500.000                 NaN   97.3124       0.164987       0.533884E-004            NaN            NaN  0.195896        1.20415       0.149175E-001   1.10759     
  1196.99        500.000                 NaN   83.8581       0.721240E-001  0.966069                 NaN            NaN   1.08237        7.20200       0.119393        6.70000     
  1195.89        500.000                 NaN   86.3129       0.806472                 NaN            NaN            NaN  0.911138        6.16997       0.931639E-001   5.70639     
  1194.79        500.000                 NaN   88.2173       0.701407                 NaN            NaN            NaN  0.749890        5.33819       0.797306E-001   4.91348     
