|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1474.51        500.000        99.4597       0.157960E-001            NaN  0.524455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.4556                 NaN            NaN  0.544408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.4481                 NaN            NaN  0.550894                 NaN            NaN  0.984003E-003            NaN            NaN            NaN            NaN
  1470.53        500.000        99.3288                 NaN            NaN  0.195613       0.473842                 NaN  0.170639E-002            NaN            NaN            NaN            NaN
  1469.21        500.000        99.1277                 NaN            NaN  0.328858       0.541206                 NaN  0.228459E-002            NaN            NaN            NaN            NaN
  1467.88        500.000        99.1378                 NaN            NaN  0.534639       0.325301                 NaN  0.222016E-002            NaN            NaN            NaN            NaN
  1466.55        500.000        99.1461                 NaN            NaN  0.321714       0.530010                 NaN  0.215689E-002            NaN            NaN            NaN            NaN
  1465.23        500.000        98.9070                 NaN            NaN  0.411315       0.679059                 NaN  0.267072E-002            NaN            NaN            NaN            NaN
  1463.90        500.000        99.4122                 NaN            NaN  0.365050       0.221321                 NaN  0.142324E-002            NaN            NaN            NaN            NaN
  1462.58        500.000        99.1717                 NaN            NaN  0.312049       0.514233                 NaN  0.197452E-002            NaN            NaN            NaN            NaN
  1461.25        500.000        99.1780                 NaN            NaN  0.510753       0.309285                 NaN  0.191837E-002            NaN            NaN            NaN            NaN
  1459.93        500.000        99.1871                 NaN            NaN  0.306031       0.504984                 NaN  0.186898E-002            NaN            NaN            NaN            NaN
  1458.60        500.000        99.6126                 NaN            NaN  0.241011       0.145547                 NaN  0.867628E-003            NaN            NaN            NaN            NaN
  1457.28        500.000        99.9998                 NaN            NaN            NaN            NaN            NaN  0.182881E-003            NaN            NaN            NaN            NaN
  1455.95        500.000        97.9975                 NaN            NaN   1.24415       0.754144                 NaN  0.417238E-002            NaN            NaN            NaN            NaN
  1454.63        500.000        99.2165                 NaN            NaN  0.487582       0.294231                 NaN  0.164676E-002            NaN            NaN            NaN            NaN
  1453.30        500.000        99.2256                 NaN            NaN  0.291084       0.481729                 NaN  0.159413E-002            NaN            NaN            NaN            NaN
  1451.97        500.000        99.2315                 NaN            NaN  0.288673       0.478314                 NaN  0.154252E-002            NaN            NaN            NaN            NaN
  1450.65        500.000        99.2384                 NaN            NaN  0.474277       0.285830                 NaN  0.149168E-002            NaN            NaN            NaN            NaN
  1449.32        500.000        99.2463                 NaN            NaN  0.469623       0.282645                 NaN  0.144264E-002            NaN            NaN            NaN            NaN
  1448.00        500.000        99.2523                 NaN            NaN  0.280571       0.465740                 NaN  0.139956E-002            NaN            NaN            NaN            NaN
  1446.67        500.000        99.2585                 NaN            NaN  0.461980       0.278187                 NaN  0.133386E-002            NaN            NaN            NaN            NaN
  1445.35        500.000        99.2676                 NaN            NaN  0.274789       0.456283                 NaN  0.129605E-002            NaN            NaN            NaN            NaN
  1444.02        500.000        99.0368                 NaN            NaN  0.362186       0.599334                 NaN  0.167794E-002            NaN            NaN            NaN            NaN
  1442.70        500.000        99.5165                 NaN            NaN  0.181487       0.301160                 NaN  0.810246E-003            NaN            NaN            NaN            NaN
  1441.37        500.000        99.2846                 NaN            NaN  0.267630       0.446573                 NaN  0.116210E-002            NaN            NaN            NaN            NaN
  1440.05        500.000        99.2908                 NaN            NaN  0.265184       0.442860                 NaN  0.112712E-002            NaN            NaN            NaN            NaN
  1438.72        500.000        99.2526                 NaN            NaN  0.280039       0.466206                 NaN  0.115373E-002            NaN            NaN            NaN            NaN
  1437.39        500.000        99.3499                 NaN            NaN  0.243218       0.405918                 NaN  0.975363E-003            NaN            NaN            NaN            NaN
  1436.07        500.000        99.3102                 NaN            NaN  0.257926       0.430865                 NaN  0.998797E-003            NaN            NaN            NaN            NaN
  1434.74        500.000        99.3153                 NaN            NaN  0.428011       0.255751                 NaN  0.957781E-003            NaN            NaN            NaN            NaN
  1433.42        500.000        99.3207                 NaN            NaN  0.253737       0.424602                 NaN  0.913046E-003            NaN            NaN            NaN            NaN
  1432.09        500.000        99.3266                 NaN            NaN  0.251038       0.421509                 NaN  0.888907E-003            NaN            NaN            NaN            NaN
  1430.77        500.000        99.3320                 NaN            NaN  0.249095       0.418099                 NaN  0.850463E-003            NaN            NaN            NaN            NaN
  1429.44        500.000        99.3365                 NaN            NaN  0.415424       0.247294                 NaN  0.800081E-003            NaN            NaN            NaN            NaN
  1428.12        500.000        99.3452                 NaN            NaN  0.410253       0.243730                 NaN  0.774557E-003            NaN            NaN            NaN            NaN
  1426.79        500.000        99.3489                 NaN            NaN  0.407943       0.242429                 NaN  0.739639E-003            NaN            NaN            NaN            NaN
  1425.47        500.000        99.3525                 NaN            NaN  0.240704       0.406050                 NaN  0.713031E-003            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3578                 NaN            NaN  0.238720       0.402836                 NaN  0.660625E-003            NaN            NaN            NaN            NaN
  1422.81        500.000        99.3651                 NaN            NaN  0.235987       0.398243                 NaN  0.637100E-003            NaN            NaN            NaN            NaN
  1421.49        500.000        99.3691                 NaN            NaN  0.234346       0.395986                 NaN  0.604538E-003            NaN            NaN            NaN            NaN
  1420.16        500.000        99.3737                 NaN            NaN  0.393188       0.232577                 NaN  0.572205E-003            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3765                 NaN            NaN  0.230963       0.392014                 NaN  0.529488E-003            NaN            NaN            NaN            NaN
  1417.51        500.000        99.3863                 NaN            NaN  0.227674       0.385558                 NaN  0.503577E-003            NaN            NaN            NaN            NaN
  1416.19        500.000        99.0000                 NaN            NaN  0.375633       0.432319                 NaN  0.710307E-005  0.191994                 NaN            NaN            NaN
  1414.86        500.000        98.3263                 NaN            NaN  0.635520       0.507766                 NaN            NaN  0.530443                 NaN            NaN            NaN
  1413.54        500.000        98.3600                 NaN            NaN  0.625159       0.493412                 NaN  0.161395E-002  0.519771                 NaN            NaN            NaN
  1412.21        500.000        98.3857                 NaN            NaN  0.612296       0.490055                 NaN            NaN  0.511903                 NaN            NaN            NaN
  1410.89        500.000        98.4116                 NaN            NaN  0.482981       0.601641                 NaN            NaN  0.503744                 NaN            NaN            NaN
  1409.56        500.000        98.4397                 NaN            NaN  0.474410       0.590904                 NaN            NaN  0.494946                 NaN            NaN            NaN
  1408.24        500.000        98.4653                 NaN            NaN  0.580666       0.466930                 NaN            NaN  0.487123                 NaN            NaN            NaN
  1406.91        500.000        98.4833                 NaN            NaN  0.574904       0.459895                 NaN  0.110094E-002  0.480840                 NaN            NaN            NaN
  1405.58        500.000        98.5242                 NaN            NaN  0.449684       0.557850                 NaN            NaN  0.468307                 NaN            NaN            NaN
  1404.26        500.000        98.5385                 NaN            NaN  0.445372       0.552088                 NaN            NaN  0.464009                 NaN            NaN            NaN
  1402.93        500.000        98.5603                 NaN            NaN  0.543436       0.438915                 NaN            NaN  0.457343                 NaN            NaN            NaN
  1401.61        500.000        98.5847                 NaN            NaN  0.431759       0.533986                 NaN            NaN  0.449540                 NaN            NaN            NaN
  1400.28        500.000        98.6061                 NaN            NaN  0.425316       0.525729                 NaN            NaN  0.442888                 NaN            NaN            NaN
  1398.96        500.000        98.6272                 NaN            NaN  0.418868       0.517722                 NaN            NaN  0.436168                 NaN            NaN            NaN
  1397.63        500.000        98.6487                 NaN            NaN  0.509543       0.412425                 NaN            NaN  0.429336                 NaN            NaN            NaN
  1396.31        500.000        98.6685                 NaN            NaN  0.407146       0.501431                 NaN            NaN  0.422882                 NaN            NaN            NaN
  1394.98        500.000        98.6883                 NaN            NaN  0.400448       0.494472                 NaN            NaN  0.416781                 NaN            NaN            NaN
  1393.66        500.000        98.7064                 NaN            NaN  0.487246       0.395308                 NaN            NaN  0.411078                 NaN            NaN            NaN
  1392.33        500.000        98.7263                 NaN            NaN  0.389118       0.479843                 NaN            NaN  0.404771                 NaN            NaN            NaN
  1391.00        500.000        98.7439                 NaN            NaN  0.473275       0.383585                 NaN            NaN  0.399191                 NaN            NaN            NaN
  1389.68        500.000        98.7606                 NaN            NaN  0.378606       0.466970                 NaN            NaN  0.393827                 NaN            NaN            NaN
  1388.35        500.000        98.7781                 NaN            NaN  0.461191       0.372525                 NaN            NaN  0.388197                 NaN            NaN            NaN
  1387.03        500.000        98.7959                 NaN            NaN  0.367390       0.454056                 NaN            NaN  0.382625                 NaN            NaN            NaN
  1385.70        500.000        98.8128                 NaN            NaN  0.362622       0.447440                 NaN            NaN  0.377121                 NaN            NaN            NaN
  1384.38        500.000        98.8282                 NaN            NaN  0.357307       0.441921                 NaN            NaN  0.372528                 NaN            NaN            NaN
  1383.05        500.000        98.8463                 NaN            NaN  0.352400       0.434929                 NaN            NaN  0.366372                 NaN            NaN            NaN
  1381.73        500.000        98.8568                 NaN            NaN  0.349056       0.431081                 NaN            NaN  0.363050                 NaN            NaN            NaN
  1380.40        500.000        98.8755                 NaN            NaN  0.343175       0.424297                 NaN            NaN  0.357046                 NaN            NaN            NaN
  1379.08        500.000        98.8879                 NaN            NaN  0.419824       0.339151                 NaN            NaN  0.353159                 NaN            NaN            NaN
  1377.75        500.000        98.9033                 NaN            NaN  0.413870       0.334642                 NaN            NaN  0.348230                 NaN            NaN            NaN
  1376.42        500.000        98.9167                 NaN            NaN  0.409269       0.330233                 NaN            NaN  0.343779                 NaN            NaN            NaN
  1375.10        500.000        98.9312                 NaN            NaN  0.325699       0.404035                 NaN            NaN  0.339039                 NaN            NaN            NaN
  1373.77        500.000        98.9444                 NaN            NaN  0.321540       0.399179                 NaN            NaN  0.334929                 NaN            NaN            NaN
  1372.45        500.000        98.9570                 NaN            NaN  0.394297       0.317893                 NaN            NaN  0.330787                 NaN            NaN            NaN
  1371.12        500.000        98.9704                 NaN            NaN  0.313325       0.389776                 NaN            NaN  0.326543                 NaN            NaN            NaN
  1369.80        500.000        98.9802                 NaN            NaN  0.386247       0.310221                 NaN            NaN  0.323290                 NaN            NaN            NaN
  1368.47        500.000        98.9947                 NaN            NaN  0.305785       0.380556                 NaN            NaN  0.318983                 NaN            NaN            NaN
  1367.15        500.000        99.0086                 NaN            NaN  0.301204       0.376246                 NaN            NaN  0.313989                 NaN            NaN            NaN
  1365.82        500.000        99.0180                 NaN            NaN  0.372624       0.298207                 NaN            NaN  0.311145                 NaN            NaN            NaN
  1364.50        500.000        99.0289                 NaN            NaN  0.294735       0.368802                 NaN            NaN  0.307599                 NaN            NaN            NaN
  1363.17        500.000        99.0409                 NaN            NaN  0.364556       0.290831                 NaN            NaN  0.303746                 NaN            NaN            NaN
  1361.84        500.000        99.0503                 NaN            NaN  0.287915       0.361268                 NaN            NaN  0.300566                 NaN            NaN            NaN
  1360.52        500.000        99.0621                 NaN            NaN  0.283739       0.357309                 NaN            NaN  0.296851                 NaN            NaN            NaN
  1359.19        500.000        99.0721                 NaN            NaN  0.280744       0.353640                 NaN            NaN  0.293480                 NaN            NaN            NaN
  1357.87        500.000        99.0823                 NaN            NaN  0.277367       0.350159                 NaN            NaN  0.290144                 NaN            NaN            NaN
  1356.54        500.000        99.0928                 NaN            NaN  0.273708       0.346746                 NaN            NaN  0.286779                 NaN            NaN            NaN
  1355.22        500.000        99.1000                 NaN            NaN  0.343886       0.271441                 NaN            NaN  0.284624                 NaN            NaN            NaN
  1353.89        500.000        99.1148                 NaN            NaN  0.339046       0.266563                 NaN            NaN  0.279591                 NaN            NaN            NaN
  1352.57        500.000        99.1216                 NaN            NaN  0.336863       0.264201                 NaN            NaN  0.277355                 NaN            NaN            NaN
  1351.24        500.000        99.1305                 NaN            NaN  0.261202       0.333818                 NaN            NaN  0.274516                 NaN            NaN            NaN
  1349.92        500.000        99.1394                 NaN            NaN  0.330823       0.258256                 NaN            NaN  0.271481                 NaN            NaN            NaN
  1348.59        500.000        99.1463                 NaN            NaN  0.328337       0.256087                 NaN            NaN  0.269302                 NaN            NaN            NaN
  1347.26        500.000        99.1579                 NaN            NaN  0.252206       0.324489                 NaN            NaN  0.265412                 NaN            NaN            NaN
  1345.94        500.000        99.1650                 NaN            NaN  0.250188       0.321704                 NaN            NaN  0.263143                 NaN            NaN            NaN
  1344.61        500.000        99.1739                 NaN            NaN  0.319051       0.246831                 NaN            NaN  0.260193                 NaN            NaN            NaN
  1343.29        500.000        99.1820                 NaN            NaN  0.316705       0.243755                 NaN            NaN  0.257562                 NaN            NaN            NaN
  1341.96        500.000        99.1891                 NaN            NaN  0.241378       0.314273                 NaN            NaN  0.255229                 NaN            NaN            NaN
  1340.64        500.000        99.1982                 NaN            NaN  0.238089       0.311442                 NaN            NaN  0.252308                 NaN            NaN            NaN
  1339.31        500.000        99.2050                 NaN            NaN  0.235422       0.309498                 NaN            NaN  0.250089                 NaN            NaN            NaN
  1337.99        500.000        99.2127                 NaN            NaN  0.306974       0.232795                 NaN            NaN  0.247503                 NaN            NaN            NaN
  1336.66        500.000        99.2196                 NaN            NaN  0.230316       0.304900                 NaN            NaN  0.245195                 NaN            NaN            NaN
  1335.34        500.000        99.2265                 NaN            NaN  0.302752       0.227840                 NaN            NaN  0.242945                 NaN            NaN            NaN
  1334.01        500.000        99.2338                 NaN            NaN  0.225293       0.300322                 NaN            NaN  0.240540                 NaN            NaN            NaN
  1332.69        500.000        99.2399                 NaN            NaN  0.298849       0.222781                 NaN            NaN  0.238426                 NaN            NaN            NaN
  1331.36        500.000        99.2479                 NaN            NaN  0.219789       0.296322                 NaN            NaN  0.235953                 NaN            NaN            NaN
  1330.03        500.000        99.2541                 NaN            NaN  0.217457       0.294594                 NaN            NaN  0.233854                 NaN            NaN            NaN
  1328.71        500.000        99.2602                 NaN            NaN  0.215466       0.292439                 NaN            NaN  0.231885                 NaN            NaN            NaN
  1327.38        500.000        99.2666                 NaN            NaN  0.290631       0.212953                 NaN            NaN  0.229830                 NaN            NaN            NaN
  1326.06        500.000        99.2725                 NaN            NaN  0.289449       0.210231                 NaN            NaN  0.227859                 NaN            NaN            NaN
  1324.73        500.000        99.2792                 NaN            NaN  0.287344       0.207785                 NaN            NaN  0.225675                 NaN            NaN            NaN
  1323.41        500.000        99.2848                 NaN            NaN  0.204523       0.286683                 NaN            NaN  0.224034                 NaN            NaN            NaN
  1322.08        500.000        99.2915                 NaN            NaN  0.202791       0.284201                 NaN            NaN  0.221499                 NaN            NaN            NaN
  1320.76        500.000        99.2964                 NaN            NaN  0.200807       0.282659                 NaN            NaN  0.220117                 NaN            NaN            NaN
  1319.43        500.000        99.3018                 NaN            NaN  0.281452       0.198568                 NaN            NaN  0.218179                 NaN            NaN            NaN
  1318.11        500.000        99.3074                 NaN            NaN  0.279902       0.196175                 NaN            NaN  0.216508                 NaN            NaN            NaN
  1316.78        500.000        99.3130                 NaN            NaN  0.193743       0.278689                 NaN            NaN  0.214610                 NaN            NaN            NaN
  1315.45        500.000        99.3173                 NaN            NaN  0.191738       0.277676                 NaN            NaN  0.213281                 NaN            NaN            NaN
  1314.13        500.000        99.3239                 NaN            NaN  0.188811       0.276220                 NaN            NaN  0.211035                 NaN            NaN            NaN
  1312.80        500.000        99.3279                 NaN            NaN  0.275600       0.186763                 NaN            NaN  0.209777                 NaN            NaN            NaN
  1311.48        500.000        99.3332                 NaN            NaN  0.274468       0.184293                 NaN            NaN  0.208082                 NaN            NaN            NaN
  1310.15        500.000        99.3383                 NaN            NaN  0.181668       0.273503                 NaN            NaN  0.206480                 NaN            NaN            NaN
  1308.83        500.000        99.3407                 NaN            NaN  0.180034       0.273670                 NaN            NaN  0.205592                 NaN            NaN            NaN
  1307.50        500.000        99.3481                 NaN            NaN  0.176351       0.272115                 NaN            NaN  0.203406                 NaN            NaN            NaN
  1306.18        500.000        99.3516                 NaN            NaN  0.173470       0.272814                 NaN            NaN  0.202121                 NaN            NaN            NaN
  1304.85        500.000        99.3563                 NaN            NaN  0.271814       0.171141                 NaN            NaN  0.200735                 NaN            NaN            NaN
  1303.53        500.000        99.3612                 NaN            NaN  0.168857       0.270853                 NaN            NaN  0.199124                 NaN            NaN            NaN
  1302.20        500.000        99.3654                 NaN            NaN  0.166340       0.270372                 NaN            NaN  0.197876                 NaN            NaN            NaN
  1300.87        500.000        99.3668                 NaN            NaN  0.267649       0.167001                 NaN            NaN  0.197368       0.121731E-002            NaN            NaN
  1299.55        500.000        99.3462                 NaN            NaN  0.223937       0.208510                 NaN            NaN  0.203293       0.180768E-001            NaN            NaN
  1298.22        500.000        99.3375                 NaN            NaN  0.233836       0.194986                 NaN            NaN  0.205836       0.278873E-001            NaN            NaN
  1296.90        500.000        99.3436                 NaN            NaN  0.195450       0.229714                 NaN            NaN  0.203999       0.272390E-001            NaN            NaN
  1295.57        500.000        99.3493                 NaN            NaN  0.226523       0.195234                 NaN            NaN  0.202316       0.266374E-001            NaN            NaN
  1294.25        500.000        99.3557                 NaN            NaN  0.222596       0.195235                 NaN            NaN  0.200410       0.260399E-001            NaN            NaN
  1292.92        500.000        99.3623                 NaN            NaN  0.219015       0.194649                 NaN            NaN  0.198507       0.254948E-001            NaN            NaN
  1291.60        500.000        99.3684                 NaN            NaN  0.194730       0.215181                 NaN            NaN  0.196766       0.249495E-001            NaN            NaN
  1290.27        500.000        99.3747                 NaN            NaN  0.211703       0.194270                 NaN            NaN  0.194939       0.244175E-001            NaN            NaN
  1288.95        500.000        99.3805                 NaN            NaN  0.205634       0.196826                 NaN            NaN  0.193228       0.237875E-001            NaN            NaN
  1287.62        500.000        99.3864                 NaN            NaN  0.195420       0.203336                 NaN            NaN  0.191546       0.233133E-001            NaN            NaN
  1286.29        500.000        99.3923                 NaN            NaN  0.199692       0.195381                 NaN            NaN  0.189798       0.227835E-001            NaN            NaN
  1284.97        500.000        99.3974                 NaN            NaN  0.199835       0.192013                 NaN            NaN  0.188494       0.223062E-001            NaN            NaN
  1283.64        500.000        99.4055                 NaN  0.529371E-002  0.205957       0.174740                 NaN            NaN  0.186577       0.219046E-001            NaN            NaN
  1282.32        500.000        99.4258                 NaN  0.476070E-001  0.317424                 NaN            NaN            NaN  0.186268       0.229233E-001            NaN            NaN
  1280.99        500.000        99.4318                 NaN  0.524429E-001  0.308012                 NaN            NaN            NaN  0.185322       0.224192E-001            NaN            NaN
  1279.67        500.000        99.4395                 NaN  0.534748E-001  0.301989                 NaN            NaN            NaN  0.182925       0.221047E-001            NaN            NaN
  1278.34        500.000        95.3295                 NaN  0.109617        1.12263                 NaN            NaN            NaN  0.661522       0.101232        2.67554                 NaN
  1277.02        500.000        89.5284                 NaN  0.163621        2.31450                 NaN            NaN            NaN   1.33413       0.208678        6.45066                 NaN
  1275.69        500.000        90.5973                 NaN  0.117503        2.13434                 NaN            NaN            NaN   1.20559       0.183737        5.76156                 NaN
  1274.37        500.000        91.4850                 NaN  0.114876        1.93403                 NaN            NaN            NaN   1.09741       0.165672        5.20301                 NaN
  1273.04        500.000        92.2170                 NaN  0.734872E-001   1.82220                 NaN            NaN            NaN   1.00877       0.148152        4.73035                 NaN
  1271.71        500.000        92.8436                 NaN  0.580235E-001   1.69756                 NaN            NaN            NaN  0.932090       0.134624        4.33409                 NaN
  1270.39        500.000        93.3903                 NaN  0.620415E-001   1.56393                 NaN            NaN            NaN  0.864522       0.124081        3.99518                 NaN
  1269.06        500.000        93.8548                 NaN  0.513800E-001   1.47016                 NaN            NaN            NaN  0.807097       0.114147        3.70240                 NaN
  1267.74        500.000        94.2667                 NaN  0.509015E-001   1.37342                 NaN            NaN            NaN  0.755727       0.105996        3.44726                 NaN
  1266.41        500.000        94.6258                 NaN  0.410773E-001   1.30155                 NaN            NaN            NaN  0.710928       0.982772E-001   3.22238                 NaN
  1265.09        500.000        94.9482                 NaN  0.451265E-001   1.21977                 NaN            NaN            NaN  0.670233       0.921841E-001   3.02450                 NaN
  1263.76        500.000        95.2336                 NaN  0.352671E-001   1.16457                 NaN            NaN            NaN  0.634219       0.859371E-001   2.84638                 NaN
  1262.44        500.000        95.4925                 NaN  0.332396E-001   1.10497                 NaN            NaN            NaN  0.601351       0.806957E-001   2.68720                 NaN
  1261.11        500.000        95.7233                 NaN  0.300199E-001   1.05414                 NaN            NaN            NaN  0.571712       0.759330E-001   2.54492                 NaN
  1259.79        500.000        95.9361                 NaN  0.271718E-001   1.00602                 NaN            NaN            NaN  0.544400       0.715653E-001   2.41475                 NaN
  1258.46        500.000        96.1247                 NaN  0.264826E-001  0.962022                 NaN            NaN            NaN  0.519826       0.677565E-001   2.29921                 NaN
  1257.14        500.000        96.3018                 NaN  0.260054E-001  0.919532                 NaN            NaN            NaN  0.496679       0.642095E-001   2.19181                 NaN
  1255.81        500.000        96.4658                 NaN  0.266608E-001  0.878709                 NaN            NaN            NaN  0.475102       0.609556E-001   2.09274                 NaN
  1254.48        500.000        96.6143                 NaN  0.246428E-001  0.845159                 NaN            NaN            NaN  0.455502       0.578766E-001   2.00255                 NaN
  1253.16        500.000        96.7541                 NaN  0.177346E-001  0.819685                 NaN            NaN            NaN  0.437077       0.546786E-001   1.91668                 NaN
  1251.83        500.000        96.8827                 NaN  0.196585E-001  0.785601                 NaN            NaN            NaN  0.419724       0.521823E-001   1.84010                 NaN
  1250.51        500.000        97.0027                 NaN  0.173266E-001  0.759335                 NaN            NaN            NaN  0.403632       0.496155E-001   1.76743                 NaN
  1249.18        500.000        97.1157                 NaN  0.151771E-001  0.734047                 NaN            NaN            NaN  0.388319       0.472150E-001   1.69953                 NaN
  1247.86        500.000        97.2194                 NaN  0.152577E-001  0.708505                 NaN            NaN            NaN  0.374172       0.450857E-001   1.63759                 NaN
  1246.53        500.000        97.3183                 NaN  0.135311E-001  0.686159                 NaN            NaN            NaN  0.360623       0.429771E-001   1.57838                 NaN
  1245.21        500.000        97.4105                 NaN  0.110514E-001  0.666524                 NaN            NaN            NaN  0.347884       0.409405E-001   1.52315                 NaN
  1243.88        500.000        97.4986                 NaN  0.858306E-002  0.647581                 NaN            NaN            NaN  0.335797       0.389950E-001   1.47043                 NaN
  1242.56        500.000        97.5797                 NaN  0.110847E-001  0.624800                 NaN            NaN            NaN  0.324257       0.374483E-001   1.42275                 NaN
  1241.23        500.000        97.6583                 NaN  0.537639E-002  0.612170                 NaN            NaN            NaN  0.313454       0.355254E-001   1.37516                 NaN
  1239.90        500.000        97.7315                 NaN  0.275675E-002  0.597241                 NaN            NaN            NaN  0.303070       0.338768E-001   1.33159                 NaN
