|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             Sp(TH)         ilm            San(TH)        q             
  1407.05        500.000        98.4976       0.477764       0.581906                 NaN  0.273289E-001  0.415398                 NaN            NaN            NaN            NaN
  1405.98        500.000        98.5139       0.513883       0.398547                 NaN  0.145717       0.427939                 NaN            NaN            NaN            NaN
  1404.91        500.000        98.5341       0.508236       0.388637                 NaN  0.146643       0.422347                 NaN            NaN            NaN            NaN
  1403.84        500.000        98.5504       0.378770       0.504916                 NaN  0.148017       0.417947                 NaN            NaN            NaN            NaN
  1402.78        500.000        98.5673       0.501392       0.368061                 NaN  0.149645       0.413602                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.5864       0.495057       0.360786                 NaN  0.149710       0.408057                 NaN            NaN            NaN            NaN
  1400.64        500.000        98.6023       0.350841       0.491716                 NaN  0.151432       0.403671                 NaN            NaN            NaN            NaN
  1399.57        500.000        98.6190       0.341314       0.487558                 NaN  0.152800       0.399301                 NaN            NaN            NaN            NaN
  1398.50        500.000        98.6355       0.332802       0.483563                 NaN  0.153569       0.394580                 NaN            NaN            NaN            NaN
  1397.43        500.000        98.6510       0.479823       0.323855                 NaN  0.154866       0.390457                 NaN            NaN            NaN            NaN
  1396.37        500.000        98.6655       0.476795       0.315296                 NaN  0.156044       0.386390                 NaN            NaN            NaN            NaN
  1395.30        500.000        98.6814       0.472330       0.307131                 NaN  0.157090       0.382034                 NaN            NaN            NaN            NaN
  1394.23        500.000        98.6970       0.469085       0.298072                 NaN  0.158104       0.377712                 NaN            NaN            NaN            NaN
  1393.16        500.000        98.7109       0.290273       0.465643                 NaN  0.159311       0.373889                 NaN            NaN            NaN            NaN
  1392.09        500.000        98.7241       0.282231       0.463047                 NaN  0.160400       0.370202                 NaN            NaN            NaN            NaN
  1391.02        500.000        98.7390       0.459907       0.273518                 NaN  0.161374       0.366160                 NaN            NaN            NaN            NaN
  1389.96        500.000        98.7504       0.456877       0.267416                 NaN  0.162396       0.362942                 NaN            NaN            NaN            NaN
  1388.89        500.000        98.7665       0.258898       0.452956                 NaN  0.163260       0.358379                 NaN            NaN            NaN            NaN
  1387.82        500.000        98.7800       0.251186       0.449736                 NaN  0.164380       0.354683                 NaN            NaN            NaN            NaN
  1386.75        500.000        98.7894       0.246357       0.447325                 NaN  0.164625       0.352254                 NaN            NaN            NaN            NaN
  1385.68        500.000        98.8074       0.234699       0.443366                 NaN  0.167260       0.347306                 NaN            NaN            NaN            NaN
  1384.61        500.000        98.8193       0.441094       0.228682                 NaN  0.167210       0.343704                 NaN            NaN            NaN            NaN
  1383.55        500.000        98.8244       0.219511       0.443129                 NaN  0.170049       0.342865                 NaN            NaN            NaN            NaN
  1382.48        500.000        98.8467       0.432999       0.217071                 NaN  0.167427       0.335803                 NaN            NaN            NaN            NaN
  1381.41        500.000        98.8376       0.211064       0.438445                 NaN  0.173484       0.339393                 NaN            NaN            NaN            NaN
  1380.34        500.000        98.8798       0.424413       0.202637                 NaN  0.167248       0.325920                 NaN            NaN            NaN            NaN
  1379.27        500.000        98.8764       0.195442       0.428382                 NaN  0.171906       0.327836                 NaN            NaN            NaN            NaN
  1378.20        500.000        98.8888       0.188468       0.425843                 NaN  0.172528       0.324373                 NaN            NaN            NaN            NaN
  1377.13        500.000        98.8997       0.182030       0.423402                 NaN  0.173470       0.321368                 NaN            NaN            NaN            NaN
  1376.07        500.000        98.9105       0.175462       0.421235                 NaN  0.174452       0.318329                 NaN            NaN            NaN            NaN
  1375.00        500.000        98.9207       0.170579       0.418635                 NaN  0.174734       0.315352                 NaN            NaN            NaN            NaN
  1373.93        500.000        98.9293       0.163570       0.417975                 NaN  0.176109       0.313017                 NaN            NaN            NaN            NaN
  1372.86        500.000        98.9430       0.413670       0.158701                 NaN  0.175641       0.308948                 NaN            NaN            NaN            NaN
  1371.79        500.000        98.0046       0.298117       0.776640                 NaN  0.336644       0.582785       0.116851E-002            NaN            NaN            NaN
  1370.72        500.000        99.9217       0.793044E-002  0.320433E-001            NaN  0.154528E-001  0.228758E-001            NaN            NaN            NaN            NaN
  1369.66        500.000        98.9720       0.141215       0.407972                 NaN  0.178059       0.300764                 NaN            NaN            NaN            NaN
  1368.59        500.000        98.9810       0.406514       0.135832                 NaN  0.178471       0.298164                 NaN            NaN            NaN            NaN
  1367.52        500.000        98.9914       0.404634       0.128751                 NaN  0.179701       0.295562                 NaN            NaN            NaN            NaN
  1366.45        500.000        99.0001       0.124912       0.402819                 NaN  0.179426       0.292791                 NaN            NaN            NaN            NaN
  1365.38        500.000        99.2029       0.935715E-001  0.323741                 NaN  0.145814       0.233961                 NaN            NaN            NaN            NaN
  1364.31        500.000        98.8246       0.141938       0.475848                 NaN  0.214024       0.343637                 NaN            NaN            NaN            NaN
  1363.25        500.000        99.0266       0.110890       0.397031                 NaN  0.180521       0.284930                 NaN            NaN            NaN            NaN
  1362.18        500.000        99.0355       0.105847       0.395297                 NaN  0.180997       0.282396                 NaN            NaN            NaN            NaN
  1361.11        500.000        99.0442       0.100971       0.393638                 NaN  0.181346       0.279888                 NaN            NaN            NaN            NaN
  1360.04        500.000        99.0531       0.391738       0.961521E-001            NaN  0.181607       0.277355                 NaN            NaN            NaN            NaN
  1358.97        500.000        99.0611       0.390042       0.924598E-001            NaN  0.181540       0.274877                 NaN            NaN            NaN            NaN
  1357.90        500.000        99.0676       0.876135E-001  0.390037                 NaN  0.181755       0.273045                 NaN            NaN            NaN            NaN
  1356.84        500.000        99.0784       0.385730       0.829752E-001            NaN  0.182856       0.270011                 NaN            NaN            NaN            NaN
  1355.77        500.000        99.0863       0.384614       0.804806E-001            NaN  0.181348       0.267299                 NaN            NaN            NaN            NaN
  1354.70        500.000        99.0903       0.717798E-001  0.386217                 NaN  0.184772       0.266950                 NaN            NaN            NaN            NaN
  1353.63        500.000        99.1054       0.378264       0.764483E-001            NaN  0.178785       0.261093                 NaN            NaN            NaN            NaN
  1352.56        500.000        99.1095       0.679957E-001  0.379942                 NaN  0.182028       0.260580                 NaN            NaN            NaN            NaN
  1351.49        500.000        99.1163       0.639256E-001  0.379131                 NaN  0.182130       0.258492                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.1244       0.609632E-001  0.376635                 NaN  0.181904       0.256144                 NaN            NaN            NaN            NaN
  1349.36        500.000        99.1288       0.375883       0.590322E-001            NaN  0.181678       0.254645                 NaN            NaN            NaN            NaN
  1348.29        500.000        99.1413       0.551262E-001  0.372177                 NaN  0.180569       0.250828                 NaN            NaN            NaN            NaN
  1347.22        500.000        99.1461       0.511441E-001  0.372279                 NaN  0.181036       0.249442                 NaN            NaN            NaN            NaN
  1346.15        500.000        99.1493       0.495830E-001  0.372163                 NaN  0.180718       0.248201                 NaN            NaN            NaN            NaN
  1345.08        500.000        99.1614       0.368558       0.458824E-001            NaN  0.179606       0.244583                 NaN            NaN            NaN            NaN
  1344.02        500.000        99.1660       0.367608       0.433903E-001            NaN  0.179782       0.243253                 NaN            NaN            NaN            NaN
  1342.95        500.000        99.1732       0.365812       0.407690E-001            NaN  0.179219       0.240967                 NaN            NaN            NaN            NaN
  1341.88        500.000        99.1808       0.372270E-001  0.364356                 NaN  0.178880       0.238767                 NaN            NaN            NaN            NaN
  1340.81        500.000        99.1861       0.364419       0.326457E-001            NaN  0.179517       0.237353                 NaN            NaN            NaN            NaN
  1339.74        500.000        99.1952       0.360250       0.338664E-001            NaN  0.176641       0.234042                 NaN            NaN            NaN            NaN
  1338.67        500.000        99.1999       0.359711       0.298709E-001            NaN  0.177599       0.232925                 NaN            NaN            NaN            NaN
  1337.61        500.000        99.2070       0.357759       0.289646E-001            NaN  0.175881       0.230431                 NaN            NaN            NaN            NaN
  1336.54        500.000        99.2123       0.269630E-001  0.356638                 NaN  0.175341       0.228726                 NaN            NaN            NaN            NaN
  1335.47        500.000        99.2181       0.253753E-001  0.355084                 NaN  0.174564       0.226893                 NaN            NaN            NaN            NaN
  1334.40        500.000        99.2246       0.353681       0.232561E-001            NaN  0.173639       0.224816                 NaN            NaN            NaN            NaN
  1333.33        500.000        99.1926       0.214244       0.271975                 NaN  0.964845E-001  0.224651                 NaN            NaN            NaN            NaN
  1332.26        500.000        99.2460       0.355927                 NaN            NaN  0.179320       0.218752                 NaN            NaN            NaN            NaN
  1331.19        500.000        99.2462       0.355268                 NaN            NaN  0.179479       0.219100                 NaN            NaN            NaN            NaN
  1330.13        500.000        99.2509       0.354039                 NaN            NaN  0.177765       0.217300                 NaN            NaN            NaN            NaN
  1329.06        500.000        99.1959       0.187428       0.374902                 NaN  0.263509E-001  0.215461                 NaN            NaN            NaN            NaN
  1327.99        500.000        99.2662       0.349118                 NaN            NaN  0.173293       0.211394                 NaN            NaN            NaN            NaN
  1326.92        500.000        99.2646       0.351477                 NaN            NaN  0.171581       0.212314                 NaN            NaN            NaN            NaN
  1325.85        500.000        99.2720       0.346549                 NaN            NaN  0.171480       0.209987                 NaN            NaN            NaN            NaN
  1324.78        500.000        99.2770       0.343434                 NaN            NaN  0.171002       0.208548                 NaN            NaN            NaN            NaN
  1323.72        500.000        99.2438       0.351586                 NaN            NaN  0.185638       0.219011                 NaN            NaN            NaN            NaN
  1322.65        500.000        99.3275       0.320338                 NaN            NaN  0.159113       0.193024                 NaN            NaN            NaN            NaN
  1321.58        500.000        99.2910       0.337230                 NaN            NaN  0.167794       0.203936                 NaN            NaN            NaN            NaN
  1320.51        500.000        99.2985       0.337870                 NaN            NaN  0.162748       0.200877                 NaN            NaN            NaN            NaN
  1319.44        500.000        99.2967       0.174386E-001  0.325819                 NaN  0.159009       0.201032                 NaN            NaN            NaN            NaN
  1318.37        500.000        99.3117       0.336390                 NaN            NaN  0.155587       0.196325                 NaN            NaN            NaN            NaN
  1317.31        500.000        99.3107       0.333344                 NaN            NaN  0.159142       0.196855                 NaN            NaN            NaN            NaN
  1316.24        500.000        99.3121       0.327876                 NaN            NaN  0.162886       0.197138                 NaN            NaN            NaN            NaN
  1315.17        500.000        99.3280       0.327765                 NaN            NaN  0.153709       0.190507                 NaN            NaN            NaN            NaN
  1314.10        500.000        99.3261       0.328669                 NaN            NaN  0.153668       0.191547                 NaN            NaN            NaN            NaN
  1313.03        500.000        99.3257       0.328314                 NaN            NaN  0.153798       0.192162                 NaN            NaN            NaN            NaN
  1311.96        500.000        99.3423       0.324169                 NaN            NaN  0.147797       0.185722                 NaN            NaN            NaN            NaN
  1310.90        500.000        99.3402       0.324220                 NaN            NaN  0.148826       0.186729                 NaN            NaN            NaN            NaN
  1309.83        500.000        99.3447       0.322680                 NaN            NaN  0.147461       0.185191                 NaN            NaN            NaN            NaN
  1308.76        500.000        99.3475       0.322200                 NaN            NaN  0.146117       0.184187                 NaN            NaN            NaN            NaN
  1307.69        500.000        99.3493       0.320033                 NaN            NaN  0.147092       0.183589                 NaN            NaN            NaN            NaN
  1306.62        500.000        99.3615       0.318458                 NaN            NaN  0.140610       0.179384                 NaN            NaN            NaN            NaN
  1305.55        500.000        99.3630       0.316876                 NaN            NaN  0.141240       0.178922                 NaN            NaN            NaN            NaN
  1304.49        500.000        99.3621       0.254628E-001  0.304029                 NaN  0.130308       0.178051                 NaN            NaN            NaN            NaN
  1303.42        500.000        99.3645       0.293095       0.458396E-001            NaN  0.120289       0.176268                 NaN            NaN            NaN            NaN
  1302.35        500.000        99.3743       0.314955                 NaN            NaN  0.135768       0.174942                 NaN            NaN            NaN            NaN
  1301.28        500.000        99.3784       0.314215                 NaN            NaN  0.133870       0.173548                 NaN            NaN            NaN            NaN
  1300.21        500.000        99.3592       0.127484       0.248887                 NaN  0.900987E-001  0.174313                 NaN            NaN            NaN            NaN
  1299.14        500.000        99.3892       0.313589                 NaN            NaN  0.127593       0.169661                 NaN            NaN            NaN            NaN
  1298.08        500.000        99.3897       0.310414                 NaN            NaN  0.130225       0.169690                 NaN            NaN            NaN            NaN
  1297.01        500.000        99.3945       0.310145       0.183717E-002            NaN  0.125637       0.167866                 NaN            NaN            NaN            NaN
  1295.94        500.000        99.3886       0.281639       0.570092E-001            NaN  0.105199       0.167591                 NaN            NaN            NaN            NaN
  1294.87        500.000        99.4022       0.309507                 NaN            NaN  0.122993       0.165251                 NaN            NaN            NaN            NaN
  1293.80        500.000        99.4050       0.266596E-002  0.308178                 NaN  0.120035       0.164098                 NaN            NaN            NaN            NaN
  1292.73        500.000        99.4040       0.290431       0.342378E-001            NaN  0.108040       0.163275                 NaN            NaN            NaN            NaN
  1291.67        500.000        99.4055       0.279872       0.518658E-001            NaN  0.100655       0.162144                 NaN            NaN            NaN            NaN
  1290.60        500.000        99.4083       0.536334E-001  0.278601                 NaN  0.984075E-001  0.161092                 NaN            NaN            NaN            NaN
  1289.53        500.000        99.4120       0.274347       0.586974E-001            NaN  0.952607E-001  0.159708                 NaN            NaN            NaN            NaN
  1288.46        500.000        99.4149       0.272862       0.602984E-001            NaN  0.932309E-001  0.158713                 NaN            NaN            NaN            NaN
  1287.39        500.000        99.4178       0.269208       0.652306E-001            NaN  0.901855E-001  0.157599                 NaN            NaN            NaN            NaN
  1286.32        500.000        99.4200       0.266398       0.701964E-001            NaN  0.868538E-001  0.156579                 NaN            NaN            NaN            NaN
  1285.26        500.000        99.4227       0.755838E-001  0.262430                 NaN  0.837632E-001  0.155563                 NaN            NaN            NaN            NaN
  1284.19        500.000        99.4257       0.790182E-001  0.259504                 NaN  0.813016E-001  0.154522                 NaN            NaN            NaN            NaN
  1283.12        500.000        99.4283       0.256568       0.830393E-001            NaN  0.785997E-001  0.153525                 NaN            NaN            NaN            NaN
  1282.05        500.000        99.4308       0.883940E-001  0.252683                 NaN  0.755752E-001  0.152537                 NaN            NaN            NaN            NaN
  1280.98        500.000        99.4320       0.255381       0.844373E-001            NaN  0.747113E-001  0.151984                 NaN  0.147919E-002            NaN            NaN
  1279.91        500.000        99.3942       0.321380                 NaN            NaN  0.891764E-001  0.160667                 NaN  0.345286E-001            NaN            NaN
  1278.84        500.000        99.3989       0.320926                 NaN            NaN  0.869966E-001  0.159213                 NaN  0.339843E-001            NaN            NaN
  1277.78        500.000        99.4047       0.317697                 NaN            NaN  0.864003E-001  0.157671                 NaN  0.335123E-001            NaN            NaN
  1276.71        500.000        99.4100       0.315113                 NaN            NaN  0.856252E-001  0.156145                 NaN  0.330940E-001            NaN            NaN
  1275.64        500.000        99.4151       0.312796                 NaN            NaN  0.847161E-001  0.154819                 NaN  0.325505E-001            NaN            NaN
  1274.57        500.000        97.5634       0.731032                 NaN            NaN  0.159319       0.362873                 NaN  0.941827E-001   1.08919                 NaN
  1273.50        500.000        92.4407        1.93155                 NaN            NaN  0.333002       0.937358                 NaN  0.260477        4.09687                 NaN
  1272.43        500.000        92.9830        1.83820                 NaN            NaN  0.282821       0.874124                 NaN  0.238019        3.78389                 NaN
  1271.37        500.000        93.4574        1.74703                 NaN            NaN  0.245611       0.817930                 NaN  0.219289        3.51272                 NaN
  1270.30        500.000        93.8680        1.69077                 NaN            NaN  0.194433       0.769654                 NaN  0.201521        3.27558                 NaN
  1269.23        500.000        94.2490        1.57052                 NaN            NaN  0.201182       0.723871                 NaN  0.189387        3.06601                 NaN
  1268.16        500.000        94.5563        1.54170                 NaN            NaN  0.152255       0.687374                 NaN  0.175313        2.88708                 NaN
  1267.09        500.000        94.7486        1.48678                 NaN            NaN  0.150940       0.665356                 NaN  0.168396        2.77992                 NaN
  1266.02        500.000        95.2280        1.38737                 NaN            NaN  0.114418       0.605669                 NaN  0.150502        2.51409                 NaN
  1264.96        500.000        95.3614        1.33795                 NaN            NaN  0.122907       0.590312                 NaN  0.146304        2.44112                 NaN
  1263.89        500.000        95.5802        1.27791                 NaN            NaN  0.118508       0.563611                 NaN  0.138666        2.32108                 NaN
  1262.82        500.000        95.7845        1.20536                 NaN            NaN  0.127608       0.538489                 NaN  0.132521        2.21148                 NaN
  1261.75        500.000        95.9573        1.17158                 NaN            NaN  0.113652       0.518072                 NaN  0.125190        2.11425                 NaN
  1260.68        500.000        96.1355        1.12121                 NaN            NaN  0.108988       0.494480                 NaN  0.120035        2.01980                 NaN
  1259.61        500.000        96.2846        1.08716                 NaN            NaN  0.100661       0.476728                 NaN  0.113874        1.93693                 NaN
  1258.55        500.000        96.4291        1.04636                 NaN            NaN  0.974674E-001  0.458766                 NaN  0.108852        1.85941                 NaN
  1257.48        500.000        96.5625        1.00587                 NaN            NaN  0.977825E-001  0.441944                 NaN  0.104318        1.78764                 NaN
  1256.41        500.000        96.6873       0.973294                 NaN            NaN  0.928573E-001  0.426023                 NaN  0.998913E-001   1.72060                 NaN
  1255.34        500.000        96.7427       0.917328                 NaN            NaN  0.117946       0.420262                 NaN  0.999535E-001   1.70177                 NaN
  1254.27        500.000        96.9725       0.908059                 NaN            NaN  0.825433E-001  0.388621                 NaN  0.889965E-001   1.55925                 NaN
  1253.20        500.000        97.0119       0.882868                 NaN            NaN  0.850409E-001  0.384774                 NaN  0.882307E-001   1.54714                 NaN
  1252.14        500.000        97.1093       0.849648                 NaN            NaN  0.876349E-001  0.372257                 NaN  0.850509E-001   1.49608                 NaN
  1251.07        500.000        97.1978       0.834432                 NaN            NaN  0.774815E-001  0.360791                 NaN  0.813949E-001   1.44815                 NaN
  1250.00        500.000        97.2858       0.806721                 NaN            NaN  0.772190E-001  0.349441                 NaN  0.783672E-001   1.40243                 NaN
  1248.93        500.000        97.3616       0.773364                 NaN            NaN  0.862293E-001  0.339210                 NaN  0.762574E-001   1.36335                 NaN
  1247.86        500.000        97.4451       0.763711                 NaN            NaN  0.717221E-001  0.328517                 NaN  0.725176E-001   1.31840                 NaN
  1246.79        500.000        97.5142       0.740387                 NaN            NaN  0.734712E-001  0.319266                 NaN  0.701820E-001   1.28253                 NaN
  1245.73        500.000        97.5824       0.719459                 NaN            NaN  0.731551E-001  0.310128                 NaN  0.677886E-001   1.24708                 NaN
  1244.66        500.000        97.6495       0.700452                 NaN            NaN  0.713595E-001  0.301209                 NaN  0.653174E-001   1.21217                 NaN
  1243.59        500.000        97.7114       0.693082                 NaN            NaN  0.606218E-001  0.293174                 NaN  0.625461E-001   1.17921                 NaN
  1242.52        500.000        97.7727       0.686064                 NaN            NaN  0.500002E-001  0.284899                 NaN  0.597680E-001   1.14654                 NaN
  1241.45        500.000        97.8301       0.650320                 NaN            NaN  0.656511E-001  0.276899                 NaN  0.585764E-001   1.11846                 NaN
  1240.38        500.000        97.8846       0.645355                 NaN            NaN  0.549867E-001  0.269681                 NaN  0.561027E-001   1.08930                 NaN
  1239.32        500.000        97.9363       0.623732                 NaN            NaN  0.595909E-001  0.262444                 NaN  0.545297E-001   1.06339                 NaN
  1238.25        500.000        97.9878       0.615493                 NaN            NaN  0.524311E-001  0.255547                 NaN  0.522831E-001   1.03645                 NaN
  1237.18        500.000        98.0360       0.607934                 NaN            NaN  0.457358E-001  0.248977                 NaN  0.501901E-001   1.01116                 NaN
  1236.11        500.000        98.0813       0.595821                 NaN            NaN  0.440223E-001  0.242717                 NaN  0.484606E-001  0.987677                 NaN
  1235.04        500.000        98.1262       0.581710                 NaN            NaN  0.438716E-001  0.236484                 NaN  0.468568E-001  0.964900                 NaN
  1233.97        500.000        98.1686       0.563982                 NaN            NaN  0.476487E-001  0.230376                 NaN  0.455926E-001  0.943771                 NaN
  1232.90        500.000        98.2102       0.567558                 NaN            NaN  0.331383E-001  0.224935                 NaN  0.432455E-001  0.920900                 NaN
  1231.84        500.000        98.2490       0.557019                 NaN            NaN  0.317254E-001  0.219459                 NaN  0.417608E-001  0.901068                 NaN
  1230.77        500.000        98.2874       0.546582                 NaN            NaN  0.303056E-001  0.214031                 NaN  0.403562E-001  0.881365                 NaN
  1229.70        500.000        98.3214       0.551486                 NaN            NaN  0.168038E-001  0.209570                 NaN  0.382686E-001  0.862509                 NaN
  1228.63        500.000        98.3575       0.543839                 NaN            NaN  0.138579E-001  0.204402                 NaN  0.368076E-001  0.843600                 NaN
  1227.56        500.000        98.3913       0.535975                 NaN            NaN  0.114644E-001  0.199569                 NaN  0.354558E-001  0.826250                 NaN
  1226.49        500.000        98.4223       0.539643                 NaN            NaN  0.153467E-005  0.195460                 NaN  0.337476E-001  0.808836                 NaN
  1225.43        500.000        98.4561       0.520549                 NaN            NaN  0.740884E-002  0.191782                 NaN  0.322930E-001  0.791825                 NaN
  1224.36        500.000        98.4869       0.518901                 NaN            NaN            NaN  0.186650                 NaN  0.312552E-001  0.776312                 NaN
  1223.29        500.000        98.5213       0.506811                 NaN            NaN            NaN  0.181231                 NaN  0.304516E-001  0.760185                 NaN
  1222.22        500.000        98.5495       0.498386                 NaN            NaN            NaN  0.178654                 NaN  0.288120E-001  0.744661                 NaN
  1221.15        500.000        98.5779       0.489244                 NaN            NaN  0.571165E-005  0.174218                 NaN  0.279386E-001  0.730725                 NaN
  1220.08        500.000        98.6079       0.479128                 NaN            NaN  0.496548E-005  0.170313                 NaN  0.268726E-001  0.715782                 NaN
  1219.02        500.000        98.6350       0.470364                 NaN            NaN            NaN  0.167055                 NaN  0.257120E-001  0.701848                 NaN
  1217.95        500.000        98.6646       0.459647                 NaN            NaN            NaN  0.163178                 NaN  0.246670E-001  0.687913                 NaN
  1216.88        500.000        98.6947       0.448958                 NaN            NaN            NaN  0.156086                 NaN  0.251058E-001  0.675151                 NaN
  1215.81        500.000        98.7189       0.441062                 NaN            NaN            NaN  0.154954                 NaN  0.232675E-001  0.661820                 NaN
  1214.74        500.000        88.2692        2.01349                 NaN            NaN            NaN   1.01849                 NaN  0.944503E-001   4.38730        4.21702     
  1213.67        500.000        81.2347        2.86991                 NaN            NaN  0.177308        1.59553                 NaN  0.146346        6.88411        7.09205     
  1212.61        500.000        66.8134        4.95468                 NaN            NaN  0.421500        2.86093                 NaN  0.257839        12.3146        12.3771     
  1211.54        500.000        99.2109       0.346897E-001            NaN            NaN  0.739064E-001  0.724631E-001            NaN  0.430004E-002            NaN  0.603691     
  1210.47        500.000        86.4184        1.82296                 NaN            NaN  0.331878        1.07030                 NaN  0.114404        5.03530        5.20681     
  1209.40        500.000        85.8629        2.03243                 NaN            NaN  0.257577        1.21120                 NaN  0.103052        5.16539        5.36742     
  1208.33        500.000        89.3617        1.67259                 NaN            NaN  0.112588       0.902591                 NaN  0.772487E-001   3.89996        3.97331     
  1207.26        500.000        89.3533       0.475870       0.915054                 NaN  0.309338       0.909576                 NaN  0.816185E-001   3.91899        4.03621     
  1206.20        500.000        88.7683        1.86935                 NaN            NaN            NaN  0.937990                 NaN  0.806606E-001   4.10562        4.23811     
  1205.13        500.000        88.7801        1.68958                 NaN            NaN  0.910249E-001  0.947179                 NaN  0.800200E-001   4.12244        4.28963     
  1204.06        500.000        72.7862       0.986480        3.37454                 NaN            NaN   2.31221                 NaN  0.159680        9.84972        10.5312     
  1202.99        500.000        94.8422       0.248946       0.659282                 NaN            NaN  0.440069                 NaN  0.333341E-001   1.91603        1.86016     
  1201.92        500.000        99.6555                 NaN            NaN            NaN  0.101449       0.102572E-001            NaN  0.635030E-003  0.232166                 NaN
  1200.85        500.000        98.3640                 NaN            NaN            NaN  0.119350       0.170436                 NaN  0.333239E-001  0.731528       0.581319     
  1199.79        500.000        94.3375        1.20944                 NaN            NaN            NaN  0.474986                 NaN  0.277768E-001   1.98838        1.96196     
  1198.72        500.000        91.9624        1.30178                 NaN            NaN            NaN  0.672096                 NaN  0.500284E-001   2.97093        3.04274     
  1197.65        500.000        92.3356        1.22071                 NaN            NaN            NaN  0.642899                 NaN  0.461825E-001   2.84665        2.90798     
  1196.58        500.000        92.1862       0.472311       0.649343       0.851922E-004            NaN  0.633711                 NaN  0.552179E-001   2.95630        3.04687     
  1195.51        500.000        85.8284        2.13767                 NaN            NaN  0.424333E-001   1.18659                 NaN  0.761577E-001   5.24078        5.48794     
  1194.44        500.000        94.2985       0.202881       0.689984                 NaN  0.953312E-002  0.475889                 NaN  0.333664E-001   2.16776        2.12204     
  1193.38        500.000        71.1835        1.67593        2.36427                 NaN            NaN   2.36193                 NaN  0.185137        10.5187        11.7105     
  1192.31        500.000        99.0876       0.325415E-001            NaN            NaN  0.958154E-001  0.394926E-001            NaN  0.776709E-002  0.736757                 NaN
  1191.24        500.000        99.6428                 NaN            NaN            NaN  0.156439       0.240564E-001            NaN  0.551981E-002  0.171228                 NaN
  1190.17        500.000        99.1053                 NaN            NaN            NaN            NaN  0.422718E-001            NaN  0.233046E-001  0.498808       0.330364     
  1189.10        500.000        90.1056        1.28885       0.432163E-002            NaN  0.408655E-001  0.699308                 NaN  0.558491E-001   4.48551        3.31974     
  1188.03        500.000                 NaN   3.92283        8.10607                 NaN            NaN   7.45388                 NaN  0.566902        40.7753        39.1750     
  1186.96        500.000                 NaN   3.34731        8.67316                 NaN            NaN   7.44944                 NaN  0.569893        40.7865        39.1737     
  1185.90        500.000                 NaN   3.77628        8.25656                 NaN            NaN   7.45854                 NaN  0.565172        40.7680        39.1754     
  1184.83        500.000                 NaN   8.24111        3.78251                 NaN            NaN   7.44918                 NaN  0.577407        40.7732        39.1766     
  1183.76        500.000                 NaN   4.92871        7.12412                 NaN            NaN   7.41580                 NaN  0.574368        40.7746        39.1824     
