|6.6.6
Archiving\03_Data\frac/QFM_m4.75/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1681.70        2500.00        99.4550                 NaN            NaN            NaN  0.536164                 NaN  0.888156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4695                 NaN            NaN            NaN  0.521736                 NaN  0.877631E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4601                 NaN            NaN            NaN  0.531133                 NaN  0.881162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4698                 NaN            NaN            NaN  0.521618                 NaN  0.861453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4492                 NaN            NaN            NaN  0.541889                 NaN  0.894191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4556                 NaN            NaN            NaN  0.535573                 NaN  0.880274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4619                 NaN            NaN            NaN  0.529453                 NaN  0.866776E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4549                 NaN            NaN            NaN  0.536299                 NaN  0.876341E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4630                 NaN            NaN            NaN  0.528378                 NaN  0.859286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.4591                 NaN            NaN            NaN  0.532217                 NaN  0.865451E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.4574                 NaN            NaN            NaN  0.533902                 NaN  0.868224E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.4608                 NaN            NaN            NaN  0.530643                 NaN  0.859249E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4595                 NaN            NaN            NaN  0.531871                 NaN  0.860114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4600                 NaN            NaN            NaN  0.531468                 NaN  0.857318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4577                 NaN            NaN            NaN  0.533750                 NaN  0.859855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4624                 NaN            NaN            NaN  0.529109                 NaN  0.851777E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.9358                 NaN            NaN            NaN  0.338310                 NaN  0.103986E-002  0.724870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.5016                 NaN            NaN            NaN  0.175056                 NaN            NaN   1.32336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4761                 NaN            NaN            NaN  0.176159                 NaN            NaN   1.34773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.6295                 NaN            NaN            NaN  0.156380                 NaN            NaN   1.21411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5895                 NaN            NaN            NaN  0.163481                 NaN            NaN   1.24702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.6189                 NaN            NaN            NaN  0.158924                 NaN            NaN   1.22217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.6436                 NaN            NaN            NaN  0.143394                 NaN            NaN   1.21302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6585                 NaN            NaN            NaN  0.165209                 NaN            NaN   1.17626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6907                 NaN            NaN            NaN  0.146394                 NaN            NaN   1.16291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.7220                 NaN            NaN            NaN  0.143645                 NaN            NaN   1.13434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7370                 NaN            NaN            NaN  0.141487                 NaN            NaN   1.12152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7564                 NaN            NaN            NaN  0.136616                 NaN            NaN   1.10696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7799                 NaN            NaN            NaN  0.134740                 NaN            NaN   1.08539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7998                 NaN            NaN            NaN  0.131844                 NaN            NaN   1.06832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.8175                 NaN            NaN            NaN  0.126032                 NaN            NaN   1.05645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.8385                 NaN            NaN            NaN  0.125113                 NaN            NaN   1.03635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8526                 NaN            NaN            NaN  0.122556                 NaN            NaN   1.02482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8803                 NaN            NaN            NaN  0.120145                 NaN            NaN  0.999571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8980                 NaN            NaN            NaN  0.116045                 NaN            NaN  0.985983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9111                 NaN            NaN            NaN  0.112784                 NaN            NaN  0.976138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9287                 NaN            NaN            NaN  0.110075                 NaN            NaN  0.961229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9437                 NaN            NaN            NaN  0.113267                 NaN            NaN  0.943067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9682                 NaN            NaN            NaN  0.103287                 NaN            NaN  0.928496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9770                 NaN            NaN            NaN  0.102730                 NaN            NaN  0.920231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9921                 NaN            NaN            NaN  0.996178E-001            NaN            NaN  0.908235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.0083                 NaN            NaN            NaN  0.976749E-001            NaN            NaN  0.894070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0194                 NaN            NaN            NaN  0.930398E-001            NaN            NaN  0.887564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0390                 NaN            NaN            NaN  0.935177E-001            NaN            NaN  0.867489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0506                 NaN            NaN            NaN  0.891705E-001            NaN            NaN  0.860264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0607                 NaN            NaN            NaN  0.859466E-001            NaN            NaN  0.853397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0786                 NaN            NaN            NaN  0.865597E-001            NaN            NaN  0.834843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
