|6.6.6
Archiving\03_Data\frac/QFM_m4.75/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1972.43        2500.00        99.1063       0.371339       0.482888       0.394320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        99.0859       0.371361       0.503308       0.394344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        99.0606       0.371388       0.528598       0.394372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        99.0353       0.371415       0.553841       0.394401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        99.0101       0.371442       0.579042       0.394429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        98.9849       0.371468       0.604187       0.394458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        98.9598       0.371495       0.629275       0.394486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        98.9347       0.371522       0.654299       0.394514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        98.9097       0.371548       0.679284       0.394543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        98.8848       0.371575       0.704207       0.394571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        98.8599       0.371601       0.729071       0.394599E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        98.8350       0.371628       0.753914       0.394627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        98.8102       0.371654       0.778646       0.394655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        98.7855       0.371681       0.803377       0.394683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        98.7526       0.371715       0.836215       0.394720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        98.7362       0.371733       0.852632       0.394738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        98.7116       0.371759       0.877185       0.394766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        98.4854       0.371999        1.10307       0.395021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        98.6626       0.371811       0.926095       0.394821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        98.6382       0.371837       0.950475       0.394849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        98.6138       0.371863       0.974842       0.394877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        98.5895       0.371889       0.999079       0.394904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        98.4508       0.372036        1.13764       0.395060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        98.5411       0.371940        1.04747       0.394959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        98.4316       0.372057        1.15687       0.395082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        98.4929       0.371992        1.09563       0.395013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        98.4102       0.372079        1.17825       0.395106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        98.4449       0.372043        1.14358       0.395067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        98.4125       0.372077        1.17588       0.395104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        98.3971       0.372093        1.19130       0.395121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        96.6049       0.192831E-001   1.29418       0.381295E-001   1.39162       0.651844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.5938                 NaN  0.530231E-002            NaN  0.400864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4120                 NaN  0.249367E-002            NaN  0.585507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4163                 NaN            NaN            NaN  0.583657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4154                 NaN  0.124334E-001            NaN  0.572198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        98.8489                 NaN            NaN            NaN   1.15109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4277                 NaN            NaN            NaN  0.572317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4306                 NaN            NaN            NaN  0.569364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4291                 NaN            NaN            NaN  0.570856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4357                 NaN  0.138411E-002            NaN  0.562907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.3470                 NaN            NaN            NaN  0.646860                 NaN  0.612108E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5155                 NaN            NaN            NaN  0.471047                 NaN  0.134541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4254                 NaN            NaN            NaN  0.558558                 NaN  0.160138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4299                 NaN            NaN            NaN  0.554244                 NaN  0.158484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4305                 NaN            NaN            NaN  0.553670                 NaN  0.158725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4332                 NaN            NaN            NaN  0.551012                 NaN  0.158104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4357                 NaN            NaN            NaN  0.548597                 NaN  0.157358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4361                 NaN            NaN            NaN  0.548148                 NaN  0.157031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4391                 NaN            NaN            NaN  0.545260                 NaN  0.156401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4395                 NaN            NaN            NaN  0.544851                 NaN  0.156322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4408                 NaN            NaN            NaN  0.543574                 NaN  0.156001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4426                 NaN            NaN            NaN  0.541830                 NaN  0.155203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4433                 NaN            NaN            NaN  0.541154                 NaN  0.155089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4448                 NaN            NaN            NaN  0.539747                 NaN  0.154533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        98.4820                 NaN            NaN            NaN   1.47567                 NaN  0.423663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.8717                 NaN            NaN            NaN  0.124821                 NaN  0.347581E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4495                 NaN            NaN            NaN  0.535236                 NaN  0.152684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4484                 NaN            NaN            NaN  0.536335                 NaN  0.152642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4456                 NaN            NaN            NaN  0.539043                 NaN  0.153359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4530                 NaN            NaN            NaN  0.531928                 NaN  0.150333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4502                 NaN            NaN            NaN  0.534673                 NaN  0.151517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4482                 NaN            NaN            NaN  0.536654                 NaN  0.151587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4525                 NaN            NaN            NaN  0.532550                 NaN  0.149988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4518                 NaN            NaN            NaN  0.533238                 NaN  0.149738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4521                 NaN            NaN            NaN  0.532966                 NaN  0.149509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.8128                 NaN            NaN            NaN  0.182880                 NaN  0.433578E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.0895                 NaN            NaN            NaN  0.884966                 NaN  0.255035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4500                 NaN            NaN            NaN  0.535122                 NaN  0.148826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4421                 NaN            NaN            NaN  0.542797                 NaN  0.151471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4591                 NaN            NaN            NaN  0.526384                 NaN  0.144785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4494                 NaN            NaN            NaN  0.535867                 NaN  0.147708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4497                 NaN            NaN            NaN  0.535559                 NaN  0.147311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5727                 NaN            NaN            NaN  0.415841                 NaN  0.114263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3223                 NaN            NaN            NaN  0.659749                 NaN  0.179829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4432                 NaN            NaN            NaN  0.542032                 NaN  0.147741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4520                 NaN            NaN            NaN  0.533568                 NaN  0.143911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4440                 NaN            NaN            NaN  0.541394                 NaN  0.146003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4446                 NaN            NaN            NaN  0.540867                 NaN  0.145045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4432                 NaN            NaN            NaN  0.542313                 NaN  0.144959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4417                 NaN            NaN            NaN  0.543864                 NaN  0.144661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4397                 NaN            NaN            NaN  0.545832                 NaN  0.144398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4388                 NaN            NaN            NaN  0.546759                 NaN  0.144123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4388                 NaN            NaN            NaN  0.546885                 NaN  0.143378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4351                 NaN            NaN            NaN  0.550483                 NaN  0.144086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4357                 NaN            NaN            NaN  0.550038                 NaN  0.142996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4333                 NaN            NaN            NaN  0.552406                 NaN  0.142888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4317                 NaN            NaN            NaN  0.554035                 NaN  0.142852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4283                 NaN            NaN            NaN  0.557441                 NaN  0.142662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4285                 NaN            NaN            NaN  0.557345                 NaN  0.141965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4274                 NaN            NaN            NaN  0.558441                 NaN  0.141659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4247                 NaN            NaN            NaN  0.561110                 NaN  0.141664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.0438                 NaN            NaN            NaN  0.933309                 NaN  0.229023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.8033                 NaN            NaN            NaN  0.191528                 NaN  0.515668E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4182                 NaN            NaN            NaN  0.567677                 NaN  0.141071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4175                 NaN            NaN            NaN  0.568483                 NaN  0.140595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4150                 NaN            NaN            NaN  0.570920                 NaN  0.140335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4496                 NaN            NaN            NaN  0.537011                 NaN  0.133585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3715                 NaN            NaN            NaN  0.613797                 NaN  0.146955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4134                 NaN            NaN            NaN  0.572720                 NaN  0.138339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4072                 NaN            NaN            NaN  0.578833                 NaN  0.139865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4059                 NaN            NaN            NaN  0.580219                 NaN  0.138967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4035                 NaN            NaN            NaN  0.582590                 NaN  0.138958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4019                 NaN            NaN            NaN  0.584232                 NaN  0.138574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3992                 NaN            NaN            NaN  0.586923                 NaN  0.138589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3973                 NaN            NaN            NaN  0.588864                 NaN  0.138304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3965                 NaN            NaN            NaN  0.589655                 NaN  0.138039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3929                 NaN            NaN            NaN  0.593324                 NaN  0.138118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3927                 NaN            NaN            NaN  0.593525                 NaN  0.137309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3907                 NaN            NaN            NaN  0.595572                 NaN  0.137365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3890                 NaN            NaN            NaN  0.597291                 NaN  0.136995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3848                 NaN            NaN            NaN  0.601465                 NaN  0.137439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        98.8830                 NaN            NaN            NaN   1.09173                 NaN  0.252513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.8990                 NaN            NaN            NaN  0.992386E-001            NaN  0.179061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3747                 NaN            NaN            NaN  0.611540                 NaN  0.138080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3738                 NaN            NaN            NaN  0.612605                 NaN  0.136422E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3896                 NaN            NaN            NaN  0.596913                 NaN  0.134922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3783                 NaN            NaN            NaN  0.608120                 NaN  0.135550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3889                 NaN            NaN            NaN  0.597816                 NaN  0.132618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3647                 NaN            NaN            NaN  0.621566                 NaN  0.137684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3718                 NaN            NaN            NaN  0.614655                 NaN  0.135698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3782                 NaN            NaN            NaN  0.608420                 NaN  0.133639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3698                 NaN            NaN            NaN  0.616698                 NaN  0.135236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3785                 NaN            NaN            NaN  0.608268                 NaN  0.132650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3735                 NaN            NaN            NaN  0.613119                 NaN  0.133670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3713                 NaN            NaN            NaN  0.615285                 NaN  0.134142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3742                 NaN            NaN            NaN  0.612479                 NaN  0.132859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3722                 NaN            NaN            NaN  0.614452                 NaN  0.133060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3721                 NaN            NaN            NaN  0.614630                 NaN  0.132724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3691                 NaN            NaN            NaN  0.617573                 NaN  0.133195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3738                 NaN            NaN            NaN  0.612994                 NaN  0.131992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.7872                 NaN            NaN            NaN  0.392037                 NaN  0.161135E-002  0.819170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3015                 NaN            NaN            NaN  0.202768                 NaN            NaN   1.49577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2717                 NaN            NaN            NaN  0.204342                 NaN            NaN   1.52394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4447                 NaN            NaN            NaN  0.181535                 NaN            NaN   1.37372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.3984                 NaN            NaN            NaN  0.189875                 NaN            NaN   1.41172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4306                 NaN            NaN            NaN  0.184775                 NaN            NaN   1.38460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4583                 NaN            NaN            NaN  0.166844                 NaN            NaN   1.37486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.4733                 NaN            NaN            NaN  0.192534                 NaN            NaN   1.33418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5098                 NaN            NaN            NaN  0.170542                 NaN            NaN   1.31966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5446                 NaN            NaN            NaN  0.167500                 NaN            NaN   1.28788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.5606                 NaN            NaN            NaN  0.165148                 NaN            NaN   1.27421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.5823                 NaN            NaN            NaN  0.159560                 NaN            NaN   1.25816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6079                 NaN            NaN            NaN  0.157523                 NaN            NaN   1.23456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6299                 NaN            NaN            NaN  0.154235                 NaN            NaN   1.21584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6495                 NaN            NaN            NaN  0.147585                 NaN            NaN   1.20287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6727                 NaN            NaN            NaN  0.146606                 NaN            NaN   1.18073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6879                 NaN            NaN            NaN  0.143735                 NaN            NaN   1.16833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7186                 NaN            NaN            NaN  0.141028                 NaN            NaN   1.14033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7384                 NaN            NaN            NaN  0.136292                 NaN            NaN   1.12530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.7528                 NaN            NaN            NaN  0.132581                 NaN            NaN   1.11464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.7722                 NaN            NaN            NaN  0.129482                 NaN            NaN   1.09827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7885                 NaN            NaN            NaN  0.133363                 NaN            NaN   1.07816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8162                 NaN            NaN            NaN  0.121717                 NaN            NaN   1.06204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8256                 NaN            NaN            NaN  0.121148                 NaN            NaN   1.05326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8422                 NaN            NaN            NaN  0.117562                 NaN            NaN   1.04019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8605                 NaN            NaN            NaN  0.115320                 NaN            NaN   1.02417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8727                 NaN            NaN            NaN  0.109967                 NaN            NaN   1.01734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8942                 NaN            NaN            NaN  0.110642                 NaN            NaN  0.995127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9071                 NaN            NaN            NaN  0.105577                 NaN            NaN  0.987338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9181                 NaN            NaN            NaN  0.101849                 NaN            NaN  0.980030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9379                 NaN            NaN            NaN  0.102652                 NaN            NaN  0.959404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
