|6.6.6
Archiving\03_Data\Deqfrac/QFM_m5/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1578.28        2500.00                 NaN   99.2360                 NaN  0.691539       0.724383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00                 NaN   99.2674                 NaN  0.654652       0.779401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00                 NaN   99.2606                 NaN  0.666659       0.727896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.2671                 NaN  0.660866       0.720007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00                 NaN   99.2709                 NaN  0.659595       0.695077E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN   99.2809                 NaN  0.650174       0.689305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00                 NaN   99.2854                 NaN  0.645936       0.686267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00                 NaN   99.2901                 NaN  0.643186       0.667527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00                 NaN   99.2869                 NaN  0.644813       0.682639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00                 NaN   99.3125                 NaN  0.622544       0.649904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00                 NaN   99.3077                 NaN  0.628112       0.641791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00                 NaN   99.3121                 NaN  0.625243       0.626579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00                 NaN   99.3188                 NaN  0.617955       0.632047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00                 NaN   99.3245                 NaN  0.614499       0.609842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00                 NaN   99.2204                 NaN  0.711942       0.676811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00                 NaN   99.4414                 NaN  0.508226       0.503560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00                 NaN   99.3380                 NaN  0.605082       0.569572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00                 NaN   99.3439                 NaN  0.599358       0.567369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00                 NaN   99.2798                 NaN  0.658731       0.614853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00                 NaN   99.4205                 NaN  0.530732       0.487578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00                 NaN   99.3583                 NaN  0.588027       0.536665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.3607                 NaN  0.587191       0.521397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00                 NaN   99.3460                 NaN  0.600507       0.535363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00                 NaN   99.7001                 NaN  0.277970       0.202120E-001  0.168429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00                 NaN   99.8522                 NaN  0.137157       0.106714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00                 NaN   98.5931                 NaN   1.29521       0.111662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00                 NaN   99.3718                 NaN  0.578498       0.496946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00                 NaN   99.3997                 NaN  0.554870       0.454644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00                 NaN   99.3893                 NaN  0.565531       0.451526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00                 NaN   99.2949                 NaN  0.599665       0.105447                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00                 NaN   99.5063                 NaN  0.484577       0.914233E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00                 NaN   99.4011                 NaN  0.578993       0.199558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00                 NaN   99.4045                 NaN  0.555047       0.404686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00                 NaN   99.4114                 NaN  0.548336       0.402650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00                 NaN   98.9608                 NaN  0.545042E-001  0.173591E-002            NaN  0.982958                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00                 NaN   99.8247                 NaN  0.133269E-001  0.271935E-005            NaN  0.161986                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00                 NaN   98.9333                 NaN            NaN  0.111670E-001            NaN   1.05553                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00                 NaN   99.2241                 NaN            NaN            NaN            NaN  0.775857                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00                 NaN   99.2213                 NaN            NaN            NaN            NaN  0.778735                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00                 NaN   99.2189                 NaN            NaN            NaN            NaN  0.781097                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00                 NaN   99.2159                 NaN            NaN            NaN            NaN  0.784110                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00                 NaN   99.2113                 NaN            NaN            NaN            NaN  0.788681                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00                 NaN   99.2065                 NaN            NaN            NaN            NaN  0.793503                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00                 NaN   99.1984                 NaN            NaN            NaN            NaN  0.801576                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00                 NaN   99.1867                 NaN            NaN            NaN            NaN  0.813268                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00                 NaN   99.1788                 NaN            NaN            NaN            NaN  0.821234                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00                 NaN   98.9016                 NaN            NaN            NaN            NaN  0.468147       0.630279                 NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00                 NaN   98.6994                 NaN            NaN            NaN            NaN  0.828429       0.472216                 NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00                 NaN   98.7134                 NaN            NaN            NaN            NaN  0.819736       0.466884                 NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00                 NaN   98.7267                 NaN            NaN            NaN  0.166656E-004  0.461608       0.811636                 NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00                 NaN   98.6507                 NaN            NaN            NaN  0.389159E-001  0.894665       0.415758                 NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00                 NaN   98.6649                 NaN            NaN            NaN  0.385517E-001  0.410948       0.885563                 NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00                 NaN   98.6793                 NaN            NaN            NaN  0.377542E-001  0.408005       0.874985                 NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00                 NaN   98.6945                 NaN            NaN            NaN  0.371353E-001  0.864569       0.403765                 NaN            NaN            NaN            NaN            NaN
  1494.56        2500.00                 NaN   98.7080                 NaN            NaN            NaN  0.365768E-001  0.400567       0.854821                 NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00                 NaN   98.7221                 NaN            NaN            NaN  0.359560E-001  0.396726       0.845204                 NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00                 NaN   98.7339                 NaN            NaN            NaN  0.353261E-001  0.836290       0.394456                 NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00                 NaN   98.7423                 NaN            NaN            NaN  0.350791E-001  0.829743       0.392841                 NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00                 NaN   98.7674                 NaN            NaN            NaN  0.338019E-001  0.385402       0.813355                 NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00                 NaN   98.7734                 NaN            NaN            NaN  0.334686E-001  0.809877       0.383231                 NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00                 NaN   98.7833                 NaN            NaN            NaN  0.330981E-001  0.802763       0.380805                 NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00                 NaN   98.7992                 NaN            NaN            NaN  0.322570E-001  0.792770       0.375790                 NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00                 NaN   98.8100                 NaN            NaN            NaN  0.317246E-001  0.785455       0.372863                 NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00                 NaN   98.8214                 NaN            NaN            NaN  0.311391E-001  0.778226       0.369202                 NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00                 NaN   98.8321                 NaN            NaN            NaN  0.305891E-001  0.770985       0.366361                 NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00                 NaN   98.8427                 NaN            NaN            NaN  0.299548E-001  0.763422       0.363944                 NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00                 NaN   98.8553                 NaN            NaN            NaN  0.294575E-001  0.755744       0.359471                 NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00                 NaN   98.8648                 NaN            NaN            NaN  0.289942E-001  0.749703       0.356459                 NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00                 NaN   98.8743                 NaN            NaN            NaN  0.285828E-001  0.743592       0.353509                 NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00                 NaN   98.8851                 NaN            NaN            NaN  0.280075E-001  0.737899       0.349022                 NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00                 NaN   96.5690                 NaN            NaN            NaN  0.143093        1.16738        1.24578                 NaN  0.874782                 NaN            NaN            NaN
  1468.21        2500.00                 NaN   94.6733                 NaN            NaN            NaN  0.237284        1.83903        1.63926                 NaN   1.61111                 NaN            NaN            NaN
  1466.66        2500.00                 NaN   94.9643                 NaN            NaN            NaN  0.223240        1.55064        1.73742                 NaN   1.52444                 NaN            NaN            NaN
  1465.11        2500.00                 NaN   95.2291                 NaN            NaN            NaN  0.210035        1.64703        1.46857                 NaN   1.44530                 NaN            NaN            NaN
  1463.55        2500.00                 NaN   95.4635                 NaN            NaN            NaN  0.198376        1.56624        1.39633                 NaN   1.37553                 NaN            NaN            NaN
  1462.00        2500.00                 NaN   95.6856                 NaN            NaN            NaN  0.187712        1.32842        1.48923                 NaN   1.30901                 NaN            NaN            NaN
  1460.45        2500.00                 NaN   95.8857                 NaN            NaN            NaN  0.178007        1.42178        1.26534                 NaN   1.24917                 NaN            NaN            NaN
  1458.90        2500.00                 NaN   96.0644                 NaN            NaN            NaN  0.168995        1.21058        1.36035                 NaN   1.19568                 NaN            NaN            NaN
  1457.35        2500.00                 NaN   96.2354                 NaN            NaN            NaN  0.160848        1.30142        1.15788                 NaN   1.14441                 NaN            NaN            NaN
  1455.80        2500.00                 NaN   96.3905                 NaN            NaN            NaN  0.153265        1.24901        1.10937                 NaN   1.09781                 NaN            NaN            NaN
  1454.25        2500.00                 NaN   96.5347                 NaN            NaN            NaN  0.146495        1.19925        1.06519                 NaN   1.05440                 NaN            NaN            NaN
  1452.70        2500.00                 NaN   96.6686                 NaN            NaN            NaN  0.139802        1.15419        1.02311                 NaN   1.01435                 NaN            NaN            NaN
  1451.15        2500.00                 NaN   96.7935                 NaN            NaN            NaN  0.133671       0.984133        1.11194                 NaN  0.976755                 NaN            NaN            NaN
  1449.60        2500.00                 NaN   96.9097                 NaN            NaN            NaN  0.128041       0.947849        1.07262                 NaN  0.941783                 NaN            NaN            NaN
  1448.05        2500.00                 NaN   97.0178                 NaN            NaN            NaN  0.122730       0.914374        1.03571                 NaN  0.909342                 NaN            NaN            NaN
  1446.50        2500.00                 NaN   97.1207                 NaN            NaN            NaN  0.117623       0.881916        1.00150                 NaN  0.878271                 NaN            NaN            NaN
  1444.95        2500.00                 NaN   97.2170                 NaN            NaN            NaN  0.113055       0.851515       0.969296                 NaN  0.849103                 NaN            NaN            NaN
  1443.40        2500.00                 NaN   97.3072                 NaN            NaN            NaN  0.108621       0.824111       0.938214                 NaN  0.821881                 NaN            NaN            NaN
  1441.85        2500.00                 NaN   97.3929                 NaN            NaN            NaN  0.104454       0.797059       0.909576                 NaN  0.795966                 NaN            NaN            NaN
  1440.30        2500.00                 NaN   97.4717                 NaN            NaN            NaN  0.100484       0.772396       0.883380                 NaN  0.772073                 NaN            NaN            NaN
  1438.75        2500.00                 NaN   97.5498                 NaN            NaN            NaN  0.968344E-001  0.748348       0.856677                 NaN  0.748309                 NaN            NaN            NaN
  1437.20        2500.00                 NaN   97.6219                 NaN            NaN            NaN  0.931582E-001  0.833337       0.725161                 NaN  0.726467                 NaN            NaN            NaN
  1435.65        2500.00                 NaN   97.6901                 NaN            NaN            NaN  0.899689E-001  0.810505       0.703571                 NaN  0.705818                 NaN            NaN            NaN
  1434.10        2500.00                 NaN   97.7548                 NaN            NaN            NaN  0.866394E-001  0.789179       0.683259                 NaN  0.686089                 NaN            NaN            NaN
  1432.55        2500.00                 NaN   97.8170                 NaN            NaN            NaN  0.837027E-001  0.664291       0.767833                 NaN  0.667178                 NaN            NaN            NaN
  1431.00        2500.00                 NaN   97.8763                 NaN            NaN            NaN  0.807769E-001  0.644968       0.748858                 NaN  0.649131                 NaN            NaN            NaN
  1429.45        2500.00                 NaN   97.9313                 NaN            NaN            NaN  0.780762E-001  0.627744       0.730470                 NaN  0.632363                 NaN            NaN            NaN
  1427.90        2500.00                 NaN   97.9871                 NaN            NaN            NaN  0.752566E-001  0.712696       0.609746                 NaN  0.615248                 NaN            NaN            NaN
  1426.35        2500.00                 NaN   98.0371                 NaN            NaN            NaN  0.728637E-001  0.594242       0.695805                 NaN  0.600002                 NaN            NaN            NaN
  1424.80        2500.00                 NaN   98.0860                 NaN            NaN            NaN  0.704349E-001  0.680257       0.578226                 NaN  0.585107                 NaN            NaN            NaN
  1423.25        2500.00                 NaN   98.1331                 NaN            NaN            NaN  0.681104E-001  0.664689       0.563534                 NaN  0.570616                 NaN            NaN            NaN
  1421.70        2500.00                 NaN   98.1735                 NaN            NaN            NaN  0.660150E-001  0.550692       0.651288                 NaN  0.558466                 NaN            NaN            NaN
  1420.15        2500.00                 NaN   98.2253                 NaN            NaN            NaN  0.634508E-001  0.534208       0.634819                 NaN  0.542202                 NaN            NaN            NaN
  1418.59        2500.00                 NaN   98.2626                 NaN            NaN            NaN  0.616843E-001  0.622594       0.522161                 NaN  0.530950                 NaN            NaN            NaN
  1417.04        2500.00                 NaN   98.3022                 NaN            NaN            NaN  0.597021E-001  0.509480       0.609830                 NaN  0.518767                 NaN            NaN            NaN
  1415.49        2500.00                 NaN   98.3400                 NaN            NaN            NaN  0.577098E-001  0.598177       0.496980                 NaN  0.507113                 NaN            NaN            NaN
  1413.94        2500.00                 NaN   98.3771                 NaN            NaN            NaN  0.558560E-001  0.485497       0.585901                 NaN  0.495643                 NaN            NaN            NaN
  1412.39        2500.00                 NaN   98.4122                 NaN            NaN            NaN  0.540290E-001  0.473937       0.575047                 NaN  0.484820                 NaN            NaN            NaN
  1410.84        2500.00                 NaN   98.4457                 NaN            NaN            NaN  0.525703E-001  0.563613       0.463591                 NaN  0.474489                 NaN            NaN            NaN
  1409.29        2500.00                 NaN   98.4784                 NaN            NaN            NaN  0.508040E-001  0.554128       0.452094                 NaN  0.464539                 NaN            NaN            NaN
  1407.74        2500.00                 NaN   98.5124                 NaN            NaN            NaN  0.491013E-001  0.442104       0.542607                 NaN  0.453739                 NaN            NaN            NaN
  1406.19        2500.00                 NaN   98.5415                 NaN            NaN            NaN  0.476058E-001  0.432116       0.533919                 NaN  0.444831                 NaN            NaN            NaN
  1404.64        2500.00                 NaN   98.5707                 NaN            NaN            NaN  0.460764E-001  0.422707       0.524700                 NaN  0.435794                 NaN            NaN            NaN
  1403.09        2500.00                 NaN   98.5992                 NaN            NaN            NaN  0.447564E-001  0.413487       0.515562                 NaN  0.426979                 NaN            NaN            NaN
  1401.54        2500.00                 NaN   98.6270                 NaN            NaN            NaN  0.432312E-001  0.404408       0.507027                 NaN  0.418343                 NaN            NaN            NaN
  1399.99        2500.00                 NaN   98.6534                 NaN            NaN            NaN  0.418601E-001  0.395617       0.498979                 NaN  0.410128                 NaN            NaN            NaN
  1398.44        2500.00                 NaN   98.6791                 NaN            NaN            NaN  0.405603E-001  0.387330       0.490863                 NaN  0.402151                 NaN            NaN            NaN
  1396.89        2500.00                 NaN   98.7041                 NaN            NaN            NaN  0.392789E-001  0.378988       0.483279                 NaN  0.394324                 NaN            NaN            NaN
  1395.34        2500.00                 NaN   98.7282                 NaN            NaN            NaN  0.379979E-001  0.475760       0.371257                 NaN  0.386801                 NaN            NaN            NaN
  1393.79        2500.00                 NaN   98.7513                 NaN            NaN            NaN  0.367474E-001  0.363222       0.469129                 NaN  0.379646                 NaN            NaN            NaN
  1392.24        2500.00                 NaN   98.7745                 NaN            NaN            NaN  0.356267E-001  0.355833       0.461703                 NaN  0.372330                 NaN            NaN            NaN
  1390.69        2500.00                 NaN   98.7954                 NaN            NaN            NaN  0.344760E-001  0.349128       0.455175                 NaN  0.365802                 NaN            NaN            NaN
  1389.14        2500.00                 NaN   98.8157                 NaN            NaN            NaN  0.334781E-001  0.341968       0.449244                 NaN  0.359565                 NaN            NaN            NaN
  1387.59        2500.00                 NaN   98.8363                 NaN            NaN            NaN  0.320933E-001  0.443758       0.334605                 NaN  0.353223                 NaN            NaN            NaN
  1386.04        2500.00                 NaN   98.8623                 NaN            NaN            NaN  0.308835E-001  0.435573       0.326745                 NaN  0.344535                 NaN            NaN            NaN
  1384.49        2500.00                 NaN   98.8775                 NaN            NaN            NaN  0.300330E-001  0.431194       0.321303                 NaN  0.340019                 NaN            NaN            NaN
  1382.94        2500.00                 NaN   98.8966                 NaN            NaN            NaN  0.290236E-001  0.314820       0.425544                 NaN  0.334038                 NaN            NaN            NaN
  1381.39        2500.00                 NaN   98.9132                 NaN            NaN            NaN  0.281907E-001  0.309381       0.420300                 NaN  0.328927                 NaN            NaN            NaN
  1379.84        2500.00                 NaN   98.9344                 NaN            NaN            NaN  0.270075E-001  0.414405       0.302151                 NaN  0.322046                 NaN            NaN            NaN
  1378.29        2500.00                 NaN   98.9500                 NaN            NaN            NaN  0.261256E-001  0.296718       0.409929                 NaN  0.317194                 NaN            NaN            NaN
  1376.74        2500.00                 NaN   98.9667                 NaN            NaN            NaN  0.251485E-001  0.405143       0.291075                 NaN  0.311898                 NaN            NaN            NaN
  1375.18        2500.00                 NaN   98.9834                 NaN            NaN            NaN  0.242636E-001  0.400473       0.285211                 NaN  0.306666                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   98.9994                 NaN            NaN            NaN  0.234468E-001  0.279769       0.395741                 NaN  0.301641                 NaN            NaN            NaN
  1372.08        2500.00                 NaN   99.0149                 NaN            NaN            NaN  0.225837E-001  0.391066       0.274706                 NaN  0.296737                 NaN            NaN            NaN
  1370.53        2500.00                 NaN   99.0302                 NaN            NaN            NaN  0.216649E-001  0.269269       0.387083                 NaN  0.291795                 NaN            NaN            NaN
  1368.98        2500.00                 NaN   99.0449                 NaN            NaN            NaN  0.207996E-001  0.264044       0.383082                 NaN  0.287159                 NaN            NaN            NaN
  1367.43        2500.00                 NaN   99.0591                 NaN            NaN            NaN  0.200009E-001  0.259292       0.378974                 NaN  0.282650                 NaN            NaN            NaN
  1365.88        2500.00                 NaN   99.0726                 NaN            NaN            NaN  0.191119E-001  0.254259       0.375696                 NaN  0.278374                 NaN            NaN            NaN
  1364.33        2500.00                 NaN   99.0871                 NaN            NaN            NaN  0.183408E-001  0.249008       0.371808                 NaN  0.273729                 NaN            NaN            NaN
  1362.78        2500.00                 NaN   99.0998                 NaN            NaN            NaN  0.175318E-001  0.244644       0.368296                 NaN  0.269727                 NaN            NaN            NaN
  1361.23        2500.00                 NaN   99.1131                 NaN            NaN            NaN  0.167932E-001  0.364582       0.240061                 NaN  0.265513                 NaN            NaN            NaN
  1359.68        2500.00                 NaN   99.1255                 NaN            NaN            NaN  0.160435E-001  0.235625       0.361332                 NaN  0.261471                 NaN            NaN            NaN
  1358.13        2500.00                 NaN   99.1380                 NaN            NaN            NaN  0.152958E-001  0.358174       0.230949                 NaN  0.257603                 NaN            NaN            NaN
  1356.58        2500.00                 NaN   99.1501                 NaN            NaN            NaN  0.146061E-001  0.226670       0.354937                 NaN  0.253649                 NaN            NaN            NaN
  1355.03        2500.00                 NaN   99.1618                 NaN            NaN            NaN  0.139035E-001  0.351909       0.222429                 NaN  0.249974                 NaN            NaN            NaN
  1353.48        2500.00                 NaN   99.1731                 NaN            NaN            NaN  0.132050E-001  0.218287       0.349062                 NaN  0.246324                 NaN            NaN            NaN
  1351.93        2500.00                 NaN   99.1843                 NaN            NaN            NaN  0.125009E-001  0.214263       0.346159                 NaN  0.242731                 NaN            NaN            NaN
  1350.38        2500.00                 NaN   99.1952                 NaN            NaN            NaN  0.118665E-001  0.210373       0.343312                 NaN  0.239274                 NaN            NaN            NaN
  1348.83        2500.00                 NaN   99.2058                 NaN            NaN            NaN  0.110716E-001  0.205548       0.341677                 NaN  0.235894                 NaN            NaN            NaN
  1347.28        2500.00                 NaN   99.2163                 NaN            NaN            NaN  0.104702E-001  0.338583       0.202110                 NaN  0.232581                 NaN            NaN            NaN
  1345.73        2500.00                 NaN   99.2259                 NaN            NaN            NaN  0.985419E-002  0.335840       0.198963                 NaN  0.229410                 NaN            NaN            NaN
  1344.18        2500.00                 NaN   99.2366                 NaN            NaN            NaN  0.905552E-002  0.193872       0.334441                 NaN  0.226054                 NaN            NaN            NaN
  1342.63        2500.00                 NaN   99.2457                 NaN            NaN            NaN  0.852040E-002  0.191556       0.331302                 NaN  0.222950                 NaN            NaN            NaN
  1341.08        2500.00                 NaN   99.2560                 NaN            NaN            NaN  0.790620E-002  0.329124       0.187284                 NaN  0.219711                 NaN            NaN            NaN
  1339.53        2500.00                 NaN   99.2645                 NaN            NaN            NaN  0.719855E-002  0.183716       0.327568                 NaN  0.216975                 NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.2737                 NaN            NaN            NaN  0.660318E-002  0.325584       0.180093                 NaN  0.214016                 NaN            NaN            NaN
  1336.43        2500.00                 NaN   99.2825                 NaN            NaN            NaN  0.605068E-002  0.176595       0.323600                 NaN  0.211228                 NaN            NaN            NaN
  1334.88        2500.00                 NaN   99.2909                 NaN            NaN            NaN  0.540173E-002  0.173282       0.321873                 NaN  0.208502                 NaN            NaN            NaN
  1333.33        2500.00                 NaN   99.2996                 NaN            NaN            NaN  0.478101E-002  0.320175       0.169745                 NaN  0.205700                 NaN            NaN            NaN
  1331.78        2500.00                 NaN   99.3078                 NaN            NaN            NaN  0.428644E-002  0.166841       0.318085                 NaN  0.203013                 NaN            NaN            NaN
  1330.22        2500.00                 NaN   99.3158                 NaN            NaN            NaN  0.367441E-002  0.163313       0.316760                 NaN  0.200468                 NaN            NaN            NaN
