|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1556.95        2500.00        99.3059       0.627922       0.662133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00        99.3101       0.625139       0.647376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.3130       0.623574       0.634437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00        99.3204       0.617253       0.623165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.81        2500.00        99.3171       0.617821       0.650727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.27        2500.00        99.3382       0.602252       0.595854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.74        2500.00        99.3353       0.605548       0.591984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.21        2500.00        99.3369       0.605820       0.572862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.67        2500.00        99.3440       0.599259       0.567494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00        99.7231       0.252192       0.247413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.60        2500.00        98.9693       0.947858       0.828672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00        99.3611       0.585260       0.536543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.53        2500.00        99.3148       0.626812       0.583425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        2500.00        99.4123       0.539614       0.480651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.47        2500.00        99.3668       0.582372       0.507913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        2500.00        99.1312       0.800767       0.680229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.40        2500.00        99.6184       0.352636       0.289242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.86        2500.00        99.3795       0.573292       0.471613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.33        2500.00        99.3821       0.572608       0.452806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.3861       0.569967       0.439527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.26        2500.00        99.3902       0.566489       0.432645E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        2500.00        99.6559       0.312057       0.320417E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        2500.00        99.1327       0.816026       0.512515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.66        2500.00        99.4010       0.542311       0.566889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.12        2500.00        99.4032       0.573857       0.229294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        2500.00        99.4075       0.553730       0.387401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.05        2500.00        99.4077       0.542300       0.499801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        2500.00        99.4124       0.566669       0.208921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.99        2500.00        99.3128       0.644670       0.424828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        2500.00        99.5246       0.447192       0.282191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.92        2500.00        99.3623       0.618872       0.188780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.38        2500.00        98.6538        1.26780       0.769890E-001  0.137004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.85        2500.00       100.0000                 NaN  0.186093E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.31        2500.00        99.6727       0.309233       0.180895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.78        2500.00        99.9588                 NaN  0.906909E-003  0.403021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.25        2500.00        98.3607       0.867169       0.993508E-001  0.672814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.71        2500.00        98.7246       0.115666       0.669888E-001  0.857071       0.235721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        2500.00        98.7118       0.584399E-001  0.490270E-001  0.355027       0.825745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.64        2500.00        98.7241       0.935344E-001  0.445183E-001  0.818082       0.319757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        2500.00        98.7369                 NaN  0.484305E-001  0.411040       0.803663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.57        2500.00        98.7467                 NaN  0.455989E-001  0.795747       0.411988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        2500.00        99.1519                 NaN  0.302538E-001  0.277846       0.539960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.51        2500.00        98.3654                 NaN  0.565833E-001  0.540507        1.03749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.97        2500.00        98.7845       0.485926E-002  0.396997E-001  0.400287       0.770628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.44        2500.00        98.7895                 NaN  0.392262E-001  0.403338       0.767919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.90        2500.00        98.7987                 NaN  0.376943E-001  0.761954       0.401653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.37        2500.00        98.8089                 NaN  0.361742E-001  0.755947       0.399022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.83        2500.00        98.8183                 NaN  0.347400E-001  0.750048       0.396873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.30        2500.00        98.8272                 NaN  0.333838E-001  0.744467       0.394958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.77        2500.00        98.8372                 NaN  0.390084E-001  0.740533       0.383300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.23        2500.00        98.8423                 NaN  0.233264E-001  0.401876       0.732504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.8548                 NaN  0.293840E-001  0.726600       0.389254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        98.8630                 NaN  0.277417E-001  0.387613       0.721689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00        98.8711                 NaN  0.266708E-001  0.717131       0.385091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.09        2500.00        98.8790                 NaN  0.249073E-001  0.711971       0.384123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.56        2500.00        98.8873                 NaN  0.254174E-001  0.707981       0.379269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.03        2500.00        98.8939                 NaN  0.211478E-001  0.382147       0.702763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.0489                 NaN  0.189836E-001  0.605187       0.326951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00        98.7600                 NaN  0.226380E-001  0.788316       0.429022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        98.9156                 NaN  0.193138E-001  0.690353       0.374720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.89        2500.00        98.9243                 NaN  0.174851E-001  0.373484       0.684743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        98.9289                 NaN  0.167198E-001  0.682081       0.372338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.82        2500.00        98.9363                 NaN  0.153712E-001  0.678481       0.369845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.29        2500.00        98.9311                 NaN  0.145737E-001  0.370692       0.683589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.75        2500.00        98.9562                 NaN  0.130161E-001  0.666896       0.363900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.22        2500.00        99.1696                 NaN  0.132581E-001  0.284119       0.533060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.68        2500.00        96.9822                 NaN  0.285750        1.05529       0.888924                 NaN            NaN  0.787854                 NaN            NaN            NaN            NaN
  1454.15        2500.00        97.0146                 NaN  0.322268       0.846930       0.931468                 NaN            NaN  0.884700                 NaN            NaN            NaN            NaN
  1452.61        2500.00        97.0776                 NaN  0.321077       0.819660       0.915196                 NaN            NaN  0.866423                 NaN            NaN            NaN            NaN
  1451.08        2500.00        97.1425                 NaN  0.318854       0.897670       0.793315                 NaN            NaN  0.847682                 NaN            NaN            NaN            NaN
  1449.55        2500.00        97.2049                 NaN  0.317396       0.879675       0.768649                 NaN            NaN  0.829339                 NaN            NaN            NaN            NaN
  1448.01        2500.00        97.2585                 NaN  0.317022       0.866200       0.744304                 NaN            NaN  0.813949                 NaN            NaN            NaN            NaN
  1446.48        2500.00        97.3231                 NaN  0.313420       0.721286       0.847290                 NaN            NaN  0.794882                 NaN            NaN            NaN            NaN
  1444.94        2500.00        97.3756                 NaN  0.312816       0.833478       0.698424                 NaN            NaN  0.779709                 NaN            NaN            NaN            NaN
  1443.41        2500.00        97.4265                 NaN  0.312101       0.819527       0.676954                 NaN            NaN  0.764958                 NaN            NaN            NaN            NaN
  1441.87        2500.00        97.4793                 NaN  0.310031       0.804629       0.656908                 NaN            NaN  0.749149                 NaN            NaN            NaN            NaN
  1440.34        2500.00        97.5249                 NaN  0.309928       0.793734       0.635899                 NaN            NaN  0.735546                 NaN            NaN            NaN            NaN
  1438.81        2500.00        97.5770                 NaN  0.307749       0.779961       0.614646                 NaN            NaN  0.720668                 NaN            NaN            NaN            NaN
  1437.27        2500.00        97.6224                 NaN  0.306654       0.766990       0.596648                 NaN            NaN  0.707343                 NaN            NaN            NaN            NaN
  1435.74        2500.00        97.6645                 NaN  0.306290       0.754900       0.579268                 NaN            NaN  0.694993                 NaN            NaN            NaN            NaN
  1434.20        2500.00        97.7085                 NaN  0.305171       0.561613       0.742512                 NaN            NaN  0.682219                 NaN            NaN            NaN            NaN
  1432.67        2500.00        97.7312                 NaN  0.307992       0.546950       0.738129                 NaN            NaN  0.675752                 NaN            NaN            NaN            NaN
  1431.13        2500.00        97.7902                 NaN  0.303663       0.720623       0.526798                 NaN            NaN  0.658673                 NaN            NaN            NaN            NaN
  1429.60        2500.00        97.8336                 NaN  0.301109       0.709040       0.511397                 NaN            NaN  0.644816                 NaN            NaN            NaN            NaN
  1428.07        2500.00        97.8631                 NaN  0.303170       0.701307       0.495675                 NaN            NaN  0.636745                 NaN            NaN            NaN            NaN
  1426.53        2500.00        97.9023                 NaN  0.301262       0.690211       0.481177                 NaN            NaN  0.625029                 NaN            NaN            NaN            NaN
  1425.00        2500.00        97.9340                 NaN  0.301940       0.466655       0.681634                 NaN            NaN  0.615807                 NaN            NaN            NaN            NaN
  1423.46        2500.00        97.9680                 NaN  0.301590       0.672996       0.451234                 NaN            NaN  0.606151                 NaN            NaN            NaN            NaN
  1421.93        2500.00        98.0050                 NaN  0.299688       0.438260       0.662507                 NaN            NaN  0.594556                 NaN            NaN            NaN            NaN
  1420.39        2500.00        98.0338                 NaN  0.300197       0.423674       0.655932                 NaN            NaN  0.586356                 NaN            NaN            NaN            NaN
  1418.86        2500.00        98.0648                 NaN  0.299845       0.410858       0.647248                 NaN            NaN  0.577251                 NaN            NaN            NaN            NaN
  1417.33        2500.00        98.0952                 NaN  0.299461       0.398246       0.638969                 NaN            NaN  0.568134                 NaN            NaN            NaN            NaN
  1415.79        2500.00        98.1252                 NaN  0.299097       0.630688       0.385505                 NaN            NaN  0.559507                 NaN            NaN            NaN            NaN
  1414.26        2500.00        98.1522                 NaN  0.299117       0.374121       0.623147                 NaN            NaN  0.551407                 NaN            NaN            NaN            NaN
  1412.72        2500.00        98.1808                 NaN  0.298592       0.361521       0.616198                 NaN            NaN  0.542912                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.2066                 NaN  0.298664       0.350603       0.608953                 NaN            NaN  0.535152                 NaN            NaN            NaN            NaN
  1409.65        2500.00        98.2326                 NaN  0.298613       0.338705       0.602659                 NaN            NaN  0.527461                 NaN            NaN            NaN            NaN
  1408.12        2500.00        98.2608                 NaN  0.297002       0.328645       0.594745                 NaN            NaN  0.518828                 NaN            NaN            NaN            NaN
  1406.59        2500.00        98.2836                 NaN  0.298540       0.316133       0.589372                 NaN            NaN  0.512346                 NaN            NaN            NaN            NaN
  1405.05        2500.00        98.3060                 NaN  0.298044       0.584060       0.306382                 NaN            NaN  0.505506                 NaN            NaN            NaN            NaN
  1403.52        2500.00        98.3314                 NaN  0.297535       0.576730       0.296221                 NaN            NaN  0.498069                 NaN            NaN            NaN            NaN
  1401.98        2500.00        98.3524                 NaN  0.297770       0.286704       0.571522                 NaN            NaN  0.491642                 NaN            NaN            NaN            NaN
  1400.45        2500.00        98.3759                 NaN  0.297334       0.565085       0.277113                 NaN            NaN  0.484563                 NaN            NaN            NaN            NaN
  1398.91        2500.00        98.3970                 NaN  0.297289       0.560056       0.267409                 NaN            NaN  0.478261                 NaN            NaN            NaN            NaN
  1397.38        2500.00        98.4179                 NaN  0.297218       0.554586       0.258343                 NaN            NaN  0.471921                 NaN            NaN            NaN            NaN
  1395.85        2500.00        98.3572                 NaN  0.298074       0.569053       0.284568                 NaN            NaN  0.491135                 NaN            NaN            NaN            NaN
  1394.31        2500.00        98.5347                 NaN  0.296993       0.523568       0.207904                 NaN            NaN  0.436818                 NaN            NaN            NaN            NaN
  1392.78        2500.00        98.4790                 NaN  0.296544       0.232462       0.538486                 NaN            NaN  0.453520                 NaN            NaN            NaN            NaN
  1391.24        2500.00        98.4974                 NaN  0.296401       0.534432       0.223821                 NaN            NaN  0.447977                 NaN            NaN            NaN            NaN
  1389.71        2500.00        98.5167                 NaN  0.296190       0.529168       0.215898                 NaN            NaN  0.442019                 NaN            NaN            NaN            NaN
  1388.17        2500.00        98.5358                 NaN  0.295900       0.524215       0.207701                 NaN            NaN  0.436421                 NaN            NaN            NaN            NaN
  1386.64        2500.00        98.5531                 NaN  0.293355       0.203676       0.519162                 NaN            NaN  0.430745                 NaN            NaN            NaN            NaN
  1385.11        2500.00        98.5686                 NaN  0.297691       0.190123       0.517099                 NaN            NaN  0.426529                 NaN            NaN            NaN            NaN
  1383.57        2500.00        98.5868                 NaN  0.295223       0.185924       0.511352                 NaN            NaN  0.420682                 NaN            NaN            NaN            NaN
  1382.04        2500.00        98.6039                 NaN  0.294561       0.507430       0.178661                 NaN            NaN  0.415444                 NaN            NaN            NaN            NaN
  1380.50        2500.00        98.6203                 NaN  0.294161       0.171963       0.503118                 NaN            NaN  0.410454                 NaN            NaN            NaN            NaN
  1378.97        2500.00        98.6353                 NaN  0.293920       0.499498       0.165658                 NaN            NaN  0.405604                 NaN            NaN            NaN            NaN
  1377.43        2500.00        98.6512                 NaN  0.293233       0.495272       0.159626                 NaN            NaN  0.400653                 NaN            NaN            NaN            NaN
  1375.90        2500.00        98.6669                 NaN  0.292714       0.491314       0.153140                 NaN            NaN  0.395882                 NaN            NaN            NaN            NaN
  1374.37        2500.00        98.6809                 NaN  0.292310       0.147392       0.487903                 NaN            NaN  0.391474                 NaN            NaN            NaN            NaN
  1372.83        2500.00        98.6960                 NaN  0.291407       0.141764       0.484127                 NaN            NaN  0.386738                 NaN            NaN            NaN            NaN
  1371.30        2500.00        98.7100                 NaN  0.290963       0.480449       0.136263                 NaN            NaN  0.382358                 NaN            NaN            NaN            NaN
  1369.76        2500.00        98.7244                 NaN  0.289825       0.476710       0.131337                 NaN            NaN  0.377750                 NaN            NaN            NaN            NaN
  1368.23        2500.00        98.7373                 NaN  0.289333       0.473490       0.126215                 NaN            NaN  0.373635                 NaN            NaN            NaN            NaN
  1366.69        2500.00        98.7519                 NaN  0.287970       0.121440       0.469682                 NaN            NaN  0.368999                 NaN            NaN            NaN            NaN
  1365.16        2500.00        98.7594                 NaN  0.294721       0.468746       0.108998                 NaN            NaN  0.368184                 NaN            NaN            NaN            NaN
  1363.63        2500.00        98.7839                 NaN  0.278620       0.458976       0.120960                 NaN            NaN  0.357497                 NaN            NaN            NaN            NaN
  1362.09        2500.00        98.7899                 NaN  0.285068       0.107854       0.460287                 NaN            NaN  0.356862                 NaN            NaN            NaN            NaN
  1360.56        2500.00        98.8030                 NaN  0.283848       0.456673       0.103812                 NaN            NaN  0.352667                 NaN            NaN            NaN            NaN
  1359.02        2500.00        98.8143                 NaN  0.282618       0.453743       0.100495                 NaN            NaN  0.348888                 NaN            NaN            NaN            NaN
  1357.49        2500.00        98.8242                 NaN  0.281476       0.452038       0.967495E-001            NaN            NaN  0.345522                 NaN            NaN            NaN            NaN
  1355.95        2500.00        98.8386                 NaN  0.279675       0.446863       0.939481E-001            NaN            NaN  0.340907                 NaN            NaN            NaN            NaN
  1354.42        2500.00        98.8504                 NaN  0.278744       0.444150       0.894598E-001            NaN            NaN  0.337221                 NaN            NaN            NaN            NaN
  1352.89        2500.00        98.8610                 NaN  0.276551       0.440730       0.881590E-001            NaN            NaN  0.333541                 NaN            NaN            NaN            NaN
  1351.35        2500.00        98.8719                 NaN  0.274989       0.438142       0.850082E-001            NaN            NaN  0.329932                 NaN            NaN            NaN            NaN
  1349.82        2500.00        98.8828                 NaN  0.273707       0.435423       0.816125E-001            NaN            NaN  0.326449                 NaN            NaN            NaN            NaN
  1348.28        2500.00        98.8939                 NaN  0.271380       0.431738       0.802197E-001            NaN            NaN  0.322716                 NaN            NaN            NaN            NaN
  1346.75        2500.00        98.9038                 NaN  0.269525       0.786653E-001  0.428762                 NaN            NaN  0.319220                 NaN            NaN            NaN            NaN
  1345.21        2500.00        98.9129                 NaN  0.268112       0.756600E-001  0.427118                 NaN            NaN  0.316239                 NaN            NaN            NaN            NaN
  1343.68        2500.00        98.9239                 NaN  0.265309       0.422851       0.755587E-001            NaN            NaN  0.312390                 NaN            NaN            NaN            NaN
  1342.15        2500.00        98.9342                 NaN  0.264180       0.420318       0.718851E-001            NaN            NaN  0.309454                 NaN            NaN            NaN            NaN
  1340.61        2500.00        98.9447                 NaN  0.259804       0.416746       0.736809E-001            NaN            NaN  0.305058                 NaN            NaN            NaN            NaN
  1339.08        2500.00        98.9502                 NaN  0.262502       0.702417E-001  0.412126                 NaN            NaN  0.304904                 NaN            NaN            NaN            NaN
  1337.54        2500.00        98.9610                 NaN  0.254840       0.713248E-001  0.414376                 NaN            NaN  0.298457                 NaN            NaN            NaN            NaN
  1336.01        2500.00        98.9748                 NaN  0.250823       0.738816E-001  0.406238                 NaN            NaN  0.294277                 NaN            NaN            NaN            NaN
  1334.47        2500.00        98.9787                 NaN  0.251016       0.405734       0.713030E-001            NaN            NaN  0.293260                 NaN            NaN            NaN            NaN
  1332.94        2500.00        98.9886                 NaN  0.247769       0.402450       0.714163E-001            NaN            NaN  0.289799                 NaN            NaN            NaN            NaN
  1331.41        2500.00        98.9966                 NaN  0.245344       0.399535       0.715411E-001            NaN            NaN  0.286994                 NaN            NaN            NaN            NaN
  1329.87        2500.00        99.0050                 NaN  0.253670       0.404303       0.509238E-001            NaN            NaN  0.286126                 NaN            NaN            NaN            NaN
  1328.34        2500.00        99.0132                 NaN  0.227763       0.384604       0.955904E-001            NaN            NaN  0.278845                 NaN            NaN            NaN            NaN
  1326.80        2500.00        99.0207                 NaN  0.236162       0.390496       0.744016E-001            NaN            NaN  0.278213                 NaN            NaN            NaN            NaN
  1325.27        2500.00        99.0288                 NaN  0.232694       0.756641E-001  0.387517                 NaN            NaN  0.275282                 NaN            NaN            NaN            NaN
  1323.73        2500.00        99.0366                 NaN  0.229454       0.774561E-001  0.384004                 NaN            NaN  0.272468                 NaN            NaN            NaN            NaN
  1322.20        2500.00        99.0430                 NaN  0.234038       0.653349E-001  0.385610                 NaN            NaN  0.272025                 NaN            NaN            NaN            NaN
  1320.67        2500.00        99.0567                 NaN  0.215570       0.370949       0.925010E-001            NaN            NaN  0.264287                 NaN            NaN            NaN            NaN
  1319.13        2500.00        99.0588                 NaN  0.219147       0.374604       0.831315E-001            NaN            NaN  0.264315                 NaN            NaN            NaN            NaN
  1317.60        2500.00        99.0659                 NaN  0.215557       0.371562       0.853106E-001            NaN            NaN  0.261681                 NaN            NaN            NaN            NaN
  1316.06        2500.00        99.0724                 NaN  0.212070       0.882265E-001  0.368008                 NaN            NaN  0.259281                 NaN            NaN            NaN            NaN
  1314.53        2500.00        99.0807                 NaN  0.208107       0.363720       0.910849E-001            NaN            NaN  0.256414                 NaN            NaN            NaN            NaN
  1312.99        2500.00        99.0864                 NaN  0.203990       0.361275       0.943980E-001            NaN            NaN  0.253982                 NaN            NaN            NaN            NaN
  1311.46        2500.00        99.0929                 NaN  0.200431       0.973739E-001  0.357654                 NaN            NaN  0.251661                 NaN            NaN            NaN            NaN
  1309.93        2500.00        99.0986                 NaN  0.196426       0.355236       0.100464                 NaN            NaN  0.249315                 NaN            NaN            NaN            NaN
  1308.39        2500.00        99.1051                 NaN  0.191876       0.105419       0.350816                 NaN            NaN  0.246767                 NaN            NaN            NaN            NaN
  1306.86        2500.00        99.1115                 NaN  0.188314       0.108305       0.347292                 NaN            NaN  0.244541                 NaN            NaN            NaN            NaN
  1305.32        2500.00        99.1167                 NaN  0.183835       0.343355       0.113697                 NaN            NaN  0.242405                 NaN            NaN            NaN            NaN
  1303.79        2500.00        99.1231                 NaN  0.180628       0.340476       0.115655                 NaN            NaN  0.240106                 NaN            NaN            NaN            NaN
  1302.25        2500.00        99.1278                 NaN  0.174807       0.335884       0.123498                 NaN            NaN  0.237970                 NaN            NaN            NaN            NaN
  1300.72        2500.00        99.1333                 NaN  0.170445       0.331963       0.128475                 NaN            NaN  0.235853                 NaN            NaN            NaN            NaN
