|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1446.48        2500.00        97.5384                 NaN  0.257693       0.623706       0.740319                 NaN            NaN  0.839897                 NaN            NaN            NaN            NaN
  1444.94        2500.00        97.5886                 NaN  0.256713       0.727685       0.603320                 NaN            NaN  0.823690                 NaN            NaN            NaN            NaN
  1443.41        2500.00        97.6374                 NaN  0.255589       0.714939       0.584181                 NaN            NaN  0.807920                 NaN            NaN            NaN            NaN
  1441.87        2500.00        97.6879                 NaN  0.253412       0.701375       0.566274                 NaN            NaN  0.791026                 NaN            NaN            NaN            NaN
  1440.34        2500.00        97.7319                 NaN  0.252851       0.691257       0.547552                 NaN            NaN  0.776460                 NaN            NaN            NaN            NaN
  1438.81        2500.00        97.7813                 NaN  0.250591       0.678761       0.528801                 NaN            NaN  0.760538                 NaN            NaN            NaN            NaN
  1437.27        2500.00        97.8249                 NaN  0.249217       0.666863       0.512756                 NaN            NaN  0.746257                 NaN            NaN            NaN            NaN
  1435.74        2500.00        97.8656                 NaN  0.248389       0.655767       0.497217                 NaN            NaN  0.733002                 NaN            NaN            NaN            NaN
  1434.20        2500.00        97.9076                 NaN  0.246996       0.481575       0.644521                 NaN            NaN  0.719295                 NaN            NaN            NaN            NaN
  1432.67        2500.00        97.9307                 NaN  0.248628       0.468359       0.640048                 NaN            NaN  0.712244                 NaN            NaN            NaN            NaN
  1431.13        2500.00        97.9863                 NaN  0.244742       0.624237       0.450723                 NaN            NaN  0.693982                 NaN            NaN            NaN            NaN
  1429.60        2500.00        98.0279                 NaN  0.242227       0.613735       0.437051                 NaN            NaN  0.679129                 NaN            NaN            NaN            NaN
  1428.07        2500.00        98.0566                 NaN  0.243361       0.606515       0.423149                 NaN            NaN  0.670375                 NaN            NaN            NaN            NaN
  1426.53        2500.00        98.0942                 NaN  0.241368       0.596334       0.410300                 NaN            NaN  0.657777                 NaN            NaN            NaN            NaN
  1425.00        2500.00        98.1250                 NaN  0.241401       0.397440       0.588369                 NaN            NaN  0.647806                 NaN            NaN            NaN            NaN
  1423.46        2500.00        98.1577                 NaN  0.240569       0.580411       0.383928                 NaN            NaN  0.637375                 NaN            NaN            NaN            NaN
  1421.93        2500.00        98.1934                 NaN  0.238612       0.372386       0.570721                 NaN            NaN  0.624906                 NaN            NaN            NaN            NaN
  1420.39        2500.00        98.2214                 NaN  0.238520       0.359603       0.564493                 NaN            NaN  0.616009                 NaN            NaN            NaN            NaN
  1418.86        2500.00        98.2513                 NaN  0.237739       0.348303       0.556502                 NaN            NaN  0.606159                 NaN            NaN            NaN            NaN
  1417.33        2500.00        98.2807                 NaN  0.236955       0.337196       0.548809                 NaN            NaN  0.596298                 NaN            NaN            NaN            NaN
  1415.79        2500.00        98.3097                 NaN  0.236177       0.541168       0.326040                 NaN            NaN  0.586953                 NaN            NaN            NaN            NaN
  1414.26        2500.00        98.3360                 NaN  0.235656       0.316007       0.534148                 NaN            NaN  0.578163                 NaN            NaN            NaN            NaN
  1412.72        2500.00        98.3636                 NaN  0.234778       0.305011       0.527634                 NaN            NaN  0.568959                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.3889                 NaN  0.234310       0.295424       0.520877                 NaN            NaN  0.560528                 NaN            NaN            NaN            NaN
  1409.65        2500.00        98.4140                 NaN  0.233803       0.285061       0.514961                 NaN            NaN  0.552170                 NaN            NaN            NaN            NaN
  1408.12        2500.00        98.4412                 NaN  0.232053       0.276259       0.507650                 NaN            NaN  0.542828                 NaN            NaN            NaN            NaN
  1406.59        2500.00        98.4636                 NaN  0.232762       0.265400       0.502509                 NaN            NaN  0.535742                 NaN            NaN            NaN            NaN
  1405.05        2500.00        98.4856                 NaN  0.231850       0.497373       0.256895                 NaN            NaN  0.528282                 NaN            NaN            NaN            NaN
  1403.52        2500.00        98.5101                 NaN  0.231001       0.490647       0.248060                 NaN            NaN  0.520198                 NaN            NaN            NaN            NaN
  1401.98        2500.00        98.5308                 NaN  0.230647       0.239764       0.485636                 NaN            NaN  0.513175                 NaN            NaN            NaN            NaN
  1400.45        2500.00        98.5536                 NaN  0.229822       0.479665       0.231467                 NaN            NaN  0.505472                 NaN            NaN            NaN            NaN
  1398.91        2500.00        98.5742                 NaN  0.229298       0.474838       0.223065                 NaN            NaN  0.498584                 NaN            NaN            NaN            NaN
  1397.38        2500.00        98.5947                 NaN  0.228752       0.469663       0.215222                 NaN            NaN  0.491659                 NaN            NaN            NaN            NaN
  1395.85        2500.00        98.5420                 NaN  0.228698       0.481306       0.236622                 NaN            NaN  0.511375                 NaN            NaN            NaN            NaN
  1394.31        2500.00        98.7029                 NaN  0.227561       0.442319       0.172750                 NaN            NaN  0.454449                 NaN            NaN            NaN            NaN
  1392.78        2500.00        98.6543                 NaN  0.226753       0.192903       0.454474                 NaN            NaN  0.471544                 NaN            NaN            NaN            NaN
  1391.24        2500.00        98.6724                 NaN  0.226176       0.450477       0.185477                 NaN            NaN  0.465462                 NaN            NaN            NaN            NaN
  1389.71        2500.00        98.6913                 NaN  0.225507       0.445536       0.178693                 NaN            NaN  0.458951                 NaN            NaN            NaN            NaN
  1388.17        2500.00        98.7098                 NaN  0.224818       0.440865       0.171696                 NaN            NaN  0.452818                 NaN            NaN            NaN            NaN
  1386.64        2500.00        98.7268                 NaN  0.222369       0.168132       0.436058                 NaN            NaN  0.446609                 NaN            NaN            NaN            NaN
  1385.11        2500.00        98.7424                 NaN  0.225148       0.156724       0.433774                 NaN            NaN  0.441917                 NaN            NaN            NaN            NaN
  1383.57        2500.00        98.7601                 NaN  0.222810       0.153059       0.428466                 NaN            NaN  0.435536                 NaN            NaN            NaN            NaN
  1382.04        2500.00        98.7768                 NaN  0.221852       0.424646       0.146888                 NaN            NaN  0.429792                 NaN            NaN            NaN            NaN
  1380.50        2500.00        98.7929                 NaN  0.221072       0.141194       0.420530                 NaN            NaN  0.424308                 NaN            NaN            NaN            NaN
  1378.97        2500.00        98.8078                 NaN  0.220390       0.416966       0.135825                 NaN            NaN  0.418975                 NaN            NaN            NaN            NaN
  1377.43        2500.00        98.8235                 NaN  0.219396       0.412911       0.130700                 NaN            NaN  0.413539                 NaN            NaN            NaN            NaN
  1375.90        2500.00        98.8388                 NaN  0.218549       0.409110       0.125221                 NaN            NaN  0.408295                 NaN            NaN            NaN            NaN
  1374.37        2500.00        98.8527                 NaN  0.217751       0.120353       0.405750                 NaN            NaN  0.403428                 NaN            NaN            NaN            NaN
  1372.83        2500.00        98.8675                 NaN  0.216620       0.115596       0.402088                 NaN            NaN  0.398228                 NaN            NaN            NaN            NaN
  1371.30        2500.00        98.8813                 NaN  0.215801       0.398548       0.110964                 NaN            NaN  0.393399                 NaN            NaN            NaN            NaN
  1369.76        2500.00        98.8954                 NaN  0.214500       0.394939       0.106801                 NaN            NaN  0.388340                 NaN            NaN            NaN            NaN
  1368.23        2500.00        98.9083                 NaN  0.213674       0.391744       0.102495                 NaN            NaN  0.383793                 NaN            NaN            NaN            NaN
  1366.69        2500.00        98.9225                 NaN  0.212211       0.984795E-001  0.388106                 NaN            NaN  0.378714                 NaN            NaN            NaN            NaN
  1365.16        2500.00        98.9305                 NaN  0.216786       0.386858       0.882591E-001            NaN            NaN  0.377560                 NaN            NaN            NaN            NaN
  1363.63        2500.00        98.9532                 NaN  0.204432       0.378260       0.978167E-001            NaN            NaN  0.366288                 NaN            NaN            NaN            NaN
  1362.09        2500.00        98.9600                 NaN  0.208727       0.870966E-001  0.378844                 NaN            NaN  0.365328                 NaN            NaN            NaN            NaN
  1360.56        2500.00        98.9728                 NaN  0.207384       0.375389       0.837186E-001            NaN            NaN  0.360722                 NaN            NaN            NaN            NaN
  1359.02        2500.00        98.9840                 NaN  0.206029       0.372474       0.809310E-001            NaN            NaN  0.356547                 NaN            NaN            NaN            NaN
  1357.49        2500.00        98.9941                 NaN  0.204737       0.370558       0.777960E-001            NaN            NaN  0.352798                 NaN            NaN            NaN            NaN
  1355.95        2500.00        99.0079                 NaN  0.202996       0.365877       0.754405E-001            NaN            NaN  0.347778                 NaN            NaN            NaN            NaN
  1354.42        2500.00        99.0194                 NaN  0.201943       0.363196       0.717481E-001            NaN            NaN  0.343711                 NaN            NaN            NaN            NaN
  1352.89        2500.00        99.0300                 NaN  0.199895       0.359863       0.705952E-001            NaN            NaN  0.339658                 NaN            NaN            NaN            NaN
  1351.35        2500.00        99.0407                 NaN  0.198336       0.357294       0.679821E-001            NaN            NaN  0.335680                 NaN            NaN            NaN            NaN
  1349.82        2500.00        99.0513                 NaN  0.197028       0.354610       0.651763E-001            NaN            NaN  0.331837                 NaN            NaN            NaN            NaN
  1348.28        2500.00        99.0622                 NaN  0.194912       0.351138       0.639755E-001            NaN            NaN  0.327743                 NaN            NaN            NaN            NaN
  1346.75        2500.00        99.0721                 NaN  0.193149       0.626474E-001  0.348243                 NaN            NaN  0.323897                 NaN            NaN            NaN            NaN
  1345.21        2500.00        99.0811                 NaN  0.191734       0.601692E-001  0.346437                 NaN            NaN  0.320578                 NaN            NaN            NaN            NaN
  1343.68        2500.00        99.0918                 NaN  0.189333       0.342513       0.600054E-001            NaN            NaN  0.316383                 NaN            NaN            NaN            NaN
  1342.15        2500.00        99.1017                 NaN  0.188194       0.340018       0.570116E-001            NaN            NaN  0.313118                 NaN            NaN            NaN            NaN
  1340.61        2500.00        99.1120                 NaN  0.184652       0.336645       0.583499E-001            NaN            NaN  0.308383                 NaN            NaN            NaN            NaN
  1339.08        2500.00        99.1177                 NaN  0.186279       0.555336E-001  0.332506                 NaN            NaN  0.307939                 NaN            NaN            NaN            NaN
  1337.54        2500.00        99.1284                 NaN  0.180332       0.563164E-001  0.333815                 NaN            NaN  0.301145                 NaN            NaN            NaN            NaN
  1336.01        2500.00        99.1412                 NaN  0.177113       0.582639E-001  0.326807                 NaN            NaN  0.296646                 NaN            NaN            NaN            NaN
  1334.47        2500.00        99.1457                 NaN  0.176927       0.325918       0.561556E-001            NaN            NaN  0.295344                 NaN            NaN            NaN            NaN
  1332.94        2500.00        99.1551                 NaN  0.174258       0.322885       0.561695E-001            NaN            NaN  0.291581                 NaN            NaN            NaN            NaN
  1331.41        2500.00        99.1630                 NaN  0.172198       0.320111       0.561878E-001            NaN            NaN  0.288484                 NaN            NaN            NaN            NaN
  1329.87        2500.00        99.1716                 NaN  0.177636       0.323516       0.399470E-001            NaN            NaN  0.287335                 NaN            NaN            NaN            NaN
  1328.34        2500.00        99.1788                 NaN  0.159212       0.307315       0.748734E-001            NaN            NaN  0.279757                 NaN            NaN            NaN            NaN
  1326.80        2500.00        99.1866                 NaN  0.164728       0.311581       0.581945E-001            NaN            NaN  0.278856                 NaN            NaN            NaN            NaN
  1325.27        2500.00        99.1945                 NaN  0.161976       0.591036E-001  0.308790                 NaN            NaN  0.275653                 NaN            NaN            NaN            NaN
  1323.73        2500.00        99.2020                 NaN  0.159400       0.604213E-001  0.305570                 NaN            NaN  0.272573                 NaN            NaN            NaN            NaN
  1322.20        2500.00        99.2083                 NaN  0.162323       0.509174E-001  0.306560                 NaN            NaN  0.271867                 NaN            NaN            NaN            NaN
  1320.67        2500.00        99.2206                 NaN  0.149158       0.294366       0.719617E-001            NaN            NaN  0.263879                 NaN            NaN            NaN            NaN
  1319.13        2500.00        99.2236                 NaN  0.151328       0.296871       0.645894E-001            NaN            NaN  0.263654                 NaN            NaN            NaN            NaN
  1317.60        2500.00        99.2304                 NaN  0.148556       0.294064       0.661956E-001            NaN            NaN  0.260775                 NaN            NaN            NaN            NaN
  1316.06        2500.00        99.2368                 NaN  0.145880       0.683626E-001  0.290829                 NaN            NaN  0.258133                 NaN            NaN            NaN            NaN
  1314.53        2500.00        99.2445                 NaN  0.142870       0.287072       0.704902E-001            NaN            NaN  0.255032                 NaN            NaN            NaN            NaN
  1312.99        2500.00        99.2502                 NaN  0.139762       0.284744       0.729596E-001            NaN            NaN  0.252370                 NaN            NaN            NaN            NaN
  1311.46        2500.00        99.2564                 NaN  0.137053       0.751625E-001  0.281519                 NaN            NaN  0.249822                 NaN            NaN            NaN            NaN
  1309.93        2500.00        99.2620                 NaN  0.134055       0.279230       0.774470E-001            NaN            NaN  0.247254                 NaN            NaN            NaN            NaN
  1308.39        2500.00        99.2683                 NaN  0.130688       0.811607E-001  0.275372                 NaN            NaN  0.244491                 NaN            NaN            NaN            NaN
  1306.86        2500.00        99.2744                 NaN  0.128029       0.832820E-001  0.272258                 NaN            NaN  0.242051                 NaN            NaN            NaN            NaN
  1305.32        2500.00        99.2795                 NaN  0.124746       0.268778       0.873096E-001            NaN            NaN  0.239705                 NaN            NaN            NaN            NaN
  1303.79        2500.00        99.2856                 NaN  0.122318       0.266230       0.886982E-001            NaN            NaN  0.237203                 NaN            NaN            NaN            NaN
  1302.25        2500.00        99.2902                 NaN  0.118154       0.262210       0.946042E-001            NaN            NaN  0.234867                 NaN            NaN            NaN            NaN
