|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1393.16        500.000        98.7370       0.478829       0.239070                 NaN            NaN            NaN  0.373123       0.171995                 NaN            NaN            NaN
  1392.09        500.000        98.7488       0.297627       0.457334                 NaN            NaN            NaN  0.364036       0.132249                 NaN            NaN            NaN
  1391.02        500.000        98.7632       0.463709       0.256676                 NaN            NaN            NaN  0.362870       0.153531                 NaN            NaN            NaN
  1389.96        500.000        98.7778       0.249310       0.459794                 NaN            NaN            NaN  0.358828       0.154260                 NaN            NaN            NaN
  1388.89        500.000        98.7868       0.240945       0.459207                 NaN            NaN            NaN  0.356639       0.156450                 NaN            NaN            NaN
  1387.82        500.000        98.8073       0.453055       0.234541                 NaN            NaN            NaN  0.350299       0.154800                 NaN            NaN            NaN
  1386.75        500.000        98.8161       0.226759       0.452144                 NaN            NaN            NaN  0.348089       0.156903                 NaN            NaN            NaN
  1385.68        500.000        98.8293       0.219198       0.449819                 NaN            NaN            NaN  0.344223       0.157422                 NaN            NaN            NaN
  1384.61        500.000        98.8394       0.212266       0.447676                 NaN            NaN            NaN  0.341762       0.158920                 NaN            NaN            NaN
  1383.55        500.000        98.8573       0.442717       0.204538                 NaN            NaN            NaN  0.336392       0.159072                 NaN            NaN            NaN
  1382.48        500.000        98.8629       0.443943       0.197449                 NaN            NaN            NaN  0.334976       0.160778                 NaN            NaN            NaN
  1381.41        500.000        98.8806       0.193011       0.437515                 NaN            NaN            NaN  0.329537       0.159298                 NaN            NaN            NaN
  1380.34        500.000        98.8886       0.185399       0.437513                 NaN            NaN            NaN  0.327407       0.161034                 NaN            NaN            NaN
  1379.27        500.000        98.9015       0.433624       0.179122                 NaN            NaN            NaN  0.323882       0.161900                 NaN            NaN            NaN
  1378.20        500.000        98.9128       0.432193       0.171630                 NaN            NaN            NaN  0.320693       0.162707                 NaN            NaN            NaN
  1377.13        500.000        98.9231       0.165627       0.430569                 NaN            NaN            NaN  0.317707       0.162987                 NaN            NaN            NaN
  1376.07        500.000        98.9336       0.160142       0.428268                 NaN            NaN            NaN  0.314573       0.163426                 NaN            NaN            NaN
  1375.00        500.000        98.8550       0.466930       0.162287                 NaN            NaN            NaN  0.337957       0.177850                 NaN            NaN            NaN
  1373.93        500.000        99.0424       0.388012       0.135744                 NaN            NaN            NaN  0.282553       0.151259                 NaN            NaN            NaN
  1372.86        500.000        98.9646       0.143042       0.422039                 NaN            NaN            NaN  0.305598       0.164697                 NaN            NaN            NaN
  1371.79        500.000        98.9764       0.136921       0.419199                 NaN            NaN            NaN  0.302302       0.165171                 NaN            NaN            NaN
  1370.72        500.000        98.7321       0.165345       0.520044                 NaN            NaN            NaN  0.374853       0.207656                 NaN            NaN            NaN
  1369.66        500.000        99.2424       0.944549E-001  0.314739                 NaN            NaN            NaN  0.223315       0.125094                 NaN            NaN            NaN
  1368.59        500.000        99.0088       0.411420       0.122584                 NaN            NaN            NaN  0.292489       0.164708                 NaN            NaN            NaN
  1367.52        500.000        99.0141       0.412232       0.115721                 NaN            NaN            NaN  0.291298       0.166674                 NaN            NaN            NaN
  1366.45        500.000        99.0242       0.410484       0.109937                 NaN            NaN            NaN  0.288426       0.166996                 NaN            NaN            NaN
  1365.38        500.000        99.0328       0.409407       0.104362                 NaN            NaN            NaN  0.285956       0.167474                 NaN            NaN            NaN
  1364.31        500.000        99.0416       0.407958       0.100043                 NaN            NaN            NaN  0.283216       0.167209                 NaN            NaN            NaN
  1363.25        500.000        99.0507       0.405162       0.961586E-001            NaN            NaN            NaN  0.280660       0.167332                 NaN            NaN            NaN
  1362.18        500.000        99.0603       0.912499E-001  0.403659                 NaN            NaN            NaN  0.277591       0.167206                 NaN            NaN            NaN
  1361.11        500.000        99.0684       0.401866       0.868460E-001            NaN            NaN            NaN  0.275288       0.167561                 NaN            NaN            NaN
  1360.04        500.000        99.0722       0.403902       0.797318E-001            NaN            NaN            NaN  0.274756       0.169381                 NaN            NaN            NaN
  1358.97        500.000        99.0851       0.399062       0.799808E-001            NaN            NaN            NaN  0.269862       0.166042                 NaN            NaN            NaN
  1357.90        500.000        99.0964       0.760636E-001  0.395105                 NaN            NaN            NaN  0.266541       0.165920                 NaN            NaN            NaN
  1356.84        500.000        99.1014       0.696533E-001  0.396424                 NaN            NaN            NaN  0.265378       0.167192                 NaN            NaN            NaN
  1355.77        500.000        98.7643       0.496855       0.243437                 NaN            NaN            NaN  0.352072       0.143291                 NaN            NaN            NaN
  1354.70        500.000        99.4475       0.243593                 NaN            NaN            NaN            NaN  0.169060       0.139824                 NaN            NaN            NaN
  1353.63        500.000        99.1346       0.412700                 NaN            NaN            NaN            NaN  0.259086       0.193657                 NaN            NaN            NaN
  1352.56        500.000        99.1417       0.414957                 NaN            NaN            NaN            NaN  0.255909       0.187412                 NaN            NaN            NaN
  1351.49        500.000        99.1406       0.371700E-001  0.395518                 NaN            NaN            NaN  0.254305       0.172416                 NaN            NaN            NaN
  1350.43        500.000        99.1495       0.386536       0.487099E-001            NaN            NaN            NaN  0.250479       0.164789                 NaN            NaN            NaN
  1349.36        500.000        99.1543       0.386218       0.455487E-001            NaN            NaN            NaN  0.249083       0.164848                 NaN            NaN            NaN
  1348.29        500.000        99.1445       0.484545E-001  0.392744                 NaN            NaN            NaN  0.252152       0.162127                 NaN            NaN            NaN
  1347.22        500.000        99.1822       0.319684E-001  0.378406                 NaN            NaN            NaN  0.240924       0.166460                 NaN            NaN            NaN
  1346.15        500.000        99.1835       0.324350E-001  0.379968                 NaN            NaN            NaN  0.240170       0.163967                 NaN            NaN            NaN
  1345.08        500.000        99.1837       0.380026       0.341917E-001            NaN            NaN            NaN  0.239871       0.162222                 NaN            NaN            NaN
  1344.02        500.000        99.1882       0.377504       0.331763E-001            NaN            NaN            NaN  0.238770       0.162324                 NaN            NaN            NaN
  1342.95        500.000        99.1997       0.377103       0.271354E-001            NaN            NaN            NaN  0.234764       0.161288                 NaN            NaN            NaN
  1341.88        500.000        99.2033       0.376937       0.253386E-001            NaN            NaN            NaN  0.233772       0.160670                 NaN            NaN            NaN
  1340.81        500.000        99.2100       0.238801E-001  0.374991                 NaN            NaN            NaN  0.231569       0.159604                 NaN            NaN            NaN
  1339.74        500.000        99.2153       0.240573E-001  0.373071                 NaN            NaN            NaN  0.229684       0.157881                 NaN            NaN            NaN
  1338.67        500.000        99.2229       0.189620E-001  0.372565                 NaN            NaN            NaN  0.227462       0.158158                 NaN            NaN            NaN
  1337.61        500.000        99.2288       0.372043       0.167822E-001            NaN            NaN            NaN  0.225536       0.156834                 NaN            NaN            NaN
  1336.54        500.000        99.2351       0.158315E-001  0.369858                 NaN            NaN            NaN  0.223447       0.155801                 NaN            NaN            NaN
  1335.47        500.000        99.2408       0.368078       0.142777E-001            NaN            NaN            NaN  0.221696       0.155108                 NaN            NaN            NaN
  1334.40        500.000        99.2470       0.370463       0.636420E-002            NaN            NaN            NaN  0.219993       0.156150                 NaN            NaN            NaN
  1333.33        500.000        99.2540       0.155499E-001  0.362936                 NaN            NaN            NaN  0.216895       0.150570                 NaN            NaN            NaN
  1332.26        500.000        99.1911       0.397912       0.629225E-002            NaN            NaN            NaN  0.236188       0.168548                 NaN            NaN            NaN
  1331.19        500.000        99.3331       0.138415E-001  0.326454                 NaN            NaN            NaN  0.193119       0.133465                 NaN            NaN            NaN
  1330.13        500.000        99.2696       0.362331       0.728319E-002            NaN            NaN            NaN  0.212004       0.148741                 NaN            NaN            NaN
  1329.06        500.000        99.2763       0.361647       0.299953E-002            NaN            NaN            NaN  0.210184       0.148878                 NaN            NaN            NaN
  1327.99        500.000        99.2801       0.359713       0.638821E-002            NaN            NaN            NaN  0.208400       0.145422                 NaN            NaN            NaN
  1326.92        500.000        99.2875       0.441306E-002  0.357787                 NaN            NaN            NaN  0.205986       0.144324                 NaN            NaN            NaN
  1325.85        500.000        99.2918       0.356783       0.355049E-002            NaN            NaN            NaN  0.204643       0.143211                 NaN            NaN            NaN
  1324.78        500.000        99.2962       0.355341       0.404593E-002            NaN            NaN            NaN  0.203044       0.141419                 NaN            NaN            NaN
  1323.72        500.000        99.1079       0.829331E-001  0.401807                 NaN            NaN            NaN  0.255217       0.152153                 NaN            NaN            NaN
  1322.65        500.000        99.4962       0.258874                 NaN            NaN            NaN            NaN  0.144223       0.100743                 NaN            NaN            NaN
  1321.58        500.000        99.3114       0.353174                 NaN            NaN            NaN            NaN  0.197850       0.137554                 NaN            NaN            NaN
  1320.51        500.000        99.3132       0.292092E-001  0.335472                 NaN            NaN            NaN  0.196230       0.125913                 NaN            NaN            NaN
  1319.44        500.000        99.3238       0.348284                 NaN            NaN            NaN            NaN  0.193691       0.134251                 NaN            NaN            NaN
  1318.37        500.000        99.3267       0.347824                 NaN            NaN            NaN            NaN  0.192624       0.132853                 NaN            NaN            NaN
  1317.31        500.000        99.3279       0.330641       0.298559E-001            NaN            NaN            NaN  0.191010       0.120548                 NaN            NaN            NaN
  1316.24        500.000        99.3360       0.346318                 NaN            NaN            NaN            NaN  0.189299       0.128344                 NaN            NaN            NaN
  1315.17        500.000        99.3408       0.345211                 NaN            NaN            NaN            NaN  0.187654       0.126331                 NaN            NaN            NaN
  1314.10        500.000        99.3435       0.344420       0.562684E-003            NaN            NaN            NaN  0.186690       0.124799                 NaN            NaN            NaN
  1313.03        500.000        99.3505       0.342549                 NaN            NaN            NaN            NaN  0.184203       0.122780                 NaN            NaN            NaN
  1311.96        500.000        99.3497       0.324101       0.318235E-001            NaN            NaN            NaN  0.183277       0.111064                 NaN            NaN            NaN
  1310.90        500.000        99.3512       0.334251                 NaN            NaN            NaN            NaN  0.184700       0.129856                 NaN            NaN            NaN
  1309.83        500.000        99.3690       0.347366                 NaN            NaN            NaN            NaN  0.176933       0.106741                 NaN            NaN            NaN
  1308.76        500.000        99.3662       0.339977                 NaN            NaN            NaN            NaN  0.178661       0.115128                 NaN            NaN            NaN
  1307.69        500.000        99.3710       0.337018                 NaN            NaN            NaN            NaN  0.177119       0.114845                 NaN            NaN            NaN
  1306.62        500.000        99.3747       0.337168                 NaN            NaN            NaN            NaN  0.175779       0.112391                 NaN            NaN            NaN
  1305.55        500.000        99.3805       0.332197                 NaN            NaN            NaN            NaN  0.174116       0.113230                 NaN            NaN            NaN
  1304.49        500.000        99.3835       0.334020                 NaN            NaN            NaN            NaN  0.172754       0.109714                 NaN            NaN            NaN
  1303.42        500.000        99.3866       0.334679                 NaN            NaN            NaN            NaN  0.171537       0.107203                 NaN            NaN            NaN
  1302.35        500.000        99.3898       0.336584                 NaN            NaN            NaN            NaN  0.170285       0.103315                 NaN            NaN            NaN
  1301.28        500.000        99.3949       0.337294                 NaN            NaN            NaN            NaN  0.168302       0.995314E-001            NaN            NaN            NaN
  1300.21        500.000        99.3965       0.333202                 NaN            NaN            NaN            NaN  0.168036       0.102287                 NaN            NaN            NaN
  1299.14        500.000        99.3997       0.131107E-001  0.327621                 NaN            NaN            NaN  0.166379       0.931969E-001            NaN            NaN            NaN
  1298.08        500.000        99.4024       0.182481E-001  0.325118                 NaN            NaN            NaN  0.165055       0.891751E-001            NaN            NaN            NaN
  1297.01        500.000        99.4055       0.323394       0.204217E-001            NaN            NaN            NaN  0.163951       0.867138E-001            NaN            NaN            NaN
  1295.94        500.000        99.4082       0.209587E-001  0.324007                 NaN            NaN            NaN  0.162836       0.839841E-001            NaN            NaN            NaN
  1294.87        500.000        99.4119       0.322076       0.230420E-001            NaN            NaN            NaN  0.161526       0.814090E-001            NaN            NaN            NaN
  1293.80        500.000        99.4147       0.235217E-001  0.322532                 NaN            NaN            NaN  0.160480       0.788096E-001            NaN            NaN            NaN
  1292.73        500.000        99.4174       0.297999E-001  0.317981                 NaN            NaN            NaN  0.159400       0.754515E-001            NaN            NaN            NaN
  1291.67        500.000        99.4203       0.321885       0.265129E-001            NaN            NaN            NaN  0.158299       0.729915E-001            NaN            NaN            NaN
  1290.60        500.000        99.4217       0.199353E-001  0.328626                 NaN            NaN            NaN  0.157896       0.718559E-001            NaN            NaN            NaN
  1289.53        500.000        99.4265       0.204375E-001  0.330865                 NaN            NaN            NaN  0.155733       0.665036E-001            NaN            NaN            NaN
  1288.46        500.000        99.4284       0.336896       0.139111E-001            NaN            NaN            NaN  0.155287       0.655061E-001            NaN            NaN            NaN
  1287.39        500.000        99.4230       0.147677       0.231405                 NaN            NaN            NaN  0.155357       0.425637E-001            NaN            NaN            NaN
  1286.32        500.000        99.4181       0.183309       0.212572                 NaN            NaN            NaN  0.155939       0.300751E-001            NaN            NaN            NaN
  1285.26        500.000        99.4434       0.343508                 NaN            NaN            NaN            NaN  0.150300       0.627624E-001            NaN            NaN            NaN
  1284.19        500.000        99.4344       0.967896E-001  0.275854                 NaN            NaN            NaN  0.152072       0.409051E-001            NaN            NaN            NaN
  1283.12        500.000        99.4463       0.339074                 NaN            NaN            NaN            NaN  0.149722       0.648569E-001            NaN            NaN            NaN
  1282.05        500.000        99.4455       0.351065                 NaN            NaN            NaN            NaN  0.149191       0.542049E-001            NaN            NaN            NaN
  1280.98        500.000        99.4448       0.363306                 NaN            NaN            NaN            NaN  0.148792       0.430568E-001            NaN            NaN            NaN
  1279.91        500.000        99.4536       0.343459                 NaN            NaN            NaN            NaN  0.146936       0.559747E-001            NaN            NaN            NaN
  1278.84        500.000        99.4458       0.380094                 NaN            NaN            NaN            NaN  0.147704       0.264260E-001            NaN            NaN            NaN
  1277.78        500.000        96.5057        1.23969                 NaN            NaN            NaN            NaN  0.470286       0.509034E-002   1.76147       0.177989E-001            NaN
  1276.71        500.000        92.0714        2.37483                 NaN            NaN            NaN            NaN  0.980694       0.285944E-001   4.29925       0.245272                 NaN
  1275.64        500.000        92.6657        2.18955                 NaN            NaN            NaN            NaN  0.910281       0.424497E-001   3.96557       0.226412                 NaN
  1274.57        500.000        93.1923        2.02882                 NaN            NaN            NaN            NaN  0.847814       0.507052E-001   3.67081       0.209553                 NaN
  1273.50        500.000        93.6469        1.89046                 NaN            NaN            NaN            NaN  0.793259       0.572389E-001   3.41686       0.195260                 NaN
  1272.43        500.000        94.0363        1.80022                 NaN            NaN            NaN            NaN  0.747024       0.400201E-001   3.19536       0.181063                 NaN
  1271.37        500.000        94.3945        1.68588                 NaN            NaN            NaN            NaN  0.703771       0.497574E-001   2.99616       0.169972                 NaN
  1270.30        500.000        94.7086        1.59836                 NaN            NaN            NaN            NaN  0.666116       0.465294E-001   2.82095       0.159469                 NaN
  1269.23        500.000        94.9937        1.52767                 NaN            NaN            NaN            NaN  0.631920       0.358481E-001   2.66138       0.149441                 NaN
  1268.16        500.000        95.2375        1.43103                 NaN            NaN            NaN            NaN  0.601908       0.581643E-001   2.52851       0.142872                 NaN
  1267.09        500.000        95.4595        1.37658                 NaN            NaN            NaN            NaN  0.575202       0.489017E-001   2.40485       0.135001                 NaN
  1266.02        500.000        95.6963        1.32205                 NaN            NaN            NaN            NaN  0.545981       0.372900E-001   2.27195       0.126459                 NaN
  1264.96        500.000        95.8760        1.26954                 NaN            NaN            NaN            NaN  0.524297       0.359029E-001   2.17377       0.120538                 NaN
  1263.89        500.000        96.0481        1.22223                 NaN            NaN            NaN            NaN  0.502992       0.332158E-001   2.07876       0.114654                 NaN
  1262.82        500.000        96.2111        1.17393                 NaN            NaN            NaN            NaN  0.482870       0.330060E-001   1.98979       0.109292                 NaN
  1261.75        500.000        96.3605        1.13420                 NaN            NaN            NaN            NaN  0.464369       0.286693E-001   1.90813       0.104144                 NaN
  1260.68        500.000        96.4993        1.08917                 NaN            NaN            NaN            NaN  0.446919       0.322517E-001   1.83261       0.997061E-001            NaN
  1259.61        500.000        96.6248        1.05208                 NaN            NaN            NaN            NaN  0.431076       0.319920E-001   1.76447       0.955325E-001            NaN
  1258.55        500.000        96.7459        1.02244                 NaN            NaN            NaN            NaN  0.415878       0.260776E-001   1.69852       0.911646E-001            NaN
  1257.48        500.000        96.8594       0.992605                 NaN            NaN            NaN            NaN  0.401516       0.222537E-001   1.63702       0.871974E-001            NaN
  1256.41        500.000        96.9606       0.959110                 NaN            NaN            NaN            NaN  0.388537       0.253840E-001   1.58246       0.839259E-001            NaN
  1255.34        500.000        97.0589       0.930170                 NaN            NaN            NaN            NaN  0.375911       0.246529E-001   1.52973       0.805930E-001            NaN
  1254.27        500.000        97.1506       0.904355                 NaN            NaN            NaN            NaN  0.364051       0.231798E-001   1.48040       0.774082E-001            NaN
  1253.20        500.000        97.2374       0.876305                 NaN            NaN            NaN            NaN  0.352788       0.248890E-001   1.43406       0.745659E-001            NaN
  1252.14        500.000        97.3199       0.853936                 NaN            NaN            NaN            NaN  0.342100       0.224131E-001   1.39003       0.716255E-001            NaN
  1251.07        500.000        97.3973       0.831433                 NaN            NaN            NaN            NaN  0.331965       0.201353E-001   1.35009       0.690443E-001            NaN
  1250.00        500.000        97.4711       0.814550                 NaN            NaN            NaN            NaN  0.322272       0.183683E-001   1.30768       0.660415E-001            NaN
  1248.93        500.000        97.5433       0.794787                 NaN            NaN            NaN            NaN  0.312795       0.148415E-001   1.27070       0.636036E-001            NaN
  1247.86        500.000        97.6089       0.774588                 NaN            NaN            NaN            NaN  0.304059       0.146767E-001   1.23645       0.613512E-001            NaN
  1246.79        500.000        97.6734       0.756761                 NaN            NaN            NaN            NaN  0.295779       0.132161E-001   1.20189       0.589590E-001            NaN
  1245.73        500.000        97.7330       0.740387                 NaN            NaN            NaN            NaN  0.287326       0.116314E-001   1.17072       0.569567E-001            NaN
  1244.66        500.000        97.7915       0.726933                 NaN            NaN            NaN            NaN  0.279778       0.746375E-002   1.13970       0.546551E-001            NaN
  1243.59        500.000        97.8480       0.712637                 NaN            NaN            NaN            NaN  0.272227       0.478987E-002   1.10977       0.525631E-001            NaN
  1242.52        500.000        97.8997       0.697679                 NaN            NaN            NaN            NaN  0.265130       0.405402E-002   1.08270       0.507137E-001            NaN
  1241.45        500.000        97.9507       0.682362                 NaN            NaN            NaN            NaN  0.258243       0.371794E-002   1.05605       0.489180E-001            NaN
  1240.38        500.000        97.9982       0.670750                 NaN            NaN            NaN            NaN  0.251712       0.121345E-002   1.03101       0.471344E-001            NaN
  1239.32        500.000        98.0494       0.655465                 NaN            NaN            NaN            NaN  0.245234                 NaN   1.00471       0.452285E-001            NaN
  1238.25        500.000        98.0886       0.644828                 NaN            NaN            NaN            NaN  0.239825                 NaN  0.983135       0.435751E-001            NaN
  1237.18        500.000        98.1359       0.613406                 NaN            NaN            NaN            NaN  0.234571       0.139809E-001  0.959997       0.421186E-001            NaN
  1236.11        500.000        98.1811       0.614689                 NaN            NaN            NaN            NaN  0.227351                 NaN  0.936394       0.404744E-001            NaN
  1235.04        500.000        98.2254       0.598941                 NaN            NaN            NaN            NaN  0.221053                 NaN  0.915291       0.393194E-001            NaN
  1233.97        500.000        98.2595       0.590436                 NaN            NaN            NaN            NaN  0.216620       0.309998E-005  0.895723       0.377030E-001            NaN
  1232.90        500.000        98.3027       0.575278                 NaN            NaN            NaN            NaN  0.210675                 NaN  0.874970       0.364223E-001            NaN
  1231.84        500.000        98.3382       0.564160                 NaN            NaN            NaN            NaN  0.205901       0.300171E-004  0.856527       0.351469E-001            NaN
  1230.77        500.000        98.3759       0.551824                 NaN            NaN            NaN            NaN  0.200983                 NaN  0.837578       0.337558E-001            NaN
  1229.70        500.000        98.4113       0.540278                 NaN            NaN            NaN            NaN  0.195787       0.206593E-005  0.819877       0.327152E-001            NaN
  1228.63        500.000        98.4432       0.530193                 NaN            NaN            NaN            NaN  0.191228       0.885241E-005  0.803772       0.316203E-001            NaN
  1227.56        500.000        98.4830       0.515630                 NaN            NaN            NaN            NaN  0.185578       0.490563E-005  0.785057       0.306873E-001            NaN
  1226.49        500.000        98.5115       0.507133                 NaN            NaN            NaN            NaN  0.182585       0.501836E-003  0.769207       0.291165E-001            NaN
  1225.43        500.000        98.5445       0.495846                 NaN            NaN            NaN            NaN  0.177311                 NaN  0.753879       0.284654E-001            NaN
  1224.36        500.000        98.5797       0.483328                 NaN            NaN            NaN            NaN  0.174284                 NaN  0.735942       0.267443E-001            NaN
  1223.29        500.000        98.6053       0.475714                 NaN            NaN            NaN            NaN  0.168160                 NaN  0.723966       0.268358E-001            NaN
  1222.22        500.000        98.6344       0.466104                 NaN            NaN            NaN            NaN  0.166370                 NaN  0.708212       0.249429E-001            NaN
  1221.15        500.000        98.6651       0.454732                 NaN            NaN            NaN            NaN  0.159537                 NaN  0.695455       0.252188E-001            NaN
  1220.08        500.000        98.6942       0.444270                 NaN            NaN            NaN            NaN  0.155560                 NaN  0.681584       0.243490E-001            NaN
  1219.02        500.000        99.0088       0.114184       0.184435                 NaN            NaN            NaN  0.118904                 NaN  0.552957       0.207081E-001            NaN
  1217.95        500.000        98.4487       0.569469                 NaN            NaN            NaN            NaN  0.183208                 NaN  0.773418       0.252384E-001            NaN
  1216.88        500.000        98.7829       0.136751       0.264364                 NaN            NaN            NaN  0.142481                 NaN  0.650103       0.233530E-001            NaN
  1215.81        500.000        82.9251        2.76267                 NaN            NaN            NaN            NaN   1.43164                 NaN   6.29598       0.126362        6.45827     
  1214.74        500.000        81.7231        2.97861                 NaN            NaN            NaN            NaN   1.54705                 NaN   6.68171       0.122502        6.94701     
  1213.67        500.000        79.9847        2.18702                 NaN            NaN            NaN            NaN   1.72643       0.685374        7.39295       0.143046        7.88051     
  1212.61        500.000        87.4203       0.421758        1.71983                 NaN            NaN            NaN  0.996775                 NaN   4.63593       0.107264        4.69813     
  1211.54        500.000        86.6143        2.19639                 NaN            NaN            NaN            NaN   1.08730                 NaN   4.91646       0.102736        5.08281     
  1210.47        500.000        56.8074        6.24456                 NaN            NaN            NaN            NaN   3.58577       0.581648        15.8657       0.306336        16.6086     
  1209.40        500.000        99.9943                 NaN            NaN            NaN            NaN            NaN            NaN  0.124581E-004            NaN  0.130304E-003  0.555835E-002
  1208.33        500.000        99.9201                 NaN            NaN            NaN            NaN            NaN  0.800770E-002  0.100906E-001  0.319507E-001  0.447299E-003  0.294469E-001
  1207.26        500.000        99.4174       0.883576E-001  0.542207E-002            NaN            NaN            NaN  0.477505E-001            NaN  0.215055       0.409219E-002  0.221966     
  1206.20        500.000       100.0000       0.257995E-005            NaN            NaN            NaN            NaN  0.123406E-005            NaN  0.565328E-005            NaN  0.583697E-005
  1205.13        500.000        86.6315        2.14073                 NaN            NaN            NaN            NaN   1.12782                 NaN   4.91451       0.789613E-001   5.10644     
  1204.06        500.000        90.7370        1.47212                 NaN            NaN            NaN            NaN  0.759561                 NaN   3.41551       0.611677E-001   3.55468     
  1202.99        500.000        92.3221       0.420125       0.766083                 NaN            NaN            NaN  0.634066                 NaN   2.86362       0.500370E-001   2.94401     
  1201.92        500.000        91.5532        1.36055                 NaN            NaN            NaN            NaN  0.713948                 NaN   3.10713       0.452355E-001   3.21990     
  1200.85        500.000        90.9138        1.36297                 NaN            NaN            NaN            NaN  0.730931                 NaN   3.38964       0.623664E-001   3.54025     
  1199.79        500.000        93.5915        1.04327                 NaN            NaN            NaN            NaN  0.539600                 NaN   2.38165       0.339667E-001   2.40999     
  1198.72        500.000        84.0451       0.923199        1.38088                 NaN            NaN            NaN   1.30185                 NaN   5.91871       0.929612E-001   6.33734     
  1197.65        500.000        63.8086        3.45177        1.42922                 NaN            NaN            NaN   2.85377                 NaN   13.7979       0.224061        14.4347     
