|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/TIS/TIS_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1282.05        500.000        99.5615       0.260842                 NaN            NaN            NaN            NaN  0.142911       0.347812E-001            NaN            NaN            NaN
  1280.98        500.000        99.5607       0.269273                 NaN            NaN            NaN            NaN  0.142429       0.275911E-001            NaN            NaN            NaN
  1279.91        500.000        99.5688       0.254798                 NaN            NaN            NaN            NaN  0.140553       0.358223E-001            NaN            NaN            NaN
  1278.84        500.000        99.5613       0.280627                 NaN            NaN            NaN            NaN  0.141192       0.168889E-001            NaN            NaN            NaN
  1277.78        500.000        96.8056       0.915780                 NaN            NaN            NaN            NaN  0.450286       0.325374E-002   1.81511       0.994367E-002            NaN
  1276.71        500.000        92.6982        1.76106                 NaN            NaN            NaN            NaN  0.941766       0.182842E-001   4.44327       0.137429                 NaN
  1275.64        500.000        93.2595        1.62015                 NaN            NaN            NaN            NaN  0.873104       0.270505E-001   4.09351       0.126708                 NaN
  1274.57        500.000        93.7559        1.49792                 NaN            NaN            NaN            NaN  0.812206       0.322049E-001   3.78465       0.117130                 NaN
  1273.50        500.000        94.1845        1.39271                 NaN            NaN            NaN            NaN  0.759025       0.362340E-001   3.51857       0.109008                 NaN
  1272.43        500.000        94.5504        1.32289                 NaN            NaN            NaN            NaN  0.713935       0.252575E-001   3.28654       0.100960                 NaN
  1271.37        500.000        94.8880        1.23632                 NaN            NaN            NaN            NaN  0.671788       0.313118E-001   3.07794       0.946604E-001            NaN
  1270.30        500.000        95.1831        1.16948                 NaN            NaN            NaN            NaN  0.635077       0.292000E-001   2.89443       0.887027E-001            NaN
  1269.23        500.000        95.4504        1.11502                 NaN            NaN            NaN            NaN  0.601748       0.224373E-001   2.72740       0.830230E-001            NaN
  1268.16        500.000        95.6808        1.04303                 NaN            NaN            NaN            NaN  0.572478       0.363102E-001   2.58809       0.792770E-001            NaN
  1267.09        500.000        95.8890        1.00086                 NaN            NaN            NaN            NaN  0.546408       0.304472E-001   2.45850       0.748168E-001            NaN
  1266.02        500.000        96.1102       0.958906                 NaN            NaN            NaN            NaN  0.518005       0.231541E-001   2.31974       0.699945E-001            NaN
  1264.96        500.000        96.2786       0.918898                 NaN            NaN            NaN            NaN  0.496830       0.222429E-001   2.21680       0.666356E-001            NaN
  1263.89        500.000        96.4400       0.882798                 NaN            NaN            NaN            NaN  0.476061       0.205262E-001   2.11731       0.633050E-001            NaN
  1262.82        500.000        96.5925       0.846212                 NaN            NaN            NaN            NaN  0.456455       0.203485E-001   2.02420       0.602695E-001            NaN
  1261.75        500.000        96.7320       0.815796                 NaN            NaN            NaN            NaN  0.438429       0.176331E-001   1.93874       0.573591E-001            NaN
  1260.68        500.000        96.8621       0.782071                 NaN            NaN            NaN            NaN  0.421436       0.197914E-001   1.85971       0.548468E-001            NaN
  1259.61        500.000        96.9796       0.753964                 NaN            NaN            NaN            NaN  0.405996       0.195883E-001   1.78835       0.524857E-001            NaN
  1258.55        500.000        97.0923       0.731135                 NaN            NaN            NaN            NaN  0.391200       0.159334E-001   1.71938       0.500235E-001            NaN
  1257.48        500.000        97.1980       0.708333                 NaN            NaN            NaN            NaN  0.377226       0.135686E-001   1.65508       0.477871E-001            NaN
  1256.41        500.000        97.2928       0.683256                 NaN            NaN            NaN            NaN  0.364585       0.154429E-001   1.59794       0.459372E-001            NaN
  1255.34        500.000        97.3845       0.661412                 NaN            NaN            NaN            NaN  0.352302       0.149670E-001   1.54279       0.440580E-001            NaN
  1254.27        500.000        97.4699       0.641829                 NaN            NaN            NaN            NaN  0.340767       0.140444E-001   1.49119       0.422642E-001            NaN
  1253.20        500.000        97.5509       0.620874                 NaN            NaN            NaN            NaN  0.329817       0.150483E-001   1.44273       0.406616E-001            NaN
  1252.14        500.000        97.6275       0.603862                 NaN            NaN            NaN            NaN  0.319430       0.135256E-001   1.39670       0.390094E-001            NaN
  1251.07        500.000        97.6990       0.586796                 NaN            NaN            NaN            NaN  0.309587       0.121263E-001   1.35488       0.375568E-001            NaN
  1250.00        500.000        97.7684       0.573842                 NaN            NaN            NaN            NaN  0.300179       0.110406E-001   1.31071       0.358790E-001            NaN
  1248.93        500.000        97.8347       0.558836                 NaN            NaN            NaN            NaN  0.290994       0.890488E-002   1.27207       0.345116E-001            NaN
  1247.86        500.000        97.8955       0.543678                 NaN            NaN            NaN            NaN  0.282521       0.878915E-002   1.23627       0.332484E-001            NaN
  1246.79        500.000        97.9553       0.530183                 NaN            NaN            NaN            NaN  0.274493       0.790047E-002   1.20024       0.319126E-001            NaN
  1245.73        500.000        98.0104       0.517861                 NaN            NaN            NaN            NaN  0.266326       0.694018E-002   1.16769       0.307910E-001            NaN
  1244.66        500.000        98.0642       0.507416                 NaN            NaN            NaN            NaN  0.259016       0.444565E-002   1.13538       0.295106E-001            NaN
  1243.59        500.000        98.1163       0.496537                 NaN            NaN            NaN            NaN  0.251722       0.284809E-002   1.10422       0.283465E-001            NaN
  1242.52        500.000        98.1641       0.485286                 NaN            NaN            NaN            NaN  0.244867       0.240639E-002   1.07599       0.273161E-001            NaN
  1241.45        500.000        98.2112       0.473836                 NaN            NaN            NaN            NaN  0.238222       0.220321E-002   1.04825       0.263171E-001            NaN
  1240.38        500.000        98.2549       0.464965                 NaN            NaN            NaN            NaN  0.231921       0.717883E-003   1.02217       0.253271E-001            NaN
  1239.32        500.000        98.3016       0.453492                 NaN            NaN            NaN            NaN  0.225684                 NaN  0.994900       0.242738E-001            NaN
  1238.25        500.000        98.3384       0.445406                 NaN            NaN            NaN            NaN  0.220448                 NaN  0.972395       0.233586E-001            NaN
  1237.18        500.000        98.3824       0.423102                 NaN            NaN            NaN            NaN  0.215361       0.823086E-002  0.948369       0.225506E-001            NaN
  1236.11        500.000        98.4227       0.423205                 NaN            NaN            NaN            NaN  0.208485                 NaN  0.923952       0.216443E-001            NaN
  1235.04        500.000        98.4626       0.411827                 NaN            NaN            NaN            NaN  0.202474                 NaN  0.902079       0.210019E-001            NaN
  1233.97        500.000        98.4947       0.405260                 NaN            NaN            NaN            NaN  0.198185       0.181643E-005  0.881765       0.201151E-001            NaN
  1232.90        500.000        98.5335       0.394266                 NaN            NaN            NaN            NaN  0.192522                 NaN  0.860328       0.194090E-001            NaN
  1231.84        500.000        98.5661       0.386023                 NaN            NaN            NaN            NaN  0.187945       0.175355E-004  0.841227       0.187077E-001            NaN
  1230.77        500.000        98.6002       0.376950                 NaN            NaN            NaN            NaN  0.183247                 NaN  0.821673       0.179465E-001            NaN
  1229.70        500.000        98.6323       0.368589                 NaN            NaN            NaN            NaN  0.178306       0.120322E-005  0.803393       0.173733E-001            NaN
  1228.63        500.000        98.6613       0.361205                 NaN            NaN            NaN            NaN  0.173959       0.514751E-005  0.786720       0.167728E-001            NaN
  1227.56        500.000        98.6967       0.350889                 NaN            NaN            NaN            NaN  0.168630       0.284882E-005  0.767534       0.162593E-001            NaN
  1226.49        500.000        98.7230       0.344343                 NaN            NaN            NaN            NaN  0.165728       0.291055E-003  0.751203       0.154099E-001            NaN
  1225.43        500.000        98.7524       0.336402                 NaN            NaN            NaN            NaN  0.160763                 NaN  0.735418       0.150485E-001            NaN
  1224.36        500.000        98.7839       0.326987                 NaN            NaN            NaN            NaN  0.157846                 NaN  0.717128       0.141229E-001            NaN
  1223.29        500.000        98.8070       0.322061                 NaN            NaN            NaN            NaN  0.152136                 NaN  0.704695       0.141558E-001            NaN
  1222.22        500.000        98.8334       0.314534                 NaN            NaN            NaN            NaN  0.150355                 NaN  0.688618       0.131430E-001            NaN
  1221.15        500.000        98.8600       0.307169                 NaN            NaN            NaN            NaN  0.144026                 NaN  0.675485       0.132741E-001            NaN
  1220.08        500.000        98.8859       0.299696                 NaN            NaN            NaN            NaN  0.140288                 NaN  0.661316       0.128026E-001            NaN
  1219.02        500.000        99.1446       0.766185E-001  0.124969                 NaN            NaN            NaN  0.107098                 NaN  0.535827       0.108746E-001            NaN
  1217.95        500.000        98.6898       0.382704                 NaN            NaN            NaN            NaN  0.164973                 NaN  0.749276       0.132499E-001            NaN
  1216.88        500.000        98.9609       0.913875E-001  0.178548                 NaN            NaN            NaN  0.128096                 NaN  0.628817       0.122404E-001            NaN
  1215.81        500.000        84.2616        1.88383                 NaN            NaN            NaN            NaN   1.30508                 NaN   6.17532       0.671563E-001   6.30701     
  1214.74        500.000        83.1459        2.02836                 NaN            NaN            NaN            NaN   1.41138                 NaN   6.55949       0.651546E-001   6.78972     
  1213.67        500.000        81.4811        1.49756                 NaN            NaN            NaN            NaN   1.57602       0.398608        7.26343       0.761281E-001   7.70711     
  1212.61        500.000        88.4841       0.286787        1.18234                 NaN            NaN            NaN  0.903617                 NaN   4.52353       0.566883E-001   4.56296     
  1211.54        500.000        87.7237        1.49971                 NaN            NaN            NaN            NaN  0.985862                 NaN   4.79883       0.543045E-001   4.93758     
  1210.47        500.000        59.2621        4.40462                 NaN            NaN            NaN            NaN   3.33948       0.344738        15.9105       0.166316        16.5723     
  1209.40        500.000        99.9946                 NaN            NaN            NaN            NaN            NaN            NaN  0.707894E-005            NaN  0.678145E-004  0.531668E-002
  1208.33        500.000        99.9280                 NaN            NaN            NaN            NaN            NaN  0.714938E-002  0.573318E-002  0.307259E-001  0.232801E-003  0.281691E-001
  1207.26        500.000        99.4726       0.594522E-001  0.375627E-002            NaN            NaN            NaN  0.426515E-001            NaN  0.206937       0.213075E-002  0.212435     
  1206.20        500.000       100.0000       0.172886E-005            NaN            NaN            NaN            NaN  0.110167E-005            NaN  0.543931E-005            NaN  0.558338E-005
  1205.13        500.000        87.7599        1.45018                 NaN            NaN            NaN            NaN   1.01905                 NaN   4.78538       0.415887E-001   4.94394     
  1204.06        500.000        91.5484       0.999199                 NaN            NaN            NaN            NaN  0.683170                 NaN   3.31125       0.320693E-001   3.42593     
  1202.99        500.000        93.0002       0.285863       0.515612                 NaN            NaN            NaN  0.569149                 NaN   2.77126       0.261806E-001   2.83173     
  1201.92        500.000        92.3127       0.916324                 NaN            NaN            NaN            NaN  0.641001                 NaN   3.00838       0.236734E-001   3.09788     
  1200.85        500.000        91.6970       0.925839                 NaN            NaN            NaN            NaN  0.656193                 NaN   3.28249       0.326354E-001   3.40588     
  1199.79        500.000        94.1854       0.701578                 NaN            NaN            NaN            NaN  0.483025                 NaN   2.30041       0.177227E-001   2.31187     
