|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1487.76        500.000                 NaN   98.9313       0.124463       0.783821       0.160396                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN   98.9512       0.117053       0.159986       0.771718                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.93        500.000                 NaN   98.9589       0.105177       0.762832       0.173132                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.51        500.000                 NaN   98.9712       0.965371E-001  0.181070       0.751182                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.10        500.000                 NaN   98.9823       0.874668E-001  0.190010       0.740176                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000                 NaN   98.9925       0.823007E-001  0.731370       0.193814                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.27        500.000       0.133582E-002   99.0067       0.771714E-002  0.700654       0.283629                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.86        500.000       0.223869E-002   99.0124                 NaN  0.292232       0.693087                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.45        500.000       0.266087E-002   99.0225                 NaN  0.289951       0.684891                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        500.000       0.263276E-002   99.0347                 NaN  0.287278       0.675369                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.62        500.000       0.256643E-002   99.0444                 NaN  0.668702       0.284338                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.20        500.000       0.248838E-002   99.0552                 NaN  0.660902       0.281393                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.79        500.000       0.241902E-002   99.0658                 NaN  0.652647       0.279115                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.38        500.000       0.234313E-002   99.0756                 NaN  0.275143       0.646957                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        500.000       0.227830E-002   99.0858                 NaN  0.638870       0.273069                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000       0.221271E-002   99.0951                 NaN  0.632234       0.270448                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.14        500.000       0.215496E-002   99.1030                 NaN  0.626640       0.268224                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.72        500.000       0.207992E-002   99.1154                 NaN  0.617670       0.264888                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.31        500.000       0.202789E-002   99.1223                 NaN  0.613632       0.262008                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.89        500.000       0.195683E-002   99.1335                 NaN  0.260121       0.604438                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.48        500.000       0.189818E-002   99.1410                 NaN  0.599483       0.257574                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        500.000       0.184035E-002   99.1495                 NaN  0.592952       0.255660                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        500.000       0.178110E-002   99.1591                 NaN  0.586235       0.252894                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.24        500.000       0.172031E-002   99.1664                 NaN  0.582274       0.249598                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.82        500.000       0.166260E-002   99.1759                 NaN  0.573910       0.248539                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.41        500.000       0.160831E-002   99.1833                 NaN  0.246190       0.568900                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.00        500.000       0.216318E-002   98.8578                 NaN  0.798287       0.341705                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.58        500.000       0.882070E-003   99.5301                 NaN  0.142565       0.326453                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.17        500.000       0.144733E-002   99.2067                 NaN  0.239944       0.551926                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.76        500.000       0.140235E-002   99.2136                 NaN  0.237904       0.547045                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.34        500.000       0.134790E-002   99.2213                 NaN  0.541518       0.235851                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.93        500.000       0.129923E-002   99.2284                 NaN  0.233433       0.536821                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.51        500.000       0.124853E-002   99.2355                 NaN  0.531194       0.232087                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.119757E-002   99.2432                 NaN  0.525947       0.229632                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.69        500.000       0.115187E-002   99.2494                 NaN  0.521370       0.228114                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.27        500.000       0.110787E-002   99.2556                 NaN  0.225941       0.517345                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.86        500.000       0.106246E-002   99.2630                 NaN  0.224204       0.511763                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.45        500.000       0.101906E-002   99.2691                 NaN  0.222325       0.507579                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.03        500.000       0.975444E-003   99.2758                 NaN  0.220552       0.502623                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        500.000       0.931403E-003   99.2819                 NaN  0.219239       0.497889                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.20        500.000       0.889958E-003   99.2881                 NaN  0.217036       0.493961                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.79        500.000       0.848282E-003   99.2943                 NaN  0.489736       0.215102                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.38        500.000       0.796200E-003   99.2999                 NaN  0.213094       0.486220                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.96        500.000       0.767642E-003   99.3064                 NaN  0.480672       0.212122                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.55        500.000       0.725975E-003   99.3118                 NaN  0.477049       0.210403                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.686964E-003   99.3174                 NaN  0.208783       0.473176                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.72        500.000       0.655951E-003   99.3219                 NaN  0.207502       0.469924                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.31        500.000       0.611296E-003   99.3300                 NaN  0.205173       0.464247                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.89        500.000       0.574890E-003   99.3334                 NaN  0.461846       0.204178                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.48        500.000       0.547910E-003   99.3339                 NaN  0.203499       0.462017                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.07        500.000       0.509836E-003   99.3493                 NaN  0.450022       0.200202                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.65        500.000       0.477193E-003   99.3497                 NaN  0.199630       0.450158                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.24        500.000       0.435064E-003   99.3547                 NaN  0.197862       0.446987                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.83        500.000       0.405379E-003   99.3594                 NaN  0.443674       0.196525                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.41        500.000       0.377073E-003   99.3621                 NaN  0.441641       0.195840                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.00        500.000       0.337849E-003   99.3713                 NaN  0.434916       0.193454                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.58        500.000       0.308726E-003   99.3733                 NaN  0.433903       0.192484                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000       0.278435E-003   99.3789                 NaN  0.190959       0.429880                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.76        500.000       0.250337E-003   99.3828                 NaN  0.189763       0.427194                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.34        500.000       0.216296E-003   99.3870                 NaN  0.424200       0.188538                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.93        500.000                 NaN   98.6366                 NaN  0.494213       0.484598                 NaN  0.384599                 NaN            NaN            NaN            NaN
  1401.51        500.000                 NaN   98.3558                 NaN  0.610372       0.501023                 NaN  0.532792                 NaN            NaN            NaN            NaN
  1400.10        500.000                 NaN   98.3831                 NaN  0.599587       0.493140                 NaN  0.524137                 NaN            NaN            NaN            NaN
  1398.69        500.000                 NaN   98.4101                 NaN  0.485651       0.589365                 NaN  0.514870                 NaN            NaN            NaN            NaN
  1397.27        500.000                 NaN   98.4356                 NaN  0.579417       0.478141                 NaN  0.506794                 NaN            NaN            NaN            NaN
  1395.86        500.000                 NaN   98.4576                 NaN  0.471786       0.570895                 NaN  0.499763                 NaN            NaN            NaN            NaN
  1394.45        500.000                 NaN   98.4841                 NaN  0.463964       0.560941                 NaN  0.491039                 NaN            NaN            NaN            NaN
  1393.03        500.000                 NaN   98.5066                 NaN  0.456967       0.552630                 NaN  0.483817                 NaN            NaN            NaN            NaN
  1391.62        500.000                 NaN   98.5291                 NaN  0.544010       0.450554                 NaN  0.476323                 NaN            NaN            NaN            NaN
  1390.20        500.000                 NaN   98.5495                 NaN  0.444318       0.536198                 NaN  0.469935                 NaN            NaN            NaN            NaN
  1388.79        500.000                 NaN   98.5756                 NaN  0.526717       0.436706                 NaN  0.460966                 NaN            NaN            NaN            NaN
  1387.38        500.000                 NaN   98.5932                 NaN  0.431459       0.519981                 NaN  0.455341                 NaN            NaN            NaN            NaN
  1385.96        500.000                 NaN   98.6099                 NaN  0.426304       0.513969                 NaN  0.449848                 NaN            NaN            NaN            NaN
  1384.55        500.000                 NaN   98.6362                 NaN  0.503346       0.419421                 NaN  0.441016                 NaN            NaN            NaN            NaN
  1383.14        500.000                 NaN   98.6523                 NaN  0.497845       0.413972                 NaN  0.435864                 NaN            NaN            NaN            NaN
  1381.72        500.000                 NaN   98.6740                 NaN  0.406171       0.491027                 NaN  0.428812                 NaN            NaN            NaN            NaN
  1380.31        500.000                 NaN   98.6910                 NaN  0.484297       0.401717                 NaN  0.423026                 NaN            NaN            NaN            NaN
  1378.89        500.000                 NaN   98.7063                 NaN  0.397477       0.478260                 NaN  0.417998                 NaN            NaN            NaN            NaN
  1377.48        500.000                 NaN   98.7267                 NaN  0.471074       0.391142                 NaN  0.411125                 NaN            NaN            NaN            NaN
  1376.07        500.000                 NaN   98.7416                 NaN  0.466147       0.386267                 NaN  0.406016                 NaN            NaN            NaN            NaN
  1374.65        500.000                 NaN   98.7594                 NaN  0.380781       0.459613                 NaN  0.400236                 NaN            NaN            NaN            NaN
  1373.24        500.000                 NaN   98.7745                 NaN  0.454221       0.376101                 NaN  0.395199                 NaN            NaN            NaN            NaN
  1371.83        500.000                 NaN   98.7910                 NaN  0.371259       0.447984                 NaN  0.389744                 NaN            NaN            NaN            NaN
  1370.41        500.000                 NaN   98.8061                 NaN  0.366307       0.443030                 NaN  0.384593                 NaN            NaN            NaN            NaN
  1369.00        500.000                 NaN   98.8206                 NaN  0.362086       0.437407                 NaN  0.379947                 NaN            NaN            NaN            NaN
  1367.58        500.000                 NaN   98.8068                 NaN  0.438920       0.369588                 NaN  0.384733                 NaN            NaN            NaN            NaN
  1366.17        500.000                 NaN   98.8753                 NaN  0.420252       0.343905                 NaN  0.360522                 NaN            NaN            NaN            NaN
  1364.76        500.000                 NaN   98.8644                 NaN  0.348356       0.422283                 NaN  0.364973                 NaN            NaN            NaN            NaN
  1363.34        500.000                 NaN   98.8761                 NaN  0.344252       0.418644                 NaN  0.360962                 NaN            NaN            NaN            NaN
  1361.93        500.000                 NaN   98.8887                 NaN  0.340332       0.414418                 NaN  0.356564                 NaN            NaN            NaN            NaN
  1360.52        500.000                 NaN   98.9030                 NaN  0.335871       0.409243                 NaN  0.351923                 NaN            NaN            NaN            NaN
  1359.10        500.000                 NaN   98.9156                 NaN  0.331876       0.404837                 NaN  0.347706                 NaN            NaN            NaN            NaN
  1357.69        500.000                 NaN   98.9272                 NaN  0.328064       0.400958                 NaN  0.343729                 NaN            NaN            NaN            NaN
  1356.27        500.000                 NaN   98.9391                 NaN  0.396811       0.324589                 NaN  0.339533                 NaN            NaN            NaN            NaN
  1354.86        500.000                 NaN   98.9521                 NaN  0.392319       0.320503                 NaN  0.335087                 NaN            NaN            NaN            NaN
  1353.45        500.000                 NaN   98.9621                 NaN  0.389495       0.316743                 NaN  0.331612                 NaN            NaN            NaN            NaN
  1352.03        500.000                 NaN   98.9724                 NaN  0.312912       0.386398                 NaN  0.328241                 NaN            NaN            NaN            NaN
  1350.62        500.000                 NaN   98.9854                 NaN  0.308984       0.381961                 NaN  0.323678                 NaN            NaN            NaN            NaN
  1349.20        500.000                 NaN   98.9958                 NaN  0.378963       0.305061                 NaN  0.320197                 NaN            NaN            NaN            NaN
  1347.79        500.000                 NaN   99.0032                 NaN  0.376245       0.303316                 NaN  0.317289                 NaN            NaN            NaN            NaN
  1346.38        500.000                 NaN   99.0160                 NaN  0.371127       0.299640                 NaN  0.313215                 NaN            NaN            NaN            NaN
  1344.96        500.000                 NaN   99.0243                 NaN  0.295631       0.369824                 NaN  0.310277                 NaN            NaN            NaN            NaN
  1343.55        500.000                 NaN   99.0351                 NaN  0.365949       0.292564                 NaN  0.306349                 NaN            NaN            NaN            NaN
  1342.14        500.000                 NaN   99.0438                 NaN  0.364053       0.288684                 NaN  0.303439                 NaN            NaN            NaN            NaN
  1340.72        500.000                 NaN   99.0536                 NaN  0.285660       0.360697                 NaN  0.300072                 NaN            NaN            NaN            NaN
  1339.31        500.000                 NaN   99.0613                 NaN  0.358194       0.283081                 NaN  0.297403                 NaN            NaN            NaN            NaN
  1337.89        500.000                 NaN   99.0697                 NaN  0.354880       0.280773                 NaN  0.294673                 NaN            NaN            NaN            NaN
  1336.48        500.000                 NaN   99.0821                 NaN  0.275719       0.352292                 NaN  0.289933                 NaN            NaN            NaN            NaN
  1335.07        500.000                 NaN   99.0868                 NaN  0.351021       0.273538                 NaN  0.288596                 NaN            NaN            NaN            NaN
  1333.65        500.000                 NaN   99.0979                 NaN  0.269604       0.348010                 NaN  0.284504                 NaN            NaN            NaN            NaN
  1332.24        500.000                 NaN   99.1028                 NaN  0.346901       0.267484                 NaN  0.282803                 NaN            NaN            NaN            NaN
  1330.83        500.000                 NaN   99.1117                 NaN  0.344482       0.264168                 NaN  0.279615                 NaN            NaN            NaN            NaN
  1329.41        500.000                 NaN   99.1197                 NaN  0.261400       0.341899                 NaN  0.276889       0.942575E-004            NaN            NaN            NaN
  1328.00        500.000                 NaN   99.1259                 NaN  0.340731       0.258667                 NaN  0.274699                 NaN            NaN            NaN            NaN
  1326.58        500.000                 NaN   99.1346                 NaN  0.338427       0.255267                 NaN  0.271732                 NaN            NaN            NaN            NaN
  1325.17        500.000                 NaN   99.1419                 NaN  0.252161       0.336773                 NaN  0.269124                 NaN            NaN            NaN            NaN
  1323.76        500.000                 NaN   99.1477                 NaN  0.249344       0.335959                 NaN  0.266989                 NaN            NaN            NaN            NaN
  1322.34        500.000                 NaN   99.1550                 NaN  0.246143       0.334328                 NaN  0.264493                 NaN            NaN            NaN            NaN
  1320.93        500.000                 NaN   99.1731                 NaN  0.155455       0.336940                 NaN  0.270402       0.641404E-001            NaN            NaN            NaN
  1319.52        500.000                 NaN   99.1866                 NaN  0.405773                 NaN            NaN  0.278292       0.129377                 NaN            NaN            NaN
  1318.10        500.000                 NaN   99.1958                 NaN  0.399734                 NaN            NaN  0.275155       0.129358                 NaN            NaN            NaN
  1316.69        500.000                 NaN   99.2027                 NaN  0.397424                 NaN            NaN  0.272368       0.127510                 NaN            NaN            NaN
  1315.27        500.000                 NaN   99.2141                 NaN  0.394566                 NaN            NaN  0.267531       0.123759                 NaN            NaN            NaN
  1313.86        500.000                 NaN   99.2138                 NaN  0.395387                 NaN            NaN  0.267616       0.123165                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.2356                 NaN  0.384426                 NaN            NaN  0.259480       0.120469                 NaN            NaN            NaN
  1311.03        500.000                 NaN   99.2378                 NaN  0.384768                 NaN            NaN  0.258541       0.118934                 NaN            NaN            NaN
  1309.62        500.000                 NaN   99.2460                 NaN  0.383495                 NaN            NaN  0.255070       0.115482                 NaN            NaN            NaN
  1308.21        500.000                 NaN   99.2537                 NaN  0.381492                 NaN            NaN  0.251987       0.112787                 NaN            NaN            NaN
  1306.79        500.000                 NaN   99.2604                 NaN  0.380447                 NaN            NaN  0.249206       0.109981                 NaN            NaN            NaN
  1305.38        500.000                 NaN   99.2681                 NaN  0.375810                 NaN            NaN  0.246338       0.109712                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.2772                 NaN  0.370687                 NaN            NaN  0.243033       0.109123                 NaN            NaN            NaN
  1302.55        500.000                 NaN   99.2243                 NaN  0.262062                 NaN            NaN  0.320603       0.193038                 NaN            NaN            NaN
  1301.14        500.000                 NaN   99.2578                 NaN  0.315462                 NaN            NaN  0.281228       0.145517                 NaN            NaN            NaN
  1299.72        500.000                 NaN   99.5484                 NaN  0.178944                 NaN            NaN  0.139289       0.133325                 NaN            NaN            NaN
  1298.31        500.000                 NaN   99.1739                 NaN  0.619292                 NaN            NaN  0.206781                 NaN            NaN            NaN            NaN
  1296.89        500.000                 NaN   99.3243                 NaN  0.382088                 NaN            NaN  0.220118       0.734651E-001            NaN            NaN            NaN
  1295.48        500.000                 NaN   99.3030                 NaN  0.366638                 NaN            NaN  0.230891       0.929733E-001  0.651948E-002            NaN            NaN
  1294.07        500.000                 NaN   99.2582                 NaN  0.381288                 NaN            NaN  0.243920       0.872325E-001  0.293411E-001            NaN            NaN
  1292.65        500.000                 NaN   99.2685                 NaN  0.375908                 NaN            NaN  0.240466       0.863491E-001  0.288054E-001            NaN            NaN
  1291.24        500.000                 NaN   99.2794                 NaN  0.370299                 NaN            NaN  0.236668       0.854493E-001  0.282087E-001            NaN            NaN
  1289.83        500.000                 NaN   99.2889                 NaN  0.365260                 NaN            NaN  0.233426       0.846918E-001  0.276860E-001            NaN            NaN
  1288.41        500.000                 NaN   99.2994                 NaN  0.359740                 NaN            NaN  0.229922       0.838053E-001  0.271418E-001            NaN            NaN
  1287.00        500.000                 NaN   99.3090                 NaN  0.354000                 NaN            NaN  0.226780       0.836072E-001  0.266503E-001            NaN            NaN
  1285.58        500.000                 NaN   99.3189                 NaN  0.350288                 NaN            NaN  0.223111       0.816076E-001  0.260630E-001            NaN            NaN
  1284.17        500.000                 NaN   99.3279                 NaN  0.346848                 NaN            NaN  0.219981       0.797427E-001  0.255242E-001            NaN            NaN
  1282.76        500.000                 NaN   99.3381                 NaN  0.340016                 NaN            NaN  0.216687       0.801147E-001  0.250653E-001            NaN            NaN
  1281.34        500.000                 NaN   99.3475                 NaN  0.336380                 NaN            NaN  0.213406       0.782384E-001  0.245231E-001            NaN            NaN
  1279.93        500.000                 NaN   99.3559                 NaN  0.332016                 NaN            NaN  0.210464       0.775801E-001  0.240620E-001            NaN            NaN
  1278.52        500.000                 NaN   99.3660                 NaN  0.326181                 NaN            NaN  0.207287       0.769808E-001  0.235733E-001            NaN            NaN
  1277.10        500.000                 NaN   99.3744                 NaN  0.324197                 NaN            NaN  0.203954       0.744446E-001  0.230129E-001            NaN            NaN
  1275.69        500.000                 NaN   99.3834                 NaN  0.319785                 NaN            NaN  0.201019       0.732020E-001  0.225537E-001            NaN            NaN
  1274.27        500.000                 NaN   99.3908                 NaN  0.317225                 NaN            NaN  0.198352       0.715739E-001  0.220743E-001            NaN            NaN
  1272.86        500.000                 NaN   99.4002                 NaN  0.312954                 NaN            NaN  0.194953       0.702678E-001  0.215774E-001            NaN            NaN
  1271.45        500.000                 NaN   99.4083                 NaN  0.309644                 NaN            NaN  0.192291       0.686292E-001  0.211149E-001            NaN            NaN
  1270.03        500.000                 NaN   99.4166                 NaN  0.306466                 NaN            NaN  0.189370       0.669690E-001  0.206394E-001            NaN            NaN
  1268.62        500.000                 NaN   99.4237                 NaN  0.303974                 NaN            NaN  0.186722       0.653791E-001  0.201834E-001            NaN            NaN
  1267.21        500.000                 NaN   96.7645                 NaN  0.776990                 NaN            NaN  0.482586       0.123700       0.680925E-001   1.78411                 NaN
  1265.79        500.000                 NaN   94.6744                 NaN   1.15798                 NaN            NaN  0.710852       0.156765       0.104131        3.19584                 NaN
  1264.38        500.000                 NaN   94.9942                 NaN   1.10119                 NaN            NaN  0.670001       0.142054       0.968898E-001   2.99571                 NaN
  1262.96        500.000                 NaN   95.2881                 NaN   1.04647                 NaN            NaN  0.632269       0.129512       0.903248E-001   2.81330                 NaN
  1261.55        500.000                 NaN   95.5456                 NaN   1.00170                 NaN            NaN  0.598875       0.116432       0.844044E-001   2.65298                 NaN
  1260.14        500.000                 NaN   95.7830                 NaN  0.958455                 NaN            NaN  0.567961       0.105032       0.790142E-001   2.50654                 NaN
  1258.72        500.000                 NaN   95.9897                 NaN  0.917212                 NaN            NaN  0.540743       0.984055E-001  0.744141E-001   2.37950                 NaN
  1257.31        500.000                 NaN   96.1938                 NaN  0.871225                 NaN            NaN  0.514002       0.946530E-001  0.700779E-001   2.25620                 NaN
