|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1431.20        500.000       0.141353E-002   99.1585                 NaN  0.258999       0.581046                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.79        500.000       0.134715E-002   99.1653                 NaN  0.576442       0.256896                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.38        500.000       0.126425E-002   99.1714                 NaN  0.254696       0.572679                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.96        500.000       0.121886E-002   99.1785                 NaN  0.566487       0.253745                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.55        500.000       0.115239E-002   99.1844                 NaN  0.562569       0.251880                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.14        500.000       0.109029E-002   99.1904                 NaN  0.250136       0.558351                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.72        500.000       0.104099E-002   99.1953                 NaN  0.248784       0.554837                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.31        500.000       0.969990E-003   99.2043                 NaN  0.246202       0.548535                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.89        500.000       0.911988E-003   99.2078                 NaN  0.546051       0.245217                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.48        500.000       0.869042E-003   99.2080                 NaN  0.244586       0.546585                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.07        500.000       0.808477E-003   99.2256                 NaN  0.532772       0.240833                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.65        500.000       0.756715E-003   99.2256                 NaN  0.240335       0.533271                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.24        500.000       0.689783E-003   99.2311                 NaN  0.238377       0.529866                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.83        500.000       0.642664E-003   99.2360                 NaN  0.526329       0.237002                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.41        500.000       0.597678E-003   99.2388                 NaN  0.524219       0.236348                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.00        500.000       0.535538E-003   99.2492                 NaN  0.516580       0.233661                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.58        500.000       0.489203E-003   99.2510                 NaN  0.515790       0.232711                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.17        500.000       0.441173E-003   99.2572                 NaN  0.231043       0.511326                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.76        500.000       0.396595E-003   99.2613                 NaN  0.229789       0.508478                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.34        500.000       0.342605E-003   99.2659                 NaN  0.505281       0.228508                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.93        500.000                 NaN   98.4514                 NaN  0.599226       0.577372                 NaN  0.372018                 NaN            NaN            NaN            NaN
  1401.51        500.000                 NaN   98.1462                 NaN  0.740841       0.597482                 NaN  0.515478                 NaN            NaN            NaN            NaN
  1400.10        500.000                 NaN   98.1753                 NaN  0.728592       0.588716                 NaN  0.507359                 NaN            NaN            NaN            NaN
  1398.69        500.000                 NaN   98.2037                 NaN  0.580473       0.717171                 NaN  0.498641                 NaN            NaN            NaN            NaN
  1397.27        500.000                 NaN   98.2308                 NaN  0.705964       0.572175                 NaN  0.491074                 NaN            NaN            NaN            NaN
  1395.86        500.000                 NaN   98.2537                 NaN  0.565264       0.696525                 NaN  0.484513                 NaN            NaN            NaN            NaN
  1394.45        500.000                 NaN   98.2819                 NaN  0.556521       0.685242                 NaN  0.476310                 NaN            NaN            NaN            NaN
  1393.03        500.000                 NaN   98.3057                 NaN  0.548780       0.675962                 NaN  0.469557                 NaN            NaN            NaN            NaN
  1391.62        500.000                 NaN   98.3294                 NaN  0.666319       0.541746                 NaN  0.462537                 NaN            NaN            NaN            NaN
  1390.20        500.000                 NaN   98.3510                 NaN  0.534837       0.657547                 NaN  0.456587                 NaN            NaN            NaN            NaN
  1388.79        500.000                 NaN   98.3787                 NaN  0.646802       0.526350                 NaN  0.448125                 NaN            NaN            NaN            NaN
  1387.38        500.000                 NaN   98.3971                 NaN  0.520658       0.639365                 NaN  0.442906                 NaN            NaN            NaN            NaN
  1385.96        500.000                 NaN   98.4142                 NaN  0.515123       0.632872                 NaN  0.437813                 NaN            NaN            NaN            NaN
  1384.55        500.000                 NaN   98.4426                 NaN  0.620537       0.507403                 NaN  0.429472                 NaN            NaN            NaN            NaN
  1383.14        500.000                 NaN   98.4593                 NaN  0.614558       0.501396                 NaN  0.424703                 NaN            NaN            NaN            NaN
  1381.72        500.000                 NaN   98.4825                 NaN  0.492502       0.606941                 NaN  0.418082                 NaN            NaN            NaN            NaN
  1380.31        500.000                 NaN   98.5001                 NaN  0.599450       0.487793                 NaN  0.412688                 NaN            NaN            NaN            NaN
  1378.89        500.000                 NaN   98.5160                 NaN  0.483248       0.592747                 NaN  0.408030                 NaN            NaN            NaN            NaN
  1377.48        500.000                 NaN   98.5376                 NaN  0.584628       0.476155                 NaN  0.401569                 NaN            NaN            NaN            NaN
  1376.07        500.000                 NaN   98.5530                 NaN  0.579332       0.470846                 NaN  0.396824                 NaN            NaN            NaN            NaN
  1374.65        500.000                 NaN   98.5719                 NaN  0.464711       0.571919                 NaN  0.391422                 NaN            NaN            NaN            NaN
  1373.24        500.000                 NaN   98.5876                 NaN  0.565994       0.459623                 NaN  0.386741                 NaN            NaN            NaN            NaN
  1371.83        500.000                 NaN   98.6051                 NaN  0.454281       0.558935                 NaN  0.381648                 NaN            NaN            NaN            NaN
  1370.41        500.000                 NaN   98.6209                 NaN  0.448779       0.553498                 NaN  0.376848                 NaN            NaN            NaN            NaN
  1369.00        500.000                 NaN   98.6361                 NaN  0.444180       0.547166                 NaN  0.372538                 NaN            NaN            NaN            NaN
  1367.58        500.000                 NaN   98.6184                 NaN  0.549878       0.454237                 NaN  0.377469                 NaN            NaN            NaN            NaN
  1366.17        500.000                 NaN   98.6957                 NaN  0.527229       0.423076                 NaN  0.353976                 NaN            NaN            NaN            NaN
  1364.76        500.000                 NaN   98.6819                 NaN  0.429079       0.530439                 NaN  0.358573                 NaN            NaN            NaN            NaN
  1363.34        500.000                 NaN   98.6939                 NaN  0.424637       0.526624                 NaN  0.354872                 NaN            NaN            NaN            NaN
  1361.93        500.000                 NaN   98.7068                 NaN  0.420380       0.522032                 NaN  0.350788                 NaN            NaN            NaN            NaN
  1360.52        500.000                 NaN   98.7220                 NaN  0.415383       0.516164                 NaN  0.346463                 NaN            NaN            NaN            NaN
  1359.10        500.000                 NaN   98.7352                 NaN  0.411001       0.511284                 NaN  0.342550                 NaN            NaN            NaN            NaN
  1357.69        500.000                 NaN   98.7472                 NaN  0.406834       0.507071                 NaN  0.338869                 NaN            NaN            NaN            NaN
  1356.27        500.000                 NaN   98.7594                 NaN  0.502531       0.403103                 NaN  0.334969                 NaN            NaN            NaN            NaN
  1354.86        500.000                 NaN   98.7731                 NaN  0.497502       0.398558                 NaN  0.330818                 NaN            NaN            NaN            NaN
  1353.45        500.000                 NaN   98.7833                 NaN  0.494622       0.394454                 NaN  0.327623                 NaN            NaN            NaN            NaN
  1352.03        500.000                 NaN   98.7939                 NaN  0.390209       0.491339                 NaN  0.324527                 NaN            NaN            NaN            NaN
  1350.62        500.000                 NaN   98.8075                 NaN  0.385877       0.486380                 NaN  0.320251                 NaN            NaN            NaN            NaN
  1349.20        500.000                 NaN   98.8183                 NaN  0.483178       0.381453                 NaN  0.317040                 NaN            NaN            NaN            NaN
  1347.79        500.000                 NaN   98.8252                 NaN  0.480451       0.379913                 NaN  0.314392                 NaN            NaN            NaN            NaN
  1346.38        500.000                 NaN   98.8392                 NaN  0.474473       0.375767                 NaN  0.310589                 NaN            NaN            NaN            NaN
  1344.96        500.000                 NaN   98.8472                 NaN  0.371351       0.473493                 NaN  0.307908                 NaN            NaN            NaN            NaN
  1343.55        500.000                 NaN   98.8586                 NaN  0.469194       0.367994                 NaN  0.304241                 NaN            NaN            NaN            NaN
  1342.14        500.000                 NaN   98.8674                 NaN  0.467396       0.363622                 NaN  0.301582                 NaN            NaN            NaN            NaN
  1340.72        500.000                 NaN   98.8775                 NaN  0.360337       0.463715                 NaN  0.298466                 NaN            NaN            NaN            NaN
  1339.31        500.000                 NaN   98.8852                 NaN  0.461138       0.357637                 NaN  0.296040                 NaN            NaN            NaN            NaN
  1337.89        500.000                 NaN   98.8939                 NaN  0.457402       0.355145                 NaN  0.293552                 NaN            NaN            NaN            NaN
  1336.48        500.000                 NaN   98.9068                 NaN  0.349363       0.454785                 NaN  0.289059                 NaN            NaN            NaN            NaN
  1335.07        500.000                 NaN   98.9113                 NaN  0.453699       0.347033                 NaN  0.287953                 NaN            NaN            NaN            NaN
  1333.65        500.000                 NaN   98.9228                 NaN  0.342612       0.450470                 NaN  0.284097                 NaN            NaN            NaN            NaN
  1332.24        500.000                 NaN   98.9273                 NaN  0.449649       0.340420                 NaN  0.282625                 NaN            NaN            NaN            NaN
  1330.83        500.000                 NaN   98.9365                 NaN  0.447117       0.336723                 NaN  0.279667                 NaN            NaN            NaN            NaN
  1329.41        500.000                 NaN   98.9446                 NaN  0.333701       0.444363                 NaN  0.277166       0.138889E-003            NaN            NaN            NaN
  1328.00        500.000                 NaN   98.9506                 NaN  0.443465       0.330732                 NaN  0.275200                 NaN            NaN            NaN            NaN
  1326.58        500.000                 NaN   98.9596                 NaN  0.441043       0.326877                 NaN  0.272454                 NaN            NaN            NaN            NaN
  1325.17        500.000                 NaN   98.9671                 NaN  0.323381       0.439446                 NaN  0.270064                 NaN            NaN            NaN            NaN
  1323.76        500.000                 NaN   98.9725                 NaN  0.320283       0.439031                 NaN  0.268146                 NaN            NaN            NaN            NaN
  1322.34        500.000                 NaN   98.9800                 NaN  0.316659       0.437464                 NaN  0.265864                 NaN            NaN            NaN            NaN
  1320.93        500.000                 NaN   98.9945                 NaN  0.203689       0.434160                 NaN  0.272052       0.955902E-001            NaN            NaN            NaN
  1319.52        500.000                 NaN   99.0029                 NaN  0.523581                 NaN            NaN  0.280277       0.193210                 NaN            NaN            NaN
  1318.10        500.000                 NaN   99.0126                 NaN  0.516433                 NaN            NaN  0.277417       0.193571                 NaN            NaN            NaN
  1316.69        500.000                 NaN   99.0196                 NaN  0.514284                 NaN            NaN  0.274904       0.191212                 NaN            NaN            NaN
  1315.27        500.000                 NaN   99.0322                 NaN  0.511481                 NaN            NaN  0.270316       0.185971                 NaN            NaN            NaN
  1313.86        500.000                 NaN   99.0305                 NaN  0.513256                 NaN            NaN  0.270692       0.185516                 NaN            NaN            NaN
  1312.45        500.000                 NaN   99.0557                 NaN  0.499772                 NaN            NaN  0.262754       0.181738                 NaN            NaN            NaN
  1311.03        500.000                 NaN   99.0572                 NaN  0.500993                 NaN            NaN  0.262084       0.179765                 NaN            NaN            NaN
  1309.62        500.000                 NaN   99.0660                 NaN  0.500280                 NaN            NaN  0.258846       0.174922                 NaN            NaN            NaN
  1308.21        500.000                 NaN   99.0744                 NaN  0.498465                 NaN            NaN  0.255995       0.171155                 NaN            NaN            NaN
  1306.79        500.000                 NaN   99.0814                 NaN  0.497965                 NaN            NaN  0.253444       0.167218                 NaN            NaN            NaN
  1305.38        500.000                 NaN   99.0895                 NaN  0.492588                 NaN            NaN  0.250798       0.167118                 NaN            NaN            NaN
  1303.96        500.000                 NaN   99.0992                 NaN  0.486482                 NaN            NaN  0.247703       0.166606                 NaN            NaN            NaN
  1302.55        500.000                 NaN   99.0345                 NaN  0.343419                 NaN            NaN  0.327131       0.294983                 NaN            NaN            NaN
  1301.14        500.000                 NaN   99.0764                 NaN  0.413567                 NaN            NaN  0.287316       0.222666                 NaN            NaN            NaN
  1299.72        500.000                 NaN   99.4170                 NaN  0.235635                 NaN            NaN  0.142508       0.204847                 NaN            NaN            NaN
  1298.31        500.000                 NaN   98.9711                 NaN  0.817322                 NaN            NaN  0.211628                 NaN            NaN            NaN            NaN
  1296.89        500.000                 NaN   99.1557                 NaN  0.505505                 NaN            NaN  0.225580       0.113255                 NaN            NaN            NaN
  1295.48        500.000                 NaN   99.1222                 NaN  0.485874                 NaN            NaN  0.236858       0.143583       0.114594E-001            NaN            NaN
  1294.07        500.000                 NaN   99.0571                 NaN  0.505826                 NaN            NaN  0.250501       0.134982       0.516316E-001            NaN            NaN
  1292.65        500.000                 NaN   99.0687                 NaN  0.499431                 NaN            NaN  0.247279       0.133876       0.507567E-001            NaN            NaN
  1291.24        500.000                 NaN   99.0810                 NaN  0.492773                 NaN            NaN  0.243694       0.132757       0.497718E-001            NaN            NaN
  1289.83        500.000                 NaN   99.0917                 NaN  0.486833                 NaN            NaN  0.240671       0.131860       0.489145E-001            NaN            NaN
  1288.41        500.000                 NaN   99.1037                 NaN  0.480198                 NaN            NaN  0.237368       0.130741       0.480166E-001            NaN            NaN
  1287.00        500.000                 NaN   99.1144                 NaN  0.473280                 NaN            NaN  0.234428       0.130706       0.472093E-001            NaN            NaN
  1285.58        500.000                 NaN   99.1260                 NaN  0.469040                 NaN            NaN  0.230935       0.127827       0.462297E-001            NaN            NaN
  1284.17        500.000                 NaN   99.1363                 NaN  0.465263                 NaN            NaN  0.227988       0.125150       0.453332E-001            NaN            NaN
  1282.76        500.000                 NaN   99.1479                 NaN  0.456665                 NaN            NaN  0.224863       0.125990       0.445761E-001            NaN            NaN
  1281.34        500.000                 NaN   99.1588                 NaN  0.452534                 NaN            NaN  0.221741       0.123270       0.436684E-001            NaN            NaN
  1279.93        500.000                 NaN   99.1683                 NaN  0.447360                 NaN            NaN  0.218961       0.122495       0.429024E-001            NaN            NaN
  1278.52        500.000                 NaN   99.1801                 NaN  0.440132                 NaN            NaN  0.215929       0.121772       0.420851E-001            NaN            NaN
  1277.10        500.000                 NaN   99.1900                 NaN  0.438182                 NaN            NaN  0.212724       0.117976       0.411370E-001            NaN            NaN
  1275.69        500.000                 NaN   99.2006                 NaN  0.432906                 NaN            NaN  0.209924       0.116214       0.403673E-001            NaN            NaN
  1274.27        500.000                 NaN   99.2090                 NaN  0.430168                 NaN            NaN  0.207396       0.113836       0.395588E-001            NaN            NaN
  1272.86        500.000                 NaN   99.2202                 NaN  0.424976                 NaN            NaN  0.204093       0.111968       0.387168E-001            NaN            NaN
  1271.45        500.000                 NaN   99.2298                 NaN  0.421161                 NaN            NaN  0.201553       0.109570       0.379340E-001            NaN            NaN
  1270.03        500.000                 NaN   99.2395                 NaN  0.417508                 NaN            NaN  0.198732       0.107101       0.371255E-001            NaN            NaN
  1268.62        500.000                 NaN   99.2479                 NaN  0.414800                 NaN            NaN  0.196189       0.104753       0.363497E-001            NaN            NaN
  1267.21        500.000                 NaN   96.3721                 NaN   1.06009                 NaN            NaN  0.506587       0.198236       0.122522        1.74042                 NaN
  1265.79        500.000                 NaN   94.1164                 NaN   1.58202                 NaN            NaN  0.745988       0.251539       0.187317        3.11670                 NaN
  1264.38        500.000                 NaN   94.4561                 NaN   1.50930                 NaN            NaN  0.704392       0.228702       0.174610        2.92685                 NaN
  1262.96        500.000                 NaN   94.7694                 NaN   1.43880                 NaN            NaN  0.665930       0.209175       0.163077        2.75365                 NaN
  1261.55        500.000                 NaN   95.0437                 NaN   1.38164                 NaN            NaN  0.631893       0.188655       0.152665        2.60143                 NaN
  1260.14        500.000                 NaN   95.2974                 NaN   1.32611                 NaN            NaN  0.600351       0.170697       0.143175        2.46228                 NaN
  1258.72        500.000                 NaN   95.5176                 NaN   1.27260                 NaN            NaN  0.572598       0.160433       0.135082        2.34166                 NaN
  1257.31        500.000                 NaN   95.7359                 NaN   1.21224                 NaN            NaN  0.545260       0.154782       0.127442        2.22435                 NaN
  1255.89        500.000                 NaN   95.9406                 NaN   1.19544                 NaN            NaN  0.519929       0.108234       0.119098        2.11671                 NaN
