|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            lc             ne            
  1504.72        2500.00                 NaN   99.5254                 NaN  0.437786       0.368250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00                 NaN   99.5269                 NaN  0.439210       0.338878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00                 NaN   99.5149                 NaN  0.390601       0.259093E-001            NaN  0.686208E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        2500.00                 NaN   99.4192                 NaN            NaN  0.521698E-001            NaN  0.528659                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00                 NaN   99.4138                 NaN  0.320283E-002  0.200388E-001            NaN  0.562912                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00                 NaN   99.4087                 NaN  0.465731E-001            NaN            NaN  0.544698                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        2500.00                 NaN   99.5666                 NaN            NaN            NaN            NaN  0.433403                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        2500.00                 NaN   99.2490                 NaN            NaN            NaN            NaN  0.751039                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        2500.00                 NaN   99.4088                 NaN            NaN            NaN            NaN  0.591234                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        2500.00                 NaN   99.3096                 NaN  0.353685E-002            NaN            NaN  0.686883                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        2500.00                 NaN   99.6145                 NaN            NaN  0.217213E-003            NaN  0.385241                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        2500.00                 NaN   99.2994                 NaN  0.555442E-001            NaN            NaN  0.645014                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00                 NaN   99.4091                 NaN            NaN            NaN            NaN  0.590859                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        2500.00                 NaN   99.4067                 NaN            NaN            NaN            NaN  0.593347                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        2500.00                 NaN   99.4056                 NaN            NaN            NaN            NaN  0.594377                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        2500.00                 NaN   99.4023                 NaN            NaN            NaN            NaN  0.597695                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00                 NaN   99.4008                 NaN            NaN            NaN            NaN  0.599177                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        2500.00                 NaN   99.3804                 NaN            NaN            NaN            NaN  0.619581                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        2500.00                 NaN   99.4300                 NaN            NaN            NaN            NaN  0.570005                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        2500.00                 NaN   99.3653                 NaN            NaN            NaN            NaN  0.634713                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        2500.00                 NaN   99.3841                 NaN            NaN            NaN            NaN  0.615904                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        2500.00                 NaN   99.3740                 NaN            NaN            NaN            NaN  0.626026                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00                 NaN   99.2220                 NaN            NaN            NaN            NaN  0.330646       0.447377                 NaN            NaN            NaN            NaN            NaN
  1470.17        2500.00                 NaN   99.1091                 NaN            NaN            NaN            NaN  0.297701       0.593242                 NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00                 NaN   99.1183                 NaN            NaN            NaN            NaN  0.586436       0.295307                 NaN            NaN            NaN            NaN            NaN
  1467.17        2500.00                 NaN   99.1242                 NaN            NaN  0.838446E-004            NaN  0.292254       0.583450                 NaN            NaN            NaN            NaN            NaN
  1465.67        2500.00                 NaN   99.1309                 NaN            NaN            NaN            NaN  0.578154       0.290940                 NaN            NaN            NaN            NaN            NaN
  1464.17        2500.00                 NaN   99.1358                 NaN            NaN            NaN            NaN  0.576577       0.287656                 NaN            NaN            NaN            NaN            NaN
  1462.66        2500.00                 NaN   99.1459                 NaN            NaN            NaN            NaN  0.286740       0.567326                 NaN            NaN            NaN            NaN            NaN
  1461.16        2500.00                 NaN   99.1504                 NaN            NaN            NaN            NaN  0.565111       0.284503                 NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00                 NaN   99.1557                 NaN            NaN            NaN            NaN  0.282375       0.561955                 NaN            NaN            NaN            NaN            NaN
  1458.16        2500.00                 NaN   99.1633                 NaN            NaN  0.488936E-005            NaN  0.557230       0.279497                 NaN            NaN            NaN            NaN            NaN
  1456.66        2500.00                 NaN   99.1708                 NaN            NaN            NaN            NaN  0.277460       0.551785                 NaN            NaN            NaN            NaN            NaN
  1455.15        2500.00                 NaN   99.1757                 NaN            NaN            NaN            NaN  0.275901       0.548393                 NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00                 NaN   99.1811                 NaN            NaN            NaN            NaN  0.546672       0.272249                 NaN            NaN            NaN            NaN            NaN
  1452.15        2500.00                 NaN   99.1877                 NaN            NaN  0.476220E-004            NaN  0.271673       0.540609                 NaN            NaN            NaN            NaN            NaN
  1450.65        2500.00                 NaN   99.1918                 NaN            NaN            NaN            NaN  0.269515       0.538674                 NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00                 NaN   99.1980                 NaN            NaN            NaN            NaN  0.534137       0.267912                 NaN            NaN            NaN            NaN            NaN
  1447.64        2500.00                 NaN   99.2042                 NaN            NaN            NaN            NaN  0.530657       0.265143                 NaN            NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   99.2090                 NaN            NaN            NaN            NaN  0.527138       0.263881                 NaN            NaN            NaN            NaN            NaN
  1444.64        2500.00                 NaN   99.2139                 NaN            NaN            NaN            NaN  0.524153       0.261953                 NaN            NaN            NaN            NaN            NaN
  1443.14        2500.00                 NaN   99.2193                 NaN            NaN            NaN            NaN  0.260290       0.520390                 NaN            NaN            NaN            NaN            NaN
  1441.63        2500.00                 NaN   99.2244                 NaN            NaN            NaN            NaN  0.257822       0.517804                 NaN            NaN            NaN            NaN            NaN
  1440.13        2500.00                 NaN   99.2288                 NaN            NaN            NaN            NaN  0.515196       0.256049                 NaN            NaN            NaN            NaN            NaN
  1438.63        2500.00                 NaN   99.2345                 NaN            NaN            NaN            NaN  0.254185       0.511283                 NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00                 NaN   99.2397                 NaN            NaN  0.336785E-004            NaN  0.252689       0.507618                 NaN            NaN            NaN            NaN            NaN
  1435.63        2500.00                 NaN   99.2439                 NaN            NaN            NaN            NaN  0.251006       0.505128                 NaN            NaN            NaN            NaN            NaN
  1434.12        2500.00                 NaN   99.2476                 NaN            NaN            NaN            NaN  0.502939       0.249432                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.2530                 NaN            NaN            NaN            NaN  0.499980       0.247050                 NaN            NaN            NaN            NaN            NaN
  1431.12        2500.00                 NaN   98.6146                 NaN            NaN            NaN            NaN  0.510351       0.567754       0.307293                 NaN            NaN            NaN            NaN
  1429.62        2500.00                 NaN   98.1357                 NaN            NaN            NaN            NaN  0.811468       0.509998       0.542830                 NaN            NaN            NaN            NaN
  1428.11        2500.00                 NaN   98.1678                 NaN            NaN            NaN            NaN  0.798425       0.500461       0.533337                 NaN            NaN            NaN            NaN
  1426.61        2500.00                 NaN   98.1698                 NaN            NaN  0.140222                 NaN  0.547726       0.588788       0.553472                 NaN            NaN            NaN            NaN
  1425.11        2500.00                 NaN   98.1931                 NaN            NaN  0.228894                 NaN  0.447883       0.571422       0.558725                 NaN            NaN            NaN            NaN
  1423.61        2500.00                 NaN   98.2210                 NaN            NaN  0.228468                 NaN  0.564124       0.435899       0.550534                 NaN            NaN            NaN            NaN
  1422.11        2500.00                 NaN   98.2511                 NaN            NaN  0.227349                 NaN  0.423562       0.556686       0.541285                 NaN            NaN            NaN            NaN
  1420.60        2500.00                 NaN   98.2794                 NaN            NaN  0.226456                 NaN  0.549525       0.411914       0.532688                 NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.3092                 NaN            NaN  0.224876                 NaN  0.541943       0.400351       0.523599                 NaN            NaN            NaN            NaN
  1417.60        2500.00                 NaN   98.3185                 NaN            NaN  0.225463                 NaN  0.538290       0.395955       0.521795                 NaN            NaN            NaN            NaN
  1416.10        2500.00                 NaN   98.3775                 NaN            NaN  0.222351                 NaN  0.373429       0.524283       0.502469                 NaN            NaN            NaN            NaN
  1414.59        2500.00                 NaN   98.3994                 NaN            NaN  0.220357                 NaN  0.366570       0.518517       0.495203                 NaN            NaN            NaN            NaN
  1413.09        2500.00                 NaN   98.4146                 NaN            NaN  0.220927                 NaN  0.514194       0.359011       0.491288                 NaN            NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.4420                 NaN            NaN  0.219661                 NaN  0.506445       0.349093       0.482824                 NaN            NaN            NaN            NaN
  1410.09        2500.00                 NaN   98.4671                 NaN            NaN  0.198412                 NaN  0.370028       0.492273       0.472155                 NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.4842                 NaN            NaN  0.239241                 NaN  0.504830       0.298709       0.473016                 NaN            NaN            NaN            NaN
  1407.08        2500.00                 NaN   98.5154                 NaN            NaN  0.216382                 NaN  0.486998       0.321115       0.460065                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.5342                 NaN            NaN  0.215867                 NaN  0.313320       0.482161       0.454409                 NaN            NaN            NaN            NaN
  1404.08        2500.00                 NaN   98.5562                 NaN            NaN  0.215295                 NaN  0.303567       0.477227       0.447666                 NaN            NaN            NaN            NaN
  1402.58        2500.00                 NaN   98.5788                 NaN            NaN  0.213831                 NaN  0.471653       0.295250       0.440438                 NaN            NaN            NaN            NaN
  1401.08        2500.00                 NaN   98.5994                 NaN            NaN  0.213094                 NaN  0.286981       0.466265       0.434302                 NaN            NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.6197                 NaN            NaN  0.212161                 NaN  0.279322       0.460982       0.427845                 NaN            NaN            NaN            NaN
  1398.07        2500.00                 NaN   98.6364                 NaN            NaN  0.251613                 NaN  0.208248       0.475518       0.428245                 NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.6630                 NaN            NaN  0.169044                 NaN  0.431153       0.328234       0.408613                 NaN            NaN            NaN            NaN
  1395.07        2500.00                 NaN   98.6774                 NaN            NaN  0.209604                 NaN  0.446164       0.256773       0.410048                 NaN            NaN            NaN            NaN
  1393.56        2500.00                 NaN   98.6973                 NaN            NaN  0.207895                 NaN  0.440596       0.250495       0.403712                 NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.7153                 NaN            NaN  0.207125                 NaN  0.436083       0.243520       0.398003                 NaN            NaN            NaN            NaN
  1390.56        2500.00                 NaN   98.7321                 NaN            NaN  0.206540                 NaN  0.431972       0.236476       0.392888                 NaN            NaN            NaN            NaN
  1389.06        2500.00                 NaN   98.7478                 NaN            NaN  0.205557                 NaN  0.231852       0.426602       0.388191                 NaN            NaN            NaN            NaN
  1387.56        2500.00                 NaN   98.7683                 NaN            NaN  0.203840                 NaN  0.424147       0.222557       0.381135                 NaN            NaN            NaN            NaN
  1386.05        2500.00                 NaN   98.7843                 NaN            NaN  0.202906                 NaN  0.418001       0.218503       0.376292                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.7989                 NaN            NaN  0.202437                 NaN  0.212210       0.414738       0.371737                 NaN            NaN            NaN            NaN
  1383.05        2500.00                 NaN   98.8164                 NaN            NaN  0.201459                 NaN  0.205880       0.409840       0.366438                 NaN            NaN            NaN            NaN
  1381.55        2500.00                 NaN   98.8314                 NaN            NaN  0.199979                 NaN  0.200575       0.406844       0.361198                 NaN            NaN            NaN            NaN
  1380.05        2500.00                 NaN   99.7841                 NaN            NaN  0.121641                 NaN            NaN            NaN  0.942255E-001            NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   97.9065                 NaN            NaN  0.275072                 NaN  0.804593       0.395952       0.617848                 NaN            NaN            NaN            NaN
  1377.04        2500.00                 NaN   98.8759                 NaN            NaN  0.195851                 NaN  0.394075       0.187166       0.347013                 NaN            NaN            NaN            NaN
  1375.54        2500.00                 NaN   98.8908                 NaN            NaN  0.195286                 NaN  0.180997       0.390504       0.342418                 NaN            NaN            NaN            NaN
  1374.04        2500.00                 NaN   98.8488                 NaN            NaN  0.725621E-001            NaN  0.339017       0.396607       0.343017                 NaN            NaN            NaN            NaN
  1372.53        2500.00                 NaN   98.9566                 NaN            NaN  0.297338                 NaN  0.415245                 NaN  0.330796                 NaN            NaN            NaN            NaN
  1371.03        2500.00                 NaN   98.9420                 NaN            NaN  0.210995                 NaN  0.116256       0.402154       0.328632                 NaN            NaN            NaN            NaN
  1369.53        2500.00                 NaN   98.9441                 NaN            NaN  0.190460                 NaN  0.163706       0.376553       0.325151                 NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   98.9572                 NaN            NaN  0.189392                 NaN  0.158433       0.373970       0.320986                 NaN            NaN            NaN            NaN
  1366.53        2500.00                 NaN   98.9703                 NaN            NaN  0.188238                 NaN  0.369408       0.155242       0.316813                 NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   98.9828                 NaN            NaN  0.186205                 NaN  0.365758       0.152704       0.312528                 NaN            NaN            NaN            NaN
  1363.52        2500.00                 NaN   98.9940                 NaN            NaN  0.183106                 NaN  0.151568       0.362716       0.308605                 NaN            NaN            NaN            NaN
  1362.02        2500.00                 NaN   99.0066                 NaN            NaN  0.185799                 NaN  0.360920       0.141630       0.305099                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.0183                 NaN            NaN  0.182390                 NaN  0.141917       0.356391       0.300970                 NaN            NaN            NaN            NaN
  1359.02        2500.00                 NaN   99.0297                 NaN            NaN  0.180781                 NaN  0.353337       0.139004       0.297220                 NaN            NaN            NaN            NaN
  1357.51        2500.00                 NaN   99.0366                 NaN            NaN  0.183954                 NaN  0.354527       0.128566       0.296359                 NaN            NaN            NaN            NaN
  1356.01        2500.00                 NaN   99.0601                 NaN            NaN  0.173624                 NaN  0.138127       0.341782       0.286379                 NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.0625                 NaN            NaN  0.176132                 NaN  0.343867       0.131176       0.286309                 NaN            NaN            NaN            NaN
  1353.01        2500.00                 NaN   99.0734                 NaN            NaN  0.174364                 NaN  0.128548       0.341023       0.282709                 NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.0837                 NaN            NaN  0.172769                 NaN  0.126262       0.337982       0.279264                 NaN            NaN            NaN            NaN
  1350.00        2500.00                 NaN   99.0939                 NaN            NaN  0.171081                 NaN  0.124196       0.334993       0.275791                 NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.1031                 NaN            NaN  0.169310                 NaN  0.332675       0.122227       0.272678                 NaN            NaN            NaN            NaN
  1347.00        2500.00                 NaN   99.1144                 NaN            NaN  0.167181                 NaN  0.328203       0.121308       0.268898                 NaN            NaN            NaN            NaN
  1345.50        2500.00                 NaN   99.1221                 NaN            NaN  0.166483                 NaN  0.118081       0.326930       0.266373                 NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN   99.1336                 NaN            NaN  0.162608                 NaN  0.321729       0.119877       0.262209                 NaN            NaN            NaN            NaN
  1342.49        2500.00                 NaN   99.1422                 NaN            NaN  0.161589                 NaN  0.116972       0.319744       0.259481                 NaN            NaN            NaN            NaN
  1340.99        2500.00                 NaN   99.1511                 NaN            NaN  0.159638                 NaN  0.317090       0.115711       0.256462                 NaN            NaN            NaN            NaN
  1339.49        2500.00                 NaN   99.1615                 NaN            NaN  0.159834                 NaN  0.315386       0.109960       0.253308                 NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.1691                 NaN            NaN  0.154116                 NaN  0.117190       0.309673       0.249893                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.1758                 NaN            NaN  0.154049                 NaN  0.112132       0.310225       0.247809                 NaN            NaN            NaN            NaN
  1334.98        2500.00                 NaN   99.1867                 NaN            NaN  0.151168                 NaN  0.304885       0.113110       0.244089                 NaN            NaN            NaN            NaN
  1333.48        2500.00                 NaN   99.1952                 NaN            NaN  0.149433                 NaN  0.112620       0.301374       0.241362                 NaN            NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.2031                 NaN            NaN  0.147506                 NaN  0.300694       0.110175       0.238480                 NaN            NaN            NaN            NaN
  1330.47        2500.00                 NaN   99.2116                 NaN            NaN  0.144806                 NaN  0.112093       0.295890       0.235601                 NaN            NaN            NaN            NaN
  1328.97        2500.00                 NaN   99.2179                 NaN            NaN  0.141970                 NaN  0.292877       0.113913       0.233315                 NaN            NaN            NaN            NaN
  1327.47        2500.00                 NaN   99.2274                 NaN            NaN  0.140435                 NaN  0.290572       0.111538       0.230022                 NaN            NaN            NaN            NaN
  1325.97        2500.00                 NaN   99.2346                 NaN            NaN  0.138140                 NaN  0.287280       0.112356       0.227602                 NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.2422                 NaN            NaN  0.135595                 NaN  0.283973       0.113330       0.224935                 NaN            NaN            NaN            NaN
  1322.96        2500.00                 NaN   99.2446                 NaN            NaN  0.133971                 NaN  0.118765       0.278066       0.224585                 NaN            NaN            NaN            NaN
  1321.46        2500.00                 NaN   99.2608                 NaN            NaN  0.130205                 NaN  0.114805       0.275580       0.218605                 NaN            NaN            NaN            NaN
  1319.96        2500.00                 NaN   99.2643                 NaN            NaN  0.130518                 NaN  0.280912       0.107151       0.217075                 NaN            NaN            NaN            NaN
  1318.46        2500.00                 NaN   99.2709                 NaN            NaN  0.123041                 NaN  0.123249       0.268523       0.214238                 NaN            NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.2770                 NaN            NaN  0.125298                 NaN  0.272100       0.112780       0.212831                 NaN            NaN            NaN            NaN
  1315.45        2500.00                 NaN   99.2847                 NaN            NaN  0.118943                 NaN  0.123504       0.263209       0.209672                 NaN            NaN            NaN            NaN
  1313.95        2500.00                 NaN   99.2911                 NaN            NaN  0.118488                 NaN  0.263031       0.119735       0.207656                 NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   82.7132                 NaN            NaN   1.44931                 NaN   3.04758       0.545624        2.22561        10.0186                 NaN            NaN            NaN
