|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/ALH/ALH_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1433.42        500.000        99.1890                 NaN            NaN            NaN  0.151499E-002  0.500073       0.309449                 NaN            NaN            NaN            NaN            NaN
  1432.09        500.000        99.1952                 NaN            NaN            NaN  0.146019E-002  0.496242       0.307143                 NaN            NaN            NaN            NaN            NaN
  1430.77        500.000        99.2006                 NaN            NaN            NaN  0.137873E-002  0.493298       0.304769                 NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.2074                 NaN            NaN            NaN  0.133408E-002  0.302218       0.489039                 NaN            NaN            NaN            NaN            NaN
  1428.12        500.000        99.2133                 NaN            NaN            NaN  0.127753E-002  0.485849       0.299596                 NaN            NaN            NaN            NaN            NaN
  1426.79        500.000        99.2185                 NaN            NaN            NaN  0.121181E-002  0.482688       0.297610                 NaN            NaN            NaN            NaN            NaN
  1425.47        500.000        99.2249                 NaN            NaN            NaN  0.115782E-002  0.479052       0.294892                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.2301                 NaN            NaN            NaN  0.110086E-002  0.475909       0.292867                 NaN            NaN            NaN            NaN            NaN
  1422.81        500.000        99.2368                 NaN            NaN            NaN  0.105237E-002  0.471772       0.290407                 NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        99.2413                 NaN            NaN            NaN  0.101052E-002  0.469417       0.288240                 NaN            NaN            NaN            NaN            NaN
  1420.16        500.000        99.2452                 NaN            NaN            NaN  0.949879E-003  0.467154       0.286698                 NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.2535                 NaN            NaN            NaN  0.892284E-003  0.283847       0.461803                 NaN            NaN            NaN            NaN            NaN
  1417.51        500.000        99.2582                 NaN            NaN            NaN  0.849666E-003  0.281734       0.459251                 NaN            NaN            NaN            NaN            NaN
  1416.19        500.000        99.2624                 NaN            NaN            NaN  0.807776E-003  0.457128       0.279700                 NaN            NaN            NaN            NaN            NaN
  1414.86        500.000        99.0870                 NaN            NaN            NaN  0.439775E-003  0.477064       0.354944                 NaN  0.805348E-001            NaN            NaN            NaN
  1413.54        500.000        98.1388                 NaN            NaN            NaN  0.121880E-002  0.763311       0.589219                 NaN  0.507415                 NaN            NaN            NaN
  1412.21        500.000        98.1663                 NaN            NaN            NaN            NaN  0.583183       0.750602                 NaN  0.499939                 NaN            NaN            NaN
  1410.89        500.000        98.1936                 NaN            NaN            NaN            NaN  0.575001       0.738976                 NaN  0.492401                 NaN            NaN            NaN
  1409.56        500.000        98.2258                 NaN            NaN            NaN            NaN  0.725707       0.565000                 NaN  0.483524                 NaN            NaN            NaN
  1408.24        500.000        98.2540                 NaN            NaN            NaN            NaN  0.556167       0.714024                 NaN  0.475852                 NaN            NaN            NaN
  1406.91        500.000        98.2777                 NaN            NaN            NaN            NaN  0.704161       0.548915                 NaN  0.469189                 NaN            NaN            NaN
  1405.58        500.000        98.3065                 NaN            NaN            NaN            NaN  0.692230       0.540015                 NaN  0.461259                 NaN            NaN            NaN
  1404.26        500.000        98.3304                 NaN            NaN            NaN            NaN  0.532012       0.683001                 NaN  0.454583                 NaN            NaN            NaN
  1402.93        500.000        98.3572                 NaN            NaN            NaN            NaN  0.671333       0.524324                 NaN  0.447193                 NaN            NaN            NaN
  1401.61        500.000        98.3805                 NaN            NaN            NaN            NaN  0.517021       0.661778                 NaN  0.440683                 NaN            NaN            NaN
  1400.28        500.000        98.4009                 NaN            NaN            NaN            NaN  0.653280       0.510823                 NaN  0.435003                 NaN            NaN            NaN
  1398.96        500.000        98.4290                 NaN            NaN            NaN            NaN  0.501966       0.641903                 NaN  0.427102                 NaN            NaN            NaN
  1397.63        500.000        98.4488                 NaN            NaN            NaN            NaN  0.634139       0.495447                 NaN  0.421607                 NaN            NaN            NaN
  1396.31        500.000        98.4700                 NaN            NaN            NaN            NaN  0.625153       0.489131                 NaN  0.415724                 NaN            NaN            NaN
  1394.98        500.000        98.4912                 NaN            NaN            NaN            NaN  0.482113       0.616822                 NaN  0.409851                 NaN            NaN            NaN
  1393.66        500.000        98.5109                 NaN            NaN            NaN            NaN  0.476131       0.608627                 NaN  0.404313                 NaN            NaN            NaN
  1392.33        500.000        98.5328                 NaN            NaN            NaN            NaN  0.600088       0.469009                 NaN  0.398132                 NaN            NaN            NaN
  1391.00        500.000        98.5520                 NaN            NaN            NaN            NaN  0.462970       0.592298                 NaN  0.392757                 NaN            NaN            NaN
  1389.68        500.000        98.5653                 NaN            NaN            NaN            NaN  0.588813       0.456969                 NaN  0.388938                 NaN            NaN            NaN
  1388.35        500.000        98.5939                 NaN            NaN            NaN            NaN  0.450126       0.575272                 NaN  0.380701                 NaN            NaN            NaN
  1387.03        500.000        98.6078                 NaN            NaN            NaN            NaN  0.570404       0.444679                 NaN  0.377085                 NaN            NaN            NaN
  1385.70        500.000        98.6237                 NaN            NaN            NaN            NaN  0.440304       0.563466                 NaN  0.372522                 NaN            NaN            NaN
  1384.38        500.000        98.6413                 NaN            NaN            NaN            NaN  0.434350       0.556818                 NaN  0.367526                 NaN            NaN            NaN
  1383.05        500.000        98.6589                 NaN            NaN            NaN            NaN  0.549954       0.428485                 NaN  0.362631                 NaN            NaN            NaN
  1381.73        500.000        98.6743                 NaN            NaN            NaN            NaN  0.423300       0.544056                 NaN  0.358348                 NaN            NaN            NaN
  1380.40        500.000        98.6917                 NaN            NaN            NaN            NaN  0.417573       0.537361                 NaN  0.353340                 NaN            NaN            NaN
  1379.08        500.000        98.7064                 NaN            NaN            NaN            NaN  0.531069       0.413345                 NaN  0.349231                 NaN            NaN            NaN
  1377.75        500.000        98.7217                 NaN            NaN            NaN            NaN  0.407969       0.525484                 NaN  0.344823                 NaN            NaN            NaN
  1376.42        500.000        98.7366                 NaN            NaN            NaN            NaN  0.519555       0.403113                 NaN  0.340696                 NaN            NaN            NaN
  1375.10        500.000        98.7502                 NaN            NaN            NaN            NaN  0.398619       0.514524                 NaN  0.336660                 NaN            NaN            NaN
  1373.77        500.000        98.7666                 NaN            NaN            NaN            NaN  0.393072       0.508248                 NaN  0.332088                 NaN            NaN            NaN
  1372.45        500.000        98.7790                 NaN            NaN            NaN            NaN  0.389200       0.503023                 NaN  0.328773                 NaN            NaN            NaN
  1371.12        500.000        98.7919                 NaN            NaN            NaN            NaN  0.384985       0.498264                 NaN  0.324841                 NaN            NaN            NaN
  1369.80        500.000        98.8078                 NaN            NaN            NaN            NaN  0.492594       0.379375                 NaN  0.320242                 NaN            NaN            NaN
  1368.47        500.000        98.8170                 NaN            NaN            NaN            NaN  0.488152       0.376969                 NaN  0.317892                 NaN            NaN            NaN
  1367.15        500.000        98.8333                 NaN            NaN            NaN            NaN  0.370827       0.482874                 NaN  0.312990                 NaN            NaN            NaN
  1365.82        500.000        98.8441                 NaN            NaN            NaN            NaN  0.478915       0.367074                 NaN  0.309870                 NaN            NaN            NaN
  1364.50        500.000        98.8558                 NaN            NaN            NaN            NaN  0.474620       0.362983                 NaN  0.306551                 NaN            NaN            NaN
  1363.17        500.000        98.8679                 NaN            NaN            NaN            NaN  0.469920       0.359063                 NaN  0.303077                 NaN            NaN            NaN
  1361.84        500.000        98.8796                 NaN            NaN            NaN            NaN  0.465840       0.354817                 NaN  0.299715                 NaN            NaN            NaN
  1360.52        500.000        98.8904                 NaN            NaN            NaN            NaN  0.461509       0.351513                 NaN  0.296594                 NaN            NaN            NaN
  1359.19        500.000        98.9017                 NaN            NaN            NaN            NaN  0.457958       0.347046                 NaN  0.293258                 NaN            NaN            NaN
  1357.87        500.000        98.9125                 NaN            NaN            NaN            NaN  0.453740       0.343569                 NaN  0.290241                 NaN            NaN            NaN
  1356.54        500.000        98.9227                 NaN            NaN            NaN            NaN  0.340259       0.449730                 NaN  0.287286                 NaN            NaN            NaN
  1355.22        500.000        98.9335                 NaN            NaN            NaN            NaN  0.446043       0.336333                 NaN  0.284152                 NaN            NaN            NaN
  1353.89        500.000        98.9431                 NaN            NaN            NaN            NaN  0.442661       0.332896                 NaN  0.281334                 NaN            NaN            NaN
  1352.57        500.000        98.9534                 NaN            NaN            NaN            NaN  0.329193       0.439041                 NaN  0.278385                 NaN            NaN            NaN
  1351.24        500.000        98.9613                 NaN            NaN            NaN            NaN  0.327013       0.435752                 NaN  0.275954                 NaN            NaN            NaN
  1349.92        500.000        98.9730                 NaN            NaN            NaN            NaN  0.322006       0.432357                 NaN  0.272661                 NaN            NaN            NaN
  1348.59        500.000        98.9820                 NaN            NaN            NaN            NaN  0.319029       0.428813                 NaN  0.270114                 NaN            NaN            NaN
  1347.26        500.000        98.9898                 NaN            NaN            NaN            NaN  0.426427       0.315994                 NaN  0.267809                 NaN            NaN            NaN
  1345.94        500.000        99.0004                 NaN            NaN            NaN            NaN  0.312102       0.422733                 NaN  0.264743                 NaN            NaN            NaN
  1344.61        500.000        99.0072                 NaN            NaN            NaN            NaN  0.421039       0.309102                 NaN  0.262640                 NaN            NaN            NaN
  1343.29        500.000        99.0176                 NaN            NaN            NaN            NaN  0.417156       0.305621                 NaN  0.259670                 NaN            NaN            NaN
  1341.96        500.000        99.0251                 NaN            NaN            NaN            NaN  0.302525       0.414740                 NaN  0.257622                 NaN            NaN            NaN
  1340.64        500.000        99.0294                 NaN            NaN            NaN            NaN  0.412392       0.301658                 NaN  0.256522                 NaN            NaN            NaN
  1339.31        500.000        99.0458                 NaN            NaN            NaN            NaN  0.295736       0.407082                 NaN  0.251334                 NaN            NaN            NaN
  1337.99        500.000        99.0483                 NaN            NaN            NaN            NaN  0.294263       0.406871                 NaN  0.250568                 NaN            NaN            NaN
  1336.66        500.000        99.0558                 NaN            NaN            NaN            NaN  0.291324       0.404295                 NaN  0.248603                 NaN            NaN            NaN
  1335.34        500.000        99.0645                 NaN            NaN            NaN            NaN  0.287944       0.401634                 NaN  0.245913                 NaN            NaN            NaN
  1334.01        500.000        99.0715                 NaN            NaN            NaN            NaN  0.285436       0.399154                 NaN  0.243864                 NaN            NaN            NaN
  1332.69        500.000        99.0789                 NaN            NaN            NaN            NaN  0.396684       0.282646                 NaN  0.241810                 NaN            NaN            NaN
  1331.36        500.000        99.0854                 NaN            NaN            NaN            NaN  0.279900       0.394885                 NaN  0.239830                 NaN            NaN            NaN
  1330.03        500.000        99.0918                 NaN            NaN            NaN            NaN  0.277077       0.393174                 NaN  0.237941                 NaN            NaN            NaN
  1328.71        500.000        99.0641                 NaN            NaN            NaN            NaN  0.266840       0.422593                 NaN  0.246469                 NaN            NaN            NaN
  1327.38        500.000        99.1381                 NaN            NaN            NaN            NaN  0.359187       0.278606                 NaN  0.224061                 NaN            NaN            NaN
  1326.06        500.000        99.1121                 NaN            NaN            NaN            NaN  0.268732       0.387184                 NaN  0.231986                 NaN            NaN            NaN
  1324.73        500.000        99.1182                 NaN            NaN            NaN            NaN  0.266173       0.385362                 NaN  0.230230                 NaN            NaN            NaN
  1323.41        500.000        99.1242                 NaN            NaN            NaN            NaN  0.263432       0.383897                 NaN  0.228483                 NaN            NaN            NaN
  1322.08        500.000        99.1305                 NaN            NaN            NaN            NaN  0.260540       0.382355                 NaN  0.226619                 NaN            NaN            NaN
  1320.76        500.000        99.1356                 NaN            NaN            NaN            NaN  0.258243       0.381059                 NaN  0.225065                 NaN            NaN            NaN
  1319.43        500.000        99.1416                 NaN            NaN            NaN            NaN  0.256298       0.378691                 NaN  0.223459                 NaN            NaN            NaN
  1318.11        500.000        99.1483                 NaN            NaN            NaN            NaN  0.253067       0.377233                 NaN  0.221421                 NaN            NaN            NaN
  1316.78        500.000        99.1530                 NaN            NaN            NaN            NaN  0.376555       0.250372                 NaN  0.220037                 NaN            NaN            NaN
  1315.45        500.000        99.1586                 NaN            NaN            NaN            NaN  0.374976       0.248015                 NaN  0.218420                 NaN            NaN            NaN
  1314.13        500.000        99.1633                 NaN            NaN            NaN            NaN  0.244947       0.374742                 NaN  0.217009                 NaN            NaN            NaN
  1312.80        500.000        99.1687                 NaN            NaN            NaN            NaN  0.242624       0.373086                 NaN  0.215556                 NaN            NaN            NaN
  1311.48        500.000        99.1744                 NaN            NaN            NaN            NaN  0.239781       0.371970                 NaN  0.213822                 NaN            NaN            NaN
  1310.15        500.000        99.1790                 NaN            NaN            NaN            NaN  0.371262       0.237213                 NaN  0.212561                 NaN            NaN            NaN
  1308.83        500.000        99.1843                 NaN            NaN            NaN            NaN  0.234020       0.370600                 NaN  0.211062                 NaN            NaN            NaN
  1307.50        500.000        99.1894                 NaN            NaN            NaN            NaN  0.369247       0.231641                 NaN  0.209673                 NaN            NaN            NaN
  1306.18        500.000        99.1929                 NaN            NaN            NaN            NaN  0.228917       0.369648                 NaN  0.208527                 NaN            NaN            NaN
  1304.85        500.000        99.1973                 NaN            NaN            NaN            NaN  0.368820       0.226590                 NaN  0.207296                 NaN            NaN            NaN
  1303.53        500.000        99.2008                 NaN            NaN            NaN            NaN  0.369509       0.223473                 NaN  0.206193                 NaN            NaN            NaN
  1302.20        500.000        99.2071                 NaN            NaN            NaN            NaN  0.368843       0.219495                 NaN  0.204598                 NaN            NaN            NaN
  1300.87        500.000        99.2107                 NaN            NaN            NaN            NaN  0.368103       0.217651                 NaN  0.203536                 NaN            NaN            NaN
  1299.55        500.000        99.2150                 NaN  0.210783E-005            NaN            NaN  0.368120       0.214568                 NaN  0.202307                 NaN            NaN            NaN
  1298.22        500.000        99.1723                 NaN            NaN            NaN            NaN  0.272882       0.308949                 NaN  0.210472       0.353963E-001            NaN            NaN
  1296.90        500.000        99.1671                 NaN  0.553324E-001            NaN            NaN  0.356810       0.153176                 NaN  0.215816       0.517446E-001            NaN            NaN
  1295.57        500.000        99.1757                 NaN  0.132880                 NaN            NaN  0.417495                 NaN            NaN  0.220922       0.530175E-001            NaN            NaN
  1294.25        500.000        99.1857                 NaN  0.131911                 NaN            NaN  0.411950                 NaN            NaN  0.218303       0.521531E-001            NaN            NaN
  1292.92        500.000        99.1940                 NaN  0.129222                 NaN            NaN  0.409578                 NaN            NaN  0.215927       0.512343E-001            NaN            NaN
  1291.60        500.000        99.2049                 NaN  0.129104                 NaN            NaN  0.402669                 NaN            NaN  0.212953       0.503651E-001            NaN            NaN
  1290.27        500.000        99.2122                 NaN  0.126198                 NaN            NaN  0.401285                 NaN            NaN  0.210888       0.494519E-001            NaN            NaN
  1288.95        500.000        99.2214                 NaN  0.124032                 NaN            NaN  0.397744                 NaN            NaN  0.208250       0.486175E-001            NaN            NaN
  1287.62        500.000        99.2308                 NaN  0.122614                 NaN            NaN  0.393196                 NaN            NaN  0.205655       0.477200E-001            NaN            NaN
  1286.29        500.000        99.2390                 NaN  0.120751                 NaN            NaN  0.389941                 NaN            NaN  0.203428       0.469123E-001            NaN            NaN
  1284.97        500.000        99.2469                 NaN  0.119361                 NaN            NaN  0.386325                 NaN            NaN  0.201253       0.461480E-001            NaN            NaN
  1283.64        500.000        99.2549                 NaN  0.116294                 NaN            NaN  0.384852                 NaN            NaN  0.198701       0.452143E-001            NaN            NaN
  1282.32        500.000        99.2293                 NaN  0.124319                 NaN            NaN  0.392067                 NaN            NaN  0.207473       0.468263E-001            NaN            NaN
  1280.99        500.000        99.3006                 NaN  0.102129                 NaN            NaN  0.371905                 NaN            NaN  0.183709       0.416352E-001            NaN            NaN
  1279.67        500.000        99.2791                 NaN  0.110242                 NaN            NaN  0.375804                 NaN            NaN  0.192056       0.428247E-001            NaN            NaN
  1278.34        500.000        99.2865                 NaN  0.108410                 NaN            NaN  0.373129                 NaN            NaN  0.189930       0.420482E-001            NaN            NaN
  1277.02        500.000        92.5342                 NaN  0.396988                 NaN            NaN   1.87188                 NaN            NaN  0.952146       0.272495        3.97229                 NaN
  1275.69        500.000        88.6661                 NaN  0.502495                 NaN            NaN   2.80604                 NaN            NaN   1.38498       0.394855        6.24554                 NaN
  1274.37        500.000        89.7897                 NaN  0.397710                 NaN            NaN   2.62196                 NaN            NaN   1.25475       0.348202        5.58773                 NaN
  1273.04        500.000        90.7126                 NaN  0.317312                 NaN            NaN   2.46123                 NaN            NaN   1.14738       0.310530        5.05098                 NaN
  1271.71        500.000        91.4930                 NaN  0.262736                 NaN            NaN   2.30644                 NaN            NaN   1.05610       0.279953        4.60177                 NaN
  1270.39        500.000        92.1538                 NaN  0.207437                 NaN            NaN   2.18521                 NaN            NaN  0.978737       0.253457        4.22131                 NaN
  1269.06        500.000        92.7243                 NaN  0.162648                 NaN            NaN   2.07519                 NaN            NaN  0.911548       0.230982        3.89534                 NaN
  1267.74        500.000        93.2255                 NaN  0.154360                 NaN            NaN   1.93952                 NaN            NaN  0.851707       0.213717        3.61521                 NaN
  1266.41        500.000        93.6652                 NaN  0.149533                 NaN            NaN   1.81665                 NaN            NaN  0.798897       0.198827        3.37093                 NaN
  1265.09        500.000        94.0478                 NaN  0.117178                 NaN            NaN   1.74358                 NaN            NaN  0.753260       0.183759        3.15441                 NaN
  1263.76        500.000        94.3934                 NaN  0.110685                 NaN            NaN   1.64908                 NaN            NaN  0.711442       0.171864        2.96355                 NaN
  1262.44        500.000        94.7005                 NaN  0.109252                 NaN            NaN   1.55975                 NaN            NaN  0.673995       0.161684        2.79484                 NaN
  1261.11        500.000        94.9770                 NaN  0.100651                 NaN            NaN   1.48761                 NaN            NaN  0.640235       0.151921        2.64258                 NaN
  1259.79        500.000        95.2277                 NaN  0.865008E-001            NaN            NaN   1.42910                 NaN            NaN  0.609589       0.142681        2.50446                 NaN
  1258.46        500.000        95.4540                 NaN  0.863056E-001            NaN            NaN   1.36171                 NaN            NaN  0.581528       0.135142        2.38129                 NaN
  1257.14        500.000        95.6623                 NaN  0.858072E-001            NaN            NaN   1.29940                 NaN            NaN  0.555475       0.128225        2.26879                 NaN
  1255.81        500.000        95.8521                 NaN  0.795638E-001            NaN            NaN   1.24935                 NaN            NaN  0.531760       0.121487        2.16572                 NaN
  1254.48        500.000        96.0265                 NaN  0.710540E-001            NaN            NaN   1.20642                 NaN            NaN  0.509893       0.115113        2.07100                 NaN
