|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/ALH/ALH_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1499.69        500.000        99.5700       0.429977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.5085       0.192290       0.128085E-002            NaN            NaN  0.297963                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.4598       0.180280E-001            NaN            NaN            NaN  0.522174                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4674       0.164575E-001            NaN            NaN            NaN  0.516177                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.4653       0.458026E-001            NaN            NaN            NaN  0.488890                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4657                 NaN            NaN            NaN            NaN  0.534342                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.4430                 NaN            NaN            NaN            NaN  0.556996                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4927       0.101474E-002            NaN            NaN            NaN  0.506324                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.4726       0.119847                 NaN            NaN            NaN  0.407508                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.4702                 NaN            NaN            NaN            NaN  0.529813                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.4274                 NaN            NaN            NaN            NaN  0.572582                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.5916       0.125572                 NaN            NaN            NaN  0.282858                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.3860       0.738635E-002            NaN            NaN            NaN  0.606565                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.4739                 NaN            NaN            NaN            NaN  0.526062                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.4736                 NaN            NaN            NaN            NaN  0.526401                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.4682                 NaN            NaN            NaN            NaN  0.531805                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.4660                 NaN            NaN            NaN            NaN  0.534016                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.4692       0.887898E-001            NaN            NaN            NaN  0.442013                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.4261                 NaN            NaN            NaN            NaN  0.573944                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.7097                 NaN            NaN            NaN            NaN  0.290316                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.2361                 NaN            NaN            NaN            NaN  0.763915                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.4534                 NaN            NaN            NaN            NaN  0.546636                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.53        500.000        99.4489                 NaN            NaN            NaN            NaN  0.551117                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.21        500.000        99.2096                 NaN            NaN            NaN            NaN  0.401411       0.389038                 NaN            NaN            NaN            NaN            NaN
  1467.88        500.000        99.1305                 NaN            NaN            NaN            NaN  0.539597       0.329917                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000        99.1386                 NaN            NaN            NaN            NaN  0.326365       0.534994                 NaN            NaN            NaN            NaN            NaN
  1465.23        500.000        99.1456                 NaN            NaN            NaN            NaN  0.323162       0.531209                 NaN            NaN            NaN            NaN            NaN
  1463.90        500.000        99.1521                 NaN            NaN            NaN  0.369372E-002  0.326484       0.517743                 NaN            NaN            NaN            NaN            NaN
  1462.58        500.000        99.1627                 NaN            NaN            NaN            NaN  0.520359       0.316961                 NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        99.1700                 NaN            NaN            NaN            NaN  0.314357       0.515645                 NaN            NaN            NaN            NaN            NaN
  1459.93        500.000        99.1772                 NaN            NaN            NaN  0.115306E-002  0.508390       0.313217                 NaN            NaN            NaN            NaN            NaN
  1458.60        500.000        99.1861                 NaN            NaN            NaN            NaN  0.505724       0.308181                 NaN            NaN            NaN            NaN            NaN
  1457.28        500.000        99.9943                 NaN            NaN            NaN  0.872130E-005  0.567474E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        98.4006                 NaN            NaN            NaN  0.256598E-002  0.991552       0.605326                 NaN            NaN            NaN            NaN            NaN
  1454.63        500.000        99.2068                 NaN            NaN            NaN  0.168175E-002  0.302427       0.489046                 NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.2156                 NaN            NaN            NaN  0.163740E-002  0.483713       0.299030                 NaN            NaN            NaN            NaN            NaN
  1451.97        500.000        99.2216                 NaN            NaN            NaN  0.158402E-002  0.296328       0.480450                 NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.2296                 NaN            NaN            NaN  0.153777E-002  0.475480       0.293418                 NaN            NaN            NaN            NaN            NaN
  1449.32        500.000        99.1502                 NaN            NaN            NaN  0.164751E-002  0.524631       0.323495                 NaN            NaN            NaN            NaN            NaN
  1448.00        500.000        99.6108                 NaN            NaN            NaN  0.745485E-003  0.240403       0.148096                 NaN            NaN            NaN            NaN            NaN
  1446.67        500.000        98.9666                 NaN            NaN            NaN  0.193837E-002  0.638064       0.393447                 NaN            NaN            NaN            NaN            NaN
  1445.35        500.000        99.2545                 NaN            NaN            NaN  0.136036E-002  0.461216       0.282949                 NaN            NaN            NaN            NaN            NaN
  1444.02        500.000        99.2639                 NaN            NaN            NaN  0.130380E-002  0.279933       0.454870                 NaN            NaN            NaN            NaN            NaN
  1442.70        500.000        99.2689                 NaN            NaN            NaN  0.125932E-002  0.452030       0.277797                 NaN            NaN            NaN            NaN            NaN
  1441.37        500.000        99.2753                 NaN            NaN            NaN  0.120509E-002  0.275176       0.448278                 NaN            NaN            NaN            NaN            NaN
  1440.05        500.000        99.2821                 NaN            NaN            NaN  0.117150E-002  0.444209       0.272530                 NaN            NaN            NaN            NaN            NaN
  1438.72        500.000        99.2883                 NaN            NaN            NaN  0.111938E-002  0.440530       0.270046                 NaN            NaN            NaN            NaN            NaN
  1437.39        500.000        99.2945                 NaN            NaN            NaN  0.108367E-002  0.267678       0.436740                 NaN            NaN            NaN            NaN            NaN
  1436.07        500.000        99.2991                 NaN            NaN            NaN  0.103939E-002  0.434305       0.265588                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000        99.3069                 NaN            NaN            NaN  0.994495E-003  0.262871       0.429238                 NaN            NaN            NaN            NaN            NaN
  1433.42        500.000        99.3119                 NaN            NaN            NaN  0.959538E-003  0.426579       0.260611                 NaN            NaN            NaN            NaN            NaN
  1432.09        500.000        99.3175                 NaN            NaN            NaN  0.925007E-003  0.423093       0.258496                 NaN            NaN            NaN            NaN            NaN
  1430.77        500.000        99.3225                 NaN            NaN            NaN  0.873403E-003  0.420331       0.256300                 NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.3287                 NaN            NaN            NaN  0.845436E-003  0.253988       0.416503                 NaN            NaN            NaN            NaN            NaN
  1428.12        500.000        99.3340                 NaN            NaN            NaN  0.809719E-003  0.413549       0.251608                 NaN            NaN            NaN            NaN            NaN
  1426.79        500.000        99.3388                 NaN            NaN            NaN  0.768097E-003  0.410656       0.249760                 NaN            NaN            NaN            NaN            NaN
  1425.47        500.000        99.3447                 NaN            NaN            NaN  0.734132E-003  0.407304       0.247306                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3494                 NaN            NaN            NaN  0.698261E-003  0.404436       0.245453                 NaN            NaN            NaN            NaN            NaN
  1422.81        500.000        99.3554                 NaN            NaN            NaN  0.667526E-003  0.400680       0.243204                 NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        99.3597                 NaN            NaN            NaN  0.641177E-003  0.398455       0.241239                 NaN            NaN            NaN            NaN            NaN
  1420.16        500.000        99.3633                 NaN            NaN            NaN  0.602983E-003  0.396335       0.239770                 NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3707                 NaN            NaN            NaN  0.566342E-003  0.237186       0.391569                 NaN            NaN            NaN            NaN            NaN
  1417.51        500.000        99.3750                 NaN            NaN            NaN  0.539395E-003  0.235267       0.389175                 NaN            NaN            NaN            NaN            NaN
  1416.19        500.000        99.3790                 NaN            NaN            NaN  0.512909E-003  0.387143       0.233393                 NaN            NaN            NaN            NaN            NaN
  1414.86        500.000        99.2170                 NaN            NaN            NaN  0.279288E-003  0.403854       0.296010                 NaN  0.828337E-001            NaN            NaN            NaN
  1413.54        500.000        98.3421                 NaN            NaN            NaN  0.773966E-003  0.636363       0.498726                 NaN  0.522079                 NaN            NaN            NaN
  1412.21        500.000        98.3676                 NaN            NaN            NaN            NaN  0.493170       0.625056                 NaN  0.514161                 NaN            NaN            NaN
  1410.89        500.000        98.3934                 NaN            NaN            NaN            NaN  0.485789       0.614669                 NaN  0.506185                 NaN            NaN            NaN
  1409.56        500.000        98.4233                 NaN            NaN            NaN            NaN  0.602978       0.476925                 NaN  0.496834                 NaN            NaN            NaN
  1408.24        500.000        98.4496                 NaN            NaN            NaN            NaN  0.469052       0.592652                 NaN  0.488727                 NaN            NaN            NaN
  1406.91        500.000        98.4721                 NaN            NaN            NaN            NaN  0.583738       0.462454                 NaN  0.481665                 NaN            NaN            NaN
  1405.58        500.000        98.4989                 NaN            NaN            NaN            NaN  0.573255       0.454569                 NaN  0.473302                 NaN            NaN            NaN
  1404.26        500.000        98.5214                 NaN            NaN            NaN            NaN  0.447419       0.564914                 NaN  0.466232                 NaN            NaN            NaN
  1402.93        500.000        98.5464                 NaN            NaN            NaN            NaN  0.554678       0.440534                 NaN  0.458434                 NaN            NaN            NaN
  1401.61        500.000        98.5683                 NaN            NaN            NaN            NaN  0.433955       0.546173                 NaN  0.451543                 NaN            NaN            NaN
  1400.28        500.000        98.5876                 NaN            NaN            NaN            NaN  0.538529       0.428337                 NaN  0.445507                 NaN            NaN            NaN
  1398.96        500.000        98.6137                 NaN            NaN            NaN            NaN  0.420534       0.528590                 NaN  0.437197                 NaN            NaN            NaN
  1397.63        500.000        98.6324                 NaN            NaN            NaN            NaN  0.521572       0.414667                 NaN  0.431360                 NaN            NaN            NaN
  1396.31        500.000        98.6523                 NaN            NaN            NaN            NaN  0.513607       0.408971                 NaN  0.425128                 NaN            NaN            NaN
  1394.98        500.000        98.6722                 NaN            NaN            NaN            NaN  0.402693       0.506165                 NaN  0.418910                 NaN            NaN            NaN
  1393.66        500.000        98.6908                 NaN            NaN            NaN            NaN  0.397309       0.498872                 NaN  0.413038                 NaN            NaN            NaN
  1392.33        500.000        98.7111                 NaN            NaN            NaN            NaN  0.491343       0.391000                 NaN  0.406514                 NaN            NaN            NaN
  1391.00        500.000        98.7292                 NaN            NaN            NaN            NaN  0.385563       0.484412                 NaN  0.400817                 NaN            NaN            NaN
  1389.68        500.000        98.7421                 NaN            NaN            NaN            NaN  0.480914       0.380230                 NaN  0.396714                 NaN            NaN            NaN
  1388.35        500.000        98.7684                 NaN            NaN            NaN            NaN  0.374135       0.469405                 NaN  0.388103                 NaN            NaN            NaN
  1387.03        500.000        98.7816                 NaN            NaN            NaN            NaN  0.464908       0.369251                 NaN  0.384214                 NaN            NaN            NaN
  1385.70        500.000        98.7967                 NaN            NaN            NaN            NaN  0.365226       0.458695                 NaN  0.379362                 NaN            NaN            NaN
  1384.38        500.000        98.8132                 NaN            NaN            NaN            NaN  0.359920       0.452766                 NaN  0.374071                 NaN            NaN            NaN
  1383.05        500.000        98.8297                 NaN            NaN            NaN            NaN  0.446689       0.354708                 NaN  0.368888                 NaN            NaN            NaN
  1381.73        500.000        98.8442                 NaN            NaN            NaN            NaN  0.350058       0.441374                 NaN  0.364331                 NaN            NaN            NaN
  1380.40        500.000        98.8606                 NaN            NaN            NaN            NaN  0.344960       0.435449                 NaN  0.359040                 NaN            NaN            NaN
  1379.08        500.000        98.8744                 NaN            NaN            NaN            NaN  0.429875       0.341104                 NaN  0.354667                 NaN            NaN            NaN
  1377.75        500.000        98.8888                 NaN            NaN            NaN            NaN  0.336328       0.424836                 NaN  0.349995                 NaN            NaN            NaN
  1376.42        500.000        98.9028                 NaN            NaN            NaN            NaN  0.419584       0.331996                 NaN  0.345611                 NaN            NaN            NaN
  1375.10        500.000        98.9157                 NaN            NaN            NaN            NaN  0.327942       0.415019                 NaN  0.341323                 NaN            NaN            NaN
  1373.77        500.000        98.9310                 NaN            NaN            NaN            NaN  0.323056       0.409491                 NaN  0.336494                 NaN            NaN            NaN
  1372.45        500.000        98.9426                 NaN            NaN            NaN            NaN  0.319557       0.404849                 NaN  0.332944                 NaN            NaN            NaN
  1371.12        500.000        98.9550                 NaN            NaN            NaN            NaN  0.315730       0.400531                 NaN  0.328772                 NaN            NaN            NaN
  1369.80        500.000        98.9698                 NaN            NaN            NaN            NaN  0.395499       0.310797                 NaN  0.323928                 NaN            NaN            NaN
  1368.47        500.000        98.9786                 NaN            NaN            NaN            NaN  0.391491       0.308512                 NaN  0.321363                 NaN            NaN            NaN
  1367.15        500.000        98.9938                 NaN            NaN            NaN            NaN  0.303141       0.386810                 NaN  0.316220                 NaN            NaN            NaN
  1365.82        500.000        99.0042                 NaN            NaN            NaN            NaN  0.383192       0.299756                 NaN  0.312884                 NaN            NaN            NaN
  1364.50        500.000        99.0153                 NaN            NaN            NaN            NaN  0.379298       0.296095                 NaN  0.309348                 NaN            NaN            NaN
  1363.17        500.000        99.0266                 NaN            NaN            NaN            NaN  0.375121       0.292594                 NaN  0.305658                 NaN            NaN            NaN
  1361.84        500.000        99.0377                 NaN            NaN            NaN            NaN  0.371429       0.288817                 NaN  0.302085                 NaN            NaN            NaN
  1360.52        500.000        99.0479                 NaN            NaN            NaN            NaN  0.367552       0.285821                 NaN  0.298759                 NaN            NaN            NaN
  1359.19        500.000        99.0586                 NaN            NaN            NaN            NaN  0.364289       0.281880                 NaN  0.295218                 NaN            NaN            NaN
  1357.87        500.000        99.0687                 NaN            NaN            NaN            NaN  0.360521       0.278738                 NaN  0.292003                 NaN            NaN            NaN
  1356.54        500.000        99.0785                 NaN            NaN            NaN            NaN  0.275757       0.356919                 NaN  0.288852                 NaN            NaN            NaN
  1355.22        500.000        99.0886                 NaN            NaN            NaN            NaN  0.353577       0.272272                 NaN  0.285523                 NaN            NaN            NaN
  1353.89        500.000        99.0978                 NaN            NaN            NaN            NaN  0.350480       0.269184                 NaN  0.282517                 NaN            NaN            NaN
  1352.57        500.000        99.1075                 NaN            NaN            NaN            NaN  0.265905       0.347224                 NaN  0.279380                 NaN            NaN            NaN
  1351.24        500.000        99.1152                 NaN            NaN            NaN            NaN  0.263833       0.344201                 NaN  0.276767                 NaN            NaN            NaN
  1349.92        500.000        99.1261                 NaN            NaN            NaN            NaN  0.259502       0.341137                 NaN  0.273290                 NaN            NaN            NaN
  1348.59        500.000        99.1346                 NaN            NaN            NaN            NaN  0.256835       0.337960                 NaN  0.270565                 NaN            NaN            NaN
  1347.26        500.000        99.1422                 NaN            NaN            NaN            NaN  0.335651       0.254076                 NaN  0.268086                 NaN            NaN            NaN
  1345.94        500.000        99.1521                 NaN            NaN            NaN            NaN  0.250693       0.332398                 NaN  0.264846                 NaN            NaN            NaN
  1344.61        500.000        99.1588                 NaN            NaN            NaN            NaN  0.330639       0.247972                 NaN  0.262574                 NaN            NaN            NaN
  1343.29        500.000        99.1684                 NaN            NaN            NaN            NaN  0.327232       0.244933                 NaN  0.259437                 NaN            NaN            NaN
  1341.96        500.000        99.1757                 NaN            NaN            NaN            NaN  0.242157       0.324959                 NaN  0.257223                 NaN            NaN            NaN
  1340.64        500.000        99.1801                 NaN            NaN            NaN            NaN  0.322780       0.241210                 NaN  0.255959                 NaN            NaN            NaN
  1339.31        500.000        99.1950                 NaN            NaN            NaN            NaN  0.236165       0.318231                 NaN  0.250616                 NaN            NaN            NaN
  1337.99        500.000        99.1979                 NaN            NaN            NaN            NaN  0.234718       0.317670                 NaN  0.249690                 NaN            NaN            NaN
  1336.66        500.000        99.2050                 NaN            NaN            NaN            NaN  0.232111       0.315326                 NaN  0.247567                 NaN            NaN            NaN
  1335.34        500.000        99.2133                 NaN            NaN            NaN            NaN  0.229165       0.312847                 NaN  0.244726                 NaN            NaN            NaN
  1334.01        500.000        99.2200                 NaN            NaN            NaN            NaN  0.226899       0.310591                 NaN  0.242525                 NaN            NaN            NaN
  1332.69        500.000        99.2269                 NaN            NaN            NaN            NaN  0.308324       0.224425                 NaN  0.240321                 NaN            NaN            NaN
  1331.36        500.000        99.2333                 NaN            NaN            NaN            NaN  0.221979       0.306564                 NaN  0.238193                 NaN            NaN            NaN
  1330.03        500.000        99.2395                 NaN            NaN            NaN            NaN  0.219460       0.304878                 NaN  0.236158                 NaN            NaN            NaN
  1328.71        500.000        99.2174                 NaN            NaN            NaN            NaN  0.211014       0.327170                 NaN  0.244462                 NaN            NaN            NaN
  1327.38        500.000        99.2799                 NaN            NaN            NaN            NaN  0.277888       0.220166                 NaN  0.222067                 NaN            NaN            NaN
  1326.06        500.000        99.2589                 NaN            NaN            NaN            NaN  0.212100       0.299194                 NaN  0.229777                 NaN            NaN            NaN
  1324.73        500.000        99.2648                 NaN            NaN            NaN            NaN  0.209836       0.297458                 NaN  0.227881                 NaN            NaN            NaN
  1323.41        500.000        99.2706                 NaN            NaN            NaN            NaN  0.207416       0.295974                 NaN  0.225996                 NaN            NaN            NaN
  1322.08        500.000        99.2766                 NaN            NaN            NaN            NaN  0.204901       0.294463                 NaN  0.223997                 NaN            NaN            NaN
  1320.76        500.000        99.2818                 NaN            NaN            NaN            NaN  0.202830       0.293109                 NaN  0.222307                 NaN            NaN            NaN
  1319.43        500.000        99.2874                 NaN            NaN            NaN            NaN  0.201072       0.290985                 NaN  0.220566                 NaN            NaN            NaN
  1318.11        500.000        99.2938                 NaN            NaN            NaN            NaN  0.198295       0.289544                 NaN  0.218401                 NaN            NaN            NaN
  1316.78        500.000        99.2985                 NaN            NaN            NaN            NaN  0.288692       0.195941                 NaN  0.216884                 NaN            NaN            NaN
  1315.45        500.000        99.3038                 NaN            NaN            NaN            NaN  0.287171       0.193866                 NaN  0.215138                 NaN            NaN            NaN
  1314.13        500.000        99.3085                 NaN            NaN            NaN            NaN  0.191216       0.286637                 NaN  0.213597                 NaN            NaN            NaN
  1312.80        500.000        99.3137                 NaN            NaN            NaN            NaN  0.189179       0.285086                 NaN  0.212016                 NaN            NaN            NaN
  1311.48        500.000        99.3192                 NaN            NaN            NaN            NaN  0.186730       0.283903                 NaN  0.210160                 NaN            NaN            NaN
  1310.15        500.000        99.3237                 NaN            NaN            NaN            NaN  0.283041       0.184503                 NaN  0.208771                 NaN            NaN            NaN
  1308.83        500.000        99.3288                 NaN            NaN            NaN            NaN  0.181796       0.282239                 NaN  0.207150                 NaN            NaN            NaN
  1307.50        500.000        99.3337                 NaN            NaN            NaN            NaN  0.280924       0.179733                 NaN  0.205638                 NaN            NaN            NaN
  1306.18        500.000        99.3374                 NaN            NaN            NaN            NaN  0.177371       0.280887                 NaN  0.204367                 NaN            NaN            NaN
  1304.85        500.000        99.3417                 NaN            NaN            NaN            NaN  0.279956       0.175342                 NaN  0.203012                 NaN            NaN            NaN
  1303.53        500.000        99.3453                 NaN            NaN            NaN            NaN  0.280165       0.172703                 NaN  0.201785                 NaN            NaN            NaN
  1302.20        500.000        99.3511                 NaN            NaN            NaN            NaN  0.279365       0.169452                 NaN  0.200076                 NaN            NaN            NaN
  1300.87        500.000        99.3548                 NaN            NaN            NaN            NaN  0.278517       0.167795                 NaN  0.198892                 NaN            NaN            NaN
  1299.55        500.000        99.3590                 NaN  0.140288E-005            NaN            NaN  0.278228       0.165201                 NaN  0.197545                 NaN            NaN            NaN
  1298.22        500.000        99.3314                 NaN            NaN            NaN            NaN  0.209824       0.233270                 NaN  0.205368       0.201578E-001            NaN            NaN
  1296.90        500.000        99.3339                 NaN  0.367133E-001            NaN            NaN  0.273987       0.115527                 NaN  0.210388       0.294402E-001            NaN            NaN
  1295.57        500.000        99.3466                 NaN  0.879912E-001            NaN            NaN  0.320095                 NaN            NaN  0.215137       0.301319E-001            NaN            NaN
  1294.25        500.000        99.3554                 NaN  0.871875E-001            NaN            NaN  0.315452                 NaN            NaN  0.212351       0.296072E-001            NaN            NaN
  1292.92        500.000        99.3628                 NaN  0.852718E-001            NaN            NaN  0.313112                 NaN            NaN  0.209808       0.290530E-001            NaN            NaN
  1291.60        500.000        99.3723                 NaN  0.850245E-001            NaN            NaN  0.307503                 NaN            NaN  0.206691       0.285281E-001            NaN            NaN
  1290.27        500.000        99.3787                 NaN  0.829435E-001            NaN            NaN  0.305934                 NaN            NaN  0.204463       0.279798E-001            NaN            NaN
  1288.95        500.000        99.3866                 NaN  0.813992E-001            NaN            NaN  0.302839                 NaN            NaN  0.201685       0.274773E-001            NaN            NaN
  1287.62        500.000        99.3948                 NaN  0.803137E-001            NaN            NaN  0.298956                 NaN            NaN  0.198957       0.269404E-001            NaN            NaN
  1286.29        500.000        99.4019                 NaN  0.789521E-001            NaN            NaN  0.296055                 NaN            NaN  0.196590       0.264554E-001            NaN            NaN
  1284.97        500.000        99.4089                 NaN  0.779046E-001            NaN            NaN  0.292921                 NaN            NaN  0.194280       0.259961E-001            NaN            NaN
  1283.64        500.000        99.4158                 NaN  0.757695E-001            NaN            NaN  0.291347                 NaN            NaN  0.191612       0.254425E-001            NaN            NaN
  1282.32        500.000        99.3968                 NaN  0.808719E-001            NaN            NaN  0.296171                 NaN            NaN  0.199863       0.263217E-001            NaN            NaN
  1280.99        500.000        99.4528                 NaN  0.663071E-001            NaN            NaN  0.280776                 NaN            NaN  0.176768       0.233765E-001            NaN            NaN
  1279.67        500.000        99.4366                 NaN  0.714598E-001            NaN            NaN  0.283298                 NaN            NaN  0.184618       0.240203E-001            NaN            NaN
  1278.34        500.000        99.4430                 NaN  0.701480E-001            NaN            NaN  0.280882                 NaN            NaN  0.182385       0.235598E-001            NaN            NaN
  1277.02        500.000        93.1367                 NaN  0.257348                 NaN            NaN   1.41249                 NaN            NaN  0.917938       0.153282        4.12229                 NaN
  1275.69        500.000        89.5042                 NaN  0.325350                 NaN            NaN   2.11606                 NaN            NaN   1.33781       0.222537        6.49404                 NaN
  1274.37        500.000        90.5698                 NaN  0.256307                 NaN            NaN   1.96844                 NaN            NaN   1.20984       0.195889        5.79975                 NaN
  1273.04        500.000        91.4436                 NaN  0.203624                 NaN            NaN   1.84015                 NaN            NaN   1.10443       0.174396        5.23383                 NaN
  1271.71        500.000        92.1815                 NaN  0.167891                 NaN            NaN   1.71812                 NaN            NaN   1.01490       0.156962        4.76059                 NaN
  1270.39        500.000        92.8053                 NaN  0.132030                 NaN            NaN   1.62168                 NaN            NaN  0.939050       0.141876        4.36008                 NaN
  1269.06        500.000        93.3429                 NaN  0.103135                 NaN            NaN   1.53454                 NaN            NaN  0.873217       0.129091        4.01716                 NaN
  1267.74        500.000        93.8158                 NaN  0.975187E-001            NaN            NaN   1.43030                 NaN            NaN  0.814624       0.119255        3.72253                 NaN
  1266.41        500.000        94.2303                 NaN  0.941367E-001            NaN            NaN   1.33625                 NaN            NaN  0.762923       0.110771        3.46564                 NaN
  1265.09        500.000        94.5898                 NaN  0.735269E-001            NaN            NaN   1.27816                 NaN            NaN  0.718232       0.102217        3.23808                 NaN
  1263.76        500.000        94.9147                 NaN  0.692230E-001            NaN            NaN   1.20577                 NaN            NaN  0.677314       0.954514E-001   3.03752                 NaN
  1262.44        500.000        95.2036                 NaN  0.681095E-001            NaN            NaN   1.13772                 NaN            NaN  0.640675       0.896574E-001   2.86022                 NaN
  1261.11        500.000        95.4632                 NaN  0.625519E-001            NaN            NaN   1.08221                 NaN            NaN  0.607645       0.841124E-001   2.70026                 NaN
  1259.79        500.000        95.6978                 NaN  0.535993E-001            NaN            NaN   1.03679                 NaN            NaN  0.577669       0.788732E-001   2.55522                 NaN
  1258.46        500.000        95.9104                 NaN  0.533211E-001            NaN            NaN  0.985616                 NaN            NaN  0.550231       0.745897E-001   2.42584                 NaN
  1257.14        500.000        96.1056                 NaN  0.528623E-001            NaN            NaN  0.938405                 NaN            NaN  0.524770       0.706616E-001   2.30771                 NaN
  1255.81        500.000        96.2832                 NaN  0.488797E-001            NaN            NaN  0.900018                 NaN            NaN  0.501591       0.668441E-001   2.19950                 NaN
