|6.6.6
Archiving\03_Data\eqfrac/QFM_m4/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1471.94        2500.00        99.2231                 NaN  0.521388       0.254577                 NaN            NaN            NaN  0.935197E-003            NaN            NaN            NaN            NaN
  1470.72        2500.00        99.2327                 NaN  0.524606       0.225442                 NaN            NaN  0.164343E-001  0.866541E-003            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.2378                 NaN  0.223210       0.521619                 NaN            NaN  0.165532E-001  0.829979E-003            NaN            NaN            NaN            NaN
  1468.26        2500.00        99.2419                 NaN  0.518816       0.222522                 NaN            NaN  0.159919E-001  0.797975E-003            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.2455                 NaN  0.222479       0.516078                 NaN            NaN  0.152070E-001  0.768136E-003            NaN            NaN            NaN            NaN
  1465.80        2500.00        99.2033                 NaN  0.235335       0.544695                 NaN            NaN  0.158914E-001  0.784160E-003            NaN            NaN            NaN            NaN
  1464.57        2500.00        99.3015                 NaN  0.206893       0.477532                 NaN            NaN  0.133955E-001  0.663218E-003            NaN            NaN            NaN            NaN
  1463.34        2500.00        99.1764                 NaN  0.276542       0.464426                 NaN            NaN  0.713718E-001  0.112629E-001            NaN            NaN            NaN            NaN
  1462.11        2500.00        99.3630                 NaN  0.109250       0.527791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.88        2500.00        99.2643                 NaN  0.497932       0.237747                 NaN            NaN  0.273248E-005            NaN            NaN            NaN            NaN            NaN
  1459.65        2500.00        99.2683                 NaN  0.235571       0.496131                 NaN            NaN  0.162767E-005            NaN            NaN            NaN            NaN            NaN
  1458.43        2500.00        99.2721                 NaN  0.235094       0.492766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.2759                 NaN  0.491095       0.233039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.97        2500.00        99.2820                 NaN  0.492048       0.216841                 NaN            NaN  0.907762E-002            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00        99.7809                 NaN  0.534521E-001  0.155314                 NaN            NaN  0.103432E-001            NaN            NaN            NaN            NaN            NaN
  1453.51        2500.00        98.7914                 NaN  0.823985       0.377585                 NaN            NaN  0.699005E-002            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.2924                 NaN  0.486409       0.211779                 NaN            NaN  0.937922E-002            NaN            NaN            NaN            NaN            NaN
  1451.05        2500.00        99.2958                 NaN  0.211036       0.484257                 NaN            NaN  0.888525E-002            NaN            NaN            NaN            NaN            NaN
  1449.82        2500.00        97.8904                 NaN  0.704043       0.450930                 NaN            NaN  0.230798                 NaN  0.723815                 NaN            NaN            NaN
  1448.59        2500.00        97.8595                 NaN  0.447576       0.705306                 NaN            NaN  0.240763                 NaN  0.746851                 NaN            NaN            NaN
  1447.36        2500.00        97.8953                 NaN  0.432930       0.697397                 NaN            NaN  0.239401                 NaN  0.734947                 NaN            NaN            NaN
  1446.14        2500.00        97.9279                 NaN  0.690265       0.418465                 NaN            NaN  0.238870                 NaN  0.724521                 NaN            NaN            NaN
  1444.91        2500.00        97.9658                 NaN  0.404058       0.680826                 NaN            NaN  0.237498                 NaN  0.711826                 NaN            NaN            NaN
  1443.68        2500.00        97.3232                 NaN  0.922793       0.486741                 NaN            NaN  0.324887                 NaN  0.942402                 NaN            NaN            NaN
  1442.45        2500.00        98.6628                 NaN  0.446946       0.277033                 NaN            NaN  0.148454                 NaN  0.464786                 NaN            NaN            NaN
  1441.22        2500.00        98.0627                 NaN  0.658297       0.361776                 NaN            NaN  0.236960                 NaN  0.680234                 NaN            NaN            NaN
  1439.99        2500.00        98.0940                 NaN  0.350938       0.651309                 NaN            NaN  0.234206                 NaN  0.669523                 NaN            NaN            NaN
  1438.76        2500.00        98.1239                 NaN  0.340644       0.643560                 NaN            NaN  0.232526                 NaN  0.659356                 NaN            NaN            NaN
  1437.53        2500.00        98.1532                 NaN  0.638339       0.326792                 NaN            NaN  0.232013                 NaN  0.649668                 NaN            NaN            NaN
  1436.30        2500.00        98.1820                 NaN  0.630614       0.316006                 NaN            NaN  0.231288                 NaN  0.640050                 NaN            NaN            NaN
  1435.07        2500.00        98.2084                 NaN  0.625657       0.304082                 NaN            NaN  0.230633                 NaN  0.631199                 NaN            NaN            NaN
  1433.84        2500.00        98.2350                 NaN  0.292572       0.620166                 NaN            NaN  0.229767                 NaN  0.622468                 NaN            NaN            NaN
  1432.62        2500.00        98.2605                 NaN  0.281433       0.614213                 NaN            NaN  0.229548                 NaN  0.614313                 NaN            NaN            NaN
  1431.39        2500.00        98.2887                 NaN  0.607864       0.271290                 NaN            NaN  0.227834                 NaN  0.604268                 NaN            NaN            NaN
  1430.16        2500.00        98.3098                 NaN  0.605294       0.259133                 NaN            NaN  0.228066                 NaN  0.597741                 NaN            NaN            NaN
  1428.93        2500.00        98.3391                 NaN  0.597100       0.250111                 NaN            NaN  0.226307                 NaN  0.587408                 NaN            NaN            NaN
  1427.70        2500.00        98.3547                 NaN  0.223607       0.600660                 NaN            NaN  0.236294                 NaN  0.584690                 NaN            NaN            NaN
  1426.47        2500.00        98.3864                 NaN  0.245638       0.583050                 NaN            NaN  0.215495                 NaN  0.569388                 NaN            NaN            NaN
  1425.24        2500.00        98.4055                 NaN  0.584400       0.219886                 NaN            NaN  0.224850                 NaN  0.565394                 NaN            NaN            NaN
  1424.01        2500.00        98.4265                 NaN  0.210326       0.580532                 NaN            NaN  0.224310                 NaN  0.558371                 NaN            NaN            NaN
  1422.78        2500.00        98.4490                 NaN  0.201558       0.575080                 NaN            NaN  0.223600                 NaN  0.550751                 NaN            NaN            NaN
  1421.55        2500.00        98.4693                 NaN  0.572040       0.191832                 NaN            NaN  0.222952                 NaN  0.543865                 NaN            NaN            NaN
  1420.33        2500.00        98.4867                 NaN  0.568839       0.182300                 NaN            NaN  0.223470                 NaN  0.538717                 NaN            NaN            NaN
  1419.10        2500.00        98.5139                 NaN  0.563063       0.174178                 NaN            NaN  0.220480                 NaN  0.528426                 NaN            NaN            NaN
  1417.87        2500.00        98.5257                 NaN  0.562468       0.165213                 NaN            NaN  0.221665                 NaN  0.525002                 NaN            NaN            NaN
  1416.64        2500.00        98.5436                 NaN  0.558990       0.157887                 NaN            NaN  0.220708                 NaN  0.518793                 NaN            NaN            NaN
  1415.41        2500.00        98.9317                 NaN  0.108684       0.413440                 NaN            NaN  0.164625                 NaN  0.381533                 NaN            NaN            NaN
  1414.18        2500.00        98.2183                 NaN  0.180871       0.692843                 NaN            NaN  0.273824                 NaN  0.634123                 NaN            NaN            NaN
  1412.95        2500.00        98.6002                 NaN  0.132533       0.549125                 NaN            NaN  0.218838                 NaN  0.499318                 NaN            NaN            NaN
  1411.72        2500.00        98.6213                 NaN  0.545051       0.123986                 NaN            NaN  0.217490                 NaN  0.492129                 NaN            NaN            NaN
  1410.49        2500.00        98.9886                 NaN  0.834264E-001  0.402943                 NaN            NaN  0.162554                 NaN  0.362525                 NaN            NaN            NaN
  1409.26        2500.00        98.2991                 NaN  0.681974       0.141479                 NaN            NaN  0.271063                 NaN  0.606335                 NaN            NaN            NaN
  1408.04        2500.00        98.6688                 NaN  0.991267E-001  0.540034                 NaN            NaN  0.215968                 NaN  0.476070                 NaN            NaN            NaN
  1406.81        2500.00        98.6867                 NaN  0.535131       0.936759E-001            NaN            NaN  0.214892                 NaN  0.469636                 NaN            NaN            NaN
  1405.58        2500.00        98.6993                 NaN  0.856878E-001  0.535020                 NaN            NaN  0.214713                 NaN  0.465276                 NaN            NaN            NaN
  1404.35        2500.00        99.4518                 NaN  0.708630E-001  0.203769                 NaN            NaN  0.788286E-001            NaN  0.194773                 NaN            NaN            NaN
  1403.12        2500.00        97.9959                 NaN  0.854923       0.841574E-001            NaN            NaN  0.346893                 NaN  0.718156                 NaN            NaN            NaN
  1401.89        2500.00        98.7470                 NaN  0.527136       0.652543E-001            NaN            NaN  0.211934                 NaN  0.448665                 NaN            NaN            NaN
  1400.66        2500.00        98.7611                 NaN  0.525728       0.581010E-001            NaN            NaN  0.211223                 NaN  0.443875                 NaN            NaN            NaN
  1399.43        2500.00        98.7712                 NaN  0.527088       0.506736E-001            NaN            NaN  0.210765                 NaN  0.440231                 NaN            NaN            NaN
  1398.20        2500.00        98.7904                 NaN  0.443178E-001  0.522805                 NaN            NaN  0.209099                 NaN  0.433341                 NaN            NaN            NaN
  1396.97        2500.00        98.8032                 NaN  0.521226       0.378303E-001            NaN            NaN  0.208685                 NaN  0.429041                 NaN            NaN            NaN
  1395.75        2500.00        98.8157                 NaN  0.389484E-001  0.517292                 NaN            NaN  0.204124                 NaN  0.423920                 NaN            NaN            NaN
  1394.52        2500.00        98.8283                 NaN  0.176588E-001  0.521997                 NaN            NaN  0.210925                 NaN  0.421097                 NaN            NaN            NaN
  1393.29        2500.00        98.8432                 NaN  0.194176E-001  0.516742                 NaN            NaN  0.205836                 NaN  0.414839                 NaN            NaN            NaN
  1392.06        2500.00        98.8544                 NaN  0.517114       0.127988E-001            NaN            NaN  0.204921                 NaN  0.410756                 NaN            NaN            NaN
  1390.83        2500.00        98.8663                 NaN  0.517443       0.564245E-002            NaN            NaN  0.204051                 NaN  0.406547                 NaN            NaN            NaN
  1389.60        2500.00        98.8776                 NaN  0.905334E-002  0.509869                 NaN            NaN  0.201193                 NaN  0.402295                 NaN            NaN            NaN
  1388.37        2500.00        98.8922                 NaN  0.510232       0.109379E-002            NaN            NaN  0.199792                 NaN  0.396650                 NaN            NaN            NaN
  1387.14        2500.00        98.9001                 NaN  0.508765                 NaN            NaN            NaN  0.197544                 NaN  0.393638                 NaN            NaN            NaN
  1385.91        2500.00        98.9119                 NaN  0.502607                 NaN            NaN            NaN  0.196138                 NaN  0.389308                 NaN            NaN            NaN
  1384.68        2500.00        98.9259                 NaN  0.495437                 NaN            NaN            NaN  0.194587                 NaN  0.384053                 NaN            NaN            NaN
  1383.46        2500.00        98.9243                 NaN  0.460351       0.618029E-001            NaN            NaN  0.173747                 NaN  0.379816                 NaN            NaN            NaN
  1382.23        2500.00        98.9462                 NaN  0.485661                 NaN            NaN            NaN  0.191780                 NaN  0.376319                 NaN            NaN            NaN
  1381.00        2500.00        98.9565                 NaN  0.484544                 NaN            NaN            NaN  0.187119                 NaN  0.371880                 NaN            NaN            NaN
  1379.77        2500.00        98.9631                 NaN  0.486261                 NaN            NaN            NaN  0.182015                 NaN  0.368654                 NaN            NaN            NaN
  1378.54        2500.00        98.9753                 NaN  0.477717                 NaN            NaN            NaN  0.182761                 NaN  0.364212                 NaN            NaN            NaN
  1377.31        2500.00        98.9846                 NaN  0.469159                 NaN            NaN            NaN  0.184644                 NaN  0.361637                 NaN            NaN            NaN
  1376.08        2500.00        98.9966                 NaN  0.469080                 NaN            NaN            NaN  0.178375                 NaN  0.355945                 NaN            NaN            NaN
  1374.85        2500.00        99.0037                 NaN  0.463888                 NaN            NaN            NaN  0.178696                 NaN  0.353728                 NaN            NaN            NaN
  1373.62        2500.00        99.0153                 NaN  0.461705                 NaN            NaN            NaN  0.174382                 NaN  0.348591                 NaN            NaN            NaN
  1372.39        2500.00        99.0233                 NaN  0.457611                 NaN            NaN            NaN  0.173409                 NaN  0.345673                 NaN            NaN            NaN
  1371.16        2500.00        99.0317                 NaN  0.456253                 NaN            NaN            NaN  0.169992                 NaN  0.342049                 NaN            NaN            NaN
  1369.94        2500.00        99.0417                 NaN  0.450674                 NaN            NaN            NaN  0.169235                 NaN  0.338347                 NaN            NaN            NaN
  1368.71        2500.00        99.0502                 NaN  0.444455                 NaN            NaN            NaN  0.169416                 NaN  0.335972                 NaN            NaN            NaN
  1367.48        2500.00        99.0604                 NaN  0.444566                 NaN            NaN            NaN  0.164659                 NaN  0.330364                 NaN            NaN            NaN
  1366.25        2500.00        99.0667                 NaN  0.442389                 NaN            NaN            NaN  0.162703                 NaN  0.328184                 NaN            NaN            NaN
  1365.02        2500.00        99.0752                 NaN  0.439456                 NaN            NaN            NaN  0.160651                 NaN  0.324692                 NaN            NaN            NaN
  1363.79        2500.00        99.0836                 NaN  0.434378                 NaN            NaN            NaN  0.160304                 NaN  0.321702                 NaN            NaN            NaN
  1362.56        2500.00        99.0906                 NaN  0.435788                 NaN            NaN            NaN  0.155524                 NaN  0.318125                 NaN            NaN            NaN
  1361.33        2500.00        99.0976                 NaN  0.429334                 NaN            NaN            NaN  0.156819                 NaN  0.316209                 NaN            NaN            NaN
  1360.10        2500.00        99.1093                 NaN  0.426404                 NaN            NaN            NaN  0.153435                 NaN  0.310884                 NaN            NaN            NaN
  1358.87        2500.00        99.1151                 NaN  0.424075                 NaN            NaN            NaN  0.152013                 NaN  0.308798                 NaN            NaN            NaN
  1357.65        2500.00        99.1217                 NaN  0.425385                 NaN            NaN            NaN  0.147308                 NaN  0.305594                 NaN            NaN            NaN
  1356.42        2500.00        99.1307                 NaN  0.418197                 NaN            NaN            NaN  0.148552                 NaN  0.302572                 NaN            NaN            NaN
  1355.19        2500.00        99.1379                 NaN  0.408250                 NaN            NaN            NaN  0.152055                 NaN  0.301839                 NaN            NaN            NaN
  1353.96        2500.00        99.1478                 NaN  0.416769                 NaN            NaN            NaN  0.140844                 NaN  0.294604                 NaN            NaN            NaN
  1352.73        2500.00        99.1522                 NaN  0.411971                 NaN            NaN            NaN  0.142195                 NaN  0.293664                 NaN            NaN            NaN
  1351.50        2500.00        99.1575                 NaN  0.415261                 NaN            NaN            NaN  0.135896                 NaN  0.291344                 NaN            NaN            NaN
  1350.27        2500.00        99.1679                 NaN  0.405831                 NaN            NaN            NaN  0.139306                 NaN  0.286985                 NaN            NaN            NaN
  1349.04        2500.00        99.1723                 NaN  0.403367                 NaN            NaN            NaN  0.138587                 NaN  0.285726                 NaN            NaN            NaN
  1347.81        2500.00        99.1807                 NaN  0.401395                 NaN            NaN            NaN  0.135318                 NaN  0.282572                 NaN            NaN            NaN
  1346.58        2500.00        99.1832                 NaN  0.399364                 NaN            NaN            NaN  0.136171                 NaN  0.281297                 NaN            NaN            NaN
  1345.36        2500.00        99.1937                 NaN  0.397786                 NaN            NaN            NaN  0.132055                 NaN  0.276505                 NaN            NaN            NaN
  1344.13        2500.00        99.1978                 NaN  0.398329                 NaN            NaN            NaN  0.129083                 NaN  0.274752                 NaN            NaN            NaN
  1342.90        2500.00        99.2040                 NaN  0.394697                 NaN            NaN            NaN  0.128861                 NaN  0.272488                 NaN            NaN            NaN
  1341.67        2500.00        99.2108                 NaN  0.392541                 NaN            NaN            NaN  0.126914                 NaN  0.269749                 NaN            NaN            NaN
  1340.44        2500.00        99.2175                 NaN  0.389714                 NaN            NaN            NaN  0.125575                 NaN  0.267202                 NaN            NaN            NaN
  1339.21        2500.00        99.2231                 NaN  0.388483                 NaN            NaN            NaN  0.123658                 NaN  0.264769                 NaN            NaN            NaN
  1337.98        2500.00        99.2274                 NaN  0.389880                 NaN            NaN            NaN  0.120203                 NaN  0.262542                 NaN            NaN            NaN
  1336.75        2500.00        99.2331                 NaN  0.386680                 NaN            NaN            NaN  0.119893                 NaN  0.260290                 NaN            NaN            NaN
  1335.52        2500.00        99.1770                 NaN  0.411973                 NaN            NaN            NaN  0.110970                 NaN  0.275058       0.249662E-001            NaN            NaN
  1334.29        2500.00        99.1583                 NaN  0.419137                 NaN            NaN            NaN  0.107431                 NaN  0.279780       0.353721E-001            NaN            NaN
  1333.07        2500.00        99.1662                 NaN  0.415952                 NaN            NaN            NaN  0.106043                 NaN  0.277021       0.347779E-001            NaN            NaN
  1331.84        2500.00        99.1776                 NaN  0.407108                 NaN            NaN            NaN  0.107505                 NaN  0.273547       0.342750E-001            NaN            NaN
  1330.61        2500.00        99.1863                 NaN  0.403717                 NaN            NaN            NaN  0.105712                 NaN  0.270612       0.336550E-001            NaN            NaN
  1329.38        2500.00        99.1964                 NaN  0.398698                 NaN            NaN            NaN  0.104569                 NaN  0.267309       0.330714E-001            NaN            NaN
  1328.15        2500.00        99.2034                 NaN  0.397391                 NaN            NaN            NaN  0.102516                 NaN  0.264231       0.324720E-001            NaN            NaN
  1326.92        2500.00        99.2135                 NaN  0.390478                 NaN            NaN            NaN  0.102728                 NaN  0.261370       0.319665E-001            NaN            NaN
  1325.69        2500.00        99.2219                 NaN  0.387143                 NaN            NaN            NaN  0.101192                 NaN  0.258395       0.313810E-001            NaN            NaN
  1324.46        2500.00        99.2297                 NaN  0.384127                 NaN            NaN            NaN  0.996958E-001            NaN  0.255639       0.308273E-001            NaN            NaN
  1323.23        2500.00        99.2390                 NaN  0.379754                 NaN            NaN            NaN  0.984945E-001            NaN  0.252525       0.302747E-001            NaN            NaN
  1322.00        2500.00        99.2459                 NaN  0.377051                 NaN            NaN            NaN  0.972269E-001            NaN  0.250029       0.297484E-001            NaN            NaN
  1320.77        2500.00        99.2538                 NaN  0.375200                 NaN            NaN            NaN  0.946813E-001            NaN  0.247125       0.291475E-001            NaN            NaN
  1319.55        2500.00        99.2623                 NaN  0.368680                 NaN            NaN            NaN  0.957815E-001            NaN  0.244469       0.287395E-001            NaN            NaN
  1318.32        2500.00        99.2699                 NaN  0.367545                 NaN            NaN            NaN  0.927471E-001            NaN  0.241682       0.281329E-001            NaN            NaN
  1317.09        2500.00        99.2779                 NaN  0.363816                 NaN            NaN            NaN  0.917445E-001            NaN  0.238912       0.276392E-001            NaN            NaN
  1315.86        2500.00        99.2857                 NaN  0.360015                 NaN            NaN            NaN  0.908274E-001            NaN  0.236323       0.271451E-001            NaN            NaN
  1314.63        2500.00        99.2928                 NaN  0.356780                 NaN            NaN            NaN  0.898816E-001            NaN  0.233811       0.266893E-001            NaN            NaN
  1313.40        2500.00        99.3000                 NaN  0.354646                 NaN            NaN            NaN  0.879265E-001            NaN  0.231258       0.261444E-001            NaN            NaN
  1312.17        2500.00        99.3083                 NaN  0.350855                 NaN            NaN            NaN  0.865532E-001            NaN  0.228568       0.257132E-001            NaN            NaN
  1310.94        2500.00        99.3149                 NaN  0.348524                 NaN            NaN            NaN  0.853929E-001            NaN  0.225966       0.251872E-001            NaN            NaN
  1309.71        2500.00        99.3215                 NaN  0.346554                 NaN            NaN            NaN  0.835261E-001            NaN  0.223722       0.247094E-001            NaN            NaN
  1308.48        2500.00        99.3280                 NaN  0.344141                 NaN            NaN            NaN  0.822100E-001            NaN  0.221394       0.242345E-001            NaN            NaN
  1307.26        2500.00        99.3351                 NaN  0.341132                 NaN            NaN            NaN  0.810744E-001            NaN  0.218894       0.237982E-001            NaN            NaN
  1306.03        2500.00        99.3416                 NaN  0.339268                 NaN            NaN            NaN  0.792066E-001            NaN  0.216553       0.233233E-001            NaN            NaN
  1304.80        2500.00        99.3481                 NaN  0.337170                 NaN            NaN            NaN  0.776137E-001            NaN  0.214319       0.228446E-001            NaN            NaN
  1303.57        2500.00        99.3548                 NaN  0.334582                 NaN            NaN            NaN  0.761299E-001            NaN  0.212039       0.224086E-001            NaN            NaN
  1302.34        2500.00        85.9847                 NaN   2.70418                 NaN            NaN            NaN  0.675487                 NaN   1.99794       0.298084        8.33958                 NaN
  1301.11        2500.00        75.9789                 NaN   4.47225                 NaN            NaN            NaN   1.18092                 NaN   3.33386       0.495945        14.5382                 NaN
  1299.88        2500.00        77.7288                 NaN   4.18477                 NaN            NaN            NaN   1.12933                 NaN   3.09912       0.450829        13.4071                 NaN
  1298.65        2500.00        79.3782                 NaN   3.92285                 NaN            NaN            NaN   1.06478                 NaN   2.87681       0.409097        12.3483                 NaN
  1297.42        2500.00        80.8710                 NaN   3.68912                 NaN            NaN            NaN  0.999666                 NaN   2.67516       0.371908        11.3931                 NaN
  1296.19        2500.00        82.2423                 NaN   3.47659                 NaN            NaN            NaN  0.932053                 NaN   2.48887       0.338512        10.5217                 NaN
  1294.97        2500.00        82.9491                 NaN   3.35440                 NaN            NaN            NaN  0.886455                 NaN   2.39590       0.324030        10.0901                 NaN
  1293.74        2500.00        83.6929                 NaN   3.29519                 NaN            NaN            NaN  0.850520                 NaN   2.28650       0.299436        9.57548                 NaN
  1292.51        2500.00        86.1035                 NaN   2.56862                 NaN            NaN            NaN  0.766056                 NaN   1.97723       0.271747        8.31280                 NaN
  1291.28        2500.00        88.5925                 NaN   2.62477                 NaN            NaN            NaN  0.599114                 NaN   1.57895       0.180178        6.42451                 NaN
  1290.05        2500.00        85.6722                 NaN   3.02187                 NaN            NaN            NaN  0.695701                 NaN   2.01228       0.258913        8.33904                 NaN
  1288.82        2500.00        89.2753                 NaN   2.25840                 NaN            NaN            NaN  0.596259                 NaN   1.53435       0.179827        6.15583                 NaN
  1287.59        2500.00        89.0540                 NaN   2.35534                 NaN            NaN            NaN  0.496529                 NaN   1.54884       0.193130        6.35215                 NaN
  1286.36        2500.00        86.0602                 NaN   2.93035                 NaN            NaN            NaN  0.705944                 NaN   2.01859       0.245623        8.03932                 NaN
  1285.13        2500.00        96.5085                 NaN  0.947014                 NaN            NaN            NaN  0.148631                 NaN  0.449363       0.419605E-001   1.90457                 NaN
  1283.90        2500.00        92.7100                 NaN   1.65761                 NaN            NaN            NaN  0.346579                 NaN   1.03243       0.118623        4.13473                 NaN
  1282.68        2500.00        91.5473                 NaN   1.90651                 NaN            NaN            NaN  0.368353                 NaN   1.20196       0.140128        4.83578                 NaN
  1281.45        2500.00        93.0074                 NaN   1.62949                 NaN            NaN            NaN  0.292176                 NaN  0.988854       0.113950        3.96809                 NaN
  1280.22        2500.00        92.8500                 NaN   1.64369                 NaN            NaN            NaN  0.305473                 NaN   1.01678       0.115760        4.06833                 NaN
  1278.99        2500.00        92.0656                 NaN   1.60151                 NaN            NaN            NaN  0.338132                 NaN   1.15305       0.155000        4.68672                 NaN
  1277.76        2500.00        93.7734                 NaN   1.74243                 NaN            NaN            NaN  0.144030                 NaN  0.830171       0.810021E-001   3.42895                 NaN
  1276.53        2500.00        92.7052                 NaN   1.42699                 NaN            NaN            NaN  0.434308                 NaN   1.06964       0.114577        4.24928                 NaN
  1275.30        2500.00        96.5727                 NaN   1.09181                 NaN            NaN            NaN  0.226492E-001            NaN  0.466949       0.518087E-001   1.79404                 NaN
  1274.07        2500.00        91.7190                 NaN   2.00750                 NaN            NaN            NaN  0.281181                 NaN   1.20576       0.145699        4.64082                 NaN
  1272.84        2500.00        97.7162                 NaN  0.523035                 NaN            NaN            NaN  0.876341E-001            NaN  0.283847       0.184055E-001   1.37084                 NaN
  1271.61        2500.00        94.8309                 NaN   1.32030                 NaN            NaN            NaN  0.130271                 NaN  0.732616       0.770145E-001   2.90891                 NaN
  1270.38        2500.00        94.9776                 NaN   1.31559                 NaN            NaN            NaN  0.987797E-001            NaN  0.709723       0.738393E-001   2.82442                 NaN
  1269.16        2500.00        95.1358                 NaN   1.30985                 NaN            NaN            NaN  0.696489E-001            NaN  0.686235       0.697922E-001   2.72868                 NaN
  1267.93        2500.00        83.1547        7.91299       0.613510                 NaN            NaN            NaN  0.747731                 NaN   1.10661       0.191771        6.27270                 NaN
  1266.70        2500.00        83.6670                 NaN   5.08089                 NaN            NaN            NaN            NaN            NaN   2.36092       0.196324        8.69487                 NaN
  1265.47        2500.00        99.2026                 NaN  0.203835                 NaN            NaN            NaN            NaN            NaN  0.115636       0.100569E-001  0.467861                 NaN
  1264.24        2500.00        99.9472                 NaN  0.443968E-001            NaN            NaN            NaN            NaN            NaN  0.710171E-002  0.132198E-002            NaN            NaN
  1263.01        2500.00        99.3916                 NaN  0.165189                 NaN            NaN            NaN  0.267774E-001            NaN  0.954131E-001  0.930506E-002  0.311706                 NaN
  1261.78        2500.00        98.9918                 NaN  0.356146                 NaN            NaN            NaN            NaN            NaN  0.137877       0.519870E-002  0.508999                 NaN
  1260.55        2500.00        92.5396                 NaN   2.01573                 NaN            NaN            NaN            NaN            NaN   1.09529       0.100313        4.24902                 NaN
  1259.32        2500.00        96.0866                 NaN  0.411490       0.788693                 NaN            NaN            NaN            NaN  0.586903       0.356300E-001   2.09070                 NaN
  1258.09        2500.00        98.7621                 NaN  0.561044                 NaN            NaN            NaN            NaN            NaN  0.183445       0.267806E-001  0.466600                 NaN
  1256.87        2500.00        98.7313                 NaN  0.158234                 NaN            NaN            NaN            NaN            NaN  0.526811E-001            NaN   1.05774                 NaN
  1255.64        2500.00        93.6283                 NaN   1.96319                 NaN            NaN            NaN            NaN            NaN   1.01449       0.900540E-001   3.30396                 NaN
  1254.41        2500.00        99.7992                 NaN  0.440173E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.156820                 NaN
  1253.18        2500.00        97.3224                 NaN  0.676819                 NaN            NaN            NaN            NaN            NaN  0.327505       0.458005E-001   1.62750                 NaN
  1251.95        2500.00        98.2939                 NaN  0.545546                 NaN            NaN            NaN            NaN            NaN  0.256358       0.125735E-001  0.891662                 NaN
  1250.72        2500.00        97.2094                 NaN  0.776188                 NaN            NaN            NaN            NaN            NaN  0.389783       0.369354E-001   1.58772                 NaN
  1249.49        2500.00        97.5648                 NaN  0.672778                 NaN            NaN            NaN            NaN            NaN  0.337173       0.329043E-001   1.39239                 NaN
