|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1561.74        2500.00        99.4540       0.488858       0.571649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00        99.4547       0.491103       0.542365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00        99.4655       0.479421       0.551177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00        99.3754       0.554237       0.703562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00        99.8190       0.163504       0.175414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00        99.2252       0.696476       0.783021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00        99.4817       0.466726       0.515998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00        99.4507       0.495895       0.534354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00        99.5218       0.430183       0.480454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        99.4928       0.457733       0.494946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00        99.4956       0.457659       0.467202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00        99.4998       0.453526       0.466469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00        99.5050       0.447678       0.473687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00        99.5080       0.445180       0.468095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00        99.5120       0.442684       0.453320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00        99.5168       0.437445       0.457439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00        99.5190       0.436923       0.440701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00        99.5238       0.432255       0.439184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00        99.5258       0.432197       0.419923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.90        2500.00        99.5299       0.429078       0.410359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        2500.00        99.5327       0.426187       0.411024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.86        2500.00        99.5375       0.421991       0.404754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        2500.00        99.5383       0.423504       0.381926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.82        2500.00        99.5433       0.416763       0.399191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.30        2500.00        99.6635       0.309014       0.275187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.79        2500.00        99.4316       0.521352       0.470498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        2500.00        99.5535       0.408541       0.379149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.75        2500.00        99.5562       0.408444       0.353746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        99.7137       0.260913       0.254264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.71        2500.00        99.4072       0.547219       0.455962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00        99.5636       0.403651       0.327752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.68        2500.00        99.5655       0.416002       0.184590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.16        2500.00        99.5703       0.383778       0.458762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.64        2500.00        99.5713       0.398119       0.305538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.12        2500.00        99.5751       0.394977       0.298912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.60        2500.00        99.3895       0.557453       0.530095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.09        2500.00        99.8043       0.171448       0.242725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.57        2500.00        99.4739       0.127362                 NaN            NaN  0.398689                 NaN            NaN            NaN            NaN            NaN
  1504.05        2500.00        99.4697                 NaN            NaN            NaN  0.530309                 NaN            NaN            NaN            NaN            NaN
  1502.53        2500.00        99.4777                 NaN            NaN            NaN  0.522341                 NaN            NaN            NaN            NaN            NaN
  1501.01        2500.00        99.4816       0.458814E-001  0.139825E-002            NaN  0.471072                 NaN            NaN            NaN            NaN            NaN
  1499.49        2500.00        99.4770       0.756021E-002            NaN            NaN  0.515459                 NaN            NaN            NaN            NaN            NaN
  1497.98        2500.00        99.4781       0.178544E-001            NaN            NaN  0.504073                 NaN            NaN            NaN            NaN            NaN
  1496.46        2500.00        99.4786                 NaN            NaN            NaN  0.521368                 NaN            NaN            NaN            NaN            NaN
  1494.94        2500.00        99.4774                 NaN            NaN            NaN  0.522550                 NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00        99.4764                 NaN            NaN            NaN  0.523616                 NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00        99.4780                 NaN            NaN            NaN  0.521958                 NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00        99.4825                 NaN            NaN            NaN  0.517478                 NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00        99.4763                 NaN            NaN            NaN  0.523705                 NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00        99.4813                 NaN  0.113988E-004            NaN  0.518738                 NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        99.4773                 NaN            NaN            NaN  0.522712                 NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00        99.4759                 NaN            NaN            NaN  0.524140                 NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00        99.4728                 NaN            NaN            NaN  0.527165                 NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00        99.4712                 NaN            NaN            NaN  0.528831                 NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00        99.4678                 NaN            NaN            NaN  0.532154                 NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00        99.4633                 NaN            NaN            NaN  0.536700                 NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00        99.4600                 NaN            NaN            NaN  0.540033                 NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00        99.4527                 NaN            NaN            NaN  0.547306                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.3728                 NaN            NaN            NaN  0.165121       0.462072                 NaN            NaN            NaN            NaN
  1472.17        2500.00        99.2122                 NaN            NaN            NaN  0.255676       0.532093                 NaN            NaN            NaN            NaN
  1470.65        2500.00        99.2193                 NaN  0.663140E-004            NaN  0.253870       0.526811                 NaN            NaN            NaN            NaN
  1469.13        2500.00        99.2266                 NaN            NaN            NaN  0.521330       0.252065                 NaN            NaN            NaN            NaN
  1467.61        2500.00        99.2318                 NaN            NaN            NaN  0.518468       0.249735                 NaN            NaN            NaN            NaN
  1466.09        2500.00        99.2404                 NaN            NaN            NaN  0.247506       0.512098                 NaN            NaN            NaN            NaN
  1464.58        2500.00        99.2454                 NaN            NaN            NaN  0.508343       0.246287                 NaN            NaN            NaN            NaN
  1463.06        2500.00        99.2516                 NaN            NaN            NaN  0.243907       0.504478                 NaN            NaN            NaN            NaN
  1461.54        2500.00        99.2578                 NaN            NaN            NaN  0.500436       0.241746                 NaN            NaN            NaN            NaN
  1460.02        2500.00        99.2641                 NaN            NaN            NaN  0.496173       0.239679                 NaN            NaN            NaN            NaN
  1458.50        2500.00        99.2697                 NaN            NaN            NaN  0.492291       0.238012                 NaN            NaN            NaN            NaN
  1456.98        2500.00        99.2756                 NaN            NaN            NaN  0.488428       0.235940                 NaN            NaN            NaN            NaN
  1455.47        2500.00        99.2820                 NaN            NaN            NaN  0.233265       0.484777                 NaN            NaN            NaN            NaN
  1453.95        2500.00        99.2865                 NaN            NaN            NaN  0.481643       0.231808                 NaN            NaN            NaN            NaN
  1452.43        2500.00        99.2910                 NaN            NaN            NaN  0.230696       0.478294                 NaN            NaN            NaN            NaN
  1450.91        2500.00        99.2989                 NaN            NaN            NaN  0.473593       0.227522                 NaN            NaN            NaN            NaN
  1449.39        2500.00        99.3022                 NaN            NaN            NaN  0.226370       0.471433                 NaN            NaN            NaN            NaN
  1447.88        2500.00        99.3083                 NaN            NaN            NaN  0.467274       0.224433                 NaN            NaN            NaN            NaN
  1446.36        2500.00        99.4176                 NaN            NaN            NaN  0.393613       0.188754                 NaN            NaN            NaN            NaN
  1444.84        2500.00        99.2126                 NaN            NaN            NaN  0.255445       0.531944                 NaN            NaN            NaN            NaN
  1443.32        2500.00        99.3230                 NaN            NaN            NaN  0.218818       0.458146                 NaN            NaN            NaN            NaN
  1441.80        2500.00        99.3273                 NaN            NaN            NaN  0.217127       0.455547                 NaN            NaN            NaN            NaN
  1440.28        2500.00        99.3323                 NaN            NaN            NaN  0.215707       0.452035                 NaN            NaN            NaN            NaN
  1438.77        2500.00        99.3367                 NaN            NaN            NaN  0.213709       0.449574                 NaN            NaN            NaN            NaN
  1437.25        2500.00        99.3420                 NaN            NaN            NaN  0.211431       0.446532                 NaN            NaN            NaN            NaN
  1435.73        2500.00        99.3457                 NaN            NaN            NaN  0.210284       0.444029                 NaN            NaN            NaN            NaN
  1434.21        2500.00        99.3503                 NaN  0.120657E-003            NaN  0.440771       0.208820                 NaN            NaN            NaN            NaN
  1432.69        2500.00        98.9737                 NaN            NaN            NaN  0.380018       0.446219                 NaN  0.200074                 NaN            NaN
  1431.17        2500.00        98.2578                 NaN            NaN            NaN  0.707661       0.451579                 NaN  0.582977                 NaN            NaN
  1429.66        2500.00        98.2929                 NaN  0.931682E-006            NaN  0.443658       0.692853                 NaN  0.570592                 NaN            NaN
  1428.14        2500.00        98.3035                 NaN  0.932734E-001            NaN  0.542684       0.474750                 NaN  0.585765                 NaN            NaN
  1426.62        2500.00        98.3162                 NaN  0.189692                 NaN  0.509974       0.383403                 NaN  0.600754                 NaN            NaN
  1425.10        2500.00        98.3507                 NaN  0.187830                 NaN  0.370858       0.502149                 NaN  0.588503                 NaN            NaN
  1423.58        2500.00        98.3781                 NaN  0.187134                 NaN  0.360185       0.495107                 NaN  0.579465                 NaN            NaN
  1422.07        2500.00        98.4120                 NaN  0.172064                 NaN  0.481277       0.369699                 NaN  0.564930                 NaN            NaN
  1420.55        2500.00        98.4337                 NaN  0.198440                 NaN  0.487708       0.317158                 NaN  0.563008                 NaN            NaN
  1419.03        2500.00        98.4675                 NaN  0.182833                 NaN  0.472648       0.328534                 NaN  0.548481                 NaN            NaN
  1417.51        2500.00        98.4946                 NaN  0.181455                 NaN  0.466233       0.318536                 NaN  0.539166                 NaN            NaN
  1415.99        2500.00        98.5513                 NaN  0.177144                 NaN  0.298077       0.453354                 NaN  0.520166                 NaN            NaN
  1414.47        2500.00        98.5145                 NaN  0.181975                 NaN  0.308743       0.462468                 NaN  0.532323                 NaN            NaN
  1412.96        2500.00        98.5711                 NaN  0.178136                 NaN  0.447252       0.290606                 NaN  0.512946                 NaN            NaN
  1411.44        2500.00        98.5961                 NaN  0.177072                 NaN  0.281362       0.441188                 NaN  0.504260                 NaN            NaN
  1409.92        2500.00        98.6209                 NaN  0.175807                 NaN  0.272943       0.434724                 NaN  0.495662                 NaN            NaN
  1408.40        2500.00        98.6436                 NaN  0.174622                 NaN  0.264556       0.429452                 NaN  0.487759                 NaN            NaN
  1406.88        2500.00        98.6653                 NaN  0.173715                 NaN  0.257685       0.422905                 NaN  0.480376                 NaN            NaN
  1405.36        2500.00        98.6896                 NaN  0.172470                 NaN  0.417494       0.248651                 NaN  0.471796                 NaN            NaN
  1403.85        2500.00        98.7105                 NaN  0.171182                 NaN  0.412538       0.241256                 NaN  0.464490                 NaN            NaN
  1402.33        2500.00        98.7309                 NaN  0.170144                 NaN  0.408028       0.233586                 NaN  0.457299                 NaN            NaN
  1400.81        2500.00        98.7510                 NaN  0.169246                 NaN  0.403226       0.226175                 NaN  0.450363                 NaN            NaN
  1399.29        2500.00        98.7716                 NaN  0.167909                 NaN  0.397967       0.219400                 NaN  0.443119                 NaN            NaN
  1397.77        2500.00        98.7493                 NaN  0.173904                 NaN  0.214796       0.409061                 NaN  0.452891                 NaN            NaN
  1396.26        2500.00        98.8400                 NaN  0.159126                 NaN  0.380452       0.203769                 NaN  0.416684                 NaN            NaN
  1394.74        2500.00        98.8291                 NaN  0.164324                 NaN  0.383426       0.200380                 NaN  0.422807                 NaN            NaN
  1393.22        2500.00        98.8364                 NaN  0.168892                 NaN  0.185032       0.388015                 NaN  0.421618                 NaN            NaN
  1391.70        2500.00        98.8741                 NaN  0.157638                 NaN  0.195864       0.366932                 NaN  0.405426                 NaN            NaN
  1390.18        2500.00        98.8812                 NaN  0.161048                 NaN  0.370623       0.182867                 NaN  0.404247                 NaN            NaN
  1388.66        2500.00        98.8989                 NaN  0.160573                 NaN  0.366217       0.176055                 NaN  0.398246                 NaN            NaN
  1387.15        2500.00        98.9147                 NaN  0.159154                 NaN  0.171069       0.362583                 NaN  0.392478                 NaN            NaN
  1385.63        2500.00        98.9314                 NaN  0.157757                 NaN  0.165728       0.358563                 NaN  0.386564                 NaN            NaN
  1384.11        2500.00        98.9482                 NaN  0.156891                 NaN  0.353987       0.160254                 NaN  0.380693                 NaN            NaN
  1382.59        2500.00        98.9626                 NaN  0.155607                 NaN  0.350710       0.155725                 NaN  0.375373                 NaN            NaN
  1381.07        2500.00        98.9778                 NaN  0.154590                 NaN  0.150255       0.347386                 NaN  0.369980                 NaN            NaN
  1379.56        2500.00        98.9917                 NaN  0.153421                 NaN  0.343571       0.146233                 NaN  0.365063                 NaN            NaN
  1378.04        2500.00        99.0082                 NaN  0.152144                 NaN  0.339406       0.141352                 NaN  0.358895                 NaN            NaN
  1376.52        2500.00        99.0212                 NaN  0.150920                 NaN  0.336592       0.137013                 NaN  0.354252                 NaN            NaN
  1375.00        2500.00        99.0350                 NaN  0.149706                 NaN  0.333045       0.132962                 NaN  0.349253                 NaN            NaN
  1373.48        2500.00        99.0486                 NaN  0.148425                 NaN  0.129169       0.329518                 NaN  0.344246                 NaN            NaN
  1371.96        2500.00        99.0620                 NaN  0.147431                 NaN  0.125757       0.325228                 NaN  0.339600                 NaN            NaN
  1370.45        2500.00        99.0739                 NaN  0.146077                 NaN  0.121744       0.323234                 NaN  0.335081                 NaN            NaN
  1368.93        2500.00        99.0875                 NaN  0.144258                 NaN  0.118758       0.319576                 NaN  0.329938                 NaN            NaN
  1367.41        2500.00        99.0998                 NaN  0.143062                 NaN  0.114926       0.316750                 NaN  0.325493                 NaN            NaN
  1365.89        2500.00        99.1122                 NaN  0.141907                 NaN  0.313179       0.111745                 NaN  0.320983                 NaN            NaN
  1364.37        2500.00        99.1237                 NaN  0.140510                 NaN  0.310550       0.108573                 NaN  0.316664                 NaN            NaN
  1362.85        2500.00        99.1355                 NaN  0.139157                 NaN  0.307141       0.105886                 NaN  0.312290                 NaN            NaN
  1361.34        2500.00        99.1466                 NaN  0.137841                 NaN  0.305161       0.102126                 NaN  0.308240                 NaN            NaN
  1359.82        2500.00        99.1587                 NaN  0.135904                 NaN  0.101242       0.300569                 NaN  0.303576                 NaN            NaN
  1358.30        2500.00        99.1691                 NaN  0.134979                 NaN  0.982918E-001  0.297727                 NaN  0.299919                 NaN            NaN
  1356.78        2500.00        99.1812                 NaN  0.133355                 NaN  0.294509       0.956896E-001            NaN  0.295217                 NaN            NaN
  1355.26        2500.00        99.1888                 NaN  0.131419                 NaN  0.293721       0.938184E-001            NaN  0.292276                 NaN            NaN
  1353.75        2500.00        99.1927                 NaN  0.130140                 NaN  0.294665       0.913458E-001            NaN  0.291188                 NaN            NaN
  1352.23        2500.00        99.2160                 NaN  0.127289                 NaN  0.285959       0.894908E-001            NaN  0.281223                 NaN            NaN
  1350.71        2500.00        99.2217                 NaN  0.126928                 NaN  0.879275E-001  0.283646                 NaN  0.279806                 NaN            NaN
  1349.19        2500.00        99.2311                 NaN  0.125390                 NaN  0.281272       0.859994E-001            NaN  0.276232                 NaN            NaN
  1347.67        2500.00        99.2410                 NaN  0.123844                 NaN  0.277884       0.847927E-001            NaN  0.272507                 NaN            NaN
  1346.15        2500.00        99.2500                 NaN  0.122877                 NaN  0.275300       0.824279E-001            NaN  0.269410                 NaN            NaN
  1344.64        2500.00        99.2593                 NaN  0.119473                 NaN  0.846644E-001  0.271464                 NaN  0.265108                 NaN            NaN
  1343.12        2500.00        99.2686                 NaN  0.118959                 NaN  0.806518E-001  0.269933                 NaN  0.261826                 NaN            NaN
  1341.60        2500.00        99.2739                 NaN  0.118467                 NaN  0.268517       0.790409E-001            NaN  0.260118                 NaN            NaN
  1340.08        2500.00        99.2897                 NaN  0.113064                 NaN  0.824470E-001  0.261742                 NaN  0.253063                 NaN            NaN
  1338.56        2500.00        99.2949                 NaN  0.114904                 NaN  0.755773E-001  0.262838                 NaN  0.251809                 NaN            NaN
  1337.04        2500.00        99.3030                 NaN  0.111942                 NaN  0.258792       0.778081E-001            NaN  0.248447                 NaN            NaN
  1335.53        2500.00        99.3111                 NaN  0.109993                 NaN  0.256290       0.774249E-001            NaN  0.245233                 NaN            NaN
  1334.01        2500.00        99.3195                 NaN  0.108216                 NaN  0.772049E-001  0.253161                 NaN  0.241947                 NaN            NaN
  1332.49        2500.00        99.3273                 NaN  0.106423                 NaN  0.766429E-001  0.250804                 NaN  0.238878                 NaN            NaN
  1330.97        2500.00        99.3352                 NaN  0.104770                 NaN  0.247211       0.769517E-001            NaN  0.235826                 NaN            NaN
  1329.45        2500.00        99.3424                 NaN  0.102429                 NaN  0.245022       0.773844E-001            NaN  0.232787                 NaN            NaN
  1327.94        2500.00        99.3493                 NaN  0.100604                 NaN  0.773063E-001  0.242752                 NaN  0.230063                 NaN            NaN
  1326.42        2500.00        99.3571                 NaN  0.986111E-001            NaN  0.239054       0.782877E-001            NaN  0.226937                 NaN            NaN
  1324.90        2500.00        99.3645                 NaN  0.968860E-001            NaN  0.237265       0.773585E-001            NaN  0.224013                 NaN            NaN
  1323.38        2500.00        99.3711                 NaN  0.947315E-001            NaN  0.234497       0.784244E-001            NaN  0.221297                 NaN            NaN
  1321.86        2500.00        99.3776                 NaN  0.931037E-001            NaN  0.231928       0.786146E-001            NaN  0.218724                 NaN            NaN
  1320.34        2500.00        99.3838                 NaN  0.908755E-001            NaN  0.229499       0.795994E-001            NaN  0.216220                 NaN            NaN
  1318.83        2500.00        99.3919                 NaN  0.881500E-001            NaN  0.224097       0.831350E-001            NaN  0.212717                 NaN            NaN
  1317.31        2500.00        99.3967                 NaN  0.922938E-001            NaN  0.677103E-001  0.230699                 NaN  0.212554                 NaN            NaN
  1315.79        2500.00        99.4048                 NaN  0.797466E-001            NaN  0.214117       0.952953E-001            NaN  0.206018                 NaN            NaN
  1314.27        2500.00        99.4102                 NaN  0.821481E-001            NaN  0.216191       0.861559E-001            NaN  0.205294                 NaN            NaN
  1312.75        2500.00        92.1469                 NaN  0.485037                 NaN   1.24085       0.221077                 NaN   1.10602        4.80007                 NaN
  1311.24        2500.00        82.9857                 NaN  0.967740                 NaN   2.66480       0.303791                 NaN   2.24278        10.8352                 NaN
  1309.72        2500.00        84.4911                 NaN  0.877467                 NaN  0.828614E-001   2.65725                 NaN   2.05655        9.83474                 NaN
  1308.20        2500.00        85.7404                 NaN  0.791303                 NaN   2.56436                 NaN            NaN   1.90202        9.00193                 NaN
  1306.68        2500.00        86.7814                 NaN  0.683204                 NaN   2.47227                 NaN            NaN   1.77263        8.29052                 NaN
  1305.16        2500.00        87.6903                 NaN  0.630648                 NaN   2.32938                 NaN            NaN   1.65978        7.68994                 NaN
  1303.64        2500.00        88.4744                 NaN  0.590113                 NaN   2.20057                 NaN            NaN   1.56171        7.17323                 NaN
  1302.13        2500.00        89.1522                 NaN  0.555532                 NaN   2.08883                 NaN            NaN   1.47684        6.72657                 NaN
  1300.61        2500.00        89.7545                 NaN  0.527101                 NaN   1.98485                 NaN            NaN   1.40124        6.33233                 NaN
  1299.09        2500.00        90.2702                 NaN  0.480821                 NaN   1.93064                 NaN            NaN   1.33741        5.98095                 NaN
  1297.57        2500.00        90.7257                 NaN  0.456176                 NaN   1.85672                 NaN            NaN   1.28054        5.68091                 NaN
  1296.05        2500.00        91.1410                 NaN  0.433354                 NaN   1.79191                 NaN            NaN   1.22853        5.40519                 NaN
  1294.53        2500.00        89.5525                 NaN  0.483443                 NaN   2.04925                 NaN            NaN   1.44368        6.38366       0.874380E-001
  1293.02        2500.00        84.8759                 NaN  0.675905                 NaN   2.76835                 NaN            NaN   2.06281        9.30447       0.312571     
  1291.50        2500.00        85.3004                 NaN  0.828080                 NaN   2.35017                 NaN            NaN   2.06998        9.12651       0.324823     
  1289.98        2500.00        85.5173                 NaN  0.537466                 NaN   2.93506                 NaN            NaN   1.87127        8.86782       0.271074     
  1288.46        2500.00        85.6509                 NaN  0.681741                 NaN   2.59590                 NaN            NaN   1.94229        8.84542       0.283716     
  1286.94        2500.00        78.0995                 NaN   1.06540                 NaN   3.93509                 NaN            NaN   3.07466        13.3743       0.451022     
  1285.43        2500.00        94.2400                 NaN  0.173809                 NaN   1.17346                 NaN            NaN  0.588039        3.75153       0.731256E-001
  1283.91        2500.00        82.2253                 NaN  0.941296                 NaN   3.05931                 NaN            NaN   2.32925        11.1062       0.338657     
  1282.39        2500.00       0.113641E-004            NaN   5.21525                 NaN   10.4356        4.74205        1.47623        12.5083        63.7897        1.83287     
  1280.87        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1279.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1277.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1276.32        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1274.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1273.28        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1271.76        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1270.24        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1268.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1267.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1265.69        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1264.17        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1262.65        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1261.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1259.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1258.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1256.58        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1255.06        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1253.54        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1252.02        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1250.51        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
