|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.77        2500.00       0.115227E-001   98.8857                 NaN            NaN  0.130231E-001   1.08978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00       0.115178E-001   98.8651                 NaN            NaN            NaN   1.12334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00       0.114773E-001   98.8458                 NaN            NaN            NaN   1.14275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00       0.114617E-001   98.8158                 NaN            NaN            NaN   1.17270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00       0.563627E-002   99.3944                 NaN            NaN            NaN  0.599963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00       0.172242E-001   98.0925                 NaN            NaN            NaN   1.89032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00       0.114455E-001   98.6584                 NaN            NaN            NaN   1.33013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00       0.107255E-001   98.2398                 NaN            NaN            NaN  0.602578        1.14694                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00       0.103776E-001   98.1624                 NaN            NaN  0.893875E-004   1.42538       0.401793                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00       0.924982E-002   98.1652                 NaN            NaN  0.166898        1.61570       0.429906E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00       0.887951E-002   98.1837                 NaN            NaN  0.196984        1.61046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00       0.899938E-002   98.1992                 NaN            NaN  0.169686       0.105491        1.51661                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00       0.856519E-002   98.2325                 NaN            NaN  0.188032       0.407765E-002   1.56687                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00       0.824821E-002   98.2674                 NaN            NaN  0.190533        1.53382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00       0.797550E-002   98.2908                 NaN            NaN  0.195923        1.50526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00       0.779951E-002   98.3221                 NaN            NaN  0.187836        1.48224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00       0.768087E-002   98.3359                 NaN            NaN  0.177879        1.47209       0.648840E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00       0.754327E-002   98.3586                 NaN            NaN  0.174148        1.45022       0.947146E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00       0.730214E-002   98.3846                 NaN            NaN  0.173153       0.392658E-002   1.43101                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00       0.719101E-002   98.3992                 NaN            NaN  0.165758        1.40284       0.249999E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00       0.689154E-002   98.4302                 NaN            NaN  0.172187        1.39070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00       0.670894E-002   98.4497                 NaN            NaN  0.171132        1.37245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00       0.657051E-002   98.4681                 NaN            NaN  0.163979        1.35033       0.110417E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00       0.642532E-002   98.4846                 NaN            NaN  0.158785        1.32546       0.247560E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00       0.621925E-002   98.5099                 NaN            NaN  0.160494       0.124632E-001   1.31093                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00       0.614483E-002   98.5224                 NaN            NaN  0.150440        1.27448       0.465111E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00       0.597250E-002   98.5428                 NaN            NaN  0.147221       0.518489E-001   1.25211                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00       0.597511E-002   98.5302                 NaN            NaN  0.146674        1.25129       0.658248E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00       0.553372E-002   98.6046                 NaN            NaN  0.139771       0.540331E-001   1.19602                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00       0.550979E-002   98.5943                 NaN            NaN  0.139075        1.19552       0.656244E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00       0.536415E-002   98.6081                 NaN            NaN  0.136904       0.657036E-001   1.18396                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00       0.521349E-002   98.6266                 NaN            NaN  0.133799       0.741089E-001   1.16027                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00       0.507356E-002   98.6414                 NaN            NaN  0.131496        1.14513       0.769066E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00       0.493052E-002   98.6570                 NaN            NaN  0.128873        1.12774       0.814845E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00       0.480180E-002   98.6703                 NaN            NaN  0.126184        1.11305       0.856328E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00       0.502143E-002   98.5874                 NaN            NaN  0.133609       0.989638E-001   1.17499                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00       0.417535E-002   98.8014                 NaN            NaN  0.112112       0.865335E-001  0.995789                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00       0.438294E-002   98.7142                 NaN            NaN  0.119223        1.06464       0.975533E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00       0.425533E-002   98.7293                 NaN            NaN  0.116928       0.100452        1.04905                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00       0.413840E-002   98.7431                 NaN            NaN  0.114391       0.107016        1.03137                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00       0.400896E-002   98.7553                 NaN            NaN  0.112485        1.02077       0.107433                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00       0.388505E-002   98.7668                 NaN            NaN  0.110415        1.01039       0.108556                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00       0.378629E-002   98.7791                 NaN            NaN  0.108138       0.991866       0.117111                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00       0.366214E-002   98.7924                 NaN            NaN  0.106148       0.979974       0.117784                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00       0.354161E-002   98.8027                 NaN            NaN  0.104074       0.969998       0.119639                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00       0.343033E-002   98.8166                 NaN            NaN  0.102002       0.123040       0.954936                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00       0.332890E-002   98.8254                 NaN            NaN  0.100324       0.946261       0.124733                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00       0.322069E-002   98.8372                 NaN            NaN  0.979257E-001  0.129585       0.932075                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00       0.311765E-002   98.8457                 NaN            NaN  0.966976E-001  0.128910       0.925546                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00       0.340422E-002   98.8445                 NaN            NaN  0.217236       0.934874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00       0.235421E-002   98.8916                 NaN            NaN            NaN  0.850032       0.256027                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00       0.293246E-002   98.8769                 NaN            NaN  0.571620E-001  0.199097       0.863904                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00       0.271005E-002   98.8891                 NaN            NaN  0.889316E-001  0.877338       0.141918                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00       0.261461E-002   98.8983                 NaN            NaN  0.872651E-001  0.867585       0.144212                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00       0.251909E-002   98.9086                 NaN            NaN  0.854916E-001  0.146275       0.857084                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00       0.242911E-002   98.9168                 NaN            NaN  0.838793E-001  0.148037       0.848838                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00       0.233032E-002   98.9264                 NaN            NaN  0.821567E-001  0.150286       0.838804                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00       0.224968E-002   98.9318                 NaN            NaN  0.808004E-001  0.151055       0.834085                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00       0.216026E-002   98.9460                 NaN            NaN  0.788983E-001  0.154567       0.818394                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00       0.207470E-002   98.9519                 NaN            NaN  0.773756E-001  0.811964       0.156640                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00       0.199620E-002   98.9599                 NaN            NaN  0.757934E-001  0.158610       0.803724                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00       0.191435E-002   98.9681                 NaN            NaN  0.744516E-001  0.160366       0.795147                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00       0.183429E-002   98.9757                 NaN            NaN  0.728677E-001  0.161676       0.787916                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00       0.175220E-002   98.9833                 NaN            NaN  0.714164E-001  0.163731       0.779825                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00       0.167426E-002   98.9908                 NaN            NaN  0.700172E-001  0.771711       0.165750                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00       0.160805E-002   98.9977                 NaN            NaN  0.685330E-001  0.764808       0.167328                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00       0.152565E-002   99.0051                 NaN            NaN  0.670916E-001  0.168400       0.757883                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00       0.145923E-002   99.0121                 NaN            NaN  0.659588E-001  0.170435       0.750008                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00       0.135861E-002   99.0190                 NaN            NaN  0.645298E-001  0.743558       0.171591                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00       0.131603E-002   99.0251                 NaN            NaN  0.631173E-001  0.173068       0.737406                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00       0.124444E-002   99.0324                 NaN            NaN  0.617343E-001  0.173958       0.730641                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00       0.117762E-002   99.0376                 NaN            NaN  0.606354E-001  0.175402       0.725195                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.111716E-002   99.0423                 NaN            NaN  0.591043E-001  0.719477       0.177973                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00       0.105181E-002   99.0520                 NaN            NaN  0.581597E-001  0.177906       0.710907                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00       0.988396E-003   99.0561                 NaN            NaN  0.568669E-001  0.179759       0.706323                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00       0.923220E-003   99.0611                 NaN            NaN  0.555515E-001  0.180886       0.701535                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00       0.865255E-003   99.0680                 NaN            NaN  0.544447E-001  0.695043       0.181614                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00       0.806982E-003   99.0722                 NaN            NaN  0.531625E-001  0.182890       0.690981                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00       0.746367E-003   99.0778                 NaN            NaN  0.520178E-001  0.685493       0.183931                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00       0.691699E-003   99.0829                 NaN            NaN  0.510357E-001  0.185200       0.680213                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00       0.635914E-003   99.0883                 NaN            NaN  0.497432E-001  0.674964       0.186330                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00       0.584047E-003   99.0923                 NaN            NaN  0.487099E-001  0.671081       0.187372                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00       0.524097E-003   99.0936                 NaN            NaN  0.481956E-001  0.670922       0.186795                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00       0.484335E-003   99.1041                 NaN            NaN  0.458891E-001  0.190633       0.658869                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00       0.427866E-003   99.1077                 NaN            NaN  0.452639E-001  0.189801       0.656828                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00       0.378868E-003   99.1098                 NaN            NaN  0.443158E-001  0.190753       0.654747                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00       0.381099E-003   99.1116                 NaN            NaN  0.264468E-001  0.641388       0.220226                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00       0.247712E-003   99.1214                 NaN            NaN  0.590327E-001  0.655547       0.163787                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00       0.276026E-003   99.1149                 NaN            NaN  0.244019E-001  0.222539       0.637887                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00       0.164401E-003   99.1310                 NaN            NaN  0.570681E-001  0.165554       0.646183                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00       0.190622E-003   99.1296                 NaN            NaN  0.388672E-001  0.194851       0.636463                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00       0.131746E-003   99.1317                 NaN            NaN  0.300426E-001  0.209353       0.628802                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00       0.552507E-004   99.1380                 NaN            NaN  0.448116E-001  0.633870       0.183282                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00                 NaN   99.1473                 NaN            NaN  0.786119E-001  0.124260       0.649785                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00                 NaN   99.1389                 NaN            NaN  0.150888E-001  0.614381       0.231643                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.83        2500.00                 NaN   99.1409                 NaN            NaN  0.101781E-001  0.239628       0.609290                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        2500.00       0.226084E-003   99.1483                 NaN            NaN  0.325721E-001  0.200806       0.618095                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.84        2500.00       0.897550E-003   99.1508                 NaN            NaN  0.310942E-001  0.613169       0.204043                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.35        2500.00                 NaN   98.0028                 NaN            NaN  0.360142       0.793411       0.259666                 NaN            NaN  0.583980                 NaN            NaN            NaN
  1416.86        2500.00                 NaN   97.9414                 NaN            NaN  0.386003       0.248839       0.802314                 NaN            NaN  0.621420                 NaN            NaN            NaN
  1415.36        2500.00                 NaN   97.9702                 NaN            NaN  0.386049       0.796871       0.234279                 NaN            NaN  0.612553                 NaN            NaN            NaN
  1413.87        2500.00                 NaN   97.9934                 NaN            NaN  0.386710       0.794843       0.219714                 NaN            NaN  0.605349                 NaN            NaN            NaN
  1412.37        2500.00                 NaN   98.0182                 NaN            NaN  0.387881       0.794577       0.201162                 NaN            NaN  0.598230                 NaN            NaN            NaN
  1410.88        2500.00                 NaN   98.0535                 NaN            NaN  0.386735       0.777980       0.194339                 NaN            NaN  0.587463                 NaN            NaN            NaN
  1409.39        2500.00                 NaN   98.0792                 NaN            NaN  0.386148       0.176231       0.778951                 NaN            NaN  0.579455                 NaN            NaN            NaN
  1407.89        2500.00                 NaN   98.1061                 NaN            NaN  0.385246       0.775698       0.161983                 NaN            NaN  0.570971                 NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.0928                 NaN            NaN  0.392289       0.784285       0.155102                 NaN            NaN  0.575474                 NaN            NaN            NaN
  1404.90        2500.00                 NaN   98.1811                 NaN            NaN  0.381318       0.131999       0.757755                 NaN            NaN  0.547804                 NaN            NaN            NaN
  1403.41        2500.00                 NaN   98.1747                 NaN            NaN  0.386406       0.123353       0.765008                 NaN            NaN  0.550524                 NaN            NaN            NaN
  1401.92        2500.00                 NaN   98.1974                 NaN            NaN  0.386375       0.110012       0.762635                 NaN            NaN  0.543621                 NaN            NaN            NaN
  1400.42        2500.00                 NaN   98.2187                 NaN            NaN  0.386307       0.979645E-001  0.760065                 NaN            NaN  0.536999                 NaN            NaN            NaN
  1398.93        2500.00                 NaN   98.2413                 NaN            NaN  0.385670       0.757142       0.859738E-001            NaN            NaN  0.529952                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   98.2618                 NaN            NaN  0.385562       0.754406       0.747572E-001            NaN            NaN  0.523484                 NaN            NaN            NaN
  1395.94        2500.00                 NaN   98.2821                 NaN            NaN  0.385155       0.752926       0.626449E-001            NaN            NaN  0.517154                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.3020                 NaN            NaN  0.384681       0.751480       0.509360E-001            NaN            NaN  0.510924                 NaN            NaN            NaN
  1392.95        2500.00                 NaN   98.3221                 NaN            NaN  0.384309       0.749924       0.389639E-001            NaN            NaN  0.504715                 NaN            NaN            NaN
  1391.46        2500.00                 NaN   98.3393                 NaN            NaN  0.383632       0.748829       0.292919E-001            NaN            NaN  0.498974                 NaN            NaN            NaN
  1389.96        2500.00                 NaN   99.1813                 NaN            NaN  0.219418       0.344836                 NaN            NaN            NaN  0.254401                 NaN            NaN            NaN
  1388.47        2500.00                 NaN   97.5453                 NaN            NaN  0.544249        1.13117       0.533135E-001            NaN            NaN  0.725928                 NaN            NaN            NaN
  1386.97        2500.00                 NaN   97.1599                 NaN            NaN  0.666304        1.32090                 NaN            NaN            NaN  0.852856                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.6439                 NaN            NaN  0.718668E-001  0.137400       0.443536E-001            NaN            NaN  0.102475                 NaN            NaN            NaN
  1383.99        2500.00                 NaN   98.4293                 NaN            NaN  0.375360       0.725331                 NaN            NaN            NaN  0.469991                 NaN            NaN            NaN
  1382.49        2500.00                 NaN   98.4446                 NaN            NaN  0.370983       0.720186                 NaN            NaN            NaN  0.464201                 NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.4616                 NaN            NaN  0.363397       0.717093                 NaN            NaN            NaN  0.457954                 NaN            NaN            NaN
  1379.50        2500.00                 NaN   98.4763                 NaN            NaN  0.361400       0.709457                 NaN            NaN            NaN  0.452882                 NaN            NaN            NaN
  1378.01        2500.00                 NaN   98.4810                 NaN            NaN  0.367324       0.698290                 NaN            NaN            NaN  0.453378                 NaN            NaN            NaN
  1376.52        2500.00                 NaN   98.5196                 NaN            NaN  0.349393       0.694238                 NaN            NaN            NaN  0.436765                 NaN            NaN            NaN
  1375.02        2500.00                 NaN   98.4983                 NaN            NaN  0.293628       0.171365       0.601351                 NaN            NaN  0.435319                 NaN            NaN            NaN
  1373.53        2500.00                 NaN   98.5354                 NaN            NaN  0.351708       0.680442                 NaN            NaN            NaN  0.432406                 NaN            NaN            NaN
  1372.03        2500.00                 NaN   98.5534                 NaN            NaN  0.351224       0.668462                 NaN            NaN            NaN  0.426911                 NaN            NaN            NaN
  1370.54        2500.00                 NaN   98.5576                 NaN            NaN  0.347645       0.669522                 NaN            NaN            NaN  0.425250                 NaN            NaN            NaN
  1369.05        2500.00                 NaN   98.5846                 NaN            NaN  0.338350       0.661895                 NaN            NaN            NaN  0.415111                 NaN            NaN            NaN
  1367.55        2500.00                 NaN   98.5491                 NaN            NaN  0.229128       0.322304       0.491569                 NaN            NaN  0.407851                 NaN            NaN            NaN
  1366.06        2500.00                 NaN   98.6047                 NaN            NaN  0.334273       0.653548                 NaN            NaN            NaN  0.407481                 NaN            NaN            NaN
  1364.56        2500.00                 NaN   98.6181                 NaN            NaN  0.334258       0.643932                 NaN            NaN            NaN  0.403732                 NaN            NaN            NaN
  1363.07        2500.00                 NaN   98.6294                 NaN            NaN  0.330150       0.641003                 NaN            NaN            NaN  0.399419                 NaN            NaN            NaN
  1361.57        2500.00                 NaN   98.6405                 NaN            NaN  0.329075       0.634633                 NaN            NaN            NaN  0.395789                 NaN            NaN            NaN
  1360.08        2500.00                 NaN   98.6561                 NaN            NaN  0.325672       0.628193                 NaN            NaN            NaN  0.390085                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   98.6662                 NaN            NaN  0.322323       0.625036                 NaN            NaN            NaN  0.386430                 NaN            NaN            NaN
  1357.09        2500.00                 NaN   98.6777                 NaN            NaN  0.318880       0.621060                 NaN            NaN            NaN  0.382348                 NaN            NaN            NaN
  1355.60        2500.00                 NaN   98.6926                 NaN            NaN  0.313925       0.616370                 NaN            NaN            NaN  0.377137                 NaN            NaN            NaN
  1354.10        2500.00                 NaN   98.7007                 NaN            NaN  0.310419       0.615320                 NaN            NaN            NaN  0.373523                 NaN            NaN            NaN
  1352.61        2500.00                 NaN   98.7111                 NaN            NaN  0.308969       0.609710                 NaN            NaN            NaN  0.370189                 NaN            NaN            NaN
  1351.12        2500.00                 NaN   98.7216                 NaN            NaN  0.305480       0.606155                 NaN            NaN            NaN  0.366770                 NaN            NaN            NaN
  1349.62        2500.00                 NaN   98.7353                 NaN            NaN  0.300272       0.603545                 NaN            NaN            NaN  0.360840                 NaN            NaN            NaN
  1348.13        2500.00                 NaN   98.7433                 NaN            NaN  0.300657       0.597557                 NaN            NaN            NaN  0.358480                 NaN            NaN            NaN
  1346.63        2500.00                 NaN   98.7522                 NaN            NaN  0.296609       0.596239                 NaN            NaN            NaN  0.355002                 NaN            NaN            NaN
  1345.14        2500.00                 NaN   98.7290                 NaN            NaN  0.292196       0.616187                 NaN            NaN            NaN  0.362663                 NaN            NaN            NaN
  1343.65        2500.00                 NaN   98.8164                 NaN            NaN  0.277354       0.573331                 NaN            NaN            NaN  0.332943                 NaN            NaN            NaN
  1342.15        2500.00                 NaN   98.7828                 NaN            NaN  0.284013       0.589702                 NaN            NaN            NaN  0.343533                 NaN            NaN            NaN
  1340.66        2500.00                 NaN   98.7913                 NaN            NaN  0.280459       0.587852                 NaN            NaN            NaN  0.340375                 NaN            NaN            NaN
  1339.16        2500.00                 NaN   98.8029                 NaN            NaN  0.278348       0.582419                 NaN            NaN            NaN  0.336333                 NaN            NaN            NaN
  1337.67        2500.00                 NaN   98.8093                 NaN            NaN  0.272502       0.584017                 NaN            NaN            NaN  0.334186                 NaN            NaN            NaN
  1336.17        2500.00                 NaN   98.7995                 NaN            NaN  0.281077       0.582729                 NaN            NaN            NaN  0.336651                 NaN            NaN            NaN
  1334.68        2500.00                 NaN   98.8499                 NaN            NaN  0.260593       0.570176                 NaN            NaN            NaN  0.319369                 NaN            NaN            NaN
  1333.19        2500.00                 NaN   98.6748                 NaN            NaN  0.253886       0.639415                 NaN            NaN            NaN  0.356340       0.755233E-001            NaN            NaN
  1331.69        2500.00                 NaN   98.6814                 NaN            NaN  0.253167       0.632250                 NaN            NaN            NaN  0.354383       0.788274E-001            NaN            NaN
  1330.20        2500.00                 NaN   98.6972                 NaN            NaN  0.248790       0.627385                 NaN            NaN            NaN  0.349482       0.771094E-001            NaN            NaN
  1328.70        2500.00                 NaN   98.7120                 NaN            NaN  0.246604       0.620263                 NaN            NaN            NaN  0.345415       0.757145E-001            NaN            NaN
  1327.21        2500.00                 NaN   98.7269                 NaN            NaN  0.243505       0.614197                 NaN            NaN            NaN  0.341140       0.742557E-001            NaN            NaN
  1325.72        2500.00                 NaN   98.7416                 NaN            NaN  0.242618       0.605624                 NaN            NaN            NaN  0.337198       0.729355E-001            NaN            NaN
  1324.22        2500.00                 NaN   98.7562                 NaN            NaN  0.238736       0.600628                 NaN            NaN            NaN  0.332938       0.714863E-001            NaN            NaN
  1322.73        2500.00                 NaN   98.7714                 NaN            NaN  0.235933       0.593873                 NaN            NaN            NaN  0.328719       0.700986E-001            NaN            NaN
  1321.23        2500.00                 NaN   98.7856                 NaN            NaN  0.233178       0.587720                 NaN            NaN            NaN  0.324775       0.687435E-001            NaN            NaN
