|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1496.04        2500.00       0.215681E-002   98.9666                 NaN            NaN  0.829253E-001  0.838671       0.109661                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00       0.208794E-002   98.9774                 NaN            NaN  0.808470E-001  0.113853       0.825804                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00       0.202179E-002   98.9854                 NaN            NaN  0.797557E-001  0.113192       0.819598                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00       0.220954E-002   98.9905                 NaN            NaN  0.179237       0.828041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00       0.152801E-002   99.0219                 NaN            NaN            NaN  0.752061       0.224535                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00       0.190435E-002   99.0125                 NaN            NaN  0.470066E-001  0.174521       0.764077                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00       0.176083E-002   99.0252                 NaN            NaN  0.730622E-001  0.775648       0.124329                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00       0.169942E-002   99.0337                 NaN            NaN  0.716205E-001  0.766705       0.126267                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00       0.163836E-002   99.0432                 NaN            NaN  0.701036E-001  0.127999       0.757086                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00       0.158049E-002   99.0508                 NaN            NaN  0.687052E-001  0.129455       0.749445                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00       0.151699E-002   99.0596                 NaN            NaN  0.672367E-001  0.131348       0.740298                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00       0.146494E-002   99.0649                 NaN            NaN  0.660307E-001  0.131925       0.735713                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00       0.140757E-002   99.0776                 NaN            NaN  0.644374E-001  0.134924       0.721602                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00       0.135254E-002   99.0832                 NaN            NaN  0.631360E-001  0.715649       0.136657                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00       0.130192E-002   99.0906                 NaN            NaN  0.617778E-001  0.138286       0.708024                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00       0.124926E-002   99.0982                 NaN            NaN  0.606246E-001  0.139735       0.700148                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00       0.119759E-002   99.1053                 NaN            NaN  0.592761E-001  0.140787       0.693452                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00       0.114449E-002   99.1123                 NaN            NaN  0.580356E-001  0.142487       0.686015                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00       0.109419E-002   99.1193                 NaN            NaN  0.568385E-001  0.678594       0.144162                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        2500.00       0.105139E-002   99.1258                 NaN            NaN  0.555822E-001  0.672162       0.145433                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.16        2500.00       0.998137E-003   99.1326                 NaN            NaN  0.543633E-001  0.146279       0.665776                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.67        2500.00       0.955107E-003   99.1392                 NaN            NaN  0.533805E-001  0.147953       0.658526                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.17        2500.00       0.889673E-003   99.1455                 NaN            NaN  0.521726E-001  0.652542       0.148855                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.68        2500.00       0.862381E-003   99.1512                 NaN            NaN  0.509840E-001  0.150049       0.646856                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.19        2500.00       0.815721E-003   99.1581                 NaN            NaN  0.498044E-001  0.150711       0.640546                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.69        2500.00       0.772317E-003   99.1630                 NaN            NaN  0.488692E-001  0.151869       0.635482                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.733316E-003   99.1675                 NaN            NaN  0.475974E-001  0.630199       0.154004                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.70        2500.00       0.690645E-003   99.1764                 NaN            NaN  0.467851E-001  0.153837       0.622336                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00       0.649301E-003   99.1803                 NaN            NaN  0.456906E-001  0.155335       0.618010                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.72        2500.00       0.606740E-003   99.1851                 NaN            NaN  0.445830E-001  0.156211       0.613517                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00       0.569033E-003   99.1915                 NaN            NaN  0.436496E-001  0.607513       0.156733                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.73        2500.00       0.531085E-003   99.1955                 NaN            NaN  0.425834E-001  0.157730       0.603661                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00       0.491379E-003   99.2008                 NaN            NaN  0.416140E-001  0.598531       0.158519                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.74        2500.00       0.455636E-003   99.2056                 NaN            NaN  0.407840E-001  0.159507       0.593623                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.24        2500.00       0.419142E-003   99.2107                 NaN            NaN  0.397148E-001  0.588746       0.160380                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.75        2500.00       0.385215E-003   99.2146                 NaN            NaN  0.388479E-001  0.585027       0.161160                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.26        2500.00       0.345894E-003   99.2161                 NaN            NaN  0.383878E-001  0.584604       0.160567                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.76        2500.00       0.319767E-003   99.2257                 NaN            NaN  0.365110E-001  0.163732       0.573722                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.27        2500.00       0.282669E-003   99.2292                 NaN            NaN  0.359768E-001  0.162913       0.571646                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.77        2500.00       0.250472E-003   99.2315                 NaN            NaN  0.351814E-001  0.163611       0.569496                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.28        2500.00       0.252096E-003   99.2324                 NaN            NaN  0.209732E-001  0.557595       0.188771                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.79        2500.00       0.163962E-003   99.2432                 NaN            NaN  0.467621E-001  0.569558       0.140288                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.29        2500.00       0.182822E-003   99.2362                 NaN            NaN  0.193088E-001  0.190457       0.553851                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.80        2500.00       0.108929E-003   99.2524                 NaN            NaN  0.451054E-001  0.141602       0.560761                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00       0.126406E-003   99.2506                 NaN            NaN  0.306859E-001  0.166543       0.552004                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.81        2500.00       0.874116E-004   99.2524                 NaN            NaN  0.236905E-001  0.178807       0.545036                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.32        2500.00       0.366819E-004   99.2591                 NaN            NaN  0.352976E-001  0.549121       0.156433                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.82        2500.00                 NaN   99.2696                 NaN            NaN  0.618502E-001  0.105975       0.562529                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.33        2500.00                 NaN   99.2592                 NaN            NaN  0.118568E-001  0.531541       0.197409                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.83        2500.00                 NaN   99.2611                 NaN            NaN  0.798918E-002  0.204071       0.526840                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        2500.00       0.150509E-003   99.2693                 NaN            NaN  0.255378E-001  0.170891       0.534135                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.84        2500.00       0.597801E-003   99.2720                 NaN            NaN  0.243539E-001  0.529513       0.173506                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.35        2500.00                 NaN   98.1896                 NaN            NaN  0.281631       0.684924       0.220706                 NaN            NaN  0.623183                 NaN            NaN            NaN
  1416.86        2500.00                 NaN   98.1327                 NaN            NaN  0.301222       0.211276       0.691924                 NaN            NaN  0.662890                 NaN            NaN            NaN
  1415.36        2500.00                 NaN   98.1611                 NaN            NaN  0.300568       0.686474       0.198674                 NaN            NaN  0.653141                 NaN            NaN            NaN
  1413.87        2500.00                 NaN   98.1845                 NaN            NaN  0.300335       0.683891       0.186081                 NaN            NaN  0.645164                 NaN            NaN            NaN
  1412.37        2500.00                 NaN   98.2091                 NaN            NaN  0.300630       0.682803       0.170175                 NaN            NaN  0.637271                 NaN            NaN            NaN
  1410.88        2500.00                 NaN   98.2432                 NaN            NaN  0.299118       0.668028       0.164216                 NaN            NaN  0.625484                 NaN            NaN            NaN
  1409.39        2500.00                 NaN   98.2686                 NaN            NaN  0.297991       0.148746       0.668021                 NaN            NaN  0.616641                 NaN            NaN            NaN
  1407.89        2500.00                 NaN   98.2951                 NaN            NaN  0.296617       0.664442       0.136534                 NaN            NaN  0.607291                 NaN            NaN            NaN
  1406.40        2500.00                 NaN   98.2855                 NaN            NaN  0.301219       0.670940       0.130554                 NaN            NaN  0.611762                 NaN            NaN            NaN
  1404.90        2500.00                 NaN   98.3673                 NaN            NaN  0.292285       0.110977       0.647497                 NaN            NaN  0.581984                 NaN            NaN            NaN
  1403.41        2500.00                 NaN   98.3634                 NaN            NaN  0.295521       0.103579       0.652913                 NaN            NaN  0.584551                 NaN            NaN            NaN
  1401.92        2500.00                 NaN   98.3859                 NaN            NaN  0.294841       0.922587E-001  0.650084                 NaN            NaN  0.576877                 NaN            NaN            NaN
  1400.42        2500.00                 NaN   98.4072                 NaN            NaN  0.294100       0.820446E-001  0.647116                 NaN            NaN  0.569501                 NaN            NaN            NaN
  1398.93        2500.00                 NaN   98.4297                 NaN            NaN  0.292972       0.643757       0.719114E-001            NaN            NaN  0.561674                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   98.4502                 NaN            NaN  0.292222       0.640628       0.624463E-001            NaN            NaN  0.554461                 NaN            NaN            NaN
  1395.94        2500.00                 NaN   98.4706                 NaN            NaN  0.291256       0.638521       0.522602E-001            NaN            NaN  0.547395                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.4904                 NaN            NaN  0.290249       0.636434       0.424370E-001            NaN            NaN  0.540436                 NaN            NaN            NaN
  1392.95        2500.00                 NaN   98.5104                 NaN            NaN  0.289370       0.634337       0.324199E-001            NaN            NaN  0.533499                 NaN            NaN            NaN
  1391.46        2500.00                 NaN   98.5280                 NaN            NaN  0.288110       0.632462       0.243365E-001            NaN            NaN  0.527060                 NaN            NaN            NaN
  1389.96        2500.00                 NaN   99.2770                 NaN            NaN  0.163979       0.290675                 NaN            NaN            NaN  0.268367                 NaN            NaN            NaN
  1388.47        2500.00                 NaN   97.8282                 NaN            NaN  0.407367       0.953849       0.442223E-001            NaN            NaN  0.766410                 NaN            NaN            NaN
  1386.97        2500.00                 NaN   97.4918                 NaN            NaN  0.496189        1.11236                 NaN            NaN            NaN  0.899638                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.6870                 NaN            NaN  0.534179E-001  0.115251       0.365982E-001            NaN            NaN  0.107761                 NaN            NaN            NaN
  1383.99        2500.00                 NaN   98.6180                 NaN            NaN  0.278736       0.608633                 NaN            NaN            NaN  0.494589                 NaN            NaN            NaN
  1382.49        2500.00                 NaN   98.6336                 NaN            NaN  0.274877       0.603442                 NaN            NaN            NaN  0.488113                 NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.6502                 NaN            NaN  0.268733       0.599864                 NaN            NaN            NaN  0.481164                 NaN            NaN            NaN
  1379.50        2500.00                 NaN   98.6652                 NaN            NaN  0.266626       0.592769                 NaN            NaN            NaN  0.475454                 NaN            NaN            NaN
  1378.01        2500.00                 NaN   98.6710                 NaN            NaN  0.270342       0.583099                 NaN            NaN            NaN  0.475587                 NaN            NaN            NaN
  1376.52        2500.00                 NaN   98.7072                 NaN            NaN  0.256613       0.578422                 NaN            NaN            NaN  0.457776                 NaN            NaN            NaN
  1375.02        2500.00                 NaN   98.6886                 NaN            NaN  0.215207       0.140242       0.500074                 NaN            NaN  0.455909                 NaN            NaN            NaN
  1373.53        2500.00                 NaN   98.7249                 NaN            NaN  0.257151       0.565523                 NaN            NaN            NaN  0.452471                 NaN            NaN            NaN
  1372.03        2500.00                 NaN   98.7425                 NaN            NaN  0.256224       0.554970                 NaN            NaN            NaN  0.446335                 NaN            NaN            NaN
  1370.54        2500.00                 NaN   98.7477                 NaN            NaN  0.253087       0.554969                 NaN            NaN            NaN  0.444217                 NaN            NaN            NaN
  1369.05        2500.00                 NaN   98.7732                 NaN            NaN  0.245789       0.547772                 NaN            NaN            NaN  0.433241                 NaN            NaN            NaN
  1367.55        2500.00                 NaN   98.7409                 NaN            NaN  0.166048       0.261946       0.405780                 NaN            NaN  0.425332                 NaN            NaN            NaN
  1366.06        2500.00                 NaN   98.7943                 NaN            NaN  0.241701       0.539445                 NaN            NaN            NaN  0.424557                 NaN            NaN            NaN
  1364.56        2500.00                 NaN   98.8076                 NaN            NaN  0.241214       0.530874                 NaN            NaN            NaN  0.420270                 NaN            NaN            NaN
  1363.07        2500.00                 NaN   98.8192                 NaN            NaN  0.237703       0.527659                 NaN            NaN            NaN  0.415403                 NaN            NaN            NaN
  1361.57        2500.00                 NaN   98.8306                 NaN            NaN  0.236365       0.521752                 NaN            NaN            NaN  0.411249                 NaN            NaN            NaN
  1360.08        2500.00                 NaN   98.8459                 NaN            NaN  0.233437       0.515720                 NaN            NaN            NaN  0.404945                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   98.8563                 NaN            NaN  0.230564       0.512401                 NaN            NaN            NaN  0.400775                 NaN            NaN            NaN
  1357.09        2500.00                 NaN   98.8678                 NaN            NaN  0.227586       0.508400                 NaN            NaN            NaN  0.396168                 NaN            NaN            NaN
  1355.60        2500.00                 NaN   98.8821                 NaN            NaN  0.223668       0.503824                 NaN            NaN            NaN  0.390395                 NaN            NaN            NaN
  1354.10        2500.00                 NaN   98.8910                 NaN            NaN  0.220585       0.502172                 NaN            NaN            NaN  0.386286                 NaN            NaN            NaN
  1352.61        2500.00                 NaN   98.9015                 NaN            NaN  0.219089       0.496898                 NaN            NaN            NaN  0.382469                 NaN            NaN            NaN
  1351.12        2500.00                 NaN   98.9120                 NaN            NaN  0.216151       0.493330                 NaN            NaN            NaN  0.378568                 NaN            NaN            NaN
  1349.62        2500.00                 NaN   98.9255                 NaN            NaN  0.212010       0.490451                 NaN            NaN            NaN  0.372082                 NaN            NaN            NaN
  1348.13        2500.00                 NaN   98.9340                 NaN            NaN  0.211812       0.484877                 NaN            NaN            NaN  0.369285                 NaN            NaN            NaN
  1346.63        2500.00                 NaN   98.9430                 NaN            NaN  0.208515       0.483106                 NaN            NaN            NaN  0.365339                 NaN            NaN            NaN
  1345.14        2500.00                 NaN   98.9236                 NaN            NaN  0.204998       0.498528                 NaN            NaN            NaN  0.372859                 NaN            NaN            NaN
  1343.65        2500.00                 NaN   99.0009                 NaN            NaN  0.194162       0.463038                 NaN            NaN            NaN  0.341936                 NaN            NaN            NaN
  1342.15        2500.00                 NaN   98.9735                 NaN            NaN  0.198406       0.475630                 NaN            NaN            NaN  0.352479                 NaN            NaN            NaN
  1340.66        2500.00                 NaN   98.9823                 NaN            NaN  0.195459       0.473390                 NaN            NaN            NaN  0.348885                 NaN            NaN            NaN
  1339.16        2500.00                 NaN   98.9936                 NaN            NaN  0.193645       0.468392                 NaN            NaN            NaN  0.344389                 NaN            NaN            NaN
  1337.67        2500.00                 NaN   99.0002                 NaN            NaN  0.189178       0.468739                 NaN            NaN            NaN  0.341841                 NaN            NaN            NaN
  1336.17        2500.00                 NaN   98.9938                 NaN            NaN  0.194768       0.467431                 NaN            NaN            NaN  0.344012                 NaN            NaN            NaN
  1334.68        2500.00                 NaN   99.0375                 NaN            NaN  0.180160       0.456322                 NaN            NaN            NaN  0.325999                 NaN            NaN            NaN
  1333.19        2500.00                 NaN   98.9052                 NaN            NaN  0.175162       0.511206                 NaN            NaN            NaN  0.363401       0.450174E-001            NaN            NaN
  1331.69        2500.00                 NaN   98.9132                 NaN            NaN  0.174288       0.504720                 NaN            NaN            NaN  0.360910       0.469216E-001            NaN            NaN
  1330.20        2500.00                 NaN   98.9280                 NaN            NaN  0.170845       0.499921                 NaN            NaN            NaN  0.355422       0.458341E-001            NaN            NaN
  1328.70        2500.00                 NaN   98.9419                 NaN            NaN  0.168946       0.493407                 NaN            NaN            NaN  0.350797       0.449413E-001            NaN            NaN
  1327.21        2500.00                 NaN   98.9558                 NaN            NaN  0.166442       0.487729                 NaN            NaN            NaN  0.345972       0.440132E-001            NaN            NaN
  1325.72        2500.00                 NaN   98.9697                 NaN            NaN  0.165435       0.480170                 NaN            NaN            NaN  0.341498       0.431695E-001            NaN            NaN
  1324.22        2500.00                 NaN   98.9833                 NaN            NaN  0.162421       0.475348                 NaN            NaN            NaN  0.336713       0.422519E-001            NaN            NaN
  1322.73        2500.00                 NaN   98.9973                 NaN            NaN  0.160147       0.469236                 NaN            NaN            NaN  0.331983       0.413732E-001            NaN            NaN
