|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q              hed           
  1357.34        500.000        99.1301       0.134625       0.330703                 NaN  0.150864                 NaN  0.253677                 NaN            NaN            NaN            NaN
  1356.28        500.000        99.1385       0.130766       0.328368                 NaN  0.151077                 NaN  0.251326                 NaN            NaN            NaN            NaN
  1355.22        500.000        99.1446       0.326811       0.127688                 NaN  0.151355                 NaN  0.249497                 NaN            NaN            NaN            NaN
  1354.16        500.000        99.1530       0.324613       0.124446                 NaN  0.151059                 NaN  0.246922                 NaN            NaN            NaN            NaN
  1353.10        500.000        99.1593       0.323790       0.120636                 NaN  0.151166                 NaN  0.245097                 NaN            NaN            NaN            NaN
  1352.04        500.000        99.1689       0.116613       0.320653                 NaN  0.151442                 NaN  0.242394                 NaN            NaN            NaN            NaN
  1350.98        500.000        99.1746       0.113636       0.319760                 NaN  0.151329                 NaN  0.240635                 NaN            NaN            NaN            NaN
  1349.92        500.000        99.1800       0.318941       0.110435                 NaN  0.151636                 NaN  0.238994                 NaN            NaN            NaN            NaN
  1348.86        500.000        99.1901       0.315511       0.107589                 NaN  0.150813                 NaN  0.235938                 NaN            NaN            NaN            NaN
  1347.80        500.000        99.1952       0.314564       0.104626                 NaN  0.151123                 NaN  0.234492                 NaN            NaN            NaN            NaN
  1346.73        500.000        99.2001       0.102394       0.312802                 NaN  0.151394                 NaN  0.233314                 NaN            NaN            NaN            NaN
  1345.67        500.000        99.2127       0.974973E-001  0.310322                 NaN  0.150365                 NaN  0.229125                 NaN            NaN            NaN            NaN
  1344.61        500.000        99.2112       0.291356       0.106785                 NaN  0.159310                 NaN  0.231316                 NaN            NaN            NaN            NaN
  1343.55        500.000        99.2318       0.326561       0.756900E-001            NaN  0.143284                 NaN  0.222691                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.2288       0.905391E-001  0.306339                 NaN  0.149956                 NaN  0.224375                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.2355       0.878451E-001  0.304330                 NaN  0.149905                 NaN  0.222386                 NaN            NaN            NaN            NaN
  1340.37        500.000        99.2410       0.863782E-001  0.302711                 NaN  0.149292                 NaN  0.220655                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.2467       0.840002E-001  0.301625                 NaN  0.148856                 NaN  0.218841                 NaN            NaN            NaN            NaN
  1338.25        500.000        99.2527       0.299660       0.822879E-001            NaN  0.148324                 NaN  0.217026                 NaN            NaN            NaN            NaN
  1337.19        500.000        99.2580       0.298996       0.786779E-001            NaN  0.148756                 NaN  0.215550                 NaN            NaN            NaN            NaN
  1336.13        500.000        99.2668       0.788979E-001  0.295270                 NaN  0.146484                 NaN  0.212537                 NaN            NaN            NaN            NaN
  1335.07        500.000        99.2704       0.295558       0.752765E-001            NaN  0.147156                 NaN  0.211568                 NaN            NaN            NaN            NaN
  1334.01        500.000        99.2772       0.292772       0.739093E-001            NaN  0.146536                 NaN  0.209551                 NaN            NaN            NaN            NaN
  1332.95        500.000        99.2823       0.727409E-001  0.291392                 NaN  0.145678                 NaN  0.207841                 NaN            NaN            NaN            NaN
  1331.89        500.000        99.2881       0.289877       0.711526E-001            NaN  0.144822                 NaN  0.206001                 NaN            NaN            NaN            NaN
  1330.83        500.000        99.2935       0.287832       0.703866E-001            NaN  0.143932                 NaN  0.204311                 NaN            NaN            NaN            NaN
  1329.77        500.000        99.2995       0.286652       0.662856E-001            NaN  0.144749                 NaN  0.202773                 NaN            NaN            NaN            NaN
  1328.71        500.000        99.3050       0.669443E-001  0.285045                 NaN  0.142461                 NaN  0.200584                 NaN            NaN            NaN            NaN
  1327.65        500.000        99.3091       0.283710       0.655462E-001            NaN  0.142233                 NaN  0.199406                 NaN            NaN            NaN            NaN
  1326.59        500.000        99.3152       0.641083E-001  0.281987                 NaN  0.141202                 NaN  0.197471                 NaN            NaN            NaN            NaN
  1325.53        500.000        99.3192       0.280616       0.644647E-001            NaN  0.139701                 NaN  0.195997                 NaN            NaN            NaN            NaN
  1324.47        500.000        99.3251       0.278945       0.625053E-001            NaN  0.139247                 NaN  0.194204                 NaN            NaN            NaN            NaN
  1323.41        500.000        99.3299       0.622526E-001  0.277020                 NaN  0.138183                 NaN  0.192646                 NaN            NaN            NaN            NaN
  1322.35        500.000        99.3348       0.606502E-001  0.275928                 NaN  0.137506                 NaN  0.191120                 NaN            NaN            NaN            NaN
  1321.29        500.000        99.3394       0.274057       0.610046E-001            NaN  0.136004                 NaN  0.189492                 NaN            NaN            NaN            NaN
  1320.23        500.000        99.3434       0.585051E-001  0.273769                 NaN  0.135972                 NaN  0.188320                 NaN            NaN            NaN            NaN
  1319.17        500.000        99.3495       0.270555       0.608989E-001            NaN  0.133031                 NaN  0.185989                 NaN            NaN            NaN            NaN
  1318.11        500.000        99.3525       0.270209       0.592617E-001            NaN  0.132860                 NaN  0.185141                 NaN            NaN            NaN            NaN
  1317.04        500.000        99.3592       0.267153       0.589748E-001            NaN  0.131558                 NaN  0.183074                 NaN            NaN            NaN            NaN
  1315.98        500.000        99.3628       0.588080E-001  0.266072                 NaN  0.130467                 NaN  0.181805                 NaN            NaN            NaN            NaN
  1314.92        500.000        99.3676       0.264138       0.588148E-001            NaN  0.129199                 NaN  0.180285                 NaN            NaN            NaN            NaN
  1313.86        500.000        99.3706       0.264147       0.560350E-001            NaN  0.129710                 NaN  0.179546                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.3773       0.259335       0.619389E-001            NaN  0.124747                 NaN  0.176684                 NaN            NaN            NaN            NaN
  1311.74        500.000        99.3804       0.259146       0.595303E-001            NaN  0.125012                 NaN  0.175936                 NaN            NaN            NaN            NaN
  1310.68        500.000        99.3849       0.600370E-001  0.257064                 NaN  0.123571                 NaN  0.174424                 NaN            NaN            NaN            NaN
  1309.62        500.000        99.3890       0.255679       0.598299E-001            NaN  0.122360                 NaN  0.173121                 NaN            NaN            NaN            NaN
  1308.56        500.000        99.3927       0.612649E-001  0.253782                 NaN  0.120514                 NaN  0.171710                 NaN            NaN            NaN            NaN
  1307.50        500.000        99.3971       0.251817       0.617535E-001            NaN  0.119052                 NaN  0.170283                 NaN            NaN            NaN            NaN
  1306.44        500.000        99.4002       0.621075E-001  0.251012                 NaN  0.117549                 NaN  0.169139                 NaN            NaN            NaN            NaN
  1305.38        500.000        99.4049       0.248029       0.639670E-001            NaN  0.115549                 NaN  0.167513                 NaN            NaN            NaN            NaN
  1304.32        500.000        99.4086       0.246337       0.646645E-001            NaN  0.114073                 NaN  0.166283                 NaN            NaN            NaN            NaN
  1303.26        500.000        99.4124       0.244909       0.649551E-001            NaN  0.112759                 NaN  0.164999                 NaN            NaN            NaN            NaN
  1302.20        500.000        99.4152       0.243366       0.665137E-001            NaN  0.110964                 NaN  0.163979                 NaN            NaN            NaN            NaN
  1301.14        500.000        99.4203       0.240566       0.681417E-001            NaN  0.108791                 NaN  0.162185                 NaN            NaN            NaN            NaN
  1300.08        500.000        99.4216       0.641203E-001  0.242142                 NaN  0.109990                 NaN  0.162160                 NaN            NaN            NaN            NaN
  1299.02        500.000        99.4267       0.249646       0.271699E-001            NaN  0.133795                 NaN  0.162680                 NaN            NaN            NaN            NaN
  1297.96        500.000        99.4333       0.117348       0.220397                 NaN  0.741163E-001            NaN  0.154858                 NaN            NaN            NaN            NaN
  1296.90        500.000        99.4340       0.233548       0.729880E-001            NaN  0.102080                 NaN  0.157428                 NaN            NaN            NaN            NaN
  1295.84        500.000        99.4371       0.755742E-001  0.231022                 NaN  0.999399E-001            NaN  0.156318                 NaN            NaN            NaN            NaN
  1294.78        500.000        99.4406       0.816355E-001  0.227006                 NaN  0.958417E-001            NaN  0.154958                 NaN            NaN            NaN            NaN
  1293.72        500.000        99.4447       0.229840       0.712326E-001            NaN  0.100051                 NaN  0.154176                 NaN            NaN            NaN            NaN
  1292.66        500.000        99.4474       0.223950       0.828301E-001            NaN  0.932565E-001            NaN  0.152552                 NaN            NaN            NaN            NaN
  1291.60        500.000        99.4506       0.222615       0.829126E-001            NaN  0.922803E-001            NaN  0.151599                 NaN            NaN            NaN            NaN
  1290.54        500.000        99.4536       0.220383       0.851645E-001            NaN  0.903087E-001            NaN  0.150546                 NaN            NaN            NaN            NaN
  1289.48        500.000        99.4567       0.218641       0.867928E-001            NaN  0.884144E-001            NaN  0.149492                 NaN            NaN            NaN            NaN
  1288.42        500.000        99.4597       0.904551E-001  0.215449                 NaN  0.860399E-001            NaN  0.148362                 NaN            NaN            NaN            NaN
  1287.36        500.000        99.4629       0.905194E-001  0.213977                 NaN  0.851216E-001            NaN  0.147470                 NaN            NaN            NaN            NaN
  1286.29        500.000        99.4660       0.965268E-001  0.210368                 NaN  0.811346E-001            NaN  0.145992                 NaN            NaN            NaN            NaN
  1285.23        500.000        99.4677       0.208634       0.990052E-001            NaN  0.792688E-001            NaN  0.145363                 NaN            NaN            NaN            NaN
  1284.17        500.000        99.4713       0.989778E-001  0.206961                 NaN  0.783918E-001            NaN  0.144338                 NaN            NaN            NaN            NaN
  1283.11        500.000        99.4734       0.103279       0.204564                 NaN  0.753908E-001            NaN  0.143317                 NaN            NaN            NaN            NaN
  1282.05        500.000        99.4767       0.200072       0.107556                 NaN  0.732643E-001            NaN  0.142429                 NaN            NaN            NaN            NaN
  1280.99        500.000        99.4792       0.107995       0.199824                 NaN  0.716295E-001            NaN  0.141352                 NaN            NaN            NaN            NaN
  1279.93        500.000        99.4823       0.196095       0.112556                 NaN  0.687967E-001            NaN  0.140299                 NaN            NaN            NaN            NaN
  1278.87        500.000        99.4834       0.192866       0.117748                 NaN  0.662327E-001            NaN  0.139778                 NaN            NaN            NaN            NaN
  1277.81        500.000        94.0944       0.569799        1.38989                 NaN            NaN            NaN  0.726112        3.21979                 NaN            NaN            NaN
  1276.75        500.000        94.0870       0.558890        1.40326                 NaN  0.711676E-005            NaN  0.726788        3.22409                 NaN            NaN            NaN
  1275.69        500.000        94.3396        1.36768       0.521955                 NaN            NaN            NaN  0.699416        3.07134                 NaN            NaN            NaN
  1274.63        500.000        94.5687        1.33963       0.484246                 NaN            NaN            NaN  0.674611        2.93279                 NaN            NaN            NaN
  1273.57        500.000        94.7914       0.444499        1.31433                 NaN            NaN            NaN  0.650249        2.79948                 NaN            NaN            NaN
  1272.51        500.000        92.7697        1.00776        1.24054                 NaN            NaN            NaN  0.885927        3.88758       0.208462                 NaN            NaN
  1271.45        500.000        92.8303       0.591488        1.40784                 NaN  0.182523                 NaN  0.886078        3.86283       0.238929                 NaN            NaN
  1270.39        500.000        93.3199       0.301827        1.48365                 NaN  0.244034                 NaN  0.831504        3.59440       0.224715                 NaN            NaN
  1269.33        500.000        93.7406       0.211433        1.46200                 NaN  0.235419                 NaN  0.782088        3.35868       0.209805                 NaN            NaN
  1268.27        500.000        94.1013       0.273980        1.34189                 NaN  0.197484                 NaN  0.739475        3.15121       0.194657                 NaN            NaN
  1267.21        500.000        94.4435       0.127645        1.38280                 NaN  0.201378                 NaN  0.698931        2.96234       0.183426                 NaN            NaN
  1266.15        500.000        94.7363       0.172891        1.28468                 NaN  0.174587                 NaN  0.664124        2.79589       0.171509                 NaN            NaN
  1265.09        500.000        95.0081        1.30380       0.767780E-001            NaN  0.171709                 NaN  0.631710        2.64576       0.162181                 NaN            NaN
  1264.03        500.000        95.2546        1.31380       0.431879E-002            NaN  0.162954                 NaN  0.602052        2.50900       0.153273                 NaN            NaN
  1262.97        500.000        95.4691        1.24588       0.394379E-001            NaN  0.137511                 NaN  0.576405        2.38752       0.144142                 NaN            NaN
  1261.91        500.000        95.6675        1.23672                 NaN            NaN  0.129198                 NaN  0.552853        2.27717       0.136509                 NaN            NaN
  1260.85        500.000        95.8718        1.15399                 NaN            NaN  0.145478                 NaN  0.526468        2.17048       0.131778                 NaN            NaN
  1259.79        500.000        96.0332        1.12198                 NaN            NaN  0.132763                 NaN  0.507328        2.07979       0.124975                 NaN            NaN
  1258.73        500.000        96.2003        1.06093                 NaN            NaN  0.139222                 NaN  0.486538        1.99272       0.120252                 NaN            NaN
  1257.67        500.000        96.3283        1.06918                 NaN            NaN  0.104723                 NaN  0.471105        1.91404       0.112699                 NaN            NaN
  1256.60        500.000        96.4716        1.02724                 NaN            NaN  0.100769                 NaN  0.453349        1.83902       0.107987                 NaN            NaN
  1255.54        500.000        96.6030       0.976246                 NaN            NaN  0.109520                 NaN  0.436719        1.77027       0.104258                 NaN            NaN
  1254.48        500.000        96.7186       0.956261                 NaN            NaN  0.968938E-001            NaN  0.422350        1.70645       0.994338E-001            NaN            NaN
  1253.42        500.000        96.8361       0.894805                 NaN            NaN  0.117663                 NaN  0.407160        1.64724       0.969891E-001            NaN            NaN
  1252.36        500.000        96.9338       0.895838                 NaN            NaN  0.923812E-001            NaN  0.394950        1.59119       0.918722E-001            NaN            NaN
  1251.30        500.000        97.0338       0.873228                 NaN            NaN  0.848706E-001            NaN  0.382388        1.53774       0.879736E-001            NaN            NaN
  1250.24        500.000        97.1280       0.838821                 NaN            NaN  0.892114E-001            NaN  0.370182        1.48872       0.851003E-001            NaN            NaN
  1249.18        500.000        97.2146       0.813643                 NaN            NaN  0.878253E-001            NaN  0.358963        1.44289       0.820370E-001            NaN            NaN
  1248.12        500.000        97.2982       0.791468                 NaN            NaN  0.845238E-001            NaN  0.348200        1.39868       0.789477E-001            NaN            NaN
  1247.06        500.000        97.3772       0.772299                 NaN            NaN  0.798123E-001            NaN  0.337948        1.35680       0.759573E-001            NaN            NaN
  1246.00        500.000        97.4544       0.743805                 NaN            NaN  0.832315E-001            NaN  0.327747        1.31725       0.735593E-001            NaN            NaN
  1244.94        500.000        97.5218       0.722109                 NaN            NaN  0.841723E-001            NaN  0.318742        1.28192       0.712392E-001            NaN            NaN
  1243.88        500.000        97.5913       0.709113                 NaN            NaN  0.765790E-001            NaN  0.309693        1.24494       0.683810E-001            NaN            NaN
  1242.82        500.000        97.6557       0.684898                 NaN            NaN  0.798835E-001            NaN  0.301083        1.21207       0.663459E-001            NaN            NaN
  1241.76        500.000        97.7167       0.679632                 NaN            NaN  0.678409E-001            NaN  0.293214        1.17920       0.634514E-001            NaN            NaN
  1240.70        500.000        97.7835       0.652326                 NaN            NaN  0.718366E-001            NaN  0.284271        1.14657       0.615072E-001            NaN            NaN
  1239.64        500.000        97.8262       0.650269                 NaN            NaN  0.646232E-001            NaN  0.278205        1.12138       0.593101E-001            NaN            NaN
  1238.58        500.000        97.8857       0.635934                 NaN            NaN  0.597840E-001            NaN  0.270448        1.09111       0.570238E-001            NaN            NaN
  1237.52        500.000        97.9385       0.619426                 NaN            NaN  0.593755E-001            NaN  0.263332        1.06422       0.551612E-001            NaN            NaN
  1236.46        500.000        97.9881       0.605716                 NaN            NaN  0.575661E-001            NaN  0.256578        1.03870       0.533001E-001            NaN            NaN
  1235.40        500.000        98.0365       0.593758                 NaN            NaN  0.546561E-001            NaN  0.250044        1.01363       0.514455E-001            NaN            NaN
  1234.34        500.000        98.0803       0.585295                 NaN            NaN  0.501798E-001            NaN  0.243982       0.990728       0.495388E-001            NaN            NaN
  1233.28        500.000        98.1264       0.572945                 NaN            NaN  0.480951E-001            NaN  0.237672       0.967060       0.478632E-001            NaN            NaN
  1232.22        500.000        98.1663       0.565882                 NaN            NaN  0.435815E-001            NaN  0.232208       0.945847       0.461331E-001            NaN            NaN
  1231.16        500.000        98.2068       0.566008                 NaN            NaN  0.324348E-001            NaN  0.226811       0.924020       0.439372E-001            NaN            NaN
  1230.10        500.000        98.2466       0.551887                 NaN            NaN  0.336969E-001            NaN  0.221252       0.903891       0.426526E-001            NaN            NaN
  1229.04        500.000        98.2829       0.552687                 NaN            NaN  0.233785E-001            NaN  0.216290       0.884043       0.407216E-001            NaN            NaN
  1227.98        500.000        98.3190       0.545013                 NaN            NaN  0.201666E-001            NaN  0.211409       0.865245       0.391959E-001            NaN            NaN
  1226.92        500.000        98.3535       0.537706                 NaN            NaN  0.170836E-001            NaN  0.206434       0.847530       0.377940E-001            NaN            NaN
  1225.85        500.000        98.3870       0.532669                 NaN            NaN  0.125319E-001            NaN  0.201992       0.829482       0.363310E-001            NaN            NaN
  1224.79        500.000        98.4186       0.529588                 NaN            NaN  0.673609E-002            NaN  0.197361       0.812891       0.348062E-001            NaN            NaN
  1223.73        500.000        98.4495       0.519308                 NaN            NaN  0.750354E-002            NaN  0.193070       0.796817       0.338017E-001            NaN            NaN
  1222.67        500.000        98.4801       0.517840                 NaN            NaN  0.450731E-003            NaN  0.189854       0.780066       0.317254E-001            NaN            NaN
  1221.61        500.000        98.5125       0.507598                 NaN            NaN            NaN            NaN  0.184349       0.764379       0.311289E-001            NaN            NaN
  1220.55        500.000        98.5399       0.498827                 NaN            NaN            NaN            NaN  0.181034       0.750325       0.298893E-001            NaN            NaN
  1219.49        500.000        98.5697       0.489592                 NaN            NaN            NaN            NaN  0.177282       0.734903       0.285436E-001            NaN            NaN
  1218.43        500.000        98.6017       0.478091                 NaN            NaN            NaN            NaN  0.172185       0.720012       0.280226E-001            NaN            NaN
  1217.37        500.000        98.6281       0.469440                 NaN            NaN            NaN            NaN  0.168953       0.706767       0.267511E-001            NaN            NaN
  1216.31        500.000        98.6575       0.459586                 NaN            NaN            NaN            NaN  0.165093       0.692044       0.257891E-001            NaN            NaN
  1215.25        500.000        98.6819       0.451799                 NaN            NaN            NaN            NaN  0.161986       0.679464       0.248077E-001            NaN            NaN
  1214.19        500.000        98.7110       0.441158                 NaN            NaN            NaN            NaN  0.157077       0.666361       0.243814E-001            NaN            NaN
  1213.13        500.000        98.7329       0.424221                 NaN            NaN  0.306491E-002            NaN  0.156215       0.660380       0.231785E-001            NaN            NaN
  1212.07        500.000        98.1329       0.418710       0.400406E-001            NaN            NaN            NaN  0.217952        1.13185       0.585784E-001            NaN            NaN
  1211.01        500.000        98.6198       0.177435       0.290333                 NaN  0.707461E-005            NaN  0.158866       0.724870       0.286671E-001            NaN            NaN
  1209.95        500.000        92.9583       0.259239E-001            NaN            NaN  0.719127                 NaN  0.590694        3.11487       0.103628        2.48750                 NaN
  1208.89        500.000        97.0610       0.341352E-002  0.612534                 NaN            NaN            NaN  0.359590        1.15981       0.159819E-001  0.787642                 NaN
  1207.83        500.000        89.3956        1.38677       0.559377       0.263758E-005            NaN            NaN  0.829385        3.76443       0.772942E-001   3.98716                 NaN
  1206.77        500.000        98.5422       0.635293                 NaN            NaN            NaN            NaN  0.160682       0.178575                 NaN  0.483201                 NaN
  1205.71        500.000        92.1285        1.30257                 NaN            NaN            NaN            NaN  0.665250        2.90734       0.430128E-001   2.95331                 NaN
  1204.65        500.000        90.5811       0.339843       0.721534       0.415010                 NaN            NaN  0.774837        3.49813       0.768744E-001   3.59267                 NaN
  1203.59        500.000        74.9225        3.58232                 NaN            NaN  0.360407                 NaN   2.13712        9.28853       0.183260        9.52587                 NaN
  1202.53        500.000        99.3585       0.450176E-001  0.482153E-001            NaN  0.680828E-002            NaN  0.561098E-001  0.240823       0.438396E-002  0.240107                 NaN
  1201.47        500.000        99.9999                 NaN            NaN            NaN  0.119193E-004            NaN  0.613308E-005  0.193560E-004            NaN  0.218301E-004            NaN
  1200.41        500.000        99.9998       0.317140E-004            NaN            NaN            NaN            NaN  0.174836E-004  0.858863E-004  0.223996E-005  0.865246E-004            NaN
  1199.35        500.000        87.9204        2.06294                 NaN            NaN            NaN            NaN   1.04497        4.41251       0.641709E-001   4.49496                 NaN
  1198.29        500.000        92.6481       0.541866       0.604568                 NaN            NaN            NaN  0.603164        2.74688       0.512814E-001   2.80412                 NaN
