|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q              O(HP)         
  1409.19        500.000                 NaN   98.1306       0.642580       0.588544                 NaN  0.903952E-001  0.547929                 NaN            NaN            NaN            NaN
  1408.12        500.000                 NaN   98.4006       0.549070       0.504664                 NaN  0.768377E-001  0.468873                 NaN            NaN            NaN            NaN
  1407.05        500.000                 NaN   99.4710       0.195957       0.152266                 NaN  0.257561E-001  0.155004                 NaN            NaN            NaN            NaN
  1405.98        500.000                 NaN   97.1987       0.956379       0.894305                 NaN  0.130581       0.820000                 NaN            NaN            NaN            NaN
  1404.91        500.000                 NaN   98.3847       0.555136       0.510016                 NaN  0.764066E-001  0.473768                 NaN            NaN            NaN            NaN
  1403.84        500.000                 NaN   98.4154       0.499584       0.545588                 NaN  0.745433E-001  0.464853                 NaN            NaN            NaN            NaN
  1402.78        500.000                 NaN   98.4471       0.490307       0.534382                 NaN  0.726871E-001  0.455480                 NaN            NaN            NaN            NaN
  1401.71        500.000                 NaN   98.4756       0.524856       0.481417                 NaN  0.708917E-001  0.447205                 NaN            NaN            NaN            NaN
  1400.64        500.000                 NaN   98.5037       0.515254       0.472903                 NaN  0.691586E-001  0.438996                 NaN            NaN            NaN            NaN
  1399.57        500.000                 NaN   98.5309       0.505622       0.464940                 NaN  0.675575E-001  0.430968                 NaN            NaN            NaN            NaN
  1398.50        500.000                 NaN   98.5574       0.496788       0.456585                 NaN  0.658846E-001  0.423381                 NaN            NaN            NaN            NaN
  1397.43        500.000                 NaN   98.5835       0.448187       0.488378                 NaN  0.643093E-001  0.415627                 NaN            NaN            NaN            NaN
  1396.37        500.000                 NaN   98.6080       0.479986       0.440713                 NaN  0.628204E-001  0.408464                 NaN            NaN            NaN            NaN
  1395.30        500.000                 NaN   98.6310       0.471918       0.433953                 NaN  0.614119E-001  0.401753                 NaN            NaN            NaN            NaN
  1394.23        500.000                 NaN   98.6562       0.462777       0.427018                 NaN  0.598022E-001  0.394246                 NaN            NaN            NaN            NaN
  1393.16        500.000                 NaN   98.6782       0.419578       0.455828                 NaN  0.585755E-001  0.387832                 NaN            NaN            NaN            NaN
  1392.09        500.000                 NaN   98.6993       0.448641       0.413352                 NaN  0.571001E-001  0.381574                 NaN            NaN            NaN            NaN
  1391.02        500.000                 NaN   98.7179       0.443008       0.407000                 NaN  0.559063E-001  0.376208                 NaN            NaN            NaN            NaN
  1389.96        500.000                 NaN   98.7448       0.400749       0.432317                 NaN  0.542173E-001  0.367949                 NaN            NaN            NaN            NaN
  1388.89        500.000                 NaN   98.7618       0.427023       0.394782                 NaN  0.532858E-001  0.363104                 NaN            NaN            NaN            NaN
  1387.82        500.000                 NaN   98.7818       0.389327       0.419702                 NaN  0.520123E-001  0.357200                 NaN            NaN            NaN            NaN
  1386.75        500.000                 NaN   98.8011       0.383250       0.413171                 NaN  0.509441E-001  0.351542                 NaN            NaN            NaN            NaN
  1385.68        500.000                 NaN   98.8160       0.408258       0.378945                 NaN  0.497637E-001  0.347010                 NaN            NaN            NaN            NaN
  1384.61        500.000                 NaN   98.8402       0.399107       0.372458                 NaN  0.484284E-001  0.339806                 NaN            NaN            NaN            NaN
  1383.55        500.000                 NaN   98.8553       0.394193       0.367636                 NaN  0.474853E-001  0.335428                 NaN            NaN            NaN            NaN
  1382.48        500.000                 NaN   98.8723       0.388122       0.362841                 NaN  0.464159E-001  0.330358                 NaN            NaN            NaN            NaN
  1381.41        500.000                 NaN   98.8889       0.382339       0.357866                 NaN  0.454379E-001  0.325425                 NaN            NaN            NaN            NaN
  1380.34        500.000                 NaN   98.9048       0.376845       0.353305                 NaN  0.443531E-001  0.320668                 NaN            NaN            NaN            NaN
  1379.27        500.000                 NaN   98.9214       0.348716       0.370795                 NaN  0.433861E-001  0.315737                 NaN            NaN            NaN            NaN
  1378.20        500.000                 NaN   98.9365       0.344538       0.365482                 NaN  0.422809E-001  0.311240                 NaN            NaN            NaN            NaN
  1377.13        500.000                 NaN   98.9515       0.360058       0.340417                 NaN  0.413073E-001  0.306757                 NaN            NaN            NaN            NaN
  1376.07        500.000                 NaN   98.9661       0.354701       0.336422                 NaN  0.403681E-001  0.302381                 NaN            NaN            NaN            NaN
  1375.00        500.000                 NaN   98.7365       0.433983       0.411698                 NaN  0.485206E-001  0.369296                 NaN            NaN            NaN            NaN
  1373.93        500.000                 NaN   99.7696       0.797999E-001  0.744071E-001            NaN  0.884446E-002  0.673134E-001            NaN            NaN            NaN            NaN
  1372.86        500.000                 NaN   98.4794       0.520314       0.498278                 NaN  0.576862E-001  0.444317                 NaN            NaN            NaN            NaN
  1371.79        500.000                 NaN   99.0224       0.334824       0.320612                 NaN  0.367430E-001  0.285435                 NaN            NaN            NaN            NaN
  1370.72        500.000                 NaN   99.0350       0.329663       0.317836                 NaN  0.358465E-001  0.281679                 NaN            NaN            NaN            NaN
  1369.66        500.000                 NaN   99.0470       0.325428       0.314416                 NaN  0.349981E-001  0.278207                 NaN            NaN            NaN            NaN
  1368.59        500.000                 NaN   99.0608       0.320407       0.310663                 NaN  0.341860E-001  0.273921                 NaN            NaN            NaN            NaN
  1367.52        500.000                 NaN   99.0652       0.319716       0.308065                 NaN  0.338794E-001  0.273171                 NaN            NaN            NaN            NaN
  1366.45        500.000                 NaN   99.0920       0.302646       0.309269                 NaN  0.320421E-001  0.264061                 NaN            NaN            NaN            NaN
  1365.38        500.000                 NaN   99.0958       0.301344       0.307703                 NaN  0.317923E-001  0.263393                 NaN            NaN            NaN            NaN
  1364.31        500.000                 NaN   99.1072       0.298218       0.303662                 NaN  0.310159E-001  0.259892                 NaN            NaN            NaN            NaN
  1363.25        500.000                 NaN   99.1188       0.299134       0.295432                 NaN  0.302146E-001  0.256458                 NaN            NaN            NaN            NaN
  1362.18        500.000                 NaN   99.1294       0.295494       0.292397                 NaN  0.295331E-001  0.253206                 NaN            NaN            NaN            NaN
  1361.11        500.000                 NaN   99.1403       0.291130       0.289944                 NaN  0.287407E-001  0.249896                 NaN            NaN            NaN            NaN
  1360.04        500.000                 NaN   99.1496       0.287389       0.287750                 NaN  0.281247E-001  0.247180                 NaN            NaN            NaN            NaN
  1358.97        500.000                 NaN   99.1624       0.282981       0.284243                 NaN  0.272582E-001  0.243151                 NaN            NaN            NaN            NaN
  1357.90        500.000                 NaN   99.1695       0.282922       0.280117                 NaN  0.264457E-001  0.241029                 NaN            NaN            NaN            NaN
  1356.84        500.000                 NaN   99.1819       0.279180       0.275915                 NaN  0.258476E-001  0.237176                 NaN            NaN            NaN            NaN
  1355.77        500.000                 NaN   99.1901       0.277475       0.272498                 NaN  0.251838E-001  0.234729                 NaN            NaN            NaN            NaN
  1354.70        500.000                 NaN   99.2002       0.275033       0.268531                 NaN  0.245770E-001  0.231661                 NaN            NaN            NaN            NaN
  1353.63        500.000                 NaN   99.2094       0.272644       0.265147                 NaN  0.239144E-001  0.228890                 NaN            NaN            NaN            NaN
  1352.56        500.000                 NaN   99.2183       0.261807       0.270591                 NaN  0.232005E-001  0.226087                 NaN            NaN            NaN            NaN
  1351.49        500.000                 NaN   99.2268       0.258527       0.268642                 NaN  0.225380E-001  0.223526                 NaN            NaN            NaN            NaN
  1350.43        500.000                 NaN   99.2360       0.254547       0.267007                 NaN  0.217974E-001  0.220647                 NaN            NaN            NaN            NaN
  1349.36        500.000                 NaN   99.2447       0.251523       0.264401                 NaN  0.213287E-001  0.218068                 NaN            NaN            NaN            NaN
  1348.29        500.000                 NaN   99.2525       0.248279       0.262750                 NaN  0.207200E-001  0.215714                 NaN            NaN            NaN            NaN
  1347.22        500.000                 NaN   99.2615       0.260948       0.244781                 NaN  0.199539E-001  0.212837                 NaN            NaN            NaN            NaN
  1346.15        500.000                 NaN   99.2689       0.241784       0.259410                 NaN  0.193484E-001  0.210541                 NaN            NaN            NaN            NaN
  1345.08        500.000                 NaN   99.2766       0.238575       0.257961                 NaN  0.186781E-001  0.208188                 NaN            NaN            NaN            NaN
  1344.02        500.000                 NaN   99.2849       0.255807       0.235509                 NaN  0.181537E-001  0.205623                 NaN            NaN            NaN            NaN
  1342.95        500.000                 NaN   99.2918       0.254312       0.232870                 NaN  0.175511E-001  0.203449                 NaN            NaN            NaN            NaN
  1341.88        500.000                 NaN   99.2998       0.229648       0.252546                 NaN  0.169836E-001  0.201028                 NaN            NaN            NaN            NaN
  1340.81        500.000                 NaN   99.3072       0.251263       0.226425                 NaN  0.163917E-001  0.198751                 NaN            NaN            NaN            NaN
  1339.74        500.000                 NaN   99.3664       0.230048       0.207154                 NaN  0.147062E-001  0.181649                 NaN            NaN            NaN            NaN
  1338.67        500.000                 NaN   99.2686       0.237808       0.267860                 NaN  0.163757E-001  0.209393                 NaN            NaN            NaN            NaN
  1337.61        500.000                 NaN   99.3282       0.217692       0.247232                 NaN  0.146594E-001  0.192224                 NaN            NaN            NaN            NaN
  1336.54        500.000                 NaN   99.3341       0.245649       0.215368                 NaN  0.143853E-001  0.190490                 NaN            NaN            NaN            NaN
  1335.47        500.000                 NaN   99.3426       0.244827       0.211536                 NaN  0.134075E-001  0.187668                 NaN            NaN            NaN            NaN
  1334.40        500.000                 NaN   99.3483       0.243152       0.209521                 NaN  0.130563E-001  0.186008                 NaN            NaN            NaN            NaN
  1333.33        500.000                 NaN   99.3539       0.242344       0.206809                 NaN  0.126001E-001  0.184355                 NaN            NaN            NaN            NaN
  1332.26        500.000                 NaN   99.3618       0.203833       0.240828                 NaN  0.118723E-001  0.181698                 NaN            NaN            NaN            NaN
  1331.19        500.000                 NaN   99.3664       0.201544       0.240517                 NaN  0.112914E-001  0.180295                 NaN            NaN            NaN            NaN
  1330.13        500.000                 NaN   99.3732       0.198688       0.238988                 NaN  0.108838E-001  0.178255                 NaN            NaN            NaN            NaN
  1329.06        500.000                 NaN   99.3795       0.238646       0.195433                 NaN  0.101825E-001  0.176209                 NaN            NaN            NaN            NaN
  1327.99        500.000                 NaN   99.3843       0.194016       0.237038                 NaN  0.990041E-002  0.174774                 NaN            NaN            NaN            NaN
  1326.92        500.000                 NaN   99.3910       0.235801       0.191174                 NaN  0.936604E-002  0.172654                 NaN            NaN            NaN            NaN
  1325.85        500.000                 NaN   99.3961       0.188426       0.235775                 NaN  0.870005E-002  0.170979                 NaN            NaN            NaN            NaN
  1324.78        500.000                 NaN   99.4022       0.185536       0.234985                 NaN  0.817352E-002  0.169101                 NaN            NaN            NaN            NaN
  1323.72        500.000                 NaN   99.3961       0.249013       0.136969                 NaN  0.309351E-001  0.186981                 NaN            NaN            NaN            NaN
  1322.65        500.000                 NaN   99.4093       0.294584       0.141979                 NaN            NaN  0.154176                 NaN            NaN            NaN            NaN
  1321.58        500.000                 NaN   99.4248       0.247797       0.166717                 NaN            NaN  0.160658                 NaN            NaN            NaN            NaN
  1320.51        500.000                 NaN   99.4288       0.246723       0.164868                 NaN            NaN  0.159627                 NaN            NaN            NaN            NaN
  1319.44        500.000                 NaN   99.4310       0.168281       0.238385                 NaN  0.288245E-002  0.159442                 NaN            NaN            NaN            NaN
  1318.37        500.000                 NaN   99.4328       0.231645       0.170948                 NaN  0.514182E-002  0.159416                 NaN            NaN            NaN            NaN
  1317.31        500.000                 NaN   99.4375       0.168491       0.231464                 NaN  0.460397E-002  0.157902                 NaN            NaN            NaN            NaN
  1316.24        500.000                 NaN   99.4426       0.230954       0.165938                 NaN  0.417064E-002  0.156339                 NaN            NaN            NaN            NaN
  1315.17        500.000                 NaN   99.4471       0.230510       0.163783                 NaN  0.370403E-002  0.154931                 NaN            NaN            NaN            NaN
  1314.10        500.000                 NaN   99.4519       0.230058       0.161404                 NaN  0.326220E-002  0.153413                 NaN            NaN            NaN            NaN
  1313.03        500.000                 NaN   99.4563       0.229868       0.159179                 NaN  0.268331E-002  0.151958                 NaN            NaN            NaN            NaN
  1311.96        500.000                 NaN   99.4606       0.156795       0.229746                 NaN  0.222221E-002  0.150605                 NaN            NaN            NaN            NaN
  1310.90        500.000                 NaN   99.4653       0.229912       0.153998                 NaN  0.166679E-002  0.149107                 NaN            NaN            NaN            NaN
  1309.83        500.000                 NaN   99.4693       0.152154       0.229441                 NaN  0.128711E-002  0.147859                 NaN            NaN            NaN            NaN
  1308.76        500.000                 NaN   99.4737       0.149648       0.229488                 NaN  0.762892E-003  0.146451                 NaN            NaN            NaN            NaN
  1307.69        500.000                 NaN   99.4771       0.230046       0.147267                 NaN  0.244255E-003  0.145321                 NaN            NaN            NaN            NaN
  1306.62        500.000                 NaN   99.4813       0.144923       0.229477                 NaN            NaN  0.144264                 NaN            NaN            NaN            NaN
  1305.55        500.000                 NaN   99.4823       0.156108       0.209952                 NaN  0.660758E-002  0.145010                 NaN            NaN            NaN            NaN
  1304.49        500.000                 NaN   99.4890       0.142217       0.226899                 NaN            NaN  0.141849                 NaN            NaN            NaN            NaN
  1303.42        500.000                 NaN   99.4930       0.225712       0.140721                 NaN            NaN  0.140571                 NaN            NaN            NaN            NaN
  1302.35        500.000                 NaN   99.4951       0.223968       0.140468                 NaN  0.426249E-003  0.140023                 NaN            NaN            NaN            NaN
  1301.28        500.000                 NaN   99.4990       0.137994       0.224214                 NaN            NaN  0.138810                 NaN            NaN            NaN            NaN
  1300.21        500.000                 NaN   99.5028       0.223048       0.136441                 NaN            NaN  0.137715                 NaN            NaN            NaN            NaN
  1299.14        500.000                 NaN   99.5062       0.134881       0.222100                 NaN            NaN  0.136788                 NaN            NaN            NaN            NaN
  1298.08        500.000                 NaN   99.5104       0.133483       0.220579                 NaN            NaN  0.135519                 NaN            NaN            NaN            NaN
  1297.01        500.000                 NaN   99.5127       0.132561       0.219967                 NaN            NaN  0.134786                 NaN            NaN            NaN            NaN
  1295.94        500.000                 NaN   99.5160       0.219413       0.130730                 NaN            NaN  0.133822                 NaN            NaN            NaN            NaN
  1294.87        500.000                 NaN   99.5192       0.129515       0.218384                 NaN            NaN  0.132902                 NaN            NaN            NaN            NaN
  1293.80        500.000                 NaN   99.5224       0.217533       0.128096                 NaN            NaN  0.131945                 NaN            NaN            NaN            NaN
  1292.73        500.000                 NaN   99.5251       0.217263       0.126442                 NaN            NaN  0.131153                 NaN            NaN            NaN            NaN
  1291.67        500.000                 NaN   99.5290       0.215628       0.125290                 NaN            NaN  0.130036                 NaN            NaN            NaN            NaN
  1290.60        500.000                 NaN   99.5317       0.215192       0.123859                 NaN            NaN  0.129285                 NaN            NaN            NaN            NaN
  1289.53        500.000                 NaN   99.5352       0.214518       0.122026                 NaN            NaN  0.128255                 NaN            NaN            NaN            NaN
  1288.46        500.000                 NaN   99.5383       0.120192       0.214085                 NaN            NaN  0.127418                 NaN            NaN            NaN            NaN
  1287.39        500.000                 NaN   99.5404       0.213584       0.119215                 NaN            NaN  0.126769                 NaN            NaN            NaN            NaN
  1286.32        500.000                 NaN   99.5444       0.212331       0.117696                 NaN            NaN  0.125581                 NaN            NaN            NaN            NaN
  1285.26        500.000                 NaN   95.6657       0.507607       0.878364                 NaN            NaN  0.540888        2.40746                 NaN            NaN            NaN
  1284.19        500.000                 NaN   94.2620        1.11480       0.647151                 NaN            NaN  0.689562        3.28650                 NaN            NaN            NaN
  1283.12        500.000                 NaN   94.6003       0.613923        1.04954                 NaN            NaN  0.651649        3.08459                 NaN            NaN            NaN
  1282.05        500.000                 NaN   94.9095       0.578821       0.993605                 NaN            NaN  0.616781        2.90128                 NaN            NaN            NaN
  1280.98        500.000                 NaN   95.1820       0.912101       0.571216                 NaN  0.728925E-002  0.587437        2.73992                 NaN            NaN            NaN
  1279.91        500.000                 NaN   95.4335       0.551643       0.854434                 NaN  0.955028E-002  0.559324        2.59151                 NaN            NaN            NaN
  1278.84        500.000                 NaN   95.6688       0.510368       0.831392                 NaN  0.500904E-002  0.531543        2.45285                 NaN            NaN            NaN
  1277.78        500.000                 NaN   95.8786       0.470415       0.814038                 NaN  0.961143E-003  0.506773        2.32920                 NaN            NaN            NaN
  1276.71        500.000                 NaN   96.0672       0.440772       0.789038                 NaN            NaN  0.485014        2.21794                 NaN            NaN            NaN
  1275.64        500.000                 NaN   96.2410       0.409420       0.769011                 NaN            NaN  0.465260        2.11535                 NaN            NaN            NaN
  1274.57        500.000                 NaN   96.3989       0.376302       0.755182                 NaN            NaN  0.447054        2.02259                 NaN            NaN            NaN
  1273.50        500.000                 NaN   96.5448       0.323110       0.764730                 NaN            NaN  0.430240        1.93709                 NaN            NaN            NaN
  1272.43        500.000                 NaN   96.6836       0.234168       0.811951                 NaN            NaN  0.414027        1.85624                 NaN            NaN            NaN
  1271.37        500.000                 NaN   96.8062        1.00969                 NaN            NaN            NaN  0.399590        1.78453                 NaN            NaN            NaN
  1270.30        500.000                 NaN   96.9271       0.973456                 NaN            NaN            NaN  0.385085        1.71435                 NaN            NaN            NaN
  1269.23        500.000                 NaN   97.0407       0.938928                 NaN            NaN            NaN  0.371428        1.64897                 NaN            NaN            NaN
  1268.16        500.000                 NaN   97.1462       0.906182                 NaN            NaN            NaN  0.359680        1.58795                 NaN            NaN            NaN
  1267.09        500.000                 NaN   97.2376       0.879049                 NaN            NaN            NaN  0.347908        1.53549                 NaN            NaN            NaN
  1266.02        500.000                 NaN   97.3361       0.849436                 NaN            NaN            NaN  0.336286        1.47822                 NaN            NaN            NaN
  1264.96        500.000                 NaN   97.4211       0.822901                 NaN            NaN            NaN  0.326456        1.42959                 NaN            NaN            NaN
  1263.89        500.000                 NaN   97.5029       0.797953                 NaN            NaN            NaN  0.315475        1.38363                 NaN            NaN            NaN
  1262.82        500.000                 NaN   97.0414       0.865897                 NaN            NaN            NaN  0.372400        1.63970       0.805784E-001            NaN            NaN
  1261.75        500.000                 NaN   96.9638       0.867166                 NaN            NaN            NaN  0.379800        1.68420       0.105054                 NaN            NaN
  1260.68        500.000                 NaN   97.0687       0.836082                 NaN            NaN            NaN  0.363951        1.62855       0.102752                 NaN            NaN
  1259.61        500.000                 NaN   97.1742       0.805917                 NaN            NaN            NaN  0.350609        1.57047       0.988008E-001            NaN            NaN
  1258.55        500.000                 NaN   97.2739       0.777403                 NaN            NaN            NaN  0.338709        1.51537       0.946438E-001            NaN            NaN
  1257.48        500.000                 NaN   97.3646       0.750121                 NaN            NaN            NaN  0.324658        1.46791       0.926973E-001            NaN            NaN
  1256.41        500.000                 NaN   97.4486       0.727968                 NaN            NaN            NaN  0.315860        1.41942       0.881681E-001            NaN            NaN
  1255.34        500.000                 NaN   97.5284       0.705082                 NaN            NaN            NaN  0.304932        1.37618       0.854222E-001            NaN            NaN
  1254.27        500.000                 NaN   97.6045       0.683990                 NaN            NaN            NaN  0.295518        1.33387       0.821734E-001            NaN            NaN
  1253.20        500.000                 NaN   97.6770       0.663374                 NaN            NaN            NaN  0.286245        1.29415       0.792500E-001            NaN            NaN
  1252.14        500.000                 NaN   97.7459       0.644039                 NaN            NaN            NaN  0.277842        1.25597       0.762033E-001            NaN            NaN
  1251.07        500.000                 NaN   97.8131       0.624184                 NaN            NaN            NaN  0.268410        1.22033       0.739973E-001            NaN            NaN
  1250.00        500.000                 NaN   97.8733       0.608137                 NaN            NaN            NaN  0.261411        1.18618       0.709904E-001            NaN            NaN
  1248.93        500.000                 NaN   97.9298       0.593040                 NaN            NaN            NaN  0.255010        1.15408       0.680298E-001            NaN            NaN
  1247.86        500.000                 NaN   97.9895       0.574969                 NaN            NaN            NaN  0.245832        1.12322       0.664832E-001            NaN            NaN
  1246.79        500.000                 NaN   98.0418       0.560469                 NaN            NaN            NaN  0.239392        1.09426       0.640533E-001            NaN            NaN
  1245.73        500.000                 NaN   98.0947       0.544998                 NaN            NaN            NaN  0.231933        1.06620       0.621892E-001            NaN            NaN
  1244.66        500.000                 NaN   98.1417       0.533163                 NaN            NaN            NaN  0.227520        1.03841       0.591778E-001            NaN            NaN
  1243.59        500.000                 NaN   98.1923       0.517174                 NaN            NaN            NaN  0.219706        1.01297       0.578708E-001            NaN            NaN
  1242.52        500.000                 NaN   98.2361       0.505446                 NaN            NaN            NaN  0.213745       0.988674       0.559939E-001            NaN            NaN
  1241.45        500.000                 NaN   98.2790       0.493700                 NaN            NaN            NaN  0.208675       0.964750       0.538900E-001            NaN            NaN
  1240.38        500.000                 NaN   98.3209       0.481776                 NaN            NaN            NaN  0.203003       0.942167       0.521798E-001            NaN            NaN
  1239.32        500.000                 NaN   98.3592       0.471546                 NaN            NaN            NaN  0.198141       0.920773       0.503496E-001            NaN            NaN
  1238.25        500.000                 NaN   98.4017       0.458354                 NaN            NaN            NaN  0.192224       0.898838       0.489114E-001            NaN            NaN
  1237.18        500.000                 NaN   98.4359       0.449340                 NaN            NaN            NaN  0.187440       0.879905       0.473981E-001            NaN            NaN
  1236.11        500.000                 NaN   98.4719       0.439337                 NaN            NaN            NaN  0.182737       0.860188       0.458152E-001            NaN            NaN
  1235.04        500.000                 NaN   98.5061       0.429866                 NaN            NaN            NaN  0.178481       0.841335       0.442189E-001            NaN            NaN
  1233.97        500.000                 NaN   98.5374       0.421684                 NaN            NaN            NaN  0.174545       0.823669       0.426602E-001            NaN            NaN
  1232.90        500.000                 NaN   98.5700       0.412913                 NaN            NaN            NaN  0.170937       0.805265       0.408955E-001            NaN            NaN
  1231.84        500.000                 NaN   98.5991       0.405229                 NaN            NaN            NaN  0.167729       0.788578       0.393268E-001            NaN            NaN
  1230.77        500.000                 NaN   98.6328       0.394310                 NaN            NaN            NaN  0.161718       0.772397       0.387665E-001            NaN            NaN
  1229.70        500.000                 NaN   98.6606       0.386831                 NaN            NaN            NaN  0.158036       0.757062       0.374828E-001            NaN            NaN
  1228.63        500.000                 NaN   98.6877       0.379312                 NaN            NaN            NaN  0.154352       0.742292       0.363019E-001            NaN            NaN
  1227.56        500.000                 NaN   98.7153       0.371465                 NaN            NaN            NaN  0.150559       0.727468       0.352573E-001            NaN            NaN
  1226.49        500.000                 NaN   98.7414       0.364435                 NaN            NaN            NaN  0.148131       0.712402       0.336129E-001            NaN            NaN
  1225.43        500.000                 NaN   98.7651       0.358292                 NaN            NaN            NaN  0.144247       0.699471       0.328657E-001            NaN            NaN
  1224.36        500.000                 NaN   98.7903       0.350792                 NaN            NaN            NaN  0.140692       0.686353       0.318810E-001            NaN            NaN
  1223.29        500.000                 NaN   98.8154       0.343498                 NaN            NaN            NaN  0.137217       0.672934       0.309601E-001            NaN            NaN
  1222.22        500.000                 NaN   98.8366       0.338300                 NaN            NaN            NaN  0.134856       0.660552       0.297173E-001            NaN            NaN
  1221.15        500.000                 NaN   98.8604       0.330688                 NaN            NaN            NaN  0.130873       0.648778       0.292530E-001            NaN            NaN
  1220.08        500.000                 NaN   98.8832       0.323964                 NaN            NaN            NaN  0.129235       0.635923       0.277225E-001            NaN            NaN
  1219.02        500.000                 NaN   98.9003       0.321504                 NaN            NaN            NaN  0.126373       0.624866       0.269532E-001            NaN            NaN
  1217.95        500.000                 NaN   98.9225       0.314233                 NaN            NaN            NaN  0.123438       0.613719       0.261589E-001            NaN            NaN
  1216.88        500.000                 NaN   98.9414       0.308990                 NaN            NaN            NaN  0.120686       0.603465       0.254200E-001            NaN            NaN
  1215.81        500.000                 NaN   98.9666       0.299050                 NaN            NaN            NaN  0.116393       0.592832       0.251711E-001            NaN            NaN
  1214.74        500.000                 NaN   91.9596        1.11471                 NaN            NaN            NaN  0.658904        3.13307       0.801406E-001   3.05355                 NaN
  1213.67        500.000                 NaN   90.2701        1.33375                 NaN            NaN            NaN  0.790511        3.72390       0.896200E-001   3.79213                 NaN
  1212.61        500.000                 NaN   90.3557        1.35159                 NaN            NaN            NaN  0.783698        3.67124       0.853299E-001   3.75247                 NaN
  1211.54        500.000                 NaN   90.4931        1.35928                 NaN            NaN            NaN  0.774767        3.60062       0.803057E-001   3.69197                 NaN
  1210.47        500.000                 NaN   90.6900        1.35127                 NaN            NaN            NaN  0.759656        3.51229       0.756274E-001   3.61114                 NaN
  1209.40        500.000                 NaN   90.8688        1.34449                 NaN            NaN            NaN  0.746170        3.43247       0.713018E-001   3.53677                 NaN
  1208.33        500.000                 NaN   91.1315        1.31736                 NaN            NaN            NaN  0.725818        3.32588       0.668627E-001   3.43257                 NaN
  1207.26        500.000                 NaN   91.3008        1.30629                 NaN            NaN            NaN  0.712408        3.25399       0.632988E-001   3.36324                 NaN
  1206.20        500.000                 NaN   82.8431        1.61654                 NaN            NaN            NaN   1.51406        6.59629       0.113877        6.63377       0.682386     
  1205.13        500.000                 NaN   97.5533                 NaN            NaN            NaN            NaN  0.503131E-001   1.10900       0.665219E-001   1.22086                 NaN
  1204.06        500.000                 NaN   93.0843       0.141624       0.806578                 NaN            NaN  0.504964        2.54851       0.579610E-001   2.85602                 NaN
  1202.99        500.000                 NaN   92.8548        1.72208                 NaN            NaN            NaN  0.679452        2.29485       0.476602E-002   2.44407                 NaN
  1201.92        500.000                 NaN   92.4553       0.384546       0.713312                 NaN            NaN  0.584008        2.85992       0.609587E-001   2.94191                 NaN
  1200.85        500.000                 NaN   92.5111        1.03771                 NaN            NaN            NaN  0.607257        2.83561       0.502333E-001   2.95805                 NaN
  1199.79        500.000                 NaN   92.7417        1.18043                 NaN            NaN            NaN  0.599479        2.69817       0.405167E-001   2.73976                 NaN
