|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1508.93        500.000        99.4943       0.505712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.5001       0.499903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        500.000        99.5029       0.497139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        500.000        99.5049       0.495055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        500.000        99.5101       0.489923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.5122       0.487807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        500.000        99.5158       0.484192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.5172       0.482848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        500.000        99.5238       0.476208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.5259       0.474059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        500.000        99.5291       0.470901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000        99.4836       0.252463                 NaN  0.263892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        500.000        99.4245       0.581476E-001            NaN  0.517341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.4238                 NaN            NaN  0.576163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        500.000        99.4240                 NaN            NaN  0.575975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.4264                 NaN            NaN  0.573551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        500.000        99.4267                 NaN            NaN  0.573320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        500.000        99.4287                 NaN            NaN  0.571297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        500.000        99.4272                 NaN            NaN  0.572802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        500.000        99.4273                 NaN            NaN  0.572684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        500.000        99.4280                 NaN            NaN  0.572022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        500.000        99.4289                 NaN            NaN  0.571077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000        99.4292                 NaN            NaN  0.570800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        500.000        99.4254                 NaN            NaN  0.574613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        500.000        99.4239                 NaN            NaN  0.576054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        500.000        99.4215                 NaN            NaN  0.578535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        500.000        99.4191                 NaN            NaN  0.580906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        500.000        99.4150                 NaN            NaN  0.585020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        500.000        99.4083                 NaN            NaN  0.591673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        500.000        99.4033                 NaN            NaN  0.596725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        500.000        99.5829       0.225052E-001            NaN  0.394617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        500.000        99.1086       0.149742                 NaN  0.741642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.60        500.000        98.7870                 NaN            NaN  0.916544       0.296418                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.09        500.000        99.0779                 NaN            NaN  0.626303       0.295816                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.58        500.000        99.0889                 NaN            NaN  0.619046       0.292052                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        500.000        99.0979                 NaN            NaN  0.288526       0.613541                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        500.000        99.1076                 NaN            NaN  0.284762       0.607671                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.05        500.000        99.1165                 NaN            NaN  0.281867       0.601594                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.54        500.000        99.1262                 NaN            NaN  0.595282       0.278498                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.03        500.000        99.1354                 NaN            NaN  0.589550       0.275059                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1430                 NaN            NaN  0.584953       0.272002                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.01        500.000        99.1523                 NaN            NaN  0.268663       0.579037                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.50        500.000        99.1603                 NaN            NaN  0.265542       0.574114                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1689                 NaN            NaN  0.262399       0.568661                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        500.000        99.1763                 NaN            NaN  0.259969       0.563701                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.97        500.000        99.1845                 NaN            NaN  0.560500       0.254958                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1929                 NaN            NaN  0.253555       0.553546                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        500.000        99.2007                 NaN            NaN  0.548476       0.250819                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.44        500.000        97.1658                 NaN            NaN   1.07858       0.824631                 NaN  0.931038                 NaN            NaN            NaN            NaN
  1434.93        500.000        97.2154                 NaN            NaN   1.05865       0.805849                 NaN  0.920112                 NaN            NaN            NaN            NaN
  1433.42        500.000        97.2791                 NaN            NaN   1.03195       0.789139                 NaN  0.899839                 NaN            NaN            NaN            NaN
  1431.91        500.000        97.3521                 NaN            NaN  0.768275        1.00312                 NaN  0.876526                 NaN            NaN            NaN            NaN
  1430.40        500.000        97.4156                 NaN            NaN  0.750727       0.977542                 NaN  0.856102                 NaN            NaN            NaN            NaN
  1428.89        500.000        97.4787                 NaN            NaN  0.733927       0.951470                 NaN  0.835912                 NaN            NaN            NaN            NaN
  1427.38        500.000        97.5371                 NaN            NaN  0.927794       0.718083                 NaN  0.816990                 NaN            NaN            NaN            NaN
  1425.87        500.000        97.5948                 NaN            NaN  0.702120       0.904616                 NaN  0.798419                 NaN            NaN            NaN            NaN
  1424.36        500.000        97.6567                 NaN            NaN  0.880628       0.684174                 NaN  0.778528                 NaN            NaN            NaN            NaN
  1422.85        500.000        97.7063                 NaN            NaN  0.859778       0.671356                 NaN  0.762612                 NaN            NaN            NaN            NaN
  1421.34        500.000        97.7591                 NaN            NaN  0.839054       0.656553                 NaN  0.745305                 NaN            NaN            NaN            NaN
  1419.83        500.000        97.8081                 NaN            NaN  0.819250       0.643107                 NaN  0.729545                 NaN            NaN            NaN            NaN
  1418.32        500.000        97.8572                 NaN            NaN  0.799884       0.629355                 NaN  0.713595                 NaN            NaN            NaN            NaN
  1416.81        500.000        97.9008                 NaN            NaN  0.617332       0.782607                 NaN  0.699268                 NaN            NaN            NaN            NaN
  1415.30        500.000        97.9477                 NaN            NaN  0.604077       0.764237                 NaN  0.684028                 NaN            NaN            NaN            NaN
  1413.79        500.000        97.9913                 NaN            NaN  0.746276       0.592597                 NaN  0.669787                 NaN            NaN            NaN            NaN
  1412.28        500.000        98.0306                 NaN            NaN  0.581072       0.731320                 NaN  0.656984                 NaN            NaN            NaN            NaN
  1410.77        500.000        98.0698                 NaN            NaN  0.570135       0.716043                 NaN  0.643974                 NaN            NaN            NaN            NaN
  1409.26        500.000        98.1100                 NaN            NaN  0.558380       0.700802                 NaN  0.630862                 NaN            NaN            NaN            NaN
  1407.75        500.000        98.1468                 NaN            NaN  0.548049       0.686400                 NaN  0.618734                 NaN            NaN            NaN            NaN
  1406.24        500.000        98.1825                 NaN            NaN  0.672549       0.537988                 NaN  0.606931                 NaN            NaN            NaN            NaN
  1404.73        500.000        98.2177                 NaN            NaN  0.658668       0.528239                 NaN  0.595385                 NaN            NaN            NaN            NaN
  1403.22        500.000        98.2512                 NaN            NaN  0.517796       0.646490                 NaN  0.584558                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.2833                 NaN            NaN  0.509828       0.633398                 NaN  0.573522                 NaN            NaN            NaN            NaN
  1400.20        500.000        98.3162                 NaN            NaN  0.499537       0.621490                 NaN  0.562758                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.3440                 NaN            NaN  0.491328       0.611111                 NaN  0.553572                 NaN            NaN            NaN            NaN
  1397.18        500.000        98.3777                 NaN            NaN  0.481830       0.597987                 NaN  0.542516                 NaN            NaN            NaN            NaN
  1395.67        500.000        98.4066                 NaN            NaN  0.586501       0.474384                 NaN  0.532520                 NaN            NaN            NaN            NaN
  1394.16        500.000        98.4330                 NaN            NaN  0.467073       0.576257                 NaN  0.523695                 NaN            NaN            NaN            NaN
  1392.65        500.000        98.4612                 NaN            NaN  0.566362       0.458054                 NaN  0.514425                 NaN            NaN            NaN            NaN
  1391.14        500.000        98.4870                 NaN            NaN  0.556304       0.450909                 NaN  0.505761                 NaN            NaN            NaN            NaN
  1389.63        500.000        98.5100                 NaN            NaN  0.547162       0.444826                 NaN  0.497979                 NaN            NaN            NaN            NaN
  1388.12        500.000        98.5385                 NaN            NaN  0.537169       0.435879                 NaN  0.488435                 NaN            NaN            NaN            NaN
  1386.60        500.000        98.5617                 NaN            NaN  0.528569       0.429069                 NaN  0.480674                 NaN            NaN            NaN            NaN
  1385.09        500.000        98.5842                 NaN            NaN  0.520373       0.422364                 NaN  0.473028                 NaN            NaN            NaN            NaN
  1383.58        500.000        98.6071                 NaN            NaN  0.511805       0.415822                 NaN  0.465248                 NaN            NaN            NaN            NaN
  1382.07        500.000        98.6301                 NaN            NaN  0.503791       0.408603                 NaN  0.457496                 NaN            NaN            NaN            NaN
  1380.56        500.000        98.6498                 NaN            NaN  0.403227       0.496082                 NaN  0.450904                 NaN            NaN            NaN            NaN
  1379.05        500.000        98.6722                 NaN            NaN  0.488100       0.396505                 NaN  0.443238                 NaN            NaN            NaN            NaN
  1377.54        500.000        98.6916                 NaN            NaN  0.390675       0.481191                 NaN  0.436576                 NaN            NaN            NaN            NaN
  1376.03        500.000        98.7128                 NaN            NaN  0.473500       0.384376                 NaN  0.429309                 NaN            NaN            NaN            NaN
  1374.52        500.000        98.7305                 NaN            NaN  0.378908       0.467062                 NaN  0.423553                 NaN            NaN            NaN            NaN
  1373.01        500.000        98.7521                 NaN            NaN  0.372180       0.459896                 NaN  0.415859                 NaN            NaN            NaN            NaN
  1371.50        500.000        98.7689                 NaN            NaN  0.367367       0.453367                 NaN  0.410361                 NaN            NaN            NaN            NaN
  1369.99        500.000        98.7858                 NaN            NaN  0.447623       0.362343                 NaN  0.404235                 NaN            NaN            NaN            NaN
  1368.48        500.000        98.8049                 NaN            NaN  0.440605       0.356698                 NaN  0.397776                 NaN            NaN            NaN            NaN
  1366.97        500.000        98.8201                 NaN            NaN  0.435517       0.351763                 NaN  0.392637                 NaN            NaN            NaN            NaN
  1365.46        500.000        98.8392                 NaN            NaN  0.346415       0.428423                 NaN  0.385962                 NaN            NaN            NaN            NaN
  1363.95        500.000        98.8543                 NaN            NaN  0.423399       0.341553                 NaN  0.380757                 NaN            NaN            NaN            NaN
  1362.44        500.000        98.8705                 NaN            NaN  0.417816       0.336513                 NaN  0.375193                 NaN            NaN            NaN            NaN
  1360.93        500.000        98.8850                 NaN            NaN  0.413033       0.331935                 NaN  0.370042                 NaN            NaN            NaN            NaN
  1359.42        500.000        98.9007                 NaN            NaN  0.407316       0.327324                 NaN  0.364705                 NaN            NaN            NaN            NaN
  1357.91        500.000        98.9118                 NaN            NaN  0.403658       0.324010                 NaN  0.360535                 NaN            NaN            NaN            NaN
  1356.40        500.000        98.9270                 NaN            NaN  0.398950       0.318811                 NaN  0.355201                 NaN            NaN            NaN            NaN
  1354.89        500.000        98.9435                 NaN            NaN  0.393278       0.313629                 NaN  0.349617                 NaN            NaN            NaN            NaN
  1353.38        500.000        98.9571                 NaN            NaN  0.309328       0.388708                 NaN  0.344843                 NaN            NaN            NaN            NaN
  1351.87        500.000        98.9712                 NaN            NaN  0.383553       0.305126                 NaN  0.340157                 NaN            NaN            NaN            NaN
  1350.36        500.000        98.9825                 NaN            NaN  0.380153       0.301362                 NaN  0.335983                 NaN            NaN            NaN            NaN
  1348.85        500.000        98.9970                 NaN            NaN  0.375388       0.296560                 NaN  0.331047                 NaN            NaN            NaN            NaN
  1347.34        500.000        99.0091                 NaN            NaN  0.371236       0.292963                 NaN  0.326711                 NaN            NaN            NaN            NaN
  1345.83        500.000        99.0220                 NaN            NaN  0.367479       0.288252                 NaN  0.322298                 NaN            NaN            NaN            NaN
  1344.32        500.000        99.0319                 NaN            NaN  0.363432       0.286121                 NaN  0.318498                 NaN            NaN            NaN            NaN
  1342.81        500.000        99.0433                 NaN            NaN  0.279958       0.362100                 NaN  0.314650                 NaN            NaN            NaN            NaN
  1341.30        500.000        99.0567                 NaN            NaN  0.276678       0.356757                 NaN  0.309879                 NaN            NaN            NaN            NaN
  1339.79        500.000        99.0652                 NaN            NaN  0.353645       0.274256                 NaN  0.306903                 NaN            NaN            NaN            NaN
  1338.28        500.000        99.0767                 NaN            NaN  0.271030       0.349454                 NaN  0.302845                 NaN            NaN            NaN            NaN
  1336.77        500.000        99.0905                 NaN            NaN  0.264602       0.347217                 NaN  0.297676                 NaN            NaN            NaN            NaN
  1335.26        500.000        99.0989                 NaN  0.727790E-006  0.261878       0.344281                 NaN  0.294924                 NaN            NaN            NaN            NaN
  1333.75        500.000        99.1067                 NaN            NaN  0.259030       0.342285                 NaN  0.292006                 NaN            NaN            NaN            NaN
  1332.24        500.000        99.1197                 NaN  0.506014E-003  0.256022       0.336321                 NaN  0.287453                 NaN            NaN            NaN            NaN
  1330.73        500.000        99.1294                 NaN  0.629941E-002  0.317160       0.262097                 NaN  0.285062                 NaN            NaN            NaN            NaN
  1329.22        500.000        99.1527                 NaN  0.124691       0.424621                 NaN            NaN  0.297958                 NaN            NaN            NaN            NaN
  1327.71        500.000        99.1601                 NaN  0.130698       0.412359                 NaN            NaN  0.296870                 NaN            NaN            NaN            NaN
  1326.20        500.000        99.1726                 NaN  0.131624       0.403236                 NaN            NaN  0.292534                 NaN            NaN            NaN            NaN
  1324.69        500.000        99.1826                 NaN  0.128177       0.400840                 NaN            NaN  0.288420                 NaN            NaN            NaN            NaN
  1323.18        500.000        99.1949                 NaN  0.128316       0.393023                 NaN            NaN  0.283784                 NaN            NaN            NaN            NaN
  1321.67        500.000        99.2053                 NaN  0.127421       0.387380                 NaN            NaN  0.279882                 NaN            NaN            NaN            NaN
  1320.16        500.000        99.2161                 NaN  0.124297       0.383981                 NaN            NaN  0.275615                 NaN            NaN            NaN            NaN
  1318.65        500.000        99.2278                 NaN  0.125460       0.375347                 NaN            NaN  0.271402                 NaN            NaN            NaN            NaN
  1317.14        500.000        99.2382                 NaN  0.124856       0.369417                 NaN            NaN  0.267569                 NaN            NaN            NaN            NaN
  1315.63        500.000        99.2484                 NaN  0.121861       0.366357                 NaN            NaN  0.263364                 NaN            NaN            NaN            NaN
  1314.12        500.000        99.2580                 NaN  0.120382       0.361844                 NaN            NaN  0.259738                 NaN            NaN            NaN            NaN
  1312.61        500.000        99.2679                 NaN  0.119638       0.356612                 NaN            NaN  0.255805                 NaN            NaN            NaN            NaN
  1311.10        500.000        99.2627                 NaN  0.112176       0.363990                 NaN            NaN  0.261126                 NaN            NaN            NaN            NaN
  1309.59        500.000        99.3082                 NaN  0.108519       0.346416                 NaN            NaN  0.236822                 NaN            NaN            NaN            NaN
  1308.08        500.000        99.2973                 NaN  0.114844       0.343383                 NaN            NaN  0.244513                 NaN            NaN            NaN            NaN
  1306.57        500.000        99.3060                 NaN  0.113528       0.339455                 NaN            NaN  0.241029                 NaN            NaN            NaN            NaN
  1305.06        500.000        99.3150                 NaN  0.111815       0.335685                 NaN            NaN  0.237454                 NaN            NaN            NaN            NaN
  1303.55        500.000        99.3241                 NaN  0.111173       0.330604                 NaN            NaN  0.234097                 NaN            NaN            NaN            NaN
  1302.04        500.000        99.3339                 NaN  0.109396       0.326361                 NaN            NaN  0.230301                 NaN            NaN            NaN            NaN
  1300.52        500.000        99.3421                 NaN  0.106269       0.324777                 NaN            NaN  0.226821                 NaN            NaN            NaN            NaN
  1299.01        500.000        99.3505                 NaN  0.104763       0.321168                 NaN            NaN  0.223607                 NaN            NaN            NaN            NaN
  1297.50        500.000        99.3591                 NaN  0.102649       0.318121                 NaN            NaN  0.220174                 NaN            NaN            NaN            NaN
  1295.99        500.000        99.3672                 NaN  0.101214       0.314585                 NaN            NaN  0.216960                 NaN            NaN            NaN            NaN
  1294.48        500.000        99.3758                 NaN  0.992867E-001  0.311226                 NaN            NaN  0.213701                 NaN            NaN            NaN            NaN
  1292.97        500.000        99.3831                 NaN  0.972864E-001  0.309020                 NaN            NaN  0.210577                 NaN            NaN            NaN            NaN
  1291.46        500.000        99.3908                 NaN  0.949823E-001  0.306702                 NaN            NaN  0.207493                 NaN            NaN            NaN            NaN
  1289.95        500.000        99.3990                 NaN  0.919802E-001  0.304652                 NaN            NaN  0.204335                 NaN            NaN            NaN            NaN
  1288.44        500.000        99.4065                 NaN  0.915795E-001  0.300513                 NaN            NaN  0.201375                 NaN            NaN            NaN            NaN
  1286.93        500.000        99.4138                 NaN  0.896431E-001  0.298128                 NaN            NaN  0.198461                 NaN            NaN            NaN            NaN
  1285.42        500.000        99.4210                 NaN  0.873590E-001  0.296042                 NaN            NaN  0.195586                 NaN            NaN            NaN            NaN
  1283.91        500.000        99.4275                 NaN  0.862231E-001  0.293291                 NaN            NaN  0.192946                 NaN            NaN            NaN            NaN
  1282.40        500.000        99.4358                 NaN  0.848212E-001  0.289608                 NaN            NaN  0.189775                 NaN            NaN            NaN            NaN
  1280.89        500.000        99.4423                 NaN  0.827900E-001  0.287723                 NaN            NaN  0.187142                 NaN            NaN            NaN            NaN
  1279.38        500.000        99.4477                 NaN  0.793358E-001  0.288052                 NaN            NaN  0.184917                 NaN            NaN            NaN            NaN
  1277.87        500.000        99.4558                 NaN  0.793068E-001  0.283209                 NaN            NaN  0.181662                 NaN            NaN            NaN            NaN
  1276.36        500.000        99.4620                 NaN  0.765320E-001  0.282154                 NaN            NaN  0.179320                 NaN            NaN            NaN            NaN
  1274.85        500.000        99.4688                 NaN  0.753687E-001  0.279134                 NaN            NaN  0.176651                 NaN            NaN            NaN            NaN
  1273.34        500.000        99.4752                 NaN  0.730262E-001  0.277645                 NaN            NaN  0.174087                 NaN            NaN            NaN            NaN
  1271.83        500.000        99.4816                 NaN  0.713445E-001  0.275447                 NaN            NaN  0.171631                 NaN            NaN            NaN            NaN
  1270.32        500.000        99.4873                 NaN  0.686186E-001  0.274752                 NaN            NaN  0.169330                 NaN            NaN            NaN            NaN
  1268.81        500.000        99.4938                 NaN  0.671733E-001  0.272193                 NaN            NaN  0.166864                 NaN            NaN            NaN            NaN
  1267.30        500.000        97.9547                 NaN  0.964941E-001  0.546076                 NaN            NaN  0.321832        1.08086                 NaN            NaN            NaN
  1265.79        500.000        96.1406                 NaN  0.111374       0.892243                 NaN            NaN  0.504092        2.35168                 NaN            NaN            NaN
  1264.28        500.000        96.2832                 NaN  0.888969E-001  0.887645                 NaN            NaN  0.486996        2.25323                 NaN            NaN            NaN
  1262.77        500.000        96.4042                 NaN  0.586428E-001  0.898220                 NaN            NaN  0.472939        2.16604                 NaN            NaN            NaN
  1261.26        500.000        96.5121                 NaN  0.250029E-001  0.915847                 NaN            NaN  0.460470        2.08659                 NaN            NaN            NaN
