|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1537.62        500.000        99.3233       0.676668       0.138893E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.3287       0.671319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.3340       0.655382       0.105741E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.3393       0.660676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.3438       0.656218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.3486       0.651411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.3548       0.645222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        98.0875                 NaN   1.91251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.6945       0.305494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.3812       0.618844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.3877       0.612343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.3896       0.610353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.3951       0.604917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.3977       0.602334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.4034       0.596577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.4073       0.592704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4107       0.589268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        500.000        99.4136       0.586406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.4202       0.579768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        500.000        99.4233       0.576738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        500.000        99.4254       0.574574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        500.000        99.4313       0.568693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.4335       0.566512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        500.000        99.4376       0.562401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4390       0.561031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        500.000        99.4466       0.553439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.4488       0.551176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        500.000        99.4524       0.547591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000        99.4004       0.293707                 NaN  0.305927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        500.000        99.3324       0.676697E-001            NaN  0.599939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.3315                 NaN            NaN  0.668500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        500.000        99.3314                 NaN            NaN  0.668571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.3340                 NaN            NaN  0.666032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        500.000        99.3340                 NaN            NaN  0.666050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        500.000        99.3359                 NaN            NaN  0.664071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        500.000        99.3339                 NaN            NaN  0.666050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        500.000        99.3337                 NaN            NaN  0.666291                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        500.000        99.3343                 NaN            NaN  0.665730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        500.000        99.3349                 NaN            NaN  0.665086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000        99.3350                 NaN            NaN  0.665007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        500.000        99.3302                 NaN            NaN  0.669788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        500.000        99.3283                 NaN            NaN  0.671737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        500.000        99.3250                 NaN            NaN  0.675028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        500.000        99.3219                 NaN            NaN  0.678089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        500.000        99.3168                 NaN            NaN  0.683162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        500.000        99.3088                 NaN            NaN  0.691236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        500.000        99.3025                 NaN            NaN  0.697491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        500.000        99.5163       0.264117E-001            NaN  0.457273                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        500.000        98.9649       0.175725                 NaN  0.859334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.60        500.000        98.5845                 NaN            NaN   1.07219       0.343317                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.09        500.000        98.9273                 NaN            NaN  0.726215       0.346519                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.58        500.000        98.9395                 NaN            NaN  0.718141       0.342319                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        500.000        98.9494                 NaN            NaN  0.338433       0.712166                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        500.000        98.9600                 NaN            NaN  0.334257       0.705743                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.05        500.000        98.9698                 NaN            NaN  0.331071       0.699085                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.54        500.000        98.9805                 NaN            NaN  0.692160       0.327362                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.03        500.000        98.9906                 NaN            NaN  0.685840       0.323551                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        98.9989                 NaN            NaN  0.680928       0.320211                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.01        500.000        99.0090                 NaN            NaN  0.316515       0.674437                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.50        500.000        99.0179                 NaN            NaN  0.313054       0.669063                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.0273                 NaN            NaN  0.309583       0.663097                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        500.000        99.0354                 NaN            NaN  0.306935       0.657709                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.97        500.000        99.0442                 NaN            NaN  0.654497       0.301284                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.0535                 NaN            NaN  0.299838       0.646684                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        500.000        99.0620                 NaN            NaN  0.641125       0.296828                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.44        500.000        96.8634                 NaN            NaN   1.27582       0.963271                 NaN  0.897534                 NaN            NaN            NaN            NaN
  1434.93        500.000        96.9162                 NaN            NaN   1.25397       0.942437                 NaN  0.887367                 NaN            NaN            NaN            NaN
  1433.42        500.000        96.9837                 NaN            NaN   1.22406       0.924010                 NaN  0.868194                 NaN            NaN            NaN            NaN
  1431.91        500.000        97.0618                 NaN            NaN  0.900576        1.19148                 NaN  0.846093                 NaN            NaN            NaN            NaN
  1430.40        500.000        97.1294                 NaN            NaN  0.881092        1.16277                 NaN  0.826765                 NaN            NaN            NaN            NaN
  1428.89        500.000        97.1966                 NaN            NaN  0.862374        1.13333                 NaN  0.807658                 NaN            NaN            NaN            NaN
  1427.38        500.000        97.2587                 NaN            NaN   1.10670       0.844822                 NaN  0.789764                 NaN            NaN            NaN            NaN
  1425.87        500.000        97.3202                 NaN            NaN  0.827046        1.08059                 NaN  0.772205                 NaN            NaN            NaN            NaN
  1424.36        500.000        97.3864                 NaN            NaN   1.05340       0.806836                 NaN  0.753363                 NaN            NaN            NaN            NaN
  1422.85        500.000        97.4390                 NaN            NaN   1.02992       0.792756                 NaN  0.738349                 NaN            NaN            NaN            NaN
  1421.34        500.000        97.4953                 NaN            NaN   1.00649       0.776216                 NaN  0.721985                 NaN            NaN            NaN            NaN
  1419.83        500.000        97.5474                 NaN            NaN  0.984146       0.761308                 NaN  0.707108                 NaN            NaN            NaN            NaN
  1418.32        500.000        97.5998                 NaN            NaN  0.962237       0.745935                 NaN  0.692039                 NaN            NaN            NaN            NaN
  1416.81        500.000        97.6459                 NaN            NaN  0.732670       0.942865                 NaN  0.678530                 NaN            NaN            NaN            NaN
  1415.30        500.000        97.6961                 NaN            NaN  0.717810       0.921986                 NaN  0.664132                 NaN            NaN            NaN            NaN
  1413.79        500.000        97.7427                 NaN            NaN  0.901566       0.705077                 NaN  0.650691                 NaN            NaN            NaN            NaN
  1412.28        500.000        97.7842                 NaN            NaN  0.692296       0.884845                 NaN  0.638635                 NaN            NaN            NaN            NaN
  1410.77        500.000        97.8258                 NaN            NaN  0.680177       0.867649                 NaN  0.626371                 NaN            NaN            NaN            NaN
  1409.26        500.000        97.8686                 NaN            NaN  0.666991       0.850375                 NaN  0.614001                 NaN            NaN            NaN            NaN
  1407.75        500.000        97.9078                 NaN            NaN  0.655538       0.834133                 NaN  0.602576                 NaN            NaN            NaN            NaN
  1406.24        500.000        97.9457                 NaN            NaN  0.818493       0.644365                 NaN  0.591458                 NaN            NaN            NaN            NaN
  1404.73        500.000        97.9831                 NaN            NaN  0.802754       0.633557                 NaN  0.580583                 NaN            NaN            NaN            NaN
  1403.22        500.000        98.0187                 NaN            NaN  0.621827       0.789049                 NaN  0.570400                 NaN            NaN            NaN            NaN
  1401.71        500.000        98.0525                 NaN            NaN  0.613190       0.774278                 NaN  0.560002                 NaN            NaN            NaN            NaN
  1400.20        500.000        98.0877                 NaN            NaN  0.601595       0.760795                 NaN  0.549863                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.1170                 NaN            NaN  0.592516       0.749251                 NaN  0.541254                 NaN            NaN            NaN            NaN
  1397.18        500.000        98.1532                 NaN            NaN  0.581869       0.734151                 NaN  0.530813                 NaN            NaN            NaN            NaN
  1395.67        500.000        98.1838                 NaN            NaN  0.721115       0.573657                 NaN  0.521394                 NaN            NaN            NaN            NaN
  1394.16        500.000        98.2117                 NaN            NaN  0.565615       0.709579                 NaN  0.513114                 NaN            NaN            NaN            NaN
  1392.65        500.000        98.2417                 NaN            NaN  0.698433       0.555499                 NaN  0.504390                 NaN            NaN            NaN            NaN
  1391.14        500.000        98.2691                 NaN            NaN  0.687041       0.547607                 NaN  0.496251                 NaN            NaN            NaN            NaN
  1389.63        500.000        98.2932                 NaN            NaN  0.676828       0.541030                 NaN  0.488968                 NaN            NaN            NaN            NaN
  1388.12        500.000        98.3238                 NaN            NaN  0.665385       0.530867                 NaN  0.479950                 NaN            NaN            NaN            NaN
  1386.60        500.000        98.3483                 NaN            NaN  0.655699       0.523323                 NaN  0.472673                 NaN            NaN            NaN            NaN
  1385.09        500.000        98.3720                 NaN            NaN  0.646518       0.515933                 NaN  0.465500                 NaN            NaN            NaN            NaN
  1383.58        500.000        98.3963                 NaN            NaN  0.636836       0.508642                 NaN  0.458189                 NaN            NaN            NaN            NaN
  1382.07        500.000        98.4208                 NaN            NaN  0.627789       0.500541                 NaN  0.450896                 NaN            NaN            NaN            NaN
  1380.56        500.000        98.4414                 NaN            NaN  0.494767       0.619142                 NaN  0.444739                 NaN            NaN            NaN            NaN
  1379.05        500.000        98.4652                 NaN            NaN  0.610081       0.487179                 NaN  0.437516                 NaN            NaN            NaN            NaN
  1377.54        500.000        98.4856                 NaN            NaN  0.480734       0.602362                 NaN  0.431274                 NaN            NaN            NaN            NaN
  1376.03        500.000        98.5083                 NaN            NaN  0.593616       0.473679                 NaN  0.424429                 NaN            NaN            NaN            NaN
  1374.52        500.000        98.5269                 NaN            NaN  0.467638       0.586408                 NaN  0.419068                 NaN            NaN            NaN            NaN
  1373.01        500.000        98.5499                 NaN            NaN  0.460020       0.578285                 NaN  0.411784                 NaN            NaN            NaN            NaN
  1371.50        500.000        98.5677                 NaN            NaN  0.454741       0.570906                 NaN  0.406665                 NaN            NaN            NaN            NaN
  1369.99        500.000        98.5852                 NaN            NaN  0.564615       0.449279                 NaN  0.400916                 NaN            NaN            NaN            NaN
  1368.48        500.000        98.6057                 NaN            NaN  0.556527       0.442901                 NaN  0.394832                 NaN            NaN            NaN            NaN
  1366.97        500.000        98.6216                 NaN            NaN  0.550937       0.437424                 NaN  0.390049                 NaN            NaN            NaN            NaN
  1365.46        500.000        98.6421                 NaN            NaN  0.431437       0.542778                 NaN  0.383734                 NaN            NaN            NaN            NaN
  1363.95        500.000        98.6579                 NaN            NaN  0.537228       0.426043                 NaN  0.378872                 NaN            NaN            NaN            NaN
  1362.44        500.000        98.6750                 NaN            NaN  0.530933       0.420382                 NaN  0.373646                 NaN            NaN            NaN            NaN
  1360.93        500.000        98.6902                 NaN            NaN  0.525672       0.415318                 NaN  0.368824                 NaN            NaN            NaN            NaN
  1359.42        500.000        98.7068                 NaN            NaN  0.519159       0.410181                 NaN  0.363813                 NaN            NaN            NaN            NaN
  1357.91        500.000        98.7180                 NaN            NaN  0.515330       0.406709                 NaN  0.359956                 NaN            NaN            NaN            NaN
  1356.40        500.000        98.7341                 NaN            NaN  0.510119       0.400858                 NaN  0.354934                 NaN            NaN            NaN            NaN
  1354.89        500.000        98.7518                 NaN            NaN  0.503593       0.394919                 NaN  0.349656                 NaN            NaN            NaN            NaN
  1353.38        500.000        98.7663                 NaN            NaN  0.390081       0.498467                 NaN  0.345179                 NaN            NaN            NaN            NaN
  1351.87        500.000        98.7813                 NaN            NaN  0.492534       0.385343                 NaN  0.340784                 NaN            NaN            NaN            NaN
  1350.36        500.000        98.7929                 NaN            NaN  0.488974       0.381262                 NaN  0.336894                 NaN            NaN            NaN            NaN
  1348.85        500.000        98.8085                 NaN            NaN  0.483527       0.375738                 NaN  0.332237                 NaN            NaN            NaN            NaN
  1347.34        500.000        98.8211                 NaN            NaN  0.478908       0.371772                 NaN  0.328173                 NaN            NaN            NaN            NaN
  1345.83        500.000        98.8349                 NaN            NaN  0.474753       0.366360                 NaN  0.324027                 NaN            NaN            NaN            NaN
  1344.32        500.000        98.8449                 NaN            NaN  0.470262       0.364322                 NaN  0.320490                 NaN            NaN            NaN            NaN
  1342.81        500.000        98.8568                 NaN            NaN  0.357032       0.469285                 NaN  0.316901                 NaN            NaN            NaN            NaN
  1341.30        500.000        98.8712                 NaN            NaN  0.353378       0.462997                 NaN  0.312378                 NaN            NaN            NaN            NaN
  1339.79        500.000        98.8798                 NaN            NaN  0.459635       0.350877                 NaN  0.309655                 NaN            NaN            NaN            NaN
  1338.28        500.000        98.8920                 NaN            NaN  0.347300       0.454880                 NaN  0.305838                 NaN            NaN            NaN            NaN
  1336.77        500.000        98.9068                 NaN            NaN  0.339650       0.452656                 NaN  0.300892                 NaN            NaN            NaN            NaN
  1335.26        500.000        98.9155                 NaN  0.107424E-005  0.336673       0.449472                 NaN  0.298382                 NaN            NaN            NaN            NaN
  1333.75        500.000        98.9231                 NaN            NaN  0.333619       0.447560                 NaN  0.295700                 NaN            NaN            NaN            NaN
  1332.24        500.000        98.9373                 NaN  0.750204E-003  0.330266       0.440374                 NaN  0.291359                 NaN            NaN            NaN            NaN
  1330.73        500.000        98.9469                 NaN  0.935683E-002  0.415909       0.338654                 NaN  0.289205                 NaN            NaN            NaN            NaN
  1329.22        500.000        98.9624                 NaN  0.185670       0.549275                 NaN            NaN  0.302608                 NaN            NaN            NaN            NaN
  1327.71        500.000        98.9688                 NaN  0.194997       0.534342                 NaN            NaN  0.301849                 NaN            NaN            NaN            NaN
  1326.20        500.000        98.9823                 NaN  0.196813       0.523120                 NaN            NaN  0.297790                 NaN            NaN            NaN            NaN
  1324.69        500.000        98.9930                 NaN  0.192078       0.520985                 NaN            NaN  0.293945                 NaN            NaN            NaN            NaN
  1323.18        500.000        99.0062                 NaN  0.192733       0.511485                 NaN            NaN  0.289559                 NaN            NaN            NaN            NaN
  1321.67        500.000        99.0173                 NaN  0.191811       0.504943                 NaN            NaN  0.285913                 NaN            NaN            NaN            NaN
  1320.16        500.000        99.0293                 NaN  0.187490       0.501367                 NaN            NaN  0.281885                 NaN            NaN            NaN            NaN
  1318.65        500.000        99.0417                 NaN  0.189725       0.490630                 NaN            NaN  0.277901                 NaN            NaN            NaN            NaN
  1317.14        500.000        99.0529                 NaN  0.189195       0.483605                 NaN            NaN  0.274297                 NaN            NaN            NaN            NaN
  1315.63        500.000        99.0642                 NaN  0.185063       0.480437                 NaN            NaN  0.270303                 NaN            NaN            NaN            NaN
  1314.12        500.000        99.0747                 NaN  0.183204       0.475250                 NaN            NaN  0.266895                 NaN            NaN            NaN            NaN
  1312.61        500.000        99.0853                 NaN  0.182477       0.469059                 NaN            NaN  0.263160                 NaN            NaN            NaN            NaN
  1311.10        500.000        99.0798                 NaN  0.171164       0.480040                 NaN            NaN  0.268946                 NaN            NaN            NaN            NaN
  1309.59        500.000        99.1325                 NaN  0.166205       0.457113                 NaN            NaN  0.244204                 NaN            NaN            NaN            NaN
  1308.08        500.000        99.1176                 NaN  0.176273       0.453751                 NaN            NaN  0.252416                 NaN            NaN            NaN            NaN
  1306.57        500.000        99.1270                 NaN  0.174633       0.449265                 NaN            NaN  0.249109                 NaN            NaN            NaN            NaN
  1305.06        500.000        99.1370                 NaN  0.172357       0.444965                 NaN            NaN  0.245700                 NaN            NaN            NaN            NaN
  1303.55        500.000        99.1470                 NaN  0.171733       0.438809                 NaN            NaN  0.242508                 NaN            NaN            NaN            NaN
  1302.04        500.000        99.1580                 NaN  0.169329       0.433848                 NaN            NaN  0.238851                 NaN            NaN            NaN            NaN
  1300.52        500.000        99.1671                 NaN  0.164809       0.432558                 NaN            NaN  0.235513                 NaN            NaN            NaN            NaN
  1299.01        500.000        99.1763                 NaN  0.162810       0.428410                 NaN            NaN  0.232443                 NaN            NaN            NaN            NaN
  1297.50        500.000        99.1860                 NaN  0.159843       0.425008                 NaN            NaN  0.229137                 NaN            NaN            NaN            NaN
  1295.99        500.000        99.1951                 NaN  0.157920       0.420903                 NaN            NaN  0.226050                 NaN            NaN            NaN            NaN
  1294.48        500.000        99.2048                 NaN  0.155210       0.417055                 NaN            NaN  0.222909                 NaN            NaN            NaN            NaN
  1292.97        500.000        99.2129                 NaN  0.152409       0.414787                 NaN            NaN  0.219899                 NaN            NaN            NaN            NaN
  1291.46        500.000        99.2216                 NaN  0.149082       0.412379                 NaN            NaN  0.216922                 NaN            NaN            NaN            NaN
  1289.95        500.000        99.2312                 NaN  0.144617       0.410276                 NaN            NaN  0.213862                 NaN            NaN            NaN            NaN
  1288.44        500.000        99.2394                 NaN  0.144297       0.405259                 NaN            NaN  0.210999                 NaN            NaN            NaN            NaN
  1286.93        500.000        99.2476                 NaN  0.141510       0.402694                 NaN            NaN  0.208178                 NaN            NaN            NaN            NaN
  1285.42        500.000        99.2559                 NaN  0.138157       0.400522                 NaN            NaN  0.205391                 NaN            NaN            NaN            NaN
  1283.91        500.000        99.2631                 NaN  0.136643       0.397378                 NaN            NaN  0.202842                 NaN            NaN            NaN            NaN
  1282.40        500.000        99.2727                 NaN  0.134673       0.392939                 NaN            NaN  0.199728                 NaN            NaN            NaN            NaN
  1280.89        500.000        99.2801                 NaN  0.131683       0.391017                 NaN            NaN  0.197173                 NaN            NaN            NaN            NaN
  1279.38        500.000        99.2863                 NaN  0.126396       0.392268                 NaN            NaN  0.195041                 NaN            NaN            NaN            NaN
  1277.87        500.000        99.2955                 NaN  0.126616       0.386051                 NaN            NaN  0.191817                 NaN            NaN            NaN            NaN
  1276.36        500.000        99.3028                 NaN  0.122394       0.385304                 NaN            NaN  0.189549                 NaN            NaN            NaN            NaN
  1274.85        500.000        99.3106                 NaN  0.120752       0.381705                 NaN            NaN  0.186928                 NaN            NaN            NaN            NaN
  1273.34        500.000        99.3181                 NaN  0.117207       0.380283                 NaN            NaN  0.184413                 NaN            NaN            NaN            NaN
  1271.83        500.000        99.3255                 NaN  0.114711       0.377812                 NaN            NaN  0.182005                 NaN            NaN            NaN            NaN
  1270.32        500.000        99.3322                 NaN  0.110504       0.377534                 NaN            NaN  0.179754                 NaN            NaN            NaN            NaN
  1268.81        500.000        99.3398                 NaN  0.108366       0.374507                 NaN            NaN  0.177323                 NaN            NaN            NaN            NaN
  1267.30        500.000        97.6832                 NaN  0.155822       0.752219                 NaN            NaN  0.341937        1.06679                 NaN            NaN            NaN
  1265.79        500.000        95.7329                 NaN  0.180046        1.23162                 NaN            NaN  0.535345        2.32006                 NaN            NaN            NaN
  1264.28        500.000        95.8832                 NaN  0.144127        1.22943                 NaN            NaN  0.517774        2.22545                 NaN            NaN            NaN
  1262.77        500.000        96.0105                 NaN  0.953205E-001   1.24900                 NaN            NaN  0.503394        2.14174                 NaN            NaN            NaN
  1261.26        500.000        96.1243                 NaN  0.407499E-001   1.27879                 NaN            NaN  0.490666        2.06548                 NaN            NaN            NaN
  1259.75        500.000        96.2422                 NaN  0.499957E-003   1.28980                 NaN            NaN  0.477431        1.99009                 NaN            NaN            NaN
