|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1530.70        2500.00                 NaN            NaN   99.3315                 NaN  0.610924       0.576136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN            NaN   99.5541                 NaN  0.408067       0.378506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00                 NaN            NaN   99.5523                 NaN  0.411262       0.364500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.33        2500.00                 NaN            NaN   99.6571                 NaN  0.315492       0.273956E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.88        2500.00                 NaN            NaN   99.4694                 NaN  0.485958       0.446083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        2500.00                 NaN            NaN   99.2448                 NaN  0.688046       0.671703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00                 NaN            NaN   99.8924                 NaN  0.103432       0.412804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00                 NaN            NaN   99.6312                 NaN  0.342958       0.258825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        2500.00                 NaN            NaN   99.6206                 NaN  0.354699       0.247487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00                 NaN            NaN   99.4589                 NaN  0.501510       0.396348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        2500.00                 NaN            NaN   99.5789                 NaN  0.406008       0.151368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00                 NaN            NaN   99.5805                 NaN  0.375203       0.443082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        2500.00                 NaN            NaN   99.5846                 NaN  0.385581       0.298498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN            NaN   99.5864                 NaN  0.384361       0.291891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        2500.00                 NaN            NaN   99.5887                 NaN  0.383139       0.282036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN            NaN   99.5917                 NaN  0.371970       0.363300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        2500.00                 NaN            NaN   99.5934                 NaN  0.387828       0.187308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        2500.00                 NaN            NaN   99.5961                 NaN  0.377392       0.265429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        2500.00                 NaN            NaN   99.5408                 NaN  0.428466       0.307606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00                 NaN            NaN   99.6589                 NaN  0.320190       0.208677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        2500.00                 NaN            NaN   99.6015                 NaN  0.374909       0.235764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00                 NaN            NaN   99.4582                 NaN  0.503748       0.380238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        2500.00                 NaN            NaN   99.7583                 NaN  0.229081       0.126370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        2500.00                 NaN            NaN   99.6079                 NaN  0.370710       0.213727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        2500.00                 NaN            NaN   99.6123                 NaN  0.365124       0.225594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        2500.00                 NaN            NaN   99.4864                 NaN            NaN  0.169647E-001            NaN  0.496602                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        2500.00                 NaN            NaN   99.4744                 NaN            NaN  0.250838E-003            NaN  0.525324                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        2500.00                 NaN            NaN   99.4711                 NaN            NaN            NaN            NaN  0.528856                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        2500.00                 NaN            NaN   99.4711                 NaN            NaN  0.231644E-005            NaN  0.528864                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        2500.00                 NaN            NaN   99.4695                 NaN            NaN            NaN            NaN  0.530466                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN            NaN   99.4288                 NaN            NaN  0.452765E-005            NaN  0.571225                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        2500.00                 NaN            NaN   99.4929                 NaN            NaN            NaN            NaN  0.495210       0.118789E-001            NaN            NaN            NaN            NaN            NaN
  1484.17        2500.00                 NaN            NaN   99.2635                 NaN            NaN            NaN            NaN  0.385730       0.350805                 NaN            NaN            NaN            NaN            NaN
  1482.71        2500.00                 NaN            NaN   99.1927                 NaN            NaN            NaN            NaN  0.487739       0.319599                 NaN            NaN            NaN            NaN            NaN
  1481.26        2500.00                 NaN            NaN   99.1981                 NaN            NaN  0.411670E-005            NaN  0.317758       0.484105                 NaN            NaN            NaN            NaN            NaN
  1479.81        2500.00                 NaN            NaN   99.2047                 NaN            NaN            NaN            NaN  0.314472       0.480846                 NaN            NaN            NaN            NaN            NaN
  1478.35        2500.00                 NaN            NaN   99.2119                 NaN            NaN            NaN            NaN  0.311451       0.476663                 NaN            NaN            NaN            NaN            NaN
  1476.90        2500.00                 NaN            NaN   99.2203                 NaN            NaN            NaN            NaN  0.308045       0.471686                 NaN            NaN            NaN            NaN            NaN
  1475.44        2500.00                 NaN            NaN   99.2258                 NaN            NaN            NaN            NaN  0.305610       0.468579                 NaN            NaN            NaN            NaN            NaN
  1473.99        2500.00                 NaN            NaN   99.2325                 NaN            NaN            NaN            NaN  0.302584       0.464874                 NaN            NaN            NaN            NaN            NaN
  1472.54        2500.00                 NaN            NaN   99.2383                 NaN            NaN            NaN            NaN  0.300440       0.461290                 NaN            NaN            NaN            NaN            NaN
  1471.08        2500.00                 NaN            NaN   99.2459                 NaN            NaN            NaN            NaN  0.297059       0.457085                 NaN            NaN            NaN            NaN            NaN
  1469.63        2500.00                 NaN            NaN   99.2521                 NaN            NaN            NaN            NaN  0.294289       0.453609                 NaN            NaN            NaN            NaN            NaN
  1468.18        2500.00                 NaN            NaN   99.2580                 NaN            NaN  0.700172E-004            NaN  0.291443       0.450476                 NaN            NaN            NaN            NaN            NaN
  1466.72        2500.00                 NaN            NaN   99.2635                 NaN            NaN            NaN            NaN  0.447380       0.289166                 NaN            NaN            NaN            NaN            NaN
  1465.27        2500.00                 NaN            NaN   99.2706                 NaN            NaN  0.141921E-005            NaN  0.443077       0.286319                 NaN            NaN            NaN            NaN            NaN
  1463.81        2500.00                 NaN            NaN   99.2759                 NaN            NaN            NaN            NaN  0.440141       0.283954                 NaN            NaN            NaN            NaN            NaN
  1462.36        2500.00                 NaN            NaN   99.2821                 NaN            NaN            NaN            NaN  0.436537       0.281315                 NaN            NaN            NaN            NaN            NaN
  1460.91        2500.00                 NaN            NaN   99.2876                 NaN            NaN            NaN            NaN  0.433471       0.278925                 NaN            NaN            NaN            NaN            NaN
  1459.45        2500.00                 NaN            NaN   99.2926                 NaN            NaN            NaN            NaN  0.431024       0.276364                 NaN            NaN            NaN            NaN            NaN
  1458.00        2500.00                 NaN            NaN   99.3015                 NaN            NaN  0.636722E-002            NaN  0.428339       0.263778                 NaN            NaN            NaN            NaN            NaN
  1456.54        2500.00                 NaN            NaN   99.3039                 NaN            NaN  0.521784E-005            NaN  0.271883       0.424174                 NaN            NaN            NaN            NaN            NaN
  1455.09        2500.00                 NaN            NaN   99.3098                 NaN            NaN            NaN            NaN  0.421251       0.268977                 NaN            NaN            NaN            NaN            NaN
  1453.64        2500.00                 NaN            NaN   99.3156                 NaN            NaN  0.238693E-002            NaN  0.418856       0.263122                 NaN            NaN            NaN            NaN            NaN
  1452.18        2500.00                 NaN            NaN   99.3361                 NaN            NaN  0.621429E-001            NaN  0.432830       0.168899                 NaN            NaN            NaN            NaN            NaN
  1450.73        2500.00                 NaN            NaN   99.3266                 NaN            NaN            NaN            NaN  0.261595       0.411803                 NaN            NaN            NaN            NaN            NaN
  1449.27        2500.00                 NaN            NaN   99.3298                 NaN            NaN            NaN            NaN  0.410351       0.259893                 NaN            NaN            NaN            NaN            NaN
  1447.82        2500.00                 NaN            NaN   99.3353                 NaN            NaN  0.987628E-006            NaN  0.257371       0.407282                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN            NaN   99.3399                 NaN            NaN            NaN            NaN  0.255257       0.404871                 NaN            NaN            NaN            NaN            NaN
  1444.91        2500.00                 NaN            NaN   99.3446                 NaN            NaN  0.273497E-005            NaN  0.253223       0.402126                 NaN            NaN            NaN            NaN            NaN
  1443.46        2500.00                 NaN            NaN   99.3487                 NaN            NaN            NaN            NaN  0.250698       0.400579                 NaN            NaN            NaN            NaN            NaN
  1442.00        2500.00                 NaN            NaN   99.3544                 NaN            NaN            NaN            NaN  0.396581       0.249029                 NaN            NaN            NaN            NaN            NaN
  1440.55        2500.00                 NaN            NaN   99.3617                 NaN            NaN  0.131668E-001            NaN  0.227414       0.397680                 NaN            NaN            NaN            NaN            NaN
  1439.10        2500.00                 NaN            NaN   98.9448                 NaN            NaN  0.638749E-002            NaN  0.415278       0.413603       0.219950                 NaN            NaN            NaN            NaN
  1437.64        2500.00                 NaN            NaN   98.2937                 NaN            NaN  0.154766                 NaN  0.485517       0.476942       0.589090                 NaN            NaN            NaN            NaN
  1436.19        2500.00                 NaN            NaN   98.3217                 NaN            NaN  0.154490                 NaN  0.474200       0.469307       0.580271                 NaN            NaN            NaN            NaN
  1434.73        2500.00                 NaN            NaN   98.3747                 NaN            NaN  0.148375                 NaN  0.460748       0.455752       0.560460                 NaN            NaN            NaN            NaN
  1433.28        2500.00                 NaN            NaN   98.3931                 NaN            NaN  0.149802                 NaN  0.450777       0.450614       0.555705                 NaN            NaN            NaN            NaN
  1431.83        2500.00                 NaN            NaN   98.4231                 NaN            NaN  0.148619                 NaN  0.439826       0.442673       0.545787                 NaN            NaN            NaN            NaN
  1430.37        2500.00                 NaN            NaN   98.4529                 NaN            NaN  0.146863                 NaN  0.434784       0.429717       0.535759                 NaN            NaN            NaN            NaN
  1428.92        2500.00                 NaN            NaN   98.4810                 NaN            NaN  0.145906                 NaN  0.428151       0.418665       0.526284                 NaN            NaN            NaN            NaN
  1427.46        2500.00                 NaN            NaN   98.7264                 NaN            NaN  0.123796                 NaN  0.348608       0.359247       0.441997                 NaN            NaN            NaN            NaN
  1426.01        2500.00                 NaN            NaN   98.3150                 NaN            NaN  0.164489                 NaN  0.475638       0.460562       0.584300                 NaN            NaN            NaN            NaN
  1424.56        2500.00                 NaN            NaN   98.5629                 NaN            NaN  0.142323                 NaN  0.405520       0.390254       0.499036                 NaN            NaN            NaN            NaN
  1423.10        2500.00                 NaN            NaN   98.5885                 NaN            NaN  0.140598                 NaN  0.397712       0.382705       0.490446                 NaN            NaN            NaN            NaN
  1421.65        2500.00                 NaN            NaN   98.6031                 NaN            NaN  0.141083                 NaN  0.395089       0.374799       0.485952                 NaN            NaN            NaN            NaN
  1420.19        2500.00                 NaN            NaN   98.6446                 NaN            NaN  0.136879                 NaN  0.363401       0.384176       0.470925                 NaN            NaN            NaN            NaN
  1418.74        2500.00                 NaN            NaN   98.6589                 NaN            NaN  0.138059                 NaN  0.355504       0.380718       0.466778                 NaN            NaN            NaN            NaN
  1417.29        2500.00                 NaN            NaN   98.6823                 NaN            NaN  0.136377                 NaN  0.348614       0.373844       0.458858                 NaN            NaN            NaN            NaN
  1415.83        2500.00                 NaN            NaN   98.7020                 NaN            NaN  0.134951                 NaN  0.369171       0.341854       0.452002                 NaN            NaN            NaN            NaN
  1414.38        2500.00                 NaN            NaN   98.7225                 NaN            NaN  0.134228                 NaN  0.334528       0.363312       0.445426                 NaN            NaN            NaN            NaN
  1412.92        2500.00                 NaN            NaN   98.7496                 NaN            NaN  0.133652                 NaN  0.323991       0.356811       0.435976                 NaN            NaN            NaN            NaN
  1411.47        2500.00                 NaN            NaN   98.7661                 NaN            NaN  0.132268                 NaN  0.319193       0.351889       0.430569                 NaN            NaN            NaN            NaN
  1410.02        2500.00                 NaN            NaN   98.7869                 NaN            NaN  0.131214                 NaN  0.312168       0.346272       0.423406                 NaN            NaN            NaN            NaN
  1408.56        2500.00                 NaN            NaN   98.8061                 NaN            NaN  0.130329                 NaN  0.341196       0.305450       0.416957                 NaN            NaN            NaN            NaN
  1407.11        2500.00                 NaN            NaN   98.8248                 NaN            NaN  0.129356                 NaN  0.298864       0.336336       0.410596                 NaN            NaN            NaN            NaN
  1405.65        2500.00                 NaN            NaN   98.8428                 NaN            NaN  0.128366                 NaN  0.331776       0.292584       0.404431                 NaN            NaN            NaN            NaN
  1404.20        2500.00                 NaN            NaN   98.8608                 NaN            NaN  0.127452                 NaN  0.286721       0.326725       0.398316                 NaN            NaN            NaN            NaN
  1402.75        2500.00                 NaN            NaN   98.8784                 NaN            NaN  0.126454                 NaN  0.280658       0.322166       0.392355                 NaN            NaN            NaN            NaN
  1401.29        2500.00                 NaN            NaN   98.8959                 NaN            NaN  0.125492                 NaN  0.274891       0.317375       0.386387                 NaN            NaN            NaN            NaN
  1399.84        2500.00                 NaN            NaN   98.9124                 NaN            NaN  0.124628                 NaN  0.269050       0.313171       0.380729                 NaN            NaN            NaN            NaN
  1398.39        2500.00                 NaN            NaN   98.9288                 NaN            NaN  0.123644                 NaN  0.308855       0.263729       0.374945                 NaN            NaN            NaN            NaN
  1396.93        2500.00                 NaN            NaN   98.9446                 NaN            NaN  0.122864                 NaN  0.258147       0.304685       0.369694                 NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN            NaN   98.9603                 NaN            NaN  0.121842                 NaN  0.300185       0.253467       0.364245                 NaN            NaN            NaN            NaN
  1394.02        2500.00                 NaN            NaN   98.9757                 NaN            NaN  0.121010                 NaN  0.248242       0.296111       0.358927                 NaN            NaN            NaN            NaN
  1392.57        2500.00                 NaN            NaN   98.9897                 NaN            NaN  0.121041                 NaN  0.292823       0.242160       0.354302                 NaN            NaN            NaN            NaN
  1391.12        2500.00                 NaN            NaN   99.0044                 NaN            NaN  0.119136                 NaN  0.238778       0.288776       0.348957                 NaN            NaN            NaN            NaN
  1389.66        2500.00                 NaN            NaN   99.0194                 NaN            NaN  0.117818                 NaN  0.284205       0.234861       0.343689                 NaN            NaN            NaN            NaN
  1388.21        2500.00                 NaN            NaN   99.0314                 NaN            NaN  0.117889                 NaN  0.281343       0.229423       0.339910                 NaN            NaN            NaN            NaN
  1386.75        2500.00                 NaN            NaN   99.0474                 NaN            NaN  0.116129                 NaN  0.225559       0.276974       0.333924                 NaN            NaN            NaN            NaN
  1385.30        2500.00                 NaN            NaN   99.0596                 NaN            NaN  0.115788                 NaN  0.220992       0.273763       0.329901                 NaN            NaN            NaN            NaN
  1383.85        2500.00                 NaN            NaN   99.0726                 NaN            NaN  0.114843                 NaN  0.216847       0.270356       0.325383                 NaN            NaN            NaN            NaN
  1382.39        2500.00                 NaN            NaN   99.0855                 NaN            NaN  0.114242                 NaN  0.212472       0.266904       0.320930                 NaN            NaN            NaN            NaN
  1380.94        2500.00                 NaN            NaN   99.0979                 NaN            NaN  0.113051                 NaN  0.209020       0.263571       0.316485                 NaN            NaN            NaN            NaN
  1379.48        2500.00                 NaN            NaN   99.1094                 NaN            NaN  0.112465                 NaN  0.260613       0.205000       0.312548                 NaN            NaN            NaN            NaN
  1378.03        2500.00                 NaN            NaN   99.1221                 NaN            NaN  0.111340                 NaN  0.201659       0.256829       0.308028                 NaN            NaN            NaN            NaN
  1376.58        2500.00                 NaN            NaN   99.1332                 NaN            NaN  0.110611                 NaN  0.197822       0.254170       0.304217                 NaN            NaN            NaN            NaN
  1375.12        2500.00                 NaN            NaN   99.1444                 NaN            NaN  0.111043                 NaN  0.252244       0.191734       0.300615                 NaN            NaN            NaN            NaN
  1373.67        2500.00                 NaN            NaN   99.1572                 NaN            NaN  0.107201                 NaN  0.246121       0.194235       0.295229                 NaN            NaN            NaN            NaN
  1372.21        2500.00                 NaN            NaN   99.1667                 NaN            NaN  0.108195                 NaN  0.187630       0.245059       0.292416                 NaN            NaN            NaN            NaN
  1370.76        2500.00                 NaN            NaN   99.1781                 NaN            NaN  0.106652                 NaN  0.241550       0.185434       0.288255                 NaN            NaN            NaN            NaN
  1369.31        2500.00                 NaN            NaN   99.1883                 NaN            NaN  0.106129                 NaN  0.181880       0.238934       0.284707                 NaN            NaN            NaN            NaN
  1367.85        2500.00                 NaN            NaN   99.1985                 NaN            NaN  0.105500                 NaN  0.235824       0.178821       0.281386                 NaN            NaN            NaN            NaN
  1366.40        2500.00                 NaN            NaN   99.2100                 NaN            NaN  0.104601                 NaN  0.175602       0.232629       0.277122                 NaN            NaN            NaN            NaN
  1364.94        2500.00                 NaN            NaN   99.2195                 NaN            NaN  0.102815                 NaN  0.230486       0.173803       0.273400                 NaN            NaN            NaN            NaN
  1363.49        2500.00                 NaN            NaN   99.1994                 NaN            NaN  0.108435                 NaN  0.173445       0.237688       0.281005                 NaN            NaN            NaN            NaN
  1362.04        2500.00                 NaN            NaN   99.2691                 NaN            NaN  0.965997E-001            NaN  0.216122       0.162631       0.255580                 NaN            NaN            NaN            NaN
  1360.58        2500.00                 NaN            NaN   99.2478                 NaN            NaN  0.100499                 NaN  0.165823       0.222282       0.263566                 NaN            NaN            NaN            NaN
  1359.13        2500.00                 NaN            NaN   99.2563                 NaN            NaN  0.998403E-001            NaN  0.163200       0.220185       0.260452                 NaN            NaN            NaN            NaN
  1357.67        2500.00                 NaN            NaN   99.2659                 NaN            NaN  0.984605E-001            NaN  0.217408       0.161322       0.256874                 NaN            NaN            NaN            NaN
  1356.22        2500.00                 NaN            NaN   99.4150                 NaN            NaN  0.104579                 NaN  0.189930       0.795199E-001  0.210979                 NaN            NaN            NaN            NaN
  1354.77        2500.00                 NaN            NaN   99.1448                 NaN            NaN  0.901997E-001            NaN  0.240455       0.231166       0.293375                 NaN            NaN            NaN            NaN
  1353.31        2500.00                 NaN            NaN   99.2918                 NaN            NaN  0.960410E-001            NaN  0.154138       0.210349       0.247690                 NaN            NaN            NaN            NaN
  1351.86        2500.00                 NaN            NaN   99.3001                 NaN            NaN  0.945161E-001            NaN  0.152983       0.207847       0.244505                 NaN            NaN            NaN            NaN
  1350.40        2500.00                 NaN            NaN   99.3082                 NaN            NaN  0.938321E-001            NaN  0.205576       0.150728       0.241658                 NaN            NaN            NaN            NaN
  1348.95        2500.00                 NaN            NaN   99.3164                 NaN            NaN  0.927435E-001            NaN  0.203146       0.149029       0.238688                 NaN            NaN            NaN            NaN
  1347.50        2500.00                 NaN            NaN   99.3244                 NaN            NaN  0.917647E-001            NaN  0.200995       0.147135       0.235746                 NaN            NaN            NaN            NaN
  1346.04        2500.00                 NaN            NaN   99.3323                 NaN            NaN  0.908816E-001            NaN  0.198557       0.145325       0.232930                 NaN            NaN            NaN            NaN
  1344.59        2500.00                 NaN            NaN   99.3396                 NaN            NaN  0.894672E-001            NaN  0.196126       0.144727       0.230090                 NaN            NaN            NaN            NaN
  1343.13        2500.00                 NaN            NaN   99.3469                 NaN            NaN  0.889768E-001            NaN  0.194037       0.142524       0.227556                 NaN            NaN            NaN            NaN
  1341.68        2500.00                 NaN            NaN   99.3546                 NaN            NaN  0.873395E-001            NaN  0.141613       0.191935       0.224543                 NaN            NaN            NaN            NaN
  1340.23        2500.00                 NaN            NaN   99.3618                 NaN            NaN  0.864622E-001            NaN  0.140023       0.189769       0.221984                 NaN            NaN            NaN            NaN
  1338.77        2500.00                 NaN            NaN   99.3676                 NaN            NaN  0.853813E-001            NaN  0.139698       0.187392       0.219889                 NaN            NaN            NaN            NaN
  1337.32        2500.00                 NaN            NaN   99.3767                 NaN            NaN  0.844746E-001            NaN  0.186040       0.136465       0.216363                 NaN            NaN            NaN            NaN
  1335.86        2500.00                 NaN            NaN   99.3823                 NaN            NaN  0.832181E-001            NaN  0.136653       0.183483       0.214328                 NaN            NaN            NaN            NaN
  1334.41        2500.00                 NaN            NaN   99.3892                 NaN            NaN  0.822333E-001            NaN  0.135234       0.181541       0.211841                 NaN            NaN            NaN            NaN
  1332.96        2500.00                 NaN            NaN   99.3956                 NaN            NaN  0.810670E-001            NaN  0.179225       0.134700       0.209429                 NaN            NaN            NaN            NaN
  1331.50        2500.00                 NaN            NaN   99.4025                 NaN            NaN  0.795374E-001            NaN  0.134272       0.176928       0.206716                 NaN            NaN            NaN            NaN
  1330.05        2500.00                 NaN            NaN   99.4082                 NaN            NaN  0.786482E-001            NaN  0.133169       0.175352       0.204604                 NaN            NaN            NaN            NaN
  1328.59        2500.00                 NaN            NaN   99.4147                 NaN            NaN  0.774543E-001            NaN  0.173302       0.132384       0.202207                 NaN            NaN            NaN            NaN
  1327.14        2500.00                 NaN            NaN   99.4210                 NaN            NaN  0.764407E-001            NaN  0.171004       0.131627       0.199885                 NaN            NaN            NaN            NaN
  1325.69        2500.00                 NaN            NaN   99.4269                 NaN            NaN  0.752667E-001            NaN  0.169222       0.130976       0.197629                 NaN            NaN            NaN            NaN
  1324.23        2500.00                 NaN            NaN   99.4325                 NaN            NaN  0.737056E-001            NaN  0.130894       0.167493       0.195408                 NaN            NaN            NaN            NaN
  1322.78        2500.00                 NaN            NaN   99.4385                 NaN            NaN  0.727840E-001            NaN  0.165317       0.130246       0.193191                 NaN            NaN            NaN            NaN
  1321.33        2500.00                 NaN            NaN   99.4443                 NaN            NaN  0.715934E-001            NaN  0.129812       0.163270       0.191027                 NaN            NaN            NaN            NaN
  1319.87        2500.00                 NaN            NaN   99.4502                 NaN            NaN  0.704679E-001            NaN  0.161443       0.129118       0.188817                 NaN            NaN            NaN            NaN
