|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1524.88        2500.00                 NaN            NaN   99.3840                 NaN  0.562916       0.531329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.43        2500.00                 NaN            NaN   99.1228                 NaN  0.797195       0.799708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00                 NaN            NaN   99.8751                 NaN  0.119936       0.492316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.52        2500.00                 NaN            NaN   99.5715                 NaN  0.397608       0.308798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.06        2500.00                 NaN            NaN   99.5592                 NaN  0.411224       0.295337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00                 NaN            NaN   99.3710                 NaN  0.581673       0.472849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.16        2500.00                 NaN            NaN   99.5108                 NaN  0.471090       0.180791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        2500.00                 NaN            NaN   99.5116                 NaN  0.435462       0.529598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.25        2500.00                 NaN            NaN   99.5167                 NaN  0.447627       0.356763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00                 NaN            NaN   99.5187                 NaN  0.446387       0.349081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.34        2500.00                 NaN            NaN   99.5212                 NaN  0.445065       0.337430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN            NaN   99.5243                 NaN  0.432222       0.434871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.43        2500.00                 NaN            NaN   99.5268                 NaN  0.450781       0.224299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.98        2500.00                 NaN            NaN   99.5294                 NaN  0.438780       0.317974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.52        2500.00                 NaN            NaN   99.4648                 NaN  0.498293       0.368717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        2500.00                 NaN            NaN   99.6025                 NaN  0.372487       0.250230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.62        2500.00                 NaN            NaN   99.5354                 NaN  0.436295       0.282836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00                 NaN            NaN   99.3683                 NaN  0.586085       0.456335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.71        2500.00                 NaN            NaN   99.7181                 NaN  0.266770       0.151771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.25        2500.00                 NaN            NaN   99.5426                 NaN  0.431685       0.256767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.80        2500.00                 NaN            NaN   99.5476                 NaN  0.425330       0.271069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.35        2500.00                 NaN            NaN   99.4039                 NaN            NaN  0.204032E-001            NaN  0.575742                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.89        2500.00                 NaN            NaN   99.3905                 NaN            NaN  0.301659E-003            NaN  0.609158                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.44        2500.00                 NaN            NaN   99.3864                 NaN            NaN            NaN            NaN  0.613603                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.98        2500.00                 NaN            NaN   99.3862                 NaN            NaN  0.278968E-005            NaN  0.613813                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.53        2500.00                 NaN            NaN   99.3840                 NaN            NaN            NaN            NaN  0.616018                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00                 NaN            NaN   99.3365                 NaN            NaN  0.546080E-005            NaN  0.663512                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.62        2500.00                 NaN            NaN   99.4107                 NaN            NaN            NaN            NaN  0.575546       0.137406E-001            NaN            NaN            NaN            NaN            NaN
  1484.17        2500.00                 NaN            NaN   99.1459                 NaN            NaN            NaN            NaN  0.448310       0.405773                 NaN            NaN            NaN            NaN            NaN
  1482.71        2500.00                 NaN            NaN   99.0639                 NaN            NaN            NaN            NaN  0.564396       0.371670                 NaN            NaN            NaN            NaN            NaN
  1481.26        2500.00                 NaN            NaN   99.0699                 NaN            NaN  0.497486E-005            NaN  0.369696       0.560401                 NaN            NaN            NaN            NaN            NaN
  1479.81        2500.00                 NaN            NaN   99.0770                 NaN            NaN            NaN            NaN  0.366074       0.556902                 NaN            NaN            NaN            NaN            NaN
  1478.35        2500.00                 NaN            NaN   99.0849                 NaN            NaN            NaN            NaN  0.362799       0.552331                 NaN            NaN            NaN            NaN            NaN
  1476.90        2500.00                 NaN            NaN   99.0942                 NaN            NaN            NaN            NaN  0.359034       0.546807                 NaN            NaN            NaN            NaN            NaN
  1475.44        2500.00                 NaN            NaN   99.1002                 NaN            NaN            NaN            NaN  0.356392       0.543445                 NaN            NaN            NaN            NaN            NaN
  1473.99        2500.00                 NaN            NaN   99.1075                 NaN            NaN            NaN            NaN  0.353086       0.539422                 NaN            NaN            NaN            NaN            NaN
  1472.54        2500.00                 NaN            NaN   99.1137                 NaN            NaN            NaN            NaN  0.350797       0.535487                 NaN            NaN            NaN            NaN            NaN
  1471.08        2500.00                 NaN            NaN   99.1220                 NaN            NaN            NaN            NaN  0.347047       0.530913                 NaN            NaN            NaN            NaN            NaN
  1469.63        2500.00                 NaN            NaN   99.1290                 NaN            NaN            NaN            NaN  0.343952       0.527073                 NaN            NaN            NaN            NaN            NaN
  1468.18        2500.00                 NaN            NaN   99.1353                 NaN            NaN  0.851736E-004            NaN  0.340881       0.523699                 NaN            NaN            NaN            NaN            NaN
  1466.72        2500.00                 NaN            NaN   99.1412                 NaN            NaN            NaN            NaN  0.520386       0.338430                 NaN            NaN            NaN            NaN            NaN
  1465.27        2500.00                 NaN            NaN   99.1492                 NaN            NaN  0.172829E-005            NaN  0.515579       0.335254                 NaN            NaN            NaN            NaN            NaN
  1463.81        2500.00                 NaN            NaN   99.1549                 NaN            NaN            NaN            NaN  0.512411       0.332686                 NaN            NaN            NaN            NaN            NaN
  1462.36        2500.00                 NaN            NaN   99.1618                 NaN            NaN            NaN            NaN  0.508429       0.329759                 NaN            NaN            NaN            NaN            NaN
  1460.91        2500.00                 NaN            NaN   99.1677                 NaN            NaN            NaN            NaN  0.505118       0.327160                 NaN            NaN            NaN            NaN            NaN
  1459.45        2500.00                 NaN            NaN   99.1730                 NaN            NaN            NaN            NaN  0.502571       0.324382                 NaN            NaN            NaN            NaN            NaN
  1458.00        2500.00                 NaN            NaN   99.1828                 NaN            NaN  0.778159E-002            NaN  0.499646       0.309777                 NaN            NaN            NaN            NaN            NaN
  1456.54        2500.00                 NaN            NaN   99.1855                 NaN            NaN  0.638217E-005            NaN  0.319487       0.495023                 NaN            NaN            NaN            NaN            NaN
  1455.09        2500.00                 NaN            NaN   99.1919                 NaN            NaN            NaN            NaN  0.491835       0.316261                 NaN            NaN            NaN            NaN            NaN
  1453.64        2500.00                 NaN            NaN   99.1982                 NaN            NaN  0.292374E-002            NaN  0.489273       0.309571                 NaN            NaN            NaN            NaN            NaN
  1452.18        2500.00                 NaN            NaN   99.2190                 NaN            NaN  0.761896E-001            NaN  0.505944       0.198848                 NaN            NaN            NaN            NaN            NaN
  1450.73        2500.00                 NaN            NaN   99.2103                 NaN            NaN            NaN            NaN  0.308161       0.481564                 NaN            NaN            NaN            NaN            NaN
  1449.27        2500.00                 NaN            NaN   99.2135                 NaN            NaN            NaN            NaN  0.480157       0.306312                 NaN            NaN            NaN            NaN            NaN
  1447.82        2500.00                 NaN            NaN   99.2197                 NaN            NaN  0.121516E-005            NaN  0.303574       0.476756                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN            NaN   99.2245                 NaN            NaN            NaN            NaN  0.301281       0.474224                 NaN            NaN            NaN            NaN            NaN
  1444.91        2500.00                 NaN            NaN   99.2298                 NaN            NaN  0.336746E-005            NaN  0.299036       0.471206                 NaN            NaN            NaN            NaN            NaN
  1443.46        2500.00                 NaN            NaN   99.2340                 NaN            NaN            NaN            NaN  0.296267       0.469687                 NaN            NaN            NaN            NaN            NaN
  1442.00        2500.00                 NaN            NaN   99.2403                 NaN            NaN            NaN            NaN  0.465219       0.294474                 NaN            NaN            NaN            NaN            NaN
  1440.55        2500.00                 NaN            NaN   99.2480                 NaN            NaN  0.162511E-001            NaN  0.269064       0.466730                 NaN            NaN            NaN            NaN            NaN
  1439.10        2500.00                 NaN            NaN   98.7998                 NaN            NaN  0.788762E-002            NaN  0.491620       0.485619       0.215100                 NaN            NaN            NaN            NaN
  1437.64        2500.00                 NaN            NaN   98.0971                 NaN            NaN  0.191376                 NaN  0.575122       0.560238       0.576136                 NaN            NaN            NaN            NaN
  1436.19        2500.00                 NaN            NaN   98.1270                 NaN            NaN  0.191269                 NaN  0.562187       0.551651       0.567865                 NaN            NaN            NaN            NaN
  1434.73        2500.00                 NaN            NaN   98.1839                 NaN            NaN  0.184092                 NaN  0.546916       0.536293       0.548829                 NaN            NaN            NaN            NaN
  1433.28        2500.00                 NaN            NaN   98.2027                 NaN            NaN  0.186197                 NaN  0.531027       0.535594       0.544509                 NaN            NaN            NaN            NaN
  1431.83        2500.00                 NaN            NaN   98.2345                 NaN            NaN  0.185057                 NaN  0.523337       0.521980       0.535134                 NaN            NaN            NaN            NaN
  1430.37        2500.00                 NaN            NaN   98.2661                 NaN            NaN  0.183195                 NaN  0.513179       0.511912       0.525640                 NaN            NaN            NaN            NaN
  1428.92        2500.00                 NaN            NaN   98.2958                 NaN            NaN  0.182323                 NaN  0.505875       0.499323       0.516680                 NaN            NaN            NaN            NaN
  1427.46        2500.00                 NaN            NaN   98.5693                 NaN            NaN  0.155044                 NaN  0.416385       0.424974       0.434290                 NaN            NaN            NaN            NaN
  1426.01        2500.00                 NaN            NaN   98.1062                 NaN            NaN  0.206220                 NaN  0.562940       0.550449       0.574234                 NaN            NaN            NaN            NaN
  1424.56        2500.00                 NaN            NaN   98.3828                 NaN            NaN  0.178728                 NaN  0.480528       0.467026       0.490902                 NaN            NaN            NaN            NaN
  1423.10        2500.00                 NaN            NaN   98.4099                 NaN            NaN  0.176950                 NaN  0.471769       0.458585       0.482775                 NaN            NaN            NaN            NaN
  1421.65        2500.00                 NaN            NaN   98.4246                 NaN            NaN  0.177918                 NaN  0.469167       0.449651       0.478669                 NaN            NaN            NaN            NaN
  1420.19        2500.00                 NaN            NaN   98.4699                 NaN            NaN  0.172884                 NaN  0.436438       0.456629       0.464191                 NaN            NaN            NaN            NaN
  1418.74        2500.00                 NaN            NaN   98.4844                 NaN            NaN  0.174679                 NaN  0.427473       0.452995       0.460412                 NaN            NaN            NaN            NaN
  1417.29        2500.00                 NaN            NaN   98.5093                 NaN            NaN  0.172872                 NaN  0.419681       0.445256       0.452910                 NaN            NaN            NaN            NaN
  1415.83        2500.00                 NaN            NaN   98.5299                 NaN            NaN  0.171433                 NaN  0.440172       0.412031       0.446450                 NaN            NaN            NaN            NaN
  1414.38        2500.00                 NaN            NaN   98.5516                 NaN            NaN  0.170809                 NaN  0.403675       0.433611       0.440261                 NaN            NaN            NaN            NaN
  1412.92        2500.00                 NaN            NaN   98.5807                 NaN            NaN  0.170339                 NaN  0.391418       0.426291       0.431224                 NaN            NaN            NaN            NaN
  1411.47        2500.00                 NaN            NaN   98.5980                 NaN            NaN  0.168888                 NaN  0.386074       0.420836       0.426173                 NaN            NaN            NaN            NaN
  1410.02        2500.00                 NaN            NaN   98.6203                 NaN            NaN  0.167831                 NaN  0.378015       0.414520       0.419379                 NaN            NaN            NaN            NaN
  1408.56        2500.00                 NaN            NaN   98.6405                 NaN            NaN  0.166992                 NaN  0.408890       0.370316       0.413283                 NaN            NaN            NaN            NaN
  1407.11        2500.00                 NaN            NaN   98.6604                 NaN            NaN  0.166049                 NaN  0.362754       0.403484       0.407268                 NaN            NaN            NaN            NaN
  1405.65        2500.00                 NaN            NaN   98.6795                 NaN            NaN  0.165083                 NaN  0.398421       0.355559       0.401439                 NaN            NaN            NaN            NaN
  1404.20        2500.00                 NaN            NaN   98.6985                 NaN            NaN  0.164187                 NaN  0.348849       0.392781       0.395653                 NaN            NaN            NaN            NaN
  1402.75        2500.00                 NaN            NaN   98.7172                 NaN            NaN  0.163205                 NaN  0.341886       0.387714       0.390013                 NaN            NaN            NaN            NaN
  1401.29        2500.00                 NaN            NaN   98.7359                 NaN            NaN  0.162246                 NaN  0.335219       0.382314       0.384358                 NaN            NaN            NaN            NaN
  1399.84        2500.00                 NaN            NaN   98.7535                 NaN            NaN  0.161417                 NaN  0.328483       0.377638       0.379005                 NaN            NaN            NaN            NaN
  1398.39        2500.00                 NaN            NaN   98.7708                 NaN            NaN  0.160442                 NaN  0.372847       0.322387       0.373518                 NaN            NaN            NaN            NaN
  1396.93        2500.00                 NaN            NaN   98.7876                 NaN            NaN  0.159714                 NaN  0.315903       0.368203       0.368556                 NaN            NaN            NaN            NaN
  1395.48        2500.00                 NaN            NaN   98.8042                 NaN            NaN  0.158656                 NaN  0.363136       0.310569       0.363391                 NaN            NaN            NaN            NaN
  1394.02        2500.00                 NaN            NaN   98.8207                 NaN            NaN  0.157865                 NaN  0.304516       0.358576       0.358348                 NaN            NaN            NaN            NaN
  1392.57        2500.00                 NaN            NaN   98.8354                 NaN            NaN  0.158199                 NaN  0.354984       0.297428       0.353991                 NaN            NaN            NaN            NaN
  1391.12        2500.00                 NaN            NaN   98.8511                 NaN            NaN  0.155976                 NaN  0.293586       0.350413       0.348909                 NaN            NaN            NaN            NaN
  1389.66        2500.00                 NaN            NaN   98.8672                 NaN            NaN  0.154535                 NaN  0.345259       0.289132       0.343896                 NaN            NaN            NaN            NaN
  1388.21        2500.00                 NaN            NaN   98.8798                 NaN            NaN  0.154888                 NaN  0.342160       0.282782       0.340368                 NaN            NaN            NaN            NaN
  1386.75        2500.00                 NaN            NaN   98.8970                 NaN            NaN  0.152867                 NaN  0.278340       0.337184       0.334623                 NaN            NaN            NaN            NaN
  1385.30        2500.00                 NaN            NaN   98.9098                 NaN            NaN  0.152692                 NaN  0.273007       0.333625       0.330838                 NaN            NaN            NaN            NaN
  1383.85        2500.00                 NaN            NaN   98.9237                 NaN            NaN  0.151699                 NaN  0.268212       0.329823       0.326551                 NaN            NaN            NaN            NaN
  1382.39        2500.00                 NaN            NaN   98.9375                 NaN            NaN  0.151183                 NaN  0.263079       0.325925       0.322324                 NaN            NaN            NaN            NaN
  1380.94        2500.00                 NaN            NaN   98.9507                 NaN            NaN  0.149883                 NaN  0.259135       0.322225       0.318098                 NaN            NaN            NaN            NaN
  1379.48        2500.00                 NaN            NaN   98.9629                 NaN            NaN  0.149383                 NaN  0.318936       0.254439       0.314377                 NaN            NaN            NaN            NaN
  1378.03        2500.00                 NaN            NaN   98.9766                 NaN            NaN  0.148123                 NaN  0.250593       0.314652       0.310065                 NaN            NaN            NaN            NaN
  1376.58        2500.00                 NaN            NaN   98.9882                 NaN            NaN  0.147439                 NaN  0.246122       0.311732       0.306459                 NaN            NaN            NaN            NaN
  1375.12        2500.00                 NaN            NaN   99.0002                 NaN            NaN  0.148259                 NaN  0.309676       0.238787       0.303060                 NaN            NaN            NaN            NaN
  1373.67        2500.00                 NaN            NaN   99.0141                 NaN            NaN  0.143377                 NaN  0.302489       0.242216       0.297855                 NaN            NaN            NaN            NaN
  1372.21        2500.00                 NaN            NaN   99.0240                 NaN            NaN  0.144988                 NaN  0.234242       0.301537       0.295240                 NaN            NaN            NaN            NaN
  1370.76        2500.00                 NaN            NaN   99.0363                 NaN            NaN  0.143173                 NaN  0.297506       0.231777       0.291260                 NaN            NaN            NaN            NaN
  1369.31        2500.00                 NaN            NaN   99.0472                 NaN            NaN  0.142718                 NaN  0.227597       0.294593       0.287894                 NaN            NaN            NaN            NaN
  1367.85        2500.00                 NaN            NaN   99.0580                 NaN            NaN  0.142120                 NaN  0.291051       0.224033       0.284752                 NaN            NaN            NaN            NaN
  1366.40        2500.00                 NaN            NaN   99.0706                 NaN            NaN  0.141096                 NaN  0.220242       0.287421       0.280650                 NaN            NaN            NaN            NaN
  1364.94        2500.00                 NaN            NaN   99.0807                 NaN            NaN  0.138955                 NaN  0.285056       0.218216       0.277091                 NaN            NaN            NaN            NaN
  1363.49        2500.00                 NaN            NaN   99.0560                 NaN            NaN  0.146858                 NaN  0.217944       0.294223       0.285008                 NaN            NaN            NaN            NaN
  1362.04        2500.00                 NaN            NaN   99.1369                 NaN            NaN  0.131044                 NaN  0.267899       0.204696       0.259438                 NaN            NaN            NaN            NaN
  1360.58        2500.00                 NaN            NaN   99.1110                 NaN            NaN  0.136556                 NaN  0.208932       0.275807       0.267734                 NaN            NaN            NaN            NaN
  1359.13        2500.00                 NaN            NaN   99.1200                 NaN            NaN  0.135913                 NaN  0.205868       0.273495       0.264772                 NaN            NaN            NaN            NaN
  1357.67        2500.00                 NaN            NaN   99.1303                 NaN            NaN  0.134288                 NaN  0.270349       0.203743       0.261333                 NaN            NaN            NaN            NaN
  1356.22        2500.00                 NaN            NaN   99.3055                 NaN            NaN  0.142902                 NaN  0.236236       0.100517       0.214833                 NaN            NaN            NaN            NaN
  1354.77        2500.00                 NaN            NaN   98.9855                 NaN            NaN  0.123412                 NaN  0.304284       0.287978       0.298846                 NaN            NaN            NaN            NaN
  1353.31        2500.00                 NaN            NaN   99.1581                 NaN            NaN  0.131640                 NaN  0.195318       0.262382       0.252565                 NaN            NaN            NaN            NaN
  1351.86        2500.00                 NaN            NaN   99.1671                 NaN            NaN  0.129782                 NaN  0.194080       0.259543       0.249507                 NaN            NaN            NaN            NaN
  1350.40        2500.00                 NaN            NaN   99.1757                 NaN            NaN  0.129071                 NaN  0.256971       0.191438       0.246789                 NaN            NaN            NaN            NaN
  1348.95        2500.00                 NaN            NaN   99.1846                 NaN            NaN  0.127783                 NaN  0.254189       0.189470       0.243942                 NaN            NaN            NaN            NaN
  1347.50        2500.00                 NaN            NaN   99.1931                 NaN            NaN  0.126656                 NaN  0.251789       0.187296       0.241117                 NaN            NaN            NaN            NaN
  1346.04        2500.00                 NaN            NaN   99.2018                 NaN            NaN  0.125636                 NaN  0.248964       0.185168       0.238418                 NaN            NaN            NaN            NaN
  1344.59        2500.00                 NaN            NaN   99.2096                 NaN            NaN  0.123917                 NaN  0.246190       0.184645       0.235689                 NaN            NaN            NaN            NaN
  1343.13        2500.00                 NaN            NaN   99.2174                 NaN            NaN  0.123447                 NaN  0.243817       0.182021       0.233270                 NaN            NaN            NaN            NaN
  1341.68        2500.00                 NaN            NaN   99.2258                 NaN            NaN  0.121366                 NaN  0.181056       0.241451       0.230356                 NaN            NaN            NaN            NaN
  1340.23        2500.00                 NaN            NaN   99.2336                 NaN            NaN  0.120351                 NaN  0.179217       0.238970       0.227902                 NaN            NaN            NaN            NaN
  1338.77        2500.00                 NaN            NaN   99.2398                 NaN            NaN  0.119030                 NaN  0.179011       0.236227       0.225922                 NaN            NaN            NaN            NaN
  1337.32        2500.00                 NaN            NaN   99.2498                 NaN            NaN  0.117983                 NaN  0.234752       0.175042       0.222468                 NaN            NaN            NaN            NaN
  1335.86        2500.00                 NaN            NaN   99.2558                 NaN            NaN  0.116437                 NaN  0.175482       0.231775       0.220540                 NaN            NaN            NaN            NaN
  1334.41        2500.00                 NaN            NaN   99.2632                 NaN            NaN  0.115228                 NaN  0.173848       0.229577       0.218145                 NaN            NaN            NaN            NaN
  1332.96        2500.00                 NaN            NaN   99.2702                 NaN            NaN  0.113790                 NaN  0.226856       0.173336       0.215823                 NaN            NaN            NaN            NaN
  1331.50        2500.00                 NaN            NaN   99.2778                 NaN            NaN  0.111840                 NaN  0.172986       0.224195       0.213187                 NaN            NaN            NaN            NaN
  1330.05        2500.00                 NaN            NaN   99.2839                 NaN            NaN  0.110783                 NaN  0.171752       0.222428       0.211166                 NaN            NaN            NaN            NaN
  1328.59        2500.00                 NaN            NaN   99.2909                 NaN            NaN  0.109264                 NaN  0.220058       0.170918       0.208847                 NaN            NaN            NaN            NaN
  1327.14        2500.00                 NaN            NaN   99.2979                 NaN            NaN  0.107999                 NaN  0.217357       0.170113       0.206604                 NaN            NaN            NaN            NaN
  1325.69        2500.00                 NaN            NaN   99.3043                 NaN            NaN  0.106511                 NaN  0.215321       0.169465       0.204423                 NaN            NaN            NaN            NaN
  1324.23        2500.00                 NaN            NaN   99.3104                 NaN            NaN  0.104489                 NaN  0.169530       0.213354       0.202275                 NaN            NaN            NaN            NaN
  1322.78        2500.00                 NaN            NaN   99.3169                 NaN            NaN  0.103364                 NaN  0.210776       0.168870       0.200128                 NaN            NaN            NaN            NaN
  1321.33        2500.00                 NaN            NaN   99.3233                 NaN            NaN  0.101828                 NaN  0.168473       0.208381       0.198033                 NaN            NaN            NaN            NaN
  1319.87        2500.00                 NaN            NaN   99.3298                 NaN            NaN  0.100369                 NaN  0.206244       0.167734       0.195886                 NaN            NaN            NaN            NaN
  1318.42        2500.00                 NaN            NaN   99.3352                 NaN            NaN  0.985495E-001            NaN  0.168434       0.203853       0.193977                 NaN            NaN            NaN            NaN
