|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/EETA/EETA_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         O(HP)          San(TH)        ilm            q             
  1321.29        500.000        99.3594       0.268478       0.683849E-001            NaN  0.184785                 NaN  0.118966                 NaN            NaN            NaN
  1320.23        500.000        99.3650       0.271582       0.551563E-001            NaN  0.183660                 NaN  0.124617                 NaN            NaN            NaN
  1319.17        500.000        99.3697       0.548710E-001  0.269886                 NaN  0.182093                 NaN  0.123468                 NaN            NaN            NaN
  1318.11        500.000        99.3744       0.268399       0.540901E-001            NaN  0.180587                 NaN  0.122553                 NaN            NaN            NaN
  1317.04        500.000        99.3784       0.266717       0.540320E-001            NaN  0.179369                 NaN  0.121472                 NaN            NaN            NaN
  1315.98        500.000        99.3841       0.263464       0.560274E-001            NaN  0.177235                 NaN  0.119158                 NaN            NaN            NaN
  1314.92        500.000        99.3898       0.262246       0.523980E-001            NaN  0.175922                 NaN  0.119670                 NaN            NaN            NaN
  1313.86        500.000        99.3916       0.261290       0.573993E-001            NaN  0.174366                 NaN  0.115340                 NaN            NaN            NaN
  1312.80        500.000        99.3964       0.529416E-001  0.260724                 NaN  0.173203                 NaN  0.116721                 NaN            NaN            NaN
  1311.74        500.000        99.4008       0.258341       0.556725E-001            NaN  0.171518                 NaN  0.113695                 NaN            NaN            NaN
  1310.68        500.000        99.4049       0.564077E-001  0.256128                 NaN  0.170174                 NaN  0.112368                 NaN            NaN            NaN
  1309.62        500.000        99.4095       0.254716       0.557641E-001            NaN  0.168688                 NaN  0.111325                 NaN            NaN            NaN
  1308.56        500.000        99.4136       0.252851       0.563892E-001            NaN  0.167300                 NaN  0.109867                 NaN            NaN            NaN
  1307.50        500.000        99.4172       0.574156E-001  0.251305                 NaN  0.165981                 NaN  0.108085                 NaN            NaN            NaN
  1306.44        500.000        99.4223       0.249055       0.570396E-001            NaN  0.164478                 NaN  0.107102                 NaN            NaN            NaN
  1305.38        500.000        99.4253       0.598799E-001  0.247232                 NaN  0.163107                 NaN  0.104473                 NaN            NaN            NaN
  1304.32        500.000        99.4292       0.245304       0.604202E-001            NaN  0.161873                 NaN  0.103162                 NaN            NaN            NaN
  1303.26        500.000        99.4337       0.243438       0.603509E-001            NaN  0.160457                 NaN  0.102046                 NaN            NaN            NaN
  1302.20        500.000        99.4361       0.241165       0.640038E-001            NaN  0.159392                 NaN  0.993046E-001            NaN            NaN            NaN
  1301.14        500.000        99.4393       0.239460       0.648126E-001            NaN  0.158291                 NaN  0.981000E-001            NaN            NaN            NaN
  1300.08        500.000        99.4450       0.236189       0.671527E-001            NaN  0.156277                 NaN  0.953570E-001            NaN            NaN            NaN
  1299.02        500.000        99.4477       0.235388       0.672157E-001            NaN  0.155430                 NaN  0.943107E-001            NaN            NaN            NaN
  1297.96        500.000        99.4511       0.679277E-001  0.234094                 NaN  0.154205                 NaN  0.926847E-001            NaN            NaN            NaN
  1296.90        500.000        99.4545       0.702932E-001  0.231496                 NaN  0.153005                 NaN  0.907187E-001            NaN            NaN            NaN
  1295.84        500.000        99.4576       0.229313       0.720579E-001            NaN  0.151955                 NaN  0.890448E-001            NaN            NaN            NaN
  1294.78        500.000        99.4608       0.755862E-001  0.226698                 NaN  0.150632                 NaN  0.863212E-001            NaN            NaN            NaN
  1293.72        500.000        99.4642       0.774896E-001  0.224415                 NaN  0.149457                 NaN  0.844281E-001            NaN            NaN            NaN
  1292.66        500.000        99.4682       0.222979       0.774123E-001            NaN  0.148220                 NaN  0.832119E-001            NaN            NaN            NaN
  1291.60        500.000        99.4198       0.910319E-001  0.238593                 NaN  0.161895                 NaN  0.886935E-001            NaN            NaN            NaN
  1290.54        500.000        99.5277       0.195329       0.742882E-001            NaN  0.131065                 NaN  0.716577E-001            NaN            NaN            NaN
  1289.48        500.000        99.4770       0.838030E-001  0.216528                 NaN  0.145077                 NaN  0.775784E-001            NaN            NaN            NaN
  1288.42        500.000        99.4807       0.213342       0.868349E-001            NaN  0.143809                 NaN  0.753531E-001            NaN            NaN            NaN
  1287.36        500.000        99.4826       0.938228E-001  0.208413                 NaN  0.143036                 NaN  0.721284E-001            NaN            NaN            NaN
  1286.29        500.000        99.4855       0.210315       0.908435E-001            NaN  0.141970                 NaN  0.713884E-001            NaN            NaN            NaN
  1285.23        500.000        99.4889       0.208942       0.897373E-001            NaN  0.141086                 NaN  0.713304E-001            NaN            NaN            NaN
  1284.17        500.000        99.4908       0.197928       0.108356                 NaN  0.139686                 NaN  0.632262E-001            NaN            NaN            NaN
  1283.11        500.000        99.4942       0.199606       0.102211                 NaN  0.139155                 NaN  0.648691E-001            NaN            NaN            NaN
  1282.05        500.000        99.4970       0.108579       0.195440                 NaN  0.137770                 NaN  0.611998E-001            NaN            NaN            NaN
  1280.99        500.000        95.4210       0.481597        1.06842                 NaN  0.582368                 NaN            NaN   2.44666                 NaN            NaN
  1279.93        500.000        93.7398       0.613311        1.42258                 NaN  0.766929                 NaN  0.619869E-004   3.45735                 NaN            NaN
  1278.87        500.000        94.0464       0.564658        1.38251                 NaN  0.733364                 NaN  0.539788E-005   3.27305                 NaN            NaN
  1277.81        500.000        94.3307       0.515132        1.34882                 NaN  0.701968                 NaN  0.794697E-005   3.10338                 NaN            NaN
  1276.75        500.000        94.5845       0.460729        1.32952                 NaN  0.673911                 NaN  0.511644E-005   2.95130                 NaN            NaN
  1275.69        500.000        94.8272       0.391069        1.32785                 NaN  0.647069                 NaN  0.186549E-005   2.80685                 NaN            NaN
  1274.63        500.000        95.0438       0.294163        1.36128                 NaN  0.623057                 NaN  0.133091E-004   2.67770                 NaN            NaN
  1273.57        500.000        95.2623       0.141170        1.44850                 NaN  0.598428                 NaN  0.398651E-005   2.54955                 NaN            NaN
  1272.51        500.000        95.4438        1.53720                 NaN            NaN  0.577715                 NaN  0.573764E-005   2.44123                 NaN            NaN
  1271.45        500.000        94.1906        1.81282                 NaN            NaN  0.724524                 NaN            NaN   3.11946       0.152592                 NaN
  1270.39        500.000        94.1526        1.80206                 NaN            NaN  0.728382                 NaN            NaN   3.13448       0.182455                 NaN
  1269.33        500.000        94.4778        1.70988                 NaN            NaN  0.690571                 NaN            NaN   2.95113       0.170642                 NaN
  1268.27        500.000        94.7855        1.61513                 NaN            NaN  0.652529                 NaN  0.630842E-005   2.78520       0.161663                 NaN
  1267.21        500.000        95.0226        1.55849                 NaN            NaN  0.626021                 NaN            NaN   2.64196       0.150956                 NaN
  1266.15        500.000        95.2732        1.47999                 NaN            NaN  0.595575                 NaN            NaN   2.50797       0.143308                 NaN
  1265.09        500.000        95.4732        1.42625                 NaN            NaN  0.571460                 NaN            NaN   2.39308       0.135981                 NaN
  1264.03        500.000        95.6784        1.36519                 NaN            NaN  0.546831                 NaN  0.173088E-005   2.28059       0.128987                 NaN
  1262.97        500.000        95.8677        1.30935                 NaN            NaN  0.524297                 NaN            NaN   2.17637       0.122326                 NaN
  1261.91        500.000        96.0316        1.26207                 NaN            NaN  0.504636                 NaN  0.251199E-005   2.08530       0.116405                 NaN
  1260.85        500.000        96.1896        1.21501                 NaN            NaN  0.484847                 NaN  0.120008E-005   1.99919       0.111334                 NaN
  1259.79        500.000        96.3317        1.17356                 NaN            NaN  0.466969                 NaN  0.184829E-005   1.92115       0.106595                 NaN
  1258.73        500.000        96.4648        1.13509                 NaN            NaN  0.451637                 NaN            NaN   1.84716       0.101326                 NaN
  1257.67        500.000        96.5917        1.09639                 NaN            NaN  0.434643                 NaN            NaN   1.77955       0.977598E-001            NaN
  1256.60        500.000        96.7055        1.06377                 NaN            NaN  0.421582                 NaN            NaN   1.71605       0.930642E-001            NaN
  1255.54        500.000        96.8154        1.03086                 NaN            NaN  0.407457                 NaN            NaN   1.65677       0.894725E-001            NaN
  1254.48        500.000        96.9224       0.986539                 NaN            NaN  0.394974                 NaN  0.103765E-001   1.59993       0.858219E-001            NaN
  1253.42        500.000        97.0217       0.937425                 NaN            NaN  0.382712                 NaN  0.267249E-001   1.54821       0.831886E-001            NaN
  1252.36        500.000        97.1143       0.916114                 NaN            NaN  0.370477                 NaN  0.202846E-001   1.49878       0.800379E-001            NaN
  1251.30        500.000        97.2035       0.872669                 NaN            NaN  0.359516                 NaN  0.355807E-001   1.45144       0.773221E-001            NaN
  1250.24        500.000        97.2851       0.854955                 NaN            NaN  0.348551                 NaN  0.291225E-001   1.40777       0.744542E-001            NaN
  1249.18        500.000        97.3641       0.830685                 NaN            NaN  0.338278                 NaN  0.288934E-001   1.36619       0.718052E-001            NaN
  1248.12        500.000        97.4386       0.805966                 NaN            NaN  0.328463                 NaN  0.305066E-001   1.32710       0.693802E-001            NaN
  1247.06        500.000        97.5103       0.786666                 NaN            NaN  0.319140                 NaN  0.281426E-001   1.28895       0.667610E-001            NaN
  1246.00        500.000        97.5783       0.766473                 NaN            NaN  0.310075                 NaN  0.275292E-001   1.25323       0.644375E-001            NaN
  1244.94        500.000        97.6413       0.746022                 NaN            NaN  0.301722                 NaN  0.284677E-001   1.22014       0.622954E-001            NaN
  1243.88        500.000        97.7052       0.728279                 NaN            NaN  0.293321                 NaN  0.265596E-001   1.18660       0.600074E-001            NaN
  1242.82        500.000        97.7621       0.711374                 NaN            NaN  0.285616                 NaN  0.259917E-001   1.15687       0.580369E-001            NaN
  1241.76        500.000        97.8206       0.699925                 NaN            NaN  0.277977                 NaN  0.201292E-001   1.12571       0.556636E-001            NaN
  1240.70        500.000        97.8734       0.683536                 NaN            NaN  0.270771                 NaN  0.201176E-001   1.09832       0.538033E-001            NaN
  1239.64        500.000        97.9232       0.663902                 NaN            NaN  0.263858                 NaN  0.239931E-001   1.07277       0.522924E-001            NaN
  1238.58        500.000        97.9736       0.656468                 NaN            NaN  0.257162                 NaN  0.167097E-001   1.04591       0.501433E-001            NaN
  1237.52        500.000        98.0218       0.642968                 NaN            NaN  0.250695                 NaN  0.155969E-001   1.02054       0.483715E-001            NaN
  1236.46        500.000        98.0666       0.637997                 NaN            NaN  0.243957                 NaN  0.753699E-002  0.997145       0.467177E-001            NaN
  1235.40        500.000        98.1131       0.609805                 NaN            NaN  0.238928                 NaN  0.192181E-001  0.973935       0.450289E-001            NaN
  1234.34        500.000        98.1516       0.610541                 NaN            NaN  0.232797                 NaN  0.898026E-002  0.952657       0.434445E-001            NaN
  1233.28        500.000        98.1928       0.601599                 NaN            NaN  0.227229                 NaN  0.535902E-002  0.931237       0.417766E-001            NaN
  1232.22        500.000        98.2329       0.590686                 NaN            NaN  0.222083                 NaN  0.384668E-002  0.910308       0.401840E-001            NaN
  1231.16        500.000        98.2694       0.583977                 NaN            NaN  0.216811                 NaN  0.138849E-005  0.891064       0.387701E-001            NaN
  1230.10        500.000        98.3086       0.571242                 NaN            NaN  0.211607                 NaN  0.123642E-005  0.871142       0.373966E-001            NaN
  1229.04        500.000        98.3467       0.558534                 NaN            NaN  0.206179                 NaN            NaN  0.852436       0.361477E-001            NaN
  1227.98        500.000        98.3854       0.545007                 NaN            NaN  0.199891                 NaN            NaN  0.834319       0.354059E-001            NaN
  1226.92        500.000        98.4142       0.537813                 NaN            NaN  0.198478                 NaN  0.121268E-005  0.816465       0.330146E-001            NaN
  1225.85        500.000        98.4469       0.527329                 NaN            NaN  0.193453                 NaN            NaN  0.800197       0.320793E-001            NaN
  1224.79        500.000        98.4849       0.513215                 NaN            NaN  0.187338                 NaN            NaN  0.783125       0.314338E-001            NaN
  1223.73        500.000        98.5122       0.505831                 NaN            NaN  0.184554                 NaN            NaN  0.767499       0.299217E-001            NaN
  1222.67        500.000        98.5443       0.494800                 NaN            NaN  0.179307                 NaN            NaN  0.752412       0.291956E-001            NaN
  1221.61        500.000        98.5742       0.484582                 NaN            NaN  0.174912                 NaN            NaN  0.737870       0.284251E-001            NaN
  1220.55        500.000        98.6042       0.475061                 NaN            NaN  0.172240                 NaN            NaN  0.721810       0.267309E-001            NaN
  1219.49        500.000        98.6361       0.463373                 NaN            NaN  0.167213                 NaN            NaN  0.707115       0.261552E-001            NaN
  1218.43        500.000        98.6608       0.455696                 NaN            NaN  0.162784                 NaN            NaN  0.695060       0.256838E-001            NaN
  1217.37        500.000        98.6906       0.445075                 NaN            NaN  0.160070                 NaN            NaN  0.680075       0.242226E-001            NaN
  1216.31        500.000        98.7150       0.437541                 NaN            NaN  0.156431                 NaN            NaN  0.667542       0.235015E-001            NaN
  1215.25        500.000        98.7424       0.427399                 NaN            NaN  0.152501                 NaN            NaN  0.654838       0.228227E-001            NaN
  1214.19        500.000        98.7701       0.417597                 NaN            NaN  0.147414                 NaN            NaN  0.642397       0.225139E-001            NaN
  1213.13        500.000        98.7909       0.411102                 NaN            NaN  0.145794                 NaN            NaN  0.630941       0.212186E-001            NaN
  1212.07        500.000        98.8183       0.401283                 NaN            NaN  0.141909                 NaN            NaN  0.617851       0.206445E-001            NaN
  1211.01        500.000        85.9203        1.95009                 NaN            NaN   1.30996                 NaN  0.342785        5.79313       0.142242        4.54153     
  1209.95        500.000        99.5731       0.434611E-001            NaN            NaN  0.255767E-001            NaN  0.126089       0.668495E-001            NaN  0.164911     
  1208.89        500.000        89.5414        1.48429                 NaN            NaN  0.854580                 NaN            NaN   4.01999       0.942646E-001   4.00548     
  1207.83        500.000        93.8211        1.00715                 NaN            NaN  0.506517                 NaN            NaN   2.28413       0.460242E-001   2.33510     
  1206.77        500.000        98.4390       0.495937                 NaN            NaN  0.112024                 NaN            NaN  0.264567                 NaN  0.688468     
  1205.71        500.000        93.6283        1.05004                 NaN            NaN  0.530252                 NaN            NaN   2.37134       0.433379E-001   2.37675     
  1204.65        500.000        89.9195        1.58767                 NaN            NaN  0.865483                 NaN  0.751712E-001   3.67898       0.594608E-001   3.81370     
  1203.59        500.000        91.1446       0.923887       0.426486                 NaN  0.708288                 NaN            NaN   3.30447       0.722233E-001   3.42004     
  1202.53        500.000        82.0973       0.236902        2.51736                 NaN   1.48959                 NaN            NaN   6.54395       0.100960        7.01391     
  1201.47        500.000        86.9104       0.939974        1.14735                 NaN   1.09460                 NaN            NaN   4.78723       0.760824E-001   5.04440     
  1200.41        500.000        95.2536       0.325725       0.490853                 NaN  0.399998                 NaN            NaN   1.77441       0.290213E-001   1.72636     
  1199.35        500.000        93.3418       0.458223       0.624122                 NaN  0.557409                 NaN            NaN   2.47539       0.393621E-001   2.50373     
  1198.29        500.000        95.9618       0.361642       0.446513                 NaN  0.405471                 NaN            NaN   1.82756       0.293944E-001  0.967603     
  1197.23        500.000        94.1082       0.385518       0.440116                 NaN  0.419446                 NaN            NaN   1.90701       0.303935E-001   2.70930     
  1196.16        500.000        94.6598       0.403811       0.452198                 NaN  0.441408                 NaN            NaN   2.02511       0.319467E-001   1.98576     
  1195.10        500.000        92.5174       0.564078       0.574207                 NaN  0.612526                 NaN            NaN   2.83327       0.436596E-001   2.85481     
  1194.04        500.000        94.1640       0.425039       0.469126                 NaN  0.475467                 NaN            NaN   2.24179       0.345249E-001   2.19004     
  1192.98        500.000        93.2896       0.487385       0.509955                 NaN  0.540463                 NaN            NaN   2.59402       0.394303E-001   2.53919     
  1191.92        500.000        94.3881       0.399078       0.434632       0.752355E-005  0.447722                 NaN            NaN   2.20565       0.333990E-001   2.09136     
  1190.86        500.000        93.0146       0.146661E-002            NaN            NaN  0.566523                 NaN  0.433842        2.85502       0.681635E-001   3.06035     
  1189.80        500.000        51.9926        1.52900        4.83737                 NaN   3.60424                 NaN            NaN   19.2997       0.258211        18.4788     
  1188.74        500.000                 NaN  0.938652        10.7893                 NaN   7.36565                 NaN            NaN   40.8764       0.579796        39.4501     
  1187.68        500.000                 NaN  0.753615        10.9769                 NaN   7.36881                 NaN            NaN   40.8718       0.578589        39.4503     
  1186.62        500.000                 NaN   1.03634        10.6881                 NaN   7.37066                 NaN            NaN   40.8773       0.578546        39.4491     
  1185.56        500.000                 NaN   1.05890        10.6658                 NaN   7.37143                 NaN            NaN   40.8748       0.579183        39.4498     
  1184.50        500.000                 NaN  0.878247        10.8533                 NaN   7.37132                 NaN            NaN   40.8682       0.578220        39.4507     
  1183.44        500.000                 NaN   4.34390        7.35571       0.166949E-005   7.36133                 NaN            NaN   40.9044       0.588277        39.4464     
