|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         O(HP)          San(TH)        ilm            q             
  1398.69        500.000        98.8761       0.287475       0.361757                 NaN  0.380367                 NaN  0.943023E-001            NaN            NaN            NaN
  1397.63        500.000        98.8888       0.359122       0.280301                 NaN  0.376538                 NaN  0.952277E-001            NaN            NaN            NaN
  1396.57        500.000        98.9021       0.356074       0.273384                 NaN  0.372514                 NaN  0.959383E-001            NaN            NaN            NaN
  1395.51        500.000        98.9180       0.267272       0.351505                 NaN  0.367342                 NaN  0.959036E-001            NaN            NaN            NaN
  1394.45        500.000        97.9395       0.674939       0.494892                 NaN  0.701602                 NaN  0.189081                 NaN            NaN            NaN
  1393.39        500.000        99.8479       0.496420E-001  0.374619E-001            NaN  0.514365E-001            NaN  0.135435E-001            NaN            NaN            NaN
  1392.33        500.000        99.0554       0.310701       0.222842                 NaN  0.321955                 NaN  0.891003E-001            NaN            NaN            NaN
  1391.27        500.000        98.9728       0.243310       0.337373                 NaN  0.349765                 NaN  0.967413E-001            NaN            NaN            NaN
  1390.21        500.000        98.9777       0.338198       0.234836                 NaN  0.349081                 NaN  0.100198                 NaN            NaN            NaN
  1389.15        500.000        98.9973       0.232351       0.331710                 NaN  0.341834                 NaN  0.968210E-001            NaN            NaN            NaN
  1388.09        500.000        99.0053       0.330188       0.225437                 NaN  0.339891                 NaN  0.992322E-001            NaN            NaN            NaN
  1387.03        500.000        99.0195       0.219541       0.326549                 NaN  0.335320                 NaN  0.991210E-001            NaN            NaN            NaN
  1385.97        500.000        99.0297       0.213451       0.324832                 NaN  0.332243                 NaN  0.998207E-001            NaN            NaN            NaN
  1384.91        500.000        99.0425       0.207938       0.321602                 NaN  0.328034                 NaN  0.999728E-001            NaN            NaN            NaN
  1383.85        500.000        99.0446       0.204429       0.322059                 NaN  0.327896                 NaN  0.101035                 NaN            NaN            NaN
  1382.79        500.000        99.0646       0.198739       0.314563                 NaN  0.321353                 NaN  0.100715                 NaN            NaN            NaN
  1381.73        500.000        99.0815       0.189663       0.312670                 NaN  0.315332                 NaN  0.100819                 NaN            NaN            NaN
  1380.67        500.000        99.0889       0.310681       0.186266                 NaN  0.313085                 NaN  0.101107                 NaN            NaN            NaN
  1379.61        500.000        99.0954       0.180925       0.309804                 NaN  0.311465                 NaN  0.102403                 NaN            NaN            NaN
  1378.55        500.000        99.1062       0.179070       0.306024                 NaN  0.307621                 NaN  0.101126                 NaN            NaN            NaN
  1377.48        500.000        99.1167       0.172556       0.304050                 NaN  0.304478                 NaN  0.102256                 NaN            NaN            NaN
  1376.42        500.000        99.1271       0.301775       0.167442                 NaN  0.301152                 NaN  0.102489                 NaN            NaN            NaN
  1375.36        500.000        99.1357       0.300285       0.161918                 NaN  0.298451                 NaN  0.103605                 NaN            NaN            NaN
  1374.30        500.000        99.1462       0.296885       0.160132                 NaN  0.294756                 NaN  0.101988                 NaN            NaN            NaN
  1373.24        500.000        99.1550       0.295193       0.154564                 NaN  0.292070                 NaN  0.103137                 NaN            NaN            NaN
  1372.18        500.000        99.1639       0.150278       0.293148                 NaN  0.289275                 NaN  0.103442                 NaN            NaN            NaN
  1371.12        500.000        99.1742       0.290572       0.145995                 NaN  0.285810                 NaN  0.103377                 NaN            NaN            NaN
  1370.06        500.000        99.1822       0.128789       0.293225                 NaN  0.284725                 NaN  0.111039                 NaN            NaN            NaN
  1369.00        500.000        99.1888       0.282946       0.152912                 NaN  0.279644                 NaN  0.957241E-001            NaN            NaN            NaN
  1367.94        500.000        99.2008       0.284259       0.134316                 NaN  0.277143                 NaN  0.103528                 NaN            NaN            NaN
  1366.88        500.000        99.2092       0.282850       0.129937                 NaN  0.274348                 NaN  0.103638                 NaN            NaN            NaN
  1365.82        500.000        99.2163       0.281124       0.126249                 NaN  0.272203                 NaN  0.104119                 NaN            NaN            NaN
  1364.76        500.000        99.2259       0.123351       0.278256                 NaN  0.268888                 NaN  0.103585                 NaN            NaN            NaN
  1363.70        500.000        99.2336       0.276359       0.119578                 NaN  0.266562                 NaN  0.103878                 NaN            NaN            NaN
  1362.64        500.000        99.2423       0.115375       0.274964                 NaN  0.263468                 NaN  0.103872                 NaN            NaN            NaN
  1361.58        500.000        99.2489       0.273102       0.113135                 NaN  0.261334                 NaN  0.103560                 NaN            NaN            NaN
  1360.52        500.000        99.2572       0.108503       0.271317                 NaN  0.258807                 NaN  0.104142                 NaN            NaN            NaN
  1359.46        500.000        99.2659       0.105961       0.269159                 NaN  0.255593                 NaN  0.103427                 NaN            NaN            NaN
  1358.40        500.000        99.5063       0.189446       0.568945E-001            NaN  0.173322                 NaN  0.740521E-001            NaN            NaN            NaN
  1357.34        500.000        99.0218       0.124626       0.351835                 NaN  0.344740                 NaN  0.156972                 NaN            NaN            NaN
  1356.28        500.000        99.2833       0.110214       0.273518                 NaN  0.246474                 NaN  0.864683E-001            NaN            NaN            NaN
  1355.22        500.000        99.2822       0.267196       0.948269E-001            NaN  0.250188                 NaN  0.105589                 NaN            NaN            NaN
  1354.16        500.000        99.3487       0.242700       0.864099E-001            NaN  0.226921                 NaN  0.952940E-001            NaN            NaN            NaN
  1353.10        500.000        99.3080       0.258754       0.890806E-001            NaN  0.241591                 NaN  0.102588                 NaN            NaN            NaN
  1352.04        500.000        99.3158       0.853959E-001  0.257681                 NaN  0.238846                 NaN  0.102301                 NaN            NaN            NaN
  1350.98        500.000        99.3225       0.825665E-001  0.256040                 NaN  0.236629                 NaN  0.102303                 NaN            NaN            NaN
  1349.92        500.000        99.3286       0.255160       0.793279E-001            NaN  0.234601                 NaN  0.102359                 NaN            NaN            NaN
  1348.86        500.000        99.3342       0.252750       0.787762E-001            NaN  0.232557                 NaN  0.101759                 NaN            NaN            NaN
  1347.80        500.000        99.3435       0.250383       0.755918E-001            NaN  0.229393                 NaN  0.101125                 NaN            NaN            NaN
  1346.73        500.000        99.3480       0.249263       0.726836E-001            NaN  0.228162                 NaN  0.101868                 NaN            NaN            NaN
  1345.67        500.000        99.3559       0.702571E-001  0.248307                 NaN  0.224951                 NaN  0.100572                 NaN            NaN            NaN
  1344.61        500.000        99.3633       0.475539E-001  0.253182                 NaN  0.224692                 NaN  0.111224                 NaN            NaN            NaN
  1343.55        500.000        99.3651       0.237757       0.881513E-001            NaN  0.219836                 NaN  0.891220E-001            NaN            NaN            NaN
  1342.49        500.000        99.3726       0.644670E-001  0.243274                 NaN  0.219560                 NaN  0.100079                 NaN            NaN            NaN
  1341.43        500.000        99.3803       0.240660       0.647222E-001            NaN  0.216289                 NaN  0.980609E-001            NaN            NaN            NaN
  1340.37        500.000        99.3585       0.195542       0.178018                 NaN  0.215328                 NaN  0.526235E-001            NaN            NaN            NaN
  1339.31        500.000        99.4046       0.260634                 NaN            NaN  0.212665                 NaN  0.122106                 NaN            NaN            NaN
  1338.25        500.000        99.3980       0.238781       0.524463E-001            NaN  0.210823                 NaN  0.999482E-001            NaN            NaN            NaN
  1337.19        500.000        99.4139       0.389052E-002  0.256994                 NaN  0.208644                 NaN  0.116611                 NaN            NaN            NaN
  1336.13        500.000        99.4081       0.540871E-001  0.234337                 NaN  0.206851                 NaN  0.966566E-001            NaN            NaN            NaN
  1335.07        500.000        99.4137       0.232256       0.536943E-001            NaN  0.204708                 NaN  0.956250E-001            NaN            NaN            NaN
  1334.01        500.000        99.4167       0.526032E-001  0.231419                 NaN  0.203861                 NaN  0.954387E-001            NaN            NaN            NaN
  1332.95        500.000        99.4270       0.228508       0.502596E-001            NaN  0.199910                 NaN  0.943613E-001            NaN            NaN            NaN
  1331.89        500.000        99.4293       0.228182       0.493531E-001            NaN  0.199190                 NaN  0.940215E-001            NaN            NaN            NaN
  1330.83        500.000        99.4341       0.226669       0.489771E-001            NaN  0.197343                 NaN  0.929452E-001            NaN            NaN            NaN
  1329.77        500.000        99.4397       0.224868       0.477052E-001            NaN  0.195296                 NaN  0.923923E-001            NaN            NaN            NaN
  1328.71        500.000        99.4445       0.223916       0.464424E-001            NaN  0.193497                 NaN  0.916542E-001            NaN            NaN            NaN
  1327.65        500.000        99.4438       0.224613       0.462078E-001            NaN  0.194005                 NaN  0.913275E-001            NaN            NaN            NaN
  1326.59        500.000        99.4612       0.219314       0.421868E-001            NaN  0.187324                 NaN  0.900190E-001            NaN            NaN            NaN
  1325.53        500.000        99.4597       0.218813       0.436616E-001            NaN  0.188101                 NaN  0.897207E-001            NaN            NaN            NaN
  1324.47        500.000        99.4640       0.217656       0.433980E-001            NaN  0.186323                 NaN  0.885726E-001            NaN            NaN            NaN
  1323.41        500.000        99.4688       0.434185E-001  0.215811                 NaN  0.184507                 NaN  0.874562E-001            NaN            NaN            NaN
  1322.35        500.000        99.4745       0.319539E-001  0.218214                 NaN  0.183416                 NaN  0.918837E-001            NaN            NaN            NaN
  1321.29        500.000        99.4769       0.209203       0.521992E-001            NaN  0.180664                 NaN  0.810827E-001            NaN            NaN            NaN
  1320.23        500.000        99.4823       0.211393       0.420585E-001            NaN  0.179438                 NaN  0.848165E-001            NaN            NaN            NaN
  1319.17        500.000        99.4867       0.417996E-001  0.209861                 NaN  0.177782                 NaN  0.839046E-001            NaN            NaN            NaN
  1318.11        500.000        99.4910       0.208494       0.411626E-001            NaN  0.176188                 NaN  0.831670E-001            NaN            NaN            NaN
  1317.04        500.000        99.4948       0.206966       0.410770E-001            NaN  0.174876                 NaN  0.823145E-001            NaN            NaN            NaN
  1315.98        500.000        99.4999       0.204237       0.425530E-001            NaN  0.172675                 NaN  0.806289E-001            NaN            NaN            NaN
  1314.92        500.000        99.5050       0.203110       0.397620E-001            NaN  0.171275                 NaN  0.808919E-001            NaN            NaN            NaN
  1313.86        500.000        99.5069       0.202122       0.435066E-001            NaN  0.169642                 NaN  0.778176E-001            NaN            NaN            NaN
  1312.80        500.000        99.5114       0.400861E-001  0.201502                 NaN  0.168392                 NaN  0.786236E-001            NaN            NaN            NaN
  1311.74        500.000        99.5153       0.199426       0.421158E-001            NaN  0.166638                 NaN  0.764949E-001            NaN            NaN            NaN
  1310.68        500.000        99.5191       0.426304E-001  0.197518                 NaN  0.165217                 NaN  0.754933E-001            NaN            NaN            NaN
  1309.62        500.000        99.5233       0.196241       0.421059E-001            NaN  0.163660                 NaN  0.746894E-001            NaN            NaN            NaN
  1308.56        500.000        99.5270       0.194611       0.425351E-001            NaN  0.162200                 NaN  0.736078E-001            NaN            NaN            NaN
  1307.50        500.000        99.5304       0.432689E-001  0.193208                 NaN  0.160810                 NaN  0.723106E-001            NaN            NaN            NaN
  1306.44        500.000        99.5349       0.191303       0.429481E-001            NaN  0.159243                 NaN  0.715701E-001            NaN            NaN            NaN
  1305.38        500.000        99.5378       0.450392E-001  0.189685                 NaN  0.157806                 NaN  0.697010E-001            NaN            NaN            NaN
  1304.32        500.000        99.5413       0.188022       0.454056E-001            NaN  0.156504                 NaN  0.687324E-001            NaN            NaN            NaN
  1303.26        500.000        99.5453       0.186417       0.453126E-001            NaN  0.155028                 NaN  0.679022E-001            NaN            NaN            NaN
  1302.20        500.000        99.5477       0.184462       0.480045E-001            NaN  0.153894                 NaN  0.659760E-001            NaN            NaN            NaN
  1301.14        500.000        99.5507       0.182940       0.485573E-001            NaN  0.152725                 NaN  0.650788E-001            NaN            NaN            NaN
  1300.08        500.000        99.5556       0.180299       0.502760E-001            NaN  0.150679                 NaN  0.631833E-001            NaN            NaN            NaN
  1299.02        500.000        99.5581       0.179486       0.502797E-001            NaN  0.149760                 NaN  0.624082E-001            NaN            NaN            NaN
  1297.96        500.000        99.5612       0.507628E-001  0.178326                 NaN  0.148478                 NaN  0.612440E-001            NaN            NaN            NaN
  1296.90        500.000        99.5643       0.524835E-001  0.176171                 NaN  0.147222                 NaN  0.598675E-001            NaN            NaN            NaN
  1295.84        500.000        99.5671       0.174318       0.537494E-001            NaN  0.146113                 NaN  0.586786E-001            NaN            NaN            NaN
  1294.78        500.000        99.5700       0.563308E-001  0.172158                 NaN  0.144742                 NaN  0.568035E-001            NaN            NaN            NaN
  1293.72        500.000        99.5730       0.577004E-001  0.170257                 NaN  0.143516                 NaN  0.554783E-001            NaN            NaN            NaN
  1292.66        500.000        99.5766       0.168991       0.575927E-001            NaN  0.142232                 NaN  0.546300E-001            NaN            NaN            NaN
  1291.60        500.000        99.5383       0.676609E-001  0.180670                 NaN  0.155257                 NaN  0.581610E-001            NaN            NaN            NaN
  1290.54        500.000        99.6246       0.147722       0.551628E-001            NaN  0.125588                 NaN  0.469132E-001            NaN            NaN            NaN
  1289.48        500.000        99.5845       0.621782E-001  0.163643                 NaN  0.138938                 NaN  0.507221E-001            NaN            NaN            NaN
  1288.42        500.000        99.5877       0.161041       0.643808E-001            NaN  0.137631                 NaN  0.492014E-001            NaN            NaN            NaN
  1287.36        500.000        99.5895       0.694973E-001  0.157165                 NaN  0.136800                 NaN  0.470278E-001            NaN            NaN            NaN
  1286.29        500.000        99.5922       0.158390       0.672423E-001            NaN  0.135691                 NaN  0.464918E-001            NaN            NaN            NaN
  1285.23        500.000        99.5953       0.157225       0.663619E-001            NaN  0.134757                 NaN  0.463962E-001            NaN            NaN            NaN
  1284.17        500.000        99.5968       0.148784       0.800608E-001            NaN  0.133332                 NaN  0.410692E-001            NaN            NaN            NaN
  1283.11        500.000        99.5998       0.149878       0.754650E-001            NaN  0.132738                 NaN  0.420917E-001            NaN            NaN            NaN
  1282.05        500.000        99.6023       0.800925E-001  0.146609                 NaN  0.131331                 NaN  0.396534E-001            NaN            NaN            NaN
  1280.99        500.000        95.7751       0.361739       0.789556                 NaN  0.556573                 NaN            NaN   2.51701                 NaN            NaN
  1279.93        500.000        94.1932       0.460340        1.05143                 NaN  0.733863                 NaN  0.401118E-004   3.56114                 NaN            NaN
  1278.87        500.000        94.4837       0.422981        1.02078                 NaN  0.701656                 NaN  0.348306E-005   3.37088                 NaN            NaN
  1277.81        500.000        94.7527       0.385118       0.995021                 NaN  0.671511                 NaN  0.511440E-005   3.19564                 NaN            NaN
  1276.75        500.000        94.9933       0.343733       0.979873                 NaN  0.644554                 NaN  0.328401E-005   3.03849                 NaN            NaN
  1275.69        500.000        95.2230       0.291131       0.977980                 NaN  0.618746                 NaN  0.119440E-005   2.88914                 NaN            NaN
  1274.63        500.000        95.4282       0.218484        1.00207                 NaN  0.595642                 NaN  0.850008E-005   2.75555                 NaN            NaN
  1273.57        500.000        95.6346       0.104603        1.06592                 NaN  0.571935                 NaN  0.254013E-005   2.62294                 NaN            NaN
  1272.51        500.000        95.8069        1.13031                 NaN            NaN  0.551982                 NaN  0.364728E-005   2.51079                 NaN            NaN
  1271.45        500.000        94.6755        1.33614                 NaN            NaN  0.692715                 NaN            NaN   3.21051       0.851185E-001            NaN
  1270.39        500.000        94.6518        1.32669                 NaN            NaN  0.695937                 NaN            NaN   3.22384       0.101707                 NaN
  1269.33        500.000        94.9579        1.25591                 NaN            NaN  0.659102                 NaN            NaN   3.03203       0.950184E-001            NaN
  1268.27        500.000        95.2452        1.18432                 NaN            NaN  0.622111                 NaN  0.397228E-005   2.85844       0.899188E-001            NaN
  1267.21        500.000        95.4715        1.13981                 NaN            NaN  0.596215                 NaN            NaN   2.70861       0.838744E-001            NaN
  1266.15        500.000        95.7051        1.08035                 NaN            NaN  0.566584                 NaN            NaN   2.56838       0.795351E-001            NaN
  1265.09        500.000        95.8945        1.03893                 NaN            NaN  0.543056                 NaN            NaN   2.44809       0.753859E-001            NaN
  1264.03        500.000        96.0867       0.992396                 NaN            NaN  0.519069                 NaN  0.107862E-005   2.33042       0.714273E-001            NaN
  1262.97        500.000        96.2640       0.949824                 NaN            NaN  0.497119                 NaN            NaN   2.22144       0.676616E-001            NaN
  1261.91        500.000        96.4180       0.913611                 NaN            NaN  0.477942                 NaN  0.155781E-005   2.12611       0.643138E-001            NaN
  1260.85        500.000        96.5659       0.877963                 NaN            NaN  0.458679                 NaN  0.742496E-006   2.03602       0.614414E-001            NaN
  1259.79        500.000        96.6991       0.846482                 NaN            NaN  0.441268                 NaN  0.114097E-005   1.95434       0.587588E-001            NaN
  1258.73        500.000        96.8241       0.816857                 NaN            NaN  0.426293                 NaN            NaN   1.87693       0.557897E-001            NaN
  1257.67        500.000        96.9424       0.787874                 NaN            NaN  0.409783                 NaN            NaN   1.80618       0.537639E-001            NaN
  1256.60        500.000        97.0494       0.762694                 NaN            NaN  0.397013                 NaN            NaN   1.73974       0.511223E-001            NaN
  1255.54        500.000        97.1521       0.737815                 NaN            NaN  0.383268                 NaN            NaN   1.67771       0.490918E-001            NaN
  1254.48        500.000        97.2524       0.704899                 NaN            NaN  0.371093                 NaN  0.633647E-002   1.61827       0.470331E-001            NaN
  1253.42        500.000        97.3459       0.668982                 NaN            NaN  0.359147                 NaN  0.162847E-001   1.56412       0.455354E-001            NaN
  1252.36        500.000        97.4316       0.652683                 NaN            NaN  0.347252                 NaN  0.123359E-001   1.51238       0.437581E-001            NaN
  1251.30        500.000        97.5159       0.620812                 NaN            NaN  0.336576                 NaN  0.215918E-001   1.46287       0.422222E-001            NaN
  1250.24        500.000        97.5915       0.607137                 NaN            NaN  0.325919                 NaN  0.176371E-001   1.41716       0.406069E-001            NaN
  1249.18        500.000        97.6650       0.588874                 NaN            NaN  0.315933                 NaN  0.174638E-001   1.37366       0.391147E-001            NaN
  1248.12        500.000        97.7342       0.570445                 NaN            NaN  0.306400                 NaN  0.184033E-001   1.33276       0.377479E-001            NaN
  1247.06        500.000        97.8007       0.555790                 NaN            NaN  0.297347                 NaN  0.169452E-001   1.29291       0.362789E-001            NaN
  1246.00        500.000        97.8637       0.540620                 NaN            NaN  0.288557                 NaN  0.165447E-001   1.25558       0.349740E-001            NaN
  1244.94        500.000        97.9223       0.525379                 NaN            NaN  0.280449                 NaN  0.170765E-001   1.22098       0.337706E-001            NaN
  1243.88        500.000        97.9813       0.512005                 NaN            NaN  0.272315                 NaN  0.159033E-001   1.18601       0.324911E-001            NaN
  1242.82        500.000        98.0340       0.499314                 NaN            NaN  0.264848                 NaN  0.155354E-001   1.15493       0.313865E-001            NaN
  1241.76        500.000        98.0877       0.490285                 NaN            NaN  0.257460                 NaN  0.120103E-001   1.12249       0.300670E-001            NaN
  1240.70        500.000        98.1365       0.478063                 NaN            NaN  0.250492                 NaN  0.119820E-001   1.09390       0.290277E-001            NaN
  1239.64        500.000        98.1828       0.463726                 NaN            NaN  0.243811                 NaN  0.142651E-001   1.06721       0.281791E-001            NaN
  1238.58        500.000        98.2289       0.457605                 NaN            NaN  0.237346                 NaN  0.991866E-002   1.03928       0.269890E-001            NaN
  1237.52        500.000        98.2733       0.447465                 NaN            NaN  0.231109                 NaN  0.924166E-002   1.01289       0.260048E-001            NaN
  1236.46        500.000        98.3140       0.443267                 NaN            NaN  0.224638                 NaN  0.445892E-002  0.988535       0.250865E-001            NaN
  1235.40        500.000        98.3573       0.423046                 NaN            NaN  0.219754                 NaN  0.113522E-001  0.964419       0.241514E-001            NaN
  1234.34        500.000        98.3925       0.422781                 NaN            NaN  0.213871                 NaN  0.529564E-002  0.942272       0.232747E-001            NaN
  1233.28        500.000        98.4301       0.415862                 NaN            NaN  0.208518                 NaN  0.315533E-002  0.920041       0.223554E-001            NaN
  1232.22        500.000        98.4668       0.407581                 NaN            NaN  0.203565                 NaN  0.226126E-002  0.898349       0.214786E-001            NaN
  1231.16        500.000        98.5001       0.402288                 NaN            NaN  0.198510                 NaN  0.814931E-006  0.878376       0.206993E-001            NaN
  1230.10        500.000        98.5358       0.392926                 NaN            NaN  0.193529                 NaN  0.724638E-006  0.857778       0.199434E-001            NaN
  1229.04        500.000        98.5703       0.383655                 NaN            NaN  0.188355                 NaN            NaN  0.838431       0.192557E-001            NaN
  1227.98        500.000        98.6049       0.374136                 NaN            NaN  0.182410                 NaN            NaN  0.819710       0.188395E-001            NaN
  1226.92        500.000        98.6323       0.367936                 NaN            NaN  0.180924                 NaN  0.707568E-006  0.801296       0.175477E-001            NaN
  1225.85        500.000        98.6620       0.360362                 NaN            NaN  0.176150                 NaN            NaN  0.784472       0.170317E-001            NaN
  1224.79        500.000        98.6955       0.350543                 NaN            NaN  0.170395                 NaN            NaN  0.766898       0.166705E-001            NaN
  1223.73        500.000        98.7210       0.344724                 NaN            NaN  0.167683                 NaN            NaN  0.750791       0.158514E-001            NaN
  1222.67        500.000        98.7496       0.336973                 NaN            NaN  0.162741                 NaN            NaN  0.735243       0.154499E-001            NaN
  1221.61        500.000        98.7765       0.329639                 NaN            NaN  0.158584                 NaN            NaN  0.720270       0.150260E-001            NaN
  1220.55        500.000        98.8037       0.322327                 NaN            NaN  0.155997                 NaN            NaN  0.703850       0.141153E-001            NaN
  1219.49        500.000        98.8319       0.314179                 NaN            NaN  0.151285                 NaN            NaN  0.688796       0.137966E-001            NaN
  1218.43        500.000        98.8541       0.308863                 NaN            NaN  0.147126                 NaN            NaN  0.676359       0.135338E-001            NaN
  1217.37        500.000        98.8808       0.300867                 NaN            NaN  0.144524                 NaN            NaN  0.661095       0.127505E-001            NaN
  1216.31        500.000        98.9028       0.295512                 NaN            NaN  0.141095                 NaN            NaN  0.648255       0.123583E-001            NaN
  1215.25        500.000        98.9270       0.288331                 NaN            NaN  0.137411                 NaN            NaN  0.635276       0.119890E-001            NaN
  1214.19        500.000        98.9512       0.281734                 NaN            NaN  0.132695                 NaN            NaN  0.622584       0.118148E-001            NaN
  1213.13        500.000        98.9702       0.276644                 NaN            NaN  0.131108                 NaN            NaN  0.610885       0.111240E-001            NaN
  1212.07        500.000        98.9943       0.269818                 NaN            NaN  0.127490                 NaN            NaN  0.597625       0.108123E-001            NaN
  1211.01        500.000        87.1246        1.33585                 NaN            NaN   1.18902                 NaN  0.198011        5.66067       0.752662E-001   4.41654     
  1209.95        500.000        99.6534       0.292133E-001            NaN            NaN  0.229023E-001            NaN  0.718524E-001  0.644530E-001            NaN  0.158213     
  1208.89        500.000        90.3849        1.00680                 NaN            NaN  0.771869                 NaN            NaN   3.91051       0.496328E-001   3.87626     
  1207.83        500.000        94.3763       0.678920                 NaN            NaN  0.455764                 NaN            NaN   2.21358       0.241410E-001   2.25127     
  1206.77        500.000        98.6431       0.340300                 NaN            NaN  0.100366                 NaN            NaN  0.255343                 NaN  0.660914     
  1205.71        500.000        94.2030       0.710091                 NaN            NaN  0.476821                 NaN            NaN   2.29729       0.227171E-001   2.29009     
  1204.65        500.000        90.8124        1.07201                 NaN            NaN  0.780550                 NaN  0.431406E-001   3.57516       0.312592E-001   3.68549     
  1203.59        500.000        91.8976       0.632312       0.289451                 NaN  0.637608                 NaN            NaN   3.20610       0.378984E-001   3.29907     
  1202.53        500.000        83.4940       0.163441        1.71518                 NaN   1.35176                 NaN            NaN   6.40166       0.534040E-001   6.82052     
  1201.47        500.000        88.0069       0.647779       0.775825                 NaN  0.988289                 NaN            NaN   4.66056       0.400404E-001   4.88058     
  1200.41        500.000        95.7048       0.222790       0.329048                 NaN  0.358151                 NaN            NaN   1.71356       0.151463E-001   1.65648     
  1199.35        500.000        93.9476       0.313913       0.418870                 NaN  0.499694                 NaN            NaN   2.39404       0.205675E-001   2.40531     
  1198.29        500.000        96.3882       0.246632       0.298664                 NaN  0.362314                 NaN            NaN   1.76234       0.153094E-001  0.926587     
  1197.23        500.000        94.6121       0.263231       0.294675                 NaN  0.375211                 NaN            NaN   1.84159       0.158468E-001   2.59734     
  1196.16        500.000        95.1529       0.275585       0.302563                 NaN  0.394601                 NaN            NaN   1.95514       0.166457E-001   1.90252     
  1195.10        500.000        93.1790       0.385628       0.384790                 NaN  0.548340                 NaN            NaN   2.74046       0.227802E-001   2.73902     
  1194.04        500.000        94.6912       0.290085       0.313800                 NaN  0.424782                 NaN            NaN   2.16512       0.179772E-001   2.09701     
  1192.98        500.000        93.8828       0.332787       0.341261                 NaN  0.482979                 NaN            NaN   2.50762       0.205367E-001   2.43203     
  1191.92        500.000        94.8897       0.271996       0.290490       0.507621E-005  0.399504                 NaN            NaN   2.13082       0.173692E-001   2.00015     
  1190.86        500.000        93.5200       0.983947E-003            NaN            NaN  0.505769                 NaN  0.246413        2.76293       0.354661E-001   2.92844     
  1189.80        500.000        54.3115        1.08320        3.39169                 NaN   3.33666                 NaN            NaN   19.4013       0.139314        18.3364     
  1188.74        500.000                 NaN  0.695770        7.91668                 NaN   7.12874                 NaN            NaN   43.0058       0.327033        40.9260     
  1187.68        500.000                 NaN  0.558705        8.05602                 NaN   7.13176                 NaN            NaN   43.0002       0.326345        40.9269     
  1186.62        500.000                 NaN  0.767869        7.84136                 NaN   7.13344                 NaN            NaN   43.0051       0.326312        40.9259     
