|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1433.29        2500.00        98.1890                 NaN  0.624021       0.389986                 NaN  0.266566                 NaN  0.530396                 NaN            NaN            NaN            NaN
  1432.13        2500.00        98.2105                 NaN  0.619344       0.379185                 NaN  0.266745                 NaN  0.524200                 NaN            NaN            NaN            NaN
  1430.96        2500.00        98.2324                 NaN  0.368855       0.613777                 NaN  0.266954                 NaN  0.518041                 NaN            NaN            NaN            NaN
  1429.80        2500.00        98.2551                 NaN  0.608688       0.357871                 NaN  0.266784                 NaN  0.511560                 NaN            NaN            NaN            NaN
  1428.63        2500.00        98.2772                 NaN  0.348949       0.601903                 NaN  0.266799                 NaN  0.505108                 NaN            NaN            NaN            NaN
  1427.47        2500.00        98.2964                 NaN  0.597484       0.339500                 NaN  0.267166                 NaN  0.499432                 NaN            NaN            NaN            NaN
  1426.30        2500.00        98.3192                 NaN  0.590797       0.330118                 NaN  0.266939                 NaN  0.492995                 NaN            NaN            NaN            NaN
  1425.14        2500.00        98.3358                 NaN  0.586725       0.321609                 NaN  0.267796                 NaN  0.488069                 NaN            NaN            NaN            NaN
  1423.97        2500.00        98.3598                 NaN  0.579961       0.312289                 NaN  0.266921                 NaN  0.480991                 NaN            NaN            NaN            NaN
  1422.81        2500.00        98.3776                 NaN  0.302401       0.576899                 NaN  0.267125                 NaN  0.475975                 NaN            NaN            NaN            NaN
  1421.64        2500.00        98.3955                 NaN  0.293712       0.572399                 NaN  0.267493                 NaN  0.470914                 NaN            NaN            NaN            NaN
  1420.48        2500.00        98.4141                 NaN  0.567562       0.285178                 NaN  0.267642                 NaN  0.465523                 NaN            NaN            NaN            NaN
  1419.31        2500.00        98.4307                 NaN  0.276937       0.563427                 NaN  0.268193                 NaN  0.460758                 NaN            NaN            NaN            NaN
  1418.15        2500.00        98.4489                 NaN  0.558263       0.269268                 NaN  0.268090                 NaN  0.455438                 NaN            NaN            NaN            NaN
  1416.98        2500.00        98.4660                 NaN  0.260500       0.554798                 NaN  0.268212                 NaN  0.450485                 NaN            NaN            NaN            NaN
  1415.82        2500.00        99.9617                 NaN            NaN            NaN            NaN  0.277869E-001            NaN  0.104816E-001            NaN            NaN            NaN            NaN
  1414.66        2500.00        97.0255                 NaN   1.09564       0.497170                 NaN  0.507961                 NaN  0.873682                 NaN            NaN            NaN            NaN
  1413.49        2500.00        98.5153                 NaN  0.542965       0.236805                 NaN  0.268867                 NaN  0.436092                 NaN            NaN            NaN            NaN
  1412.33        2500.00        98.5290                 NaN  0.229530       0.540255                 NaN  0.269288                 NaN  0.431936                 NaN            NaN            NaN            NaN
  1411.16        2500.00        98.5461                 NaN  0.535462       0.221916                 NaN  0.269356                 NaN  0.427176                 NaN            NaN            NaN            NaN
  1410.00        2500.00        98.5607                 NaN  0.215238       0.531819                 NaN  0.269494                 NaN  0.422754                 NaN            NaN            NaN            NaN
  1408.83        2500.00        98.5752                 NaN  0.207829       0.528541                 NaN  0.269896                 NaN  0.418574                 NaN            NaN            NaN            NaN
  1407.67        2500.00        98.5855                 NaN  0.201218       0.525533                 NaN  0.271556                 NaN  0.416166                 NaN            NaN            NaN            NaN
  1406.50        2500.00        98.6073                 NaN  0.194111       0.520062                 NaN  0.269701                 NaN  0.408784                 NaN            NaN            NaN            NaN
  1405.34        2500.00        98.6170                 NaN  0.519404       0.187628                 NaN  0.270036                 NaN  0.405897                 NaN            NaN            NaN            NaN
  1404.17        2500.00        98.6301                 NaN  0.515931       0.180394                 NaN  0.271144                 NaN  0.402394                 NaN            NaN            NaN            NaN
  1403.01        2500.00        98.6438                 NaN  0.512851       0.174122                 NaN  0.270907                 NaN  0.398343                 NaN            NaN            NaN            NaN
  1401.84        2500.00        98.6569                 NaN  0.167610       0.509324                 NaN  0.271649                 NaN  0.394543                 NaN            NaN            NaN            NaN
  1400.68        2500.00        98.6702                 NaN  0.162202       0.506244                 NaN  0.271006                 NaN  0.390369                 NaN            NaN            NaN            NaN
  1399.51        2500.00        98.6782                 NaN  0.506360       0.154189                 NaN  0.272713                 NaN  0.388521                 NaN            NaN            NaN            NaN
  1398.35        2500.00        98.6983                 NaN  0.499555       0.149669                 NaN  0.270543                 NaN  0.381900                 NaN            NaN            NaN            NaN
  1397.18        2500.00        98.7052                 NaN  0.143265       0.499392                 NaN  0.272118                 NaN  0.380072                 NaN            NaN            NaN            NaN
  1396.02        2500.00        98.7165                 NaN  0.137742       0.496702                 NaN  0.272418                 NaN  0.376611                 NaN            NaN            NaN            NaN
  1394.85        2500.00        98.7282                 NaN  0.494355       0.131847                 NaN  0.272442                 NaN  0.373148                 NaN            NaN            NaN            NaN
  1393.69        2500.00        98.7392                 NaN  0.492287       0.125341                 NaN  0.273063                 NaN  0.370059                 NaN            NaN            NaN            NaN
  1392.52        2500.00        98.7524                 NaN  0.488499       0.121028                 NaN  0.272138                 NaN  0.365929                 NaN            NaN            NaN            NaN
  1391.36        2500.00        98.7613                 NaN  0.487674       0.115031                 NaN  0.272838                 NaN  0.363199                 NaN            NaN            NaN            NaN
  1390.20        2500.00        98.7658                 NaN  0.487271       0.109161                 NaN  0.275207                 NaN  0.362522                 NaN            NaN            NaN            NaN
  1389.03        2500.00        98.7885                 NaN  0.481463       0.104141                 NaN  0.271193                 NaN  0.354731                 NaN            NaN            NaN            NaN
  1387.87        2500.00        98.7935                 NaN  0.481991       0.973767E-001            NaN  0.273244                 NaN  0.353872                 NaN            NaN            NaN            NaN
  1386.70        2500.00        98.8026                 NaN  0.478019       0.971454E-001            NaN  0.272025                 NaN  0.350215                 NaN            NaN            NaN            NaN
  1385.54        2500.00        98.8144                 NaN  0.476161       0.896017E-001            NaN  0.272724                 NaN  0.347070                 NaN            NaN            NaN            NaN
  1384.37        2500.00        98.8225                 NaN  0.474875       0.853157E-001            NaN  0.272823                 NaN  0.344439                 NaN            NaN            NaN            NaN
  1383.21        2500.00        98.8324                 NaN  0.807332E-001  0.472825                 NaN  0.272618                 NaN  0.341472                 NaN            NaN            NaN            NaN
  1382.04        2500.00        98.8413                 NaN  0.758267E-001  0.471540                 NaN  0.272585                 NaN  0.338713                 NaN            NaN            NaN            NaN
  1380.88        2500.00        98.8517                 NaN  0.468280       0.771950E-001            NaN  0.267931                 NaN  0.334871                 NaN            NaN            NaN            NaN
  1379.71        2500.00        98.8594                 NaN  0.606498E-001  0.469468                 NaN  0.276684                 NaN  0.333817                 NaN            NaN            NaN            NaN
  1378.55        2500.00        98.8686                 NaN  0.465974       0.631930E-001            NaN  0.272085                 NaN  0.330149                 NaN            NaN            NaN            NaN
  1377.38        2500.00        98.8776                 NaN  0.585059E-001  0.464868                 NaN  0.271749                 NaN  0.327261                 NaN            NaN            NaN            NaN
  1376.22        2500.00        98.8819                 NaN  0.465305       0.539255E-001            NaN  0.272431                 NaN  0.326475                 NaN            NaN            NaN            NaN
  1375.05        2500.00        98.8987                 NaN  0.459872       0.516380E-001            NaN  0.269552                 NaN  0.320280                 NaN            NaN            NaN            NaN
  1373.89        2500.00        98.9021                 NaN  0.459530E-001  0.461065                 NaN  0.270863                 NaN  0.319983                 NaN            NaN            NaN            NaN
  1372.72        2500.00        98.9106                 NaN  0.458204       0.391475E-001            NaN  0.273951                 NaN  0.318089                 NaN            NaN            NaN            NaN
  1371.56        2500.00        98.9273                 NaN  0.453080       0.434575E-001            NaN  0.265518                 NaN  0.310631                 NaN            NaN            NaN            NaN
  1370.39        2500.00        98.9268                 NaN  0.455592       0.368682E-001            NaN  0.269190                 NaN  0.311537                 NaN            NaN            NaN            NaN
  1369.23        2500.00        98.9347                 NaN  0.453808       0.340765E-001            NaN  0.268504                 NaN  0.308914                 NaN            NaN            NaN            NaN
  1368.06        2500.00        98.9417                 NaN  0.303078E-001  0.453138                 NaN  0.268180                 NaN  0.306676                 NaN            NaN            NaN            NaN
  1366.90        2500.00        98.9473                 NaN  0.279993E-001  0.451390                 NaN  0.268196                 NaN  0.305119                 NaN            NaN            NaN            NaN
  1365.74        2500.00        98.9558                 NaN  0.451234       0.228896E-001            NaN  0.267529                 NaN  0.302534                 NaN            NaN            NaN            NaN
  1364.57        2500.00        98.9686                 NaN  0.446883       0.230447E-001            NaN  0.264044                 NaN  0.297464                 NaN            NaN            NaN            NaN
  1363.41        2500.00        98.9721                 NaN  0.447001       0.198026E-001            NaN  0.264562                 NaN  0.296522                 NaN            NaN            NaN            NaN
  1362.24        2500.00        98.9787                 NaN  0.446299       0.165374E-001            NaN  0.264039                 NaN  0.294380                 NaN            NaN            NaN            NaN
  1361.08        2500.00        98.9849                 NaN  0.445930       0.120853E-001            NaN  0.264364                 NaN  0.292699                 NaN            NaN            NaN            NaN
  1359.91        2500.00        98.9938                 NaN  0.443129       0.135257E-001            NaN  0.260657                 NaN  0.288905                 NaN            NaN            NaN            NaN
  1358.75        2500.00        98.9981                 NaN  0.443067       0.103108E-001            NaN  0.260974                 NaN  0.287569                 NaN            NaN            NaN            NaN
  1357.58        2500.00        99.0028                 NaN  0.300616E-002  0.442362                 NaN  0.264027                 NaN  0.287810                 NaN            NaN            NaN            NaN
  1356.42        2500.00        99.0093                 NaN  0.443731       0.853045E-002            NaN  0.255959                 NaN  0.282448                 NaN            NaN            NaN            NaN
  1355.25        2500.00        99.0228                 NaN  0.437165       0.384706E-002            NaN  0.257128                 NaN  0.279074                 NaN            NaN            NaN            NaN
  1354.09        2500.00        99.0259                 NaN  0.357014E-002  0.437132                 NaN  0.255443                 NaN  0.277925                 NaN            NaN            NaN            NaN
  1352.92        2500.00        99.0280                 NaN  0.172775E-002  0.437845                 NaN  0.255250                 NaN  0.277178                 NaN            NaN            NaN            NaN
  1351.76        2500.00        99.0294                 NaN  0.402660       0.696731E-001            NaN  0.226679                 NaN  0.271620                 NaN            NaN            NaN            NaN
  1350.59        2500.00        99.0410                 NaN  0.433503                 NaN            NaN  0.252804                 NaN  0.272714                 NaN            NaN            NaN            NaN
  1349.43        2500.00        98.8497                 NaN  0.837542E-001  0.507976                 NaN  0.153793                 NaN  0.294150       0.110632                 NaN            NaN            NaN
  1348.26        2500.00        98.8169                 NaN  0.579607                 NaN            NaN  0.162659                 NaN  0.300587       0.140220                 NaN            NaN            NaN
  1347.10        2500.00        98.8258                 NaN  0.575805                 NaN            NaN  0.160642                 NaN  0.298317       0.139472                 NaN            NaN            NaN
  1345.93        2500.00        98.8360                 NaN  0.570860                 NaN            NaN  0.158956                 NaN  0.295582       0.138561                 NaN            NaN            NaN
  1344.77        2500.00        98.8469                 NaN  0.566625                 NaN            NaN  0.156654                 NaN  0.292660       0.137177                 NaN            NaN            NaN
  1343.60        2500.00        98.8570                 NaN  0.563791                 NaN            NaN  0.153425                 NaN  0.289855       0.135933                 NaN            NaN            NaN
  1342.44        2500.00        98.8688                 NaN  0.183845E-002  0.557061                 NaN  0.151345                 NaN  0.286784       0.134216                 NaN            NaN            NaN
  1341.28        2500.00        98.8791                 NaN  0.552585                 NaN            NaN  0.151065                 NaN  0.284240       0.132999                 NaN            NaN            NaN
  1340.11        2500.00        98.8903                 NaN  0.550026                 NaN            NaN  0.147339                 NaN  0.281162       0.131191                 NaN            NaN            NaN
  1338.95        2500.00        98.9021                 NaN  0.543237                 NaN            NaN  0.146805                 NaN  0.278366       0.129509                 NaN            NaN            NaN
  1337.78        2500.00        98.9105                 NaN  0.530612       0.184596E-001            NaN  0.137425                 NaN  0.275144       0.127906                 NaN            NaN            NaN
  1336.62        2500.00        98.9231                 NaN  0.535563                 NaN            NaN  0.142082                 NaN  0.272815       0.126394                 NaN            NaN            NaN
  1335.45        2500.00        98.9338                 NaN  0.528787                 NaN            NaN  0.142229                 NaN  0.270396       0.124786                 NaN            NaN            NaN
  1334.29        2500.00        98.9464                 NaN  0.525484                 NaN            NaN  0.138598                 NaN  0.266980       0.122524                 NaN            NaN            NaN
  1333.12        2500.00        98.9570                 NaN  0.518694                 NaN            NaN  0.138703                 NaN  0.264631       0.121005                 NaN            NaN            NaN
  1331.96        2500.00        98.9668                 NaN  0.515767                 NaN            NaN  0.136069                 NaN  0.262013       0.119371                 NaN            NaN            NaN
  1330.79        2500.00        98.9777                 NaN  0.511165                 NaN            NaN  0.134278                 NaN  0.259312       0.117521                 NaN            NaN            NaN
  1329.63        2500.00        98.9872                 NaN  0.506569                 NaN            NaN  0.133330                 NaN  0.256945       0.115935                 NaN            NaN            NaN
  1328.46        2500.00        98.9987                 NaN  0.500557                 NaN            NaN  0.132416                 NaN  0.254186       0.114178                 NaN            NaN            NaN
  1327.30        2500.00        99.0075                 NaN  0.496076                 NaN            NaN  0.131582                 NaN  0.252029       0.112784                 NaN            NaN            NaN
  1326.13        2500.00        99.0181                 NaN  0.493797                 NaN            NaN  0.127977                 NaN  0.249185       0.110940                 NaN            NaN            NaN
  1324.97        2500.00        99.0283                 NaN  0.488915                 NaN            NaN  0.126764                 NaN  0.246722       0.109340                 NaN            NaN            NaN
  1323.80        2500.00        99.0377                 NaN  0.484352                 NaN            NaN  0.125743                 NaN  0.244426       0.107768                 NaN            NaN            NaN
  1322.64        2500.00        99.0471                 NaN  0.480908                 NaN            NaN  0.123779                 NaN  0.242031       0.106151                 NaN            NaN            NaN
  1321.47        2500.00        99.0568                 NaN  0.475258                 NaN            NaN  0.123524                 NaN  0.239763       0.104610                 NaN            NaN            NaN
  1320.31        2500.00        99.0594                 NaN  0.224268E-001  0.463408                 NaN  0.112808                 NaN  0.238261       0.103698                 NaN            NaN            NaN
  1319.14        2500.00        99.0793                 NaN  0.465674                 NaN            NaN  0.120323                 NaN  0.233868       0.100861                 NaN            NaN            NaN
  1317.98        2500.00        99.0850                 NaN  0.463731                 NaN            NaN  0.118681                 NaN  0.232787       0.998292E-001            NaN            NaN            NaN
  1316.82        2500.00        99.0930                 NaN  0.462682                 NaN            NaN  0.115440                 NaN  0.230507       0.983439E-001            NaN            NaN            NaN
  1315.65        2500.00        99.1018                 NaN  0.456819                 NaN            NaN  0.115746                 NaN  0.228659       0.969376E-001            NaN            NaN            NaN
  1314.49        2500.00        99.1117                 NaN  0.448963                 NaN            NaN  0.117397                 NaN  0.226412       0.954816E-001            NaN            NaN            NaN
  1313.32        2500.00        99.1200                 NaN  0.449695                 NaN            NaN  0.112445                 NaN  0.223949       0.939302E-001            NaN            NaN            NaN
  1312.16        2500.00        99.1274                 NaN  0.448696                 NaN            NaN  0.109350                 NaN  0.221999       0.925607E-001            NaN            NaN            NaN
  1310.99        2500.00        99.1355                 NaN  0.445796                 NaN            NaN  0.107728                 NaN  0.219909       0.911140E-001            NaN            NaN            NaN
  1309.83        2500.00        99.1439                 NaN  0.440867                 NaN            NaN  0.107517                 NaN  0.217863       0.898442E-001            NaN            NaN            NaN
  1308.66        2500.00        99.1519                 NaN  0.438905                 NaN            NaN  0.104918                 NaN  0.215901       0.883594E-001            NaN            NaN            NaN
  1307.50        2500.00        99.1575                 NaN  0.202861E-001  0.424469                 NaN  0.970477E-001            NaN  0.213776       0.869597E-001            NaN            NaN            NaN
  1306.33        2500.00        99.1644                 NaN  0.416789       0.281878E-001            NaN  0.933594E-001            NaN  0.211811       0.854914E-001            NaN            NaN            NaN
  1305.17        2500.00        99.1715                 NaN  0.300982E-001  0.412897                 NaN  0.913644E-001            NaN  0.210077       0.841077E-001            NaN            NaN            NaN
  1304.00        2500.00        99.1788                 NaN  0.345425E-001  0.407182                 NaN  0.886091E-001            NaN  0.208062       0.828101E-001            NaN            NaN            NaN
  1302.84        2500.00        99.1861                 NaN  0.371346E-001  0.402562                 NaN  0.865296E-001            NaN  0.206237       0.814825E-001            NaN            NaN            NaN
  1301.67        2500.00        99.1929                 NaN  0.397807       0.404478E-001            NaN  0.842344E-001            NaN  0.204479       0.801749E-001            NaN            NaN            NaN
  1300.51        2500.00        99.2006                 NaN  0.435364E-001  0.392310                 NaN  0.819439E-001            NaN  0.202585       0.789764E-001            NaN            NaN            NaN
  1299.34        2500.00        99.2069                 NaN  0.388436       0.465564E-001            NaN  0.798239E-001            NaN  0.200858       0.774611E-001            NaN            NaN            NaN
  1298.18        2500.00        99.2136                 NaN  0.383547       0.503017E-001            NaN  0.772587E-001            NaN  0.199092       0.762095E-001            NaN            NaN            NaN
  1297.01        2500.00        98.5994                 NaN  0.289920E-001  0.533941                 NaN  0.106519                 NaN  0.275485       0.118180       0.337490                 NaN            NaN
  1295.85        2500.00        71.9333                 NaN   6.59265                 NaN            NaN   1.19089                 NaN   3.61704        1.90451        14.7616                 NaN            NaN
  1294.68        2500.00        77.3337                 NaN   5.46307                 NaN            NaN  0.933536                 NaN   2.94079        1.50067        11.8283                 NaN            NaN
  1293.52        2500.00        81.0277                 NaN   4.71490                 NaN            NaN  0.732518                 NaN   2.47649        1.22637        9.82206                 NaN            NaN
  1292.36        2500.00        83.6555                 NaN   4.13528       0.978245E-001            NaN  0.547557                 NaN   2.14383        1.03032        8.38965                 NaN            NaN
  1291.19        2500.00        85.6042                 NaN   3.46337       0.436627                 NaN  0.388891                 NaN   1.89583       0.884608        7.32648                 NaN            NaN
  1290.03        2500.00        87.1154                 NaN   3.02911       0.579784                 NaN  0.290816                 NaN   1.70371       0.773041        6.50816                 NaN            NaN
  1288.86        2500.00        88.5741                 NaN   2.95829                 NaN            NaN  0.448000                 NaN   1.52536       0.700692        5.79354                 NaN            NaN
  1287.70        2500.00        88.7781                 NaN  0.668264        2.59461                 NaN  0.276289                 NaN   1.51239       0.605740        5.56463                 NaN            NaN
  1286.53        2500.00        89.8526                 NaN   2.33880       0.855211                 NaN            NaN            NaN   1.34179       0.498556        5.05470       0.583509E-001            NaN
  1285.37        2500.00        91.0875                 NaN   1.44086        1.33440                 NaN  0.720765E-001            NaN   1.20544       0.474421        4.38529                 NaN            NaN
  1284.20        2500.00        92.2653                 NaN  0.990419        1.47721                 NaN  0.222351E-001            NaN   1.03555       0.426536        3.78280                 NaN            NaN
  1283.04        2500.00        91.5900                 NaN   1.89403       0.752426                 NaN  0.210432E-005            NaN   1.14566       0.447389        4.17049                 NaN            NaN
  1281.87        2500.00        93.2424                 NaN   1.73151                 NaN            NaN  0.375312                 NaN  0.929572       0.386651        3.33458                 NaN            NaN
  1280.71        2500.00        92.0866                 NaN  0.105729        2.64353                 NaN            NaN            NaN   1.07215       0.360699        3.73127                 NaN            NaN
  1279.54        2500.00        87.8576                 NaN   3.57729       0.202551                 NaN  0.191414                 NaN   1.68248       0.727760        5.76093                 NaN            NaN
  1278.38        2500.00        97.3724                 NaN  0.924664                 NaN            NaN            NaN            NaN  0.275215                 NaN   1.35230       0.754671E-001            NaN
  1277.21        2500.00        95.8192                 NaN   1.57259                 NaN            NaN            NaN            NaN  0.590362                 NaN   1.94308       0.747218E-001            NaN
  1276.05        2500.00        93.1522                 NaN   1.88937       0.436110                 NaN            NaN            NaN  0.907158       0.393233        3.22192                 NaN            NaN
  1274.88        2500.00        94.7423                 NaN   1.87732                 NaN            NaN            NaN            NaN  0.729256                 NaN   2.51973       0.131353                 NaN
  1273.72        2500.00        91.3547                 NaN   2.14314       0.908734                 NaN            NaN            NaN   1.21095                 NaN   4.11276       0.269728                 NaN
  1272.55        2500.00        96.4170                 NaN   1.15582                 NaN            NaN  0.511029E-001            NaN  0.495048                 NaN   1.83211       0.489119E-001            NaN
  1271.39        2500.00        96.6834                 NaN   1.05062       0.159251                 NaN            NaN            NaN  0.374811                 NaN   1.61110       0.120830                 NaN
  1270.22        2500.00        95.7240                 NaN   1.64347                 NaN            NaN  0.646535E-001            NaN  0.650301                 NaN   1.84047       0.770871E-001            NaN
  1269.06        2500.00        93.8072                 NaN  0.158449        2.05910                 NaN            NaN            NaN  0.859354                 NaN   2.96090       0.155027                 NaN
  1267.90        2500.00        92.2008                 NaN   2.76615                 NaN            NaN            NaN            NaN   1.10608                 NaN   3.71766       0.209283                 NaN
  1266.73        2500.00        99.6325                 NaN  0.104811       0.227127                 NaN            NaN            NaN  0.248582E-001            NaN            NaN  0.106874E-001            NaN
  1265.57        2500.00        94.5069                 NaN   1.90042                 NaN            NaN            NaN            NaN  0.681128                 NaN   2.74604       0.165528                 NaN
  1264.40        2500.00        97.4029                 NaN  0.329772       0.873922                 NaN            NaN            NaN  0.428262                 NaN  0.953431       0.116770E-001            NaN
  1263.24        2500.00        93.5527                 NaN   2.38982                 NaN            NaN            NaN            NaN  0.909415                 NaN   2.99258       0.155489                 NaN
  1262.07        2500.00        96.3351                 NaN   1.34944                 NaN            NaN  0.112631                 NaN  0.520793                 NaN   1.62947       0.525400E-001            NaN
  1260.91        2500.00        97.3490                 NaN  0.974449                 NaN            NaN            NaN            NaN  0.308628                 NaN   1.27488       0.930052E-001            NaN
  1259.74        2500.00        95.1525                 NaN   1.86465                 NaN            NaN            NaN            NaN  0.688007                 NaN   2.18745       0.107417                 NaN
  1258.58        2500.00        96.6484                 NaN   1.30024                 NaN            NaN            NaN            NaN  0.519799                 NaN   1.48369       0.478701E-001            NaN
  1257.41        2500.00        93.0387                 NaN  0.813827        1.41096                 NaN            NaN            NaN   1.04335                 NaN   3.40400       0.289149                 NaN
  1256.25        2500.00        99.0268                 NaN  0.400558                 NaN            NaN            NaN            NaN  0.253660                 NaN  0.296991       0.219931E-001            NaN
  1255.08        2500.00        99.4142                 NaN  0.267924                 NaN            NaN            NaN            NaN            NaN            NaN  0.291386       0.264907E-001            NaN
  1253.92        2500.00        96.6231                 NaN   1.49721                 NaN            NaN            NaN            NaN  0.325873                 NaN   1.55380                 NaN            NaN
  1252.75        2500.00        82.3383        16.7090       0.610097E-005            NaN            NaN  0.170104E-001            NaN  0.217596                 NaN  0.630686       0.874439E-001            NaN
  1251.59        2500.00        99.8021                 NaN  0.624919E-005            NaN            NaN  0.446563E-001  0.266767E-002  0.551851E-001            NaN  0.881602E-001  0.723185E-002            NaN
  1250.42        2500.00        91.9972                 NaN   3.64220                 NaN            NaN            NaN            NaN   1.00647                 NaN   3.31472       0.394365E-001            NaN
  1249.26        2500.00        97.0361                 NaN   1.14715                 NaN            NaN            NaN            NaN  0.414398                 NaN   1.34483       0.574891E-001            NaN
  1248.09        2500.00        95.4514                 NaN   1.64996                 NaN            NaN            NaN            NaN  0.672963                 NaN   2.09383       0.131844                 NaN
  1246.93        2500.00        98.7278                 NaN  0.544100                 NaN            NaN            NaN            NaN  0.128795                 NaN  0.592613       0.671616E-002            NaN
  1245.76        2500.00        93.9748                 NaN   1.47020       0.738432E-005            NaN  0.898794E-001  0.137422E-001  0.992181                 NaN   3.21369       0.245530                 NaN
  1244.60        2500.00        99.5641                 NaN  0.340525                 NaN            NaN            NaN            NaN  0.234907E-001            NaN  0.719231E-001            NaN            NaN
  1243.44        2500.00        99.3342                 NaN  0.186896       0.166122E-001            NaN            NaN            NaN  0.176454E-001            NaN  0.413871       0.307998E-001            NaN
  1242.27        2500.00        96.8513                 NaN  0.674029        1.01147                 NaN            NaN            NaN  0.392462                 NaN   1.06421       0.652633E-002            NaN
  1241.11        2500.00        97.5484                 NaN  0.914086                 NaN            NaN            NaN            NaN  0.294760                 NaN   1.17093       0.718492E-001            NaN
  1239.94        2500.00        98.1869                 NaN  0.769955                 NaN            NaN            NaN            NaN  0.245372                 NaN  0.797770                 NaN            NaN
  1238.78        2500.00        97.8540                 NaN  0.752301                 NaN            NaN            NaN            NaN  0.311185                 NaN   1.04987       0.325992E-001            NaN
  1237.61        2500.00        97.8428                 NaN  0.695490                 NaN            NaN            NaN            NaN  0.148824                 NaN   1.27558       0.372764E-001            NaN
