|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/YM20/YM20_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1559.94        500.000                 NaN   99.9032       0.968174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        500.000                 NaN   99.3637       0.622321                 NaN  0.139574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        500.000                 NaN   99.3548       0.619019                 NaN  0.261762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        500.000                 NaN   99.3608       0.615285                 NaN  0.239012E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        500.000                 NaN   99.3518       0.626677                 NaN  0.215231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        500.000                 NaN   99.3865       0.592480                 NaN  0.209768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        500.000                 NaN   99.3780       0.599847                 NaN  0.221224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000                 NaN   99.3825       0.597228                 NaN  0.203006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        500.000                 NaN   99.3873       0.593350                 NaN  0.193671E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        500.000                 NaN   99.3911       0.590747                 NaN  0.181779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        500.000                 NaN   99.3973       0.585260                 NaN  0.174224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000                 NaN   99.4005       0.581806                 NaN  0.177367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        500.000                 NaN   99.4068       0.577891                 NaN  0.152642E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        500.000                 NaN   99.4120       0.572362                 NaN  0.156688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        500.000                 NaN   99.4159       0.569529                 NaN  0.145614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        500.000                 NaN   99.4198       0.567003                 NaN  0.132227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        500.000                 NaN   99.3680       0.620607                 NaN  0.114205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        500.000                 NaN   99.5842       0.406713                 NaN  0.907132E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        500.000                 NaN   99.3301       0.657436                 NaN  0.125099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        500.000                 NaN   99.1307       0.852944                 NaN  0.163702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        500.000                 NaN   99.7384       0.257813                 NaN  0.380235E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        500.000                 NaN   99.4564       0.535220                 NaN  0.839148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        500.000                 NaN   99.4480       0.544724                 NaN  0.732299E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000                 NaN   99.4535       0.539353                 NaN  0.712417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        500.000                 NaN   99.4154       0.576864                 NaN  0.772932E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        500.000                 NaN   99.4997       0.497576                 NaN  0.270799E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        500.000                 NaN   99.4656       0.529285                 NaN  0.510237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        500.000                 NaN   99.4681       0.525051                 NaN  0.684396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        500.000                 NaN   99.4716       0.523264                 NaN  0.515496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        500.000                 NaN   99.4739       0.526083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        500.000                 NaN   99.4796       0.509985                 NaN  0.103926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        500.000                 NaN   99.4823       0.517665                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        500.000                 NaN   99.4852       0.514774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        500.000                 NaN   99.4884       0.510538                 NaN  0.108921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        500.000                 NaN   99.4924       0.507352                 NaN  0.233530E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000                 NaN   99.0870       0.892763                 NaN  0.202125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        500.000                 NaN   99.9148       0.784229E-001            NaN  0.682118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   99.5403       0.438592                 NaN  0.210989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        500.000                 NaN   99.4707       0.529342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN   99.5146       0.450686                 NaN  0.347269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        500.000                 NaN   99.5131       0.486950                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000                 NaN   99.5133       0.486720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        500.000                 NaN   99.5166       0.483392                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        500.000                 NaN   99.5188       0.481197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        500.000                 NaN   99.4163       0.583747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        500.000                 NaN   99.6314       0.368622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        500.000                 NaN   99.5284       0.471556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000                 NaN   99.5053       0.372943                 NaN            NaN  0.121739                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        500.000                 NaN   99.3022       0.284951E-001            NaN            NaN  0.669353                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        500.000                 NaN   99.6270                 NaN            NaN            NaN  0.372998                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        500.000                 NaN   99.2708       0.682245E-001            NaN            NaN  0.660991                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        500.000                 NaN   99.3985                 NaN            NaN            NaN  0.601472                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        500.000                 NaN   99.3985                 NaN            NaN  0.399396E-005  0.601446                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        500.000                 NaN   99.3966                 NaN            NaN            NaN  0.603401                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        500.000                 NaN   99.3932                 NaN            NaN  0.171843E-005  0.606838                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000                 NaN   99.3924                 NaN            NaN            NaN  0.607576                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        500.000                 NaN   99.2094                 NaN            NaN            NaN  0.790637                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.61        500.000                 NaN   99.8550       0.145020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        500.000                 NaN   98.8337                 NaN            NaN            NaN  0.410926       0.755362                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000                 NaN   98.9736                 NaN            NaN            NaN  0.624179       0.402255                 NaN            NaN            NaN            NaN            NaN
  1472.22        500.000                 NaN   98.9846                 NaN            NaN            NaN  0.396516       0.618903                 NaN            NaN            NaN            NaN            NaN
  1470.76        500.000                 NaN   98.9956                 NaN            NaN            NaN  0.392174       0.612233                 NaN            NaN            NaN            NaN            NaN
  1469.30        500.000                 NaN   99.0079                 NaN            NaN            NaN  0.387244       0.604854                 NaN            NaN            NaN            NaN            NaN
  1467.83        500.000                 NaN   99.0183                 NaN            NaN            NaN  0.382393       0.599308                 NaN            NaN            NaN            NaN            NaN
  1466.37        500.000                 NaN   99.0282                 NaN            NaN            NaN  0.377593       0.594196                 NaN            NaN            NaN            NaN            NaN
  1464.91        500.000                 NaN   99.0382                 NaN            NaN            NaN  0.372897       0.588914                 NaN            NaN            NaN            NaN            NaN
  1463.45        500.000                 NaN   99.0475                 NaN            NaN            NaN  0.367949       0.584600                 NaN            NaN            NaN            NaN            NaN
  1461.99        500.000                 NaN   99.0608                 NaN            NaN            NaN  0.576247       0.362985                 NaN            NaN            NaN            NaN            NaN
  1460.52        500.000                 NaN   99.0682                 NaN            NaN            NaN  0.572210       0.359541                 NaN            NaN            NaN            NaN            NaN
  1459.06        500.000                 NaN   99.0788                 NaN            NaN            NaN  0.354907       0.566279                 NaN            NaN            NaN            NaN            NaN
  1457.60        500.000                 NaN   99.0870                 NaN            NaN            NaN  0.351237       0.561784                 NaN            NaN            NaN            NaN            NaN
  1456.14        500.000                 NaN   99.0982                 NaN            NaN            NaN  0.345487       0.556356                 NaN            NaN            NaN            NaN            NaN
  1454.68        500.000                 NaN   99.1067                 NaN            NaN            NaN  0.551109       0.342200                 NaN            NaN            NaN            NaN            NaN
  1453.21        500.000                 NaN   99.1153                 NaN            NaN            NaN  0.337734       0.546920                 NaN            NaN            NaN            NaN            NaN
  1451.75        500.000                 NaN   99.1228                 NaN            NaN            NaN  0.334247       0.542909                 NaN            NaN            NaN            NaN            NaN
  1450.29        500.000                 NaN   99.1330                 NaN            NaN            NaN  0.537032       0.329970                 NaN            NaN            NaN            NaN            NaN
  1448.83        500.000                 NaN   99.1412                 NaN            NaN            NaN  0.326049       0.532740                 NaN            NaN            NaN            NaN            NaN
  1447.37        500.000                 NaN   97.0442                 NaN            NaN            NaN  0.865758        1.17130                 NaN  0.918715                 NaN            NaN            NaN
  1445.90        500.000                 NaN   96.8800                 NaN            NaN            NaN   1.23737       0.880117                 NaN   1.00251                 NaN            NaN            NaN
  1444.44        500.000                 NaN   96.9672                 NaN            NaN            NaN  0.857733        1.19980                 NaN  0.975250                 NaN            NaN            NaN
  1442.98        500.000                 NaN   97.0522                 NaN            NaN            NaN   1.16466       0.834591                 NaN  0.948534                 NaN            NaN            NaN
  1441.52        500.000                 NaN   97.1314                 NaN            NaN            NaN   1.13183       0.812918                 NaN  0.923896                 NaN            NaN            NaN
  1440.06        500.000                 NaN   97.2051                 NaN            NaN            NaN  0.792316        1.10198                 NaN  0.900623                 NaN            NaN            NaN
  1438.59        500.000                 NaN   97.2804                 NaN            NaN            NaN   1.07052       0.771518                 NaN  0.877545                 NaN            NaN            NaN
  1437.13        500.000                 NaN   97.3470                 NaN            NaN            NaN  0.752823        1.04350                 NaN  0.856727                 NaN            NaN            NaN
  1435.67        500.000                 NaN   97.4154                 NaN            NaN            NaN  0.734384        1.01509                 NaN  0.835099                 NaN            NaN            NaN
  1434.21        500.000                 NaN   97.4821                 NaN            NaN            NaN  0.715835       0.987994                 NaN  0.814119                 NaN            NaN            NaN
  1432.75        500.000                 NaN   97.5381                 NaN            NaN            NaN  0.964799       0.700263                 NaN  0.796804                 NaN            NaN            NaN
  1431.28        500.000                 NaN   97.5976                 NaN            NaN            NaN  0.683765       0.940679                 NaN  0.778000                 NaN            NaN            NaN
  1429.82        500.000                 NaN   97.6561                 NaN            NaN            NaN  0.916752       0.667846                 NaN  0.759287                 NaN            NaN            NaN
  1428.36        500.000                 NaN   97.7078                 NaN            NaN            NaN  0.894761       0.654493                 NaN  0.742971                 NaN            NaN            NaN
  1426.90        500.000                 NaN   97.7618                 NaN            NaN            NaN  0.638335       0.873968                 NaN  0.725881                 NaN            NaN            NaN
  1425.44        500.000                 NaN   97.8098                 NaN            NaN            NaN  0.854576       0.624874                 NaN  0.710733                 NaN            NaN            NaN
  1423.97        500.000                 NaN   97.8571                 NaN            NaN            NaN  0.611561       0.835587                 NaN  0.695779                 NaN            NaN            NaN
  1422.51        500.000                 NaN   97.9033                 NaN            NaN            NaN  0.817132       0.598536                 NaN  0.680999                 NaN            NaN            NaN
  1421.05        500.000                 NaN   97.9484                 NaN            NaN            NaN  0.799225       0.585699                 NaN  0.666716                 NaN            NaN            NaN
  1419.59        500.000                 NaN   97.9903                 NaN            NaN            NaN  0.782638       0.573404                 NaN  0.653655                 NaN            NaN            NaN
  1418.13        500.000                 NaN   98.1246                 NaN            NaN            NaN  0.536260       0.728749                 NaN  0.610369                 NaN            NaN            NaN
  1416.66        500.000                 NaN   97.9740                 NaN            NaN            NaN  0.579013       0.788463                 NaN  0.658485                 NaN            NaN            NaN
  1415.20        500.000                 NaN   98.1101                 NaN            NaN            NaN  0.539951       0.734858                 NaN  0.615090                 NaN            NaN            NaN
  1413.74        500.000                 NaN   98.1495                 NaN            NaN            NaN  0.528532       0.719574                 NaN  0.602431                 NaN            NaN            NaN
  1412.28        500.000                 NaN   98.1849                 NaN            NaN            NaN  0.518517       0.705648                 NaN  0.590958                 NaN            NaN            NaN
  1410.82        500.000                 NaN   98.2194                 NaN            NaN            NaN  0.508592       0.692044                 NaN  0.579924                 NaN            NaN            NaN
  1409.35        500.000                 NaN   98.2544                 NaN            NaN            NaN  0.678271       0.498589                 NaN  0.568731                 NaN            NaN            NaN
  1407.89        500.000                 NaN   98.2843                 NaN            NaN            NaN  0.666700       0.489854                 NaN  0.559177                 NaN            NaN            NaN
  1406.43        500.000                 NaN   98.3169                 NaN            NaN            NaN  0.480567       0.654025                 NaN  0.548490                 NaN            NaN            NaN
  1404.97        500.000                 NaN   98.3491                 NaN            NaN            NaN  0.641717       0.471046                 NaN  0.538144                 NaN            NaN            NaN
  1403.51        500.000                 NaN   98.3764                 NaN            NaN            NaN  0.631260       0.463121                 NaN  0.529218                 NaN            NaN            NaN
  1402.04        500.000                 NaN   98.4070                 NaN            NaN            NaN  0.620289       0.452710                 NaN  0.520034                 NaN            NaN            NaN
  1400.58        500.000                 NaN   98.4388                 NaN            NaN            NaN  0.607336       0.445119                 NaN  0.508776                 NaN            NaN            NaN
  1399.12        500.000                 NaN   98.4585                 NaN            NaN            NaN  0.438696       0.599986                 NaN  0.502778                 NaN            NaN            NaN
  1397.66        500.000                 NaN   98.4933                 NaN            NaN            NaN  0.428854       0.586713                 NaN  0.491094                 NaN            NaN            NaN
  1396.20        500.000                 NaN   98.5119                 NaN            NaN            NaN  0.579316       0.423264                 NaN  0.485543                 NaN            NaN            NaN
  1394.73        500.000                 NaN   98.5407                 NaN            NaN            NaN  0.415137       0.568420                 NaN  0.475789                 NaN            NaN            NaN
  1393.27        500.000                 NaN   98.5625                 NaN            NaN            NaN  0.559914       0.408866                 NaN  0.468676                 NaN            NaN            NaN
  1391.81        500.000                 NaN   98.5866                 NaN            NaN            NaN  0.401516       0.551101                 NaN  0.460796                 NaN            NaN            NaN
  1390.35        500.000                 NaN   98.6092                 NaN            NaN            NaN  0.542859       0.394469                 NaN  0.453469                 NaN            NaN            NaN
  1388.89        500.000                 NaN   98.6306                 NaN            NaN            NaN  0.534618       0.388376                 NaN  0.446429                 NaN            NaN            NaN
  1387.42        500.000                 NaN   98.6524                 NaN            NaN  0.133140E-005  0.526527       0.381931                 NaN  0.439118                 NaN            NaN            NaN
  1385.96        500.000                 NaN   98.6738                 NaN            NaN            NaN  0.518574       0.375405                 NaN  0.432242                 NaN            NaN            NaN
  1384.50        500.000                 NaN   98.6946                 NaN            NaN            NaN  0.369011       0.510976                 NaN  0.425418                 NaN            NaN            NaN
  1383.04        500.000                 NaN   98.7123                 NaN            NaN            NaN  0.364121       0.504156                 NaN  0.419432                 NaN            NaN            NaN
  1381.58        500.000                 NaN   98.7347                 NaN            NaN  0.379157E-005  0.357099       0.496129                 NaN  0.412084                 NaN            NaN            NaN
  1380.11        500.000                 NaN   98.7548                 NaN            NaN  0.101167E-001  0.471123       0.356402                 NaN  0.407602                 NaN            NaN            NaN
  1378.65        500.000                 NaN   98.7833                 NaN            NaN  0.997475E-001  0.397175       0.304804                 NaN  0.414953                 NaN            NaN            NaN
  1377.19        500.000                 NaN   98.8065                 NaN            NaN  0.135495       0.410596       0.233331                 NaN  0.414039                 NaN            NaN            NaN
  1375.73        500.000                 NaN   98.8248                 NaN            NaN  0.136148       0.406473       0.224446                 NaN  0.408157                 NaN            NaN            NaN
  1374.27        500.000                 NaN   98.8437                 NaN            NaN  0.136450       0.401903       0.215951                 NaN  0.402000                 NaN            NaN            NaN
  1372.80        500.000                 NaN   98.8614                 NaN            NaN  0.136857       0.207777       0.397792                 NaN  0.396212                 NaN            NaN            NaN
  1371.34        500.000                 NaN   98.8795                 NaN            NaN  0.137591       0.393547       0.198990                 NaN  0.390336                 NaN            NaN            NaN
  1369.88        500.000                 NaN   98.8969                 NaN            NaN  0.137633       0.389771       0.191094                 NaN  0.384597                 NaN            NaN            NaN
  1368.42        500.000                 NaN   98.9115                 NaN            NaN  0.138287       0.183938       0.386130                 NaN  0.380137                 NaN            NaN            NaN
  1366.96        500.000                 NaN   98.9326                 NaN            NaN  0.137959       0.175196       0.381510                 NaN  0.372692                 NaN            NaN            NaN
  1365.49        500.000                 NaN   98.9461                 NaN            NaN  0.138224       0.378307       0.169009                 NaN  0.368354                 NaN            NaN            NaN
  1364.03        500.000                 NaN   98.9622                 NaN            NaN  0.138742       0.374484       0.161399                 NaN  0.363142                 NaN            NaN            NaN
  1362.57        500.000                 NaN   98.9761                 NaN            NaN  0.139242       0.154513       0.371581                 NaN  0.358574                 NaN            NaN            NaN
  1361.11        500.000                 NaN   98.9926                 NaN            NaN  0.138707       0.147759       0.368044                 NaN  0.352873                 NaN            NaN            NaN
  1359.65        500.000                 NaN   99.0072                 NaN            NaN  0.138230       0.142444       0.364207                 NaN  0.347952                 NaN            NaN            NaN
  1358.19        500.000                 NaN   99.0228                 NaN            NaN  0.138421       0.360327       0.135694                 NaN  0.342748                 NaN            NaN            NaN
  1356.72        500.000                 NaN   99.0359                 NaN            NaN  0.138665       0.357795       0.129224                 NaN  0.338425                 NaN            NaN            NaN
  1355.26        500.000                 NaN   99.0499                 NaN            NaN  0.138294       0.354334       0.123827                 NaN  0.333605                 NaN            NaN            NaN
  1353.80        500.000                 NaN   99.0636                 NaN            NaN  0.138194       0.118252       0.350920                 NaN  0.329025                 NaN            NaN            NaN
  1352.34        500.000                 NaN   99.0773                 NaN            NaN  0.138021       0.347863       0.112461                 NaN  0.324383                 NaN            NaN            NaN
  1350.88        500.000                 NaN   99.0900                 NaN            NaN  0.137836       0.344713       0.107342                 NaN  0.320079                 NaN            NaN            NaN
  1349.41        500.000                 NaN   99.1028                 NaN            NaN  0.137024       0.341767       0.102866                 NaN  0.315580                 NaN            NaN            NaN
  1347.95        500.000                 NaN   99.1153                 NaN            NaN  0.136764       0.980176E-001  0.338566                 NaN  0.311302                 NaN            NaN            NaN
  1346.49        500.000                 NaN   99.1180                 NaN            NaN  0.144724       0.344751       0.797623E-001            NaN  0.312757                 NaN            NaN            NaN
  1345.03        500.000                 NaN   99.1506                 NaN            NaN  0.128637       0.994583E-001  0.324230                 NaN  0.297053                 NaN            NaN            NaN
  1343.57        500.000                 NaN   99.1505                 NaN            NaN  0.134079       0.329706       0.868155E-001            NaN  0.298876                 NaN            NaN            NaN
  1342.10        500.000                 NaN   99.1638                 NaN            NaN  0.134291       0.812188E-001  0.326329                 NaN  0.294344                 NaN            NaN            NaN
  1340.64        500.000                 NaN   99.1745                 NaN            NaN  0.133648       0.774068E-001  0.323742                 NaN  0.290663                 NaN            NaN            NaN
  1339.18        500.000                 NaN   99.1859                 NaN            NaN  0.133070       0.734588E-001  0.320908                 NaN  0.286707                 NaN            NaN            NaN
  1337.72        500.000                 NaN   99.1914                 NaN            NaN  0.133086       0.708544E-001  0.319527                 NaN  0.285133                 NaN            NaN            NaN
  1336.26        500.000                 NaN   99.2124                 NaN            NaN  0.129806       0.313645       0.674567E-001            NaN  0.276737                 NaN            NaN            NaN
  1334.79        500.000                 NaN   99.2176                 NaN            NaN  0.130084       0.646522E-001  0.312326                 NaN  0.275353                 NaN            NaN            NaN
  1333.33        500.000                 NaN   99.2285                 NaN            NaN  0.129379       0.609587E-001  0.309686                 NaN  0.271525                 NaN            NaN            NaN
  1331.87        500.000                 NaN   99.2384                 NaN            NaN  0.128201       0.306659       0.588194E-001            NaN  0.267888                 NaN            NaN            NaN
  1330.41        500.000                 NaN   99.2481                 NaN            NaN  0.126820       0.572239E-001  0.303552                 NaN  0.264278                 NaN            NaN            NaN
  1328.95        500.000                 NaN   99.2578                 NaN            NaN  0.125656       0.546389E-001  0.301169                 NaN  0.260759                 NaN            NaN            NaN
  1327.48        500.000                 NaN   99.2668                 NaN            NaN  0.124412       0.298287       0.530208E-001            NaN  0.257449                 NaN            NaN            NaN
  1326.02        500.000                 NaN   99.2761                 NaN            NaN  0.124606       0.296261       0.483687E-001            NaN  0.254631                 NaN            NaN            NaN
  1324.56        500.000                 NaN   99.2871                 NaN            NaN  0.120637       0.505640E-001  0.292221                 NaN  0.249462                 NaN            NaN            NaN
  1323.10        500.000                 NaN   99.2819                 NaN            NaN  0.101168       0.102065       0.266288                 NaN  0.248537                 NaN            NaN            NaN
  1321.64        500.000                 NaN   99.2902                 NaN            NaN  0.112107       0.283382       0.668193E-001            NaN  0.247477                 NaN            NaN            NaN
  1320.17        500.000                 NaN   99.3275                 NaN            NaN  0.136430       0.297314                 NaN            NaN  0.238765                 NaN            NaN            NaN
  1318.71        500.000                 NaN   99.3290                 NaN            NaN  0.121484       0.289595       0.249739E-001            NaN  0.234930                 NaN            NaN            NaN
  1317.25        500.000                 NaN   99.3286                 NaN            NaN  0.114762       0.426607E-001  0.279378                 NaN  0.234576                 NaN            NaN            NaN
  1315.79        500.000                 NaN   99.3372                 NaN            NaN  0.112091       0.441984E-001  0.275586                 NaN  0.230975                 NaN            NaN            NaN
  1314.33        500.000                 NaN   99.3454                 NaN            NaN  0.110493       0.272063       0.440107E-001            NaN  0.227996                 NaN            NaN            NaN
  1312.86        500.000                 NaN   99.3535                 NaN            NaN  0.109164       0.269961       0.424496E-001            NaN  0.224974                 NaN            NaN            NaN
  1311.40        500.000                 NaN   99.3597                 NaN            NaN  0.108300       0.406449E-001  0.268689                 NaN  0.222674                 NaN            NaN            NaN
  1309.94        500.000                 NaN   99.3687                 NaN            NaN  0.104325       0.262826       0.453632E-001            NaN  0.218824                 NaN            NaN            NaN
  1308.48        500.000                 NaN   99.3757                 NaN            NaN  0.103514       0.433105E-001  0.261118                 NaN  0.216345                 NaN            NaN            NaN
  1307.02        500.000                 NaN   99.3834                 NaN            NaN  0.102193       0.423614E-001  0.258507                 NaN  0.213509                 NaN            NaN            NaN
  1305.55        500.000                 NaN   99.3900                 NaN            NaN  0.995807E-001  0.255309       0.443698E-001            NaN  0.210756                 NaN            NaN            NaN
  1304.09        500.000                 NaN   99.3974                 NaN            NaN  0.979689E-001  0.252465       0.441809E-001            NaN  0.207950                 NaN            NaN            NaN
  1302.63        500.000                 NaN   99.4037                 NaN            NaN  0.955114E-001  0.248929       0.464442E-001            NaN  0.205370                 NaN            NaN            NaN
  1301.17        500.000                 NaN   99.4108                 NaN            NaN  0.938205E-001  0.246143       0.465363E-001            NaN  0.202681                 NaN            NaN            NaN
  1299.71        500.000                 NaN   99.4172                 NaN            NaN  0.917133E-001  0.479493E-001  0.243006                 NaN  0.200150                 NaN            NaN            NaN
  1298.24        500.000                 NaN   99.4237                 NaN            NaN  0.896345E-001  0.240398       0.487215E-001            NaN  0.197546                 NaN            NaN            NaN
  1296.78        500.000                 NaN   99.4294                 NaN            NaN  0.871179E-001  0.513828E-001  0.236894                 NaN  0.195156                 NaN            NaN            NaN
  1295.32        500.000                 NaN   99.4355                 NaN            NaN  0.852125E-001  0.234070       0.524200E-001            NaN  0.192769                 NaN            NaN            NaN
  1293.86        500.000                 NaN   99.4414                 NaN            NaN  0.824407E-001  0.230303       0.555407E-001            NaN  0.190276                 NaN            NaN            NaN
  1292.40        500.000                 NaN   99.4476                 NaN            NaN  0.806665E-001  0.227620       0.561964E-001            NaN  0.187920                 NaN            NaN            NaN
  1290.93        500.000                 NaN   99.4535                 NaN            NaN  0.784131E-001  0.224177       0.583753E-001            NaN  0.185576                 NaN            NaN            NaN
  1289.47        500.000                 NaN   99.4587                 NaN            NaN  0.764135E-001  0.221063       0.603009E-001            NaN  0.183557                 NaN            NaN            NaN
  1288.01        500.000                 NaN   99.4640                 NaN            NaN  0.731788E-001  0.646891E-001  0.217017                 NaN  0.181136                 NaN            NaN            NaN
  1286.55        500.000                 NaN   99.4698                 NaN            NaN  0.713234E-001  0.213974       0.660159E-001            NaN  0.178911                 NaN            NaN            NaN
  1285.09        500.000                 NaN   99.4753                 NaN            NaN  0.694690E-001  0.210442       0.678862E-001            NaN  0.176931                 NaN            NaN            NaN
