|6.6.6
Archiving\03_Data\Dfrac/QFM_m5/K22/K22_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1909.77        2500.00        99.4955       0.257156E-003            NaN  0.504269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.7568       0.160966E-002            NaN  0.241583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.2424       0.474694E-003            NaN  0.757139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.5054       0.673476E-003            NaN  0.493960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.5086       0.118535E-002            NaN  0.490228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.5130                 NaN            NaN  0.487021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.5116                 NaN            NaN  0.488443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.5189                 NaN            NaN  0.481092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.5210       0.994612E-003            NaN  0.478016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.5985                 NaN            NaN  0.401523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4527       0.100518E-003            NaN  0.547180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.5259                 NaN            NaN  0.470692       0.342858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4186                 NaN            NaN  0.568254       0.131717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.8074                 NaN            NaN  0.188195       0.437709E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.3518                 NaN            NaN  0.633456       0.147425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.5300                 NaN            NaN  0.459304       0.106920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4772                 NaN            NaN  0.510876       0.118985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5902                 NaN            NaN  0.400467       0.933456E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.5361                 NaN            NaN  0.453277       0.105878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.5392                 NaN            NaN  0.450317       0.105164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.5406                 NaN            NaN  0.448885       0.105007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5423                 NaN            NaN  0.447276       0.104718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.5428                 NaN            NaN  0.446735       0.104699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.5464                 NaN            NaN  0.443280       0.103688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.5468                 NaN            NaN  0.442872       0.103694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5484                 NaN            NaN  0.441269       0.103314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.5487                 NaN            NaN  0.441003       0.103108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.5508                 NaN            NaN  0.438980       0.102665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5507                 NaN            NaN  0.439002       0.102546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5539                 NaN            NaN  0.435878       0.101826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5540                 NaN            NaN  0.435859       0.101480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.1448                 NaN            NaN  0.835706       0.194532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.9674                 NaN            NaN  0.318835E-001  0.730323E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5548                 NaN            NaN  0.435121       0.100933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5563                 NaN            NaN  0.433711       0.100371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5565                 NaN            NaN  0.433477       0.100146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.5568                 NaN            NaN  0.433243       0.997372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5569                 NaN            NaN  0.433136       0.997062E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5574                 NaN            NaN  0.432720       0.992556E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5531                 NaN            NaN  0.436884       0.997598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4309                 NaN            NaN  0.556499       0.126134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.7039                 NaN            NaN  0.289519       0.656701E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5386                 NaN            NaN  0.451177       0.102017E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5552                 NaN            NaN  0.434999       0.983804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5561                 NaN            NaN  0.434105       0.974673E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5557                 NaN            NaN  0.434604       0.972665E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5553                 NaN            NaN  0.434960       0.970181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5526                 NaN            NaN  0.437647       0.974269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.3813                 NaN            NaN  0.605302       0.133583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.7271                 NaN            NaN  0.267073       0.587019E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.5514                 NaN            NaN  0.438957       0.961309E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5510                 NaN            NaN  0.439433       0.956028E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.2219                 NaN            NaN  0.762262       0.158657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.9644                 NaN            NaN  0.344414E-001  0.113458E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4534                 NaN            NaN  0.535084       0.115010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.5476                 NaN            NaN  0.442919       0.946047E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5446                 NaN            NaN  0.445907       0.946809E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5434                 NaN            NaN  0.447146       0.944858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5410                 NaN            NaN  0.449521       0.945105E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5397                 NaN            NaN  0.450908       0.941817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5391                 NaN            NaN  0.451509       0.936788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5366                 NaN            NaN  0.454068       0.937839E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5341                 NaN            NaN  0.456498       0.937385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5341                 NaN            NaN  0.456640       0.930558E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.5313                 NaN            NaN  0.459430       0.931246E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.5294                 NaN            NaN  0.461289       0.929474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5271                 NaN            NaN  0.463593       0.928540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5213                 NaN            NaN  0.469360       0.932973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5268                 NaN            NaN  0.464066       0.917369E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5766                 NaN            NaN  0.415265       0.817579E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4631                 NaN            NaN  0.526614       0.102849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.5150                 NaN            NaN  0.475749       0.928068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.5165                 NaN            NaN  0.474430       0.908278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5136                 NaN            NaN  0.477315       0.913135E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.5097                 NaN            NaN  0.481154       0.913832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.5075                 NaN            NaN  0.483391       0.913308E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.0523                 NaN            NaN  0.930486       0.171864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.9620                 NaN            NaN  0.373209E-001  0.657103E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4853                 NaN            NaN  0.505349       0.937136E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4997                 NaN            NaN  0.491242       0.904535E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4955                 NaN            NaN  0.495489       0.905912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4957                 NaN            NaN  0.495272       0.900964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4903                 NaN            NaN  0.500689       0.904276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4911                 NaN            NaN  0.499947       0.899203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4873                 NaN            NaN  0.503701       0.898129E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4995                 NaN            NaN  0.491818       0.872788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4689                 NaN            NaN  0.521846       0.921219E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4799                 NaN            NaN  0.511140       0.898546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4787                 NaN            NaN  0.512324       0.893065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4777                 NaN            NaN  0.513365       0.890374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4743                 NaN            NaN  0.516748       0.891144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4713                 NaN            NaN  0.519778       0.892901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.1045                 NaN            NaN  0.450828       0.496338E-002  0.439684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.8525                 NaN            NaN  0.184782                 NaN   1.96269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.7856                 NaN            NaN  0.187010                 NaN   2.02734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.9082                 NaN            NaN  0.182093                 NaN   1.90970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.9310                 NaN            NaN  0.179504                 NaN   1.88953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.0171                 NaN            NaN  0.170889                 NaN   1.81199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.0325                 NaN            NaN  0.168343                 NaN   1.79919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.0756                 NaN            NaN  0.164363                 NaN   1.76006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.1111                 NaN            NaN  0.160842                 NaN   1.72802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.1315                 NaN            NaN  0.157290                 NaN   1.71126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.2131                 NaN            NaN  0.150685                 NaN   1.63620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2246                 NaN            NaN  0.149284                 NaN   1.62613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2641                 NaN            NaN  0.145164                 NaN   1.59076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.1905                 NaN            NaN  0.149114                 NaN   1.66038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.4294                 NaN            NaN  0.132437                 NaN   1.43817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3568                 NaN            NaN  0.134476                 NaN   1.50870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3924                 NaN            NaN  0.132188                 NaN   1.47537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4191                 NaN            NaN  0.128283                 NaN   1.45263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4301                 NaN            NaN  0.124326                 NaN   1.44561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4759                 NaN            NaN  0.116041                 NaN   1.40801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        97.1138                 NaN            NaN  0.214301                 NaN   2.67191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.9403                 NaN            NaN  0.119867E-001            NaN  0.477251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5548                 NaN            NaN  0.112721                 NaN   1.33251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5823                 NaN            NaN  0.109868                 NaN   1.30779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6047                 NaN            NaN  0.107129                 NaN   1.28814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6262                 NaN            NaN  0.165107                 NaN   1.20871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6532                 NaN            NaN  0.397707E-001            NaN   1.30702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6444                 NaN            NaN  0.952527E-001            NaN   1.26035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7170                 NaN            NaN  0.953937E-001            NaN   1.18764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.3535                 NaN            NaN  0.105947                 NaN   1.54050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.0865                 NaN            NaN  0.649480E-001            NaN  0.848583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7498                 NaN            NaN  0.892136E-001            NaN   1.16098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7857                 NaN            NaN  0.861538E-001            NaN   1.12820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7939                 NaN            NaN  0.801572E-001            NaN   1.12598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8104                 NaN            NaN  0.832430E-001            NaN   1.10639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8274                 NaN            NaN  0.785041E-001            NaN   1.09413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        97.7816                 NaN            NaN  0.137466                 NaN   2.08090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.8361                 NaN            NaN  0.149145E-001            NaN  0.149002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9818                 NaN            NaN  0.603097E-001            NaN  0.957936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8997                 NaN            NaN  0.691296E-001            NaN   1.03113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9129                 NaN            NaN  0.658889E-001            NaN   1.02125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9265                 NaN            NaN  0.646794E-001            NaN   1.00879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9438                 NaN            NaN  0.604104E-001            NaN  0.995810                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9584                 NaN            NaN  0.606840E-001            NaN  0.980882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9716                 NaN            NaN  0.580446E-001            NaN  0.970337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9860                 NaN            NaN  0.564977E-001            NaN  0.957514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.9983                 NaN            NaN  0.539260E-001            NaN  0.947767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9983                 NaN            NaN  0.494743E-001            NaN  0.952255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0322                 NaN            NaN  0.500580E-001            NaN  0.917747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.8242                 NaN            NaN  0.572928E-001            NaN   1.11854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.2584                 NaN            NaN  0.346501E-001            NaN  0.706938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0593                 NaN            NaN  0.437837E-001            NaN  0.896919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0634                 NaN            NaN  0.425114E-001            NaN  0.894127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0836                 NaN            NaN  0.342689E-001            NaN  0.882154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0041                 NaN            NaN  0.731306E-002            NaN  0.564570       0.424044                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.8586                 NaN            NaN  0.821251E-006            NaN  0.468137E-001   1.09461                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.8628                 NaN            NaN  0.104532E-002            NaN            NaN   1.13612                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.8637                 NaN            NaN  0.107370E-003            NaN            NaN   1.13623                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.8660                 NaN            NaN            NaN            NaN            NaN   1.13401                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.8691                 NaN            NaN            NaN            NaN            NaN   1.13087                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.8677                 NaN            NaN            NaN            NaN            NaN   1.13232                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.8642                 NaN            NaN            NaN            NaN            NaN   1.13576                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.8613                 NaN            NaN            NaN            NaN            NaN   1.13872                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.8513                 NaN            NaN            NaN            NaN            NaN   1.14874                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.8362                 NaN            NaN            NaN            NaN            NaN   1.16383                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.3841                 NaN            NaN            NaN            NaN            NaN  0.912708       0.703222                 NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.1676                 NaN            NaN            NaN            NaN            NaN   1.07414       0.758238                 NaN            NaN            NaN            NaN            NaN
