|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          iron           an             San(TH)        San(TH)        ilm            ne             lc            
  1360.52        2500.00                 NaN   99.3860       0.170078       0.222742                 NaN  0.905842E-002  0.212141                 NaN            NaN            NaN            NaN            NaN
  1359.43        2500.00                 NaN   99.3790       0.226329       0.171105                 NaN  0.905597E-002  0.214547                 NaN            NaN            NaN            NaN            NaN
  1358.33        2500.00                 NaN   99.3859       0.168498       0.224918                 NaN  0.879547E-002  0.211932                 NaN            NaN            NaN            NaN            NaN
  1357.24        2500.00                 NaN   99.3920       0.223219       0.166211                 NaN  0.866369E-002  0.209921                 NaN            NaN            NaN            NaN            NaN
  1356.15        2500.00                 NaN   99.3996       0.163806       0.221669                 NaN  0.831174E-002  0.206635                 NaN            NaN            NaN            NaN            NaN
  1355.06        2500.00                 NaN   99.4055       0.160943       0.220820                 NaN  0.813548E-002  0.204641                 NaN            NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.4116       0.219706       0.158497                 NaN  0.788551E-002  0.202283                 NaN            NaN            NaN            NaN            NaN
  1352.87        2500.00                 NaN   99.4178       0.156292       0.218252                 NaN  0.767739E-002  0.199994                 NaN            NaN            NaN            NaN            NaN
  1351.78        2500.00                 NaN   99.4239       0.153884       0.217019                 NaN  0.746830E-002  0.197698                 NaN            NaN            NaN            NaN            NaN
  1350.69        2500.00                 NaN   99.4298       0.151920       0.215542                 NaN  0.727038E-002  0.195456                 NaN            NaN            NaN            NaN            NaN
  1349.59        2500.00                 NaN   99.4354       0.214730       0.149422                 NaN  0.704946E-002  0.193384                 NaN            NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.4412       0.213446       0.147317                 NaN  0.683723E-002  0.191158                 NaN            NaN            NaN            NaN            NaN
  1347.41        2500.00                 NaN   99.4470       0.144852       0.212564                 NaN  0.661790E-002  0.188938                 NaN            NaN            NaN            NaN            NaN
  1346.32        2500.00                 NaN   99.4519       0.143777       0.210586                 NaN  0.652267E-002  0.187213                 NaN            NaN            NaN            NaN            NaN
  1345.22        2500.00                 NaN   99.4580       0.140241       0.210873                 NaN  0.617955E-002  0.184698                 NaN            NaN            NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.4631       0.209594       0.138376                 NaN  0.602553E-002  0.182923                 NaN            NaN            NaN            NaN            NaN
  1343.04        2500.00                 NaN   99.4679       0.208129       0.136799                 NaN  0.591736E-002  0.181223                 NaN            NaN            NaN            NaN            NaN
  1341.95        2500.00                 NaN   99.4738       0.207591       0.134262                 NaN  0.562201E-002  0.178728                 NaN            NaN            NaN            NaN            NaN
  1340.85        2500.00                 NaN   99.4784       0.206724       0.132269                 NaN  0.546733E-002  0.177143                 NaN            NaN            NaN            NaN            NaN
  1339.76        2500.00                 NaN   99.4831       0.206325       0.130065                 NaN  0.525271E-002  0.175290                 NaN            NaN            NaN            NaN            NaN
  1338.67        2500.00                 NaN   99.4889       0.200374       0.129547       0.293271E-002  0.482115E-002  0.173432                 NaN            NaN            NaN            NaN            NaN
  1337.58        2500.00                 NaN   99.5156       0.167602       0.756862E-001  0.694512E-001            NaN  0.171707                 NaN            NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.5195       0.166357       0.757749E-001  0.683318E-001            NaN  0.170075                 NaN            NaN            NaN            NaN            NaN
  1335.39        2500.00                 NaN   99.2534       0.134071       0.253741       0.939148E-001  0.145434E-002  0.263440                 NaN            NaN            NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.9030       0.380352E-001  0.605424E-002  0.179012E-001            NaN  0.349907E-001            NaN            NaN            NaN            NaN            NaN
  1333.21        2500.00                 NaN   99.4213       0.103129       0.195400       0.766963E-001            NaN  0.203448                 NaN            NaN            NaN            NaN            NaN
  1332.11        2500.00                 NaN   99.5355       0.160927       0.747531E-001  0.649544E-001            NaN  0.163842                 NaN            NaN            NaN            NaN            NaN
  1331.02        2500.00                 NaN   99.5392       0.756090E-001  0.158840       0.639848E-001            NaN  0.162385                 NaN            NaN            NaN            NaN            NaN
  1329.93        2500.00                 NaN   99.5430       0.756294E-001  0.157537       0.629728E-001            NaN  0.160855                 NaN            NaN            NaN            NaN            NaN
  1328.84        2500.00                 NaN   99.5462       0.156447       0.754391E-001  0.622678E-001            NaN  0.159673                 NaN            NaN            NaN            NaN            NaN
  1327.74        2500.00                 NaN   99.5500       0.753903E-001  0.155800       0.609549E-001            NaN  0.157856                 NaN            NaN            NaN            NaN            NaN
  1326.65        2500.00                 NaN   99.5538       0.154084       0.751928E-001  0.603728E-001            NaN  0.156559                 NaN            NaN            NaN            NaN            NaN
  1325.56        2500.00                 NaN   99.5573       0.758450E-001  0.152283       0.594104E-001            NaN  0.155201                 NaN            NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.5597       0.800221E-001  0.148988       0.572737E-001            NaN  0.154058                 NaN            NaN            NaN            NaN            NaN
  1323.37        2500.00                 NaN   99.5648       0.151719       0.728577E-001  0.584253E-001            NaN  0.152245                 NaN            NaN            NaN            NaN            NaN
  1322.28        2500.00                 NaN   99.5675       0.766870E-001  0.148115       0.565927E-001            NaN  0.151070                 NaN            NaN            NaN            NaN            NaN
  1321.19        2500.00                 NaN   99.5703       0.146337       0.777015E-001  0.556177E-001            NaN  0.150015                 NaN            NaN            NaN            NaN            NaN
  1320.10        2500.00                 NaN   99.5742       0.145759       0.769374E-001  0.547049E-001            NaN  0.148386                 NaN            NaN            NaN            NaN            NaN
  1319.00        2500.00                 NaN   99.5772       0.775524E-001  0.144134       0.539045E-001            NaN  0.147251                 NaN            NaN            NaN            NaN            NaN
  1317.91        2500.00                 NaN   99.5811       0.141774       0.790686E-001  0.525198E-001            NaN  0.145549                 NaN            NaN            NaN            NaN            NaN
  1316.82        2500.00                 NaN   99.5840       0.140979       0.784498E-001  0.520440E-001            NaN  0.144488                 NaN            NaN            NaN            NaN            NaN
  1315.73        2500.00                 NaN   99.5866       0.796767E-001  0.139587       0.507648E-001            NaN  0.143338                 NaN            NaN            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.5894       0.803137E-001  0.138109       0.499073E-001            NaN  0.142222                 NaN            NaN            NaN            NaN            NaN
  1313.54        2500.00                 NaN   99.5936       0.781570E-001  0.137681       0.498226E-001            NaN  0.140721                 NaN            NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   88.0559        1.70921       0.402816       0.567452       0.197136E-001   1.55375        7.69120                 NaN            NaN            NaN            NaN
  1311.36        2500.00                 NaN   83.3838        2.05475        1.57789                 NaN  0.170662        2.20779        10.6051                 NaN            NaN            NaN            NaN
  1310.26        2500.00                 NaN   85.0238        1.87411        1.40518                 NaN  0.152509        1.98886        9.55550                 NaN            NaN            NaN            NaN
  1309.17        2500.00                 NaN   86.3599        1.72348        1.26829                 NaN  0.137396        1.81089        8.70001                 NaN            NaN            NaN            NaN
  1308.08        2500.00                 NaN   87.4621        1.59708        1.15500                 NaN  0.125355        1.66398        7.99646                 NaN            NaN            NaN            NaN
  1306.99        2500.00                 NaN   88.3696        1.49206        1.06411                 NaN  0.115000        1.54332        7.41592                 NaN            NaN            NaN            NaN
  1305.89        2500.00                 NaN   89.1340        1.40928       0.982009                 NaN  0.106169        1.44175        6.92681                 NaN            NaN            NaN            NaN
  1304.80        2500.00                 NaN   89.7787       0.916533        1.33370                 NaN  0.990196E-001   1.35576        6.51628                 NaN            NaN            NaN            NaN
  1303.71        2500.00                 NaN   90.3253       0.854790        1.27632                 NaN  0.928080E-001   1.28308        6.16773                 NaN            NaN            NaN            NaN
  1302.62        2500.00                 NaN   90.7932        1.22955       0.800005                 NaN  0.872958E-001   1.22083        5.86914                 NaN            NaN            NaN            NaN
  1301.52        2500.00                 NaN   91.1882       0.744658        1.19831                 NaN  0.826837E-001   1.16812        5.61802                 NaN            NaN            NaN            NaN
  1300.43        2500.00                 NaN   91.5376        1.17850       0.687580                 NaN  0.785103E-001   1.12134        5.39647                 NaN            NaN            NaN            NaN
  1299.34        2500.00                 NaN   91.8267        1.18991       0.611696                 NaN  0.751475E-001   1.08255        5.21401                 NaN            NaN            NaN            NaN
  1298.25        2500.00                 NaN   92.0757        1.30050       0.444078                 NaN  0.723642E-001   1.04876        5.05863                 NaN            NaN            NaN            NaN
  1297.15        2500.00                 NaN   92.2882        1.69685                 NaN            NaN  0.696139E-001   1.02002        4.92529                 NaN            NaN            NaN            NaN
  1296.06        2500.00                 NaN   92.4606        1.65635                 NaN            NaN  0.674172E-001  0.996224        4.81939                 NaN            NaN            NaN            NaN
  1294.97        2500.00                 NaN   92.6065        1.61986                 NaN            NaN  0.657928E-001  0.975195        4.73261                 NaN            NaN            NaN            NaN
  1293.88        2500.00                 NaN   92.7230        1.58861                 NaN            NaN  0.646339E-001  0.957688        4.66604                 NaN            NaN            NaN            NaN
  1292.78        2500.00                 NaN   92.8044        1.56655                 NaN            NaN  0.634664E-001  0.945124        4.62045                 NaN            NaN            NaN            NaN
  1291.69        2500.00                 NaN   92.8685        1.54541                 NaN            NaN  0.629364E-001  0.933966        4.58917                 NaN            NaN            NaN            NaN
  1290.60        2500.00                 NaN   89.2037        2.14589                 NaN            NaN  0.791870E-001   1.36719        7.05534                 NaN  0.148648                 NaN            NaN
  1289.51        2500.00                 NaN   80.9513        3.45539                 NaN            NaN  0.133380        2.32131        12.7179                 NaN  0.420719                 NaN            NaN
  1288.42        2500.00                 NaN   61.5218       0.285145        6.44451                 NaN  0.283788        4.56003        26.0565                 NaN  0.848153                 NaN            NaN
  1287.32        2500.00                 NaN   54.2530        7.67691                 NaN            NaN  0.377495        5.31760        31.3438                 NaN   1.03124                 NaN            NaN
  1286.23        2500.00                 NaN   66.7086        4.98537       0.569887                 NaN  0.283313        3.89955        22.8014                 NaN  0.751938                 NaN            NaN
  1285.14        2500.00                 NaN   86.9176        2.19335                 NaN            NaN  0.120458        1.50515        8.95713                 NaN  0.306322                 NaN            NaN
  1284.05        2500.00                 NaN   85.3323        2.46881                 NaN            NaN  0.140566        1.76049        9.94046                 NaN  0.357428                 NaN            NaN
  1282.95        2500.00                 NaN   89.9562        1.55109                 NaN            NaN  0.959593E-001   1.10059        7.06698                 NaN  0.229195                 NaN            NaN
  1281.86        2500.00                 NaN   90.8816        1.48861                 NaN            NaN  0.897953E-001   1.06154        6.25735                 NaN  0.221096                 NaN            NaN
  1280.77        2500.00                 NaN   96.7487       0.513697                 NaN            NaN  0.381190E-001  0.408170        2.20063                 NaN  0.907186E-001            NaN            NaN
  1279.68        2500.00                 NaN   88.9889        1.80198                 NaN            NaN  0.106835        1.24532        7.59368                 NaN  0.263337                 NaN            NaN
  1278.58        2500.00                 NaN   93.7501        1.02687                 NaN            NaN  0.632594E-001  0.730400        4.27381                 NaN  0.155566                 NaN            NaN
  1277.49        2500.00                 NaN   94.7139       0.872034                 NaN            NaN  0.540696E-001  0.619315        3.60763                 NaN  0.133034                 NaN            NaN
  1276.40        2500.00                 NaN   97.2373       0.375152                 NaN  0.103145       0.130450E-001  0.326755        1.87195                 NaN  0.726988E-001            NaN            NaN
  1275.31        2500.00                 NaN   84.0348        2.12198                 NaN  0.622271       0.804936E-001   1.90915        10.8151                 NaN  0.416258                 NaN            NaN
  1274.21        2500.00                 NaN  100.0000       0.170229E-005            NaN            NaN            NaN            NaN  0.177945E-005            NaN            NaN            NaN            NaN
  1273.12        2500.00                 NaN  100.0000       0.103734E-004            NaN            NaN  0.152899E-005  0.672073E-005  0.266634E-004            NaN            NaN            NaN            NaN
  1272.03        2500.00       0.108891E-005   99.9999       0.684856E-005            NaN            NaN            NaN  0.444575E-005  0.377102E-004            NaN  0.206885E-005            NaN            NaN
  1270.94        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.125521E-005  0.135851E-004            NaN  0.747346E-006  0.400220E-005            NaN
  1269.84        2500.00                 NaN   90.0713        1.36078                 NaN  0.406001       0.472072E-001   1.19131        6.65887                 NaN  0.264575                 NaN            NaN
  1268.75        2500.00                 NaN   96.9624       0.404902                 NaN  0.138796       0.109771E-001  0.361099        2.03996                 NaN  0.818928E-001            NaN            NaN
  1267.66        2500.00                 NaN   95.6842       0.533030                 NaN  0.134830       0.291779E-001  0.525790        2.97633                 NaN  0.116676                 NaN            NaN
  1266.57        2500.00                 NaN  100.0000       0.263332E-005            NaN  0.158789E-005            NaN  0.223688E-005  0.947414E-005            NaN            NaN            NaN            NaN
  1265.47        2500.00                 NaN   95.6817       0.650778                 NaN  0.258994       0.181110E-002  0.506086        2.78116                 NaN  0.119424                 NaN            NaN
  1264.38        2500.00                 NaN   96.9168       0.424972                 NaN  0.143172       0.105858E-001  0.368024        2.05150                 NaN  0.849575E-001            NaN            NaN
  1263.29        2500.00                 NaN   99.9999       0.181379E-004            NaN  0.901614E-005            NaN  0.170122E-004  0.848700E-004            NaN  0.367454E-005            NaN            NaN
  1262.20        2500.00                 NaN   99.9997       0.334153E-004            NaN  0.215142E-004            NaN  0.351163E-004  0.787683E-004  0.119244E-003  0.823660E-005            NaN            NaN
  1261.10        2500.00                 NaN   93.2896       0.938448                 NaN  0.313959       0.227145E-001  0.799727        4.45052                 NaN  0.185051                 NaN            NaN
  1260.01        2500.00                 NaN   97.3421       0.363972                 NaN  0.113117       0.108244E-001  0.316803        1.77939                 NaN  0.737994E-001            NaN            NaN
  1258.92        2500.00                 NaN   98.0900       0.277630                 NaN  0.102429       0.362751E-002  0.224579        1.24953                 NaN  0.522204E-001            NaN            NaN
  1257.83        2500.00                 NaN   97.5505       0.406518                 NaN  0.135022E-001  0.433784E-001  0.303838        1.63069                 NaN  0.515693E-001            NaN            NaN
  1256.73        2500.00                 NaN   97.6634       0.409190                 NaN            NaN  0.415725E-001  0.289944        1.55377                 NaN  0.421226E-001            NaN            NaN
  1255.64        2500.00                 NaN   88.4200        1.69864                 NaN  0.364859                 NaN   1.00171        6.32289                 NaN  0.223661        1.96819                 NaN
  1254.55        2500.00                 NaN            NaN   14.3670                 NaN   2.94957                 NaN   8.21824        47.9870                 NaN   1.77797        17.0035        7.69666     
  1253.46        2500.00                 NaN            NaN   14.3668                 NaN   2.94995                 NaN   8.21829        48.0126                 NaN   1.77803        17.0144        7.65994     
  1252.36        2500.00                 NaN            NaN   14.3670                 NaN   2.94999                 NaN   8.21855        48.0377                 NaN   1.77806        17.0255        7.62318     
  1251.27        2500.00                 NaN            NaN   14.3673                 NaN   2.95003                 NaN   8.21882        48.0629                 NaN   1.77809        17.0367        7.58625     
  1250.18        2500.00                 NaN            NaN   14.3675                 NaN   2.95006                 NaN   8.21908        48.0882                 NaN   1.77813        17.0479        7.54907     
  1249.09        2500.00                 NaN            NaN   14.3677                 NaN   2.95010                 NaN   8.21935        48.1137                 NaN   1.77816        17.0593        7.51167     
  1247.99        2500.00                 NaN            NaN   14.3679                 NaN   2.95014                 NaN   8.21962        48.1393                 NaN   1.77819        17.0707        7.47411     
  1246.90        2500.00                 NaN            NaN   14.3682                 NaN   2.95018                 NaN   8.21988        48.1650                 NaN   1.77822        17.0821        7.43637     
  1245.81        2500.00                 NaN            NaN   14.3684                 NaN   2.95021                 NaN   8.22015        48.1909                 NaN   1.77825        17.0936        7.39847     
  1244.72        2500.00                 NaN            NaN   14.3686                 NaN   2.95025                 NaN   8.22041        48.2168                 NaN   1.77829        17.1052        7.36039     
  1243.62        2500.00                 NaN            NaN   14.3689                 NaN   2.95029                 NaN   8.22068        48.2429                 NaN   1.77832        17.1168        7.32214     
  1242.53        2500.00                 NaN            NaN   14.3691                 NaN   2.95033                 NaN   8.22095        48.2691                 NaN   1.77835        17.1285        7.28373     
  1241.44        2500.00                 NaN            NaN   14.3693                 NaN   2.95036                 NaN   8.22122        48.2954                 NaN   1.77838        17.1402        7.24503     
  1240.35        2500.00                 NaN            NaN   14.3696                 NaN   2.95040                 NaN   8.22148        48.3220                 NaN   1.77842        17.1521        7.20611     
  1239.25        2500.00                 NaN            NaN   14.3698                 NaN   2.95044                 NaN   8.22175        48.3486                 NaN   1.77845        17.1640        7.16701     
  1238.16        2500.00                 NaN            NaN   14.0102                 NaN   3.10075                 NaN   8.37415        48.5245                 NaN   1.80296        17.1677        7.01974     
  1237.07        2500.00                 NaN            NaN   14.0104                 NaN   3.10080                 NaN   8.37443        48.5515                 NaN   1.80299        17.1798        6.98015     
  1235.98        2500.00                 NaN            NaN   14.0106                 NaN   3.10084                 NaN   8.37470        48.5785                 NaN   1.80303        17.1919        6.94040     
  1234.88        2500.00                 NaN            NaN   14.0109                 NaN   3.10088                 NaN   8.37497        48.6057                 NaN   1.80306        17.2040        6.90046     
  1233.79        2500.00                 NaN            NaN   14.0111                 NaN   3.10092                 NaN   8.37525        48.6331                 NaN   1.80309        17.2162        6.86033     
  1232.70        2500.00                 NaN            NaN   14.0113                 NaN   3.10096                 NaN   8.37552        48.6606                 NaN   1.80312        17.2285        6.81994     
  1231.61        2500.00                 NaN            NaN   14.0116                 NaN   3.10100                 NaN   8.37579        48.6883                 NaN   1.80316        17.2409        6.77927     
  1230.51        2500.00                 NaN            NaN   14.0118                 NaN   3.10104                 NaN   8.37607        48.7161                 NaN   1.80319        17.2534        6.73843     
  1229.42        2500.00                 NaN            NaN   14.0120                 NaN   3.10108                 NaN   8.37634        48.7441                 NaN   1.80322        17.2659        6.69739     
  1228.33        2500.00                 NaN            NaN   14.0122                 NaN   3.10112                 NaN   8.37661        48.7721                 NaN   1.80326        17.2784        6.65617     
  1227.24        2500.00                 NaN            NaN   14.0125                 NaN   3.10116                 NaN   8.37689        48.8003                 NaN   1.80329        17.2911        6.61475     
