|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          iron           an             San(TH)        San(TH)        ilm            ne             lc            
  1287.32        2500.00                 NaN   52.6704        9.62734                 NaN            NaN   1.06856        5.41087        29.4264                 NaN   1.79637                 NaN            NaN
  1286.23        2500.00                 NaN   65.2687        6.29557       0.717144                 NaN  0.809059        4.00291        21.5852                 NaN   1.32140                 NaN            NaN
  1285.14        2500.00                 NaN   86.1459        2.79639                 NaN            NaN  0.348678        1.56605        8.59732                 NaN  0.545637                 NaN            NaN
  1284.05        2500.00                 NaN   84.4450        3.14521                 NaN            NaN  0.406754        1.83109        9.53550                 NaN  0.636457                 NaN            NaN
  1282.95        2500.00                 NaN   89.3753        1.97814                 NaN            NaN  0.278850        1.14953        6.80831                 NaN  0.409835                 NaN            NaN
  1281.86        2500.00                 NaN   90.3032        1.89867                 NaN            NaN  0.261142        1.10958        6.03172                 NaN  0.395658                 NaN            NaN
  1280.77        2500.00                 NaN   96.5109       0.655924                 NaN            NaN  0.111344       0.428501        2.13028                 NaN  0.163053                 NaN            NaN
  1279.68        2500.00                 NaN   88.3045        2.29272                 NaN            NaN  0.310682        1.30154        7.31932                 NaN  0.471215                 NaN            NaN
  1278.58        2500.00                 NaN   93.3251        1.31038                 NaN            NaN  0.184668       0.766281        4.13416                 NaN  0.279432                 NaN            NaN
  1277.49        2500.00                 NaN   94.3444        1.11322                 NaN            NaN  0.158039       0.650534        3.49455                 NaN  0.239256                 NaN            NaN
  1276.40        2500.00                 NaN   97.0431       0.478119                 NaN  0.151025       0.382149E-001  0.343989        1.81448                 NaN  0.131038                 NaN            NaN
  1275.31        2500.00                 NaN   83.0140        2.68423                 NaN  0.904342       0.234048        1.99482        10.4238                 NaN  0.744702                 NaN            NaN
  1274.21        2500.00                 NaN  100.0000       0.217588E-005            NaN            NaN            NaN            NaN  0.173368E-005            NaN            NaN            NaN            NaN
  1273.12        2500.00                 NaN   99.9999       0.132896E-004            NaN            NaN  0.450037E-005  0.710818E-005  0.260018E-004            NaN            NaN            NaN            NaN
  1272.03        2500.00       0.178285E-005   99.9999       0.873425E-005            NaN            NaN            NaN  0.470187E-005  0.367486E-004            NaN  0.374651E-005            NaN            NaN
  1270.94        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN  0.132748E-005  0.132507E-004            NaN  0.135335E-005  0.383973E-005            NaN
  1269.84        2500.00                 NaN   89.3538        1.72855                 NaN  0.591542       0.138128        1.25243        6.45931                 NaN  0.476283                 NaN            NaN
  1268.75        2500.00                 NaN   96.7265       0.517522                 NaN  0.203343       0.323185E-001  0.381975        1.98998                 NaN  0.148336                 NaN            NaN
  1267.66        2500.00                 NaN   95.3657       0.681299                 NaN  0.197392       0.858985E-001  0.556130        2.90228                 NaN  0.211321                 NaN            NaN
  1266.57        2500.00                 NaN  100.0000       0.336824E-005            NaN  0.233210E-005            NaN  0.237377E-005  0.927044E-005            NaN            NaN            NaN            NaN
  1265.47        2500.00                 NaN   95.3187       0.830750                 NaN  0.378992       0.533552E-002  0.535632        2.71412                 NaN  0.216444                 NaN            NaN
  1264.38        2500.00                 NaN   96.6659       0.543203                 NaN  0.209689       0.312473E-001  0.390265        2.00542                 NaN  0.154277                 NaN            NaN
  1263.29        2500.00                 NaN   99.9999       0.232437E-004            NaN  0.132455E-004            NaN  0.180864E-004  0.832174E-004            NaN  0.668990E-005            NaN            NaN
  1262.20        2500.00                 NaN   99.9997       0.427687E-004            NaN  0.315764E-004            NaN  0.373324E-004  0.772232E-004  0.116799E-003  0.149953E-004            NaN            NaN
  1261.10        2500.00                 NaN   92.7504        1.19652                 NaN  0.458657       0.669541E-001  0.846782        4.34510                 NaN  0.335551                 NaN            NaN
  1260.01        2500.00                 NaN   97.1205       0.465670                 NaN  0.165773       0.320413E-001  0.336851        1.74482                 NaN  0.134383                 NaN            NaN
  1258.92        2500.00                 NaN   97.9230       0.355628                 NaN  0.150278       0.107498E-001  0.239053        1.22607                 NaN  0.951948E-001            NaN            NaN
  1257.83        2500.00                 NaN   97.3136       0.520351                 NaN  0.197636E-001  0.128576       0.323481        1.60023                 NaN  0.940269E-001            NaN            NaN
  1256.73        2500.00                 NaN   97.4399       0.523720                 NaN            NaN  0.123346       0.308985        1.52715                 NaN  0.768776E-001            NaN            NaN
  1255.64        2500.00                 NaN   87.7619        2.16215                 NaN  0.531439                 NaN   1.06250        6.18052                 NaN  0.406297        1.89521                 NaN
  1254.55        2500.00                 NaN            NaN   17.4375                 NaN   4.08682                 NaN   8.30443        44.6821                 NaN   3.07700        15.5990        6.81315     
  1253.46        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.7044                 NaN   3.07705        15.6092        6.78089     
  1252.36        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.7262                 NaN   3.07705        15.6197        6.74859     
  1251.27        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.7481                 NaN   3.07705        15.6303        6.71614     
  1250.18        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.7702                 NaN   3.07705        15.6409        6.68346     
  1249.09        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.7923                 NaN   3.07705        15.6516        6.65059     
  1247.99        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.8146                 NaN   3.07705        15.6623        6.61756     
  1246.90        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.8370                 NaN   3.07705        15.6731        6.58438     
  1245.81        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.8595                 NaN   3.07705        15.6840        6.55105     
  1244.72        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.8821                 NaN   3.07705        15.6949        6.51756     
  1243.62        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.9048                 NaN   3.07705        15.7058        6.48392     
  1242.53        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.9276                 NaN   3.07705        15.7168        6.45013     
  1241.44        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.9505                 NaN   3.07705        15.7279        6.41608     
  1240.35        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.9736                 NaN   3.07705        15.7390        6.38183     
  1239.25        2500.00                 NaN            NaN   17.4371                 NaN   4.08717                 NaN   8.30421        44.9968                 NaN   3.07705        15.7502        6.34742     
  1238.16        2500.00                 NaN            NaN   16.9466                 NaN   4.31785                 NaN   8.46089        45.1751                 NaN   3.12052        15.7596        6.21942     
  1237.07        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.1986                 NaN   3.12052        15.7710        6.18456     
  1235.98        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.2222                 NaN   3.12052        15.7824        6.14955     
  1234.88        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.2460                 NaN   3.12052        15.7938        6.11436     
  1233.79        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.2698                 NaN   3.12052        15.8053        6.07901     
  1232.70        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.2938                 NaN   3.12052        15.8169        6.04342     
  1231.61        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.3180                 NaN   3.12052        15.8286        6.00759     
  1230.51        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.3423                 NaN   3.12052        15.8403        5.97159     
  1229.42        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.3667                 NaN   3.12052        15.8521        5.93542     
  1228.33        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.3912                 NaN   3.12052        15.8639        5.89907     
  1227.24        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.4158                 NaN   3.12052        15.8758        5.86256     
  1226.14        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.4406                 NaN   3.12052        15.8877        5.82586     
  1225.05        2500.00                 NaN            NaN   16.9466                 NaN   4.31786                 NaN   8.46089        45.4654                 NaN   3.12052        15.8997        5.78900     
