|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           Ni             iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1887.22        500.000        99.5235                 NaN            NaN            NaN  0.476484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.3962                 NaN            NaN  0.294596E-001  0.574321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4113                 NaN            NaN            NaN  0.588664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4183                 NaN            NaN            NaN  0.581682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4187                 NaN            NaN            NaN  0.581316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4198                 NaN            NaN            NaN  0.580167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4244                 NaN            NaN            NaN  0.575646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4254                 NaN            NaN            NaN  0.574600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4300                 NaN            NaN            NaN  0.569985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4316                 NaN            NaN            NaN  0.568370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4338                 NaN            NaN            NaN  0.566151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4360                 NaN            NaN            NaN  0.563992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4383                 NaN            NaN            NaN  0.561725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.0217                 NaN            NaN  0.135461E-001  0.948788       0.159280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.8406                 NaN            NaN            NaN  0.159355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4330                 NaN            NaN            NaN  0.555401       0.115498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4476                 NaN            NaN            NaN  0.551472       0.881633E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.8529                 NaN            NaN  0.266935E-001  0.510798E-001  0.693257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        98.9743                 NaN            NaN            NaN   1.02568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4501                 NaN            NaN            NaN  0.549871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5749                 NaN            NaN            NaN  0.425135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.3219                 NaN            NaN            NaN  0.667336       0.107528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4400                 NaN            NaN            NaN  0.543867       0.161666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4407                 NaN            NaN            NaN  0.543161       0.161344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4391                 NaN            NaN            NaN  0.544747       0.161623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.7937                 NaN            NaN            NaN  0.198327       0.802221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.0937                 NaN            NaN            NaN  0.882346       0.239782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4324                 NaN            NaN            NaN  0.551190       0.164237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4562                 NaN            NaN            NaN  0.528480       0.153519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4455                 NaN            NaN            NaN  0.538637       0.158719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4408                 NaN            NaN            NaN  0.543198       0.160211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4523                 NaN            NaN            NaN  0.532185       0.155445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4468                 NaN            NaN            NaN  0.537483       0.157107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4460                 NaN            NaN            NaN  0.538256       0.157022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4454                 NaN            NaN            NaN  0.538877       0.157135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4494                 NaN            NaN            NaN  0.535091       0.154954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4479                 NaN            NaN            NaN  0.536550       0.155196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4424                 NaN            NaN            NaN  0.541892       0.157357E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4534                 NaN            NaN            NaN  0.531414       0.152238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3646                 NaN            NaN            NaN  0.617621       0.177573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.6460                 NaN            NaN            NaN  0.344124       0.991616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.8217                 NaN            NaN            NaN  0.173058       0.520641E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        98.9492                 NaN            NaN            NaN   1.02228       0.284966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4434                 NaN            NaN            NaN  0.541308       0.152796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5597                 NaN            NaN            NaN  0.428212       0.120578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3254                 NaN            NaN            NaN  0.656156       0.183978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4406                 NaN            NaN            NaN  0.544156       0.152484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4446                 NaN            NaN            NaN  0.540471       0.149646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4400                 NaN            NaN            NaN  0.544911       0.150656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4388                 NaN            NaN            NaN  0.546145       0.150190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        98.7786                 NaN            NaN            NaN   1.18870       0.326582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5376                 NaN            NaN            NaN  0.450255       0.121565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4335                 NaN            NaN            NaN  0.551611       0.149026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.0204                 NaN            NaN            NaN  0.953963       0.255981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.8434                 NaN            NaN            NaN  0.152523       0.403828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4286                 NaN            NaN            NaN  0.556574       0.147954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4254                 NaN            NaN            NaN  0.559754       0.147998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4254                 NaN            NaN            NaN  0.559914       0.147026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4238                 NaN            NaN            NaN  0.561485       0.146898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4214                 NaN            NaN            NaN  0.563975       0.146716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4190                 NaN            NaN            NaN  0.566302       0.146482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4175                 NaN            NaN            NaN  0.567881       0.146160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4150                 NaN            NaN            NaN  0.570428       0.145912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4132                 NaN            NaN            NaN  0.572236       0.145565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4115                 NaN            NaN            NaN  0.574015       0.145242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4091                 NaN            NaN            NaN  0.576424       0.145177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4083                 NaN            NaN            NaN  0.577298       0.144481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4480                 NaN            NaN            NaN  0.538562       0.134009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3584                 NaN            NaN            NaN  0.626076       0.155143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4019                 NaN            NaN            NaN  0.583789       0.143610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3982                 NaN            NaN            NaN  0.587381       0.143835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3954                 NaN            NaN            NaN  0.590277       0.143706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3957                 NaN            NaN            NaN  0.590033       0.142884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3924                 NaN            NaN            NaN  0.593302       0.142746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3900                 NaN            NaN            NaN  0.595683       0.142672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3883                 NaN            NaN            NaN  0.597512       0.142307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3828                 NaN            NaN            NaN  0.602945       0.142951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3870                 NaN            NaN            NaN  0.598855       0.141043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3818                 NaN            NaN            NaN  0.604069       0.141781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3800                 NaN            NaN            NaN  0.605883       0.141496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3775                 NaN            NaN            NaN  0.608395       0.141495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3760                 NaN            NaN            NaN  0.609852       0.141104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3751                 NaN            NaN            NaN  0.610848       0.140727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3737                 NaN            NaN            NaN  0.612269       0.140264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3670                 NaN            NaN            NaN  0.618881       0.141241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3740                 NaN            NaN            NaN  0.612149       0.138918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3673                 NaN            NaN            NaN  0.618742       0.139918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2991                 NaN            NaN            NaN  0.684857       0.160176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4306                 NaN            NaN            NaN  0.557589       0.117959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3659                 NaN            NaN            NaN  0.620180       0.138771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.8029                 NaN            NaN            NaN   1.17119       0.259027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.9037                 NaN            NaN            NaN  0.942303E-001  0.208576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3807                 NaN            NaN            NaN  0.605849       0.134262E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3610                 NaN            NaN            NaN  0.625144       0.138129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3563                 NaN            NaN            NaN  0.629802       0.138954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3650                 NaN            NaN            NaN  0.621334       0.136445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3597                 NaN            NaN            NaN  0.626573       0.137335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3543                 NaN            NaN            NaN  0.631875       0.138468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3658                 NaN            NaN            NaN  0.620648       0.135519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3504                 NaN            NaN            NaN  0.635771       0.138564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3689                 NaN            NaN            NaN  0.617660       0.134362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3605                 NaN            NaN            NaN  0.625916       0.135979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3608                 NaN            NaN            NaN  0.625587       0.135803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3622                 NaN            NaN            NaN  0.624283       0.135225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.5761                 NaN            NaN            NaN  0.414890       0.901936E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.1356                 NaN            NaN            NaN  0.846072       0.183377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3788                 NaN            NaN            NaN  0.608137       0.131043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3665                 NaN            NaN            NaN  0.620087       0.133944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3673                 NaN            NaN            NaN  0.619300       0.133733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3678                 NaN            NaN            NaN  0.618823       0.133790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.3712                 NaN            NaN            NaN  0.615537       0.132822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3729                 NaN            NaN            NaN  0.613875       0.132565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3743                 NaN            NaN            NaN  0.612447       0.132281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.0506                 NaN            NaN            NaN  0.413201       0.290051E-002  0.533253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4827                 NaN            NaN            NaN  0.666561E-001            NaN   1.45065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.5113                 NaN            NaN            NaN  0.625613E-001            NaN   1.42612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3644                 NaN            NaN            NaN  0.903300E-001  0.591775E-002   1.53937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.7752                 NaN            NaN            NaN  0.611618E-001            NaN   1.16368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.5884                 NaN            NaN            NaN  0.569158E-001            NaN   1.35471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6112                 NaN            NaN            NaN  0.536278E-001            NaN   1.33519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6433                 NaN            NaN            NaN  0.497056E-001            NaN   1.30700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.6378                 NaN            NaN            NaN  0.368570E-001            NaN   1.32538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6982                 NaN            NaN            NaN  0.457585E-001            NaN   1.25601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7055                 NaN            NaN            NaN  0.402747E-001            NaN   1.25423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7273                 NaN            NaN            NaN  0.418612E-001            NaN   1.23083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7469                 NaN            NaN            NaN  0.390440E-001            NaN   1.21408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7653                 NaN            NaN            NaN  0.353340E-001            NaN   1.19935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7901                 NaN            NaN            NaN  0.336794E-001            NaN   1.17621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.2201                 NaN            NaN            NaN  0.201686E-001            NaN  0.759775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.4069                 NaN            NaN            NaN  0.375264E-001            NaN   1.55557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8428                 NaN            NaN            NaN  0.280608E-001            NaN   1.12918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8580                 NaN            NaN            NaN  0.242963E-001            NaN   1.11771                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8744                 NaN            NaN            NaN  0.200705E-001            NaN   1.10548                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8903                 NaN            NaN            NaN  0.177004E-001            NaN   1.09198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9071                 NaN            NaN            NaN  0.160611E-001            NaN   1.07680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9210                 NaN            NaN            NaN  0.130267E-001            NaN   1.06600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9377                 NaN            NaN            NaN  0.123147E-001            NaN   1.05003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9551                 NaN            NaN            NaN  0.174606E-001            NaN   1.02739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9649                 NaN            NaN            NaN  0.353938E-003            NaN   1.03478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9816                 NaN            NaN            NaN  0.666480E-002            NaN   1.01175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
