|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/LAR/LAR_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q             
  1364.49        500.000        99.1845       0.289195       0.174772                 NaN  0.240092       0.111449                 NaN            NaN            NaN            NaN
  1363.49        500.000        99.1919       0.287890       0.170696                 NaN  0.237963       0.111575                 NaN            NaN            NaN            NaN
  1362.48        500.000        99.1989       0.166219       0.286724                 NaN  0.236052       0.112140                 NaN            NaN            NaN            NaN
  1361.48        500.000        99.2067       0.164953       0.283606                 NaN  0.233515       0.111225                 NaN            NaN            NaN            NaN
  1360.48        500.000        99.2139       0.282440       0.159948                 NaN  0.231554       0.112178                 NaN            NaN            NaN            NaN
  1359.47        500.000        99.2206       0.157206       0.280631                 NaN  0.229554       0.112056                 NaN            NaN            NaN            NaN
  1358.47        500.000        99.2275       0.278858       0.153990                 NaN  0.227491       0.112115                 NaN            NaN            NaN            NaN
  1357.46        500.000        99.2341       0.277055       0.151305                 NaN  0.225538       0.112025                 NaN            NaN            NaN            NaN
  1356.46        500.000        99.2405       0.148365       0.275346                 NaN  0.223662       0.112115                 NaN            NaN            NaN            NaN
  1355.46        500.000        99.2473       0.274096       0.144312                 NaN  0.221718       0.112568                 NaN            NaN            NaN            NaN
  1354.45        500.000        99.2541       0.143157       0.271703                 NaN  0.219569       0.111503                 NaN            NaN            NaN            NaN
  1353.45        500.000        99.2616       0.139004       0.269905                 NaN  0.217422       0.112099                 NaN            NaN            NaN            NaN
  1352.44        500.000        99.2678       0.136138       0.268449                 NaN  0.215616       0.112007                 NaN            NaN            NaN            NaN
  1351.44        500.000        99.2735       0.267106       0.133464                 NaN  0.213831       0.112112                 NaN            NaN            NaN            NaN
  1350.43        500.000        99.2789       0.130997       0.265532                 NaN  0.212433       0.112110                 NaN            NaN            NaN            NaN
  1349.43        500.000        99.2865       0.263188       0.129722                 NaN  0.209770       0.110866                 NaN            NaN            NaN            NaN
  1348.43        500.000        99.2919       0.126030       0.262008                 NaN  0.208399       0.111702                 NaN            NaN            NaN            NaN
  1347.42        500.000        99.2973       0.260573       0.123731                 NaN  0.206770       0.111632                 NaN            NaN            NaN            NaN
  1346.42        500.000        99.3043       0.258664       0.121751                 NaN  0.204531       0.110786                 NaN            NaN            NaN            NaN
  1345.41        500.000        99.3096       0.257674       0.118637                 NaN  0.203018       0.111118                 NaN            NaN            NaN            NaN
  1344.41        500.000        99.3144       0.132827       0.250997                 NaN  0.200342       0.101480                 NaN            NaN            NaN            NaN
  1343.41        500.000        99.3219       0.258625       0.100313                 NaN  0.200264       0.118858                 NaN            NaN            NaN            NaN
  1342.40        500.000        99.3254       0.112733       0.253527                 NaN  0.198150       0.110198                 NaN            NaN            NaN            NaN
  1341.40        500.000        99.3323       0.250778       0.111822                 NaN  0.195946       0.109111                 NaN            NaN            NaN            NaN
  1340.39        500.000        99.3367       0.249709       0.110063                 NaN  0.194566       0.108956                 NaN            NaN            NaN            NaN
  1339.39        500.000        99.3356       0.248439       0.108856                 NaN  0.196019       0.111042                 NaN            NaN            NaN            NaN
  1338.39        500.000        99.3563       0.245293       0.104309                 NaN  0.187768       0.106352                 NaN            NaN            NaN            NaN
  1337.38        500.000        99.3503       0.245957       0.105345                 NaN  0.190274       0.108080                 NaN            NaN            NaN            NaN
  1336.38        500.000        99.3593       0.103430       0.242973                 NaN  0.187481       0.106775                 NaN            NaN            NaN            NaN
  1335.37        500.000        99.3641       0.100198       0.242019                 NaN  0.186290       0.107429                 NaN            NaN            NaN            NaN
  1334.37        500.000        99.3687       0.240428       0.994414E-001            NaN  0.184766       0.106649                 NaN            NaN            NaN            NaN
  1333.36        500.000        99.3737       0.971549E-001  0.239525                 NaN  0.183210       0.106391                 NaN            NaN            NaN            NaN
  1332.36        500.000        99.3783       0.237784       0.965710E-001            NaN  0.181771       0.105553                 NaN            NaN            NaN            NaN
  1331.36        500.000        99.3831       0.236418       0.955204E-001            NaN  0.180144       0.104843                 NaN            NaN            NaN            NaN
  1330.35        500.000        99.3841       0.232428       0.102060                 NaN  0.179657       0.101748                 NaN            NaN            NaN            NaN
  1329.35        500.000        99.3981       0.825678E-001  0.235468                 NaN  0.176050       0.107778                 NaN            NaN            NaN            NaN
  1328.34        500.000        99.3971       0.231986       0.925860E-001            NaN  0.175648       0.102656                 NaN            NaN            NaN            NaN
  1327.34        500.000        99.4020       0.230435       0.910409E-001            NaN  0.174189       0.102352                 NaN            NaN            NaN            NaN
  1326.34        500.000        99.4070       0.251745       0.995677E-002            NaN  0.178920       0.152419                 NaN            NaN            NaN            NaN
  1325.33        500.000        99.4101       0.170088       0.204518                 NaN  0.165362       0.498948E-001            NaN            NaN            NaN            NaN
  1324.33        500.000        99.4155       0.880577E-001  0.226216                 NaN  0.169883       0.100320                 NaN            NaN            NaN            NaN
  1323.32        500.000        99.4197       0.871964E-001  0.225008                 NaN  0.168543       0.995933E-001            NaN            NaN            NaN            NaN
  1322.32        500.000        99.4237       0.877831E-001  0.222991                 NaN  0.167154       0.983480E-001            NaN            NaN            NaN            NaN
  1321.32        500.000        99.4278       0.864757E-001  0.221922                 NaN  0.165876       0.979396E-001            NaN            NaN            NaN            NaN
  1320.31        500.000        99.4322       0.866152E-001  0.219868                 NaN  0.164486       0.968393E-001            NaN            NaN            NaN            NaN
  1319.31        500.000        99.5668       0.169172       0.644986E-001            NaN  0.125574       0.739980E-001            NaN            NaN            NaN            NaN
  1318.30        500.000        99.3063       0.268135       0.109761                 NaN  0.199891       0.115871                 NaN            NaN            NaN            NaN
  1317.30        500.000        99.4446       0.215649       0.852223E-001            NaN  0.160384       0.941254E-001            NaN            NaN            NaN            NaN
  1316.29        500.000        99.4482       0.855442E-001  0.213957                 NaN  0.159166       0.930991E-001            NaN            NaN            NaN            NaN
  1315.29        500.000        99.4574       0.235316       0.206991E-001            NaN  0.159986       0.126593                 NaN            NaN            NaN            NaN
  1314.29        500.000        99.4509       0.188518       0.149035                 NaN  0.154526       0.570216E-001            NaN            NaN            NaN            NaN
  1313.28        500.000        99.4602       0.209914       0.839923E-001            NaN  0.155285       0.905652E-001            NaN            NaN            NaN            NaN
  1312.28        500.000        99.4638       0.207822       0.849564E-001            NaN  0.154112       0.893460E-001            NaN            NaN            NaN            NaN
  1311.27        500.000        99.4672       0.847424E-001  0.206866                 NaN  0.152892       0.882533E-001            NaN            NaN            NaN            NaN
  1310.27        500.000        99.4711       0.850523E-001  0.204742                 NaN  0.151726       0.874176E-001            NaN            NaN            NaN            NaN
  1309.27        500.000        99.4750       0.850540E-001  0.203429                 NaN  0.150330       0.861534E-001            NaN            NaN            NaN            NaN
  1308.26        500.000        99.4777       0.201796       0.853186E-001            NaN  0.149633       0.855320E-001            NaN            NaN            NaN            NaN
  1307.26        500.000        99.4824       0.200495       0.856131E-001            NaN  0.147808       0.837048E-001            NaN            NaN            NaN            NaN
  1306.25        500.000        99.4855       0.199461       0.847404E-001            NaN  0.146893       0.833615E-001            NaN            NaN            NaN            NaN
  1305.25        500.000        99.4889       0.196313       0.886083E-001            NaN  0.145541       0.806201E-001            NaN            NaN            NaN            NaN
  1304.25        500.000        99.4912       0.195656       0.882188E-001            NaN  0.144812       0.800907E-001            NaN            NaN            NaN            NaN
  1303.24        500.000        99.4954       0.193966       0.882009E-001            NaN  0.143442       0.789478E-001            NaN            NaN            NaN            NaN
  1302.24        500.000        99.4975       0.896745E-001  0.192401                 NaN  0.142723       0.777187E-001            NaN            NaN            NaN            NaN
  1301.23        500.000        99.5017       0.903137E-001  0.190794                 NaN  0.141223       0.760095E-001            NaN            NaN            NaN            NaN
  1300.23        500.000        99.5049       0.188980       0.909884E-001            NaN  0.140176       0.749651E-001            NaN            NaN            NaN            NaN
  1299.22        500.000        99.5085       0.186983       0.913704E-001            NaN  0.139109       0.740431E-001            NaN            NaN            NaN            NaN
  1298.22        500.000        99.5115       0.185615       0.921104E-001            NaN  0.138058       0.727601E-001            NaN            NaN            NaN            NaN
  1297.22        500.000        99.5144       0.184260       0.927944E-001            NaN  0.137041       0.715273E-001            NaN            NaN            NaN            NaN
  1296.21        500.000        99.5172       0.947443E-001  0.182063                 NaN  0.136046       0.699340E-001            NaN            NaN            NaN            NaN
  1295.21        500.000        99.5201       0.955541E-001  0.180595                 NaN  0.135052       0.686522E-001            NaN            NaN            NaN            NaN
  1294.20        500.000        99.5231       0.179872       0.953616E-001            NaN  0.134035       0.676688E-001            NaN            NaN            NaN            NaN
  1293.20        500.000        99.5261       0.177090       0.981029E-001            NaN  0.132989       0.657400E-001            NaN            NaN            NaN            NaN
  1292.20        500.000        99.5287       0.997719E-001  0.175105                 NaN  0.132119       0.643404E-001            NaN            NaN            NaN            NaN
  1291.19        500.000        99.5315       0.173630       0.100752                 NaN  0.131133       0.630075E-001            NaN            NaN            NaN            NaN
  1290.19        500.000        99.5343       0.102469       0.171444                 NaN  0.130192       0.615993E-001            NaN            NaN            NaN            NaN
  1289.18        500.000        98.8737       0.292446       0.391834                 NaN  0.313243       0.128770                 NaN            NaN            NaN            NaN
  1288.18        500.000       100.0000                 NaN            NaN            NaN            NaN  0.239991E-005            NaN            NaN            NaN            NaN
  1287.18        500.000        99.7376       0.943142E-001  0.640791E-001            NaN  0.722207E-001  0.317786E-001            NaN            NaN            NaN            NaN
  1286.17        500.000        99.5448       0.164223       0.108987                 NaN  0.126494       0.555411E-001            NaN            NaN            NaN            NaN
  1285.17        500.000        99.5472       0.160869       0.112791                 NaN  0.125682       0.534785E-001            NaN            NaN            NaN            NaN
  1284.16        500.000        99.5499       0.112026       0.160059                 NaN  0.124913       0.531106E-001            NaN            NaN            NaN            NaN
  1283.16        500.000        96.7570       0.758359       0.367196                 NaN  0.426173                 NaN   1.69123                 NaN            NaN            NaN
  1282.15        500.000        93.2426       0.687384        1.43593                 NaN  0.808595                 NaN   3.82548                 NaN            NaN            NaN
  1281.15        500.000        93.5676        1.38078       0.649669                 NaN  0.773360                 NaN   3.62855                 NaN            NaN            NaN
  1280.15        500.000        93.8625       0.613859        1.33259                 NaN  0.741438                 NaN   3.44963                 NaN            NaN            NaN
  1279.14        500.000        94.1459       0.577397        1.28669                 NaN  0.710499       0.334078E-003   3.27921                 NaN            NaN            NaN
  1278.14        500.000        94.3911        1.25298       0.540767                 NaN  0.683911                 NaN   3.13128                 NaN            NaN            NaN
  1277.13        500.000        94.6399       0.504035        1.21779                 NaN  0.656375                 NaN   2.98189                 NaN            NaN            NaN
  1276.13        500.000        94.7795       0.458209        1.22923                 NaN  0.642837                 NaN   2.89025                 NaN            NaN            NaN
  1275.13        500.000        95.0806       0.414868        1.17925                 NaN  0.607974                 NaN   2.71734                 NaN            NaN            NaN
  1274.12        500.000        95.2597        1.17410       0.367151                 NaN  0.588382                 NaN   2.61067                 NaN            NaN            NaN
  1273.12        500.000        95.4310       0.292059        1.19969                 NaN  0.569756                 NaN   2.50752                 NaN            NaN            NaN
  1272.11        500.000        95.5892        1.27547       0.171035                 NaN  0.552465                 NaN   2.41178                 NaN            NaN            NaN
  1271.11        500.000        95.7574        1.39565                 NaN            NaN  0.533216                 NaN   2.31374                 NaN            NaN            NaN
  1270.11        500.000        95.9134        1.34895                 NaN            NaN  0.514781                 NaN   2.22290                 NaN            NaN            NaN
  1269.10        500.000        96.0575        1.30600                 NaN            NaN  0.497010                 NaN   2.13954                 NaN            NaN            NaN
  1268.10        500.000        96.1925        1.26542                 NaN            NaN  0.482620                 NaN   2.05941                 NaN            NaN            NaN
  1267.09        500.000        96.3187        1.22722                 NaN            NaN  0.468637                 NaN   1.98545                 NaN            NaN            NaN
  1266.09        500.000        96.1651        1.24760                 NaN            NaN  0.486133       0.162761E-004   2.06743                 NaN  0.336841E-001            NaN
  1265.09        500.000        95.4638        1.37862                 NaN            NaN  0.569838                 NaN   2.45081                 NaN  0.136901                 NaN
  1264.08        500.000        95.6460        1.32467                 NaN            NaN  0.544813                 NaN   2.35171                 NaN  0.132828                 NaN
  1263.08        500.000        95.8240        1.27255                 NaN            NaN  0.522017                 NaN   2.25374                 NaN  0.127712                 NaN
  1262.07        500.000        95.9859        1.22740                 NaN            NaN  0.503945                 NaN   2.16155                 NaN  0.121167                 NaN
  1261.07        500.000        96.1361        1.18419                 NaN            NaN  0.485673                 NaN   2.07791                 NaN  0.116091                 NaN
  1260.06        500.000        96.2811        1.14113                 NaN            NaN  0.467357                 NaN   1.99867                 NaN  0.111697                 NaN
  1259.06        500.000        96.4081        1.10544                 NaN            NaN  0.452071                 NaN   1.92725                 NaN  0.107127                 NaN
  1258.06        500.000        96.5344        1.06903                 NaN            NaN  0.437899                 NaN   1.85660                 NaN  0.102076                 NaN
  1257.05        500.000        94.8801                 NaN            NaN            NaN  0.667681       0.578799        3.60328                 NaN  0.270173                 NaN
  1256.05        500.000        99.9794                 NaN            NaN            NaN  0.206361E-001            NaN            NaN            NaN            NaN            NaN
  1255.04        500.000        98.6193                 NaN            NaN            NaN  0.286132       0.799789E-001   1.01461                 NaN            NaN            NaN
  1254.04        500.000        94.8101        2.81342                 NaN            NaN  0.558721                 NaN   1.74124                 NaN  0.764773E-001            NaN
  1253.04        500.000        95.8033        1.51118                 NaN            NaN  0.508549                 NaN   2.06335                 NaN  0.113584                 NaN
  1252.03        500.000        97.2430       0.835476                 NaN            NaN  0.337222                 NaN   1.49592                 NaN  0.883544E-001            NaN
  1251.03        500.000        97.2978       0.824098                 NaN            NaN  0.333021                 NaN   1.46071                 NaN  0.843252E-001            NaN
  1250.02        500.000        97.3555       0.812125                 NaN            NaN  0.328198                 NaN   1.42391                 NaN  0.802512E-001            NaN
  1249.02        500.000        97.4093       0.799066                 NaN            NaN  0.324472                 NaN   1.39087                 NaN  0.762745E-001            NaN
  1248.02        500.000        97.4925       0.775393                 NaN            NaN  0.315823                 NaN   1.34390                 NaN  0.723824E-001            NaN
  1247.01        500.000        97.5452       0.761181                 NaN            NaN  0.307986                 NaN   1.31487                 NaN  0.707958E-001            NaN
  1246.01        500.000        97.6069       0.743325                 NaN            NaN  0.301470                 NaN   1.28053                 NaN  0.678193E-001            NaN
  1245.00        500.000        97.6656       0.726539                 NaN            NaN  0.293712                 NaN   1.24844                 NaN  0.657154E-001            NaN
  1244.00        500.000        97.7260       0.707790                 NaN            NaN  0.286107                 NaN   1.21657                 NaN  0.635738E-001            NaN
  1242.99        500.000        97.7804       0.691651                 NaN            NaN  0.278674                 NaN   1.18742                 NaN  0.618160E-001            NaN
  1241.99        500.000        97.8316       0.677422                 NaN            NaN  0.272999                 NaN   1.15871                 NaN  0.593205E-001            NaN
  1240.99        500.000        97.8840       0.661392                 NaN            NaN  0.266417                 NaN   1.13081                 NaN  0.573575E-001            NaN
  1239.98        500.000        97.9317       0.647685                 NaN            NaN  0.260263                 NaN   1.10486                 NaN  0.555027E-001            NaN
  1238.98        500.000        97.9803       0.632693                 NaN            NaN  0.253838                 NaN   1.07924                 NaN  0.538857E-001            NaN
  1237.97        500.000        98.0266       0.618822                 NaN            NaN  0.247378                 NaN   1.05489                 NaN  0.523349E-001            NaN
  1236.97        500.000        98.0710       0.605299                 NaN            NaN  0.242041                 NaN   1.03117                 NaN  0.505117E-001            NaN
  1235.97        500.000        98.1122       0.592955                 NaN            NaN  0.236199                 NaN   1.00942                 NaN  0.492093E-001            NaN
  1234.96        500.000        98.1542       0.580605                 NaN            NaN  0.231966                 NaN  0.986265                 NaN  0.469488E-001            NaN
  1233.96        500.000        98.1901       0.570466                 NaN            NaN  0.225971                 NaN  0.967284                 NaN  0.461394E-001            NaN
  1232.95        500.000        98.2324       0.556599                 NaN            NaN  0.220899                 NaN  0.945658                 NaN  0.444916E-001            NaN
  1231.95        500.000        98.2671       0.546794                 NaN            NaN  0.216529                 NaN  0.926606                 NaN  0.429745E-001            NaN
  1230.95        500.000        98.3019       0.536839                 NaN            NaN  0.213181                 NaN  0.907117                 NaN  0.409680E-001            NaN
  1229.94        500.000        98.3468       0.516742                 NaN            NaN  0.201387                 NaN  0.892175                 NaN  0.429053E-001            NaN
  1228.94        500.000        98.3732       0.516606                 NaN            NaN  0.201848                 NaN  0.869264                 NaN  0.391156E-001            NaN
  1227.93        500.000        98.4055       0.504414                 NaN            NaN  0.197985                 NaN  0.854157                 NaN  0.379386E-001            NaN
  1226.93        500.000        98.4381       0.494233                 NaN            NaN  0.193528                 NaN  0.837318                 NaN  0.368699E-001            NaN
  1225.92        500.000        98.4693       0.483903                 NaN            NaN  0.187888                 NaN  0.822488                 NaN  0.364651E-001            NaN
  1224.92        500.000        98.4993       0.475466                 NaN            NaN  0.185424                 NaN  0.805329                 NaN  0.344658E-001            NaN
  1223.92        500.000        98.5269       0.466848                 NaN            NaN  0.181595                 NaN  0.791085                 NaN  0.335465E-001            NaN
  1222.91        500.000        98.5555       0.458299                 NaN            NaN  0.177907                 NaN  0.775876                 NaN  0.324069E-001            NaN
  1221.91        500.000        98.5848       0.449049                 NaN            NaN  0.173709                 NaN  0.760945                 NaN  0.315347E-001            NaN
  1220.90        500.000        98.6119       0.440225                 NaN            NaN  0.169885                 NaN  0.747351                 NaN  0.306320E-001            NaN
  1219.90        500.000        98.6411       0.430215                 NaN            NaN  0.165509                 NaN  0.733292                 NaN  0.299188E-001            NaN
  1218.90        500.000        98.6641       0.423878                 NaN            NaN  0.162773                 NaN  0.720381                 NaN  0.288633E-001            NaN
  1217.89        500.000        98.6902       0.415382                 NaN            NaN  0.158671                 NaN  0.707512                 NaN  0.282084E-001            NaN
  1216.89        500.000        98.7179       0.405088                 NaN            NaN  0.153880                 NaN  0.695207                 NaN  0.279264E-001            NaN
  1215.88        500.000        98.7385       0.400014                 NaN            NaN  0.153291                 NaN  0.682223                 NaN  0.259816E-001            NaN
  1214.88        500.000        98.7604       0.393725                 NaN            NaN  0.149410                 NaN  0.670872                 NaN  0.255906E-001            NaN
  1213.88        500.000        98.7836       0.385988                 NaN            NaN  0.146147                 NaN  0.659421                 NaN  0.248804E-001            NaN
  1212.87        500.000        98.8085       0.377335                 NaN            NaN  0.142320                 NaN  0.647548                 NaN  0.243340E-001            NaN
  1211.87        500.000        97.8466       0.603559                 NaN            NaN  0.259011                 NaN   1.22710                 NaN  0.637419E-001            NaN
  1210.86        500.000        98.5721                 NaN            NaN            NaN  0.177344       0.262133       0.956626                 NaN  0.317983E-001            NaN
  1209.86        500.000        99.5375       0.376531                 NaN            NaN  0.755333E-001            NaN  0.405337E-002            NaN  0.640401E-002            NaN
  1208.85        500.000        99.4181       0.144110                 NaN            NaN  0.426630E-001            NaN  0.395120                 NaN            NaN            NaN
  1207.85        500.000        99.0932       0.304170                 NaN            NaN  0.972504E-001            NaN  0.484899                 NaN  0.205170E-001            NaN
  1206.85        500.000        98.2195       0.527322                 NaN            NaN  0.211953                 NaN   1.01124                 NaN  0.300237E-001            NaN
  1205.84        500.000        99.1795       0.255272                 NaN            NaN  0.107701                 NaN  0.436723                 NaN  0.207814E-001            NaN
  1204.84        500.000        99.3774       0.144933                 NaN            NaN  0.759659E-001            NaN  0.360367                 NaN  0.413826E-001            NaN
  1203.83        500.000        98.0581       0.365600                 NaN            NaN  0.242027       0.128398        1.19473                 NaN  0.111476E-001            NaN
  1202.83        500.000        99.7358       0.126894                 NaN            NaN  0.168344E-001  0.105407                 NaN            NaN  0.150472E-001            NaN
  1201.83        500.000        98.8701       0.256424       0.219569                 NaN  0.176272                 NaN  0.444761                 NaN  0.328660E-001            NaN
  1200.82        500.000        98.9829       0.305537                 NaN            NaN  0.979637E-001            NaN  0.578041                 NaN  0.355763E-001            NaN
  1199.82        500.000        99.4381       0.533232E-001            NaN            NaN  0.123210E-001            NaN  0.496212                 NaN            NaN            NaN
  1198.81        500.000        99.1250       0.323272E-001  0.276397                 NaN  0.938476E-001            NaN  0.472420                 NaN            NaN            NaN
  1197.81        500.000        99.1153       0.288362                 NaN            NaN  0.102586                 NaN  0.492474                 NaN  0.124858E-002            NaN
  1196.81        500.000        87.2977        1.91006                 NaN            NaN   1.03029                 NaN   5.14839                 NaN  0.114137        4.49943     
  1195.80        500.000        99.3796       0.814976E-001            NaN            NaN  0.455919E-001            NaN  0.243063                 NaN  0.639184E-002  0.243816     
  1194.80        500.000        99.5582       0.531170E-001            NaN            NaN  0.323343E-001            NaN  0.178294                 NaN  0.462244E-002  0.173458     
  1193.79        500.000        98.7692       0.143239                 NaN            NaN  0.978178E-001            NaN  0.503852                 NaN  0.115374E-001  0.474359     
  1192.79        500.000        89.9735        1.09396                 NaN            NaN  0.808065       0.197345        3.94614                 NaN  0.641911E-001   3.91682     
  1191.79        500.000        88.5367        1.57386                 NaN            NaN  0.894708                 NaN   4.50875                 NaN  0.664315E-001   4.41954     
  1190.78        500.000        82.3150       0.703787        1.44853                 NaN   1.34231                 NaN   7.13914                 NaN  0.108470        6.94275     
  1189.78        500.000        20.2045        9.30729                 NaN            NaN   5.86591                 NaN   32.6328                 NaN  0.475404        31.5141     
  1188.77        500.000                 NaN  0.159317        11.0280       0.286727        7.29022                 NaN   40.9933                 NaN  0.592595        39.6498     
  1187.77        500.000                 NaN   11.4773                 NaN            NaN   7.29038                 NaN   40.9900                 NaN  0.591943        39.6504     
  1186.76        500.000                 NaN   10.8336       0.640837                 NaN   7.29046                 NaN   40.9924                 NaN  0.592643        39.6500     
  1185.76        500.000                 NaN   11.3861       0.908518E-001            NaN   7.29377                 NaN   40.9877                 NaN  0.591307        39.6503     
  1184.76        500.000                 NaN   11.4642                 NaN            NaN   7.28893                 NaN   41.0027                 NaN  0.595983        39.6482     
  1183.75        500.000                 NaN   11.4806                 NaN            NaN   7.29762                 NaN   40.9813                 NaN  0.589855        39.6507     
  1182.75        500.000                 NaN   11.3888       0.928137E-001            NaN   7.29903                 NaN   40.9791                 NaN  0.589372        39.6508     
  1181.74        500.000                 NaN   11.4833                 NaN            NaN   7.30089                 NaN   40.9760                 NaN  0.588644        39.6511     
  1180.74        500.000                 NaN  0.324673E-001   10.8729       0.581240        7.30282                 NaN   40.9714                 NaN  0.587567        39.6515     
  1179.74        500.000                 NaN   11.4848                 NaN            NaN   7.30342                 NaN   40.9726                 NaN  0.587873        39.6513     
  1178.73        500.000                 NaN   11.2258       0.260864                 NaN   7.30489                 NaN   40.9696                 NaN  0.587175        39.6516     
  1177.73        500.000                 NaN   11.4765                 NaN            NaN   7.30126                 NaN   40.9814                 NaN  0.590871        39.6499     
  1176.72        500.000                 NaN   11.4910                 NaN            NaN   7.30868                 NaN   40.9626                 NaN  0.585498        39.6522     
  1175.72        500.000                 NaN   11.4913                 NaN            NaN   7.31007                 NaN   40.9612                 NaN  0.585173        39.6522     
  1174.72        500.000                 NaN   11.4931                 NaN            NaN   7.31196                 NaN   40.9581                 NaN  0.584429        39.6525     
  1173.71        500.000                 NaN  0.749028E-001   1.08556        10.3308        7.31155                 NaN   40.9598                 NaN  0.585084        39.6523     
  1172.71        500.000                 NaN  0.564625E-001   1.08152        10.3548        7.31335                 NaN   40.9569                 NaN  0.584424        39.6525     
  1171.70        500.000                 NaN   11.0898       0.406824                 NaN   7.31618                 NaN   40.9513                 NaN  0.582845        39.6530     
