|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/LAR/LAR_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        San(TH)        ilm            q             
  1333.36        500.000        99.4832       0.749538E-001  0.188591                 NaN  0.179139       0.740666E-001            NaN            NaN            NaN            NaN
  1332.36        500.000        99.4875       0.187040       0.744301E-001            NaN  0.177620       0.733767E-001            NaN            NaN            NaN            NaN
  1331.36        500.000        99.4920       0.185790       0.735538E-001            NaN  0.175919       0.727753E-001            NaN            NaN            NaN            NaN
  1330.35        500.000        99.4931       0.182490       0.785049E-001            NaN  0.175333       0.705439E-001            NaN            NaN            NaN            NaN
  1329.35        500.000        99.5054       0.634816E-001  0.184775                 NaN  0.171702       0.746433E-001            NaN            NaN            NaN            NaN
  1328.34        500.000        99.5049       0.181805       0.710904E-001            NaN  0.171203       0.709660E-001            NaN            NaN            NaN            NaN
  1327.34        500.000        99.5094       0.180444       0.698478E-001            NaN  0.169674       0.706646E-001            NaN            NaN            NaN            NaN
  1326.34        500.000        99.5162       0.196905       0.762989E-002            NaN  0.174166       0.105115                 NaN            NaN            NaN            NaN
  1325.33        500.000        99.5147       0.130241       0.159843                 NaN  0.160869       0.343550E-001            NaN            NaN            NaN            NaN
  1324.33        500.000        99.5218       0.673782E-001  0.176670                 NaN  0.165166       0.689812E-001            NaN            NaN            NaN            NaN
  1323.32        500.000        99.5256       0.666551E-001  0.175558                 NaN  0.163760       0.683847E-001            NaN            NaN            NaN            NaN
  1322.32        500.000        99.5294       0.670382E-001  0.173822                 NaN  0.162308       0.674371E-001            NaN            NaN            NaN            NaN
  1321.32        500.000        99.5332       0.659834E-001  0.172834                 NaN  0.160966       0.670646E-001            NaN            NaN            NaN            NaN
  1320.31        500.000        99.5371       0.660288E-001  0.171078                 NaN  0.159516       0.662388E-001            NaN            NaN            NaN            NaN
  1319.31        500.000        99.6473       0.131441       0.491002E-001            NaN  0.121692       0.504812E-001            NaN            NaN            NaN            NaN
  1318.30        500.000        99.4355       0.208296       0.835398E-001            NaN  0.193656       0.790439E-001            NaN            NaN            NaN            NaN
  1317.30        500.000        99.5485       0.167345       0.647950E-001            NaN  0.155245       0.641185E-001            NaN            NaN            NaN            NaN
  1316.29        500.000        99.5518       0.649838E-001  0.165877                 NaN  0.153969       0.633287E-001            NaN            NaN            NaN            NaN
  1315.29        500.000        99.5614       0.182276       0.157098E-001            NaN  0.154661       0.860024E-001            NaN            NaN            NaN            NaN
  1314.29        500.000        99.5531       0.145899       0.113015                 NaN  0.149293       0.386897E-001            NaN            NaN            NaN            NaN
  1313.28        500.000        99.5627       0.162319       0.636393E-001            NaN  0.149933       0.613693E-001            NaN            NaN            NaN            NaN
  1312.28        500.000        99.5660       0.160555       0.643105E-001            NaN  0.148709       0.604628E-001            NaN            NaN            NaN            NaN
  1311.27        500.000        99.5692       0.640926E-001  0.159658                 NaN  0.147440       0.596476E-001            NaN            NaN            NaN            NaN
  1310.27        500.000        99.5726       0.642670E-001  0.157908                 NaN  0.146223       0.590023E-001            NaN            NaN            NaN            NaN
  1309.27        500.000        99.5762       0.642210E-001  0.156743                 NaN  0.144788       0.580754E-001            NaN            NaN            NaN            NaN
  1308.26        500.000        99.5787       0.155317       0.643564E-001            NaN  0.144028       0.575811E-001            NaN            NaN            NaN            NaN
  1307.26        500.000        99.5828       0.154227       0.645420E-001            NaN  0.142183       0.562866E-001            NaN            NaN            NaN            NaN
  1306.25        500.000        99.5857       0.153282       0.638230E-001            NaN  0.141216       0.559888E-001            NaN            NaN            NaN            NaN
  1305.25        500.000        99.5887       0.150703       0.666687E-001            NaN  0.139830       0.540666E-001            NaN            NaN            NaN            NaN
  1304.25        500.000        99.5909       0.150062       0.663187E-001            NaN  0.139045       0.536403E-001            NaN            NaN            NaN            NaN
  1303.24        500.000        99.5946       0.148647       0.662562E-001            NaN  0.137645       0.528138E-001            NaN            NaN            NaN            NaN
  1302.24        500.000        99.5966       0.672979E-001  0.147297                 NaN  0.136871       0.519183E-001            NaN            NaN            NaN            NaN
  1301.23        500.000        99.6003       0.677301E-001  0.145940                 NaN  0.135350       0.507182E-001            NaN            NaN            NaN            NaN
  1300.23        500.000        99.6032       0.144436       0.681773E-001            NaN  0.134264       0.499559E-001            NaN            NaN            NaN            NaN
  1299.22        500.000        99.6063       0.142798       0.684127E-001            NaN  0.133162       0.492874E-001            NaN            NaN            NaN            NaN
  1298.22        500.000        99.6090       0.141628       0.689107E-001            NaN  0.132075       0.483708E-001            NaN            NaN            NaN            NaN
  1297.22        500.000        99.6116       0.140465       0.693653E-001            NaN  0.131023       0.474986E-001            NaN            NaN            NaN            NaN
  1296.21        500.000        99.6142       0.707657E-001  0.138670                 NaN  0.129994       0.463774E-001            NaN            NaN            NaN            NaN
  1295.21        500.000        99.6168       0.713120E-001  0.137427                 NaN  0.128966       0.454715E-001            NaN            NaN            NaN            NaN
  1294.20        500.000        99.6195       0.136754       0.711126E-001            NaN  0.127918       0.447646E-001            NaN            NaN            NaN            NaN
  1293.20        500.000        99.6221       0.134519       0.730984E-001            NaN  0.126844       0.434388E-001            NaN            NaN            NaN            NaN
  1292.20        500.000        99.6244       0.742787E-001  0.132893                 NaN  0.125939       0.424566E-001            NaN            NaN            NaN            NaN
  1291.19        500.000        99.6269       0.131659       0.749504E-001            NaN  0.124925       0.415277E-001            NaN            NaN            NaN            NaN
  1290.19        500.000        99.6294       0.761710E-001  0.129893                 NaN  0.123955       0.405513E-001            NaN            NaN            NaN            NaN
  1289.18        500.000        99.1039       0.217049       0.296434                 NaN  0.298209       0.843856E-001            NaN            NaN            NaN            NaN
  1288.18        500.000       100.0000                 NaN            NaN            NaN            NaN  0.157391E-005            NaN            NaN            NaN            NaN
  1287.18        500.000        99.7918       0.712432E-001  0.475054E-001            NaN  0.686114E-001  0.208385E-001            NaN            NaN            NaN            NaN
  1286.17        500.000        99.6387       0.123991       0.807714E-001            NaN  0.120151       0.363898E-001            NaN            NaN            NaN            NaN
  1285.17        500.000        99.6408       0.121341       0.835156E-001            NaN  0.119309       0.349946E-001            NaN            NaN            NaN            NaN
  1284.16        500.000        99.6432       0.828976E-001  0.120650                 NaN  0.118511       0.347112E-001            NaN            NaN            NaN            NaN
  1283.16        500.000        97.0256       0.561713       0.276953                 NaN  0.404975                 NaN   1.73071                 NaN            NaN            NaN
  1282.15        500.000        93.7212       0.518891        1.06505                 NaN  0.770274                 NaN   3.92458                 NaN            NaN            NaN
  1281.15        500.000        94.0286        1.02298       0.489616                 NaN  0.736614                 NaN   3.72217                 NaN            NaN            NaN
  1280.15        500.000        94.3076       0.461833       0.986286                 NaN  0.706105                 NaN   3.53821                 NaN            NaN            NaN
  1279.14        500.000        94.5754       0.433667       0.951348                 NaN  0.676517       0.216334E-003   3.36289                 NaN            NaN            NaN
  1278.14        500.000        94.8072       0.925545       0.405461                 NaN  0.651076                 NaN   3.21067                 NaN            NaN            NaN
  1277.13        500.000        95.0424       0.377264       0.898769                 NaN  0.624718                 NaN   3.05687                 NaN            NaN            NaN
  1276.13        500.000        95.1771       0.342222       0.906527                 NaN  0.611723                 NaN   2.96247                 NaN            NaN            NaN
  1275.13        500.000        95.4590       0.309376       0.868954                 NaN  0.578341                 NaN   2.78434                 NaN            NaN            NaN
  1274.12        500.000        95.6282       0.864613       0.273294                 NaN  0.559545                 NaN   2.67436                 NaN            NaN            NaN
  1273.12        500.000        95.7904       0.216959       0.883020                 NaN  0.541668                 NaN   2.56798                 NaN            NaN            NaN
  1272.11        500.000        95.9406       0.938414       0.126759                 NaN  0.525060                 NaN   2.46920                 NaN            NaN            NaN
  1271.11        500.000        96.0987        1.02672                 NaN            NaN  0.506582                 NaN   2.36803                 NaN            NaN            NaN
  1270.11        500.000        96.2455       0.991306                 NaN            NaN  0.488885                 NaN   2.27428                 NaN            NaN            NaN
  1269.10        500.000        96.3811       0.958894                 NaN            NaN  0.471828                 NaN   2.18822                 NaN            NaN            NaN
  1268.10        500.000        96.5088       0.927760                 NaN            NaN  0.457985                 NaN   2.10548                 NaN            NaN            NaN
  1267.09        500.000        96.6278       0.898599                 NaN            NaN  0.444531                 NaN   2.02908                 NaN            NaN            NaN
  1266.09        500.000        96.4945       0.913464                 NaN            NaN  0.461012       0.102277E-004   2.11240                 NaN  0.186355E-001            NaN
  1265.09        500.000        95.8695        1.01019                 NaN            NaN  0.540376                 NaN   2.50415                 NaN  0.757362E-001            NaN
  1264.08        500.000        96.0401       0.969776                 NaN            NaN  0.516136                 NaN   2.40062                 NaN  0.734097E-001            NaN
  1263.08        500.000        96.2066       0.930393                 NaN            NaN  0.494050                 NaN   2.29843                 NaN  0.705114E-001            NaN
  1262.07        500.000        96.3588       0.895573                 NaN            NaN  0.476474                 NaN   2.20231                 NaN  0.668308E-001            NaN
  1261.07        500.000        96.4996       0.862628                 NaN            NaN  0.458740                 NaN   2.11508                 NaN  0.639662E-001            NaN
  1260.06        500.000        96.6350       0.830101                 NaN            NaN  0.440996                 NaN   2.03247                 NaN  0.614824E-001            NaN
  1259.06        500.000        96.7542       0.802750                 NaN            NaN  0.426147                 NaN   1.95796                 NaN  0.589074E-001            NaN
  1258.06        500.000        96.8724       0.774802                 NaN            NaN  0.412369                 NaN   1.88436                 NaN  0.560721E-001            NaN
  1257.05        500.000        95.2124                 NaN            NaN            NaN  0.628674       0.354346        3.65621                 NaN  0.148390                 NaN
  1256.05        500.000        99.9806                 NaN            NaN            NaN  0.193562E-001            NaN            NaN            NaN            NaN            NaN
  1255.04        500.000        98.6559                 NaN            NaN            NaN  0.268623       0.488230E-001   1.02663                 NaN            NaN            NaN
  1254.04        500.000        95.6198        2.04259                 NaN            NaN  0.526578                 NaN   1.76898                 NaN  0.420426E-001            NaN
  1253.04        500.000        96.2808        1.09516                 NaN            NaN  0.476746                 NaN   2.08524                 NaN  0.621093E-001            NaN
  1252.03        500.000        97.5267       0.602546                 NaN            NaN  0.315206                 NaN   1.50740                 NaN  0.481710E-001            NaN
  1251.03        500.000        97.5795       0.592922                 NaN            NaN  0.310993                 NaN   1.47064                 NaN  0.459313E-001            NaN
  1250.02        500.000        97.6349       0.582917                 NaN            NaN  0.306198                 NaN   1.43228                 NaN  0.436702E-001            NaN
  1249.02        500.000        97.6864       0.571966                 NaN            NaN  0.302428                 NaN   1.39776                 NaN  0.414653E-001            NaN
  1248.02        500.000        97.7635       0.553926                 NaN            NaN  0.294069                 NaN   1.34921                 NaN  0.393092E-001            NaN
  1247.01        500.000        97.8132       0.543101                 NaN            NaN  0.286490                 NaN   1.31883                 NaN  0.384091E-001            NaN
  1246.01        500.000        97.8707       0.529259                 NaN            NaN  0.280148                 NaN   1.28315                 NaN  0.367570E-001            NaN
  1245.00        500.000        97.9253       0.516625                 NaN            NaN  0.272665                 NaN   1.24979                 NaN  0.355805E-001            NaN
  1244.00        500.000        97.9810       0.502535                 NaN            NaN  0.265338                 NaN   1.21672                 NaN  0.343859E-001            NaN
  1242.99        500.000        98.0315       0.490507                 NaN            NaN  0.258186                 NaN   1.18642                 NaN  0.334013E-001            NaN
  1241.99        500.000        98.0792       0.479456                 NaN            NaN  0.252676                 NaN   1.15662                 NaN  0.320206E-001            NaN
  1240.99        500.000        98.1276       0.467406                 NaN            NaN  0.246338                 NaN   1.12769                 NaN  0.309295E-001            NaN
  1239.98        500.000        98.1719       0.457045                 NaN            NaN  0.240408                 NaN   1.10076                 NaN  0.298992E-001            NaN
  1238.98        500.000        98.2167       0.445876                 NaN            NaN  0.234240                 NaN   1.07420                 NaN  0.289988E-001            NaN
  1237.97        500.000        98.2593       0.435571                 NaN            NaN  0.228052                 NaN   1.04897                 NaN  0.281360E-001            NaN
  1236.97        500.000        98.3002       0.425357                 NaN            NaN  0.222912                 NaN   1.02441                 NaN  0.271286E-001            NaN
  1235.97        500.000        98.3382       0.416231                 NaN            NaN  0.217318                 NaN   1.00186                 NaN  0.264028E-001            NaN
  1234.96        500.000        98.3770       0.406649                 NaN            NaN  0.213214                 NaN  0.977953                 NaN  0.251649E-001            NaN
  1233.96        500.000        98.4103       0.399284                 NaN            NaN  0.207502                 NaN  0.958230                 NaN  0.247066E-001            NaN
  1232.95        500.000        98.4486       0.389008                 NaN            NaN  0.202645                 NaN  0.935931                 NaN  0.238006E-001            NaN
  1231.95        500.000        98.4808       0.381533                 NaN            NaN  0.198445                 NaN  0.916217                 NaN  0.229665E-001            NaN
  1230.95        500.000        98.5131       0.373730                 NaN            NaN  0.195186                 NaN  0.896109                 NaN  0.218727E-001            NaN
  1229.94        500.000        98.5518       0.360648                 NaN            NaN  0.184210                 NaN  0.880492                 NaN  0.228845E-001            NaN
  1228.94        500.000        98.5784       0.359184                 NaN            NaN  0.184460                 NaN  0.857158                 NaN  0.208435E-001            NaN
  1227.93        500.000        98.6074       0.350142                 NaN            NaN  0.180757                 NaN  0.841492                 NaN  0.201968E-001            NaN
  1226.93        500.000        98.6371       0.342644                 NaN            NaN  0.176520                 NaN  0.824151                 NaN  0.196090E-001            NaN
  1225.92        500.000        98.6651       0.335477                 NaN            NaN  0.171215                 NaN  0.808825                 NaN  0.193752E-001            NaN
  1224.92        500.000        98.6929       0.328739                 NaN            NaN  0.168812                 NaN  0.791244                 NaN  0.182956E-001            NaN
  1223.92        500.000        98.7181       0.322396                 NaN            NaN  0.165173                 NaN  0.776563                 NaN  0.177908E-001            NaN
  1222.91        500.000        98.7441       0.316077                 NaN            NaN  0.161668                 NaN  0.760955                 NaN  0.171703E-001            NaN
  1221.91        500.000        98.7706       0.309398                 NaN            NaN  0.157708                 NaN  0.745648                 NaN  0.166926E-001            NaN
  1220.90        500.000        98.7950       0.302992                 NaN            NaN  0.154095                 NaN  0.731686                 NaN  0.161998E-001            NaN
  1219.90        500.000        98.8210       0.295874                 NaN            NaN  0.149990                 NaN  0.717304                 NaN  0.158080E-001            NaN
  1218.90        500.000        98.8423       0.291066                 NaN            NaN  0.147379                 NaN  0.704068                 NaN  0.152365E-001            NaN
  1217.89        500.000        98.8656       0.285055                 NaN            NaN  0.143537                 NaN  0.690897                 NaN  0.148773E-001            NaN
  1216.89        500.000        98.8899       0.277974                 NaN            NaN  0.139080                 NaN  0.678314                 NaN  0.147154E-001            NaN
  1215.88        500.000        98.9092       0.273588                 NaN            NaN  0.138427                 NaN  0.665093                 NaN  0.136785E-001            NaN
  1214.88        500.000        98.9290       0.269211                 NaN            NaN  0.134805                 NaN  0.653475                 NaN  0.134608E-001            NaN
  1213.88        500.000        98.9498       0.263626                 NaN            NaN  0.131747                 NaN  0.641784                 NaN  0.130757E-001            NaN
  1212.87        500.000        98.9717       0.257592                 NaN            NaN  0.128187                 NaN  0.629714                 NaN  0.127774E-001            NaN
  1211.87        500.000        98.1242       0.416639                 NaN            NaN  0.233251                 NaN   1.19248                 NaN  0.334639E-001            NaN
  1210.86        500.000        98.7449                 NaN            NaN            NaN  0.159372       0.150560       0.928477                 NaN  0.166587E-001            NaN
  1209.86        500.000        99.6690       0.255951                 NaN            NaN  0.677880E-001            NaN  0.392880E-002            NaN  0.335043E-002            NaN
  1208.85        500.000        99.4815       0.976216E-001            NaN            NaN  0.382517E-001            NaN  0.382649                 NaN            NaN            NaN
  1207.85        500.000        99.2243       0.208301                 NaN            NaN  0.871948E-001            NaN  0.469477                 NaN  0.107235E-001            NaN
  1206.85        500.000        98.4554       0.360064                 NaN            NaN  0.190016                 NaN  0.978846                 NaN  0.156904E-001            NaN
  1205.84        500.000        99.3004       0.170376                 NaN            NaN  0.963762E-001            NaN  0.422032                 NaN  0.108401E-001            NaN
  1204.84        500.000        99.4625       0.997966E-001            NaN            NaN  0.679249E-001            NaN  0.348163                 NaN  0.215692E-001            NaN
  1203.83        500.000        98.3035       0.247712                 NaN            NaN  0.216474       0.730921E-001   1.15337                 NaN  0.581200E-002            NaN
  1202.83        500.000        99.8301       0.871924E-001            NaN            NaN  0.150223E-001  0.598645E-001            NaN            NaN  0.782688E-002            NaN
  1201.83        500.000        99.0769       0.170721       0.149259                 NaN  0.157280                 NaN  0.428704                 NaN  0.170932E-001            NaN
  1200.82        500.000        99.1303       0.207545                 NaN            NaN  0.872835E-001            NaN  0.556382                 NaN  0.184762E-001            NaN
  1199.82        500.000        99.4754       0.363996E-001            NaN            NaN  0.109648E-001            NaN  0.477196                 NaN            NaN            NaN
  1198.81        500.000        99.2530       0.221521E-001  0.187035                 NaN  0.835377E-001            NaN  0.454310                 NaN            NaN            NaN
  1197.81        500.000        99.2413       0.193419                 NaN            NaN  0.912530E-001            NaN  0.473351                 NaN  0.647358E-003            NaN
  1196.81        500.000        88.3794        1.30795                 NaN            NaN  0.925455                 NaN   4.99609                 NaN  0.597561E-001   4.33140     
  1195.80        500.000        99.4352       0.558351E-001            NaN            NaN  0.404740E-001            NaN  0.233184                 NaN  0.330727E-002  0.231973     
  1194.80        500.000        99.5965       0.363485E-001            NaN            NaN  0.286999E-001            NaN  0.171092                 NaN  0.239132E-002  0.165008     
  1193.79        500.000        98.8751       0.964369E-001            NaN            NaN  0.868824E-001            NaN  0.484027                 NaN  0.597262E-002  0.451570     
  1192.79        500.000        90.8086       0.742025                 NaN            NaN  0.723146       0.112382        3.82355                 NaN  0.334805E-001   3.75687     
  1191.79        500.000        89.4773        1.06963                 NaN            NaN  0.801242                 NaN   4.37506                 NaN  0.346728E-001   4.24211     
  1190.78        500.000        83.6012       0.482757       0.986684                 NaN   1.20768                 NaN   6.96959                 NaN  0.568770E-001   6.69517     
  1189.78        500.000        21.6742        6.71537                 NaN            NaN   5.57207                 NaN   33.6884                 NaN  0.263187        32.0867     
  1188.77        500.000                 NaN  0.116443        8.10299       0.212378        7.04862                 NaN   43.0940                 NaN  0.333915        41.0917     
  1187.77        500.000                 NaN   8.43408                 NaN            NaN   7.04879                 NaN   43.0904                 NaN  0.333544        41.0932     
  1186.76        500.000                 NaN   7.95752       0.474188                 NaN   7.04881                 NaN   43.0923                 NaN  0.333931        41.0933     
  1185.76        500.000                 NaN   8.36723       0.663046E-001            NaN   7.05200                 NaN   43.0869                 NaN  0.333173        41.0944     
  1184.76        500.000                 NaN   8.42275                 NaN            NaN   7.04722                 NaN   43.1018                 NaN  0.335799        41.0925     
  1183.75        500.000                 NaN   8.43706                 NaN            NaN   7.05563                 NaN   43.0790                 NaN  0.332342        41.0960     
  1182.75        500.000                 NaN   8.36942       0.685075E-001            NaN   7.05696                 NaN   43.0762                 NaN  0.332064        41.0968     
  1181.74        500.000                 NaN   8.43935                 NaN            NaN   7.05873                 NaN   43.0725                 NaN  0.331649        41.0978     
  1180.74        500.000                 NaN  0.237255E-001   7.98979       0.430573        7.06044                 NaN   43.0663                 NaN  0.331030        41.0982     
  1179.74        500.000                 NaN   8.44016                 NaN            NaN   7.06113                 NaN   43.0681                 NaN  0.331203        41.0994     
  1178.73        500.000                 NaN   8.25169       0.190378                 NaN   7.06250                 NaN   43.0643                 NaN  0.330803        41.1003     
  1177.73        500.000                 NaN   8.43325                 NaN            NaN   7.05892                 NaN   43.0759                 NaN  0.332878        41.0990     
  1176.72        500.000                 NaN   8.44559                 NaN            NaN   7.06612                 NaN   43.0560                 NaN  0.329848        41.1024     
  1175.72        500.000                 NaN   8.44589                 NaN            NaN   7.06743                 NaN   43.0540                 NaN  0.329658        41.1030     
