|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1590.68        2500.00        99.2793                 NaN  0.644313       0.763952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00        99.2795                 NaN  0.644205       0.762753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00        99.2832                 NaN  0.642702       0.741457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.3063                 NaN  0.621793       0.718735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00        99.3032                 NaN  0.624229       0.725676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00        99.3071                 NaN  0.622571       0.702983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00        99.3157                 NaN  0.614049       0.702494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.3218                 NaN  0.609705       0.684847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.28        2500.00        99.3275                 NaN  0.604493       0.680406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.3327                 NaN  0.600345       0.669683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00        99.3391                 NaN  0.595199       0.656652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.3438                 NaN  0.591091       0.651193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00        99.3445                 NaN  0.589727       0.657669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.3628                 NaN  0.575133       0.620472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00        99.2965                 NaN  0.636662       0.668317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        99.4702                 NaN  0.479252       0.505944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00        99.3306                 NaN  0.605557       0.638757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00        99.3773                 NaN  0.563227       0.594981E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00        99.3811                 NaN  0.561524       0.573749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.3887                 NaN  0.552009       0.592908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.3929                 NaN  0.550888       0.562234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.13        2500.00        99.3964                 NaN  0.548575       0.550300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.58        2500.00        99.4013                 NaN  0.544394       0.542851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.03        2500.00        99.4053                 NaN  0.542120       0.525315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.48        2500.00        99.4093                 NaN  0.537439       0.532185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00        99.4165                 NaN  0.532334       0.512036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.37        2500.00        99.4195                 NaN  0.530554       0.499041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.82        2500.00        99.4215                 NaN  0.530002       0.485375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.27        2500.00        99.4275                 NaN  0.524734       0.477323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00        99.4321                 NaN  0.519863       0.480490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.17        2500.00        99.4353                 NaN  0.518760       0.459421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.62        2500.00        99.4403                 NaN  0.514026       0.456996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.07        2500.00        99.4439                 NaN  0.510816       0.452498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        2500.00        99.4469                 NaN  0.509921       0.431864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.97        2500.00        99.4508                 NaN  0.506291       0.428768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        2500.00        99.5294                 NaN  0.435104       0.354946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.87        2500.00        99.3847                 NaN  0.568054       0.472165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        2500.00        99.0176                 NaN  0.902733       0.796633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.77        2500.00        99.9200                 NaN  0.741715E-001  0.578084E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.22        2500.00        99.4690                 NaN  0.492626       0.383556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.67        2500.00        99.9476                 NaN  0.523520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.12        2500.00        99.0009                 NaN  0.925100       0.739952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.57        2500.00        99.4794                 NaN  0.484552       0.360517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        2500.00        99.4823                 NaN  0.483355       0.342965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.47        2500.00        99.4841                 NaN  0.482649       0.332353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.92        2500.00        99.4877                 NaN  0.478790       0.335472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.37        2500.00        99.4920                 NaN  0.473496       0.344765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.82        2500.00        99.3631                 NaN  0.691267E-001  0.557531E-004            NaN  0.567713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.27        2500.00        99.3124                 NaN            NaN            NaN            NaN  0.687648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.72        2500.00        99.3123                 NaN            NaN            NaN            NaN  0.687708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.17        2500.00        99.3083                 NaN            NaN            NaN            NaN  0.691699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        2500.00        99.3027                 NaN            NaN            NaN            NaN  0.697258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.07        2500.00        99.2996                 NaN            NaN            NaN            NaN  0.700354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.52        2500.00        99.2909                 NaN            NaN            NaN            NaN  0.709065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.96        2500.00        99.2816                 NaN            NaN            NaN            NaN  0.718360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.41        2500.00        99.2217                 NaN            NaN            NaN            NaN  0.686637       0.916473E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1503.86        2500.00        98.8508                 NaN            NaN            NaN            NaN  0.732122       0.417118                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.31        2500.00        98.8609                 NaN            NaN            NaN            NaN  0.412799       0.726291                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.76        2500.00        98.8742                 NaN            NaN            NaN            NaN  0.407437       0.718410                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.21        2500.00        98.8842                 NaN            NaN            NaN            NaN  0.401920       0.713917                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.66        2500.00        98.8958                 NaN            NaN            NaN            NaN  0.704791       0.399389                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.11        2500.00        98.9071                 NaN            NaN            NaN            NaN  0.698424       0.394435                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.56        2500.00        98.9158                 NaN            NaN            NaN            NaN  0.694010       0.390199                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.01        2500.00        98.9674                 NaN            NaN  0.159012E-001            NaN  0.347689       0.669042                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.46        2500.00        98.8977                 NaN            NaN            NaN            NaN  0.395950       0.706312                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.91        2500.00        98.9503                 NaN            NaN            NaN            NaN  0.376613       0.673078                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.36        2500.00        98.9560                 NaN            NaN            NaN            NaN  0.373983       0.670002                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.81        2500.00        98.9674                 NaN            NaN            NaN            NaN  0.369576       0.663036                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.26        2500.00        98.9743                 NaN            NaN  0.841669E-006            NaN  0.659555       0.366153                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.9881                 NaN            NaN  0.184039E-001            NaN  0.334011       0.659462                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.16        2500.00        98.9929                 NaN            NaN            NaN            NaN  0.648899       0.358245                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.61        2500.00        99.0023                 NaN            NaN  0.669791E-002            NaN  0.645985       0.345035                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.06        2500.00        99.0060                 NaN            NaN  0.189826E-001            NaN  0.322302       0.652730                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.51        2500.00        99.0288                 NaN            NaN  0.178879E-001            NaN  0.317311       0.635957                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.96        2500.00        99.0320                 NaN            NaN  0.168538E-001            NaN  0.633468       0.317711                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.41        2500.00        99.0370                 NaN            NaN  0.159698E-001            NaN  0.315618       0.631419                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.86        2500.00        99.0455                 NaN            NaN  0.150112E-001            NaN  0.625382       0.314113                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.0518                 NaN            NaN  0.139896E-001            NaN  0.312003       0.622203                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        99.0601                 NaN            NaN  0.132438E-001            NaN  0.615833       0.310872                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.21        2500.00        99.2331                 NaN            NaN  0.103614E-001            NaN  0.504842       0.251684                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.66        2500.00        99.8899                 NaN            NaN  0.116087E-002            NaN  0.740433E-001  0.348839E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1465.11        2500.00        98.0937                 NaN            NaN  0.225085E-001            NaN   1.25197       0.631805                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.55        2500.00        98.7559                 NaN            NaN  0.491516E-001            NaN  0.650811       0.384453                 NaN  0.159685                 NaN            NaN            NaN            NaN
  1462.00        2500.00        96.8938                 NaN            NaN  0.277201                 NaN  0.923047       0.833876                 NaN   1.07211                 NaN            NaN            NaN            NaN
  1460.45        2500.00        96.9732                 NaN            NaN  0.274561                 NaN  0.902751       0.803516                 NaN   1.04602                 NaN            NaN            NaN            NaN
  1458.90        2500.00        97.0568                 NaN            NaN  0.270825                 NaN  0.880901       0.773246                 NaN   1.01824                 NaN            NaN            NaN            NaN
  1457.35        2500.00        97.1311                 NaN            NaN  0.267943                 NaN  0.744977       0.862264                 NaN  0.993738                 NaN            NaN            NaN            NaN
  1455.80        2500.00        97.1983                 NaN            NaN  0.265824                 NaN  0.844981       0.718798                 NaN  0.972112                 NaN            NaN            NaN            NaN
  1454.25        2500.00        97.2717                 NaN            NaN  0.262809                 NaN  0.825948       0.692177                 NaN  0.947343                 NaN            NaN            NaN            NaN
  1452.70        2500.00        97.3341                 NaN            NaN  0.260449                 NaN  0.668669       0.810252                 NaN  0.926547                 NaN            NaN            NaN            NaN
  1451.15        2500.00        97.3909                 NaN            NaN  0.259436                 NaN  0.648002       0.793199                 NaN  0.908479                 NaN            NaN            NaN            NaN
  1449.60        2500.00        97.4605                 NaN            NaN  0.255189                 NaN  0.778768       0.620953                 NaN  0.884574                 NaN            NaN            NaN            NaN
  1448.05        2500.00        97.5176                 NaN            NaN  0.253633                 NaN  0.764097       0.599171                 NaN  0.865508                 NaN            NaN            NaN            NaN
  1446.50        2500.00        97.5696                 NaN            NaN  0.251821                 NaN  0.752283       0.577639                 NaN  0.848663                 NaN            NaN            NaN            NaN
  1444.95        2500.00        97.6287                 NaN            NaN  0.242952                 NaN  0.733233       0.567762                 NaN  0.827348                 NaN            NaN            NaN            NaN
  1443.40        2500.00        97.6730                 NaN            NaN  0.254878                 NaN  0.726447       0.530355                 NaN  0.815324                 NaN            NaN            NaN            NaN
  1441.85        2500.00        97.7259                 NaN            NaN  0.246131                 NaN  0.711010       0.520603                 NaN  0.796351                 NaN            NaN            NaN            NaN
  1440.30        2500.00        97.7719                 NaN            NaN  0.244724                 NaN  0.503366       0.698272                 NaN  0.781702                 NaN            NaN            NaN            NaN
  1438.75        2500.00        97.8126                 NaN            NaN  0.242573                 NaN  0.689395       0.488163                 NaN  0.767235                 NaN            NaN            NaN            NaN
  1437.20        2500.00        97.9417                 NaN            NaN  0.233113                 NaN  0.448039       0.653807                 NaN  0.723325                 NaN            NaN            NaN            NaN
  1435.65        2500.00        97.8341                 NaN            NaN  0.247680                 NaN  0.690130       0.467398                 NaN  0.760644                 NaN            NaN            NaN            NaN
  1434.10        2500.00        97.9531                 NaN            NaN  0.237487                 NaN  0.436305       0.652913                 NaN  0.720161                 NaN            NaN            NaN            NaN
  1432.55        2500.00        97.9867                 NaN            NaN  0.236951                 NaN  0.422066       0.644431                 NaN  0.709880                 NaN            NaN            NaN            NaN
  1431.00        2500.00        98.0330                 NaN            NaN  0.233132                 NaN  0.632633       0.407986                 NaN  0.693299                 NaN            NaN            NaN            NaN
  1429.45        2500.00        98.0776                 NaN            NaN  0.233789                 NaN  0.621750       0.388617                 NaN  0.678211                 NaN            NaN            NaN            NaN
  1427.90        2500.00        98.1046                 NaN            NaN  0.232283                 NaN  0.378986       0.614785                 NaN  0.669350                 NaN            NaN            NaN            NaN
  1426.35        2500.00        98.1409                 NaN            NaN  0.230763                 NaN  0.606012       0.365231                 NaN  0.657093                 NaN            NaN            NaN            NaN
  1424.80        2500.00        98.1734                 NaN            NaN  0.229790                 NaN  0.598226       0.352538                 NaN  0.646042                 NaN            NaN            NaN            NaN
  1423.25        2500.00        98.2066                 NaN            NaN  0.228560                 NaN  0.590203       0.339731                 NaN  0.634923                 NaN            NaN            NaN            NaN
  1421.70        2500.00        98.2395                 NaN            NaN  0.227284                 NaN  0.581824       0.327551                 NaN  0.623800                 NaN            NaN            NaN            NaN
  1420.15        2500.00        98.2660                 NaN            NaN  0.227066                 NaN  0.577082       0.314745                 NaN  0.615102                 NaN            NaN            NaN            NaN
  1418.59        2500.00        98.3044                 NaN            NaN  0.224381                 NaN  0.565612       0.303688                 NaN  0.601898                 NaN            NaN            NaN            NaN
  1417.04        2500.00        98.3176                 NaN            NaN  0.226024                 NaN  0.292582       0.566441                 NaN  0.597375                 NaN            NaN            NaN            NaN
  1415.49        2500.00        98.3108                 NaN            NaN  0.218798                 NaN  0.319343       0.548033                 NaN  0.603068                 NaN            NaN            NaN            NaN
  1413.94        2500.00        98.4562                 NaN            NaN  0.222833                 NaN  0.235519       0.537829                 NaN  0.547624                 NaN            NaN            NaN            NaN
  1412.39        2500.00        98.4170                 NaN            NaN  0.219629                 NaN  0.537245       0.262968                 NaN  0.563164                 NaN            NaN            NaN            NaN
  1410.84        2500.00        98.4413                 NaN            NaN  0.219266                 NaN  0.532754       0.251655                 NaN  0.555070                 NaN            NaN            NaN            NaN
  1409.29        2500.00        98.4663                 NaN            NaN  0.218303                 NaN  0.242122       0.526914                 NaN  0.546393                 NaN            NaN            NaN            NaN
  1407.74        2500.00        98.4915                 NaN            NaN  0.217272                 NaN  0.520762       0.232598                 NaN  0.537878                 NaN            NaN            NaN            NaN
  1406.19        2500.00        98.5180                 NaN            NaN  0.215993                 NaN  0.514062       0.223172                 NaN  0.528781                 NaN            NaN            NaN            NaN
  1404.64        2500.00        98.5404                 NaN            NaN  0.214914                 NaN  0.214490       0.509109                 NaN  0.521076                 NaN            NaN            NaN            NaN
  1403.09        2500.00        98.5631                 NaN            NaN  0.213841                 NaN  0.503642       0.206181                 NaN  0.513189                 NaN            NaN            NaN            NaN
  1401.54        2500.00        98.5852                 NaN            NaN  0.212771                 NaN  0.498386       0.198000                 NaN  0.505618                 NaN            NaN            NaN            NaN
  1399.99        2500.00        98.6074                 NaN            NaN  0.212183                 NaN  0.493914       0.188462                 NaN  0.498053                 NaN            NaN            NaN            NaN
  1398.44        2500.00        98.6301                 NaN            NaN  0.209980                 NaN  0.182316       0.487784                 NaN  0.489823                 NaN            NaN            NaN            NaN
  1396.89        2500.00        98.6503                 NaN            NaN  0.209455                 NaN  0.483336       0.173982                 NaN  0.482911                 NaN            NaN            NaN            NaN
  1395.34        2500.00        98.6707                 NaN            NaN  0.208386                 NaN  0.478300       0.166810                 NaN  0.475846                 NaN            NaN            NaN            NaN
  1393.79        2500.00        98.6893                 NaN            NaN  0.207176                 NaN  0.159333       0.474890                 NaN  0.469260                 NaN            NaN            NaN            NaN
  1392.24        2500.00        98.7100                 NaN            NaN  0.206022                 NaN  0.469517       0.152409                 NaN  0.462089                 NaN            NaN            NaN            NaN
  1390.69        2500.00        98.7277                 NaN            NaN  0.204875                 NaN  0.145171       0.466404                 NaN  0.455865                 NaN            NaN            NaN            NaN
  1389.14        2500.00        98.7478                 NaN            NaN  0.203433                 NaN  0.139335       0.460700                 NaN  0.448767                 NaN            NaN            NaN            NaN
  1387.59        2500.00        98.7661                 NaN            NaN  0.202292                 NaN  0.455999       0.133342                 NaN  0.442269                 NaN            NaN            NaN            NaN
  1386.04        2500.00        98.7816                 NaN            NaN  0.201311                 NaN  0.453699       0.126649                 NaN  0.436786                 NaN            NaN            NaN            NaN
  1384.49        2500.00        98.7650                 NaN            NaN  0.206416                 NaN  0.465934       0.117011                 NaN  0.445665                 NaN            NaN            NaN            NaN
  1382.94        2500.00        98.8599                 NaN            NaN  0.193304                 NaN  0.426128       0.114071                 NaN  0.406606                 NaN            NaN            NaN            NaN
  1381.39        2500.00        98.8355                 NaN            NaN  0.196481                 NaN  0.110198       0.440629                 NaN  0.417146                 NaN            NaN            NaN            NaN
  1379.84        2500.00        98.8501                 NaN            NaN  0.195886                 NaN  0.104337       0.437472                 NaN  0.412180                 NaN            NaN            NaN            NaN
  1378.29        2500.00        98.8661                 NaN            NaN  0.194282                 NaN  0.433109       0.100040                 NaN  0.406453                 NaN            NaN            NaN            NaN
  1376.74        2500.00        98.8801                 NaN            NaN  0.192651                 NaN  0.431041       0.948700E-001            NaN  0.401336                 NaN            NaN            NaN            NaN
  1375.18        2500.00        98.8957                 NaN            NaN  0.192284                 NaN  0.876658E-001  0.428286                 NaN  0.396052                 NaN            NaN            NaN            NaN
  1373.63        2500.00        98.9129                 NaN            NaN  0.189075                 NaN  0.421817       0.869907E-001            NaN  0.389210                 NaN            NaN            NaN            NaN
  1372.08        2500.00        98.9254                 NaN            NaN  0.188270                 NaN  0.816709E-001  0.419715                 NaN  0.384913                 NaN            NaN            NaN            NaN
  1370.53        2500.00        98.9399                 NaN            NaN  0.186594                 NaN  0.416401       0.775542E-001            NaN  0.379537                 NaN            NaN            NaN            NaN
  1368.98        2500.00        98.9533                 NaN            NaN  0.184951                 NaN  0.734847E-001  0.413646                 NaN  0.374611                 NaN            NaN            NaN            NaN
  1367.43        2500.00        98.9665                 NaN            NaN  0.183284                 NaN  0.410467       0.700558E-001            NaN  0.369742                 NaN            NaN            NaN            NaN
  1365.88        2500.00        98.9768                 NaN            NaN  0.183789                 NaN  0.409696       0.627620E-001            NaN  0.366903                 NaN            NaN            NaN            NaN
  1364.33        2500.00        98.9980                 NaN            NaN  0.177251                 NaN  0.662701E-001  0.401441                 NaN  0.357026                 NaN            NaN            NaN            NaN
  1362.78        2500.00        99.0007                 NaN            NaN  0.175108                 NaN  0.396741       0.711138E-001            NaN  0.356306                 NaN            NaN            NaN            NaN
  1361.23        2500.00        99.0233                 NaN            NaN  0.178531                 NaN  0.401424       0.478667E-001            NaN  0.348922                 NaN            NaN            NaN            NaN
  1359.68        2500.00        99.0309                 NaN            NaN  0.173913                 NaN  0.394466       0.551806E-001            NaN  0.345529                 NaN            NaN            NaN            NaN
  1358.13        2500.00        99.0428                 NaN            NaN  0.171940                 NaN  0.391009       0.530906E-001            NaN  0.341145                 NaN            NaN            NaN            NaN
  1356.58        2500.00        99.0558                 NaN            NaN  0.170371                 NaN  0.489260E-001  0.388705                 NaN  0.336206                 NaN            NaN            NaN            NaN
  1355.03        2500.00        99.0662                 NaN            NaN  0.167952                 NaN  0.385944       0.478384E-001            NaN  0.332096                 NaN            NaN            NaN            NaN
  1353.48        2500.00        99.0775                 NaN            NaN  0.165757                 NaN  0.382422       0.466197E-001            NaN  0.327737                 NaN            NaN            NaN            NaN
  1351.93        2500.00        99.0885                 NaN            NaN  0.163790                 NaN  0.442754E-001  0.379913                 NaN  0.323511                 NaN            NaN            NaN            NaN
  1350.38        2500.00        99.0993                 NaN            NaN  0.161465                 NaN  0.426295E-001  0.377361                 NaN  0.319254                 NaN            NaN            NaN            NaN
  1348.83        2500.00        99.1102                 NaN            NaN  0.159526                 NaN  0.413410E-001  0.373769                 NaN  0.315134                 NaN            NaN            NaN            NaN
  1347.28        2500.00        99.1189                 NaN            NaN  0.157227                 NaN  0.393806E-001  0.372965                 NaN  0.311566                 NaN            NaN            NaN            NaN
  1345.73        2500.00        99.1305                 NaN            NaN  0.154098                 NaN  0.368403       0.401382E-001            NaN  0.306895                 NaN            NaN            NaN            NaN
  1344.18        2500.00        99.1379                 NaN            NaN  0.153047                 NaN  0.380805E-001  0.366570                 NaN  0.304430                 NaN            NaN            NaN            NaN
  1342.63        2500.00        99.1490                 NaN            NaN  0.148888                 NaN  0.374161E-001  0.365672                 NaN  0.299072                 NaN            NaN            NaN            NaN
  1341.08        2500.00        99.1593                 NaN            NaN  0.146642                 NaN  0.359120       0.396097E-001            NaN  0.295346                 NaN            NaN            NaN            NaN
  1339.53        2500.00        99.1685                 NaN            NaN  0.144608                 NaN  0.357819       0.373073E-001            NaN  0.291788                 NaN            NaN            NaN            NaN
  1337.98        2500.00        99.1772                 NaN            NaN  0.141999                 NaN  0.379127E-001  0.354646                 NaN  0.288265                 NaN            NaN            NaN            NaN
  1336.43        2500.00        99.1863                 NaN            NaN  0.139781                 NaN  0.362841E-001  0.352972                 NaN  0.284666                 NaN            NaN            NaN            NaN
  1334.88        2500.00        99.1936                 NaN            NaN  0.136583                 NaN  0.379298E-001  0.350496                 NaN  0.281385                 NaN            NaN            NaN            NaN
  1333.33        2500.00        99.2026                 NaN            NaN  0.133718                 NaN  0.391322E-001  0.346887                 NaN  0.277658                 NaN            NaN            NaN            NaN
  1331.78        2500.00        99.2105                 NaN            NaN  0.131387                 NaN  0.384202E-001  0.345182                 NaN  0.274481                 NaN            NaN            NaN            NaN
  1330.22        2500.00        99.2189                 NaN            NaN  0.128459                 NaN  0.392332E-001  0.342430                 NaN  0.271018                 NaN            NaN            NaN            NaN
  1328.67        2500.00        99.2266                 NaN            NaN  0.125507                 NaN  0.412429E-001  0.338928                 NaN  0.267764                 NaN            NaN            NaN            NaN
  1327.12        2500.00        99.2344                 NaN            NaN  0.122921                 NaN  0.335806       0.422840E-001            NaN  0.264602                 NaN            NaN            NaN            NaN
  1325.57        2500.00        99.2383                 NaN            NaN  0.117497                 NaN  0.510110E-001  0.330953                 NaN  0.262193                 NaN            NaN            NaN            NaN
  1324.02        2500.00        99.2516                 NaN            NaN  0.118469                 NaN  0.332732       0.394791E-001            NaN  0.257700                 NaN            NaN            NaN            NaN
