|6.6.6
Archiving\03_Data\frac/QFM_m0.5/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1869.67        2500.00        99.1008       0.899185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.1008       0.899174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.1008       0.899179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.1008       0.899176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.1008       0.899174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.1008       0.899171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.1008       0.899168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.1008       0.899165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.1008       0.899160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.1008       0.899160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.1008       0.899157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.1008       0.899154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.1008       0.899151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.1009       0.899148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.1009       0.899145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.1009       0.899142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.1009       0.899139                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.1009       0.899136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.1009       0.899133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.1009       0.899129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.1009       0.899126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.1009       0.899123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.1009       0.899120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.1009       0.899117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.1009       0.899113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.1009       0.899110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.1009       0.899107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.1009       0.899103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.1009       0.899100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.1009       0.899097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.1009       0.899093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.1009       0.899090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.1009       0.899086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.1009       0.899083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.1009       0.899079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.1009       0.899076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.1009       0.899072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.1009       0.899069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.1009       0.899065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.1009       0.899066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.1009       0.899059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.1009       0.899054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.1009       0.899050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.1009       0.899065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.1010       0.899042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.1010       0.899038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.1010       0.899035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.1010       0.899031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.1010       0.899027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.1010       0.899023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.1010       0.899019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.1010       0.899015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.1010       0.899000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.1010       0.899006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.1010       0.899002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.1010       0.898996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.1010       0.898994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.1010       0.898990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.1010       0.898985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.1010       0.898981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.1010       0.898977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.1010       0.898972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.1010       0.898968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.1010       0.898963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.1010       0.898959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.1010       0.898954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.1010       0.898951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.1011       0.898945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.1011       0.898941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.1011       0.898936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.1011       0.898931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.1011       0.898927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.1010       0.898922       0.543615E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.0878       0.898917       0.132842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.0878       0.899031       0.131810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.0878       0.899144       0.130967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.0878       0.899257       0.129858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.0877       0.899368       0.128866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.0878       0.899478       0.127676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.0877       0.899588       0.126780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.0877       0.899696       0.125607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.0877       0.899804       0.124695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.0877       0.899910       0.124042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.0878       0.900016       0.122154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.0877       0.900120       0.121517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.0877       0.900224       0.120463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.0877       0.900327       0.119385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.0877       0.900428       0.118366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.0877       0.900529       0.117572E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.0877       0.900629       0.116468E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.0877       0.900728       0.115587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.0877       0.900826       0.114419E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.0877       0.900923       0.113643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.0877       0.901020       0.112463E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.0878       0.901115       0.111326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.0877       0.901209       0.110757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.0979       0.901317       0.786123E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.0987       0.901330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.0668       0.901297       0.318662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.0878       0.901578       0.106674E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.0877       0.901668       0.105839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.0877       0.901757       0.104972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6595       0.901862       0.107218E-001            NaN  0.427867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.3710                 NaN  0.108660E-001            NaN  0.618130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.9268                 NaN  0.184492E-001            NaN   1.05476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.8205                 NaN  0.310104E-002            NaN  0.176411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.3759                 NaN  0.107321E-001            NaN  0.613349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.3769                 NaN  0.106934E-001            NaN  0.612407                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.1618                 NaN  0.143594E-001            NaN  0.823814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.5985                 NaN  0.686528E-002            NaN  0.394642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.3821                 NaN  0.105388E-001            NaN  0.607314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.3830                 NaN  0.105050E-001            NaN  0.606538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.3849                 NaN  0.104532E-001            NaN  0.604612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.3669                 NaN  0.107555E-001            NaN  0.622370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.8112                 NaN  0.319047E-002            NaN  0.185651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9971                 NaN  0.169917E-001            NaN  0.985859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.3958                 NaN  0.102237E-001            NaN  0.593976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.2983                 NaN  0.118381E-001            NaN  0.689890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.5016                 NaN  0.841882E-002            NaN  0.489973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.4036                 NaN  0.100512E-001            NaN  0.586346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.4067                 NaN  0.999105E-002            NaN  0.583353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.4101                 NaN  0.992300E-002            NaN  0.580005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.4125                 NaN  0.987620E-002            NaN  0.577647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.4155                 NaN  0.980518E-002            NaN  0.574712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.4182                 NaN  0.975715E-002            NaN  0.572020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0749                 NaN  0.226032E-002            NaN  0.293784       0.629025                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.8938                 NaN            NaN            NaN  0.140600       0.965552                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9109                 NaN            NaN            NaN  0.137763       0.951369                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9233                 NaN            NaN            NaN  0.135828       0.940876                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9353                 NaN            NaN            NaN  0.131569       0.933176                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9475                 NaN            NaN            NaN  0.132309       0.920150                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9630                 NaN            NaN            NaN  0.128056       0.908923                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9734                 NaN            NaN            NaN  0.124889       0.901694                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.9847                 NaN            NaN            NaN  0.123921       0.891394                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.4212                 NaN            NaN            NaN  0.698742E-001  0.508910                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.5806                 NaN            NaN            NaN  0.165781        1.25362                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.0185                 NaN            NaN            NaN  0.118883       0.862651                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.0275                 NaN            NaN            NaN  0.111416       0.861113                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.0381                 NaN            NaN            NaN  0.111122       0.850731                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.0493                 NaN            NaN            NaN  0.109201       0.841506                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.0565                 NaN            NaN            NaN  0.109791       0.833732                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.0706                 NaN            NaN            NaN  0.103463       0.825975                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.0756                 NaN            NaN            NaN  0.100798       0.823591                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.0865                 NaN            NaN            NaN  0.101309       0.812197                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.0948                 NaN            NaN            NaN  0.978651E-001  0.807295                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.1008                 NaN            NaN            NaN  0.944927E-001  0.804752                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.1087                 NaN            NaN            NaN  0.918646E-001  0.799415                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.1188                 NaN            NaN            NaN  0.914181E-001  0.789747                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        99.1265                 NaN            NaN            NaN  0.895744E-001  0.783878                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        98.7757                 NaN            NaN            NaN  0.100225        1.05406       0.699851E-001            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.4745                 NaN            NaN            NaN  0.549194E-001  0.470555                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        98.9340                 NaN            NaN            NaN  0.346645E-003  0.170110E-001   1.04862                 NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        98.9027                 NaN            NaN            NaN            NaN            NaN   1.09735                 NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        98.8971                 NaN            NaN            NaN            NaN            NaN   1.10293                 NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        98.8899                 NaN            NaN            NaN            NaN            NaN   1.11013                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.8825                 NaN            NaN            NaN  0.223200E-005            NaN   1.11747                 NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.8647                 NaN            NaN            NaN            NaN            NaN   1.13533                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        98.8478                 NaN            NaN            NaN            NaN            NaN   1.15217                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        98.8298                 NaN            NaN            NaN            NaN            NaN   1.17016                 NaN            NaN            NaN            NaN            NaN
  1471.18        2500.00        98.6813                 NaN            NaN            NaN            NaN            NaN   1.04633       0.272352                 NaN            NaN            NaN            NaN
  1468.67        2500.00        98.3546                 NaN            NaN            NaN            NaN            NaN  0.512839        1.13255                 NaN            NaN            NaN            NaN
  1466.17        2500.00        98.3701                 NaN            NaN            NaN            NaN            NaN   1.11958       0.510298                 NaN            NaN            NaN            NaN
  1463.66        2500.00        98.3899                 NaN            NaN            NaN  0.569217E-005            NaN  0.507508        1.10255                 NaN            NaN            NaN            NaN
