|6.6.6
Archiving\03_Data\Dfrac/QFM_m4.75/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1726.82        2500.00        99.3497                 NaN  0.636550       0.137148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.2903                 NaN  0.694860       0.148227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3127                 NaN  0.673064       0.142811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3101                 NaN  0.675657       0.142732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3055                 NaN  0.680202       0.142510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.2989                 NaN  0.686832       0.143101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.2983                 NaN  0.687425       0.142365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.2925                 NaN  0.693231       0.142496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.2885                 NaN  0.697266       0.142816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2849                 NaN  0.700844       0.142662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.2820                 NaN  0.703720       0.142404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2751                 NaN  0.710578       0.143324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2994                 NaN  0.686812       0.137467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2436                 NaN  0.741616       0.148214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2675                 NaN  0.718241       0.142689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2666                 NaN  0.719215       0.141694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.2597                 NaN  0.725971       0.142873E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        98.1353                 NaN  0.472959       0.632967E-002   1.38538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        97.4635                 NaN  0.304763                 NaN   2.23169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        97.5209                 NaN  0.298909                 NaN   2.18023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.5802                 NaN  0.289810                 NaN   2.13002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.5988                 NaN  0.284076                 NaN   2.11716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.7057                 NaN  0.275408                 NaN   2.01886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.7344                 NaN  0.271005                 NaN   1.99462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        97.7807                 NaN  0.266531                 NaN   1.95281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        97.8237                 NaN  0.260654                 NaN   1.91564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        97.8682                 NaN  0.254291                 NaN   1.87751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        97.9127                 NaN  0.248173                 NaN   1.83912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        97.9523                 NaN  0.242374                 NaN   1.80532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        97.9940                 NaN  0.238284                 NaN   1.76773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.0327                 NaN  0.232270                 NaN   1.73500                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.0699                 NaN  0.226616                 NaN   1.70352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.1061                 NaN  0.222207                 NaN   1.67165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.1400                 NaN  0.219062                 NaN   1.64097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.1716                 NaN  0.213588                 NaN   1.61486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.2181                 NaN  0.206778                 NaN   1.57516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2332                 NaN  0.201660                 NaN   1.56518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.2696                 NaN  0.197691                 NaN   1.53274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.2865                 NaN  0.199520                 NaN   1.51400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.3504                 NaN  0.207209                 NaN   1.44240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.3621                 NaN  0.165190                 NaN   1.47268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.3413                 NaN  0.178306                 NaN   1.48044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4531                 NaN  0.176448                 NaN   1.37043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4426                 NaN  0.172275                 NaN   1.38517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.2656                 NaN  0.182989                 NaN   1.55136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6862                 NaN  0.144102                 NaN   1.16965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5163                 NaN  0.160527                 NaN   1.32321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5349                 NaN  0.156992                 NaN   1.30816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5641                 NaN  0.153388                 NaN   1.28249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.5829                 NaN  0.148124                 NaN   1.26896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6067                 NaN  0.149068                 NaN   1.24425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.6241                 NaN  0.142742                 NaN   1.23316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.6433                 NaN  0.137018                 NaN   1.21967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.5485                 NaN  0.445305E-001            NaN  0.406988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        97.7978                 NaN  0.214565                 NaN   1.98768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7056                 NaN  0.128993                 NaN   1.16543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.6332                 NaN  0.135181                 NaN   1.23166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8275                 NaN  0.113840                 NaN   1.05865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7571                 NaN  0.118731                 NaN   1.12421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.7758                 NaN  0.114046                 NaN   1.11015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.7896                 NaN  0.111782                 NaN   1.09857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.7973                 NaN  0.108031                 NaN   1.09466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8297                 NaN  0.105964                 NaN   1.06435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8368                 NaN  0.120925                 NaN   1.04228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8521                 NaN  0.815272E-001            NaN   1.06642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8660                 NaN  0.967684E-001            NaN   1.03726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8794                 NaN  0.936179E-001            NaN   1.02702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.8943                 NaN  0.912284E-001            NaN   1.01443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9065                 NaN  0.883008E-001            NaN   1.00523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.9209                 NaN  0.852888E-001            NaN  0.993834                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9305                 NaN  0.827476E-001            NaN  0.986800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.9429                 NaN  0.824503E-001            NaN  0.974693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9566                 NaN  0.718180E-001            NaN  0.971616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.9692                 NaN  0.757591E-001            NaN  0.955084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.9792                 NaN  0.724046E-001            NaN  0.948444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.9909                 NaN  0.705430E-001            NaN  0.938510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.0017                 NaN  0.644924E-001            NaN  0.933761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.0018                 NaN  0.593230E-001            NaN  0.888815       0.501069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.7848                 NaN            NaN            NaN  0.454336E-001   1.16976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.7874                 NaN            NaN            NaN            NaN   1.21264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.7910                 NaN            NaN            NaN            NaN   1.20904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.7915                 NaN            NaN            NaN            NaN   1.20852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.7935                 NaN            NaN            NaN            NaN   1.20654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.7944                 NaN            NaN            NaN            NaN   1.20558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.7897                 NaN            NaN            NaN            NaN   1.21029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.7858                 NaN            NaN            NaN            NaN   1.21425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        98.7784                 NaN            NaN            NaN            NaN   1.22162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        98.7722                 NaN            NaN            NaN            NaN   1.22782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        98.7577                 NaN            NaN            NaN            NaN   1.24232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
