|6.6.6
Archiving\03_Data\Dfrac/QFM_m4.75/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1802.01        2500.00        99.4807                 NaN  0.509517       0.979315E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4792                 NaN  0.510987       0.976409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4771                 NaN  0.513102       0.975157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4760                 NaN  0.514235       0.972716E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4740                 NaN  0.516329       0.971199E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4720                 NaN  0.518334       0.968276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5074                 NaN  0.483549       0.900386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4308                 NaN  0.558901       0.103203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4654                 NaN  0.524929       0.964849E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4624                 NaN  0.527959       0.964540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4624                 NaN  0.528025       0.957322E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4530                 NaN  0.537236       0.971837E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.0258                 NaN  0.957144       0.170904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.8902                 NaN  0.107882       0.192191E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4506                 NaN  0.539907       0.952897E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4475                 NaN  0.543001       0.953933E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4453                 NaN  0.545232       0.950487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4407                 NaN  0.549798       0.951774E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5136                 NaN  0.478112       0.824403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3609                 NaN  0.628397       0.107221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4323                 NaN  0.558228       0.947149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4288                 NaN  0.561693       0.946321E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4259                 NaN  0.564674       0.943878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4215                 NaN  0.569102       0.944576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4196                 NaN  0.570973       0.941513E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4160                 NaN  0.574609       0.939644E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4455                 NaN  0.545670       0.887798E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.9537                 NaN  0.454791E-001  0.826167E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        98.8325                 NaN   1.14908       0.184222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4017                 NaN  0.588902       0.938552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4237                 NaN  0.567272       0.899844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3716                 NaN  0.618639       0.971231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3920                 NaN  0.598651       0.935429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3901                 NaN  0.600555       0.934768E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3865                 NaN  0.604148       0.932473E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3812                 NaN  0.609425       0.935911E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3811                 NaN  0.609577       0.930603E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3767                 NaN  0.614000       0.930776E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3734                 NaN  0.617256       0.932518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3708                 NaN  0.619878       0.930928E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3689                 NaN  0.621826       0.928571E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3631                 NaN  0.627546       0.934331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3852                 NaN  0.605812       0.895253E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3366                 NaN  0.653780       0.965209E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3582                 NaN  0.632531       0.928198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3582                 NaN  0.632600       0.920947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3525                 NaN  0.638258       0.928301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        98.3313                 NaN  0.415915       0.411692E-002   1.24864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        97.7201                 NaN  0.267996                 NaN   2.01188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        97.7727                 NaN  0.262678                 NaN   1.96460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        97.8267                 NaN  0.254552                 NaN   1.91878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.8441                 NaN  0.249395                 NaN   1.90654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.9413                 NaN  0.241588                 NaN   1.81716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.9677                 NaN  0.237646                 NaN   1.79463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.0105                 NaN  0.233560                 NaN   1.75596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.0499                 NaN  0.228266                 NaN   1.72181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.0905                 NaN  0.222548                 NaN   1.68691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.1311                 NaN  0.217080                 NaN   1.65179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.1673                 NaN  0.211917                 NaN   1.62081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.2056                 NaN  0.208152                 NaN   1.58629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2409                 NaN  0.202768                 NaN   1.55629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2748                 NaN  0.197734                 NaN   1.52743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.3081                 NaN  0.193753                 NaN   1.49814                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.3392                 NaN  0.190882                 NaN   1.46988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3681                 NaN  0.185981                 NaN   1.44596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.4102                 NaN  0.179967                 NaN   1.40988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4243                 NaN  0.175410                 NaN   1.40029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4577                 NaN  0.171736                 NaN   1.37054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4745                 NaN  0.173140                 NaN   1.35236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5313                 NaN  0.179866                 NaN   1.28882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5415                 NaN  0.143294                 NaN   1.31518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5241                 NaN  0.154576                 NaN   1.32135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6242                 NaN  0.152901                 NaN   1.22285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6155                 NaN  0.149142                 NaN   1.23539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.4578                 NaN  0.158410                 NaN   1.38377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.8334                 NaN  0.124571                 NaN   1.04202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6827                 NaN  0.138708                 NaN   1.17859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6997                 NaN  0.135576                 NaN   1.16472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7264                 NaN  0.132341                 NaN   1.14126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7435                 NaN  0.127729                 NaN   1.12874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7652                 NaN  0.128470                 NaN   1.10631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7811                 NaN  0.122942                 NaN   1.09595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7986                 NaN  0.117888                 NaN   1.08347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.6009                 NaN  0.382139E-001            NaN  0.360860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.0493                 NaN  0.184606                 NaN   1.76612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8552                 NaN  0.110791                 NaN   1.03400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7916                 NaN  0.116022                 NaN   1.09235                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9642                 NaN  0.975932E-001            NaN  0.938194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9021                 NaN  0.101785                 NaN  0.996142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9190                 NaN  0.976793E-001            NaN  0.983289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9319                 NaN  0.956541E-001            NaN  0.972465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9391                 NaN  0.923656E-001            NaN  0.968502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9681                 NaN  0.905587E-001            NaN  0.941348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9752                 NaN  0.103275                 NaN  0.921491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9880                 NaN  0.695884E-001            NaN  0.942445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0013                 NaN  0.825105E-001            NaN  0.916175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0132                 NaN  0.798056E-001            NaN  0.906978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0270                 NaN  0.776885E-001            NaN  0.895267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0381                 NaN  0.751394E-001            NaN  0.886770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0511                 NaN  0.725278E-001            NaN  0.876394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0600                 NaN  0.703104E-001            NaN  0.869676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0712                 NaN  0.699986E-001            NaN  0.858759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0834                 NaN  0.609349E-001            NaN  0.855680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0950                 NaN  0.642452E-001            NaN  0.840707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1040                 NaN  0.613602E-001            NaN  0.834638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1148                 NaN  0.597254E-001            NaN  0.825433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1245                 NaN  0.545644E-001            NaN  0.820924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1245                 NaN  0.501578E-001            NaN  0.781103       0.441961E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.9288                 NaN            NaN            NaN  0.399082E-001   1.03126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.9312                 NaN            NaN            NaN            NaN   1.06878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.9350                 NaN            NaN            NaN            NaN   1.06495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.9363                 NaN            NaN            NaN            NaN   1.06373                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.9386                 NaN            NaN            NaN            NaN   1.06145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.9400                 NaN            NaN            NaN            NaN   1.05998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.9366                 NaN            NaN            NaN            NaN   1.06341                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.9336                 NaN            NaN            NaN            NaN   1.06636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        98.9279                 NaN            NaN            NaN            NaN   1.07213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        98.9231                 NaN            NaN            NaN            NaN   1.07688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        98.9113                 NaN            NaN            NaN            NaN   1.08873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
