|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1427.47        500.000        97.9326                 NaN  0.681205       0.714252       0.709756E-001            NaN  0.600921                 NaN            NaN            NaN
  1426.30        500.000        97.9820                 NaN  0.696892       0.665314       0.689962E-001            NaN  0.586759                 NaN            NaN            NaN
  1425.14        500.000        98.0325                 NaN  0.649003       0.679273       0.668291E-001            NaN  0.572374                 NaN            NaN            NaN
  1423.97        500.000        98.0777                 NaN  0.663245       0.634650       0.649454E-001            NaN  0.559452                 NaN            NaN            NaN
  1422.81        500.000        97.8180                 NaN  0.721012       0.752181       0.733769E-001            NaN  0.635390                 NaN            NaN            NaN
  1421.64        500.000        98.4732                 NaN  0.504420       0.526765       0.510083E-001            NaN  0.444579                 NaN            NaN            NaN
  1420.48        500.000        98.2059                 NaN  0.618503       0.593332       0.595137E-001            NaN  0.522780                 NaN            NaN            NaN
  1419.31        500.000        98.2484                 NaN  0.578997       0.604489       0.576782E-001            NaN  0.510411                 NaN            NaN            NaN
  1418.15        500.000        98.2849                 NaN  0.567225       0.591700       0.562496E-001            NaN  0.499970                 NaN            NaN            NaN
  1416.98        500.000        98.3225                 NaN  0.554990       0.578723       0.546648E-001            NaN  0.489115                 NaN            NaN            NaN
  1415.82        500.000        98.3562                 NaN  0.543928       0.567064       0.532413E-001            NaN  0.479548                 NaN            NaN            NaN
  1414.66        500.000        98.3911                 NaN  0.532733       0.554860       0.518370E-001            NaN  0.469437                 NaN            NaN            NaN
  1413.49        500.000        98.4247                 NaN  0.543598       0.521681       0.503787E-001            NaN  0.459594                 NaN            NaN            NaN
  1412.33        500.000        98.4554                 NaN  0.511597       0.533131       0.491206E-001            NaN  0.450779                 NaN            NaN            NaN
  1411.16        500.000        98.4861                 NaN  0.501697       0.522339       0.479005E-001            NaN  0.441960                 NaN            NaN            NaN
  1410.00        500.000        98.5161                 NaN  0.491626       0.512336       0.466860E-001            NaN  0.433238                 NaN            NaN            NaN
  1408.83        500.000        98.5442                 NaN  0.482637       0.502719       0.453784E-001            NaN  0.425085                 NaN            NaN            NaN
  1407.67        500.000        98.5718                 NaN  0.473488       0.493358       0.442491E-001            NaN  0.417125                 NaN            NaN            NaN
  1406.50        500.000        98.5978                 NaN  0.464803       0.484880       0.430366E-001            NaN  0.409466                 NaN            NaN            NaN
  1405.34        500.000        98.6251                 NaN  0.455847       0.475467       0.420234E-001            NaN  0.401586                 NaN            NaN            NaN
  1404.17        500.000        98.6496                 NaN  0.447631       0.467354       0.409148E-001            NaN  0.394484                 NaN            NaN            NaN
  1403.01        500.000        98.6735                 NaN  0.439755       0.459234       0.399362E-001            NaN  0.387625                 NaN            NaN            NaN
  1401.84        500.000        98.6975                 NaN  0.451101       0.431971       0.389053E-001            NaN  0.380536                 NaN            NaN            NaN
  1400.68        500.000        98.7201                 NaN  0.424476       0.443490       0.379746E-001            NaN  0.373947                 NaN            NaN            NaN
  1399.51        500.000        98.7417                 NaN  0.417322       0.436281       0.370019E-001            NaN  0.367650                 NaN            NaN            NaN
  1398.35        500.000        98.7639                 NaN  0.429026       0.409858       0.360405E-001            NaN  0.361164                 NaN            NaN            NaN
  1397.18        500.000        98.7832                 NaN  0.403614       0.422340       0.352786E-001            NaN  0.355582                 NaN            NaN            NaN
  1396.02        500.000        98.8063                 NaN  0.414925       0.395730       0.342746E-001            NaN  0.348722                 NaN            NaN            NaN
  1394.85        500.000        98.5833                 NaN  0.469016       0.493381       0.401834E-001            NaN  0.414096                 NaN            NaN            NaN
  1393.69        500.000        99.0855                 NaN  0.318255       0.303213       0.259179E-001            NaN  0.267151                 NaN            NaN            NaN
  1392.52        500.000        98.8636                 NaN  0.396143       0.376419       0.318126E-001            NaN  0.332048                 NaN            NaN            NaN
  1391.36        500.000        98.8797                 NaN  0.371120       0.391052       0.310123E-001            NaN  0.327090                 NaN            NaN            NaN
  1390.20        500.000        98.8994                 NaN  0.384271       0.364530       0.303062E-001            NaN  0.321445                 NaN            NaN            NaN
  1389.03        500.000        98.9128                 NaN  0.359847       0.379817       0.297184E-001            NaN  0.317791                 NaN            NaN            NaN
  1387.87        500.000        98.9269                 NaN  0.355041       0.375610       0.289786E-001            NaN  0.313499                 NaN            NaN            NaN
  1386.70        500.000        98.9576                 NaN  0.365683       0.344807       0.277935E-001            NaN  0.304085                 NaN            NaN            NaN
  1385.54        500.000        98.9649                 NaN  0.363268       0.342319       0.273787E-001            NaN  0.302175                 NaN            NaN            NaN
  1384.37        500.000        98.9806                 NaN  0.357955       0.337046       0.267793E-001            NaN  0.297573                 NaN            NaN            NaN
  1383.21        500.000        98.9951                 NaN  0.353558       0.332053       0.260649E-001            NaN  0.293249                 NaN            NaN            NaN
  1382.04        500.000        99.0084                 NaN  0.327861       0.348765       0.256077E-001            NaN  0.289386                 NaN            NaN            NaN
  1380.88        500.000        99.0271                 NaN  0.343102       0.321469       0.246426E-001            NaN  0.283732                 NaN            NaN            NaN
  1379.71        500.000        99.0395                 NaN  0.316933       0.339262       0.241571E-001            NaN  0.280118                 NaN            NaN            NaN
  1378.55        500.000        99.0528                 NaN  0.312419       0.335054       0.235575E-001            NaN  0.276204                 NaN            NaN            NaN
  1377.38        500.000        99.0662                 NaN  0.307950       0.330555       0.229809E-001            NaN  0.272293                 NaN            NaN            NaN
  1376.22        500.000        99.0798                 NaN  0.303103       0.326524       0.223944E-001            NaN  0.268213                 NaN            NaN            NaN
  1375.05        500.000        99.0921                 NaN  0.298793       0.322833       0.217708E-001            NaN  0.264530                 NaN            NaN            NaN
  1373.89        500.000        99.1052                 NaN  0.294293       0.318635       0.212115E-001            NaN  0.260648                 NaN            NaN            NaN
  1372.72        500.000        99.1167                 NaN  0.290358       0.315056       0.206554E-001            NaN  0.257224                 NaN            NaN            NaN
  1371.56        500.000        99.1296                 NaN  0.311188       0.285747       0.201053E-001            NaN  0.253376                 NaN            NaN            NaN
  1370.39        500.000        99.2616                 NaN  0.242581       0.264086       0.167775E-001            NaN  0.214906                 NaN            NaN            NaN
  1369.23        500.000        99.0315                 NaN  0.317151       0.348073       0.216236E-001            NaN  0.281641                 NaN            NaN            NaN
  1368.06        500.000        99.1639                 NaN  0.273979       0.300431       0.185206E-001            NaN  0.243145                 NaN            NaN            NaN
  1366.90        500.000        99.1747                 NaN  0.297365       0.270018       0.179748E-001            NaN  0.239898                 NaN            NaN            NaN
  1365.74        500.000        99.1854                 NaN  0.266302       0.294088       0.174814E-001            NaN  0.236683                 NaN            NaN            NaN
  1364.57        500.000        99.1949                 NaN  0.263082       0.290839       0.171652E-001            NaN  0.233975                 NaN            NaN            NaN
  1363.41        500.000        99.2079                 NaN  0.258303       0.287421       0.164481E-001            NaN  0.229935                 NaN            NaN            NaN
  1362.24        500.000        99.2156                 NaN  0.285208       0.255369       0.161173E-001            NaN  0.227731                 NaN            NaN            NaN
  1361.08        500.000        99.2275                 NaN  0.251629       0.281340       0.155424E-001            NaN  0.224021                 NaN            NaN            NaN
  1359.91        500.000        99.2360                 NaN  0.248155       0.279187       0.150400E-001            NaN  0.221572                 NaN            NaN            NaN
  1358.75        500.000        99.2455                 NaN  0.276162       0.245079       0.145691E-001            NaN  0.218690                 NaN            NaN            NaN
  1357.58        500.000        99.2555                 NaN  0.273634       0.241068       0.141131E-001            NaN  0.215649                 NaN            NaN            NaN
  1356.42        500.000        99.2645                 NaN  0.238142       0.270625       0.137202E-001            NaN  0.213008                 NaN            NaN            NaN
  1355.25        500.000        99.2734                 NaN  0.234971       0.267974       0.133052E-001            NaN  0.210304                 NaN            NaN            NaN
  1354.09        500.000        99.2810                 NaN  0.232088       0.265972       0.128891E-001            NaN  0.208095                 NaN            NaN            NaN
  1352.92        500.000        99.2918                 NaN  0.228091       0.263020       0.123435E-001            NaN  0.204713                 NaN            NaN            NaN
  1351.76        500.000        99.2991                 NaN  0.260744       0.225579       0.119927E-001            NaN  0.202599                 NaN            NaN            NaN
  1350.59        500.000        99.3075                 NaN  0.258287       0.222576       0.115877E-001            NaN  0.200078                 NaN            NaN            NaN
  1349.43        500.000        99.3151                 NaN  0.219665       0.256276       0.111705E-001            NaN  0.197788                 NaN            NaN            NaN
  1348.26        500.000        99.3235                 NaN  0.253924       0.216566       0.107606E-001            NaN  0.195238                 NaN            NaN            NaN
  1347.10        500.000        99.3304                 NaN  0.252229       0.213918       0.103372E-001            NaN  0.193074                 NaN            NaN            NaN
  1345.93        500.000        99.3402                 NaN  0.210106       0.249663       0.986054E-002            NaN  0.190175                 NaN            NaN            NaN
  1344.77        500.000        99.3469                 NaN  0.247739       0.207758       0.949043E-002            NaN  0.188113                 NaN            NaN            NaN
  1343.60        500.000        99.3541                 NaN  0.205177       0.245656       0.914282E-002            NaN  0.185972                 NaN            NaN            NaN
  1342.44        500.000        99.3608                 NaN  0.202527       0.244045       0.869396E-002            NaN  0.183901                 NaN            NaN            NaN
  1341.28        500.000        99.3687                 NaN  0.199608       0.241748       0.840336E-002            NaN  0.181544                 NaN            NaN            NaN
  1340.11        500.000        99.3753                 NaN  0.239948       0.197177       0.799770E-002            NaN  0.179543                 NaN            NaN            NaN
  1338.95        500.000        99.3821                 NaN  0.238368       0.194430       0.759180E-002            NaN  0.177471                 NaN            NaN            NaN
  1337.78        500.000        3.35635        95.2805       0.225463       0.699914       0.134000E-001            NaN  0.424327                 NaN            NaN            NaN
  1336.62        500.000        7.32616        91.2399       0.211745       0.758399       0.131956E-001            NaN  0.450616                 NaN            NaN            NaN
  1335.45        500.000        10.6524        88.1204       0.187857       0.643871       0.109274E-001            NaN  0.384553                 NaN            NaN            NaN
  1334.29        500.000        11.5518        87.9405       0.315863                 NaN  0.284937E-001            NaN  0.163414                 NaN            NaN            NaN
  1333.12        500.000        98.4753                 NaN   1.02103       0.294453E-001            NaN            NaN  0.474267                 NaN            NaN            NaN
  1331.96        500.000        99.5931                 NaN  0.266656                 NaN  0.133883E-001            NaN  0.126887                 NaN            NaN            NaN
  1330.79        500.000        99.5679                 NaN  0.272419                 NaN  0.228621E-001            NaN  0.136845                 NaN            NaN            NaN
  1329.63        500.000        98.4629                 NaN   1.07267                 NaN            NaN            NaN  0.464419                 NaN            NaN            NaN
  1328.46        500.000        99.7735                 NaN  0.147725                 NaN            NaN            NaN  0.788203E-001            NaN            NaN            NaN
  1327.30        500.000        99.6483                 NaN  0.230507                 NaN  0.131727E-001            NaN  0.108065                 NaN            NaN            NaN
  1326.13        500.000        98.7504                 NaN  0.879267                 NaN            NaN            NaN  0.370382                 NaN            NaN            NaN
  1324.97        500.000        99.4946                 NaN  0.338238                 NaN            NaN            NaN  0.167186                 NaN            NaN            NaN
  1323.80        500.000        99.5024                 NaN  0.919983E-001  0.254959                 NaN            NaN  0.150598                 NaN            NaN            NaN
  1322.64        500.000        99.5226                 NaN  0.237337       0.969099E-001            NaN            NaN  0.143107                 NaN            NaN            NaN
  1321.47        500.000        99.7425                 NaN  0.183424                 NaN            NaN            NaN  0.740928E-001            NaN            NaN            NaN
  1320.31        500.000        99.3683                 NaN  0.628791E-002  0.434415                 NaN            NaN  0.190987                 NaN            NaN            NaN
  1319.14        500.000        99.7534                 NaN  0.176397                 NaN            NaN            NaN  0.701819E-001            NaN            NaN            NaN
  1317.98        500.000        99.7415                 NaN  0.178638                 NaN  0.503040E-002            NaN  0.748133E-001            NaN            NaN            NaN
  1316.82        500.000        99.2815                 NaN  0.510302                 NaN            NaN            NaN  0.208187                 NaN            NaN            NaN
  1315.65        500.000        99.8212                 NaN  0.121056                 NaN            NaN            NaN  0.577063E-001            NaN            NaN            NaN
  1314.49        500.000        99.4203                 NaN  0.128552       0.296828                 NaN            NaN  0.154321                 NaN            NaN            NaN
  1313.32        500.000        99.6740                 NaN  0.219795                 NaN            NaN            NaN  0.106176                 NaN            NaN            NaN
  1312.16        500.000        99.6682                 NaN  0.343782E-001  0.194270                 NaN            NaN  0.103125                 NaN            NaN            NaN
  1310.99        500.000        99.6645                 NaN  0.866849E-001  0.152251                 NaN            NaN  0.966096E-001            NaN            NaN            NaN
  1309.83        500.000        99.6735                 NaN  0.146012       0.870979E-001            NaN            NaN  0.933964E-001            NaN            NaN            NaN
  1308.66        500.000        99.6788                 NaN  0.142669       0.868958E-001            NaN            NaN  0.916259E-001            NaN            NaN            NaN
  1307.50        500.000        99.6868                 NaN  0.136909       0.875751E-001            NaN            NaN  0.887255E-001            NaN            NaN            NaN
  1306.33        500.000        99.6911                 NaN  0.133808       0.878440E-001            NaN            NaN  0.872297E-001            NaN            NaN            NaN
  1305.17        500.000        99.6965                 NaN  0.885824E-001  0.129670                 NaN            NaN  0.852443E-001            NaN            NaN            NaN
  1304.00        500.000        99.7013                 NaN  0.895015E-001  0.125785                 NaN            NaN  0.834164E-001            NaN            NaN            NaN
  1302.84        500.000        99.7046                 NaN  0.903212E-001  0.122938                 NaN            NaN  0.821565E-001            NaN            NaN            NaN
  1301.67        500.000        99.7083                 NaN  0.915984E-001  0.119425                 NaN            NaN  0.806446E-001            NaN            NaN            NaN
  1300.51        500.000        99.7112                 NaN  0.930669E-001  0.116389                 NaN            NaN  0.793924E-001            NaN            NaN            NaN
  1299.34        500.000        99.7134                 NaN  0.943627E-001  0.113861                 NaN            NaN  0.784226E-001            NaN            NaN            NaN
  1298.18        500.000        99.7157                 NaN  0.110563       0.965263E-001            NaN            NaN  0.772342E-001            NaN            NaN            NaN
  1297.01        500.000        99.7170                 NaN  0.986627E-001  0.107909                 NaN            NaN  0.764147E-001            NaN            NaN            NaN
  1295.85        500.000        99.7179                 NaN  0.105741       0.100644                 NaN            NaN  0.757543E-001            NaN            NaN            NaN
  1294.68        500.000        99.7188                 NaN  0.103689       0.102579                 NaN            NaN  0.749140E-001            NaN            NaN            NaN
  1293.52        500.000        99.7794                 NaN  0.166029                 NaN            NaN            NaN  0.545308E-001            NaN            NaN            NaN
  1292.36        500.000        99.6573                 NaN  0.519558E-001  0.196523                 NaN            NaN  0.941965E-001            NaN            NaN            NaN
  1291.19        500.000        99.7172                 NaN  0.113251       0.956665E-001            NaN            NaN  0.738420E-001            NaN            NaN            NaN
  1290.03        500.000        99.7160                 NaN  0.117080       0.932538E-001            NaN            NaN  0.736233E-001            NaN            NaN            NaN
  1288.86        500.000        97.3608                 NaN  0.627360       0.156011                 NaN            NaN  0.344464        1.51132                 NaN            NaN
  1287.70        500.000        93.3883                 NaN   1.50154       0.216832                 NaN            NaN  0.788846        4.10453                 NaN            NaN
  1286.53        500.000        95.6510                 NaN  0.185347       0.959327                 NaN            NaN  0.517166        2.68718                 NaN            NaN
  1285.37        500.000        96.7792                 NaN  0.167083       0.690614                 NaN            NaN  0.381845        1.98126                 NaN            NaN
  1284.20        500.000        97.4299                 NaN  0.536481       0.154925                 NaN            NaN  0.303903        1.57474                 NaN            NaN
  1283.04        500.000        97.8885                 NaN  0.425015       0.150169                 NaN            NaN  0.248524        1.28777                 NaN            NaN
  1281.87        500.000        98.1765                 NaN  0.354698       0.146925                 NaN            NaN  0.213801        1.10812                 NaN            NaN
  1280.71        500.000        98.3884                 NaN  0.301269       0.146886                 NaN            NaN  0.188082       0.975368                 NaN            NaN
  1279.54        500.000        98.5455                 NaN  0.149873       0.259302                 NaN            NaN  0.168791       0.876536                 NaN            NaN
  1278.38        500.000        98.6597                 NaN  0.226341       0.155446                 NaN            NaN  0.154559       0.803940                 NaN            NaN
  1277.21        500.000        98.5878                 NaN  0.151848       0.242986                 NaN            NaN  0.168948       0.848423                 NaN            NaN
  1276.05        500.000        98.4140                 NaN  0.283345       0.147413                 NaN            NaN  0.198877       0.956337                 NaN            NaN
  1274.88        500.000        98.0693                 NaN  0.363756       0.153808                 NaN            NaN  0.236161        1.17693                 NaN            NaN
  1273.72        500.000        98.1003                 NaN  0.178748       0.337731                 NaN            NaN  0.229521        1.15373                 NaN            NaN
  1272.55        500.000        98.1718                 NaN  0.288828       0.220840                 NaN            NaN  0.218532        1.09997                 NaN            NaN
  1271.39        500.000        98.1358                 NaN  0.251492       0.283220                 NaN            NaN  0.220158        1.10936                 NaN            NaN
  1270.22        500.000        97.9558                 NaN  0.384638       0.220600                 NaN            NaN  0.238209        1.20079                 NaN            NaN
  1269.06        500.000        97.5298                 NaN  0.562984       0.193097                 NaN            NaN  0.283905        1.43020                 NaN            NaN
  1267.90        500.000        96.5331                 NaN  0.939602       0.158747                 NaN            NaN  0.393076        1.97545                 NaN            NaN
  1266.73        500.000        94.2153                 NaN   1.63702                 NaN            NaN            NaN  0.625148        3.25654       0.265971                 NaN
  1265.57        500.000        97.4035                 NaN  0.681113                 NaN            NaN            NaN  0.263875        1.48686       0.164701                 NaN
  1264.40        500.000        97.2780                 NaN  0.728733                 NaN            NaN            NaN  0.276149        1.54579       0.171336                 NaN
  1263.24        500.000        97.0867                 NaN  0.796124                 NaN            NaN            NaN  0.294491        1.64003       0.182609                 NaN
  1262.07        500.000        96.7936                 NaN  0.896603                 NaN            NaN            NaN  0.322880        1.78685       0.200039                 NaN
  1260.91        500.000        96.3330                 NaN   1.05203                 NaN            NaN            NaN  0.367844        2.01958       0.227495                 NaN
  1259.74        500.000        95.5587                 NaN   1.31089                 NaN            NaN            NaN  0.442626        2.41276       0.274979                 NaN
  1258.58        500.000        94.1076                 NaN   1.79707                 NaN            NaN            NaN  0.582968        3.14859       0.363814                 NaN
  1257.41        500.000        95.8898                 NaN   1.14603                 NaN            NaN            NaN  0.430783        2.27845       0.254925                 NaN
  1256.25        500.000        97.6931                 NaN  0.492847                 NaN            NaN            NaN  0.243831        1.43155       0.138682                 NaN
  1255.08        500.000        97.7657                 NaN  0.476768                 NaN            NaN            NaN  0.235872        1.38831       0.133330                 NaN
  1253.92        500.000        97.8343                 NaN  0.462295                 NaN            NaN            NaN  0.228560        1.34683       0.128018                 NaN
  1252.75        500.000        97.8996                 NaN  0.447746                 NaN            NaN            NaN  0.221422        1.30800       0.123201                 NaN
  1251.59        500.000        97.9638                 NaN  0.432606                 NaN            NaN            NaN  0.214233        1.27066       0.118731                 NaN
  1250.42        500.000        98.0239                 NaN  0.420269                 NaN            NaN            NaN  0.207792        1.23414       0.113910                 NaN
  1249.26        500.000        98.0760                 NaN  0.408758                 NaN            NaN            NaN  0.202121        1.20322       0.109861                 NaN
  1248.09        500.000        98.1389                 NaN  0.396018                 NaN            NaN            NaN  0.195078        1.16484       0.105165                 NaN
  1246.93        500.000        98.1890                 NaN  0.383816                 NaN            NaN            NaN  0.189717        1.13591       0.101559                 NaN
  1245.76        500.000        98.2396                 NaN  0.372652                 NaN            NaN            NaN  0.184007        1.10609       0.976898E-001            NaN
  1244.60        500.000        98.2886                 NaN  0.362331                 NaN            NaN            NaN  0.178522        1.07643       0.940851E-001            NaN
  1243.44        500.000        98.3340                 NaN  0.352266                 NaN            NaN            NaN  0.173646        1.04961       0.904489E-001            NaN
  1242.27        500.000        98.3800                 NaN  0.342421                 NaN            NaN            NaN  0.168625        1.02200       0.869917E-001            NaN
  1241.11        500.000        98.4236                 NaN  0.332298                 NaN            NaN            NaN  0.163530       0.996591       0.839791E-001            NaN
  1239.94        500.000        98.4631                 NaN  0.324291                 NaN            NaN            NaN  0.159545       0.972501       0.805843E-001            NaN
  1238.78        500.000        98.5051                 NaN  0.314934                 NaN            NaN            NaN  0.154694       0.947584       0.776945E-001            NaN
  1237.61        500.000        98.5435                 NaN  0.306170                 NaN            NaN            NaN  0.150298       0.925134       0.749386E-001            NaN
  1236.45        500.000        98.5809                 NaN  0.297706                 NaN            NaN            NaN  0.146101       0.903068       0.722146E-001            NaN
  1235.28        500.000        98.6171                 NaN  0.289792                 NaN            NaN            NaN  0.142137       0.881452       0.695548E-001            NaN
  1234.12        500.000        98.6506                 NaN  0.282717                 NaN            NaN            NaN  0.138499       0.861193       0.669605E-001            NaN
  1232.95        500.000        98.6842                 NaN  0.275312                 NaN            NaN            NaN  0.134626       0.841269       0.646094E-001            NaN
  1231.79        500.000        98.7182                 NaN  0.267315                 NaN            NaN            NaN  0.130729       0.821364       0.623498E-001            NaN
  1230.62        500.000        98.7457                 NaN  0.262149                 NaN            NaN            NaN  0.128247       0.804097       0.597856E-001            NaN
  1229.46        500.000        98.7783                 NaN  0.254653                 NaN            NaN            NaN  0.124076       0.785137       0.578640E-001            NaN
  1228.29        500.000        98.8073                 NaN  0.247648                 NaN            NaN            NaN  0.120975       0.768244       0.558576E-001            NaN
  1227.13        500.000        98.8349                 NaN  0.242145                 NaN            NaN            NaN  0.117849       0.751319       0.538266E-001            NaN
  1225.96        500.000        98.8615                 NaN  0.236141                 NaN            NaN            NaN  0.114961       0.735466       0.519399E-001            NaN
  1224.80        500.000        91.1558                 NaN  0.848938                 NaN            NaN            NaN  0.675494        3.80149       0.173907        3.34436     
  1223.63        500.000        87.1005                 NaN   1.18192                 NaN            NaN            NaN  0.970839        5.37607       0.228813        5.14189     
  1222.47        500.000        88.1357                 NaN   1.11052                 NaN            NaN            NaN  0.897164        4.92556       0.202618        4.72841     
  1221.30        500.000        88.9354                 NaN   1.03067                 NaN            NaN            NaN  0.830070        4.59164       0.187865        4.42440     
  1220.14        500.000        90.2184                 NaN  0.890454                 NaN            NaN            NaN  0.736318        4.05988       0.161984        3.93297     
  1218.98        500.000        89.8222                 NaN   1.07836                 NaN            NaN            NaN  0.781131        4.15690       0.153670        4.00770     
  1217.81        500.000        79.0295                 NaN   1.71697                 NaN  0.872911E-001            NaN   1.81635        8.57836       0.239492        8.53204     
  1216.65        500.000        99.5899                 NaN  0.404013                 NaN            NaN            NaN            NaN  0.612342E-002            NaN            NaN
  1215.48        500.000        98.3011                 NaN  0.258902                 NaN            NaN            NaN  0.891306E-001  0.780635       0.309251E-001  0.539285     
  1214.32        500.000        76.5287                 NaN   1.63626                 NaN  0.265890                 NaN   1.82907        9.64966       0.308334        9.78204     
  1213.15        500.000        93.5692                 NaN  0.736681                 NaN  0.459728E-001            NaN  0.474133        2.56674       0.875974E-001   2.51963     
  1211.99        500.000        93.8384                 NaN  0.724333                 NaN  0.410075E-001            NaN  0.453261        2.45511       0.832778E-001   2.40465     
  1210.82        500.000        94.1782                 NaN  0.743006                 NaN  0.235668E-001            NaN  0.398813        2.17311       0.744479E-001   2.40885     
  1209.66        500.000        94.7245                 NaN  0.750002                 NaN  0.155427E-001            NaN  0.372935        2.03508       0.697183E-001   2.03224     
  1208.49        500.000        94.2178                 NaN  0.740187                 NaN  0.272082E-001            NaN  0.413401        2.24155       0.742782E-001   2.28561     
  1207.33        500.000        93.9071                 NaN  0.738279                 NaN  0.324784E-001            NaN  0.436104        2.35921       0.761394E-001   2.45065     
  1206.16        500.000        91.4965                 NaN  0.649312                 NaN  0.962031E-001            NaN  0.640643        3.42719       0.103215        3.58690     
  1205.00        500.000        94.9340                 NaN  0.801004                 NaN  0.476237E-002            NaN  0.373849        2.00852       0.634850E-001   1.81436     
  1203.83        500.000        94.4193                 NaN  0.348845                 NaN  0.693082E-001            NaN  0.423881        2.30592       0.701445E-001   2.36264     
  1202.67        500.000        89.1794                 NaN   1.05552                 NaN  0.924441E-001            NaN  0.801616        4.33107       0.126076        4.41391     
  1201.50        500.000        73.0147                 NaN   2.69547                 NaN  0.237467                 NaN   1.94441        10.8892       0.316471        10.9023     
  1200.34        500.000       100.0000                 NaN            NaN            NaN  0.135601E-005            NaN  0.153605E-005            NaN            NaN  0.202114E-004
  1199.17        500.000       100.0000                 NaN  0.352073E-005            NaN            NaN            NaN  0.207177E-005  0.185961E-004            NaN            NaN
