|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1444.94        500.000        97.3797                 NaN  0.875938       0.827239       0.407579E-001            NaN  0.876371                 NaN            NaN            NaN
  1443.77        500.000        97.2119                 NaN  0.930893       0.880896       0.431640E-001            NaN  0.933127                 NaN            NaN            NaN
  1442.61        500.000        97.3129                 NaN  0.896385       0.849439       0.413754E-001            NaN  0.899917                 NaN            NaN            NaN
  1441.44        500.000        97.4058                 NaN  0.820579       0.864518       0.397260E-001            NaN  0.869365                 NaN            NaN            NaN
  1440.28        500.000        97.4941                 NaN  0.793441       0.833900       0.381917E-001            NaN  0.840374                 NaN            NaN            NaN
  1439.12        500.000        97.5763                 NaN  0.805670       0.767950       0.367580E-001            NaN  0.813330                 NaN            NaN            NaN
  1437.95        500.000        97.6565                 NaN  0.742623       0.778910       0.352973E-001            NaN  0.786641                 NaN            NaN            NaN
  1436.79        500.000        97.7287                 NaN  0.753532       0.720469       0.340962E-001            NaN  0.763214                 NaN            NaN            NaN
  1435.62        500.000        97.7992                 NaN  0.730066       0.698129       0.328211E-001            NaN  0.739770                 NaN            NaN            NaN
  1434.46        500.000        97.8634                 NaN  0.707916       0.678391       0.317214E-001            NaN  0.718619                 NaN            NaN            NaN
  1433.29        500.000        97.9270                 NaN  0.686551       0.658301       0.305885E-001            NaN  0.697572                 NaN            NaN            NaN
  1432.13        500.000        97.9862                 NaN  0.666223       0.640145       0.295343E-001            NaN  0.677912                 NaN            NaN            NaN
  1430.96        500.000        98.0426                 NaN  0.622189       0.647351       0.285572E-001            NaN  0.659281                 NaN            NaN            NaN
  1429.80        500.000        98.0966                 NaN  0.605398       0.628923       0.276267E-001            NaN  0.641433                 NaN            NaN            NaN
  1428.63        500.000        98.1457                 NaN  0.590059       0.612253       0.267736E-001            NaN  0.625196                 NaN            NaN            NaN
  1427.47        500.000        98.1967                 NaN  0.573966       0.595232       0.258959E-001            NaN  0.608185                 NaN            NaN            NaN
  1426.30        500.000        98.2417                 NaN  0.580014       0.559905       0.251466E-001            NaN  0.593231                 NaN            NaN            NaN
  1425.14        500.000        98.2875                 NaN  0.545519       0.564595       0.243306E-001            NaN  0.578085                 NaN            NaN            NaN
  1423.97        500.000        98.3286                 NaN  0.550546       0.532830       0.236197E-001            NaN  0.564452                 NaN            NaN            NaN
  1422.81        500.000        98.1043                 NaN  0.604769       0.623711       0.266643E-001            NaN  0.640567                 NaN            NaN            NaN
  1421.64        500.000        98.6758                 NaN  0.422311       0.435950       0.185042E-001            NaN  0.447452                 NaN            NaN            NaN
  1420.48        500.000        98.4448                 NaN  0.511425       0.496340       0.215762E-001            NaN  0.525844                 NaN            NaN            NaN
  1419.31        500.000        98.4833                 NaN  0.483796       0.499168       0.208890E-001            NaN  0.512886                 NaN            NaN            NaN
  1418.15        500.000        98.5163                 NaN  0.473426       0.488006       0.203507E-001            NaN  0.501895                 NaN            NaN            NaN
  1416.98        500.000        98.5504                 NaN  0.462678       0.476696       0.197571E-001            NaN  0.490511                 NaN            NaN            NaN
  1415.82        500.000        98.5809                 NaN  0.452922       0.466522       0.192231E-001            NaN  0.480444                 NaN            NaN            NaN
  1414.66        500.000        98.6124                 NaN  0.443130       0.455898       0.186971E-001            NaN  0.469854                 NaN            NaN            NaN
  1413.49        500.000        98.6428                 NaN  0.446083       0.433425       0.181529E-001            NaN  0.459556                 NaN            NaN            NaN
  1412.33        500.000        98.6705                 NaN  0.424574       0.436954       0.176819E-001            NaN  0.450307                 NaN            NaN            NaN
  1411.16        500.000        98.6982                 NaN  0.415898       0.427600       0.172256E-001            NaN  0.441074                 NaN            NaN            NaN
  1410.00        500.000        98.7253                 NaN  0.407093       0.418907       0.167724E-001            NaN  0.431958                 NaN            NaN            NaN
  1408.83        500.000        98.7506                 NaN  0.399202       0.410511       0.162867E-001            NaN  0.423428                 NaN            NaN            NaN
  1407.67        500.000        98.7754                 NaN  0.391202       0.402394       0.158659E-001            NaN  0.415109                 NaN            NaN            NaN
  1406.50        500.000        98.7989                 NaN  0.383588       0.394980       0.154163E-001            NaN  0.407106                 NaN            NaN            NaN
  1405.34        500.000        98.8234                 NaN  0.375798       0.386870       0.150389E-001            NaN  0.398901                 NaN            NaN            NaN
  1404.17        500.000        98.8455                 NaN  0.368617       0.379805       0.146281E-001            NaN  0.391485                 NaN            NaN            NaN
  1403.01        500.000        98.8669                 NaN  0.361740       0.372769       0.142647E-001            NaN  0.384326                 NaN            NaN            NaN
  1401.84        500.000        98.8885                 NaN  0.365727       0.354961       0.138834E-001            NaN  0.376953                 NaN            NaN            NaN
  1400.68        500.000        98.9088                 NaN  0.348432       0.359140       0.135386E-001            NaN  0.370091                 NaN            NaN            NaN
  1399.51        500.000        98.9282                 NaN  0.342184       0.352880       0.131795E-001            NaN  0.363532                 NaN            NaN            NaN
  1398.35        500.000        98.9481                 NaN  0.346607       0.335701       0.128252E-001            NaN  0.356800                 NaN            NaN            NaN
  1397.18        500.000        98.9654                 NaN  0.330252       0.340823       0.125425E-001            NaN  0.350973                 NaN            NaN            NaN
  1396.02        500.000        98.9860                 NaN  0.334449       0.323449       0.121744E-001            NaN  0.343897                 NaN            NaN            NaN
  1394.85        500.000        98.7974                 NaN  0.382983       0.397288       0.142629E-001            NaN  0.408085                 NaN            NaN            NaN
  1393.69        500.000        99.2248                 NaN  0.255859       0.247233       0.918599E-002            NaN  0.262897                 NaN            NaN            NaN
  1392.52        500.000        99.0372                 NaN  0.318221       0.306702       0.112693E-001            NaN  0.326599                 NaN            NaN            NaN
  1391.36        500.000        99.0518                 NaN  0.302065       0.313751       0.109760E-001            NaN  0.321446                 NaN            NaN            NaN
  1390.20        500.000        99.0693                 NaN  0.307991       0.296413       0.107166E-001            NaN  0.315627                 NaN            NaN            NaN
  1389.03        500.000        99.0813                 NaN  0.292298       0.304087       0.104995E-001            NaN  0.311775                 NaN            NaN            NaN
  1387.87        500.000        99.0940                 NaN  0.288094       0.300366       0.102291E-001            NaN  0.307304                 NaN            NaN            NaN
  1386.70        500.000        99.1208                 NaN  0.292108       0.279516       0.980209E-002            NaN  0.297822                 NaN            NaN            NaN
  1385.54        500.000        99.1276                 NaN  0.289852       0.277212       0.964754E-002            NaN  0.295708                 NaN            NaN            NaN
  1384.37        500.000        99.1416                 NaN  0.285316       0.272677       0.942823E-002            NaN  0.290963                 NaN            NaN            NaN
  1383.21        500.000        99.1545                 NaN  0.281483       0.268367       0.916883E-002            NaN  0.286499                 NaN            NaN            NaN
  1382.04        500.000        99.1664                 NaN  0.264712       0.277402       0.900037E-002            NaN  0.282494                 NaN            NaN            NaN
  1380.88        500.000        99.1827                 NaN  0.272564       0.259285       0.865377E-002            NaN  0.276748                 NaN            NaN            NaN
  1379.71        500.000        99.1939                 NaN  0.255385       0.269237       0.847618E-002            NaN  0.273002                 NaN            NaN            NaN
  1378.55        500.000        99.2057                 NaN  0.251502       0.265612       0.825890E-002            NaN  0.268972                 NaN            NaN            NaN
  1377.38        500.000        99.2176                 NaN  0.247656       0.261775       0.805005E-002            NaN  0.264951                 NaN            NaN            NaN
  1376.22        500.000        99.2296                 NaN  0.243529       0.258307       0.783813E-002            NaN  0.260774                 NaN            NaN            NaN
  1375.05        500.000        99.2405                 NaN  0.239824       0.255103       0.761360E-002            NaN  0.256990                 NaN            NaN            NaN
  1373.89        500.000        99.2521                 NaN  0.235988       0.251528       0.741196E-002            NaN  0.253021                 NaN            NaN            NaN
  1372.72        500.000        99.2622                 NaN  0.232612       0.248432       0.721178E-002            NaN  0.249503                 NaN            NaN            NaN
  1371.56        500.000        99.2736                 NaN  0.245131       0.228698       0.701408E-002            NaN  0.245580                 NaN            NaN            NaN
  1370.39        500.000        99.3843                 NaN  0.193911       0.207791       0.584790E-002            NaN  0.208115                 NaN            NaN            NaN
  1369.23        500.000        99.1928                 NaN  0.253395       0.273671       0.753324E-002            NaN  0.272613                 NaN            NaN            NaN
  1368.06        500.000        99.3039                 NaN  0.218651       0.235925       0.644580E-002            NaN  0.235123                 NaN            NaN            NaN
  1366.90        500.000        99.3134                 NaN  0.233271       0.215281       0.625091E-002            NaN  0.231809                 NaN            NaN            NaN
  1365.74        500.000        99.3228                 NaN  0.212121       0.230466       0.607458E-002            NaN  0.228531                 NaN            NaN            NaN
  1364.57        500.000        99.3312                 NaN  0.209370       0.227707       0.596008E-002            NaN  0.225748                 NaN            NaN            NaN
  1363.41        500.000        99.3425                 NaN  0.205365       0.224788       0.570666E-002            NaN  0.221685                 NaN            NaN            NaN
  1362.24        500.000        99.3493                 NaN  0.222841       0.202849       0.558763E-002            NaN  0.219399                 NaN            NaN            NaN
  1361.08        500.000        99.3597                 NaN  0.199693       0.219587       0.538419E-002            NaN  0.215667                 NaN            NaN            NaN
  1359.91        500.000        99.3672                 NaN  0.196740       0.217681       0.520623E-002            NaN  0.213155                 NaN            NaN            NaN
  1358.75        500.000        99.3755                 NaN  0.215106       0.194127       0.503943E-002            NaN  0.210230                 NaN            NaN            NaN
  1357.58        500.000        99.3843                 NaN  0.212932       0.190775       0.487804E-002            NaN  0.207159                 NaN            NaN            NaN
  1356.42        500.000        99.3921                 NaN  0.188290       0.210392       0.473868E-002            NaN  0.204476                 NaN            NaN            NaN
  1355.25        500.000        99.3999                 NaN  0.185620       0.208127       0.459196E-002            NaN  0.201738                 NaN            NaN            NaN
  1354.09        500.000        99.4065                 NaN  0.183176       0.206361       0.444508E-002            NaN  0.199478                 NaN            NaN            NaN
  1352.92        500.000        99.4159                 NaN  0.179853       0.203875       0.425381E-002            NaN  0.196098                 NaN            NaN            NaN
  1351.76        500.000        99.4223                 NaN  0.201916       0.177714       0.412994E-002            NaN  0.193940                 NaN            NaN            NaN
  1350.59        500.000        99.4296                 NaN  0.199828       0.175187       0.398758E-002            NaN  0.191394                 NaN            NaN            NaN
  1349.43        500.000        99.4363                 NaN  0.172737       0.198077       0.384126E-002            NaN  0.189074                 NaN            NaN            NaN
  1348.26        500.000        99.4436                 NaN  0.196066       0.170163       0.369766E-002            NaN  0.186510                 NaN            NaN            NaN
  1347.10        500.000        99.4496                 NaN  0.194559       0.167930       0.354968E-002            NaN  0.184317                 NaN            NaN            NaN
  1345.93        500.000        99.4580                 NaN  0.164779       0.192405       0.338360E-002            NaN  0.181428                 NaN            NaN            NaN
  1344.77        500.000        99.4639                 NaN  0.190742       0.162800       0.325433E-002            NaN  0.179342                 NaN            NaN            NaN
  1343.60        500.000        99.4701                 NaN  0.160637       0.188964       0.313296E-002            NaN  0.177183                 NaN            NaN            NaN
  1342.44        500.000        99.4760                 NaN  0.158415       0.187537       0.297709E-002            NaN  0.175095                 NaN            NaN            NaN
  1341.28        500.000        99.4828                 NaN  0.156007       0.185619       0.287560E-002            NaN  0.172737                 NaN            NaN            NaN
  1340.11        500.000        99.4885                 NaN  0.184055       0.153972       0.273493E-002            NaN  0.170723                 NaN            NaN            NaN
  1338.95        500.000        99.4944                 NaN  0.182669       0.151692       0.259437E-002            NaN  0.168643                 NaN            NaN            NaN
  1337.78        500.000        3.43312        95.4471       0.175848       0.536218       0.457843E-002            NaN  0.403162                 NaN            NaN            NaN
  1336.62        500.000        7.48279        91.3402       0.164885       0.580117       0.450195E-002            NaN  0.427524                 NaN            NaN            NaN
  1335.45        500.000        10.8612        88.1332       0.146014       0.491602       0.372160E-002            NaN  0.364220                 NaN            NaN            NaN
  1334.29        500.000        11.7562        87.8347       0.244935                 NaN  0.968600E-002            NaN  0.154488                 NaN            NaN            NaN
  1333.12        500.000        98.7507                 NaN  0.778045       0.228405E-001            NaN            NaN  0.448400                 NaN            NaN            NaN
  1331.96        500.000        99.6696                 NaN  0.206232                 NaN  0.454010E-002            NaN  0.119672                 NaN            NaN            NaN
  1330.79        500.000        99.6528                 NaN  0.210471                 NaN  0.774922E-002            NaN  0.129009                 NaN            NaN            NaN
  1329.63        500.000        98.7473                 NaN  0.814812                 NaN            NaN            NaN  0.437925                 NaN            NaN            NaN
  1328.46        500.000        99.8120                 NaN  0.113854                 NaN            NaN            NaN  0.741250E-001            NaN            NaN            NaN
  1327.30        500.000        99.7164                 NaN  0.177565                 NaN  0.445318E-002            NaN  0.101618                 NaN            NaN            NaN
  1326.13        500.000        98.9859                 NaN  0.665785                 NaN            NaN            NaN  0.348356                 NaN            NaN            NaN
  1324.97        500.000        99.5875                 NaN  0.255557                 NaN            NaN            NaN  0.156925                 NaN            NaN            NaN
  1323.80        500.000        99.5955                 NaN  0.707091E-001  0.192479                 NaN            NaN  0.141278                 NaN            NaN            NaN
  1322.64        500.000        99.6123                 NaN  0.179055       0.744337E-001            NaN            NaN  0.134175                 NaN            NaN            NaN
  1321.47        500.000        99.7899                 NaN  0.140705                 NaN            NaN            NaN  0.694227E-001            NaN            NaN            NaN
  1320.31        500.000        99.4889                 NaN  0.482396E-002  0.327336                 NaN            NaN  0.178945                 NaN            NaN            NaN
  1319.14        500.000        99.7992                 NaN  0.135102                 NaN            NaN            NaN  0.656928E-001            NaN            NaN            NaN
  1317.98        500.000        99.7916                 NaN  0.136728                 NaN  0.169198E-002            NaN  0.700122E-001            NaN            NaN            NaN
  1316.82        500.000        99.4215                 NaN  0.383700                 NaN            NaN            NaN  0.194831                 NaN            NaN            NaN
  1315.65        500.000        99.8535                 NaN  0.925149E-001            NaN            NaN            NaN  0.539372E-001            NaN            NaN            NaN
  1314.49        500.000        99.5345                 NaN  0.983204E-001  0.222918                 NaN            NaN  0.144261                 NaN            NaN            NaN
  1313.32        500.000        99.7360                 NaN  0.164842                 NaN            NaN            NaN  0.991653E-001            NaN            NaN            NaN
  1312.16        500.000        99.7319                 NaN  0.262400E-001  0.145613                 NaN            NaN  0.962798E-001            NaN            NaN            NaN
  1310.99        500.000        99.7297                 NaN  0.661144E-001  0.114025                 NaN            NaN  0.901645E-001            NaN            NaN            NaN
  1309.83        500.000        99.7372                 NaN  0.109284       0.663889E-001            NaN            NaN  0.871321E-001            NaN            NaN            NaN
  1308.66        500.000        99.7417                 NaN  0.106707       0.661901E-001            NaN            NaN  0.854485E-001            NaN            NaN            NaN
  1307.50        500.000        99.7483                 NaN  0.102346       0.666727E-001            NaN            NaN  0.827131E-001            NaN            NaN            NaN
  1306.33        500.000        99.7519                 NaN  0.999513E-001  0.668301E-001            NaN            NaN  0.812895E-001            NaN            NaN            NaN
  1305.17        500.000        99.7564                 NaN  0.673538E-001  0.968041E-001            NaN            NaN  0.794112E-001            NaN            NaN            NaN
  1304.00        500.000        99.7605                 NaN  0.680167E-001  0.938511E-001            NaN            NaN  0.776812E-001            NaN            NaN            NaN
  1302.84        500.000        99.7633                 NaN  0.685900E-001  0.916666E-001            NaN            NaN  0.764817E-001            NaN            NaN            NaN
  1301.67        500.000        99.7664                 NaN  0.695258E-001  0.889972E-001            NaN            NaN  0.750487E-001            NaN            NaN            NaN
  1300.51        500.000        99.7689                 NaN  0.705875E-001  0.866668E-001            NaN            NaN  0.738587E-001            NaN            NaN            NaN
  1299.34        500.000        99.7708                 NaN  0.715268E-001  0.847493E-001            NaN            NaN  0.729321E-001            NaN            NaN            NaN
  1298.18        500.000        99.7728                 NaN  0.822323E-001  0.731263E-001            NaN            NaN  0.718032E-001            NaN            NaN            NaN
  1297.01        500.000        99.7741                 NaN  0.746999E-001  0.802085E-001            NaN            NaN  0.710180E-001            NaN            NaN            NaN
  1295.85        500.000        99.7749                 NaN  0.785381E-001  0.761539E-001            NaN            NaN  0.703813E-001            NaN            NaN            NaN
  1294.68        500.000        99.7759                 NaN  0.784086E-001  0.761532E-001            NaN            NaN  0.695778E-001            NaN            NaN            NaN
  1293.52        500.000        99.8240                 NaN  0.125415                 NaN            NaN            NaN  0.506285E-001            NaN            NaN            NaN
  1292.36        500.000        99.7276                 NaN  0.392417E-001  0.145735                 NaN            NaN  0.874409E-001            NaN            NaN            NaN
  1291.19        500.000        99.7751                 NaN  0.854685E-001  0.708799E-001            NaN            NaN  0.685150E-001            NaN            NaN            NaN
  1290.03        500.000        99.7743                 NaN  0.883104E-001  0.690564E-001            NaN            NaN  0.682896E-001            NaN            NaN            NaN
  1288.86        500.000        97.5863                 NaN  0.464942       0.117769                 NaN            NaN  0.319937        1.51104                 NaN            NaN
  1287.70        500.000        93.8733                 NaN   1.11447       0.163969                 NaN            NaN  0.734463        4.11379                 NaN            NaN
  1286.53        500.000        95.9819                 NaN  0.139794       0.710062                 NaN            NaN  0.480527        2.68775                 NaN            NaN
  1285.37        500.000        97.0301                 NaN  0.125804       0.510222                 NaN            NaN  0.354395        1.97946                 NaN            NaN
  1284.20        500.000        97.6337                 NaN  0.395768       0.116484                 NaN            NaN  0.281852        1.57218                 NaN            NaN
  1283.04        500.000        98.0588                 NaN  0.313112       0.112776                 NaN            NaN  0.230366        1.28497                 NaN            NaN
  1281.87        500.000        98.3261                 NaN  0.260916       0.110183                 NaN            NaN  0.198010        1.10475                 NaN            NaN
  1280.71        500.000        98.5223                 NaN  0.221389       0.110050                 NaN            NaN  0.174135       0.972098                 NaN            NaN
  1279.54        500.000        98.6678                 NaN  0.112178       0.190374                 NaN            NaN  0.156234       0.873366                 NaN            NaN
  1278.38        500.000        98.7739                 NaN  0.166000       0.116246                 NaN            NaN  0.143031       0.800859                 NaN            NaN
  1277.21        500.000        98.7069                 NaN  0.113513       0.178135                 NaN            NaN  0.156336       0.845109                 NaN            NaN
  1276.05        500.000        98.5455                 NaN  0.207763       0.110209                 NaN            NaN  0.184021       0.952542                 NaN            NaN
  1274.88        500.000        98.2273                 NaN  0.266763       0.115004                 NaN            NaN  0.218550        1.17239                 NaN            NaN
  1273.72        500.000        98.2575                 NaN  0.133602       0.247589                 NaN            NaN  0.212351        1.14894                 NaN            NaN
  1272.55        500.000        98.3260                 NaN  0.211674       0.165004                 NaN            NaN  0.202146        1.09516                 NaN            NaN
  1271.39        500.000        98.2964                 NaN  0.184243       0.211518                 NaN            NaN  0.203603        1.10422                 NaN            NaN
  1270.22        500.000        98.1359                 NaN  0.287160       0.161575                 NaN            NaN  0.220282        1.19511                 NaN            NaN
  1269.06        500.000        97.7523                 NaN  0.420194       0.141414                 NaN            NaN  0.262561        1.42351                 NaN            NaN
  1267.90        500.000        96.8505                 NaN  0.701551       0.116329                 NaN            NaN  0.363828        1.96780                 NaN            NaN
  1266.73        500.000        94.8068                 NaN   1.22339                 NaN            NaN            NaN  0.579166        3.24689       0.143753                 NaN
  1265.57        500.000        97.6858                 NaN  0.506349                 NaN            NaN            NaN  0.243383        1.47588       0.886226E-001            NaN
  1264.40        500.000        97.5799                 NaN  0.540711                 NaN            NaN            NaN  0.254452        1.53285       0.921000E-001            NaN
  1263.24        500.000        97.4167                 NaN  0.589621                 NaN            NaN            NaN  0.271066        1.62459       0.980543E-001            NaN
  1262.07        500.000        97.1652                 NaN  0.662673                 NaN            NaN            NaN  0.296856        1.76801       0.107289                 NaN
  1260.91        500.000        96.7688                 NaN  0.775756                 NaN            NaN            NaN  0.337770        1.99578       0.121859                 NaN
  1259.74        500.000        96.1017                 NaN  0.964353                 NaN            NaN            NaN  0.405869        2.38102       0.147086                 NaN
  1258.58        500.000        94.8511                 NaN   1.31843                 NaN            NaN            NaN  0.533733        3.10244       0.194301                 NaN
  1257.41        500.000        96.4020                 NaN  0.836300                 NaN            NaN            NaN  0.392416        2.23380       0.135459                 NaN
  1256.25        500.000        97.9490                 NaN  0.358136                 NaN            NaN            NaN  0.221276        1.39819       0.734124E-001            NaN
  1255.08        500.000        98.0154                 NaN  0.345884                 NaN            NaN            NaN  0.213814        1.35443       0.704990E-001            NaN
  1253.92        500.000        98.0781                 NaN  0.334815                 NaN            NaN            NaN  0.206957        1.31250       0.676142E-001            NaN
  1252.75        500.000        98.1377                 NaN  0.323787                 NaN            NaN            NaN  0.200275        1.27327       0.649985E-001            NaN
  1251.59        500.000        98.1958                 NaN  0.312440                 NaN            NaN            NaN  0.193565        1.23559       0.625723E-001            NaN
  1250.42        500.000        98.2507                 NaN  0.302955                 NaN            NaN            NaN  0.187548        1.19880       0.599673E-001            NaN
  1249.26        500.000        98.2982                 NaN  0.294183                 NaN            NaN            NaN  0.182241        1.16755       0.577751E-001            NaN
  1248.09        500.000        98.3553                 NaN  0.284568                 NaN            NaN            NaN  0.175709        1.12914       0.552473E-001            NaN
  1246.93        500.000        98.4006                 NaN  0.275421                 NaN            NaN            NaN  0.170709        1.09997       0.532986E-001            NaN
  1245.76        500.000        98.4463                 NaN  0.266987                 NaN            NaN            NaN  0.165407        1.07004       0.512164E-001            NaN
  1244.60        500.000        98.4909                 NaN  0.259202                 NaN            NaN            NaN  0.160320        1.04032       0.492776E-001            NaN
  1243.44        500.000        98.5319                 NaN  0.251594                 NaN            NaN            NaN  0.155791        1.01341       0.473270E-001            NaN
  1242.27        500.000        98.5734                 NaN  0.244189                 NaN            NaN            NaN  0.151143       0.985812       0.454742E-001            NaN
  1241.11        500.000        98.6126                 NaN  0.236664                 NaN            NaN            NaN  0.146440       0.960405       0.438579E-001            NaN
  1239.94        500.000        98.6484                 NaN  0.230522                 NaN            NaN            NaN  0.142741       0.936330       0.420459E-001            NaN
  1238.78        500.000        98.6861                 NaN  0.223597                 NaN            NaN            NaN  0.138275       0.911506       0.405009E-001            NaN
  1237.61        500.000        98.7205                 NaN  0.217081                 NaN            NaN            NaN  0.134227       0.889119       0.390291E-001            NaN
  1236.45        500.000        98.7541                 NaN  0.210783                 NaN            NaN            NaN  0.130365       0.867153       0.375770E-001            NaN
  1235.28        500.000        98.7866                 NaN  0.204890                 NaN            NaN            NaN  0.126720       0.845662       0.361614E-001            NaN
  1234.12        500.000        98.8168                 NaN  0.199561                 NaN            NaN            NaN  0.123373       0.825527       0.347829E-001            NaN
  1232.95        500.000        98.8468                 NaN  0.194096                 NaN            NaN            NaN  0.119823       0.805751       0.335332E-001            NaN
  1231.79        500.000        98.8771                 NaN  0.188230                 NaN            NaN            NaN  0.116260       0.786034       0.323335E-001            NaN
  1230.62        500.000        98.9019                 NaN  0.184230                 NaN            NaN            NaN  0.113961       0.768895       0.309786E-001            NaN
  1229.46        500.000        98.9309                 NaN  0.178783                 NaN            NaN            NaN  0.110168       0.750164       0.299587E-001            NaN
  1228.29        500.000        98.9567                 NaN  0.173658                 NaN            NaN            NaN  0.107331       0.733451       0.288970E-001            NaN
  1227.13        500.000        98.9814                 NaN  0.169532                 NaN            NaN            NaN  0.104478       0.716740       0.278247E-001            NaN
  1225.96        500.000        99.0051                 NaN  0.165110                 NaN            NaN            NaN  0.101841       0.701085       0.268288E-001            NaN
  1224.80        500.000        91.8713                 NaN  0.595975                 NaN            NaN            NaN  0.602185        3.64683       0.903955E-001   3.19333     
  1223.63        500.000        88.0766                 NaN  0.830791                 NaN            NaN            NaN  0.868662        5.17673       0.119371        4.92787     
  1222.47        500.000        89.0442                 NaN  0.778172                 NaN            NaN            NaN  0.802282        4.74060       0.105643        4.52913     
  1221.30        500.000        89.7840                 NaN  0.721765                 NaN            NaN            NaN  0.742000        4.41789       0.979120E-001   4.23642     
  1220.14        500.000        90.9696                 NaN  0.621678                 NaN            NaN            NaN  0.657691        3.90365       0.843571E-001   3.76307     
  1218.98        500.000        90.6336                 NaN  0.749945                 NaN            NaN            NaN  0.698264        4.00039       0.800889E-001   3.83767     
  1217.81        500.000        80.4387                 NaN   1.18707                 NaN  0.282319E-001            NaN   1.63886        8.33439       0.125984        8.24675     
  1216.65        500.000        99.7146                 NaN  0.279544                 NaN            NaN            NaN            NaN  0.584797E-002            NaN            NaN
  1215.48        500.000        98.4677                 NaN  0.179083                 NaN            NaN            NaN  0.790628E-001  0.745683       0.159928E-001  0.512473     
  1214.32        500.000        78.0758                 NaN   1.15135                 NaN  0.861563E-001            NaN   1.65359        9.39632       0.162510        9.47427     
  1213.15        500.000        94.1363                 NaN  0.510978                 NaN  0.146843E-001            NaN  0.422551        2.46422       0.455118E-001   2.40571     
  1211.99        500.000        94.3871                 NaN  0.502108                 NaN  0.130902E-001            NaN  0.403711        2.35606       0.432414E-001   2.29464     
  1210.82        500.000        94.7019                 NaN  0.514773                 NaN  0.751861E-002            NaN  0.355026        2.08463       0.386352E-001   2.29748     
  1209.66        500.000        95.2203                 NaN  0.519197                 NaN  0.495444E-002            NaN  0.331718        1.95091       0.361507E-001   1.93675     
  1208.49        500.000        94.7455                 NaN  0.512380                 NaN  0.867224E-002            NaN  0.367692        2.14909       0.385124E-001   2.17814     
  1207.33        500.000        94.4542                 NaN  0.511008                 NaN  0.103502E-001            NaN  0.387826        2.26202       0.394710E-001   2.33513     
  1206.16        500.000        92.1790                 NaN  0.450195                 NaN  0.307072E-001            NaN  0.570657        3.29235       0.535938E-001   3.42350     
  1205.00        500.000        95.4289                 NaN  0.553803                 NaN  0.151555E-002            NaN  0.332019        1.92428       0.328659E-001   1.72661     
  1203.83        500.000        94.8675                 NaN  0.241305                 NaN  0.220472E-001            NaN  0.376310        2.20901       0.362991E-001   2.24757     
  1202.67        500.000        90.0674                 NaN  0.733335                 NaN  0.295457E-001            NaN  0.715038        4.17009       0.655522E-001   4.21900     
  1201.50        500.000        74.8856                 NaN   1.91308                 NaN  0.769432E-001            NaN   1.75839        10.6339       0.166820        10.5652     
