|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.25/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1468.99        500.000                 NaN   99.0546                 NaN            NaN  0.437489       0.507931                 NaN            NaN            NaN            NaN            NaN
  1467.67        500.000                 NaN   98.9924                 NaN            NaN  0.620582       0.387035                 NaN            NaN            NaN            NaN            NaN
  1466.36        500.000                 NaN   99.0002                 NaN            NaN  0.383756       0.616037                 NaN            NaN            NaN            NaN            NaN
  1465.04        500.000                 NaN   99.0105                 NaN            NaN  0.609149       0.380355                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000                 NaN   99.0181                 NaN            NaN  0.377812       0.604118                 NaN            NaN            NaN            NaN            NaN
  1462.41        500.000       0.779000E-003   99.0258                 NaN            NaN  0.598209       0.375171                 NaN            NaN            NaN            NaN            NaN
  1461.09        500.000       0.313551E-002   99.0335                 NaN            NaN  0.374104       0.589237                 NaN            NaN            NaN            NaN            NaN
  1459.77        500.000       0.305756E-002   99.0396                 NaN            NaN  0.371366       0.585993                 NaN            NaN            NaN            NaN            NaN
  1458.45        500.000       0.294827E-002   99.0531                 NaN            NaN  0.577252       0.366675                 NaN            NaN            NaN            NaN            NaN
  1457.14        500.000       0.289415E-002   99.0506                 NaN            NaN  0.367389       0.579116                 NaN            NaN            NaN            NaN            NaN
  1455.82        500.000       0.276632E-002   99.0731                 NaN            NaN  0.565048       0.359097                 NaN            NaN            NaN            NaN            NaN
  1454.50        500.000       0.269500E-002   99.0764                 NaN            NaN  0.563416       0.357535                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000       0.261214E-002   99.0834                 NaN            NaN  0.559302       0.354670                 NaN            NaN            NaN            NaN            NaN
  1451.87        500.000       0.252792E-002   99.0910                 NaN            NaN  0.351552       0.554876                 NaN            NaN            NaN            NaN            NaN
  1450.55        500.000       0.245421E-002   99.0968                 NaN            NaN  0.349113       0.551657                 NaN            NaN            NaN            NaN            NaN
  1449.23        500.000       0.237259E-002   99.1031                 NaN            NaN  0.346714       0.547819                 NaN            NaN            NaN            NaN            NaN
  1447.91        500.000       0.227945E-002   99.1183                 NaN            NaN  0.537992       0.341461                 NaN            NaN            NaN            NaN            NaN
  1446.60        500.000       0.223288E-002   99.1202                 NaN            NaN  0.339614       0.537913                 NaN            NaN            NaN            NaN            NaN
  1445.28        500.000       0.214538E-002   99.1286                 NaN            NaN  0.336510       0.532772                 NaN            NaN            NaN            NaN            NaN
  1443.96        500.000       0.208066E-002   99.1349                 NaN            NaN  0.528975       0.334006                 NaN            NaN            NaN            NaN            NaN
  1442.64        500.000       0.202053E-002   99.1389                 NaN            NaN  0.332074       0.527043                 NaN            NaN            NaN            NaN            NaN
  1441.33        500.000       0.251616E-002   98.8520                 NaN            NaN  0.442908       0.702528                 NaN            NaN            NaN            NaN            NaN
  1440.01        500.000       0.120472E-002   99.4548                 NaN            NaN  0.210646       0.333304                 NaN            NaN            NaN            NaN            NaN
  1438.69        500.000       0.179589E-002   99.1628                 NaN            NaN  0.512065       0.323372                 NaN            NaN            NaN            NaN            NaN
  1437.37        500.000       0.172947E-002   99.1697                 NaN            NaN  0.508295       0.320229                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000       0.166622E-002   99.1756                 NaN            NaN  0.317711       0.505047                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000       0.161255E-002   99.1809                 NaN            NaN  0.315535       0.501917                 NaN            NaN            NaN            NaN            NaN
  1433.42        500.000       0.155031E-002   99.1855                 NaN            NaN  0.313559       0.499372                 NaN            NaN            NaN            NaN            NaN
  1432.11        500.000       0.148264E-002   99.1968                 NaN            NaN  0.492198       0.309549                 NaN            NaN            NaN            NaN            NaN
  1430.79        500.000       0.141437E-002   99.1994                 NaN            NaN  0.308078       0.491134                 NaN            NaN            NaN            NaN            NaN
  1429.47        500.000       0.136012E-002   99.2074                 NaN            NaN  0.304846       0.486358                 NaN            NaN            NaN            NaN            NaN
  1428.15        500.000       0.130043E-002   99.2122                 NaN            NaN  0.483618       0.302923                 NaN            NaN            NaN            NaN            NaN
  1426.84        500.000       0.124204E-002   99.2184                 NaN            NaN  0.479921       0.300394                 NaN            NaN            NaN            NaN            NaN
  1425.52        500.000       0.118198E-002   99.2238                 NaN            NaN  0.298257       0.476767                 NaN            NaN            NaN            NaN            NaN
  1424.20        500.000       0.113602E-002   99.2297                 NaN            NaN  0.473436       0.295750                 NaN            NaN            NaN            NaN            NaN
  1422.88        500.000       0.109013E-002   99.2352                 NaN            NaN  0.470171       0.293535                 NaN            NaN            NaN            NaN            NaN
  1421.57        500.000       0.103039E-002   99.2407                 NaN            NaN  0.466631       0.291603                 NaN            NaN            NaN            NaN            NaN
  1420.25        500.000       0.974359E-003   99.2463                 NaN            NaN  0.288980       0.463781                 NaN            NaN            NaN            NaN            NaN
  1418.93        500.000       0.930057E-003   99.2511                 NaN            NaN  0.460903       0.287054                 NaN            NaN            NaN            NaN            NaN
  1417.61        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.30        500.000       0.170408E-002   98.5199                 NaN            NaN  0.566812       0.911554                 NaN            NaN            NaN            NaN            NaN
  1414.98        500.000       0.773144E-003   99.2666                 NaN            NaN  0.280625       0.452011                 NaN            NaN            NaN            NaN            NaN
  1413.66        500.000                 NaN   98.6574                 NaN            NaN  0.526737       0.541929                 NaN  0.273978                 NaN            NaN            NaN
  1412.34        500.000       0.145544E-003   98.1705                 NaN            NaN  0.752324       0.580276                 NaN  0.496784                 NaN            NaN            NaN
  1411.03        500.000                 NaN   98.1970                 NaN            NaN  0.572805       0.740712                 NaN  0.489471                 NaN            NaN            NaN
  1409.71        500.000                 NaN   98.2253                 NaN            NaN  0.563908       0.728587                 NaN  0.482254                 NaN            NaN            NaN
  1408.39        500.000                 NaN   98.2565                 NaN            NaN  0.716047       0.554231                 NaN  0.473191                 NaN            NaN            NaN
  1407.07        500.000                 NaN   98.2813                 NaN            NaN  0.705706       0.546501                 NaN  0.466531                 NaN            NaN            NaN
  1405.76        500.000                 NaN   98.3033                 NaN            NaN  0.540185       0.696280                 NaN  0.460209                 NaN            NaN            NaN
  1404.44        500.000                 NaN   98.3340                 NaN            NaN  0.683750       0.530490                 NaN  0.451717                 NaN            NaN            NaN
  1403.12        500.000                 NaN   98.3593                 NaN            NaN  0.673599       0.522503                 NaN  0.444592                 NaN            NaN            NaN
  1401.81        500.000                 NaN   98.3799                 NaN            NaN  0.665318       0.515702                 NaN  0.439044                 NaN            NaN            NaN
  1400.49        500.000                 NaN   98.4048                 NaN            NaN  0.507891       0.655248                 NaN  0.432050                 NaN            NaN            NaN
  1399.17        500.000                 NaN   98.4276                 NaN            NaN  0.500923       0.645577                 NaN  0.425911                 NaN            NaN            NaN
  1397.85        500.000                 NaN   98.4499                 NaN            NaN  0.493932       0.636680                 NaN  0.419497                 NaN            NaN            NaN
  1396.54        500.000                 NaN   98.4467                 NaN            NaN  0.496132       0.636706                 NaN  0.420422                 NaN            NaN            NaN
  1395.22        500.000                 NaN   98.5137                 NaN            NaN  0.474447       0.610752                 NaN  0.401077                 NaN            NaN            NaN
  1393.90        500.000                 NaN   98.5117                 NaN            NaN  0.611504       0.474551                 NaN  0.402239                 NaN            NaN            NaN
  1392.58        500.000                 NaN   98.5308                 NaN            NaN  0.468584       0.603770                 NaN  0.396889                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.5511                 NaN            NaN  0.461828       0.595774                 NaN  0.391305                 NaN            NaN            NaN
  1389.95        500.000                 NaN   98.5710                 NaN            NaN  0.587697       0.455556                 NaN  0.385725                 NaN            NaN            NaN
  1388.63        500.000                 NaN   98.5880                 NaN            NaN  0.450049       0.581149                 NaN  0.380828                 NaN            NaN            NaN
  1387.31        500.000                 NaN   98.6058                 NaN            NaN  0.445177       0.573113                 NaN  0.375944                 NaN            NaN            NaN
  1386.00        500.000                 NaN   98.6228                 NaN            NaN  0.438378       0.567788                 NaN  0.371043                 NaN            NaN            NaN
  1384.68        500.000                 NaN   98.6425                 NaN            NaN  0.559353       0.432593                 NaN  0.365555                 NaN            NaN            NaN
  1383.36        500.000                 NaN   98.6560                 NaN            NaN  0.554079       0.428297                 NaN  0.361602                 NaN            NaN            NaN
  1382.04        500.000                 NaN   98.7545                 NaN            NaN  0.397348       0.512872                 NaN  0.335282                 NaN            NaN            NaN
  1380.73        500.000                 NaN   98.6027                 NaN            NaN  0.444686       0.577399                 NaN  0.375246                 NaN            NaN            NaN
  1379.41        500.000                 NaN   98.7073                 NaN            NaN  0.534014       0.411518                 NaN  0.347174                 NaN            NaN            NaN
  1378.09        500.000                 NaN   98.7198                 NaN            NaN  0.529124       0.407352                 NaN  0.343757                 NaN            NaN            NaN
  1376.77        500.000                 NaN   98.7343                 NaN            NaN  0.402412       0.523603                 NaN  0.339653                 NaN            NaN            NaN
  1375.46        500.000                 NaN   98.7482                 NaN            NaN  0.518265       0.397717                 NaN  0.335866                 NaN            NaN            NaN
  1374.14        500.000                 NaN   98.7636                 NaN            NaN  0.512186       0.392892                 NaN  0.331343                 NaN            NaN            NaN
  1372.82        500.000                 NaN   98.7779                 NaN            NaN  0.388001       0.506872                 NaN  0.327245                 NaN            NaN            NaN
  1371.50        500.000                 NaN   98.7899                 NaN            NaN  0.384115       0.502229                 NaN  0.323765                 NaN            NaN            NaN
  1370.19        500.000                 NaN   98.8038                 NaN            NaN  0.379402       0.496911                 NaN  0.319894                 NaN            NaN            NaN
  1368.87        500.000                 NaN   98.8156                 NaN            NaN  0.492861       0.375160                 NaN  0.316375                 NaN            NaN            NaN
  1367.55        500.000                 NaN   98.8216                 NaN            NaN  0.491093       0.372528                 NaN  0.314768                 NaN            NaN            NaN
  1366.24        500.000                 NaN   98.8491                 NaN            NaN  0.479808       0.364318                 NaN  0.306789                 NaN            NaN            NaN
  1364.92        500.000                 NaN   98.8519                 NaN            NaN  0.478406       0.363576                 NaN  0.306105                 NaN            NaN            NaN
  1363.60        500.000                 NaN   98.8645                 NaN            NaN  0.358815       0.474351                 NaN  0.302373                 NaN            NaN            NaN
  1362.28        500.000                 NaN   98.8719                 NaN            NaN  0.471274       0.356596                 NaN  0.300185                 NaN            NaN            NaN
  1360.97        500.000                 NaN   98.8906                 NaN            NaN  0.464796       0.349602                 NaN  0.295015                 NaN            NaN            NaN
  1359.65        500.000                 NaN   98.8972                 NaN            NaN  0.461969       0.347794                 NaN  0.292990                 NaN            NaN            NaN
  1358.33        500.000                 NaN   98.9098                 NaN            NaN  0.343179       0.457622                 NaN  0.289394                 NaN            NaN            NaN
  1357.01        500.000                 NaN   98.9140                 NaN            NaN  0.455370       0.342240                 NaN  0.288424                 NaN            NaN            NaN
  1355.70        500.000                 NaN   98.9363                 NaN            NaN  0.334402       0.447703                 NaN  0.281607                 NaN            NaN            NaN
  1354.38        500.000                 NaN   98.9399                 NaN            NaN  0.332088       0.447247                 NaN  0.280807                 NaN            NaN            NaN
  1353.06        500.000                 NaN   98.9494                 NaN            NaN  0.328982       0.443676                 NaN  0.277988                 NaN            NaN            NaN
  1351.74        500.000                 NaN   98.9585                 NaN            NaN  0.440264       0.325916                 NaN  0.275290                 NaN            NaN            NaN
  1350.43        500.000                 NaN   98.9689                 NaN            NaN  0.322193       0.436628                 NaN  0.272295                 NaN            NaN            NaN
  1349.11        500.000                 NaN   98.9775                 NaN            NaN  0.433372       0.319277                 NaN  0.269816                 NaN            NaN            NaN
  1347.79        500.000                 NaN   98.9848                 NaN            NaN  0.432085       0.315193                 NaN  0.267959                 NaN            NaN            NaN
  1346.47        500.000                 NaN   98.9987                 NaN            NaN  0.426463       0.311187                 NaN  0.263620                 NaN            NaN            NaN
  1345.16        500.000                 NaN   99.0029                 NaN            NaN  0.424489       0.310222                 NaN  0.262416                 NaN            NaN            NaN
  1343.84        500.000                 NaN   99.0128                 NaN            NaN  0.305828       0.421799                 NaN  0.259528                 NaN            NaN            NaN
  1342.52        500.000                 NaN   99.0176                 NaN            NaN  0.303568       0.420528                 NaN  0.258305                 NaN            NaN            NaN
  1341.20        500.000                 NaN   99.0325                 NaN            NaN  0.299322       0.414443                 NaN  0.253753                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.0372                 NaN            NaN  0.296909       0.413386                 NaN  0.252465                 NaN            NaN            NaN
  1338.57        500.000                 NaN   99.0446                 NaN            NaN  0.294137       0.410962                 NaN  0.250305                 NaN            NaN            NaN
  1337.25        500.000                 NaN   99.0516                 NaN            NaN  0.408717       0.291416                 NaN  0.248249                 NaN            NaN            NaN
  1335.94        500.000                 NaN   99.0588                 NaN            NaN  0.406826       0.288320                 NaN  0.246095                 NaN            NaN            NaN
  1334.62        500.000                 NaN   99.0673                 NaN            NaN  0.285679       0.403350                 NaN  0.243647                 NaN            NaN            NaN
  1333.30        500.000                 NaN   99.0738                 NaN            NaN  0.282302       0.402086                 NaN  0.241771                 NaN            NaN            NaN
  1331.98        500.000                 NaN   99.0805                 NaN            NaN  0.399523       0.280187                 NaN  0.239755                 NaN            NaN            NaN
  1330.67        500.000                 NaN   99.0876                 NaN            NaN  0.397475       0.277145                 NaN  0.237757                 NaN            NaN            NaN
  1329.35        500.000                 NaN   99.0935                 NaN            NaN  0.395412       0.275169                 NaN  0.235910                 NaN            NaN            NaN
  1328.03        500.000                 NaN   99.1010                 NaN            NaN  0.272118       0.393121                 NaN  0.233796                 NaN            NaN            NaN
  1326.71        500.000                 NaN   99.1071                 NaN            NaN  0.269179       0.391720                 NaN  0.231961                 NaN            NaN            NaN
  1325.40        500.000                 NaN   99.1126                 NaN            NaN  0.266950       0.389913                 NaN  0.230567                 NaN            NaN            NaN
  1324.08        500.000                 NaN   99.1207                 NaN            NaN  0.263287       0.388029                 NaN  0.228029                 NaN            NaN            NaN
  1322.76        500.000                 NaN   99.1258                 NaN            NaN  0.261114       0.386536                 NaN  0.226586                 NaN            NaN            NaN
  1321.44        500.000                 NaN   99.1310                 NaN            NaN  0.258670       0.385408                 NaN  0.224899                 NaN            NaN            NaN
  1320.13        500.000                 NaN   99.1369                 NaN            NaN  0.383536       0.256284                 NaN  0.223292                 NaN            NaN            NaN
  1318.81        500.000                 NaN   99.1426                 NaN            NaN  0.253611       0.382179                 NaN  0.221585                 NaN            NaN            NaN
  1317.49        500.000                 NaN   99.1481                 NaN            NaN  0.250600       0.381090                 NaN  0.220164                 NaN            NaN            NaN
  1316.17        500.000                 NaN   99.1536                 NaN            NaN  0.379376       0.248770                 NaN  0.218280                 NaN            NaN            NaN
  1314.86        500.000                 NaN   99.1522                 NaN            NaN  0.248533       0.380854                 NaN  0.218408                 NaN            NaN            NaN
  1313.54        500.000                 NaN   99.1658                 NaN            NaN  0.376287       0.243012                 NaN  0.214851                 NaN            NaN            NaN
  1312.22        500.000                 NaN   99.1681                 NaN            NaN  0.376715       0.241002                 NaN  0.214148                 NaN            NaN            NaN
  1310.90        500.000                 NaN   99.1730                 NaN            NaN  0.375865       0.238270                 NaN  0.212847                 NaN            NaN            NaN
  1309.59        500.000                 NaN   99.1656       0.342752E-002            NaN  0.374063       0.241216                 NaN  0.215735                 NaN            NaN            NaN
  1308.27        500.000                 NaN   99.1961                 NaN            NaN  0.369163       0.228846                 NaN  0.205902                 NaN            NaN            NaN
  1306.95        500.000                 NaN   99.0601       0.208472E-002            NaN  0.907971E-001  0.583016                 NaN  0.263990                 NaN            NaN            NaN
  1305.64        500.000                 NaN   99.2985       0.115965                 NaN  0.415314                 NaN            NaN  0.170177                 NaN            NaN            NaN
  1304.32        500.000                 NaN   99.2315       0.170039                 NaN  0.383492                 NaN            NaN  0.214931                 NaN            NaN            NaN
  1303.00        500.000                 NaN   99.2419       0.168108                 NaN  0.378273                 NaN            NaN  0.211706                 NaN            NaN            NaN
  1301.68        500.000                 NaN   99.2426       0.163696                 NaN  0.102275E-001  0.372526                 NaN  0.210940                 NaN            NaN            NaN
  1300.37        500.000                 NaN   99.2388       0.127252                 NaN  0.334662       0.912354E-001            NaN  0.208012                 NaN            NaN            NaN
  1299.05        500.000                 NaN   99.1919       0.151777                 NaN  0.400525                 NaN            NaN  0.219461       0.363691E-001            NaN            NaN
  1297.73        500.000                 NaN   99.1646       0.144797                 NaN  0.410778                 NaN            NaN  0.224082       0.557207E-001            NaN            NaN
  1296.41        500.000                 NaN   99.1739       0.143838                 NaN  0.405709                 NaN            NaN  0.221742       0.548316E-001            NaN            NaN
  1295.10        500.000                 NaN   99.1843       0.141880                 NaN  0.401287                 NaN            NaN  0.218711       0.538710E-001            NaN            NaN
  1293.78        500.000                 NaN   99.1927       0.138298                 NaN  0.399885                 NaN            NaN  0.216249       0.528715E-001            NaN            NaN
  1292.46        500.000                 NaN   99.2015       0.136852                 NaN  0.395810                 NaN            NaN  0.213825       0.520052E-001            NaN            NaN
  1291.14        500.000                 NaN   99.2097       0.134244                 NaN  0.393632                 NaN            NaN  0.211400       0.510675E-001            NaN            NaN
  1289.83        500.000                 NaN   99.2195       0.134126                 NaN  0.387160                 NaN            NaN  0.208926       0.503309E-001            NaN            NaN
  1288.51        500.000                 NaN   99.2264       0.131099                 NaN  0.386485                 NaN            NaN  0.206624       0.494002E-001            NaN            NaN
  1287.19        500.000                 NaN   99.2367       0.129657                 NaN  0.381255                 NaN            NaN  0.203941       0.484926E-001            NaN            NaN
  1285.87        500.000                 NaN   99.2461       0.128716                 NaN  0.375340                 NaN            NaN  0.201881       0.479406E-001            NaN            NaN
  1284.56        500.000                 NaN   99.2514       0.125784                 NaN  0.376310                 NaN            NaN  0.199608       0.468832E-001            NaN            NaN
  1283.24        500.000                 NaN   99.2628       0.123875                 NaN  0.370832                 NaN            NaN  0.196552       0.459469E-001            NaN            NaN
  1281.92        500.000                 NaN   99.2682       0.121284                 NaN  0.370230                 NaN            NaN  0.195028       0.452302E-001            NaN            NaN
  1280.60        500.000                 NaN   99.2765       0.119855                 NaN  0.366508                 NaN            NaN  0.192735       0.444402E-001            NaN            NaN
  1279.29        500.000                 NaN   99.2842       0.117637                 NaN  0.363903                 NaN            NaN  0.190580       0.436396E-001            NaN            NaN
  1277.97        500.000                 NaN   99.2920       0.116401                 NaN  0.360238                 NaN            NaN  0.188447       0.429543E-001            NaN            NaN
  1276.65        500.000                 NaN   90.7108       0.531435                 NaN   2.21613                 NaN            NaN   1.15830       0.341512        5.04178                 NaN
  1275.34        500.000                 NaN   88.4461       0.590931                 NaN   2.76686                 NaN            NaN   1.41010       0.411280        6.37476                 NaN
  1274.02        500.000                 NaN   89.6155       0.483039                 NaN   2.57301                 NaN            NaN   1.27451       0.362557        5.69140                 NaN
  1272.70        500.000                 NaN   90.5733       0.384961                 NaN   2.42392                 NaN            NaN   1.16342       0.322191        5.13224                 NaN
  1271.38        500.000                 NaN   91.3674       0.319447                 NaN   2.25706       0.222460E-001            NaN   1.07064       0.289956        4.67323                 NaN
  1270.07        500.000                 NaN   92.0299       0.237722                 NaN   2.01906       0.171550                 NaN  0.993281       0.261153        4.28734                 NaN
  1268.75        500.000                 NaN   92.6186       0.210441                 NaN   1.97048       0.833546E-001            NaN  0.923842       0.239257        3.95404                 NaN
  1267.43        500.000                 NaN   93.1261       0.176312                 NaN   1.94787                 NaN            NaN  0.864029       0.219628        3.66605                 NaN
  1266.11        500.000                 NaN   93.5860       0.192760                 NaN   1.79186                 NaN            NaN  0.808496       0.205687        3.41520                 NaN
  1264.80        500.000                 NaN   93.9600       0.130726                 NaN   1.75916                 NaN            NaN  0.764361       0.188450        3.19729                 NaN
  1263.48        500.000                 NaN   94.3217       0.137961                 NaN   1.64199                 NaN            NaN  0.720545       0.177066        3.00074                 NaN
  1262.16        500.000                 NaN   94.6303       0.112402                 NaN   1.58136                 NaN            NaN  0.683380       0.164906        2.82763                 NaN
  1260.84        500.000                 NaN   94.9151       0.122946                 NaN   1.48318                 NaN            NaN  0.648305       0.156335        2.67414                 NaN
  1259.53        500.000                 NaN   95.1677       0.111399                 NaN   1.42159                 NaN            NaN  0.617347       0.147113        2.53486                 NaN
  1258.21        500.000                 NaN   95.4009       0.102059                 NaN   1.36221                 NaN            NaN  0.588645       0.138703        2.40747                 NaN
  1256.89        500.000                 NaN   95.6143       0.111037                 NaN   1.28689                 NaN            NaN  0.561900       0.132319        2.29352                 NaN
  1255.57        500.000                 NaN   95.8078       0.101306                 NaN   1.23969                 NaN            NaN  0.537849       0.125183        2.18822                 NaN
  1254.26        500.000                 NaN   95.9763       0.502308E-001            NaN   1.24866                 NaN            NaN  0.517682       0.115941        2.09120                 NaN
  1252.94        500.000                 NaN   96.1586       0.101013                 NaN   1.13305                 NaN            NaN  0.493394       0.113478        2.00050                 NaN
  1251.62        500.000                 NaN   96.3106       0.958362E-001            NaN   1.09111                 NaN            NaN  0.474229       0.108146        1.92006                 NaN
  1250.30        500.000                 NaN   96.4394       0.891953E-001            NaN   1.06208                 NaN            NaN  0.457664       0.103036        1.84863                 NaN
  1248.99        500.000                 NaN   96.5782       0.870791E-001            NaN   1.02042                 NaN            NaN  0.439892       0.983420E-001   1.77604                 NaN
  1247.67        500.000                 NaN   96.7027       0.815813E-001            NaN  0.987867                 NaN            NaN  0.423843       0.937713E-001   1.71021                 NaN
  1246.35        500.000                 NaN   96.8164       0.739422E-001            NaN  0.962212                 NaN            NaN  0.409024       0.893534E-001   1.64903                 NaN
  1245.04        500.000                 NaN   96.9273       0.775829E-001            NaN  0.923000                 NaN            NaN  0.394398       0.858687E-001   1.59189                 NaN
  1243.72        500.000                 NaN   97.0272       0.726809E-001            NaN  0.897953                 NaN            NaN  0.381251       0.820816E-001   1.53888                 NaN
  1242.40        500.000                 NaN   97.1278       0.640074E-001            NaN  0.876141                 NaN            NaN  0.368174       0.780866E-001   1.48576                 NaN
  1241.08        500.000                 NaN   97.2175       0.622008E-001            NaN  0.850465                 NaN            NaN  0.356116       0.748638E-001   1.43886                 NaN
