|6.6.6
Archiving\03_Data\fracLP/QFM_m3/ALH/ALH_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1799.50        500.000        99.4326                 NaN  0.557813       0.956377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4322                 NaN  0.558212       0.956616E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.9951                 NaN  0.384483E-002  0.103490E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        98.5476                 NaN   1.42889       0.235085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.7589                 NaN  0.237170       0.393506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4276                 NaN  0.562889       0.954833E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4342                 NaN  0.556382       0.938087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5809                 NaN  0.411943       0.718096E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.2713                 NaN  0.716962       0.117481E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4273                 NaN  0.563234       0.941732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4283                 NaN  0.562325       0.934098E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4308                 NaN  0.559942       0.928254E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4246                 NaN  0.566034       0.934546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.6148                 NaN  0.378707       0.650847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.2358                 NaN  0.751989       0.121923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4229                 NaN  0.567849       0.928471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4209                 NaN  0.569806       0.927661E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4205                 NaN  0.570219       0.924131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4178                 NaN  0.572914       0.925755E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4185                 NaN  0.572333       0.919658E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.2426                 NaN  0.745502       0.118884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.6139                 NaN  0.380026       0.603748E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3836                 NaN  0.606787       0.961338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4096                 NaN  0.581223       0.918011E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4104                 NaN  0.580474       0.910168E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4070                 NaN  0.583912       0.911522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3996                 NaN  0.591219       0.919576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4051                 NaN  0.585812       0.905718E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4041                 NaN  0.586942       0.900569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4016                 NaN  0.589354       0.903205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3966                 NaN  0.594309       0.907120E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3979                 NaN  0.593059       0.899838E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3926                 NaN  0.598387       0.904307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4033                 NaN  0.587904       0.880594E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3815                 NaN  0.609427       0.912056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3892                 NaN  0.601849       0.897164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3871                 NaN  0.603916       0.894690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3868                 NaN  0.604287       0.891198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.8275                 NaN  0.170011       0.249988E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.9361                 NaN   1.04853       0.153359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3801                 NaN  0.610968       0.888376E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3789                 NaN  0.612207       0.887059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3759                 NaN  0.615250       0.888830E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3759                 NaN  0.615262       0.883157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3367                 NaN  0.653941       0.935899E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4346                 NaN  0.557359       0.800878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3480                 NaN  0.642969       0.906985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3705                 NaN  0.620716       0.876985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        98.8770                 NaN   1.10703       0.159197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.8555                 NaN  0.142951       0.158442E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3683                 NaN  0.622979       0.872459E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3679                 NaN  0.623370       0.870921E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3671                 NaN  0.624194       0.868532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3674                 NaN  0.623956       0.865612E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3671                 NaN  0.624259       0.863993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3662                 NaN  0.625206       0.862557E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3672                 NaN  0.624171       0.859050E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3668                 NaN  0.624631       0.856852E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3679                 NaN  0.623510       0.854770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3628                 NaN  0.628602       0.859186E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3734                 NaN  0.618166       0.843377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3693                 NaN  0.622217       0.850339E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3718                 NaN  0.619773       0.843210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3714                 NaN  0.620194       0.842749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3728                 NaN  0.618767       0.840425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3746                 NaN  0.617049       0.837454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3747                 NaN  0.616885       0.837213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3811                 NaN  0.610600       0.826083E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3795                 NaN  0.612210       0.828600E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3071                 NaN  0.683560       0.933495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4599                 NaN  0.532946       0.710836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3867                 NaN  0.605099       0.818003E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3901                 NaN  0.601806       0.813876E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3921                 NaN  0.599761       0.811599E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3945                 NaN  0.597459       0.808374E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.3982                 NaN  0.593728       0.803879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4013                 NaN  0.590686       0.800182E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4031                 NaN  0.588841       0.800952E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4099                 NaN  0.582220       0.789917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4061                 NaN  0.585943       0.797176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4178                 NaN  0.574399       0.779922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4192                 NaN  0.572983       0.778439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4217                 NaN  0.570559       0.777368E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.4249                 NaN  0.567391       0.773187E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4297                 NaN  0.562576       0.769086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4330                 NaN  0.559358       0.763124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4376                 NaN  0.554848       0.759707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.4356                 NaN  0.556828       0.761076E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.4511                 NaN  0.541441       0.744061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4505                 NaN  0.541992       0.746334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.7048                 NaN  0.291098       0.412413E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.2055                 NaN  0.783845       0.107019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.4637                 NaN  0.528982       0.732308E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.4667                 NaN  0.525975       0.729929E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.1378                 NaN   1.83782       0.243365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.9989                 NaN            NaN  0.109515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.7353                 NaN  0.262094       0.259976E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.4908                 NaN  0.502143       0.704520E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.4954                 NaN  0.497583       0.698847E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.4994                 NaN  0.493600       0.695580E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.5049                 NaN  0.488229       0.689194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5088                 NaN  0.484361       0.684990E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.5134                 NaN  0.479835       0.680888E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.5181                 NaN  0.475167       0.673925E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.5223                 NaN  0.470973       0.669556E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.6914                 NaN  0.304400       0.417047E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.3659                 NaN  0.625032       0.909995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.5356                 NaN  0.457877       0.655410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.5404                 NaN  0.453091       0.648528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.5457                 NaN  0.447818       0.643422E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.5370                 NaN  0.456429       0.658828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.5656                 NaN  0.428250       0.614363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.5403                 NaN  0.453192       0.653727E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.2231                 NaN  0.548777E-001            NaN  0.722052                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.1674                 NaN  0.253345E-001            NaN  0.807218                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.1818                 NaN  0.253350E-001            NaN  0.792907                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.1892                 NaN  0.236166E-001            NaN  0.787137                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.1981                 NaN  0.224582E-001            NaN  0.779484                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.2093                 NaN  0.218323E-001            NaN  0.768827                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.2175                 NaN  0.207379E-001            NaN  0.761812                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.2198                 NaN  0.149523E-001            NaN  0.735223       0.299946E-001            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0761                 NaN            NaN            NaN  0.119605       0.804345                 NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.0678                 NaN            NaN            NaN  0.590955E-001  0.873102                 NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.0776                 NaN            NaN            NaN  0.541371E-001  0.868269                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.0801                 NaN            NaN            NaN  0.476454E-001  0.872297                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        99.0844                 NaN            NaN            NaN  0.415680E-001  0.874024                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        99.0881                 NaN            NaN            NaN  0.356210E-001  0.876287                 NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        99.0928                 NaN            NaN            NaN  0.295190E-001  0.877667                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        99.0958                 NaN            NaN            NaN  0.227649E-001  0.881436                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.0876                 NaN            NaN  0.534631E-002            NaN  0.907045                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        99.0866                 NaN            NaN  0.631502E-002            NaN  0.907092                 NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.0893                 NaN            NaN  0.620362E-002            NaN  0.904485                 NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        99.0908                 NaN            NaN  0.608666E-002            NaN  0.903075                 NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        99.0904                 NaN            NaN  0.597612E-002            NaN  0.903589                 NaN            NaN            NaN            NaN            NaN
  1461.15        500.000        99.0897                 NaN            NaN  0.586937E-002            NaN  0.904452                 NaN            NaN            NaN            NaN            NaN
  1458.65        500.000        99.0868                 NaN            NaN  0.574959E-002            NaN  0.907407                 NaN            NaN            NaN            NaN            NaN
  1456.14        500.000        99.0814                 NaN            NaN  0.562681E-002            NaN  0.912939                 NaN            NaN            NaN            NaN            NaN
  1453.63        500.000        99.0742                 NaN            NaN  0.550436E-002            NaN  0.920341                 NaN            NaN            NaN            NaN            NaN
  1451.13        500.000        99.0646                 NaN            NaN  0.537947E-002            NaN  0.930031                 NaN            NaN            NaN            NaN            NaN
  1448.62        500.000        99.0466                 NaN            NaN  0.521676E-002            NaN  0.948143                 NaN            NaN            NaN            NaN            NaN
  1446.12        500.000        99.0264                 NaN            NaN  0.506605E-002            NaN  0.968487                 NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        98.7768                 NaN            NaN  0.342439E-002            NaN  0.634605       0.585200                 NaN            NaN            NaN            NaN
  1441.10        500.000        98.6308                 NaN            NaN  0.222165E-002            NaN  0.980545       0.386480                 NaN            NaN            NaN            NaN
  1438.60        500.000        98.6515                 NaN            NaN  0.207278E-002            NaN  0.965369       0.381040                 NaN            NaN            NaN            NaN
  1436.09        500.000        98.6719                 NaN            NaN  0.192932E-002            NaN  0.949727       0.376469                 NaN            NaN            NaN            NaN
  1433.58        500.000        98.6906                 NaN            NaN  0.179488E-002            NaN  0.371801       0.935824                 NaN            NaN            NaN            NaN
  1431.08        500.000        98.7112                 NaN            NaN  0.164889E-002            NaN  0.919931       0.367230                 NaN            NaN            NaN            NaN
