|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1403.88        2500.00                 NaN   98.7774       0.182162       0.443430       0.228164                 NaN  0.368820                 NaN            NaN            NaN
  1402.78        2500.00                 NaN   98.7861       0.173946       0.443727       0.229651                 NaN  0.366576                 NaN            NaN            NaN
  1401.68        2500.00                 NaN   98.7973       0.440204       0.170549       0.229121                 NaN  0.362810                 NaN            NaN            NaN
  1400.58        2500.00                 NaN   98.8120       0.435408       0.166643       0.227616                 NaN  0.358316                 NaN            NaN            NaN
  1399.48        2500.00                 NaN   98.8208       0.159139       0.435145       0.228842                 NaN  0.356076                 NaN            NaN            NaN
  1398.38        2500.00                 NaN   98.8347       0.155541       0.430223       0.227907                 NaN  0.351651                 NaN            NaN            NaN
  1397.28        2500.00                 NaN   98.8437       0.149685       0.429131       0.228394                 NaN  0.349111                 NaN            NaN            NaN
  1396.18        2500.00                 NaN   98.8555       0.426207       0.145403       0.227524                 NaN  0.345361                 NaN            NaN            NaN
  1395.08        2500.00                 NaN   98.8642       0.140565       0.425224       0.227562                 NaN  0.342487                 NaN            NaN            NaN
  1393.98        2500.00                 NaN   98.8746       0.135322       0.422221       0.228060                 NaN  0.339779                 NaN            NaN            NaN
  1392.88        2500.00                 NaN   98.8898       0.131025       0.418232       0.226313                 NaN  0.334658                 NaN            NaN            NaN
  1391.78        2500.00                 NaN   98.8962       0.416810       0.127031       0.227033                 NaN  0.332887                 NaN            NaN            NaN
  1390.68        2500.00                 NaN   98.9075       0.122090       0.414877       0.226273                 NaN  0.329272                 NaN            NaN            NaN
  1389.58        2500.00                 NaN   98.9155       0.116753       0.414222       0.226459                 NaN  0.327034                 NaN            NaN            NaN
  1388.48        2500.00                 NaN   98.9243       0.113059       0.412126       0.226423                 NaN  0.324110                 NaN            NaN            NaN
  1387.38        2500.00                 NaN   98.9323       0.108570       0.411069       0.226566                 NaN  0.321483                 NaN            NaN            NaN
  1386.28        2500.00                 NaN   98.9466       0.107311       0.405063       0.224070                 NaN  0.316973                 NaN            NaN            NaN
  1385.18        2500.00                 NaN   98.9537       0.101874       0.404502       0.224887                 NaN  0.315079                 NaN            NaN            NaN
  1384.07        2500.00                 NaN   98.9618       0.403985       0.967674E-001  0.224937                 NaN  0.312508                 NaN            NaN            NaN
  1382.97        2500.00                 NaN   98.9714       0.400639       0.946663E-001  0.223992                 NaN  0.309317                 NaN            NaN            NaN
  1381.87        2500.00                 NaN   98.9768       0.400392       0.893398E-001  0.225335                 NaN  0.308155                 NaN            NaN            NaN
  1380.77        2500.00                 NaN   98.9918       0.881366E-001  0.395687       0.221662                 NaN  0.302708                 NaN            NaN            NaN
  1379.67        2500.00                 NaN   98.9971       0.827222E-001  0.395830       0.222905                 NaN  0.301466                 NaN            NaN            NaN
  1378.57        2500.00                 NaN   99.0029       0.394350       0.801014E-001  0.223068                 NaN  0.299535                 NaN            NaN            NaN
  1377.47        2500.00                 NaN   99.0147       0.391860       0.768815E-001  0.221023                 NaN  0.295534                 NaN            NaN            NaN
  1376.37        2500.00                 NaN   99.0210       0.390933       0.730287E-001  0.221285                 NaN  0.293797                 NaN            NaN            NaN
  1375.27        2500.00                 NaN   99.0259       0.391969       0.671996E-001  0.222471                 NaN  0.292433                 NaN            NaN            NaN
  1374.17        2500.00                 NaN   99.0405       0.385132       0.687841E-001  0.218281                 NaN  0.287257                 NaN            NaN            NaN
  1373.07        2500.00                 NaN   99.0451       0.637735E-001  0.385679       0.219369                 NaN  0.286068                 NaN            NaN            NaN
  1371.97        2500.00                 NaN   99.0513       0.384569       0.615363E-001  0.218707                 NaN  0.283911                 NaN            NaN            NaN
  1370.87        2500.00                 NaN   99.0597       0.587184E-001  0.382522       0.217830                 NaN  0.281264                 NaN            NaN            NaN
  1369.77        2500.00                 NaN   99.0667       0.561445E-001  0.380894       0.217293                 NaN  0.278963                 NaN            NaN            NaN
  1368.67        2500.00                 NaN   99.0736       0.535029E-001  0.379720       0.216506                 NaN  0.276712                 NaN            NaN            NaN
  1367.57        2500.00                 NaN   99.0814       0.505311E-001  0.377952       0.215825                 NaN  0.274293                 NaN            NaN            NaN
  1366.47        2500.00                 NaN   99.0871       0.376081       0.486268E-001  0.215659                 NaN  0.272534                 NaN            NaN            NaN
  1365.37        2500.00                 NaN   99.0958       0.456593E-001  0.375475       0.213699                 NaN  0.269378                 NaN            NaN            NaN
  1364.27        2500.00                 NaN   99.0978       0.446315E-001  0.374387       0.214159                 NaN  0.268998                 NaN            NaN            NaN
  1363.17        2500.00                 NaN   99.1119       0.418632E-001  0.371801       0.210762                 NaN  0.263717                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1156       0.370014       0.405850E-001  0.210862                 NaN  0.262899                 NaN            NaN            NaN
  1360.96        2500.00                 NaN   99.1215       0.375314E-001  0.369489       0.210488                 NaN  0.260960                 NaN            NaN            NaN
  1359.86        2500.00                 NaN   99.1269       0.368474       0.365530E-001  0.209074                 NaN  0.259036                 NaN            NaN            NaN
  1358.76        2500.00                 NaN   99.1350       0.324052E-001  0.367239       0.208786                 NaN  0.256564                 NaN            NaN            NaN
  1357.66        2500.00                 NaN   99.1412       0.363777       0.347705E-001  0.206159                 NaN  0.254066                 NaN            NaN            NaN
  1356.56        2500.00                 NaN   99.1474       0.362804       0.318279E-001  0.205768                 NaN  0.252247                 NaN            NaN            NaN
  1355.46        2500.00                 NaN   99.1485       0.365900       0.266587E-001  0.206921                 NaN  0.252056                 NaN            NaN            NaN
  1354.36        2500.00                 NaN   99.1597       0.358188       0.332803E-001  0.201288                 NaN  0.247536                 NaN            NaN            NaN
  1353.26        2500.00                 NaN   99.1666       0.258966E-001  0.359158       0.202606                 NaN  0.245724                 NaN            NaN            NaN
  1352.16        2500.00                 NaN   99.1708       0.282130E-001  0.356845       0.200140                 NaN  0.244001                 NaN            NaN            NaN
  1351.06        2500.00                 NaN   99.1758       0.356357       0.258524E-001  0.199646                 NaN  0.242374                 NaN            NaN            NaN
  1349.96        2500.00                 NaN   99.1813       0.247657E-001  0.355236       0.198284                 NaN  0.240445                 NaN            NaN            NaN
  1348.86        2500.00                 NaN   99.1880       0.238566E-001  0.353220       0.196743                 NaN  0.238202                 NaN            NaN            NaN
  1347.76        2500.00                 NaN   99.1927       0.352260       0.233853E-001  0.195168                 NaN  0.236530                 NaN            NaN            NaN
  1346.66        2500.00                 NaN   99.1987       0.350242       0.225583E-001  0.194055                 NaN  0.234461                 NaN            NaN            NaN
  1345.56        2500.00                 NaN   99.2033       0.220568E-001  0.349629       0.192332                 NaN  0.232698                 NaN            NaN            NaN
  1344.46        2500.00                 NaN   99.2080       0.349406       0.206297E-001  0.190983                 NaN  0.230997                 NaN            NaN            NaN
  1343.36        2500.00                 NaN   99.2138       0.217357E-001  0.346802       0.188757                 NaN  0.228903                 NaN            NaN            NaN
  1342.26        2500.00                 NaN   99.2189       0.345262       0.212736E-001  0.187376                 NaN  0.227169                 NaN            NaN            NaN
  1341.16        2500.00                 NaN   99.2244       0.343035       0.208460E-001  0.186299                 NaN  0.225390                 NaN            NaN            NaN
  1340.05        2500.00                 NaN   99.2289       0.215558E-001  0.342138       0.183882                 NaN  0.223542                 NaN            NaN            NaN
  1338.95        2500.00                 NaN   99.2335       0.211886E-001  0.340939       0.182398                 NaN  0.221960                 NaN            NaN            NaN
  1337.85        2500.00                 NaN   99.2386       0.339554       0.214410E-001  0.180368                 NaN  0.219993                 NaN            NaN            NaN
  1336.75        2500.00                 NaN   99.2431       0.338511       0.211286E-001  0.178864                 NaN  0.218442                 NaN            NaN            NaN
  1335.65        2500.00                 NaN   99.2478       0.212979E-001  0.337067       0.177083                 NaN  0.216739                 NaN            NaN            NaN
  1334.55        2500.00                 NaN   99.2525       0.334988       0.228381E-001  0.174781                 NaN  0.214930                 NaN            NaN            NaN
  1333.45        2500.00                 NaN   99.2567       0.229176E-001  0.333825       0.173199                 NaN  0.213392                 NaN            NaN            NaN
  1332.35        2500.00                 NaN   99.2612       0.332552       0.236373E-001  0.170931                 NaN  0.211662                 NaN            NaN            NaN
  1331.25        2500.00                 NaN   99.2659       0.330650       0.242436E-001  0.169188                 NaN  0.210057                 NaN            NaN            NaN
  1330.15        2500.00                 NaN   99.2690       0.330600       0.239581E-001  0.167580                 NaN  0.208871                 NaN            NaN            NaN
  1329.05        2500.00                 NaN   99.2744       0.276168E-001  0.327277       0.164065                 NaN  0.206605                 NaN            NaN            NaN
  1327.95        2500.00                 NaN   99.2779       0.271758E-001  0.326488       0.163015                 NaN  0.205456                 NaN            NaN            NaN
  1326.85        2500.00                 NaN   99.2816       0.324743       0.288267E-001  0.160829                 NaN  0.203991                 NaN            NaN            NaN
  1325.75        2500.00                 NaN   99.2857       0.324181       0.299077E-001  0.158016                 NaN  0.202163                 NaN            NaN            NaN
  1324.65        2500.00                 NaN   99.2888       0.319453E-001  0.322139       0.156116                 NaN  0.201043                 NaN            NaN            NaN
  1323.55        2500.00                 NaN   99.2940       0.326060E-001  0.320100       0.154010                 NaN  0.199258                 NaN            NaN            NaN
  1322.45        2500.00                 NaN   99.2979       0.317110       0.354311E-001  0.151671                 NaN  0.197850                 NaN            NaN            NaN
  1321.35        2500.00                 NaN   99.3011       0.317347       0.358284E-001  0.149254                 NaN  0.196445                 NaN            NaN            NaN
  1320.25        2500.00                 NaN   99.3045       0.378276E-001  0.315780       0.146835                 NaN  0.195107                 NaN            NaN            NaN
  1319.15        2500.00                 NaN   99.3083       0.313863       0.397662E-001  0.144473                 NaN  0.193615                 NaN            NaN            NaN
  1318.04        2500.00                 NaN   99.3121       0.311483       0.419756E-001  0.142215                 NaN  0.192261                 NaN            NaN            NaN
  1316.94        2500.00                 NaN   99.3151       0.441715E-001  0.310167       0.139601                 NaN  0.190967                 NaN            NaN            NaN
  1315.84        2500.00                 NaN   99.3172       0.312376       0.410048E-001  0.139194                 NaN  0.190265                 NaN            NaN            NaN
  1314.74        2500.00                 NaN   99.3224       0.494592E-001  0.306467       0.133855                 NaN  0.187825                 NaN            NaN            NaN
  1313.64        2500.00                 NaN   99.3255       0.389844E-001  0.311912       0.136186                 NaN  0.187448                 NaN            NaN            NaN
  1312.54        2500.00                 NaN   99.3274       0.686570E-001  0.293591       0.124985                 NaN  0.185352                 NaN            NaN            NaN
  1311.44        2500.00                 NaN   99.3309       0.598512E-001  0.297122       0.127092                 NaN  0.185031                 NaN            NaN            NaN
  1310.34        2500.00                 NaN   99.3337       0.509132E-001  0.306978       0.125343                 NaN  0.183061                 NaN            NaN            NaN
  1309.24        2500.00                 NaN   99.3387       0.388360E-001  0.311807       0.128168                 NaN  0.182451                 NaN            NaN            NaN
  1308.14        2500.00                 NaN   99.3378       0.803520E-001  0.286542       0.114396                 NaN  0.180941                 NaN            NaN            NaN
  1307.04        2500.00                 NaN   99.3427       0.644447E-001  0.296357       0.116701                 NaN  0.179835                 NaN            NaN            NaN
  1305.94        2500.00                 NaN   99.3432       0.886443E-001  0.280168       0.109124                 NaN  0.178890                 NaN            NaN            NaN
  1304.84        2500.00                 NaN   99.3488       0.623175E-001  0.297387       0.113810                 NaN  0.177668                 NaN            NaN            NaN
  1303.74        2500.00                 NaN   99.3557       0.187161E-001  0.327082       0.121968                 NaN  0.176568                 NaN            NaN            NaN
  1302.64        2500.00                 NaN   99.3539       0.730787E-001  0.290878       0.106530                 NaN  0.175586                 NaN            NaN            NaN
  1301.54        2500.00                 NaN   99.3572       0.626867E-001  0.299284       0.106334                 NaN  0.174473                 NaN            NaN            NaN
  1300.44        2500.00                 NaN   97.1142       0.568841E-001  0.757659       0.300165                 NaN  0.453232        1.31781                 NaN            NaN
  1299.34        2500.00                 NaN   91.8384        1.88704                 NaN  0.756036                 NaN   1.10912        4.40940                 NaN            NaN
  1298.24        2500.00                 NaN   90.6991        2.11768                 NaN  0.837281                 NaN   1.26126        4.99951       0.851366E-001            NaN
  1297.14        2500.00                 NaN   78.7090        4.34859                 NaN   1.89508                 NaN   2.84198        11.4064       0.798937                 NaN
  1296.03        2500.00                 NaN   80.0478        4.05136                 NaN   1.85690                 NaN   2.66903        10.6344       0.740483                 NaN
  1294.93        2500.00                 NaN   81.3800        3.77425                 NaN   1.79409                 NaN   2.49749        9.87205       0.682093                 NaN
  1293.83        2500.00                 NaN   82.7790        3.50506                 NaN   1.69318                 NaN   2.31550        9.08453       0.622687                 NaN
  1292.73        2500.00                 NaN   84.0730        3.27477                 NaN   1.57929                 NaN   2.14626        8.35917       0.567503                 NaN
  1291.63        2500.00       0.147122E-001   85.1137        3.08902                 NaN   1.48473                 NaN   2.00988        7.77340       0.514564                 NaN
  1290.53        2500.00       0.400593        85.9865        3.03950                 NaN   1.16458                 NaN   1.87460        7.28142       0.252844                 NaN
  1289.43        2500.00       0.196666        87.1314        2.76997                 NaN   1.17888                 NaN   1.73454        6.66114       0.327397                 NaN
  1288.33        2500.00       0.112098E-001   87.9995        2.56218                 NaN   1.20916                 NaN   1.62899        6.18813       0.400791                 NaN
  1287.23        2500.00       0.392576E-001   88.7099        2.42641                 NaN   1.12389                 NaN   1.53411        5.80838       0.358002                 NaN
  1286.13        2500.00                 NaN   88.8864        2.39249                 NaN   1.14112                 NaN   1.51707        5.69322       0.369743                 NaN
  1285.03        2500.00       0.614023        89.8668        2.53194                 NaN  0.414987                 NaN   1.32491        5.24737                 NaN            NaN
  1283.93        2500.00                 NaN   90.2838        2.00199                 NaN   1.18363                 NaN   1.34764        4.87935       0.303623                 NaN
  1282.83        2500.00                 NaN   92.4177        1.68358                 NaN  0.772072                 NaN   1.03697        3.84443       0.245240                 NaN
  1281.73        2500.00                 NaN   83.5842        3.95531                 NaN   1.29763                 NaN   2.23016        8.36364       0.569023                 NaN
  1280.63        2500.00                 NaN   98.3617                 NaN            NaN  0.556417                 NaN  0.276047       0.783122       0.227225E-001            NaN
  1279.53        2500.00                 NaN   94.8005       0.843172                 NaN  0.696640                 NaN  0.743252        2.73823       0.178244                 NaN
  1278.43        2500.00                 NaN   93.3733        1.97135                 NaN  0.434174                 NaN  0.840296        3.20009       0.180835                 NaN
  1277.33        2500.00                 NaN   93.4259        1.54542                 NaN  0.631094                 NaN  0.897134        3.29462       0.205851                 NaN
  1276.23        2500.00                 NaN   93.4963        1.51481                 NaN  0.628625                 NaN  0.890383        3.26566       0.204170                 NaN
  1275.13        2500.00                 NaN   93.7528        1.44811                 NaN  0.588776                 NaN  0.856666        3.15543       0.198236                 NaN
  1274.02        2500.00                 NaN   78.0899        5.22569                 NaN  0.275585        1.98446        3.00379        10.7507       0.669871                 NaN
  1272.92        2500.00                 NaN   99.9002                 NaN            NaN            NaN            NaN            NaN  0.987432E-001  0.105240E-002            NaN
  1271.82        2500.00                 NaN   99.8435       0.883195E-001            NaN            NaN            NaN  0.269096E-001  0.351365E-001  0.610739E-002            NaN
  1270.72        2500.00                 NaN   99.9684                 NaN            NaN  0.198155E-001            NaN  0.558580E-002  0.318412E-002  0.299008E-002            NaN
  1269.62        2500.00                 NaN   99.8105       0.573442E-001            NaN  0.131345E-001            NaN  0.263273E-001  0.901870E-001  0.250696E-002            NaN
  1268.52        2500.00                 NaN   90.9670        2.53008                 NaN  0.513482                 NaN   1.22271        4.51035       0.256347                 NaN
  1267.42        2500.00                 NaN   94.9033        1.50409                 NaN  0.223620                 NaN  0.688189        2.54080       0.139984                 NaN
  1266.32        2500.00                 NaN   94.3104        1.79611                 NaN  0.165545                 NaN  0.766348        2.81249       0.149091                 NaN
  1265.22        2500.00                 NaN   99.5186       0.104540                 NaN  0.482440E-001            NaN  0.669651E-001  0.247183       0.145018E-001            NaN
  1264.12        2500.00                 NaN   99.8126       0.344592E-001            NaN  0.168127E-001  0.504340E-002  0.269201E-001  0.984479E-001  0.576513E-002            NaN
  1263.02        2500.00                 NaN   86.4611        4.53067                 NaN  0.186196                 NaN   1.79731        6.68694       0.337837                 NaN
  1261.92        2500.00                 NaN   95.4609        1.35959                 NaN  0.162471                 NaN  0.621829        2.28371       0.111462                 NaN
  1260.82        2500.00                 NaN   95.1837        1.71563                 NaN  0.515839E-004            NaN  0.638417        2.35341       0.108774                 NaN
  1259.72        2500.00                 NaN   95.5812        1.52667                 NaN  0.103766E-003            NaN  0.582569        2.20234       0.107154                 NaN
  1258.62        2500.00                 NaN   95.4541        1.59175                 NaN  0.109919E-003            NaN  0.605199        2.24648       0.102313                 NaN
  1257.52        2500.00                 NaN   94.3903       0.840903       0.292310E-005  0.752514                 NaN  0.810853        3.05214       0.153314                 NaN
  1256.42        2500.00                 NaN   90.1666        2.97496                 NaN  0.483094                 NaN   1.33089        4.82156       0.222863                 NaN
  1255.32        2500.00                 NaN  100.0000                 NaN            NaN  0.867569E-005            NaN  0.484735E-005  0.141446E-004            NaN            NaN
  1254.22        2500.00                 NaN   93.6347        2.12822                 NaN            NaN            NaN  0.848910        3.23522       0.152999                 NaN
  1253.12        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1252.01        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1250.91        2500.00                 NaN   99.9996       0.127372E-003            NaN  0.203558E-005            NaN  0.473382E-004  0.198340E-003  0.114637E-004            NaN
  1249.81        2500.00                 NaN   90.8323        3.16532                 NaN            NaN            NaN   1.17292        4.60100       0.228475                 NaN
  1248.71        2500.00                 NaN   96.3262       0.248178       0.979351                 NaN            NaN  0.462723        1.88492       0.986706E-001            NaN
  1247.61        2500.00                 NaN   99.4473       0.199464                 NaN            NaN            NaN  0.709198E-001  0.265366       0.169073E-001            NaN
  1246.51        2500.00                 NaN   99.9418       0.764056E-002            NaN            NaN            NaN  0.572184E-002  0.430303E-001  0.180132E-002            NaN
  1245.41        2500.00                 NaN   99.8975       0.412439E-001            NaN            NaN            NaN  0.126799E-001  0.473619E-001  0.122814E-002            NaN
  1244.31        2500.00                 NaN   89.5868       0.300451        3.21093                 NaN            NaN   1.37799        5.29653       0.227298                 NaN
  1243.21        2500.00                 NaN   97.5092       0.915366                 NaN            NaN            NaN  0.373534        1.13763       0.642881E-001            NaN
  1242.11        2500.00                 NaN   97.4896       0.779524                 NaN            NaN            NaN  0.276960        1.40471       0.492177E-001            NaN
  1241.01        2500.00                 NaN   97.7373       0.739381                 NaN            NaN            NaN  0.281010        1.18093       0.614257E-001            NaN
  1239.91        2500.00                 NaN   97.5795       0.809749                 NaN            NaN            NaN  0.309958        1.24458       0.562060E-001            NaN
  1238.81        2500.00                 NaN   98.5350       0.468917                 NaN            NaN            NaN  0.182837       0.775490       0.377210E-001            NaN
  1237.71        2500.00                 NaN   95.5014        1.46222                 NaN            NaN            NaN  0.562820        2.36579       0.107757                 NaN
  1236.61        2500.00                 NaN   99.1438       0.284577                 NaN            NaN            NaN  0.113100       0.440260       0.182465E-001            NaN
  1235.51        2500.00                 NaN   97.0622       0.981914                 NaN            NaN            NaN  0.371105        1.51746       0.673042E-001            NaN
  1234.41        2500.00                 NaN   99.9998       0.285050E-004            NaN  0.258010E-004            NaN  0.245748E-004  0.913020E-004  0.385994E-005            NaN
  1233.31        2500.00                 NaN   96.7994        1.04503                 NaN            NaN            NaN  0.412392        1.67407       0.691008E-001            NaN
  1232.21        2500.00                 NaN   95.6396        1.41137                 NaN            NaN            NaN  0.569588        2.28689       0.925026E-001            NaN
  1231.11        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1230.00        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1228.90        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1227.80        2500.00                 NaN   74.2750        3.74117        1.07223                 NaN            NaN   2.39610        11.5456       0.307957        6.66196     
  1226.70        2500.00                 NaN            NaN  0.313648        15.7847                 NaN            NaN   8.56110        43.3306        1.09025        30.9197     
  1225.60        2500.00                 NaN            NaN  0.502194        15.6006                 NaN            NaN   8.55903        43.3277        1.08966        30.9208     
  1224.50        2500.00                 NaN            NaN  0.582161        15.5248                 NaN            NaN   8.56215        43.3212        1.08843        30.9212     
  1223.40        2500.00                 NaN            NaN  0.509807        15.6021                 NaN            NaN   8.56711        43.3112        1.08718        30.9226     
  1222.30        2500.00                 NaN            NaN  0.583892        15.5274                 NaN            NaN   8.57044        43.3115        1.08544        30.9214     
  1221.20        2500.00                 NaN            NaN  0.630860        15.4825                 NaN            NaN   8.57462        43.3056        1.08473        30.9217     
  1220.10        2500.00                 NaN            NaN  0.655618        15.4594                 NaN            NaN   8.57938        43.2997        1.08411        30.9218     
  1219.00        2500.00                 NaN            NaN  0.463268        15.6503                 NaN            NaN   8.58295        43.2976        1.08464        30.9212     
  1217.90        2500.00                 NaN            NaN  0.417686        15.6963                 NaN            NaN   8.58815        43.2938        1.08330        30.9208     
  1216.80        2500.00                 NaN            NaN  0.502444        15.6117                 NaN            NaN   8.59013        43.2911        1.08372        30.9209     
  1215.70        2500.00                 NaN            NaN  0.496210        15.6190                 NaN            NaN   8.59609        43.2858        1.08228        30.9206     
  1214.60        2500.00                 NaN            NaN  0.314535        15.8001                 NaN            NaN   8.60183        43.2809        1.08250        30.9202     
  1213.50        2500.00                 NaN            NaN  0.276899        15.8382                 NaN            NaN   8.60540        43.2774        1.08202        30.9200     
  1212.40        2500.00                 NaN            NaN  0.291956        15.8242                 NaN            NaN   8.60884        43.2736        1.08135        30.9200     
  1211.30        2500.00                 NaN            NaN  0.309305        15.8079                 NaN            NaN   8.61217        43.2699        1.08071        30.9200     
  1210.20        2500.00                 NaN            NaN  0.330679        15.7876                 NaN            NaN   8.61549        43.2662        1.08006        30.9200     
  1209.10        2500.00                 NaN            NaN  0.356625        15.7627                 NaN            NaN   8.61880        43.2625        1.07941        30.9200     
  1207.99        2500.00                 NaN            NaN  0.384893        15.7355                 NaN            NaN   8.62213        43.2587        1.07875        30.9200     
  1206.89        2500.00                 NaN            NaN  0.415451        15.7060                 NaN            NaN   8.62546        43.2550        1.07809        30.9200     
  1205.79        2500.00                 NaN            NaN  0.448218        15.6743                 NaN            NaN   8.62879        43.2512        1.07743        30.9201     
  1204.69        2500.00                 NaN            NaN  0.183016        15.9369                 NaN            NaN   8.64705        43.2384        1.07608        30.9186     
  1203.59        2500.00                 NaN            NaN  0.256376        15.8671                 NaN            NaN   8.64929        43.2332        1.07522        30.9188     
  1202.49        2500.00                 NaN            NaN  0.570203        15.5556                 NaN            NaN   8.63881        43.2398        1.07542        30.9202     
  1201.39        2500.00                 NaN            NaN  0.604744        15.5223                 NaN            NaN   8.64216        43.2359        1.07473        30.9202     
  1200.29        2500.00                 NaN            NaN  0.646780        15.4812                 NaN            NaN   8.64551        43.2322        1.07408        30.9202     
  1199.19        2500.00                 NaN            NaN  0.692735        15.4364                 NaN            NaN   8.64889        43.2283        1.07340        30.9203     
  1198.09        2500.00                 NaN            NaN  0.741542        15.3887                 NaN            NaN   8.65225        43.2245        1.07272        30.9203     
  1196.99        2500.00                 NaN            NaN  0.792395        15.3390                 NaN            NaN   8.65563        43.2206        1.07204        30.9204     
  1195.89        2500.00                 NaN            NaN  0.845518        15.2870                 NaN            NaN   8.65902        43.2167        1.07135        30.9204     
  1194.79        2500.00                 NaN            NaN  0.900559        15.2331                 NaN            NaN   8.66240        43.2128        1.07066        30.9205     
