|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1389.58        2500.00                 NaN   99.0466       0.961815E-001  0.347115       0.170498                 NaN  0.339577                 NaN            NaN            NaN
  1388.48        2500.00                 NaN   99.0554       0.930350E-001  0.345000       0.170178                 NaN  0.336357                 NaN            NaN            NaN
  1387.38        2500.00                 NaN   99.0635       0.892553E-001  0.343778       0.170001                 NaN  0.333446                 NaN            NaN            NaN
  1386.28        2500.00                 NaN   99.0769       0.881317E-001  0.338487       0.167866                 NaN  0.328581                 NaN            NaN            NaN
  1385.18        2500.00                 NaN   99.0841       0.835864E-001  0.337689       0.168223                 NaN  0.326434                 NaN            NaN            NaN
  1384.07        2500.00                 NaN   99.0922       0.336896       0.793192E-001  0.168023                 NaN  0.323585                 NaN            NaN            NaN
  1382.97        2500.00                 NaN   99.1016       0.333834       0.775161E-001  0.166989                 NaN  0.320097                 NaN            NaN            NaN
  1381.87        2500.00                 NaN   99.1071       0.333343       0.730894E-001  0.167730                 NaN  0.318709                 NaN            NaN            NaN
  1380.77        2500.00                 NaN   99.1213       0.720243E-001  0.329077       0.164731                 NaN  0.312890                 NaN            NaN            NaN
  1379.67        2500.00                 NaN   99.1267       0.675434E-001  0.328939       0.165408                 NaN  0.311423                 NaN            NaN            NaN
  1378.57        2500.00                 NaN   99.1329       0.327305       0.653278E-001  0.165255                 NaN  0.309244                 NaN            NaN            NaN
  1377.47        2500.00                 NaN   99.1440       0.324949       0.626362E-001  0.163462                 NaN  0.304929                 NaN            NaN            NaN
  1376.37        2500.00                 NaN   99.1503       0.323870       0.594381E-001  0.163406                 NaN  0.302953                 NaN            NaN            NaN
  1375.27        2500.00                 NaN   99.1555       0.324400       0.546354E-001  0.164055                 NaN  0.301363                 NaN            NaN            NaN
  1374.17        2500.00                 NaN   99.1691       0.318481       0.558759E-001  0.160697                 NaN  0.295846                 NaN            NaN            NaN
  1373.07        2500.00                 NaN   99.1740       0.517494E-001  0.318597       0.161239                 NaN  0.294440                 NaN            NaN            NaN
  1371.97        2500.00                 NaN   99.1803       0.317348       0.498800E-001  0.160468                 NaN  0.292039                 NaN            NaN            NaN
  1370.87        2500.00                 NaN   99.1884       0.475464E-001  0.315338       0.159585                 NaN  0.289134                 NaN            NaN            NaN
  1369.77        2500.00                 NaN   99.1954       0.454187E-001  0.313707       0.158924                 NaN  0.286587                 NaN            NaN            NaN
  1368.67        2500.00                 NaN   99.2022       0.432379E-001  0.312406       0.158100                 NaN  0.284094                 NaN            NaN            NaN
  1367.57        2500.00                 NaN   99.2097       0.407972E-001  0.310684       0.157358                 NaN  0.281430                 NaN            NaN            NaN
  1366.47        2500.00                 NaN   99.2155       0.308878       0.392240E-001  0.156956                 NaN  0.279446                 NaN            NaN            NaN
  1365.37        2500.00                 NaN   99.2239       0.367877E-001  0.308006       0.155308                 NaN  0.276031                 NaN            NaN            NaN
  1364.27        2500.00                 NaN   99.2265       0.359135E-001  0.306740       0.155426                 NaN  0.275463                 NaN            NaN            NaN
  1363.17        2500.00                 NaN   99.2394       0.336576E-001  0.304359       0.152684                 NaN  0.269877                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.2434       0.302613       0.325985E-001  0.152543                 NaN  0.268863                 NaN            NaN            NaN
  1360.96        2500.00                 NaN   99.2493       0.301140E-001  0.301874       0.152019                 NaN  0.266704                 NaN            NaN            NaN
  1359.86        2500.00                 NaN   99.2547       0.300713       0.292991E-001  0.150746                 NaN  0.264562                 NaN            NaN            NaN
  1358.76        2500.00                 NaN   99.2624       0.259476E-001  0.299424       0.150363                 NaN  0.261861                 NaN            NaN            NaN
  1357.66        2500.00                 NaN   99.2686       0.296296       0.278129E-001  0.148175                 NaN  0.259139                 NaN            NaN            NaN
  1356.56        2500.00                 NaN   99.2745       0.295218       0.254345E-001  0.147689                 NaN  0.257110                 NaN            NaN            NaN
  1355.46        2500.00                 NaN   99.2764       0.297382       0.212816E-001  0.148222                 NaN  0.256743                 NaN            NaN            NaN
  1354.36        2500.00                 NaN   99.2866       0.290832       0.265381E-001  0.144040                 NaN  0.251966                 NaN            NaN            NaN
  1353.26        2500.00                 NaN   99.2933       0.206296E-001  0.291348       0.144740                 NaN  0.249951                 NaN            NaN            NaN
  1352.16        2500.00                 NaN   99.2976       0.224539E-001  0.289174       0.142736                 NaN  0.248029                 NaN            NaN            NaN
  1351.06        2500.00                 NaN   99.3026       0.288472       0.205536E-001  0.142164                 NaN  0.246206                 NaN            NaN            NaN
  1349.96        2500.00                 NaN   99.3080       0.196694E-001  0.287260       0.140972                 NaN  0.244078                 NaN            NaN            NaN
  1348.86        2500.00                 NaN   99.3144       0.189296E-001  0.285351       0.139688                 NaN  0.241634                 NaN            NaN            NaN
  1347.76        2500.00                 NaN   99.3191       0.284271       0.185361E-001  0.138337                 NaN  0.239771                 NaN            NaN            NaN
  1346.66        2500.00                 NaN   99.3249       0.282368       0.178623E-001  0.137340                 NaN  0.237509                 NaN            NaN            NaN
  1345.56        2500.00                 NaN   99.3295       0.174480E-001  0.281563       0.135904                 NaN  0.235558                 NaN            NaN            NaN
  1344.46        2500.00                 NaN   99.3342       0.281079       0.163022E-001  0.134754                 NaN  0.233673                 NaN            NaN            NaN
  1343.36        2500.00                 NaN   99.3398       0.171584E-001  0.278684       0.132980                 NaN  0.231392                 NaN            NaN            NaN
  1342.26        2500.00                 NaN   99.3448       0.277168       0.167775E-001  0.131803                 NaN  0.229478                 NaN            NaN            NaN
  1341.16        2500.00                 NaN   99.3501       0.275123       0.164252E-001  0.130854                 NaN  0.227520                 NaN            NaN            NaN
  1340.05        2500.00                 NaN   99.3545       0.169668E-001  0.274074       0.128958                 NaN  0.225495                 NaN            NaN            NaN
  1338.95        2500.00                 NaN   99.3591       0.166618E-001  0.272804       0.127740                 NaN  0.223741                 NaN            NaN            NaN
  1337.85        2500.00                 NaN   99.3640       0.271434       0.168425E-001  0.126112                 NaN  0.221601                 NaN            NaN            NaN
  1336.75        2500.00                 NaN   99.3683       0.270328       0.165808E-001  0.124871                 NaN  0.219883                 NaN            NaN            NaN
  1335.65        2500.00                 NaN   99.3729       0.166982E-001  0.268907       0.123441                 NaN  0.218013                 NaN            NaN            NaN
  1334.55        2500.00                 NaN   99.3775       0.266944       0.178869E-001  0.121654                 NaN  0.216040                 NaN            NaN            NaN
  1333.45        2500.00                 NaN   99.3816       0.179326E-001  0.265754       0.120366                 NaN  0.214341                 NaN            NaN            NaN
  1332.35        2500.00                 NaN   99.3860       0.264440       0.184767E-001  0.118622                 NaN  0.212451                 NaN            NaN            NaN
  1331.25        2500.00                 NaN   99.3905       0.262659       0.189327E-001  0.117253                 NaN  0.210690                 NaN            NaN            NaN
  1330.15        2500.00                 NaN   99.3937       0.262289       0.186931E-001  0.115969                 NaN  0.209350                 NaN            NaN            NaN
  1329.05        2500.00                 NaN   99.3988       0.215244E-001  0.259411       0.113355                 NaN  0.206930                 NaN            NaN            NaN
  1327.95        2500.00                 NaN   99.4022       0.211609E-001  0.258534       0.112455                 NaN  0.205632                 NaN            NaN            NaN
  1326.85        2500.00                 NaN   99.4059       0.256855       0.224250E-001  0.110782                 NaN  0.204019                 NaN            NaN            NaN
  1325.75        2500.00                 NaN   99.4099       0.256146       0.232444E-001  0.108696                 NaN  0.202046                 NaN            NaN            NaN
  1324.65        2500.00                 NaN   99.4130       0.248027E-001  0.254238       0.107215                 NaN  0.200782                 NaN            NaN            NaN
  1323.55        2500.00                 NaN   99.4178       0.252952E-001  0.252400       0.105630                 NaN  0.198856                 NaN            NaN            NaN
  1322.45        2500.00                 NaN   99.4216       0.249773       0.274603E-001  0.103869                 NaN  0.197309                 NaN            NaN            NaN
  1321.35        2500.00                 NaN   99.4247       0.249658       0.277423E-001  0.102083                 NaN  0.195767                 NaN            NaN            NaN
  1320.25        2500.00                 NaN   99.4280       0.292615E-001  0.248159       0.100278                 NaN  0.194294                 NaN            NaN            NaN
  1319.15        2500.00                 NaN   99.4317       0.246394       0.307342E-001  0.985257E-001            NaN  0.192670                 NaN            NaN            NaN
  1318.04        2500.00                 NaN   99.4353       0.244273       0.324122E-001  0.968489E-001            NaN  0.191184                 NaN            NaN            NaN
  1316.94        2500.00                 NaN   99.4383       0.340779E-001  0.242959       0.949288E-001            NaN  0.189761                 NaN            NaN            NaN
  1315.84        2500.00                 NaN   99.4405       0.244454       0.316048E-001  0.944859E-001            NaN  0.188928                 NaN            NaN            NaN
  1314.74        2500.00                 NaN   99.4452       0.380808E-001  0.239546       0.907652E-001            NaN  0.186371                 NaN            NaN            NaN
  1313.64        2500.00                 NaN   99.4484       0.299952E-001  0.243573       0.921997E-001            NaN  0.185863                 NaN            NaN            NaN
  1312.54        2500.00                 NaN   99.4500       0.527821E-001  0.229009       0.845085E-001            NaN  0.183653                 NaN            NaN            NaN
  1311.44        2500.00                 NaN   99.4536       0.459631E-001  0.231468       0.857805E-001            NaN  0.183203                 NaN            NaN            NaN
  1310.34        2500.00                 NaN   99.4564       0.390752E-001  0.238915       0.845157E-001            NaN  0.181123                 NaN            NaN            NaN
  1309.24        2500.00                 NaN   99.4612       0.297762E-001  0.242373       0.862988E-001            NaN  0.180389                 NaN            NaN            NaN
  1308.14        2500.00                 NaN   99.4603       0.615536E-001  0.222506       0.769207E-001            NaN  0.178769                 NaN            NaN            NaN
  1307.04        2500.00                 NaN   99.4649       0.492997E-001  0.229883       0.783489E-001            NaN  0.177549                 NaN            NaN            NaN
  1305.94        2500.00                 NaN   99.4655       0.677873E-001  0.217083       0.731702E-001            NaN  0.176491                 NaN            NaN            NaN
  1304.84        2500.00                 NaN   99.4709       0.476190E-001  0.230153       0.762027E-001            NaN  0.175160                 NaN            NaN            NaN
  1303.74        2500.00                 NaN   99.4774       0.142981E-001  0.252817       0.815566E-001            NaN  0.173950                 NaN            NaN            NaN
  1302.64        2500.00                 NaN   99.4756       0.557875E-001  0.224595       0.711387E-001            NaN  0.172859                 NaN            NaN            NaN
  1301.54        2500.00                 NaN   99.4789       0.477517E-001  0.230822       0.709081E-001            NaN  0.171641                 NaN            NaN            NaN
  1300.44        2500.00                 NaN   97.3316       0.433663E-001  0.584314       0.200078                 NaN  0.446246        1.39436                 NaN            NaN
  1299.34        2500.00                 NaN   92.2596        1.45838                 NaN  0.504393                 NaN   1.09582        4.68178                 NaN            NaN
  1298.24        2500.00                 NaN   91.1872        1.63857                 NaN  0.558127                 NaN   1.24847        5.31839       0.492346E-001            NaN
  1297.14        2500.00                 NaN   79.7829        3.40058                 NaN   1.26867                 NaN   2.83838        12.2434       0.466157                 NaN
  1296.03        2500.00                 NaN   81.0848        3.16649                 NaN   1.23769                 NaN   2.66524        11.4138       0.431980                 NaN
  1294.93        2500.00                 NaN   82.3787        2.94718                 NaN   1.19062                 NaN   2.49308        10.5927       0.397772                 NaN
  1293.83        2500.00                 NaN   83.7316        2.73332                 NaN   1.11951                 NaN   2.31003        9.74267       0.362906                 NaN
  1292.73        2500.00                 NaN   84.9806        2.54958                 NaN   1.04019                 NaN   2.13971        8.95937       0.330510                 NaN
  1291.63        2500.00       0.869677E-002   85.9872        2.40131                 NaN  0.974320                 NaN   2.00237        8.32664       0.299470                 NaN
  1290.53        2500.00       0.236483        86.8363        2.35870                 NaN  0.761750                 NaN   1.86599        7.79374       0.147023                 NaN
  1289.43        2500.00       0.115909        87.9335        2.14546                 NaN  0.768420                 NaN   1.72450        7.12206       0.190143                 NaN
  1288.33        2500.00       0.659685E-002   88.7661        1.98094                 NaN  0.785773                 NaN   1.61787        6.61018       0.232522                 NaN
  1287.23        2500.00       0.230722E-001   89.4470        1.87268                 NaN  0.728856                 NaN   1.52203        6.19885       0.207475                 NaN
  1286.13        2500.00                 NaN   89.6294        1.84387                 NaN  0.736916                 NaN   1.50396        6.07173       0.214112                 NaN
  1285.03        2500.00       0.359478        90.5279        1.94598                 NaN  0.265489                 NaN   1.31143        5.58969                 NaN            NaN
  1283.93        2500.00                 NaN   90.9982        1.53802                 NaN  0.762690                 NaN   1.33271        5.19297       0.175385                 NaN
  1282.83        2500.00                 NaN   92.9736        1.28825                 NaN  0.494130                 NaN   1.02265        4.08014       0.141267                 NaN
  1281.73        2500.00                 NaN   84.6632        3.03463                 NaN  0.835897                 NaN   2.21102        8.92578       0.329511                 NaN
  1280.63        2500.00                 NaN   98.5383                 NaN            NaN  0.352235                 NaN  0.270409       0.826062       0.130008E-001            NaN
  1279.53        2500.00                 NaN   95.1929       0.641782                 NaN  0.441453                 NaN  0.729145        2.89257       0.102132                 NaN
  1278.43        2500.00                 NaN   93.9145        1.49903                 NaN  0.275172                 NaN  0.824853        3.38273       0.103679                 NaN
  1277.33        2500.00                 NaN   93.9516        1.17304                 NaN  0.399402                 NaN  0.879447        3.47866       0.117859                 NaN
  1276.23        2500.00                 NaN   94.0226        1.14768                 NaN  0.397088                 NaN  0.871727        3.44414       0.116747                 NaN
  1275.13        2500.00                 NaN   94.2604        1.09466                 NaN  0.370710                 NaN  0.837498        3.32353       0.113188                 NaN
  1274.02        2500.00                 NaN   79.8360        3.96122                 NaN  0.176761        1.25231        2.96421        11.4234       0.386072                 NaN
  1272.92        2500.00                 NaN   99.8966                 NaN            NaN            NaN            NaN            NaN  0.102783       0.593316E-003            NaN
  1271.82        2500.00                 NaN   99.8678       0.662347E-001            NaN            NaN            NaN  0.259816E-001  0.365651E-001  0.344382E-002            NaN
  1270.72        2500.00                 NaN   99.9773                 NaN            NaN  0.123056E-001            NaN  0.539203E-002  0.331435E-002  0.168566E-002            NaN
  1269.62        2500.00                 NaN   99.8285       0.426321E-001            NaN  0.816940E-002            NaN  0.254158E-001  0.938902E-001  0.141338E-002            NaN
  1268.52        2500.00                 NaN   91.7381        1.88267                 NaN  0.320950                 NaN   1.18734        4.72557       0.145375                 NaN
  1267.42        2500.00                 NaN   95.3575        1.11009                 NaN  0.139001                 NaN  0.664952        2.64951       0.789879E-001            NaN
  1266.32        2500.00                 NaN   94.8226        1.32084                 NaN  0.102515                 NaN  0.739818        2.93014       0.840514E-001            NaN
  1265.22        2500.00                 NaN   99.5647       0.771977E-001            NaN  0.296281E-001            NaN  0.643188E-001  0.255997       0.813390E-002            NaN
  1264.12        2500.00                 NaN   99.8300       0.254645E-001            NaN  0.104905E-001  0.309624E-002  0.258479E-001  0.101893       0.323251E-002            NaN
  1263.02        2500.00                 NaN   87.6170        3.33413                 NaN  0.115722                 NaN   1.74148        7.00052       0.191151                 NaN
  1261.92        2500.00                 NaN   95.8894       0.985400                 NaN  0.998964E-001            NaN  0.596330        2.36654       0.624182E-001            NaN
  1260.82        2500.00                 NaN   95.6488        1.24216                 NaN  0.316654E-004            NaN  0.611518        2.43664       0.608406E-001            NaN
  1259.72        2500.00                 NaN   96.0016        1.10504                 NaN  0.635361E-004            NaN  0.556981        2.27646       0.598217E-001            NaN
  1258.62        2500.00                 NaN   95.8999        1.14597                 NaN  0.671613E-004            NaN  0.577855        2.31921       0.570428E-001            NaN
  1257.52        2500.00                 NaN   94.9247       0.611040       0.208981E-005  0.458653                 NaN  0.773026        3.14721       0.853448E-001            NaN
  1256.42        2500.00                 NaN   91.1889        2.13788                 NaN  0.294599                 NaN   1.26950        4.98497       0.124127                 NaN
  1255.32        2500.00                 NaN  100.0000                 NaN            NaN  0.522850E-005            NaN  0.457201E-005  0.144414E-004            NaN            NaN
  1254.22        2500.00                 NaN   94.2807        1.51547                 NaN            NaN            NaN  0.804011        3.31523       0.846088E-001            NaN
  1253.12        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1252.01        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1250.91        2500.00                 NaN   99.9997       0.916832E-004            NaN  0.122203E-005            NaN  0.445300E-004  0.202020E-003  0.629613E-005            NaN
  1249.81        2500.00                 NaN   91.7779        2.27129                 NaN            NaN            NaN   1.11006        4.71452       0.126245                 NaN
  1248.71        2500.00                 NaN   96.7191       0.178208       0.697326                 NaN            NaN  0.434454        1.91682       0.540885E-001            NaN
  1247.61        2500.00                 NaN   99.5133       0.142422                 NaN            NaN            NaN  0.663426E-001  0.268748       0.923394E-002            NaN
  1246.51        2500.00                 NaN   99.9448       0.539581E-002            NaN            NaN            NaN  0.534928E-002  0.435166E-001  0.983179E-003            NaN
  1245.41        2500.00                 NaN   99.9104       0.291278E-001            NaN            NaN            NaN  0.118550E-001  0.479105E-001  0.670361E-003            NaN
  1244.31        2500.00                 NaN   90.7046       0.216203        2.26103                 NaN            NaN   1.29670        5.39663       0.124870                 NaN
  1243.21        2500.00                 NaN   97.8321       0.639754                 NaN            NaN            NaN  0.347720        1.14546       0.349376E-001            NaN
  1242.11        2500.00                 NaN   97.7547       0.547254                 NaN            NaN            NaN  0.257378        1.41397       0.267013E-001            NaN
  1241.01        2500.00                 NaN   97.9968       0.521560                 NaN            NaN            NaN  0.260810        1.18754       0.332815E-001            NaN
  1239.91        2500.00                 NaN   97.8658       0.565977                 NaN            NaN            NaN  0.287352        1.25040       0.304186E-001            NaN
  1238.81        2500.00                 NaN   98.7051       0.327694                 NaN            NaN            NaN  0.169163       0.777625       0.203733E-001            NaN
  1237.71        2500.00                 NaN   96.0222        1.02094                 NaN            NaN            NaN  0.521267        2.37736       0.582598E-001            NaN
  1236.61        2500.00                 NaN   99.2503       0.196055                 NaN            NaN            NaN  0.104238       0.439585       0.981674E-002            NaN
  1235.51        2500.00                 NaN   97.4223       0.682505                 NaN            NaN            NaN  0.342284        1.51669       0.362370E-001            NaN
  1234.41        2500.00                 NaN   99.9998       0.196876E-004            NaN  0.150729E-004            NaN  0.225828E-004  0.908539E-004  0.207053E-005            NaN
  1233.31        2500.00                 NaN   97.1915       0.721383                 NaN            NaN            NaN  0.379704        1.67031       0.371385E-001            NaN
  1232.21        2500.00                 NaN   96.1806       0.969930                 NaN            NaN            NaN  0.523707        2.27616       0.496457E-001            NaN
  1231.11        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1230.00        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1228.90        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1227.80        2500.00                 NaN   75.9174        2.61223       0.759002                 NaN            NaN   2.23259        11.6692       0.167483        6.64205     
  1226.70        2500.00                 NaN            NaN  0.236083        11.7309                 NaN            NaN   8.43795        46.3581       0.627193        32.6098     
  1225.60        2500.00                 NaN            NaN  0.378015        11.5931                 NaN            NaN   8.43589        46.3545       0.626845        32.6116     
  1224.50        2500.00                 NaN            NaN  0.438224        11.5365                 NaN            NaN   8.43898        46.3473       0.626130        32.6129     
  1223.40        2500.00                 NaN            NaN  0.383774        11.5954                 NaN            NaN   8.44389        46.3364       0.625402        32.6152     
  1222.30        2500.00                 NaN            NaN  0.439556        11.5387                 NaN            NaN   8.44711        46.3359       0.624389        32.6144     
  1221.20        2500.00                 NaN            NaN  0.474930        11.5052                 NaN            NaN   8.45122        46.3292       0.623968        32.6154     
  1220.10        2500.00                 NaN            NaN  0.493586        11.4882                 NaN            NaN   8.45590        46.3225       0.623604        32.6162     
  1219.00        2500.00                 NaN            NaN  0.348786        11.6319                 NaN            NaN   8.45940        46.3198       0.623896        32.6163     
  1217.90        2500.00                 NaN            NaN  0.314478        11.6663                 NaN            NaN   8.46448        46.3152       0.623118        32.6164     
  1216.80        2500.00                 NaN            NaN  0.378306        11.6029                 NaN            NaN   8.46642        46.3118       0.623349        32.6172     
  1215.70        2500.00                 NaN            NaN  0.373624        11.6083                 NaN            NaN   8.47226        46.3057       0.622508        32.6176     
  1214.60        2500.00                 NaN            NaN  0.236838        11.7448                 NaN            NaN   8.47791        46.3000       0.622625        32.6178     
  1213.50        2500.00                 NaN            NaN  0.208507        11.7736                 NaN            NaN   8.48140        46.2959       0.622340        32.6183     
  1212.40        2500.00                 NaN            NaN  0.219853        11.7631                 NaN            NaN   8.48478        46.2913       0.621944        32.6190     
  1211.30        2500.00                 NaN            NaN  0.232924        11.7509                 NaN            NaN   8.48804        46.2869       0.621563        32.6196     
  1210.20        2500.00                 NaN            NaN  0.249029        11.7357                 NaN            NaN   8.49129        46.2825       0.621180        32.6203     
  1209.10        2500.00                 NaN            NaN  0.268578        11.7171                 NaN            NaN   8.49454        46.2780       0.620793        32.6210     
  1207.99        2500.00                 NaN            NaN  0.289877        11.6967                 NaN            NaN   8.49780        46.2736       0.620405        32.6217     
  1206.89        2500.00                 NaN            NaN  0.312903        11.6746                 NaN            NaN   8.50106        46.2691       0.620016        32.6223     
  1205.79        2500.00                 NaN            NaN  0.337593        11.6508                 NaN            NaN   8.50432        46.2646       0.619625        32.6230     
  1204.69        2500.00                 NaN            NaN  0.137850        11.8491                 NaN            NaN   8.52224        46.2501       0.618838        32.6219     
  1203.59        2500.00                 NaN            NaN  0.193113        11.7972                 NaN            NaN   8.52444        46.2441       0.618329        32.6228     
  1202.49        2500.00                 NaN            NaN  0.429518        11.5618                 NaN            NaN   8.51414        46.2510       0.618440        32.6251     
  1201.39        2500.00                 NaN            NaN  0.455552        11.5368                 NaN            NaN   8.51743        46.2464       0.618032        32.6258     
  1200.29        2500.00                 NaN            NaN  0.487234        11.5060                 NaN            NaN   8.52071        46.2419       0.617650        32.6265     
  1199.19        2500.00                 NaN            NaN  0.521872        11.4723                 NaN            NaN   8.52401        46.2373       0.617249        32.6272     
  1198.09        2500.00                 NaN            NaN  0.558661        11.4365                 NaN            NaN   8.52731        46.2327       0.616848        32.6279     
  1196.99        2500.00                 NaN            NaN  0.596995        11.3992                 NaN            NaN   8.53062        46.2281       0.616444        32.6287     
  1195.89        2500.00                 NaN            NaN  0.637041        11.3601                 NaN            NaN   8.53394        46.2235       0.616039        32.6294     
