|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1511.21        2500.00        99.4810       0.477356       0.416600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        2500.00        99.4820       0.477043       0.409655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.4880       0.471019       0.409836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        2500.00        99.3727       0.558190       0.691439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00        99.6125       0.362953       0.245603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        2500.00        99.4922       0.473872       0.339240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        99.4953       0.467397       0.373018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        2500.00        99.4969       0.463649       0.361610E-001  0.327879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00        99.3313                 NaN  0.566283E-002  0.663038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        2500.00        99.9849                 NaN  0.151244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        2500.00        98.6717                 NaN            NaN   1.32828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        2500.00        99.2767                 NaN  0.189398E-001  0.704349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        2500.00        99.5724                 NaN            NaN  0.427567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        2500.00        99.0963                 NaN            NaN  0.903712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        2500.00        99.3051                 NaN            NaN  0.694938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        2500.00        99.1291                 NaN            NaN  0.561820       0.309077                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00        98.9455                 NaN            NaN  0.649703       0.404781                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.72        2500.00        98.9529                 NaN            NaN  0.401998       0.645076                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00        98.9602                 NaN  0.123776E-005  0.640619       0.399175                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.96        2500.00        98.9695                 NaN            NaN  0.634026       0.396485                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        98.9752                 NaN            NaN  0.394229       0.630590                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.20        2500.00        98.9853                 NaN  0.298795E-001  0.347884       0.636983                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        2500.00        98.9934                 NaN  0.613719E-001  0.645093       0.300108                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.43        2500.00        99.0015                 NaN  0.555611E-001  0.305653       0.637296                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.05        2500.00        99.0073                 NaN  0.624282E-001  0.293556       0.636742                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        2500.00        99.0146                 NaN  0.569582E-001  0.299131       0.629286                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.29        2500.00        99.0210                 NaN  0.427179E-001  0.317841       0.618458                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        98.7400                 NaN  0.823660E-001  0.809054       0.368613                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.3246                 NaN  0.366233E-001  0.209932       0.428872                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.14        2500.00        99.0413                 NaN  0.507469E-001  0.608367       0.299588                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        99.0432                 NaN  0.584229E-001  0.611748       0.286602                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.38        2500.00        99.0553                 NaN  0.392756E-001  0.311714       0.593748                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.00        2500.00        99.0582                 NaN  0.468491E-001  0.300106       0.594815                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.62        2500.00        99.0640                 NaN  0.457072E-001  0.299521       0.590754                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.24        2500.00        99.0699                 NaN  0.442394E-001  0.299592       0.586286                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.85        2500.00        99.0753                 NaN  0.429980E-001  0.299528       0.582129                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.47        2500.00        99.0807                 NaN  0.417617E-001  0.578170       0.299414                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.09        2500.00        99.0852                 NaN  0.406631E-001  0.575046       0.299077                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.71        2500.00        99.0914                 NaN  0.392560E-001  0.569799       0.299539                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.33        2500.00        99.0950                 NaN  0.385599E-001  0.298523       0.567899                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        2500.00        99.1016                 NaN  0.367628E-001  0.299428       0.562212                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        2500.00        99.1063                 NaN  0.356910E-001  0.299326       0.558698                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.18        2500.00        99.1112                 NaN  0.345694E-001  0.299122       0.555106                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.80        2500.00        99.1152                 NaN  0.336653E-001  0.552432       0.298672                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.42        2500.00        99.1208                 NaN  0.321826E-001  0.548224       0.298835                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.04        2500.00        99.1226                 NaN  0.320460E-001  0.546720       0.298606                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.1311                 NaN  0.293268E-001  0.539625       0.299995                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.27        2500.00        99.1327                 NaN  0.293159E-001  0.298484       0.539490                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.1381                 NaN  0.277807E-001  0.534980       0.299184                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.51        2500.00        99.1391                 NaN  0.274503E-001  0.299528       0.533908                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.13        2500.00        99.1472                 NaN  0.254348E-001  0.527990       0.299396                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.75        2500.00        99.1480                 NaN  0.250125E-001  0.298858       0.528161                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.37        2500.00        99.1548                 NaN  0.235655E-001  0.522688       0.298922                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.98        2500.00        99.1576                 NaN  0.227011E-001  0.298759       0.520901                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00        99.1608                 NaN  0.217390E-001  0.298879       0.518552                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.22        2500.00        99.1638                 NaN  0.208862E-001  0.298893       0.516415                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.84        2500.00        99.1675                 NaN  0.198539E-001  0.299332       0.513309                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.46        2500.00        99.1711                 NaN  0.160238E-001  0.509714       0.303141                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.08        2500.00        99.1745                 NaN  0.205649E-001  0.509233       0.295739                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.69        2500.00        99.1775                 NaN  0.169414E-001  0.505838       0.299767                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.31        2500.00        99.1781                 NaN  0.340683E-002  0.317295       0.501186                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.93        2500.00        99.1849                 NaN  0.279529E-001  0.281576       0.505553                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.55        2500.00        99.1855                 NaN  0.139197E-001  0.500272       0.300340                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.17        2500.00        99.1889                 NaN  0.133174E-001  0.497906       0.299911                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00        99.1923                 NaN  0.122492E-001  0.495648       0.299796                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.40        2500.00        99.1945                 NaN  0.110571E-001  0.300380       0.494111                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.02        2500.00        99.1967                 NaN  0.105494E-001  0.492458       0.300304                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.64        2500.00        99.1985                 NaN  0.926016E-002  0.491161       0.301050                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.26        2500.00        99.2016                 NaN  0.847326E-002  0.489521       0.300430                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.88        2500.00        99.2032                 NaN  0.755900E-002  0.301253       0.487979                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.50        2500.00        99.2057                 NaN  0.655724E-002  0.486300       0.301470                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.11        2500.00        98.6893                 NaN  0.641084E-002  0.802017       0.500679       0.154748E-002            NaN            NaN            NaN            NaN            NaN
  1411.73        2500.00        99.7285                 NaN  0.368043E-002  0.101182       0.166594                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        2500.00        98.6181                 NaN  0.192790       0.526621       0.332487                 NaN            NaN  0.329980                 NaN            NaN            NaN
  1408.97        2500.00        98.4039                 NaN  0.266245       0.337147       0.538870                 NaN            NaN  0.453837                 NaN            NaN            NaN
  1407.59        2500.00        98.4224                 NaN  0.268344       0.534233       0.326218                 NaN            NaN  0.448815                 NaN            NaN            NaN
  1406.21        2500.00        98.4467                 NaN  0.266398       0.526152       0.319138                 NaN            NaN  0.441657                 NaN            NaN            NaN
  1404.82        2500.00        98.4630                 NaN  0.266931       0.310493       0.522722                 NaN            NaN  0.436871                 NaN            NaN            NaN
  1403.44        2500.00        98.4745                 NaN  0.268961       0.519730       0.302805                 NaN            NaN  0.434002                 NaN            NaN            NaN
  1402.06        2500.00        98.5010                 NaN  0.267039       0.293271       0.512680                 NaN            NaN  0.425989                 NaN            NaN            NaN
  1400.68        2500.00        98.5160                 NaN  0.266080       0.508440       0.287965                 NaN            NaN  0.421509                 NaN            NaN            NaN
  1399.30        2500.00        98.5303                 NaN  0.271489       0.504705       0.275052                 NaN            NaN  0.418409                 NaN            NaN            NaN
  1397.92        2500.00        98.5481                 NaN  0.269014       0.499272       0.270766                 NaN            NaN  0.412801                 NaN            NaN            NaN
  1396.53        2500.00        98.5596                 NaN  0.271356       0.495920       0.263382                 NaN            NaN  0.409762                 NaN            NaN            NaN
  1395.15        2500.00        98.5816                 NaN  0.268594       0.256477       0.490725                 NaN            NaN  0.402614                 NaN            NaN            NaN
  1393.77        2500.00        98.5945                 NaN  0.270343       0.248458       0.487156                 NaN            NaN  0.399560                 NaN            NaN            NaN
  1392.39        2500.00        98.6046                 NaN  0.271841       0.484132       0.242515                 NaN            NaN  0.396938                 NaN            NaN            NaN
  1391.01        2500.00        98.6219                 NaN  0.269451       0.478828       0.238395                 NaN            NaN  0.391409                 NaN            NaN            NaN
  1389.63        2500.00        98.6457                 NaN  0.272025       0.223427       0.474011                 NaN            NaN  0.384820                 NaN            NaN            NaN
  1388.24        2500.00        98.6521                 NaN  0.271659       0.221386       0.471966                 NaN            NaN  0.382927                 NaN            NaN            NaN
  1386.86        2500.00        98.6635                 NaN  0.272634       0.215746       0.468651                 NaN            NaN  0.379471                 NaN            NaN            NaN
  1385.48        2500.00        98.6772                 NaN  0.272973       0.465228       0.209127                 NaN            NaN  0.375443                 NaN            NaN            NaN
  1384.10        2500.00        98.6888                 NaN  0.271673       0.205579       0.461755                 NaN            NaN  0.372148                 NaN            NaN            NaN
  1382.72        2500.00        99.0420                 NaN  0.205587       0.140965       0.338057                 NaN            NaN  0.273439                 NaN            NaN            NaN
  1381.34        2500.00        98.3757                 NaN  0.344753       0.243368       0.576439                 NaN            NaN  0.459782                 NaN            NaN            NaN
  1379.95        2500.00        98.7308                 NaN  0.274035       0.184907       0.450100                 NaN            NaN  0.360203                 NaN            NaN            NaN
  1378.57        2500.00        98.7416                 NaN  0.273551       0.448146       0.180135                 NaN            NaN  0.356520                 NaN            NaN            NaN
  1377.19        2500.00        98.7508                 NaN  0.275036       0.445874       0.174171                 NaN            NaN  0.354090                 NaN            NaN            NaN
  1375.81        2500.00        98.7627                 NaN  0.275276       0.168965       0.442456                 NaN            NaN  0.350641                 NaN            NaN            NaN
  1374.43        2500.00        98.7752                 NaN  0.275172       0.439780       0.162794                 NaN            NaN  0.347032                 NaN            NaN            NaN
  1373.05        2500.00        98.7861                 NaN  0.274915       0.436486       0.159027                 NaN            NaN  0.343505                 NaN            NaN            NaN
  1371.66        2500.00        98.7958                 NaN  0.275687       0.433998       0.153777                 NaN            NaN  0.340738                 NaN            NaN            NaN
  1370.28        2500.00        98.8026                 NaN  0.276020       0.433560       0.149788                 NaN            NaN  0.338041                 NaN            NaN            NaN
  1368.90        2500.00        98.8189                 NaN  0.275172       0.428155       0.144090                 NaN            NaN  0.333662                 NaN            NaN            NaN
  1367.52        2500.00        98.8104                 NaN  0.281411       0.434380       0.137083                 NaN            NaN  0.336747                 NaN            NaN            NaN
  1366.14        2500.00        98.8468                 NaN  0.271245       0.419988       0.137556                 NaN            NaN  0.324423                 NaN            NaN            NaN
  1364.76        2500.00        98.8477                 NaN  0.274793       0.420751       0.132121                 NaN            NaN  0.324670                 NaN            NaN            NaN
  1363.38        2500.00        98.8551                 NaN  0.275004       0.128508       0.419049                 NaN            NaN  0.322303                 NaN            NaN            NaN
  1361.99        2500.00        98.7213                 NaN  0.177303       0.232507       0.451907       0.861848E-001            NaN  0.330792                 NaN            NaN            NaN
  1360.61        2500.00        98.6357                 NaN  0.115582       0.291781       0.483991       0.137840                 NaN  0.335141                 NaN            NaN            NaN
  1359.23        2500.00        98.5656                 NaN  0.652928E-001  0.337013       0.515439       0.178447                 NaN  0.338170                 NaN            NaN            NaN
  1357.85        2500.00        98.5496                 NaN  0.402581E-001  0.356560       0.522098       0.195620                 NaN  0.335855                 NaN            NaN            NaN
  1356.47        2500.00        98.4992                 NaN  0.471504E-002  0.548460       0.383513       0.225950                 NaN  0.338141                 NaN            NaN            NaN
  1355.09        2500.00        98.4809                 NaN            NaN  0.564461       0.373827       0.241288                 NaN  0.339521                 NaN            NaN            NaN
  1353.70        2500.00        98.4824                 NaN            NaN  0.568205       0.363665       0.246970                 NaN  0.338790                 NaN            NaN            NaN
  1352.32        2500.00        98.4895                 NaN            NaN  0.355065       0.568657       0.249770                 NaN  0.337016                 NaN            NaN            NaN
  1350.94        2500.00        98.5011                 NaN            NaN  0.565017       0.349175       0.249985                 NaN  0.334753                 NaN            NaN            NaN
  1349.56        2500.00        98.5114                 NaN            NaN  0.567360       0.336157       0.253483                 NaN  0.331569                 NaN            NaN            NaN
  1348.18        2500.00        98.5326                 NaN            NaN  0.556818       0.333466       0.249310                 NaN  0.327805                 NaN            NaN            NaN
  1346.80        2500.00        98.5498                 NaN            NaN  0.326985       0.551295       0.247685                 NaN  0.324237                 NaN            NaN            NaN
  1345.41        2500.00        98.5682                 NaN            NaN  0.320784       0.544906       0.245742                 NaN  0.320355                 NaN            NaN            NaN
  1344.03        2500.00        98.5880                 NaN            NaN  0.536667       0.315954       0.242808                 NaN  0.316619                 NaN            NaN            NaN
  1342.65        2500.00        98.6076                 NaN            NaN  0.310889       0.529042       0.239800                 NaN  0.312636                 NaN            NaN            NaN
  1341.27        2500.00        98.6267                 NaN            NaN  0.521030       0.306776       0.236454                 NaN  0.308992                 NaN            NaN            NaN
  1339.89        2500.00        98.6467                 NaN            NaN  0.513075       0.301826       0.233439                 NaN  0.304959                 NaN            NaN            NaN
  1338.51        2500.00        98.6649                 NaN            NaN  0.298629       0.504801       0.230199                 NaN  0.301454                 NaN            NaN            NaN
  1337.12        2500.00        98.6866                 NaN            NaN  0.293353       0.496343       0.226755                 NaN  0.296995                 NaN            NaN            NaN
  1335.74        2500.00        98.7037                 NaN            NaN  0.488671       0.290109       0.223679                 NaN  0.293814                 NaN            NaN            NaN
  1334.36        2500.00        98.7229                 NaN            NaN  0.481059       0.285671       0.220483                 NaN  0.289848                 NaN            NaN            NaN
  1332.98        2500.00        98.7409                 NaN            NaN  0.282200       0.473269       0.217255                 NaN  0.286383                 NaN            NaN            NaN
  1331.60        2500.00        98.7580                 NaN            NaN  0.278660       0.466087       0.214350                 NaN  0.282944                 NaN            NaN            NaN
  1330.22        2500.00        98.7774                 NaN            NaN  0.457538       0.275209       0.210674                 NaN  0.279188                 NaN            NaN            NaN
  1328.83        2500.00        98.7948                 NaN            NaN  0.449934       0.272089       0.207407                 NaN  0.275787                 NaN            NaN            NaN
  1327.45        2500.00        98.8121                 NaN            NaN  0.268424       0.442643       0.204569                 NaN  0.272282                 NaN            NaN            NaN
  1326.07        2500.00        98.8283                 NaN            NaN  0.435790       0.265511       0.201300                 NaN  0.269097                 NaN            NaN            NaN
  1324.69        2500.00        98.8450                 NaN            NaN  0.428545       0.262353       0.198331                 NaN  0.265737                 NaN            NaN            NaN
  1323.31        2500.00        98.8608                 NaN            NaN  0.421585       0.259877       0.195118                 NaN  0.262662                 NaN            NaN            NaN
  1321.93        2500.00        98.8770                 NaN            NaN  0.256634       0.414623       0.192234                 NaN  0.259463                 NaN            NaN            NaN
  1320.54        2500.00        98.8930                 NaN            NaN  0.407940       0.253717       0.189174                 NaN  0.256173                 NaN            NaN            NaN
  1319.16        2500.00        98.9082                 NaN            NaN  0.401033       0.251321       0.186196                 NaN  0.253264                 NaN            NaN            NaN
  1317.78        2500.00        98.9233                 NaN            NaN  0.394446       0.248538       0.183379                 NaN  0.250326                 NaN            NaN            NaN
  1316.40        2500.00        98.9382                 NaN            NaN  0.245934       0.388343       0.180389                 NaN  0.247151                 NaN            NaN            NaN
  1315.02        2500.00        98.9530                 NaN            NaN  0.243510       0.381705       0.177447                 NaN  0.244307                 NaN            NaN            NaN
  1313.64        2500.00        98.9669                 NaN            NaN  0.240958       0.375856       0.174793                 NaN  0.241522                 NaN            NaN            NaN
  1312.25        2500.00        98.9805                 NaN            NaN  0.369575       0.239231       0.171761                 NaN  0.238899                 NaN            NaN            NaN
  1310.87        2500.00        98.9949                 NaN            NaN  0.363602       0.236532       0.169096                 NaN  0.235905                 NaN            NaN            NaN
  1309.49        2500.00        99.0083                 NaN            NaN  0.357609       0.234675       0.166219                 NaN  0.233215                 NaN            NaN            NaN
  1308.11        2500.00        99.0216                 NaN            NaN  0.351970       0.232200       0.163662                 NaN  0.230556                 NaN            NaN            NaN
  1306.73        2500.00        99.0347                 NaN            NaN  0.346260       0.230207       0.160909                 NaN  0.227903                 NaN            NaN            NaN
  1305.35        2500.00        99.0477                 NaN            NaN  0.340733       0.227841       0.158417                 NaN  0.225319                 NaN            NaN            NaN
  1303.96        2500.00        99.0601                 NaN            NaN  0.226431       0.334834       0.155753                 NaN  0.222847                 NaN            NaN            NaN
  1302.58        2500.00        99.0727                 NaN            NaN  0.224422       0.329673       0.153038                 NaN  0.220185                 NaN            NaN            NaN
  1301.20        2500.00        99.0852                 NaN            NaN  0.324322       0.222427       0.150222                 NaN  0.217784                 NaN            NaN            NaN
  1299.82        2500.00        99.0968                 NaN            NaN  0.319150       0.220786       0.147853                 NaN  0.215377                 NaN            NaN            NaN
  1298.44        2500.00        99.1081                 NaN            NaN  0.313740       0.219452       0.145410                 NaN  0.213266                 NaN            NaN            NaN
  1297.06        2500.00        83.6756                 NaN            NaN   2.49847        1.97967        1.45289                 NaN   2.03177        8.36160                 NaN            NaN
  1295.67        2500.00        65.5896                 NaN            NaN   4.91591        4.18214        2.88926                 NaN   4.17221        18.2509                 NaN            NaN
  1294.29        2500.00        73.6145                 NaN            NaN   3.31378        3.70868        2.16924                 NaN   3.22672        13.9671                 NaN            NaN
  1292.91        2500.00        78.7367                 NaN            NaN   2.94305        2.74876        1.71634                 NaN   2.62070        11.2345                 NaN            NaN
  1291.53        2500.00        82.2170                 NaN            NaN   2.35282        2.42900        1.41284                 NaN   2.20701        9.38129                 NaN            NaN
  1290.15        2500.00        84.6559                 NaN            NaN   2.07773        2.06622        1.20539                 NaN   1.91855        8.07618                 NaN            NaN
  1288.77        2500.00        84.2228                 NaN            NaN   1.96677        2.23081        1.24186                 NaN   1.98459        8.35316                 NaN            NaN
  1287.38        2500.00        90.6936                 NaN            NaN   1.11524        1.47575       0.703157                 NaN   1.18289        4.82931                 NaN            NaN
  1286.00        2500.00        87.4577                 NaN            NaN   1.78654        1.50524       0.992994                 NaN   1.59458        6.66296                 NaN            NaN
  1284.62        2500.00        92.4639                 NaN            NaN   1.27922       0.866909       0.552224                 NaN  0.964392        3.87337                 NaN            NaN
  1283.24        2500.00        88.3738                 NaN            NaN   1.47393        1.71285       0.747214                 NaN   1.48267        6.20949                 NaN            NaN
  1281.86        2500.00        95.2505                 NaN            NaN  0.683581       0.534385       0.551638                 NaN  0.628996        2.35090                 NaN            NaN
  1280.48        2500.00        81.5353                 NaN            NaN   4.43834        1.40910       0.588142       0.283394        2.52238        9.22334                 NaN            NaN
  1279.09        2500.00        99.4967                 NaN            NaN  0.401296E-001  0.223978                 NaN            NaN  0.610853E-001  0.178098                 NaN            NaN
  1277.71        2500.00        99.7488                 NaN            NaN  0.424869E-001            NaN            NaN            NaN  0.317490E-001  0.176930                 NaN            NaN
  1276.33        2500.00        98.9736                 NaN            NaN  0.226633       0.322054E-001            NaN            NaN  0.121073       0.614291       0.321844E-001            NaN
  1274.95        2500.00        87.1452                 NaN            NaN   1.86097        1.58990        1.04026                 NaN   1.68781        6.67591                 NaN            NaN
  1273.57        2500.00        91.8754                 NaN            NaN   1.14124       0.988914       0.658247                 NaN   1.06279        4.27340                 NaN            NaN
  1272.19        2500.00        99.1789                 NaN            NaN  0.105215       0.127542       0.401664E-001            NaN  0.106952       0.441238                 NaN            NaN
  1270.80        2500.00        98.9155                 NaN            NaN  0.222056       0.919513E-001            NaN            NaN  0.142326       0.553219       0.749674E-001            NaN
  1269.42        2500.00        87.9566                 NaN            NaN   2.13370        1.26797       0.414493                 NaN   1.56438        6.32963       0.333194                 NaN
  1268.04        2500.00        93.6988                 NaN            NaN   1.17449       0.612891       0.160457                 NaN  0.810896        3.34007       0.202437                 NaN
  1266.66        2500.00        98.8187                 NaN            NaN  0.122669       0.212759       0.307053E-001            NaN  0.153741       0.621825       0.396355E-001            NaN
  1265.28        2500.00        96.5653                 NaN            NaN  0.659440       0.340115       0.861785E-001            NaN  0.469619        1.74301       0.136364                 NaN
  1263.90        2500.00        92.0900                 NaN            NaN  0.835448        1.36534       0.209275                 NaN   1.00602        4.24974       0.244159                 NaN
  1262.51        2500.00        93.5526                 NaN            NaN  0.649226        1.18745       0.162767                 NaN  0.842701        3.39058       0.214669                 NaN
  1261.13        2500.00        99.7997                 NaN            NaN  0.431014E-001  0.177097E-001  0.372216E-002            NaN  0.281843E-001  0.990032E-001  0.854115E-002            NaN
  1259.75        2500.00        99.9399                 NaN            NaN  0.851640E-002  0.534208E-002            NaN            NaN  0.567852E-002  0.405423E-001            NaN            NaN
  1258.37        2500.00        90.5353                 NaN            NaN   1.76654       0.923077       0.219714                 NaN   1.23928        4.99353       0.322570                 NaN
  1256.99        2500.00        94.1254                 NaN            NaN  0.555886        1.11661       0.133805                 NaN  0.767798        3.10310       0.197417                 NaN
  1255.61        2500.00        99.9999                 NaN            NaN  0.514425E-005  0.108293E-004  0.185102E-005            NaN  0.715144E-005  0.282628E-004  0.185224E-005            NaN
