|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.25/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             San(TH)        ilm            q             
  1522.27        2500.00        99.5790       0.385065       0.358969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        2500.00        99.5259       0.433972       0.401292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00        99.5314       0.431499       0.370742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        2500.00        99.5351       0.425484       0.394051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00        99.5361       0.426519       0.374040E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        2500.00        99.5380       0.424522       0.375102E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        2500.00        99.5422       0.420963       0.368638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        2500.00        99.5437       0.420178       0.361264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        2500.00        99.5453       0.419532       0.351944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        2500.00        99.5462       0.419173       0.345926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00        99.5517       0.413741       0.345863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        2500.00        99.4515       0.490133       0.583514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00        99.6606       0.318642       0.207106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        2500.00        99.5554       0.415980       0.285917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        99.5584       0.410218       0.314294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        2500.00        99.5598       0.406827       0.304540E-001  0.289521E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        2500.00        99.4099                 NaN  0.476749E-002  0.585358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        2500.00        99.9873                 NaN  0.127137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        2500.00        98.8270                 NaN            NaN   1.17302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        2500.00        99.3628                 NaN  0.159236E-001  0.621322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        2500.00        99.6231                 NaN            NaN  0.376879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        2500.00        99.2032                 NaN            NaN  0.796789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        2500.00        99.3876                 NaN            NaN  0.612358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        2500.00        99.2306                 NaN            NaN  0.495084       0.274274                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00        99.0668                 NaN            NaN  0.576544       0.356617                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.72        2500.00        99.0737                 NaN            NaN  0.354024       0.572241                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00        99.0803                 NaN  0.103648E-005  0.568216       0.351456                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.96        2500.00        99.0889                 NaN            NaN  0.562194       0.348935                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00        99.0942                 NaN            NaN  0.346797       0.558973                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.20        2500.00        99.1045                 NaN  0.249825E-001  0.305921       0.564549                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        2500.00        99.1135                 NaN  0.512857E-001  0.571482       0.263776                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.43        2500.00        99.1207                 NaN  0.463884E-001  0.268531       0.564389                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.05        2500.00        99.1265                 NaN  0.520796E-001  0.257764       0.563704                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        2500.00        99.1331                 NaN  0.474794E-001  0.262544       0.556914                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.29        2500.00        99.1384                 NaN  0.355845E-001  0.278839       0.547140                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        2500.00        98.8925                 NaN  0.685883E-001  0.715647       0.323278                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.4066                 NaN  0.304498E-001  0.183938       0.379031                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.14        2500.00        99.1577                 NaN  0.421762E-001  0.537633       0.262445                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        2500.00        99.1600                 NaN  0.485248E-001  0.540477       0.250962                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.38        2500.00        99.1703                 NaN  0.325901E-001  0.272780       0.524354                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.00        2500.00        99.1735                 NaN  0.388491E-001  0.262518       0.525127                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.62        2500.00        99.1790                 NaN  0.378769E-001  0.261863       0.521302                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.24        2500.00        99.1844                 NaN  0.366306E-001  0.261800       0.517180                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.85        2500.00        99.1895                 NaN  0.355697E-001  0.261612       0.513317                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.47        2500.00        99.1945                 NaN  0.345202E-001  0.509640       0.261383                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.09        2500.00        99.1988                 NaN  0.335832E-001  0.506659       0.260945                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.71        2500.00        99.2045                 NaN  0.323972E-001  0.501883       0.261214                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.33        2500.00        99.2081                 NaN  0.317934E-001  0.260196       0.499941                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        2500.00        99.2141                 NaN  0.302900E-001  0.260839       0.494787                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        2500.00        99.2184                 NaN  0.293844E-001  0.260644       0.491555                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.18        2500.00        99.2231                 NaN  0.284346E-001  0.260313       0.488168                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.80        2500.00        99.2269                 NaN  0.276745E-001  0.485623       0.259776                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.42        2500.00        99.2321                 NaN  0.264278E-001  0.481732       0.259780                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.04        2500.00        99.2340                 NaN  0.262971E-001  0.480226       0.259445                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.2416                 NaN  0.240430E-001  0.473791       0.260523                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.27        2500.00        99.2435                 NaN  0.240204E-001  0.259053       0.473463                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00        99.2484                 NaN  0.227374E-001  0.469334       0.259525                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.51        2500.00        99.2497                 NaN  0.224549E-001  0.259680       0.468184                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.13        2500.00        99.2570                 NaN  0.207814E-001  0.462790       0.259418                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.75        2500.00        99.2580                 NaN  0.204246E-001  0.258826       0.462785                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.37        2500.00        99.2642                 NaN  0.192270E-001  0.457818       0.258764                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.98        2500.00        99.2670                 NaN  0.185017E-001  0.258457       0.456023                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00        99.2702                 NaN  0.177018E-001  0.258398       0.453748                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.22        2500.00        99.2731                 NaN  0.169920E-001  0.258262       0.451694                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.84        2500.00        99.2766                 NaN  0.161358E-001  0.258503       0.448775                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.46        2500.00        99.2799                 NaN  0.130131E-001  0.445434       0.261648                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.08        2500.00        99.2834                 NaN  0.166855E-001  0.444794       0.255089                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.69        2500.00        99.2862                 NaN  0.137349E-001  0.441659       0.258416                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.31        2500.00        99.2865                 NaN  0.275949E-002  0.273382       0.437382                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.93        2500.00        99.2939                 NaN  0.226195E-001  0.242458       0.440984                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.55        2500.00        99.2942                 NaN  0.112546E-001  0.436106       0.258480                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.17        2500.00        99.2975                 NaN  0.107570E-001  0.433847       0.257907                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        2500.00        99.3007                 NaN  0.988462E-002  0.431747       0.257695                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.40        2500.00        99.3029                 NaN  0.891592E-002  0.258036       0.430166                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.02        2500.00        99.3052                 NaN  0.849939E-002  0.428510       0.257804                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.64        2500.00        99.3071                 NaN  0.745191E-002  0.427189       0.258287                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.26        2500.00        99.3100                 NaN  0.681282E-002  0.425562       0.257603                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.88        2500.00        99.3118                 NaN  0.607138E-002  0.258132       0.423987                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.50        2500.00        99.3142                 NaN  0.526194E-002  0.422367       0.258171                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.11        2500.00        98.8696                 NaN  0.513533E-002  0.695816       0.428446       0.103032E-002            NaN            NaN            NaN            NaN            NaN
  1411.73        2500.00        99.7661                 NaN  0.294598E-002  0.864748E-001  0.144435                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        2500.00        98.7545                 NaN  0.154243       0.456734       0.284224                 NaN            NaN  0.350297                 NaN            NaN            NaN
  1408.97        2500.00        98.5505                 NaN  0.212682       0.288001       0.467085                 NaN            NaN  0.481704                 NaN            NaN            NaN
  1407.59        2500.00        98.5686                 NaN  0.213998       0.462709       0.278409                 NaN            NaN  0.476239                 NaN            NaN            NaN
  1406.21        2500.00        98.5920                 NaN  0.212067       0.455346       0.272092                 NaN            NaN  0.468505                 NaN            NaN            NaN
  1404.82        2500.00        98.6080                 NaN  0.212118       0.264484       0.452075                 NaN            NaN  0.463288                 NaN            NaN            NaN
  1403.44        2500.00        98.6197                 NaN  0.213360       0.449136       0.257739                 NaN            NaN  0.460103                 NaN            NaN            NaN
  1402.06        2500.00        98.6450                 NaN  0.211458       0.249347       0.442723                 NaN            NaN  0.451459                 NaN            NaN            NaN
  1400.68        2500.00        98.6597                 NaN  0.210371       0.438731       0.244617                 NaN            NaN  0.446565                 NaN            NaN            NaN
  1399.30        2500.00        98.6741                 NaN  0.214258       0.435134       0.233415                 NaN            NaN  0.443130                 NaN            NaN            NaN
  1397.92        2500.00        98.6913                 NaN  0.211944       0.430126       0.229546                 NaN            NaN  0.437035                 NaN            NaN            NaN
  1396.53        2500.00        98.7030                 NaN  0.213408       0.426848       0.223049                 NaN            NaN  0.433662                 NaN            NaN            NaN
  1395.15        2500.00        98.7241                 NaN  0.210868       0.217008       0.422058                 NaN            NaN  0.425937                 NaN            NaN            NaN
  1393.77        2500.00        98.7369                 NaN  0.211868       0.210034       0.418656                 NaN            NaN  0.422546                 NaN            NaN            NaN
  1392.39        2500.00        98.7471                 NaN  0.212706       0.415745       0.204811                 NaN            NaN  0.419610                 NaN            NaN            NaN
  1391.01        2500.00        98.7639                 NaN  0.210478       0.410934       0.201094                 NaN            NaN  0.413600                 NaN            NaN            NaN
  1389.63        2500.00        98.7868                 NaN  0.212083       0.188297       0.406340                 NaN            NaN  0.406468                 NaN            NaN            NaN
  1388.24        2500.00        98.7936                 NaN  0.211403       0.186398       0.404256                 NaN            NaN  0.404302                 NaN            NaN            NaN
  1386.86        2500.00        98.8053                 NaN  0.211728       0.181451       0.401059                 NaN            NaN  0.400483                 NaN            NaN            NaN
  1385.48        2500.00        98.8188                 NaN  0.211618       0.397774       0.175706                 NaN            NaN  0.396059                 NaN            NaN            NaN
  1384.10        2500.00        98.8303                 NaN  0.210259       0.172548       0.394453                 NaN            NaN  0.392408                 NaN            NaN            NaN
  1382.72        2500.00        99.1465                 NaN  0.158761       0.118167       0.288444                 NaN            NaN  0.288123                 NaN            NaN            NaN
  1381.34        2500.00        98.5538                 NaN  0.266023       0.203920       0.491734                 NaN            NaN  0.484548                 NaN            NaN            NaN
  1379.95        2500.00        98.8715                 NaN  0.210959       0.154735       0.383504                 NaN            NaN  0.379280                 NaN            NaN            NaN
  1378.57        2500.00        98.8825                 NaN  0.210192       0.381483       0.150577                 NaN            NaN  0.375223                 NaN            NaN            NaN
  1377.19        2500.00        98.8920                 NaN  0.210936       0.379174       0.145427                 NaN            NaN  0.372484                 NaN            NaN            NaN
  1375.81        2500.00        98.9037                 NaN  0.210728       0.140939       0.375967                 NaN            NaN  0.368671                 NaN            NaN            NaN
  1374.43        2500.00        98.9160                 NaN  0.210308       0.373336       0.135653                 NaN            NaN  0.364691                 NaN            NaN            NaN
  1373.05        2500.00        98.9269                 NaN  0.209726       0.370169       0.132367                 NaN            NaN  0.360799                 NaN            NaN            NaN
  1371.66        2500.00        98.9368                 NaN  0.209899       0.367713       0.127858                 NaN            NaN  0.357706                 NaN            NaN            NaN
  1370.28        2500.00        98.9442                 NaN  0.209767       0.366934       0.124378                 NaN            NaN  0.354686                 NaN            NaN            NaN
  1368.90        2500.00        98.9597                 NaN  0.208794       0.362092       0.119548                 NaN            NaN  0.349899                 NaN            NaN            NaN
  1367.52        2500.00        98.9536                 NaN  0.213043       0.366884       0.113564                 NaN            NaN  0.352946                 NaN            NaN            NaN
  1366.14        2500.00        98.9868                 NaN  0.205069       0.354428       0.113859                 NaN            NaN  0.339830                 NaN            NaN            NaN
  1364.76        2500.00        98.9887                 NaN  0.207344       0.354756       0.109252                 NaN            NaN  0.339901                 NaN            NaN            NaN
  1363.38        2500.00        98.9965                 NaN  0.207095       0.106149       0.352980                 NaN            NaN  0.337230                 NaN            NaN            NaN
  1361.99        2500.00        98.8956                 NaN  0.133329       0.191887       0.380365       0.528851E-001            NaN  0.345950                 NaN            NaN            NaN
  1360.61        2500.00        98.8310                 NaN  0.867681E-001  0.240535       0.406956       0.845148E-001            NaN  0.350240                 NaN            NaN            NaN
  1359.23        2500.00        98.7784                 NaN  0.489121E-001  0.277443       0.432862       0.109288                 NaN  0.353089                 NaN            NaN            NaN
  1357.85        2500.00        98.7689                 NaN  0.300983E-001  0.293152       0.437934       0.119624                 NaN  0.350302                 NaN            NaN            NaN
  1356.47        2500.00        98.7320                 NaN  0.351796E-002  0.459334       0.314865       0.137978                 NaN  0.352304                 NaN            NaN            NaN
  1355.09        2500.00        98.7210                 NaN            NaN  0.472123       0.306450       0.147117                 NaN  0.353312                 NaN            NaN            NaN
  1353.70        2500.00        98.7254                 NaN            NaN  0.474525       0.297645       0.150301                 NaN  0.352093                 NaN            NaN            NaN
  1352.32        2500.00        98.7343                 NaN            NaN  0.290102       0.474115       0.151731                 NaN  0.349781                 NaN            NaN            NaN
  1350.94        2500.00        98.7463                 NaN            NaN  0.470356       0.284822       0.151537                 NaN  0.346958                 NaN            NaN            NaN
  1349.56        2500.00        98.7582                 NaN            NaN  0.471518       0.273749       0.153389                 NaN  0.343182                 NaN            NaN            NaN
  1348.18        2500.00        98.7776                 NaN            NaN  0.461990       0.271091       0.150557                 NaN  0.338807                 NaN            NaN            NaN
  1346.80        2500.00        98.7940                 NaN            NaN  0.265371       0.456651       0.149298                 NaN  0.334646                 NaN            NaN            NaN
  1345.41        2500.00        98.8115                 NaN            NaN  0.259901       0.450639       0.147814                 NaN  0.330170                 NaN            NaN            NaN
  1344.03        2500.00        98.8297                 NaN            NaN  0.443103       0.255549       0.145780                 NaN  0.325856                 NaN            NaN            NaN
  1342.65        2500.00        98.8479                 NaN            NaN  0.251037       0.436065       0.143688                 NaN  0.321299                 NaN            NaN            NaN
  1341.27        2500.00        98.8655                 NaN            NaN  0.428732       0.247276       0.141428                 NaN  0.317102                 NaN            NaN            NaN
  1339.89        2500.00        98.8837                 NaN            NaN  0.421501       0.242891       0.139348                 NaN  0.312518                 NaN            NaN            NaN
  1338.51        2500.00        98.9005                 NaN            NaN  0.239905       0.414007       0.137126                 NaN  0.308488                 NaN            NaN            NaN
  1337.12        2500.00        98.9200                 NaN            NaN  0.235287       0.406424       0.134820                 NaN  0.303495                 NaN            NaN            NaN
  1335.74        2500.00        98.9357                 NaN            NaN  0.399491       0.232298       0.132740                 NaN  0.299820                 NaN            NaN            NaN
  1334.36        2500.00        98.9531                 NaN            NaN  0.392626       0.228366       0.130596                 NaN  0.295356                 NaN            NaN            NaN
  1332.98        2500.00        98.9693                 NaN            NaN  0.225224       0.385651       0.128447                 NaN  0.291415                 NaN            NaN            NaN
  1331.60        2500.00        98.9848                 NaN            NaN  0.222034       0.379186       0.126469                 NaN  0.287514                 NaN            NaN            NaN
  1330.22        2500.00        99.0020                 NaN            NaN  0.371640       0.218936       0.124094                 NaN  0.283300                 NaN            NaN            NaN
  1328.83        2500.00        99.0176                 NaN            NaN  0.364861       0.216098       0.121934                 NaN  0.279461                 NaN            NaN            NaN
  1327.45        2500.00        99.0331                 NaN            NaN  0.212867       0.358424       0.120044                 NaN  0.275528                 NaN            NaN            NaN
  1326.07        2500.00        99.0477                 NaN            NaN  0.352288       0.210199       0.117924                 NaN  0.271930                 NaN            NaN            NaN
  1324.69        2500.00        99.0626                 NaN            NaN  0.345901       0.207378       0.115964                 NaN  0.268167                 NaN            NaN            NaN
  1323.31        2500.00        99.0766                 NaN            NaN  0.339733       0.205084       0.113879                 NaN  0.264703                 NaN            NaN            NaN
  1321.93        2500.00        99.0910                 NaN            NaN  0.202223       0.333632       0.111995                 NaN  0.261123                 NaN            NaN            NaN
  1320.54        2500.00        99.1052                 NaN            NaN  0.327745       0.199619       0.110020                 NaN  0.257465                 NaN            NaN            NaN
  1319.16        2500.00        99.1186                 NaN            NaN  0.321704       0.197429       0.108098                 NaN  0.254199                 NaN            NaN            NaN
  1317.78        2500.00        99.1319                 NaN            NaN  0.315944       0.194948       0.106270                 NaN  0.250914                 NaN            NaN            NaN
  1316.40        2500.00        99.1450                 NaN            NaN  0.192606       0.310576       0.104372                 NaN  0.247403                 NaN            NaN            NaN
  1315.02        2500.00        99.1580                 NaN            NaN  0.190436       0.304830       0.102490                 NaN  0.244233                 NaN            NaN            NaN
  1313.64        2500.00        99.1702                 NaN            NaN  0.188149       0.299697       0.100775                 NaN  0.241132                 NaN            NaN            NaN
  1312.25        2500.00        99.1821                 NaN            NaN  0.294257       0.186526       0.988655E-001            NaN  0.238202                 NaN            NaN            NaN
  1310.87        2500.00        99.1947                 NaN            NaN  0.289073       0.184150       0.971565E-001            NaN  0.234912                 NaN            NaN            NaN
  1309.49        2500.00        99.2064                 NaN            NaN  0.283889       0.182436       0.953539E-001            NaN  0.231933                 NaN            NaN            NaN
  1308.11        2500.00        99.2180                 NaN            NaN  0.279021       0.180263       0.937296E-001            NaN  0.228996                 NaN            NaN            NaN
  1306.73        2500.00        99.2294                 NaN            NaN  0.274096       0.178462       0.920116E-001            NaN  0.226073                 NaN            NaN            NaN
  1305.35        2500.00        99.2406                 NaN            NaN  0.269360       0.176375       0.904463E-001            NaN  0.223228                 NaN            NaN            NaN
  1303.96        2500.00        99.2514                 NaN            NaN  0.175049       0.264314       0.887719E-001            NaN  0.220501                 NaN            NaN            NaN
  1302.58        2500.00        99.2622                 NaN            NaN  0.173246       0.259859       0.870845E-001            NaN  0.217596                 NaN            NaN            NaN
  1301.20        2500.00        99.2729                 NaN            NaN  0.255279       0.171468       0.853695E-001            NaN  0.214957                 NaN            NaN            NaN
  1299.82        2500.00        99.2830                 NaN            NaN  0.250867       0.169972       0.838775E-001            NaN  0.212321                 NaN            NaN            NaN
  1298.44        2500.00        99.2926                 NaN            NaN  0.246285       0.168724       0.823656E-001            NaN  0.209983                 NaN            NaN            NaN
  1297.06        2500.00        84.7070                 NaN            NaN   1.97857        1.53526       0.830710                 NaN   2.01893        8.92955                 NaN            NaN
  1295.67        2500.00        67.2187                 NaN            NaN   3.93286        3.27563        1.67150                 NaN   4.19185        19.7094                 NaN            NaN
  1294.29        2500.00        75.0289                 NaN            NaN   2.57528        2.94486        1.24733                 NaN   3.22007        14.9836                 NaN            NaN
  1292.91        2500.00        79.9699                 NaN            NaN   2.32414        2.12398       0.982775                 NaN   2.60287        11.9964                 NaN            NaN
  1291.53        2500.00        83.3071                 NaN            NaN   1.80984        1.91003       0.806807                 NaN   2.18401        9.98223                 NaN            NaN
  1290.15        2500.00        85.6407                 NaN            NaN   1.59223        1.61890       0.685585                 NaN   1.89298        8.56961                 NaN            NaN
  1288.77        2500.00        85.2313                 NaN            NaN   1.50490        1.74603       0.707477                 NaN   1.95595        8.85435                 NaN            NaN
  1287.38        2500.00        91.3651                 NaN            NaN  0.866526        1.12122       0.397538                 NaN   1.15916        5.09047                 NaN            NaN
  1286.00        2500.00        88.3069                 NaN            NaN   1.38993        1.14559       0.564174                 NaN   1.56384        7.02956                 NaN            NaN
  1284.62        2500.00        93.0394                 NaN            NaN  0.968144       0.670914       0.311918                 NaN  0.941416        4.06821                 NaN            NaN
  1283.24        2500.00        89.1531                 NaN            NaN   1.14293        1.29898       0.422952                 NaN   1.44956        6.53249                 NaN            NaN
  1281.86        2500.00        95.6935                 NaN            NaN  0.525289       0.401344       0.309682                 NaN  0.611348        2.45881                 NaN            NaN
  1280.48        2500.00        82.9013                 NaN            NaN   3.34153        1.07517       0.332467       0.159749        2.47138        9.71837                 NaN            NaN
  1279.09        2500.00        99.5599                 NaN            NaN  0.306930E-001  0.165715                 NaN            NaN  0.588894E-001  0.184771                 NaN            NaN
  1277.71        2500.00        99.7546                 NaN            NaN  0.313065E-001            NaN            NaN            NaN  0.305943E-001  0.183539                 NaN            NaN
  1276.33        2500.00        99.0307                 NaN            NaN  0.172776       0.239890E-001            NaN            NaN  0.116751       0.637630       0.181263E-001            NaN
  1274.95        2500.00        88.1695                 NaN            NaN   1.39733        1.22165       0.586446                 NaN   1.63989        6.98521                 NaN            NaN
  1273.57        2500.00        92.5558                 NaN            NaN  0.870847       0.736318       0.368179                 NaN   1.02585        4.44300                 NaN            NaN
  1272.19        2500.00        99.2460                 NaN            NaN  0.794650E-001  0.941216E-001  0.223342E-001            NaN  0.102535       0.455541                 NaN            NaN
  1270.80        2500.00        99.0165                 NaN            NaN  0.164163       0.696217E-001            NaN            NaN  0.136458       0.571275       0.419766E-001            NaN
  1269.42        2500.00        88.9306                 NaN            NaN   1.58750       0.966632       0.232032                 NaN   1.51013        6.58521       0.187837                 NaN
  1268.04        2500.00        94.2386                 NaN            NaN  0.867249       0.463425       0.891565E-001            NaN  0.777393        3.45083       0.113336                 NaN
  1266.66        2500.00        98.9271                 NaN            NaN  0.921332E-001  0.155887       0.169624E-001            NaN  0.146662       0.639170       0.220804E-001            NaN
  1265.28        2500.00        96.8930                 NaN            NaN  0.484170       0.255713       0.476440E-001            NaN  0.448523        1.79486       0.760550E-001            NaN
  1263.90        2500.00        92.7682                 NaN            NaN  0.629597        1.00427       0.115879                 NaN  0.962459        4.38315       0.136404                 NaN
  1262.51        2500.00        94.1433                 NaN            NaN  0.487419       0.869891       0.897885E-001            NaN  0.803653        3.48637       0.119546                 NaN
  1261.13        2500.00        99.8209                 NaN            NaN  0.312848E-001  0.131864E-001  0.203927E-002            NaN  0.267140E-001  0.101165       0.472730E-002            NaN
  1259.75        2500.00        99.9430                 NaN            NaN  0.633267E-002  0.387292E-002            NaN            NaN  0.538151E-002  0.414234E-001            NaN            NaN
  1258.37        2500.00        91.3989                 NaN            NaN   1.29162       0.691996       0.121029                 NaN   1.18157        5.13529       0.179583                 NaN
  1256.99        2500.00        94.6905                 NaN            NaN  0.414042       0.810921       0.732352E-001            NaN  0.727850        3.17416       0.109275                 NaN
  1255.61        2500.00       100.0000                 NaN            NaN  0.380609E-005  0.781137E-005  0.100682E-005            NaN  0.673908E-005  0.287401E-004  0.101915E-005            NaN
