|6.6.6
Archiving\03_Data\DfracLP/QFM_m4.75/K22/K22_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1857.14        500.000        99.6006                 NaN            NaN            NaN  0.387915       0.114983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4448                 NaN            NaN            NaN  0.539100       0.160750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.4524                 NaN            NaN            NaN  0.531781       0.158060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4518                 NaN            NaN            NaN  0.532357       0.158473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4517                 NaN            NaN            NaN  0.532408       0.158439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4557                 NaN            NaN            NaN  0.528599       0.157143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4555                 NaN            NaN            NaN  0.528809       0.157400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4441                 NaN            NaN            NaN  0.539839       0.160254E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4696                 NaN            NaN            NaN  0.515111       0.152881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4593                 NaN            NaN            NaN  0.525121       0.155840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4589                 NaN            NaN            NaN  0.525568       0.155810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4611                 NaN            NaN            NaN  0.523396       0.154751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4527                 NaN            NaN            NaN  0.531471       0.157959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4674                 NaN            NaN            NaN  0.517372       0.152164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4615                 NaN            NaN            NaN  0.523086       0.154061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4609                 NaN            NaN            NaN  0.523683       0.153730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6099                 NaN            NaN            NaN  0.378562       0.115393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3109                 NaN            NaN            NaN  0.669964       0.191517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4629                 NaN            NaN            NaN  0.521872       0.152049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.2763                 NaN            NaN            NaN  0.703209       0.204433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.7274                 NaN            NaN            NaN  0.264901       0.766065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3760                 NaN            NaN            NaN  0.606432       0.175473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4581                 NaN            NaN            NaN  0.526778       0.151513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4591                 NaN            NaN            NaN  0.525821       0.150969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5116                 NaN            NaN            NaN  0.474790       0.136027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        98.4415                 NaN            NaN            NaN   1.51571       0.427924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.8555                 NaN            NaN            NaN  0.140780       0.368582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5599                 NaN            NaN            NaN  0.428006       0.120766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3443                 NaN            NaN            NaN  0.637810       0.178442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4485                 NaN            NaN            NaN  0.536558       0.149495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4491                 NaN            NaN            NaN  0.536073       0.148523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4458                 NaN            NaN            NaN  0.539315       0.148602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4429                 NaN            NaN            NaN  0.542247       0.148997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4429                 NaN            NaN            NaN  0.542319       0.147978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4296                 NaN            NaN            NaN  0.555307       0.150576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4465                 NaN            NaN            NaN  0.538973       0.145510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4344                 NaN            NaN            NaN  0.550810       0.147640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4320                 NaN            NaN            NaN  0.553209       0.147676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4310                 NaN            NaN            NaN  0.554302       0.146698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4267                 NaN            NaN            NaN  0.558560       0.147192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        98.3075                 NaN            NaN            NaN   1.64798       0.445622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.9992                 NaN            NaN            NaN            NaN  0.781983E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.9394                 NaN            NaN            NaN  0.596897E-001  0.892043E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5154                 NaN            NaN            NaN  0.472392       0.121691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3112                 NaN            NaN            NaN  0.671637       0.171655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4111                 NaN            NaN            NaN  0.574299       0.145633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4047                 NaN            NaN            NaN  0.580696       0.146222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4051                 NaN            NaN            NaN  0.580350       0.145329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        97.9164                 NaN            NaN            NaN   2.03169       0.519576E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.9995                 NaN            NaN            NaN            NaN  0.528852E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.6954                 NaN            NaN            NaN  0.299017       0.562381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3865                 NaN            NaN            NaN  0.599001       0.144904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3815                 NaN            NaN            NaN  0.603971       0.145310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3790                 NaN            NaN            NaN  0.606559       0.144753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3959                 NaN            NaN            NaN  0.591715       0.123562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3540                 NaN            NaN            NaN  0.629443       0.165910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3676                 NaN            NaN            NaN  0.617964       0.144658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3412                 NaN            NaN            NaN  0.643791       0.150000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3809                 NaN            NaN            NaN  0.605091       0.139894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3575                 NaN            NaN            NaN  0.628045       0.144191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3538                 NaN            NaN            NaN  0.631774       0.144182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3496                 NaN            NaN            NaN  0.636013       0.144135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3459                 NaN            NaN            NaN  0.639681       0.144150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3413                 NaN            NaN            NaN  0.644246       0.144304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3384                 NaN            NaN            NaN  0.647176       0.144326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3361                 NaN            NaN            NaN  0.649515       0.143767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3308                 NaN            NaN            NaN  0.654760       0.144186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3279                 NaN            NaN            NaN  0.657636       0.144304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3276                 NaN            NaN            NaN  0.658023       0.143379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3228                 NaN            NaN            NaN  0.662875       0.143687E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3184                 NaN            NaN            NaN  0.667164       0.143940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3166                 NaN            NaN            NaN  0.669060       0.143680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3071                 NaN            NaN            NaN  0.678381       0.144990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3166                 NaN            NaN            NaN  0.669176       0.142403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3088                 NaN            NaN            NaN  0.676814       0.143595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3084                 NaN            NaN            NaN  0.677326       0.142925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3018                 NaN            NaN            NaN  0.683823       0.144004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3025                 NaN            NaN            NaN  0.683168       0.143399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3023                 NaN            NaN            NaN  0.683363       0.142926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2970                 NaN            NaN            NaN  0.688678       0.143584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2982                 NaN            NaN            NaN  0.687551       0.142935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2959                 NaN            NaN            NaN  0.689793       0.143167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2628                 NaN            NaN            NaN  0.722161       0.149998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3244                 NaN            NaN            NaN  0.661962       0.136386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2892                 NaN            NaN            NaN  0.696422       0.143770E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.7148                 NaN            NaN            NaN   1.25905       0.262003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.8770                 NaN            NaN            NaN  0.120965       0.208303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.2913                 NaN            NaN            NaN  0.694396       0.142867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3221                 NaN            NaN            NaN  0.663748       0.141967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2624                 NaN            NaN            NaN  0.723315       0.142520E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.8585                 NaN            NaN            NaN  0.487116       0.421437E-002  0.650126                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.0256                 NaN            NaN            NaN  0.805119E-001            NaN   1.89390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.0679                 NaN            NaN            NaN  0.782197E-001            NaN   1.85388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        96.9594                 NaN            NaN            NaN  0.112926                 NaN   2.92770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2894                 NaN            NaN            NaN  0.287867E-001            NaN  0.681801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.1728                 NaN            NaN            NaN  0.651747E-001            NaN   1.76202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2109                 NaN            NaN            NaN  0.633886E-001            NaN   1.72568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2373                 NaN            NaN            NaN  0.576814E-001            NaN   1.70506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2785                 NaN            NaN            NaN  0.587435E-001            NaN   1.66276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3017                 NaN            NaN            NaN  0.540555E-001            NaN   1.64424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3402                 NaN            NaN            NaN  0.481033E-001            NaN   1.61169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3677                 NaN            NaN            NaN  0.485697E-001            NaN   1.58371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.2147                 NaN            NaN            NaN  0.492833E-001            NaN   1.73603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.6002                 NaN            NaN            NaN  0.374109E-001            NaN   1.36243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4508                 NaN            NaN            NaN  0.399481E-001            NaN   1.50925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4767                 NaN            NaN            NaN  0.371044E-001            NaN   1.48619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.5017                 NaN            NaN            NaN  0.364222E-001            NaN   1.46189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4578                 NaN            NaN            NaN  0.130549E-001            NaN  0.529134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        97.6205                 NaN            NaN            NaN  0.509313E-001            NaN   2.32855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5744                 NaN            NaN            NaN  0.263632E-001            NaN   1.39919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5967                 NaN            NaN            NaN  0.249388E-001            NaN   1.37832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6182                 NaN            NaN            NaN  0.237914E-001            NaN   1.35798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6402                 NaN            NaN            NaN  0.188229E-001            NaN   1.34101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6576                 NaN            NaN            NaN  0.161233E-001            NaN   1.32632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6826                 NaN            NaN            NaN  0.282576E-001            NaN   1.28916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7008                 NaN            NaN            NaN  0.259237E-001            NaN   1.27324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7179                 NaN            NaN            NaN            NaN            NaN   1.28206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7336                 NaN            NaN            NaN  0.235656E-001            NaN   1.24284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
