|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.5/K22/K22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1545.43        2500.00                 NaN   99.4064       0.574807       0.187581E-001            NaN            NaN            NaN            NaN            NaN
  1543.87        2500.00                 NaN   99.4111       0.525868       0.630128E-001            NaN            NaN            NaN            NaN            NaN
  1542.31        2500.00                 NaN   99.4155       0.545425       0.390917E-001            NaN            NaN            NaN            NaN            NaN
  1540.75        2500.00                 NaN   99.2262       0.722733       0.511118E-001            NaN            NaN            NaN            NaN            NaN
  1539.20        2500.00                 NaN   99.6152       0.363500       0.212824E-001            NaN            NaN            NaN            NaN            NaN
  1537.64        2500.00                 NaN   99.4260       0.537836       0.361294E-001            NaN            NaN            NaN            NaN            NaN
  1536.08        2500.00                 NaN   99.4307       0.534311       0.349872E-001            NaN            NaN            NaN            NaN            NaN
  1534.52        2500.00                 NaN   99.4343       0.531261       0.344113E-001            NaN            NaN            NaN            NaN            NaN
  1532.96        2500.00                 NaN   99.4378       0.528643       0.335951E-001            NaN            NaN            NaN            NaN            NaN
  1531.40        2500.00                 NaN   99.4427       0.523946       0.333312E-001            NaN            NaN            NaN            NaN            NaN
  1529.85        2500.00                 NaN   99.4454       0.522820       0.317993E-001            NaN            NaN            NaN            NaN            NaN
  1528.29        2500.00                 NaN   99.4476       0.521988       0.303960E-001            NaN            NaN            NaN            NaN            NaN
  1526.73        2500.00                 NaN   99.6429       0.336944       0.201149E-001            NaN            NaN            NaN            NaN            NaN
  1525.17        2500.00                 NaN   99.2602       0.703943       0.358631E-001            NaN            NaN            NaN            NaN            NaN
  1523.61        2500.00                 NaN   99.4587       0.512902       0.284474E-001            NaN            NaN            NaN            NaN            NaN
  1522.05        2500.00                 NaN   99.4332       0.538980       0.278378E-001            NaN            NaN            NaN            NaN            NaN
  1520.50        2500.00                 NaN   99.4921       0.482605       0.253129E-001            NaN            NaN            NaN            NaN            NaN
  1518.94        2500.00                 NaN   99.4672       0.507686       0.251235E-001            NaN            NaN            NaN            NaN            NaN
  1517.38        2500.00                 NaN   99.4714       0.503466       0.251406E-001            NaN            NaN            NaN            NaN            NaN
  1515.82        2500.00                 NaN   99.4730       0.503294       0.237102E-001            NaN            NaN            NaN            NaN            NaN
  1514.26        2500.00                 NaN   99.5512       0.428976       0.198718E-001            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00                 NaN   99.4025       0.573024       0.245174E-001            NaN            NaN            NaN            NaN            NaN
  1511.15        2500.00                 NaN   99.4808       0.498344       0.208626E-001            NaN            NaN            NaN            NaN            NaN
  1509.59        2500.00                 NaN   99.4803       0.500788       0.189103E-001            NaN            NaN            NaN            NaN            NaN
  1508.03        2500.00                 NaN   99.0771       0.348801       0.551204E-001  0.519026                 NaN            NaN            NaN            NaN
  1506.47        2500.00                 NaN   98.9004       0.278552       0.707009E-001  0.750333                 NaN            NaN            NaN            NaN
  1504.91        2500.00                 NaN   98.9104       0.278167       0.673189E-001  0.744114                 NaN            NaN            NaN            NaN
  1503.35        2500.00                 NaN   98.9249       0.272192       0.673280E-001  0.735585                 NaN            NaN            NaN            NaN
  1501.80        2500.00                 NaN   98.9204       0.176684       0.580829E-001  0.708466       0.136389                 NaN            NaN            NaN
  1500.24        2500.00                 NaN   98.9038       0.250136E-001  0.427827E-001  0.360765       0.667675                 NaN            NaN            NaN
  1498.68        2500.00                 NaN   98.9136       0.199351E-001  0.410589E-001  0.660683       0.364699                 NaN            NaN            NaN
  1497.12        2500.00                 NaN   98.9239       0.162384E-001  0.396353E-001  0.366401       0.653828                 NaN            NaN            NaN
  1495.56        2500.00                 NaN   98.9344       0.168748E-001  0.382223E-001  0.648047       0.362456                 NaN            NaN            NaN
  1494.00        2500.00                 NaN   98.9464       0.722691E-002  0.367797E-001  0.638705       0.370853                 NaN            NaN            NaN
  1492.45        2500.00                 NaN   98.9522       0.436383E-002  0.356429E-001  0.372906       0.634914                 NaN            NaN            NaN
  1490.89        2500.00                 NaN   98.9680       0.333889E-002  0.339028E-001  0.370147       0.624661                 NaN            NaN            NaN
  1489.33        2500.00                 NaN   98.9736                 NaN  0.328125E-001  0.372389       0.621197                 NaN            NaN            NaN
  1487.77        2500.00                 NaN   98.9766                 NaN  0.309093E-001  0.372284       0.620231                 NaN            NaN            NaN
  1486.21        2500.00                 NaN   98.9987                 NaN  0.314039E-001  0.606611       0.363273                 NaN            NaN            NaN
  1484.65        2500.00                 NaN   99.0024       0.554178E-002  0.283696E-001  0.360113       0.603610                 NaN            NaN            NaN
  1483.09        2500.00                 NaN   99.0123       0.485642E-001  0.257037E-001  0.601309       0.312081                 NaN            NaN            NaN
  1481.54        2500.00                 NaN   99.0187                 NaN  0.261551E-001  0.593174       0.361985                 NaN            NaN            NaN
  1479.98        2500.00                 NaN   99.0260                 NaN  0.251458E-001  0.358991       0.589882                 NaN            NaN            NaN
  1478.42        2500.00                 NaN   99.0378                 NaN  0.235037E-001  0.357314       0.581363                 NaN            NaN            NaN
  1476.86        2500.00                 NaN   99.0428                 NaN  0.227112E-001  0.355298       0.579150                 NaN            NaN            NaN
  1475.30        2500.00                 NaN   99.0523                 NaN  0.212523E-001  0.353626       0.572835                 NaN            NaN            NaN
  1473.74        2500.00                 NaN   99.0600       0.326404E-001  0.187028E-001  0.570052       0.318626                 NaN            NaN            NaN
  1472.19        2500.00                 NaN   99.0691       0.340478E-001  0.176709E-001  0.565577       0.313601                 NaN            NaN            NaN
  1470.63        2500.00                 NaN   99.0751                 NaN  0.178448E-001  0.347852       0.559194                 NaN            NaN            NaN
  1469.07        2500.00                 NaN   99.0811                 NaN  0.166666E-001  0.346798       0.555432                 NaN            NaN            NaN
  1467.51        2500.00                 NaN   99.0867                 NaN  0.158653E-001  0.552457       0.344940                 NaN            NaN            NaN
  1465.95        2500.00                 NaN   99.0995                 NaN  0.145873E-001  0.341442       0.544453                 NaN            NaN            NaN
  1464.39        2500.00                 NaN   99.1031                 NaN  0.137039E-001  0.542360       0.340830                 NaN            NaN            NaN
  1462.84        2500.00                 NaN   99.1105                 NaN  0.365218E-001  0.306749       0.546251                 NaN            NaN            NaN
  1461.28        2500.00                 NaN   99.1185                 NaN  0.940190E-006  0.529605       0.351885                 NaN            NaN            NaN
  1459.72        2500.00                 NaN   99.1200                 NaN  0.198261E-002  0.348524       0.529524                 NaN            NaN            NaN
  1458.16        2500.00                 NaN   99.1282                 NaN  0.567141E-002  0.526590       0.339529                 NaN            NaN            NaN
  1456.60        2500.00                 NaN   99.1349                 NaN  0.881660E-002  0.524027       0.332295                 NaN            NaN            NaN
  1455.04        2500.00                 NaN   99.1408                 NaN  0.793756E-002  0.520827       0.330458                 NaN            NaN            NaN
  1453.49        2500.00                 NaN   99.1466                 NaN  0.706375E-002  0.517473       0.328870                 NaN            NaN            NaN
  1451.93        2500.00                 NaN   99.1713                 NaN  0.587613E-002  0.502801       0.320052                 NaN            NaN            NaN
  1450.37        2500.00                 NaN   99.1390                 NaN  0.526685E-002  0.333108       0.522601                 NaN            NaN            NaN
  1448.81        2500.00                 NaN   99.1631                 NaN  0.435071E-002  0.324277       0.508278                 NaN            NaN            NaN
  1447.25        2500.00                 NaN   99.1683                 NaN  0.350626E-002  0.505681       0.322506                 NaN            NaN            NaN
  1445.69        2500.00                 NaN   99.1844                 NaN  0.269589E-002  0.316815       0.496111                 NaN            NaN            NaN
  1444.14        2500.00                 NaN   98.6296                 NaN  0.825248E-001  0.442451       0.559529       0.285941                 NaN            NaN
  1442.58        2500.00                 NaN   97.8322                 NaN  0.207983       0.624861       0.609555       0.725397                 NaN            NaN
  1441.02        2500.00                 NaN   97.8726                 NaN  0.207298       0.614128       0.592931       0.713052                 NaN            NaN
  1439.46        2500.00                 NaN   97.9254                 NaN  0.204034       0.576071       0.599769       0.694685                 NaN            NaN
  1437.90        2500.00                 NaN   97.9638                 NaN  0.203076       0.589886       0.560579       0.682634                 NaN            NaN
  1436.34        2500.00                 NaN   98.0031                 NaN  0.202269       0.544063       0.580746       0.669825                 NaN            NaN
  1434.79        2500.00                 NaN   98.0444                 NaN  0.200297       0.568559       0.530416       0.656316                 NaN            NaN
  1433.23        2500.00                 NaN   98.0828                 NaN  0.198949       0.516114       0.557916       0.644246                 NaN            NaN
  1431.67        2500.00                 NaN   98.1110                 NaN  0.199149       0.505997       0.548181       0.635701                 NaN            NaN
  1430.11        2500.00                 NaN   98.1663                 NaN  0.194217       0.487567       0.535822       0.616115                 NaN            NaN
  1428.55        2500.00                 NaN   98.1891                 NaN  0.195292       0.476311       0.529498       0.609772                 NaN            NaN
  1426.99        2500.00                 NaN   98.1852                 NaN  0.200553       0.463148       0.536268       0.614797                 NaN            NaN
  1425.44        2500.00                 NaN   98.2975                 NaN  0.185306       0.497733       0.447904       0.571561                 NaN            NaN
  1423.88        2500.00                 NaN   98.2874                 NaN  0.191590       0.502737       0.440644       0.577654                 NaN            NaN
  1422.32        2500.00                 NaN   98.3192                 NaN  0.190182       0.494333       0.429172       0.567106                 NaN            NaN
  1420.76        2500.00                 NaN   98.3493                 NaN  0.189246       0.485657       0.418396       0.557434                 NaN            NaN
  1419.20        2500.00                 NaN   98.3785                 NaN  0.188167       0.478382       0.406840       0.548110                 NaN            NaN
  1417.64        2500.00                 NaN   98.4079                 NaN  0.186410       0.470169       0.397532       0.538026                 NaN            NaN
  1416.09        2500.00                 NaN   98.4331                 NaN  0.186196       0.463432       0.387502       0.529724                 NaN            NaN
  1414.53        2500.00                 NaN   98.4593                 NaN  0.185229       0.456174       0.378000       0.521295                 NaN            NaN
  1412.97        2500.00                 NaN   98.4826                 NaN  0.185422       0.450346       0.367673       0.513937                 NaN            NaN
  1411.41        2500.00                 NaN   98.5138                 NaN  0.181564       0.440975       0.360977       0.502652                 NaN            NaN
  1409.85        2500.00                 NaN   98.5338                 NaN  0.182445       0.350504       0.436483       0.496742                 NaN            NaN
  1408.29        2500.00                 NaN   98.5577                 NaN  0.181509       0.429988       0.342047       0.488757                 NaN            NaN
  1406.73        2500.00                 NaN   98.5809                 NaN  0.180649       0.333455       0.423719       0.481261                 NaN            NaN
  1405.18        2500.00                 NaN   98.6042                 NaN  0.179623       0.325378       0.417128       0.473653                 NaN            NaN
  1403.62        2500.00                 NaN   98.6241                 NaN  0.179014       0.412328       0.317791       0.466762                 NaN            NaN
  1402.06        2500.00                 NaN   98.6464                 NaN  0.178140       0.310167       0.405874       0.459459                 NaN            NaN
  1400.50        2500.00                 NaN   98.6669                 NaN  0.177364       0.400311       0.302682       0.452752                 NaN            NaN
  1398.94        2500.00                 NaN   98.6860                 NaN  0.176743       0.395315       0.295579       0.446361                 NaN            NaN
  1397.38        2500.00                 NaN   98.7060                 NaN  0.175720       0.288612       0.389959       0.439738                 NaN            NaN
  1395.83        2500.00                 NaN   98.7260                 NaN  0.174998       0.384682       0.281241       0.433120                 NaN            NaN
  1394.27        2500.00                 NaN   98.7448                 NaN  0.174253       0.274760       0.379482       0.426675                 NaN            NaN
  1392.71        2500.00                 NaN   98.7630                 NaN  0.173726       0.374471       0.267913       0.420865                 NaN            NaN
  1391.15        2500.00                 NaN   98.7813                 NaN  0.172331       0.262652       0.369260       0.414467                 NaN            NaN
  1389.59        2500.00                 NaN   98.7976                 NaN  0.172075       0.365348       0.255849       0.409128                 NaN            NaN
  1388.03        2500.00                 NaN   99.0913                 NaN  0.133978       0.269924       0.192130       0.312678                 NaN            NaN
  1386.48        2500.00                 NaN   98.5549                 NaN  0.207854       0.445700       0.302927       0.488630                 NaN            NaN
  1384.92        2500.00                 NaN   98.8484                 NaN  0.169596       0.351140       0.238874       0.392024                 NaN            NaN
  1383.36        2500.00                 NaN   98.8627                 NaN  0.169170       0.347589       0.233197       0.387314                 NaN            NaN
  1381.80        2500.00                 NaN   98.8794                 NaN  0.168114       0.228035       0.342910       0.381499                 NaN            NaN
  1380.24        2500.00                 NaN   98.8933                 NaN  0.167743       0.339370       0.222741       0.376883                 NaN            NaN
  1378.68        2500.00                 NaN   98.9092                 NaN  0.166473       0.218262       0.334705       0.371398                 NaN            NaN
  1377.13        2500.00                 NaN   98.9230                 NaN  0.165836       0.213118       0.331281       0.366753                 NaN            NaN
  1375.57        2500.00                 NaN   98.9371                 NaN  0.165184       0.208587       0.327174       0.361985                 NaN            NaN
  1374.01        2500.00                 NaN   98.9512                 NaN  0.164401       0.203752       0.323474       0.357172                 NaN            NaN
  1372.45        2500.00                 NaN   98.9646                 NaN  0.163706       0.320072       0.199061       0.352607                 NaN            NaN
  1370.89        2500.00                 NaN   98.9778                 NaN  0.162559       0.195518       0.316152       0.348007                 NaN            NaN
  1369.33        2500.00                 NaN   98.9864                 NaN  0.162923       0.314572       0.191133       0.345003                 NaN            NaN
  1367.78        2500.00                 NaN   99.0050                 NaN  0.160119       0.187923       0.308549       0.338397                 NaN            NaN
  1366.22        2500.00                 NaN   99.0133                 NaN  0.161196       0.307031       0.182502       0.335953                 NaN            NaN
  1364.66        2500.00                 NaN   99.0288                 NaN  0.158414       0.301873       0.180829       0.330053                 NaN            NaN
  1363.10        2500.00                 NaN   99.0395                 NaN  0.158358       0.299402       0.176053       0.326732                 NaN            NaN
  1361.54        2500.00                 NaN   99.0511                 NaN  0.157526       0.172075       0.296624       0.322686                 NaN            NaN
  1359.98        2500.00                 NaN   99.0631                 NaN  0.156511       0.292861       0.169076       0.318463                 NaN            NaN
  1358.43        2500.00                 NaN   99.0737                 NaN  0.155577       0.289958       0.166085       0.314701                 NaN            NaN
  1356.87        2500.00                 NaN   99.0830                 NaN  0.154943       0.162924       0.287756       0.311400                 NaN            NaN
  1355.31        2500.00                 NaN   99.0959                 NaN  0.153224       0.283621       0.160538       0.306719                 NaN            NaN
  1353.75        2500.00                 NaN   99.1059                 NaN  0.152562       0.281065       0.157118       0.303351                 NaN            NaN
  1352.19        2500.00                 NaN   99.1162                 NaN  0.151538       0.278173       0.154367       0.299750                 NaN            NaN
  1350.63        2500.00                 NaN   99.1258                 NaN  0.150295       0.275620       0.152089       0.296244                 NaN            NaN
  1349.08        2500.00                 NaN   99.1361                 NaN  0.149324       0.272446       0.149542       0.292635                 NaN            NaN
  1347.52        2500.00                 NaN   99.1452                 NaN  0.148212       0.270015       0.147259       0.289293                 NaN            NaN
  1345.96        2500.00                 NaN   99.1556                 NaN  0.146994       0.266934       0.144835       0.285639                 NaN            NaN
  1344.40        2500.00                 NaN   99.1647                 NaN  0.145937       0.142575       0.264357       0.282447                 NaN            NaN
  1342.84        2500.00                 NaN   99.1733                 NaN  0.144406       0.261771       0.141407       0.279087                 NaN            NaN
  1341.28        2500.00                 NaN   99.1823                 NaN  0.143344       0.259178       0.139256       0.275921                 NaN            NaN
  1339.72        2500.00                 NaN   99.1908                 NaN  0.141882       0.137815       0.256818       0.272726                 NaN            NaN
  1338.17        2500.00                 NaN   99.2000                 NaN  0.140708       0.253988       0.135861       0.269484                 NaN            NaN
  1336.61        2500.00                 NaN   99.2082                 NaN  0.139465       0.134480       0.251365       0.266483                 NaN            NaN
  1335.05        2500.00                 NaN   99.2161                 NaN  0.137887       0.249183       0.133421       0.263442                 NaN            NaN
  1333.49        2500.00                 NaN   99.2236                 NaN  0.136850       0.247113       0.131771       0.260648                 NaN            NaN
  1331.93        2500.00                 NaN   99.2319                 NaN  0.134747       0.131758       0.244167       0.257416                 NaN            NaN
  1330.37        2500.00                 NaN   99.2397                 NaN  0.133629       0.242023       0.130087       0.254604                 NaN            NaN
  1328.82        2500.00                 NaN   99.2476                 NaN  0.131976       0.129365       0.239426       0.251607                 NaN            NaN
  1327.26        2500.00                 NaN   99.2551                 NaN  0.130857       0.237330       0.127788       0.248905                 NaN            NaN
  1325.70        2500.00                 NaN   99.2622                 NaN  0.128820       0.234590       0.128289       0.246091                 NaN            NaN
  1324.14        2500.00                 NaN   99.2700                 NaN  0.127558       0.126767       0.232331       0.243333                 NaN            NaN
  1322.58        2500.00                 NaN   99.2763                 NaN  0.125701       0.127185       0.230186       0.240667                 NaN            NaN
  1321.02        2500.00                 NaN   99.2834                 NaN  0.124257       0.126436       0.227797       0.238092                 NaN            NaN
  1319.47        2500.00                 NaN   99.2897                 NaN  0.122250       0.225317       0.127217       0.235496                 NaN            NaN
  1317.91        2500.00                 NaN   99.2967                 NaN  0.120678       0.126672       0.223075       0.232908                 NaN            NaN
  1316.35        2500.00                 NaN   99.3030                 NaN  0.119126       0.221213       0.126197       0.230422                 NaN            NaN
  1314.79        2500.00                 NaN   99.3093                 NaN  0.117182       0.218664       0.126909       0.227951                 NaN            NaN
  1313.23        2500.00                 NaN   99.3154                 NaN  0.115224       0.127350       0.216578       0.225495                 NaN            NaN
  1311.67        2500.00                 NaN   99.3215                 NaN  0.113519       0.214160       0.127646       0.223146                 NaN            NaN
  1310.12        2500.00                 NaN   99.3276                 NaN  0.111692       0.211943       0.127994       0.220792                 NaN            NaN
  1308.56        2500.00                 NaN   99.3336                 NaN  0.109747       0.209900       0.128424       0.218353                 NaN            NaN
  1307.00        2500.00                 NaN   99.3385                 NaN  0.107781       0.207585       0.129799       0.216290                 NaN            NaN
  1305.44        2500.00                 NaN   99.3445                 NaN  0.105684       0.205177       0.130709       0.213922                 NaN            NaN
  1303.88        2500.00                 NaN   99.3504                 NaN  0.104441       0.203165       0.130167       0.211875                 NaN            NaN
  1302.32        2500.00                 NaN   99.3544                 NaN  0.101835       0.133091       0.200719       0.209922                 NaN            NaN
  1300.77        2500.00                 NaN   99.3610                 NaN  0.995258E-001  0.198549       0.133736       0.207165                 NaN            NaN
  1299.21        2500.00                 NaN   99.3653                 NaN  0.977909E-001  0.196497       0.134981       0.205462                 NaN            NaN
  1297.65        2500.00                 NaN   99.3709                 NaN  0.958944E-001  0.194249       0.135648       0.203346                 NaN            NaN
  1296.09        2500.00                 NaN   99.3751                 NaN  0.927685E-001  0.191802       0.139065       0.201284                 NaN            NaN
  1294.53        2500.00                 NaN   99.3805                 NaN  0.926329E-001  0.136935       0.190367       0.199524                 NaN            NaN
  1292.97        2500.00                 NaN   99.3852                 NaN  0.898582E-001  0.187800       0.139612       0.197545                 NaN            NaN
  1291.42        2500.00                 NaN   99.3894                 NaN  0.872881E-001  0.185523       0.142232       0.195537                 NaN            NaN
  1289.86        2500.00                 NaN   99.3940                 NaN  0.853414E-001  0.183197       0.143719       0.193751                 NaN            NaN
  1288.30        2500.00                 NaN   99.3987                 NaN  0.834359E-001  0.145129       0.180826       0.191897                 NaN            NaN
  1286.74        2500.00                 NaN   99.4029                 NaN  0.812568E-001  0.146952       0.178675       0.190233                 NaN            NaN
  1285.18        2500.00                 NaN   99.4071                 NaN  0.789772E-001  0.149137       0.176498       0.188309                 NaN            NaN
  1283.62        2500.00                 NaN   99.4113                 NaN  0.769889E-001  0.174443       0.150627       0.186660                 NaN            NaN
  1282.07        2500.00                 NaN   93.0184                 NaN  0.660395       0.831738       0.113868       0.940371        4.43519                 NaN
  1280.51        2500.00                 NaN   90.8607                 NaN  0.857935       0.852010E-001   1.06461        1.19307        5.93851                 NaN
  1278.95        2500.00        3.14886        35.9440                 NaN  0.753753E-005   6.98684        5.18032        7.31314        41.4268                 NaN
  1277.39        2500.00        4.94474                 NaN            NaN  0.226440E-005   10.5750        7.92320        11.2689        65.2882                 NaN
  1275.83        2500.00        4.94384                 NaN            NaN  0.234210E-005   7.94792        10.5472        11.2838        65.2773                 NaN
  1274.27        2500.00        4.94321                 NaN            NaN  0.242124E-005   10.5239        7.96787        11.2979        65.2671                 NaN
  1272.71        2500.00        4.94211                 NaN            NaN  0.235914E-005   10.4917        7.99657        11.3135        65.2561                 NaN
  1271.16        2500.00        4.94113                 NaN            NaN  0.260783E-005   10.4706        8.01562        11.3278        65.2448                 NaN
  1269.60        2500.00        4.94017                 NaN            NaN  0.263121E-005   10.4429        8.03999        11.3430        65.2339                 NaN
  1268.04        2500.00        4.93903                 NaN            NaN  0.271530E-005   10.4160        8.06391        11.3585        65.2226                 NaN
  1266.48        2500.00        4.93813                 NaN            NaN  0.277315E-005   8.08610        10.3913        11.3728        65.2116                 NaN
  1264.92        2500.00        4.93705                 NaN            NaN  0.293169E-005   8.11099        10.3648        11.3871        65.2001                 NaN
  1263.36        2500.00        4.91988                 NaN            NaN  0.370647E-001   8.28777        10.0255        11.8055        64.9243                 NaN
  1261.81        2500.00        4.93533                 NaN            NaN  0.312677E-005   10.3198        8.14988        11.4162        65.1787                 NaN
  1260.25        2500.00        4.93380                 NaN            NaN  0.333731E-005   10.2928        8.17492        11.4324        65.1661                 NaN
  1258.69        2500.00        4.93258                 NaN            NaN  0.327942E-005   10.2676        8.19756        11.4477        65.1545                 NaN
  1257.13        2500.00        4.93151                 NaN            NaN  0.394516E-005   10.2496        8.21408        11.4624        65.1424                 NaN
  1255.57        2500.00        4.93026                 NaN            NaN  0.353197E-005   10.2201        8.24090        11.4775        65.1312                 NaN
  1254.01        2500.00        4.92929                 NaN            NaN  0.373776E-005   8.26040        10.1987        11.4916        65.1200                 NaN
  1252.46        2500.00        4.92798                 NaN            NaN  0.391037E-005   10.1745        8.28241        11.5069        65.1082                 NaN
  1250.90        2500.00        4.92661                 NaN            NaN  0.406817E-005   10.1519        8.30381        11.5220        65.0957                 NaN
  1249.34        2500.00        4.92566                 NaN            NaN  0.427148E-005   10.1314        8.32242        11.5362        65.0843                 NaN
  1247.78        2500.00        4.92386                 NaN            NaN  0.430946E-005   10.1042        8.34854        11.5522        65.0711                 NaN
  1246.22        2500.00        4.92321                 NaN            NaN  0.451049E-005   8.36517        10.0845        11.5659        65.0613                 NaN
  1244.66        2500.00        4.92112                 NaN            NaN            NaN   10.0609        8.38924        11.5825        65.0463                 NaN
  1243.11        2500.00        4.91986                 NaN            NaN            NaN   10.0394        8.40945        11.5970        65.0343                 NaN
  1241.55        2500.00        4.91839                 NaN            NaN            NaN   8.43017        10.0175        11.6123        65.0216                 NaN
  1239.99        2500.00        4.91701                 NaN            NaN            NaN   8.45173        9.99490        11.6271        65.0092                 NaN
