|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.75/T13/T13_3.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1491.20        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        500.000        99.5885                 NaN            NaN  0.180702                 NaN            NaN  0.230790                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        500.000        99.4193                 NaN            NaN  0.432532E-001  0.230177E-005            NaN  0.537482                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        500.000        99.4181                 NaN            NaN            NaN            NaN            NaN  0.581915                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        500.000        99.4171                 NaN            NaN            NaN            NaN            NaN  0.582889                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        500.000        99.5421                 NaN            NaN            NaN            NaN            NaN  0.457906                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        500.000        99.3033                 NaN            NaN  0.322526E-001            NaN            NaN  0.664411                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        500.000        99.4221                 NaN            NaN            NaN            NaN            NaN  0.577853                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        500.000        99.4227                 NaN            NaN            NaN            NaN            NaN  0.577296                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        500.000        99.4218                 NaN            NaN            NaN            NaN            NaN  0.578192                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        500.000        99.4213                 NaN            NaN            NaN            NaN            NaN  0.578704                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        500.000        99.4203                 NaN            NaN            NaN            NaN            NaN  0.579677                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.4202                 NaN            NaN            NaN            NaN            NaN  0.579776                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        500.000        99.4179                 NaN            NaN            NaN            NaN            NaN  0.582076                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        500.000        99.4151                 NaN            NaN            NaN            NaN            NaN  0.584947                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.4127                 NaN            NaN            NaN            NaN            NaN  0.587275                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        500.000        99.4105                 NaN            NaN            NaN            NaN            NaN  0.589459                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        500.000        99.4031                 NaN            NaN            NaN            NaN            NaN  0.596931                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        500.000        99.3978                 NaN            NaN            NaN            NaN            NaN  0.602185                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        500.000        99.3311                 NaN            NaN            NaN            NaN            NaN  0.560219       0.108663                 NaN            NaN            NaN            NaN            NaN
  1461.16        500.000        99.0456                 NaN            NaN            NaN            NaN            NaN  0.635080       0.319330                 NaN            NaN            NaN            NaN            NaN
  1459.66        500.000        99.0563                 NaN            NaN            NaN            NaN            NaN  0.629025       0.314635                 NaN            NaN            NaN            NaN            NaN
  1458.16        500.000        99.0645                 NaN            NaN            NaN            NaN            NaN  0.623314       0.312140                 NaN            NaN            NaN            NaN            NaN
  1456.66        500.000        99.0758                 NaN            NaN            NaN            NaN            NaN  0.308635       0.615545                 NaN            NaN            NaN            NaN            NaN
  1455.15        500.000        99.0857                 NaN            NaN            NaN            NaN            NaN  0.304059       0.610196                 NaN            NaN            NaN            NaN            NaN
  1453.65        500.000        99.0938                 NaN            NaN            NaN            NaN            NaN  0.301638       0.604578                 NaN            NaN            NaN            NaN            NaN
  1452.15        500.000        99.1040                 NaN            NaN            NaN            NaN            NaN  0.297529       0.598464                 NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.1123                 NaN            NaN            NaN            NaN            NaN  0.593741       0.293977                 NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.1207                 NaN            NaN            NaN            NaN            NaN  0.588379       0.290906                 NaN            NaN            NaN            NaN            NaN
  1447.64        500.000        99.1286                 NaN            NaN            NaN            NaN            NaN  0.584325       0.287062                 NaN            NaN            NaN            NaN            NaN
  1446.14        500.000        99.1387                 NaN            NaN            NaN            NaN            NaN  0.576993       0.284278                 NaN            NaN            NaN            NaN            NaN
  1444.64        500.000        99.1466                 NaN            NaN            NaN            NaN            NaN  0.572171       0.281196                 NaN            NaN            NaN            NaN            NaN
  1443.14        500.000        99.1526                 NaN            NaN            NaN            NaN            NaN  0.278275       0.569104                 NaN            NaN            NaN            NaN            NaN
  1441.63        500.000        99.1633                 NaN            NaN            NaN            NaN            NaN  0.561593       0.275108                 NaN            NaN            NaN            NaN            NaN
  1440.13        500.000        99.1694                 NaN            NaN            NaN            NaN            NaN  0.558169       0.272473                 NaN            NaN            NaN            NaN            NaN
  1438.63        500.000        99.1776                 NaN            NaN            NaN            NaN            NaN  0.553361       0.269050                 NaN            NaN            NaN            NaN            NaN
  1437.13        500.000        99.1847                 NaN            NaN            NaN            NaN            NaN  0.266250       0.549017                 NaN            NaN            NaN            NaN            NaN
  1435.63        500.000        99.1100                 NaN            NaN            NaN            NaN            NaN  0.556068       0.296927                 NaN  0.370322E-001            NaN            NaN            NaN
  1434.12        500.000        97.3598                 NaN            NaN            NaN            NaN            NaN  0.781293        1.01719                 NaN  0.841722                 NaN            NaN            NaN
  1432.62        500.000        97.2569                 NaN            NaN            NaN            NaN            NaN   1.05831       0.788679                 NaN  0.896145                 NaN            NaN            NaN
  1431.12        500.000        97.3451                 NaN            NaN            NaN            NaN            NaN  0.763234        1.02361                 NaN  0.868076                 NaN            NaN            NaN
  1429.62        500.000        97.3984                 NaN            NaN            NaN            NaN            NaN   1.00156       0.749019                 NaN  0.851063                 NaN            NaN            NaN
  1428.11        500.000        97.4617                 NaN            NaN            NaN            NaN            NaN  0.731254       0.975870                 NaN  0.831155                 NaN            NaN            NaN
  1426.61        500.000        97.5192                 NaN            NaN            NaN            NaN            NaN  0.714731       0.952997                 NaN  0.813094                 NaN            NaN            NaN
  1425.11        500.000        97.5795                 NaN            NaN            NaN            NaN            NaN  0.698668       0.928603                 NaN  0.793233                 NaN            NaN            NaN
  1423.61        500.000        97.6309                 NaN            NaN            NaN            NaN            NaN  0.683616       0.908778                 NaN  0.776664                 NaN            NaN            NaN
  1422.11        500.000        97.6812                 NaN            NaN            NaN            NaN            NaN  0.669591       0.888511                 NaN  0.760673                 NaN            NaN            NaN
  1420.60        500.000        97.7327                 NaN            NaN            NaN            NaN            NaN  0.655410       0.868033                 NaN  0.743880                 NaN            NaN            NaN
  1419.10        500.000        97.7794                 NaN            NaN            NaN            NaN            NaN  0.641952       0.849537                 NaN  0.729148                 NaN            NaN            NaN
  1417.60        500.000        97.8231                 NaN            NaN            NaN            NaN            NaN  0.630821       0.831510                 NaN  0.714557                 NaN            NaN            NaN
  1416.10        500.000        97.8736                 NaN            NaN            NaN            NaN            NaN  0.812169       0.615905                 NaN  0.698285                 NaN            NaN            NaN
  1414.59        500.000        97.9103                 NaN            NaN            NaN            NaN            NaN  0.605586       0.797526                 NaN  0.686597                 NaN            NaN            NaN
  1413.09        500.000        97.9593                 NaN            NaN            NaN            NaN            NaN  0.779066       0.591114                 NaN  0.670479                 NaN            NaN            NaN
  1411.59        500.000        97.9962                 NaN            NaN            NaN            NaN            NaN  0.581211       0.764148                 NaN  0.658420                 NaN            NaN            NaN
  1410.09        500.000        98.0358                 NaN            NaN            NaN            NaN            NaN  0.570129       0.748642                 NaN  0.645405                 NaN            NaN            NaN
  1408.59        500.000        98.0513                 NaN            NaN            NaN            NaN            NaN  0.562610       0.744411                 NaN  0.641726                 NaN            NaN            NaN
  1407.08        500.000        98.1390                 NaN            NaN            NaN            NaN            NaN  0.541418       0.708678                 NaN  0.610859                 NaN            NaN            NaN
  1405.58        500.000        98.1438                 NaN            NaN            NaN            NaN            NaN  0.538483       0.707507                 NaN  0.610222                 NaN            NaN            NaN
  1404.08        500.000        98.1788                 NaN            NaN            NaN            NaN            NaN  0.528207       0.694069                 NaN  0.598898                 NaN            NaN            NaN
  1402.58        500.000        98.2109                 NaN            NaN            NaN            NaN            NaN  0.681772       0.519113                 NaN  0.588183                 NaN            NaN            NaN
  1401.08        500.000        98.2427                 NaN            NaN            NaN            NaN            NaN  0.669662       0.510127                 NaN  0.577539                 NaN            NaN            NaN
  1399.57        500.000        98.2731                 NaN            NaN            NaN            NaN            NaN  0.658323       0.501012                 NaN  0.567559                 NaN            NaN            NaN
  1398.07        500.000        98.3035                 NaN            NaN            NaN            NaN            NaN  0.492536       0.646444                 NaN  0.557476                 NaN            NaN            NaN
  1396.57        500.000        98.3303                 NaN            NaN            NaN            NaN            NaN  0.636754       0.483798                 NaN  0.549181                 NaN            NaN            NaN
  1395.07        500.000        98.3641                 NaN            NaN            NaN            NaN            NaN  0.474282       0.624317                 NaN  0.537275                 NaN            NaN            NaN
  1393.56        500.000        98.3379                 NaN            NaN            NaN            NaN            NaN  0.621425       0.489513                 NaN  0.551121                 NaN            NaN            NaN
  1392.06        500.000        98.4631                 NaN            NaN            NaN            NaN            NaN  0.437187       0.601587                 NaN  0.498103                 NaN            NaN            NaN
  1390.56        500.000        98.4402                 NaN            NaN            NaN            NaN            NaN  0.451527       0.596138                 NaN  0.512122                 NaN            NaN            NaN
  1389.06        500.000        98.4662                 NaN            NaN            NaN            NaN            NaN  0.444362       0.586056                 NaN  0.503391                 NaN            NaN            NaN
  1387.56        500.000        98.4902                 NaN            NaN            NaN            NaN            NaN  0.577760       0.436627                 NaN  0.495425                 NaN            NaN            NaN
  1386.05        500.000        98.5136                 NaN            NaN            NaN            NaN            NaN  0.569343       0.429500                 NaN  0.487595                 NaN            NaN            NaN
  1384.55        500.000        98.5358                 NaN            NaN            NaN            NaN            NaN  0.423020       0.561133                 NaN  0.480057                 NaN            NaN            NaN
  1383.05        500.000        98.5586                 NaN            NaN            NaN            NaN            NaN  0.416003       0.552892                 NaN  0.472460                 NaN            NaN            NaN
  1381.55        500.000        98.5792                 NaN            NaN            NaN            NaN            NaN  0.545090       0.410312                 NaN  0.465359                 NaN            NaN            NaN
  1380.05        500.000        98.6022                 NaN            NaN            NaN  0.103734E-005            NaN  0.537232       0.402671                 NaN  0.457932                 NaN            NaN            NaN
  1378.54        500.000        98.6235                 NaN            NaN            NaN            NaN            NaN  0.395962       0.529936                 NaN  0.450554                 NaN            NaN            NaN
  1377.04        500.000        98.6433                 NaN            NaN            NaN  0.815894E-002            NaN  0.506822       0.396222                 NaN  0.445457                 NaN            NaN            NaN
  1375.54        500.000        98.6781                 NaN            NaN            NaN  0.196408                 NaN  0.124057       0.532031                 NaN  0.469358                 NaN            NaN            NaN
  1374.04        500.000        98.6988                 NaN            NaN            NaN  0.197389                 NaN  0.111776       0.529399                 NaN  0.462686                 NaN            NaN            NaN
  1372.53        500.000        98.7207                 NaN            NaN            NaN  0.198024                 NaN  0.524923       0.101002                 NaN  0.455328                 NaN            NaN            NaN
  1371.03        500.000        98.7405                 NaN            NaN            NaN  0.198581                 NaN  0.521952       0.900767E-001            NaN  0.448931                 NaN            NaN            NaN
  1369.53        500.000        98.7606                 NaN            NaN            NaN  0.199182                 NaN  0.795841E-001  0.518541                 NaN  0.442135                 NaN            NaN            NaN
  1368.03        500.000        98.7791                 NaN            NaN            NaN  0.200533                 NaN  0.686192E-001  0.515561                 NaN  0.436233                 NaN            NaN            NaN
  1366.53        500.000        98.8002                 NaN            NaN            NaN  0.199759                 NaN  0.592657E-001  0.512016                 NaN  0.428773                 NaN            NaN            NaN
  1365.02        500.000        98.8184                 NaN            NaN            NaN  0.200974                 NaN  0.509927       0.476444E-001            NaN  0.423042                 NaN            NaN            NaN
  1363.52        500.000        98.8366                 NaN            NaN            NaN  0.200809                 NaN  0.506375       0.394557E-001            NaN  0.416791                 NaN            NaN            NaN
  1362.02        500.000        98.8538                 NaN            NaN            NaN  0.201626                 NaN  0.293519E-001  0.504059                 NaN  0.411165                 NaN            NaN            NaN
  1360.52        500.000        98.8725                 NaN            NaN            NaN  0.200911                 NaN  0.499752       0.221546E-001            NaN  0.404676                 NaN            NaN            NaN
  1359.02        500.000        98.8904                 NaN            NaN            NaN  0.201365                 NaN  0.497891       0.117337E-001            NaN  0.398642                 NaN            NaN            NaN
  1357.51        500.000        98.9050                 NaN            NaN            NaN  0.200832                 NaN  0.495490       0.516836E-002            NaN  0.393481                 NaN            NaN            NaN
  1356.01        500.000        98.9219                 NaN            NaN            NaN  0.199820                 NaN  0.490629                 NaN            NaN  0.387607                 NaN            NaN            NaN
  1354.51        500.000        98.9338                 NaN            NaN            NaN  0.199577                 NaN  0.482238                 NaN            NaN  0.384344                 NaN            NaN            NaN
  1353.01        500.000        98.9581                 NaN            NaN            NaN  0.192784                 NaN  0.475697                 NaN            NaN  0.373463                 NaN            NaN            NaN
  1351.50        500.000        98.9671                 NaN            NaN            NaN  0.194441                 NaN  0.467232                 NaN            NaN  0.371262                 NaN            NaN            NaN
  1350.00        500.000        98.9814                 NaN            NaN            NaN  0.191525                 NaN  0.461290                 NaN            NaN  0.365794                 NaN            NaN            NaN
  1348.50        500.000        98.9956                 NaN            NaN            NaN  0.187146                 NaN  0.457229                 NaN            NaN  0.360030                 NaN            NaN            NaN
  1347.00        500.000        99.0081                 NaN            NaN            NaN  0.184343                 NaN  0.452284                 NaN            NaN  0.355286                 NaN            NaN            NaN
  1345.50        500.000        99.0216                 NaN            NaN            NaN  0.181119                 NaN  0.447159                 NaN            NaN  0.350172                 NaN            NaN            NaN
  1343.99        500.000        99.0363                 NaN            NaN            NaN  0.179864                 NaN  0.439126                 NaN            NaN  0.344736                 NaN            NaN            NaN
  1342.49        500.000        99.0491                 NaN            NaN            NaN  0.179059                 NaN  0.431591                 NaN            NaN  0.340271                 NaN            NaN            NaN
  1340.99        500.000        99.0617                 NaN            NaN            NaN  0.176335                 NaN  0.426645                 NaN            NaN  0.335336                 NaN            NaN            NaN
  1339.49        500.000        99.0744                 NaN            NaN            NaN  0.172362                 NaN  0.422978                 NaN            NaN  0.330295                 NaN            NaN            NaN
  1337.98        500.000        99.0872                 NaN            NaN            NaN  0.170245                 NaN  0.417080                 NaN            NaN  0.325457                 NaN            NaN            NaN
  1336.48        500.000        99.1002                 NaN            NaN            NaN  0.169257                 NaN  0.409682                 NaN            NaN  0.320898                 NaN            NaN            NaN
  1334.98        500.000        99.1109                 NaN            NaN            NaN  0.165927                 NaN  0.406735                 NaN            NaN  0.316393                 NaN            NaN            NaN
  1333.48        500.000        99.1236                 NaN            NaN            NaN  0.164785                 NaN  0.399657                 NaN            NaN  0.311957                 NaN            NaN            NaN
  1331.98        500.000        99.1353                 NaN            NaN            NaN  0.161821                 NaN  0.395774                 NaN            NaN  0.307131                 NaN            NaN            NaN
  1330.47        500.000        99.1417                 NaN            NaN            NaN  0.155223                 NaN  0.398863                 NaN            NaN  0.304227                 NaN            NaN            NaN
  1328.97        500.000        99.1597                 NaN            NaN            NaN  0.157025                 NaN  0.385927                 NaN            NaN  0.297393                 NaN            NaN            NaN
  1327.47        500.000        99.1685                 NaN            NaN            NaN  0.155463                 NaN  0.381492                 NaN            NaN  0.294540                 NaN            NaN            NaN
  1325.97        500.000        99.1796                 NaN            NaN            NaN  0.152787                 NaN  0.377540                 NaN            NaN  0.290112                 NaN            NaN            NaN
  1324.47        500.000        99.1906                 NaN            NaN            NaN  0.152523                 NaN  0.370753                 NaN            NaN  0.286173                 NaN            NaN            NaN
  1322.96        500.000        99.2008                 NaN            NaN            NaN  0.149226                 NaN  0.367667                 NaN            NaN  0.282261                 NaN            NaN            NaN
  1321.46        500.000        99.2119                 NaN            NaN            NaN  0.146820                 NaN  0.363704                 NaN            NaN  0.277591                 NaN            NaN            NaN
  1319.96        500.000        99.2218                 NaN            NaN            NaN  0.145108                 NaN  0.359112                 NaN            NaN  0.273956                 NaN            NaN            NaN
  1318.46        500.000        99.2325                 NaN            NaN            NaN  0.140763                 NaN  0.356434                 NaN            NaN  0.270330                 NaN            NaN            NaN
  1316.95        500.000        99.2433                 NaN            NaN            NaN  0.140747                 NaN  0.350632                 NaN            NaN  0.265369                 NaN            NaN            NaN
  1315.45        500.000        99.2508                 NaN            NaN            NaN  0.139146                 NaN  0.347417                 NaN            NaN  0.262650                 NaN            NaN            NaN
  1313.95        500.000        99.2606                 NaN            NaN            NaN  0.136471                 NaN  0.344146                 NaN            NaN  0.258820                 NaN            NaN            NaN
  1312.45        500.000        99.2705                 NaN            NaN            NaN  0.135876                 NaN  0.338458                 NaN            NaN  0.255171                 NaN            NaN            NaN
  1310.95        500.000        99.2799                 NaN            NaN            NaN  0.133730                 NaN  0.334799                 NaN            NaN  0.251597                 NaN            NaN            NaN
  1309.44        500.000        99.2880                 NaN            NaN            NaN  0.131388                 NaN  0.332444                 NaN            NaN  0.248177                 NaN            NaN            NaN
  1307.94        500.000        99.2983                 NaN            NaN            NaN  0.129529                 NaN  0.327928                 NaN            NaN  0.244260                 NaN            NaN            NaN
  1306.44        500.000        99.3067                 NaN            NaN            NaN  0.127269                 NaN  0.325070                 NaN            NaN  0.240985                 NaN            NaN            NaN
  1304.94        500.000        99.3159                 NaN            NaN            NaN  0.125654                 NaN  0.320926                 NaN            NaN  0.237524                 NaN            NaN            NaN
  1303.44        500.000        99.3239                 NaN            NaN            NaN  0.122981                 NaN  0.318908                 NaN            NaN  0.234219                 NaN            NaN            NaN
