|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1937.34        500.000        98.0848        1.90086       0.143504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        98.0685        1.91715       0.143529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        98.0694        1.91628       0.143530E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        98.0617        1.92396       0.143543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        98.0540        1.93162       0.143556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        98.0464        1.93926       0.143569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        98.0388        1.94689       0.143582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        98.0311        1.95450       0.143595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        98.0236        1.96208       0.143608E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        98.0244        1.96120       0.143609E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.0084        1.97721       0.143634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        98.0009        1.98474       0.143646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        98.0151        1.97056       0.143629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        97.9859        1.99976       0.143672E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        97.9784        2.00724       0.143685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        97.9709        2.01470       0.143698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        97.5853        2.01722       0.142681E-001  0.383161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.6180       0.198410E-002            NaN  0.380063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.5103       0.288660E-003            NaN  0.489454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.5131       0.180934E-003            NaN  0.486702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.5160       0.689901E-004            NaN  0.483962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.5340       0.821185E-002            NaN  0.457781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.5148       0.227418E-002            NaN  0.482970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.5263                 NaN            NaN  0.473714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.5313       0.366919E-002            NaN  0.465013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.5260                 NaN            NaN  0.473972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.5378                 NaN            NaN  0.462249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.5395       0.150299E-002            NaN  0.459027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.5404                 NaN            NaN  0.459566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.5421                 NaN            NaN  0.457903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.5429                 NaN            NaN  0.457146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.5473                 NaN            NaN  0.452732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5491                 NaN            NaN  0.450927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5503                 NaN            NaN  0.449687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5494                 NaN            NaN  0.450563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5435                 NaN            NaN  0.456455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5635                 NaN            NaN  0.428237       0.822717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5492                 NaN            NaN  0.440070       0.107178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5522                 NaN            NaN  0.437139       0.106192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.3761                 NaN            NaN  0.609154       0.147319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.7309                 NaN            NaN  0.262724       0.634604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5550                 NaN            NaN  0.434465       0.105691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5571                 NaN            NaN  0.432381       0.104889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.5578                 NaN            NaN  0.431724       0.104812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5589                 NaN            NaN  0.430638       0.104355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5585                 NaN            NaN  0.431102       0.104412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5608                 NaN            NaN  0.428854       0.103633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5608                 NaN            NaN  0.428886       0.103560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.5622                 NaN            NaN  0.427510       0.103053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.5595                 NaN            NaN  0.430059       0.103974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5650                 NaN            NaN  0.424803       0.101745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5627                 NaN            NaN  0.427044       0.102427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5632                 NaN            NaN  0.426618       0.102191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.5623                 NaN            NaN  0.427493       0.102237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5643                 NaN            NaN  0.425575       0.101328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5631                 NaN            NaN  0.426728       0.101249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5631                 NaN            NaN  0.426787       0.100898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5625                 NaN            NaN  0.427452       0.100894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5621                 NaN            NaN  0.427898       0.100509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5617                 NaN            NaN  0.428284       0.100367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5617                 NaN            NaN  0.428302       0.998515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5609                 NaN            NaN  0.429079       0.998317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5601                 NaN            NaN  0.429912       0.995053E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5591                 NaN            NaN  0.431014       0.993347E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5587                 NaN            NaN  0.431427       0.990183E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5563                 NaN            NaN  0.433742       0.990966E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.5572                 NaN            NaN  0.432950       0.983364E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.5542                 NaN            NaN  0.435926       0.986524E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5545                 NaN            NaN  0.435634       0.981947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.5527                 NaN            NaN  0.437529       0.979654E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5515                 NaN            NaN  0.438694       0.977207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.5501                 NaN            NaN  0.440174       0.975059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5478                 NaN            NaN  0.442490       0.975261E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.5472                 NaN            NaN  0.443111       0.971464E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.5456                 NaN            NaN  0.444759       0.969033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.5430                 NaN            NaN  0.447340       0.970367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5580                 NaN            NaN  0.432681       0.931907E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.5232                 NaN            NaN  0.466815       0.999532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.0730                 NaN            NaN  0.907738       0.192313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.9741                 NaN            NaN  0.258705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.5951                 NaN            NaN  0.396022       0.887013E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4985                 NaN            NaN  0.491240       0.102636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        98.7467                 NaN            NaN   1.22795       0.253316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.9997                 NaN            NaN  0.336469E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.8986                 NaN            NaN  0.993608E-001  0.203462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3538       0.425026E-002            NaN  0.629632       0.123514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.6354                 NaN            NaN  0.357218       0.736316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.5180                 NaN            NaN  0.472467       0.949138E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.5510                 NaN            NaN  0.440182       0.877818E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4689                 NaN            NaN  0.520943       0.101358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.5172                 NaN            NaN  0.473319       0.949744E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.5101                 NaN            NaN  0.480539       0.939743E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.5345                 NaN            NaN  0.456627       0.885707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4742                 NaN            NaN  0.515820       0.994034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.5006                 NaN            NaN  0.490042       0.939155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.1646                 NaN            NaN  0.819734       0.156207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8277                 NaN            NaN  0.169121       0.315582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.9358                 NaN            NaN  0.631677E-001  0.104951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.0496                 NaN            NaN  0.932746       0.176425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4860                 NaN            NaN  0.504665       0.937156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4864                 NaN            NaN  0.504315       0.928941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4803                 NaN            NaN  0.510358       0.934637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4814                 NaN            NaN  0.509282       0.928733E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4768                 NaN            NaN  0.513886       0.929168E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4745                 NaN            NaN  0.516156       0.930200E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.4607                 NaN            NaN  0.530021       0.927118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4816                 NaN            NaN  0.509081       0.928932E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.4675                 NaN            NaN  0.523259       0.926338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.4647                 NaN            NaN  0.526041       0.928221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.4633                 NaN            NaN  0.527459       0.924471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.4605                 NaN            NaN  0.530222       0.925232E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.4573                 NaN            NaN  0.533417       0.924338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.4568                 NaN            NaN  0.534000       0.922485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.7332                 NaN            NaN  0.262279       0.455213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1749                 NaN            NaN  0.811239       0.138935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.4520                 NaN            NaN  0.538864       0.918482E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4484                 NaN            NaN  0.542422       0.921512E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.4482                 NaN            NaN  0.542625       0.917514E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.4283                 NaN            NaN  0.538843       0.889542E-002  0.239191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        96.9411                 NaN            NaN  0.132942       0.475512E-002   2.92118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.0079                 NaN            NaN  0.372460E-001            NaN  0.954887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        98.1368                 NaN            NaN  0.714149E-001            NaN   1.79176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        98.0915                 NaN            NaN  0.693651E-001            NaN   1.83913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.1201                 NaN            NaN  0.633971E-001            NaN   1.81654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.1822                 NaN            NaN  0.636649E-001            NaN   1.75414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3682                 NaN            NaN  0.383864E-001            NaN  0.593429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        97.0823                 NaN            NaN  0.794883E-001            NaN   2.83820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.2825                 NaN            NaN  0.542777E-001            NaN   1.66322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.3150                 NaN            NaN  0.545482E-001            NaN   1.63048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.0282                 NaN            NaN  0.297622E-001            NaN  0.942060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        97.6936                 NaN            NaN  0.713378E-001            NaN   2.23505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.4051                 NaN            NaN  0.438965E-001            NaN   1.55098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.4348                 NaN            NaN  0.413194E-001            NaN   1.52391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.4624                 NaN            NaN  0.409716E-001            NaN   1.49663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.4835                 NaN            NaN  0.369590E-001            NaN   1.47954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.5273                 NaN            NaN  0.371423E-001            NaN   1.43552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.5457                 NaN            NaN  0.342304E-001            NaN   1.42006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5691                 NaN            NaN  0.302237E-001            NaN   1.40072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.5908                 NaN            NaN  0.272162E-001            NaN   1.38199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6181                 NaN            NaN  0.263094E-001            NaN   1.35555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6385                 NaN            NaN  0.228817E-001            NaN   1.33861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6648                 NaN            NaN  0.230680E-001            NaN   1.31211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.6830                 NaN            NaN  0.197861E-001            NaN   1.29718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7053                 NaN            NaN  0.162580E-001            NaN   1.27842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7266                 NaN            NaN  0.145050E-001            NaN   1.25891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7417                 NaN            NaN  0.100731E-001            NaN   1.24822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7591                 NaN            NaN  0.254591E-001            NaN   1.21544                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7894                 NaN            NaN  0.556140E-002            NaN   1.20504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8016                 NaN            NaN  0.179935E-001            NaN   1.18038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8160                 NaN            NaN            NaN            NaN   1.18397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8394                 NaN            NaN            NaN            NaN   1.16064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8554                 NaN            NaN  0.935621E-002            NaN   1.13522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8685                 NaN            NaN  0.145576E-005            NaN   1.13146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8853                 NaN            NaN            NaN            NaN   1.11471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        97.8193                 NaN            NaN            NaN            NaN   2.18072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9302                 NaN            NaN            NaN            NaN   1.06982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9434                 NaN            NaN  0.577355E-003            NaN   1.05598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9552                 NaN            NaN            NaN            NaN   1.04476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9726                 NaN            NaN  0.373188E-003            NaN   1.02700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9859                 NaN            NaN            NaN            NaN   1.01406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9994                 NaN            NaN            NaN            NaN   1.00061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0105                 NaN            NaN            NaN            NaN  0.989475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0242                 NaN            NaN            NaN            NaN  0.975788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.0382                 NaN            NaN            NaN            NaN  0.961776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.0295                 NaN            NaN  0.806071E-001            NaN  0.889870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.0994                 NaN            NaN            NaN            NaN  0.900647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0708                 NaN            NaN            NaN            NaN  0.929225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0788                 NaN            NaN            NaN            NaN  0.921151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0008                 NaN            NaN            NaN            NaN  0.458349       0.540807                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.9118                 NaN            NaN            NaN            NaN  0.174438E-001   1.07071                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.9245                 NaN            NaN            NaN            NaN  0.492084E-002   1.07057                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9264                 NaN            NaN            NaN            NaN            NaN   1.07357                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9376                 NaN            NaN            NaN            NaN            NaN   1.06242                 NaN            NaN            NaN            NaN            NaN            NaN
