|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/YM20/YM20_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1789.47        500.000        99.5100                 NaN            NaN  0.474866       0.151682E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5098                 NaN            NaN  0.475121       0.150962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5088                 NaN            NaN  0.476145       0.150925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5076                 NaN            NaN  0.477317       0.150554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.5062                 NaN            NaN  0.478790       0.150363E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5055                 NaN            NaN  0.479469       0.149938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5027                 NaN            NaN  0.482305       0.150161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.5034                 NaN            NaN  0.481676       0.149063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4998                 NaN            NaN  0.485277       0.149614E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5001                 NaN            NaN  0.485055       0.148942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4975                 NaN            NaN  0.487593       0.148683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4961                 NaN            NaN  0.489055       0.148389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4942                 NaN            NaN  0.490968       0.148139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4914                 NaN            NaN  0.493800       0.148234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4905                 NaN            NaN  0.494724       0.147715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4884                 NaN            NaN  0.496857       0.147415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4853                 NaN            NaN  0.499985       0.147647E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5019                 NaN            NaN  0.483883       0.141897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4624                 NaN            NaN  0.522378       0.152253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        98.9546                 NaN            NaN   1.01608       0.293113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.9710                 NaN            NaN  0.290019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.5425                 NaN            NaN  0.443972       0.135335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.4335                 NaN            NaN  0.550808       0.156628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        98.5839                 NaN            NaN   1.37737       0.386852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.9996                 NaN            NaN  0.378458E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.8852                 NaN            NaN  0.111689       0.311093E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2599       0.110561E-001            NaN  0.710096       0.189967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.5868                 NaN            NaN  0.401888       0.112706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4537                 NaN            NaN  0.531765       0.145301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4907                 NaN            NaN  0.495828       0.134466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3976                 NaN            NaN  0.586882       0.155308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4516                 NaN            NaN  0.533828       0.145652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4435                 NaN            NaN  0.542121       0.144135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4708                 NaN            NaN  0.515557       0.135997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4021                 NaN            NaN  0.582602       0.152643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4317                 NaN            NaN  0.553869       0.144306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.0488                 NaN            NaN  0.927190       0.240072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.8036                 NaN            NaN  0.191505       0.485583E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.9268                 NaN            NaN  0.716267E-001  0.161548E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        98.9164                 NaN            NaN   1.05644       0.271434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4133                 NaN            NaN  0.572286       0.144341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4133                 NaN            NaN  0.572366       0.143209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4060                 NaN            NaN  0.579571       0.144165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4070                 NaN            NaN  0.578702       0.143274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4012                 NaN            NaN  0.584491       0.143475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3983                 NaN            NaN  0.587353       0.143667E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3821                 NaN            NaN  0.603565       0.143269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4055                 NaN            NaN  0.580153       0.143639E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3889                 NaN            NaN  0.596759       0.143321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3855                 NaN            NaN  0.600169       0.143658E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3833                 NaN            NaN  0.602392       0.143190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3797                 NaN            NaN  0.605964       0.143378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3756                 NaN            NaN  0.610048       0.143360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3744                 NaN            NaN  0.611301       0.143153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.6928                 NaN            NaN  0.300185       0.705985E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.0490                 NaN            NaN  0.929472       0.215698E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3674                 NaN            NaN  0.618291       0.142765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3629                 NaN            NaN  0.622739       0.143310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3622                 NaN            NaN  0.623543       0.142781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3394                 NaN            NaN  0.619659       0.138491E-001  0.270918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        96.5391                 NaN            NaN  0.152537       0.737885E-002   3.30094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        98.8749                 NaN            NaN  0.428499E-001            NaN   1.08228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        97.8894                 NaN            NaN  0.821157E-001            NaN   2.02846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.8375                 NaN            NaN  0.797903E-001            NaN   2.08268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        97.8697                 NaN            NaN  0.729413E-001            NaN   2.05733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        97.9387                 NaN            NaN  0.733053E-001            NaN   1.98801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2822                 NaN            NaN  0.443005E-001            NaN  0.673531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        96.6938                 NaN            NaN  0.914910E-001            NaN   3.21473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.0501                 NaN            NaN  0.626030E-001            NaN   1.88732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.0862                 NaN            NaN  0.629422E-001            NaN   1.85091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.8944                 NaN            NaN  0.344121E-001            NaN   1.07114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        97.3807                 NaN            NaN  0.823246E-001            NaN   2.53701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.1866                 NaN            NaN  0.507313E-001            NaN   1.76263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2195                 NaN            NaN  0.477813E-001            NaN   1.73268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.2502                 NaN            NaN  0.474061E-001            NaN   1.70240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2736                 NaN            NaN  0.427874E-001            NaN   1.68366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3227                 NaN            NaN  0.430199E-001            NaN   1.63431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3430                 NaN            NaN  0.396683E-001            NaN   1.61735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.3690                 NaN            NaN  0.350481E-001            NaN   1.59590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.3934                 NaN            NaN  0.315697E-001            NaN   1.57504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4236                 NaN            NaN  0.305426E-001            NaN   1.54583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4465                 NaN            NaN  0.265735E-001            NaN   1.52696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4758                 NaN            NaN  0.268053E-001            NaN   1.49742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.4960                 NaN            NaN  0.230114E-001            NaN   1.48094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5209                 NaN            NaN  0.189167E-001            NaN   1.46022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5448                 NaN            NaN  0.168802E-001            NaN   1.43831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5614                 NaN            NaN  0.117327E-001            NaN   1.42687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5805                 NaN            NaN  0.296729E-001            NaN   1.38984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6149                 NaN            NaN  0.647960E-002            NaN   1.37859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6282                 NaN            NaN  0.209953E-001            NaN   1.35079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6445                 NaN            NaN            NaN            NaN   1.35549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6708                 NaN            NaN            NaN            NaN   1.32917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6886                 NaN            NaN  0.109311E-001            NaN   1.30048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7033                 NaN            NaN  0.170249E-005            NaN   1.29673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7221                 NaN            NaN            NaN            NaN   1.27785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        97.5020                 NaN            NaN            NaN            NaN   2.49799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7722                 NaN            NaN            NaN            NaN   1.22780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7869                 NaN            NaN  0.677178E-003            NaN   1.21241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7999                 NaN            NaN            NaN            NaN   1.20010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8195                 NaN            NaN  0.438062E-003            NaN   1.18009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8345                 NaN            NaN            NaN            NaN   1.16555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8493                 NaN            NaN            NaN            NaN   1.15071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8617                 NaN            NaN            NaN            NaN   1.13829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8769                 NaN            NaN            NaN            NaN   1.12308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.8926                 NaN            NaN            NaN            NaN   1.10736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.8800                 NaN            NaN  0.948822E-001            NaN   1.02509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9621                 NaN            NaN            NaN            NaN   1.03788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9287                 NaN            NaN            NaN            NaN   1.07134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9376                 NaN            NaN            NaN            NaN   1.06239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.8495                 NaN            NaN            NaN            NaN  0.528831       0.621676                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.7483                 NaN            NaN            NaN            NaN  0.201352E-001   1.23159                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.7623                 NaN            NaN            NaN            NaN  0.568332E-002   1.23202                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.7637                 NaN            NaN            NaN            NaN            NaN   1.23633                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.7758                 NaN            NaN            NaN            NaN            NaN   1.22419                 NaN            NaN            NaN            NaN            NaN            NaN
