|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        San(TH)        q             
  1344.13        2500.00                 NaN   99.2044                 NaN            NaN  0.393625                 NaN            NaN            NaN  0.128298       0.273711                 NaN            NaN            NaN            NaN
  1342.90        2500.00                 NaN   99.2107                 NaN            NaN  0.394177                 NaN            NaN            NaN  0.124610       0.270515                 NaN            NaN            NaN            NaN
  1341.67        2500.00                 NaN   99.2162                 NaN            NaN  0.392137                 NaN            NaN            NaN  0.123294       0.268407                 NaN            NaN            NaN            NaN
  1340.44        2500.00                 NaN   99.2219                 NaN            NaN  0.391359                 NaN            NaN            NaN  0.120894       0.265894                 NaN            NaN            NaN            NaN
  1339.21        2500.00                 NaN   99.2281                 NaN            NaN  0.389729                 NaN            NaN            NaN  0.118890       0.263288                 NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.2336                 NaN            NaN  0.386625                 NaN            NaN            NaN  0.118446       0.261280                 NaN            NaN            NaN            NaN
  1336.75        2500.00                 NaN   99.2400                 NaN            NaN  0.386772                 NaN            NaN            NaN  0.114959       0.258281                 NaN            NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.2439                 NaN            NaN  0.384614                 NaN            NaN            NaN  0.114683       0.256757                 NaN            NaN            NaN            NaN
  1334.29        2500.00                 NaN   99.2515                 NaN            NaN  0.381336                 NaN            NaN            NaN  0.113270       0.253846                 NaN            NaN            NaN            NaN
  1333.07        2500.00                 NaN   99.2515                 NaN            NaN  0.384757                 NaN            NaN            NaN  0.109165       0.252820       0.179394E-002            NaN            NaN            NaN
  1331.84        2500.00                 NaN   99.1820                 NaN            NaN  0.414337                 NaN            NaN            NaN  0.987271E-001  0.271571       0.333841E-001            NaN            NaN            NaN
  1330.61        2500.00                 NaN   99.1906                 NaN            NaN  0.408994                 NaN            NaN            NaN  0.986559E-001  0.268887       0.328734E-001            NaN            NaN            NaN
  1329.38        2500.00                 NaN   99.1991                 NaN            NaN  0.405947                 NaN            NaN            NaN  0.969052E-001  0.265812       0.322714E-001            NaN            NaN            NaN
  1328.15        2500.00                 NaN   99.2075                 NaN            NaN  0.397144                 NaN            NaN            NaN  0.992877E-001  0.264160       0.319304E-001            NaN            NaN            NaN
  1326.92        2500.00                 NaN   99.2183                 NaN            NaN  0.396402                 NaN            NaN            NaN  0.953606E-001  0.258776       0.311177E-001            NaN            NaN            NaN
  1325.69        2500.00                 NaN   99.2262                 NaN            NaN  0.390453                 NaN            NaN            NaN  0.956738E-001  0.256963       0.307249E-001            NaN            NaN            NaN
  1324.46        2500.00                 NaN   99.2341                 NaN            NaN  0.388933                 NaN            NaN            NaN  0.928661E-001  0.254024       0.300926E-001            NaN            NaN            NaN
  1323.23        2500.00                 NaN   99.2426                 NaN            NaN  0.383800                 NaN            NaN            NaN  0.928707E-001  0.251124       0.296101E-001            NaN            NaN            NaN
  1322.00        2500.00                 NaN   99.2506                 NaN            NaN  0.380237                 NaN            NaN            NaN  0.916642E-001  0.248455       0.290849E-001            NaN            NaN            NaN
  1320.77        2500.00                 NaN   99.2590                 NaN            NaN  0.376386                 NaN            NaN            NaN  0.904633E-001  0.245588       0.285687E-001            NaN            NaN            NaN
  1319.55        2500.00                 NaN   99.2661                 NaN            NaN  0.374438                 NaN            NaN            NaN  0.885019E-001  0.242919       0.280054E-001            NaN            NaN            NaN
  1318.32        2500.00                 NaN   99.2742                 NaN            NaN  0.369863                 NaN            NaN            NaN  0.881518E-001  0.240283       0.275500E-001            NaN            NaN            NaN
  1317.09        2500.00                 NaN   99.2818                 NaN            NaN  0.366882                 NaN            NaN            NaN  0.866356E-001  0.237603       0.270331E-001            NaN            NaN            NaN
  1315.86        2500.00                 NaN   99.2892                 NaN            NaN  0.363193                 NaN            NaN            NaN  0.859582E-001  0.235079       0.265787E-001            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.2965                 NaN            NaN  0.360568                 NaN            NaN            NaN  0.844197E-001  0.232435       0.260603E-001            NaN            NaN            NaN
  1313.40        2500.00                 NaN   99.3037                 NaN            NaN  0.357523                 NaN            NaN            NaN  0.832316E-001  0.229957       0.255752E-001            NaN            NaN            NaN
  1312.17        2500.00                 NaN   99.3105                 NaN            NaN  0.356088                 NaN            NaN            NaN  0.808966E-001  0.227458       0.250621E-001            NaN            NaN            NaN
  1310.94        2500.00                 NaN   99.3170                 NaN            NaN  0.353714                 NaN            NaN            NaN  0.795767E-001  0.225144       0.245689E-001            NaN            NaN            NaN
  1309.71        2500.00                 NaN   99.3248                 NaN            NaN  0.350043                 NaN            NaN            NaN  0.785573E-001  0.222467       0.241247E-001            NaN            NaN            NaN
  1308.48        2500.00                 NaN   99.3312                 NaN            NaN  0.347824                 NaN            NaN            NaN  0.770879E-001  0.220211       0.236541E-001            NaN            NaN            NaN
  1307.26        2500.00                 NaN   99.3375                 NaN            NaN  0.345006                 NaN            NaN            NaN  0.762631E-001  0.217970       0.232357E-001            NaN            NaN            NaN
  1306.03        2500.00                 NaN   99.3445                 NaN            NaN  0.342639                 NaN            NaN            NaN  0.745945E-001  0.215513       0.227428E-001            NaN            NaN            NaN
  1304.80        2500.00                 NaN   99.3509                 NaN            NaN  0.341089                 NaN            NaN            NaN  0.723657E-001  0.213379       0.222833E-001            NaN            NaN            NaN
  1303.57        2500.00                 NaN   99.3569                 NaN            NaN  0.339349                 NaN            NaN            NaN  0.710226E-001  0.210890       0.217958E-001            NaN            NaN            NaN
  1302.34        2500.00                 NaN   77.1910                 NaN            NaN   4.32735                 NaN            NaN            NaN   1.02877        3.16781       0.471044        13.8140                 NaN            NaN
  1301.11        2500.00                 NaN   76.8020                 NaN            NaN   4.39385                 NaN            NaN            NaN   1.09746        3.21643       0.470390        14.0199                 NaN            NaN
  1299.88        2500.00                 NaN   78.5120                 NaN            NaN   4.10828                 NaN            NaN            NaN   1.04631        2.98623       0.427188        12.9200                 NaN            NaN
  1298.65        2500.00                 NaN   80.0794                 NaN            NaN   3.85943                 NaN            NaN            NaN  0.984712        2.77474       0.387931        11.9138                 NaN            NaN
  1297.42        2500.00                 NaN   81.4619                 NaN            NaN   3.64472                 NaN            NaN            NaN  0.924353        2.58770       0.353618        11.0277                 NaN            NaN
  1296.19        2500.00                 NaN   82.7594                 NaN            NaN   3.44276                 NaN            NaN            NaN  0.861619        2.41146       0.322393        10.2023                 NaN            NaN
  1294.97        2500.00                 NaN   80.4062                 NaN            NaN   3.76551                 NaN            NaN            NaN   1.05388        2.78245       0.372138        11.6198                 NaN            NaN
  1293.74        2500.00                 NaN   88.8153                 NaN            NaN   2.50179                 NaN            NaN            NaN  0.483912        1.52018       0.189074        6.48970                 NaN            NaN
  1292.51        2500.00                 NaN   86.7093                 NaN            NaN   2.78193                 NaN            NaN            NaN  0.653757        1.86648       0.235293        7.75320                 NaN            NaN
  1291.28        2500.00                 NaN   87.1032                 NaN            NaN   2.73040                 NaN            NaN            NaN  0.626313        1.81367       0.225233        7.50114                 NaN            NaN
  1290.05        2500.00                 NaN   86.7675                 NaN            NaN   2.78238                 NaN            NaN            NaN  0.651596        1.87353       0.232283        7.69275                 NaN            NaN
  1288.82        2500.00                 NaN   90.4987                 NaN            NaN   2.11627                 NaN            NaN            NaN  0.433929        1.32915       0.159125        5.46280                 NaN            NaN
  1287.59        2500.00                 NaN   89.6495                 NaN            NaN   2.27833                 NaN            NaN            NaN  0.475651        1.46011       0.174025        5.96242                 NaN            NaN
  1286.36        2500.00                 NaN   90.4431                 NaN            NaN   2.13221                 NaN            NaN            NaN  0.423444        1.34945       0.159095        5.49273                 NaN            NaN
  1285.13        2500.00                 NaN   90.8967                 NaN            NaN   2.01024                 NaN            NaN            NaN  0.400801        1.28636       0.152623        5.25326                 NaN            NaN
  1283.90        2500.00                 NaN   91.6169                 NaN            NaN   1.93850                 NaN            NaN            NaN  0.357031        1.18214       0.135151        4.77028                 NaN            NaN
  1282.68        2500.00                 NaN   92.1141                 NaN            NaN   1.81646                 NaN            NaN            NaN  0.326010        1.11537       0.127492        4.50060                 NaN            NaN
  1281.45        2500.00                 NaN   90.1381                 NaN            NaN   2.51719                 NaN            NaN            NaN            NaN   1.30720       0.180113        5.85745                 NaN            NaN
  1280.22        2500.00                 NaN   89.3655                 NaN            NaN   2.35974                 NaN            NaN            NaN  0.755714        1.65615       0.161819        5.70111                 NaN            NaN
  1278.99        2500.00                 NaN   99.4503                 NaN            NaN  0.109159                 NaN            NaN            NaN  0.164240E-001  0.289218E-001            NaN  0.395146                 NaN            NaN
  1277.76        2500.00                 NaN   92.6598                 NaN            NaN   1.65312                 NaN            NaN            NaN  0.308121        1.02615       0.108273        4.24453                 NaN            NaN
  1276.53        2500.00                 NaN   94.6839                 NaN            NaN   1.44227                 NaN            NaN            NaN  0.962006E-001  0.737855       0.784066E-001   2.96134                 NaN            NaN
  1275.30        2500.00                 NaN   94.7213                 NaN            NaN   1.29991                 NaN            NaN            NaN  0.163175       0.749860       0.799195E-001   2.98579                 NaN            NaN
