|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        San(TH)        q             
  1468.26        2500.00       0.123141E-002   99.1336                 NaN            NaN  0.282714       0.582452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00       0.118663E-002   99.1384                 NaN            NaN  0.579724       0.280680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.80        2500.00       0.112687E-002   99.1435                 NaN            NaN  0.576569       0.278723                 NaN            NaN  0.699198E-004            NaN            NaN            NaN            NaN            NaN
  1464.57        2500.00       0.108811E-002   99.1482                 NaN            NaN  0.573529       0.277166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.34        2500.00       0.104654E-002   99.1525                 NaN            NaN  0.571057       0.275367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        2500.00       0.100737E-002   99.1556                 NaN            NaN  0.569853       0.272501                 NaN            NaN  0.103212E-002            NaN            NaN            NaN            NaN            NaN
  1460.88        2500.00       0.938932E-003   99.1616                 NaN            NaN  0.272187       0.565239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.65        2500.00       0.911589E-003   99.1650                 NaN            NaN  0.563905       0.270208                 NaN            NaN  0.118489E-005            NaN            NaN            NaN            NaN            NaN
  1458.43        2500.00       0.887468E-003   99.1705                 NaN            NaN  0.560079       0.268558                 NaN            NaN  0.160733E-004            NaN            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.848851E-003   99.1712                 NaN            NaN  0.560861       0.267084                 NaN            NaN  0.103697E-004            NaN            NaN            NaN            NaN            NaN
  1455.97        2500.00       0.800279E-003   99.1789                 NaN            NaN  0.555066       0.265208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.749315E-003   99.1828                 NaN            NaN  0.256004       0.555526                 NaN            NaN  0.488835E-002            NaN            NaN            NaN            NaN            NaN
  1453.51        2500.00       0.748248E-003   99.1847                 NaN            NaN  0.262393       0.552144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00       0.656718E-003   99.1891                 NaN            NaN  0.551962       0.255436                 NaN            NaN  0.283995E-002            NaN            NaN            NaN            NaN            NaN
  1451.05        2500.00       0.369347E-003   98.4750                 NaN            NaN  0.410522       0.667994                 NaN            NaN  0.120135       0.326011                 NaN            NaN            NaN            NaN
  1449.82        2500.00       0.453226E-002   97.6330                 NaN            NaN  0.803483       0.543169                 NaN            NaN  0.299173       0.716677                 NaN            NaN            NaN            NaN
  1448.59        2500.00                 NaN   97.6835                 NaN            NaN  0.510850       0.809759                 NaN            NaN  0.295050       0.700886                 NaN            NaN            NaN            NaN
  1447.36        2500.00                 NaN   97.7205                 NaN            NaN  0.798771       0.496021                 NaN            NaN  0.294458       0.690285                 NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   97.7516                 NaN            NaN  0.791618       0.480920                 NaN            NaN  0.294636       0.681206                 NaN            NaN            NaN            NaN
  1444.91        2500.00                 NaN   97.7537                 NaN            NaN  0.465534       0.799174                 NaN            NaN  0.299538       0.682086                 NaN            NaN            NaN            NaN
  1443.68        2500.00                 NaN   97.8495                 NaN            NaN  0.446275       0.764705                 NaN            NaN  0.288466       0.651064                 NaN            NaN            NaN            NaN
  1442.45        2500.00                 NaN   97.8566                 NaN            NaN  0.767113       0.433674                 NaN            NaN  0.292520       0.650125                 NaN            NaN            NaN            NaN
  1441.22        2500.00                 NaN   97.8863                 NaN            NaN  0.419700       0.760554                 NaN            NaN  0.292237       0.641170                 NaN            NaN            NaN            NaN
  1439.99        2500.00                 NaN   97.9231                 NaN            NaN  0.404698       0.751022                 NaN            NaN  0.290841       0.630291                 NaN            NaN            NaN            NaN
  1438.76        2500.00                 NaN   97.9530                 NaN            NaN  0.743291       0.391602                 NaN            NaN  0.290604       0.621544                 NaN            NaN            NaN            NaN
  1437.53        2500.00                 NaN   97.9803                 NaN            NaN  0.379979       0.735313                 NaN            NaN  0.291224       0.613217                 NaN            NaN            NaN            NaN
  1436.30        2500.00                 NaN   98.0178                 NaN            NaN  0.728444       0.363428                 NaN            NaN  0.288400       0.601961                 NaN            NaN            NaN            NaN
  1435.07        2500.00                 NaN   98.0410                 NaN            NaN  0.349093       0.725335                 NaN            NaN  0.289211       0.595313                 NaN            NaN            NaN            NaN
  1433.84        2500.00                 NaN   98.0707                 NaN            NaN  0.718922       0.335828                 NaN            NaN  0.288147       0.586440                 NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   98.0952                 NaN            NaN  0.713646       0.323902                 NaN            NaN  0.288224       0.579059                 NaN            NaN            NaN            NaN
  1431.39        2500.00                 NaN   97.7278                 NaN            NaN  0.857827       0.372774                 NaN            NaN  0.349762       0.691819                 NaN            NaN            NaN            NaN
  1430.16        2500.00                 NaN   98.5473                 NaN            NaN  0.550279       0.236876                 NaN            NaN  0.224287       0.441209                 NaN            NaN            NaN            NaN
  1428.93        2500.00                 NaN   98.1532                 NaN            NaN  0.284850       0.708872                 NaN            NaN  0.289568       0.563512                 NaN            NaN            NaN            NaN
  1427.70        2500.00                 NaN   98.2160                 NaN            NaN  0.272500       0.686070                 NaN            NaN  0.283393       0.542076                 NaN            NaN            NaN            NaN
  1426.47        2500.00                 NaN   98.2207                 NaN            NaN  0.688689       0.262786                 NaN            NaN  0.286169       0.541645                 NaN            NaN            NaN            NaN
  1425.24        2500.00                 NaN   98.2452                 NaN            NaN  0.681674       0.253204                 NaN            NaN  0.285649       0.534290                 NaN            NaN            NaN            NaN
  1424.01        2500.00                 NaN   98.2651                 NaN            NaN  0.679869       0.241278                 NaN            NaN  0.285672       0.528042                 NaN            NaN            NaN            NaN
  1422.78        2500.00                 NaN   98.2885                 NaN            NaN  0.676101       0.229345                 NaN            NaN  0.284892       0.521205                 NaN            NaN            NaN            NaN
  1421.55        2500.00                 NaN   98.1028                 NaN            NaN  0.251990       0.751634                 NaN            NaN  0.316315       0.577273                 NaN            NaN            NaN            NaN
  1420.33        2500.00                 NaN   98.5415                 NaN            NaN  0.175439       0.586447                 NaN            NaN  0.252336       0.444279                 NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.3495                 NaN            NaN  0.664927       0.198242                 NaN            NaN  0.284540       0.502757                 NaN            NaN            NaN            NaN
  1417.87        2500.00                 NaN   98.3716                 NaN            NaN  0.659739       0.189750                 NaN            NaN  0.283294       0.495644                 NaN            NaN            NaN            NaN
  1416.64        2500.00                 NaN   98.3903                 NaN            NaN  0.658184       0.177832                 NaN            NaN  0.283414       0.490307                 NaN            NaN            NaN            NaN
  1415.41        2500.00                 NaN   98.4117                 NaN            NaN  0.167633       0.654324                 NaN            NaN  0.282643       0.483725                 NaN            NaN            NaN            NaN
  1414.18        2500.00                 NaN   98.4290                 NaN            NaN  0.651334       0.158844                 NaN            NaN  0.282396       0.478398                 NaN            NaN            NaN            NaN
  1412.95        2500.00                 NaN   98.4459                 NaN            NaN  0.149207       0.648955                 NaN            NaN  0.282667       0.473273                 NaN            NaN            NaN            NaN
  1411.72        2500.00                 NaN   98.4654                 NaN            NaN  0.646661       0.139260                 NaN            NaN  0.281575       0.467120                 NaN            NaN            NaN            NaN
  1410.49        2500.00                 NaN   98.4825                 NaN            NaN  0.643637       0.130722                 NaN            NaN  0.281186       0.461999                 NaN            NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.4956                 NaN            NaN  0.643334       0.121536                 NaN            NaN  0.281488       0.458023                 NaN            NaN            NaN            NaN
  1408.04        2500.00                 NaN   98.5162                 NaN            NaN  0.110501       0.641163                 NaN            NaN  0.280543       0.451587                 NaN            NaN            NaN            NaN
  1406.81        2500.00                 NaN   98.5339                 NaN            NaN  0.103207       0.637160                 NaN            NaN  0.279701       0.446013                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.5480                 NaN            NaN  0.636518       0.942349E-001            NaN            NaN  0.279472       0.441798                 NaN            NaN            NaN            NaN
  1404.35        2500.00                 NaN   98.5618                 NaN            NaN  0.636111       0.846443E-001            NaN            NaN  0.279816       0.437608                 NaN            NaN            NaN            NaN
  1403.12        2500.00                 NaN   98.5802                 NaN            NaN  0.632667       0.775269E-001            NaN            NaN  0.277875       0.431717                 NaN            NaN            NaN            NaN
  1401.89        2500.00                 NaN   98.5947                 NaN            NaN  0.675716E-001  0.632545                 NaN            NaN  0.277813       0.427344                 NaN            NaN            NaN            NaN
  1400.66        2500.00                 NaN   98.6010                 NaN            NaN  0.632630       0.601004E-001            NaN            NaN  0.279553       0.426727                 NaN            NaN            NaN            NaN
  1399.43        2500.00                 NaN   98.6340                 NaN            NaN  0.626180       0.507577E-001            NaN            NaN  0.274491       0.414522                 NaN            NaN            NaN            NaN
  1398.20        2500.00                 NaN   98.6374                 NaN            NaN  0.629736       0.432306E-001            NaN            NaN  0.275830       0.413783                 NaN            NaN            NaN            NaN
  1396.97        2500.00                 NaN   98.6514                 NaN            NaN  0.629023       0.347153E-001            NaN            NaN  0.275329       0.409516                 NaN            NaN            NaN            NaN
  1395.75        2500.00                 NaN   98.6637                 NaN            NaN  0.266015E-001  0.629640                 NaN            NaN  0.274620       0.405427                 NaN            NaN            NaN            NaN
  1394.52        2500.00                 NaN   98.6776                 NaN            NaN  0.629562       0.173790E-001            NaN            NaN  0.274186       0.401271                 NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.6916                 NaN            NaN  0.111196E-001  0.628002                 NaN            NaN  0.272730       0.396546                 NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.7046                 NaN            NaN  0.627448       0.322056E-002            NaN            NaN  0.272152       0.392537                 NaN            NaN            NaN            NaN
  1390.83        2500.00                 NaN   98.6948                 NaN            NaN  0.192069       0.512349                 NaN            NaN  0.214473       0.386322                 NaN            NaN            NaN            NaN
  1389.60        2500.00                 NaN   98.7295                 NaN            NaN  0.614791                 NaN            NaN            NaN  0.271014       0.384731                 NaN            NaN            NaN            NaN
  1388.37        2500.00                 NaN   97.4070                 NaN            NaN   1.24208                 NaN            NaN            NaN  0.564479       0.786456                 NaN            NaN            NaN            NaN
  1387.14        2500.00                 NaN   99.9123                 NaN            NaN  0.419381E-001            NaN            NaN            NaN  0.237623E-001  0.219886E-001            NaN            NaN            NaN            NaN
  1385.91        2500.00                 NaN   98.9551                 NaN            NaN  0.492360                 NaN            NaN            NaN  0.234094       0.318456                 NaN            NaN            NaN            NaN
  1384.68        2500.00                 NaN   98.7711                 NaN            NaN  0.606571                 NaN            NaN            NaN  0.253506       0.368787                 NaN            NaN            NaN            NaN
  1383.46        2500.00                 NaN   98.7722                 NaN            NaN  0.890253E-001  0.544195                 NaN            NaN  0.229190       0.365435                 NaN            NaN            NaN            NaN
  1382.23        2500.00                 NaN   98.8016                 NaN            NaN  0.588477                 NaN            NaN            NaN  0.251275       0.358616                 NaN            NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.7928                 NaN            NaN  0.582809                 NaN            NaN            NaN  0.260415       0.363948                 NaN            NaN            NaN            NaN
  1379.77        2500.00                 NaN   98.8243                 NaN            NaN  0.566542                 NaN            NaN            NaN  0.256019       0.353133                 NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   98.8349                 NaN            NaN  0.566105                 NaN            NaN            NaN  0.249537       0.349427                 NaN            NaN            NaN            NaN
  1377.31        2500.00                 NaN   98.8464                 NaN            NaN  0.571717                 NaN            NaN            NaN  0.239047       0.342814                 NaN            NaN            NaN            NaN
  1376.08        2500.00                 NaN   98.8448                 NaN            NaN  0.573088                 NaN            NaN            NaN  0.238574       0.343546                 NaN            NaN            NaN            NaN
  1374.85        2500.00                 NaN   98.8552                 NaN            NaN  0.564921                 NaN            NaN            NaN  0.239481       0.340441                 NaN            NaN            NaN            NaN
  1373.62        2500.00                 NaN   98.8644                 NaN            NaN  0.561048                 NaN            NaN            NaN  0.235729       0.338837                 NaN            NaN            NaN            NaN
  1372.39        2500.00                 NaN   98.8806                 NaN            NaN  0.561389                 NaN            NaN            NaN  0.227951       0.330085                 NaN            NaN            NaN            NaN
  1371.16        2500.00                 NaN   98.8625                 NaN            NaN  0.556773                 NaN            NaN            NaN  0.241225       0.339496                 NaN            NaN            NaN            NaN
  1369.94        2500.00                 NaN   98.9173                 NaN            NaN  0.533312                 NaN            NaN            NaN  0.230494       0.318845                 NaN            NaN            NaN            NaN
  1368.71        2500.00                 NaN   98.9008                 NaN            NaN  0.544579                 NaN            NaN            NaN  0.229806       0.324779                 NaN            NaN            NaN            NaN
  1367.48        2500.00                 NaN   98.9132                 NaN            NaN  0.540861                 NaN            NaN            NaN  0.225888       0.320041                 NaN            NaN            NaN            NaN
  1366.25        2500.00                 NaN   98.9333                 NaN            NaN  0.536593                 NaN            NaN            NaN  0.210621       0.319487                 NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   98.9134                 NaN            NaN  0.543085                 NaN            NaN            NaN  0.230593       0.312946                 NaN            NaN            NaN            NaN
  1363.79        2500.00                 NaN   98.9358                 NaN            NaN  0.534741                 NaN            NaN            NaN  0.217753       0.311712                 NaN            NaN            NaN            NaN
  1362.56        2500.00                 NaN   98.9439                 NaN            NaN  0.529967                 NaN            NaN            NaN  0.217031       0.309147                 NaN            NaN            NaN            NaN
  1361.33        2500.00                 NaN   98.9537                 NaN            NaN  0.527091                 NaN            NaN            NaN  0.213633       0.305586                 NaN            NaN            NaN            NaN
  1360.10        2500.00                 NaN   98.9597                 NaN            NaN  0.525009                 NaN            NaN            NaN  0.211944       0.303380                 NaN            NaN            NaN            NaN
  1358.87        2500.00                 NaN   98.9669                 NaN            NaN  0.527145                 NaN            NaN            NaN  0.206000       0.299957                 NaN            NaN            NaN            NaN
  1357.65        2500.00                 NaN   98.9747                 NaN            NaN  0.518468                 NaN            NaN            NaN  0.208731       0.298123                 NaN            NaN            NaN            NaN
  1356.42        2500.00                 NaN   99.0102                 NaN            NaN  0.482822                 NaN            NaN            NaN  0.214988       0.291947                 NaN            NaN            NaN            NaN
  1355.19        2500.00                 NaN   98.9541                 NaN            NaN  0.565110                 NaN            NaN            NaN  0.187383       0.293369                 NaN            NaN            NaN            NaN
  1353.96        2500.00                 NaN   98.9983                 NaN            NaN  0.511840                 NaN            NaN            NaN  0.200455       0.289371                 NaN            NaN            NaN            NaN
  1352.73        2500.00                 NaN   99.0065                 NaN            NaN  0.505165                 NaN            NaN            NaN  0.201395       0.286892                 NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.0123                 NaN            NaN  0.506207                 NaN            NaN            NaN  0.197142       0.284362                 NaN            NaN            NaN            NaN
  1350.27        2500.00                 NaN   99.0198                 NaN            NaN  0.500405                 NaN            NaN            NaN  0.197770       0.282038                 NaN            NaN            NaN            NaN
  1349.04        2500.00                 NaN   99.0277                 NaN            NaN  0.503348                 NaN            NaN            NaN  0.190403       0.278518                 NaN            NaN            NaN            NaN
  1347.81        2500.00                 NaN   99.0325                 NaN            NaN  0.500985                 NaN            NaN            NaN  0.189449       0.277019                 NaN            NaN            NaN            NaN
  1346.58        2500.00                 NaN   99.0397                 NaN            NaN  0.499421                 NaN            NaN            NaN  0.186661       0.274238                 NaN            NaN            NaN            NaN
  1345.36        2500.00                 NaN   99.0461                 NaN            NaN  0.496537                 NaN            NaN            NaN  0.185416       0.271982                 NaN            NaN            NaN            NaN
  1344.13        2500.00                 NaN   99.0529                 NaN            NaN  0.492466                 NaN            NaN            NaN  0.184739       0.269845                 NaN            NaN            NaN            NaN
  1342.90        2500.00                 NaN   99.0595                 NaN            NaN  0.493891                 NaN            NaN            NaN  0.179708       0.266911                 NaN            NaN            NaN            NaN
  1341.67        2500.00                 NaN   99.0649                 NaN            NaN  0.491946                 NaN            NaN            NaN  0.178117       0.265046                 NaN            NaN            NaN            NaN
  1340.44        2500.00                 NaN   99.0707                 NaN            NaN  0.491635                 NaN            NaN            NaN  0.174931       0.262779                 NaN            NaN            NaN            NaN
  1339.21        2500.00                 NaN   99.0771                 NaN            NaN  0.490173                 NaN            NaN            NaN  0.172336       0.260416                 NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.0826                 NaN            NaN  0.486724                 NaN            NaN            NaN  0.172007       0.258643                 NaN            NaN            NaN            NaN
  1336.75        2500.00                 NaN   99.0893                 NaN            NaN  0.487659                 NaN            NaN            NaN  0.167174       0.255884                 NaN            NaN            NaN            NaN
  1335.52        2500.00                 NaN   99.0928                 NaN            NaN  0.485474                 NaN            NaN            NaN  0.167099       0.254583                 NaN            NaN            NaN            NaN
  1334.29        2500.00                 NaN   99.1010                 NaN            NaN  0.481828                 NaN            NaN            NaN  0.165291       0.251906                 NaN            NaN            NaN            NaN
  1333.07        2500.00                 NaN   99.0994                 NaN            NaN  0.486906                 NaN            NaN            NaN  0.159566       0.251094       0.304828E-002            NaN            NaN            NaN
  1331.84        2500.00                 NaN   99.0039                 NaN            NaN  0.524846                 NaN            NaN            NaN  0.144542       0.269933       0.567729E-001            NaN            NaN            NaN
  1330.61        2500.00                 NaN   99.0130                 NaN            NaN  0.518728                 NaN            NaN            NaN  0.144710       0.267551       0.559651E-001            NaN            NaN            NaN
  1329.38        2500.00                 NaN   99.0222                 NaN            NaN  0.515587                 NaN            NaN            NaN  0.142406       0.264774       0.549998E-001            NaN            NaN            NaN
  1328.15        2500.00                 NaN   99.0309                 NaN            NaN  0.504979                 NaN            NaN            NaN  0.146210       0.263410       0.544779E-001            NaN            NaN            NaN
  1326.92        2500.00                 NaN   99.0433                 NaN            NaN  0.504626                 NaN            NaN            NaN  0.140652       0.258318       0.531491E-001            NaN            NaN            NaN
  1325.69        2500.00                 NaN   99.0516                 NaN            NaN  0.497671                 NaN            NaN            NaN  0.141366       0.256782       0.525349E-001            NaN            NaN            NaN
  1324.46        2500.00                 NaN   99.0604                 NaN            NaN  0.496500                 NaN            NaN            NaN  0.137447       0.254115       0.515093E-001            NaN            NaN            NaN
  1323.23        2500.00                 NaN   99.0696                 NaN            NaN  0.490500                 NaN            NaN            NaN  0.137728       0.251480       0.507380E-001            NaN            NaN            NaN
  1322.00        2500.00                 NaN   99.0783                 NaN            NaN  0.486612                 NaN            NaN            NaN  0.136174       0.249071       0.498917E-001            NaN            NaN            NaN
  1320.77        2500.00                 NaN   99.0876                 NaN            NaN  0.482291                 NaN            NaN            NaN  0.134615       0.246458       0.490591E-001            NaN            NaN            NaN
  1319.55        2500.00                 NaN   99.0954                 NaN            NaN  0.480504                 NaN            NaN            NaN  0.131940       0.244036       0.481432E-001            NaN            NaN            NaN
  1318.32        2500.00                 NaN   99.1041                 NaN            NaN  0.475195                 NaN            NaN            NaN  0.131651       0.241643       0.474109E-001            NaN            NaN            NaN
  1317.09        2500.00                 NaN   99.1126                 NaN            NaN  0.472001                 NaN            NaN            NaN  0.129609       0.239198       0.465711E-001            NaN            NaN            NaN
  1315.86        2500.00                 NaN   99.1206                 NaN            NaN  0.467830                 NaN            NaN            NaN  0.128816       0.236905       0.458370E-001            NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.1287                 NaN            NaN  0.465085                 NaN            NaN            NaN  0.126741       0.234486       0.449907E-001            NaN            NaN            NaN
  1313.40        2500.00                 NaN   99.1366                 NaN            NaN  0.461777                 NaN            NaN            NaN  0.125171       0.232228       0.442000E-001            NaN            NaN            NaN
  1312.17        2500.00                 NaN   99.1443                 NaN            NaN  0.460581                 NaN            NaN            NaN  0.121858       0.229943       0.433590E-001            NaN            NaN            NaN
  1310.94        2500.00                 NaN   99.1514                 NaN            NaN  0.458156                 NaN            NaN            NaN  0.120100       0.227839       0.425504E-001            NaN            NaN            NaN
  1309.71        2500.00                 NaN   99.1602                 NaN            NaN  0.453926                 NaN            NaN            NaN  0.118736       0.225363       0.418249E-001            NaN            NaN            NaN
  1308.48        2500.00                 NaN   99.1672                 NaN            NaN  0.451686                 NaN            NaN            NaN  0.116710       0.223307       0.410519E-001            NaN            NaN            NaN
  1307.26        2500.00                 NaN   99.1741                 NaN            NaN  0.448611                 NaN            NaN            NaN  0.115647       0.221261       0.403678E-001            NaN            NaN            NaN
  1306.03        2500.00                 NaN   99.1820                 NaN            NaN  0.446103                 NaN            NaN            NaN  0.113317       0.218991       0.395524E-001            NaN            NaN            NaN
  1304.80        2500.00                 NaN   99.1894                 NaN            NaN  0.444698                 NaN            NaN            NaN  0.110107       0.217043       0.387935E-001            NaN            NaN            NaN
  1303.57        2500.00                 NaN   99.1960                 NaN            NaN  0.443033                 NaN            NaN            NaN  0.108240       0.214728       0.379837E-001            NaN            NaN            NaN
  1302.34        2500.00                 NaN   75.9951                 NaN            NaN   5.56896                 NaN            NaN            NaN   1.55278        3.17813       0.808860        12.8961                 NaN            NaN
  1301.11        2500.00                 NaN   75.5813                 NaN            NaN   5.65338                 NaN            NaN            NaN   1.66242        3.22327       0.806840        13.0728                 NaN            NaN
  1299.88        2500.00                 NaN   77.3343                 NaN            NaN   5.29463                 NaN            NaN            NaN   1.59263        2.99385       0.733061        12.0515                 NaN            NaN
  1298.65        2500.00                 NaN   78.9431                 NaN            NaN   4.98328                 NaN            NaN            NaN   1.50559        2.78341       0.666087        11.1185                 NaN            NaN
  1297.42        2500.00                 NaN   80.3626                 NaN            NaN   4.71536                 NaN            NaN            NaN   1.41923        2.59757       0.607595        10.2977                 NaN            NaN
  1296.19        2500.00                 NaN   81.6967                 NaN            NaN   4.46388                 NaN            NaN            NaN   1.32784        2.42276       0.554432        9.53436                 NaN            NaN
  1294.97        2500.00                 NaN   79.2189                 NaN            NaN   4.87936                 NaN            NaN            NaN   1.62708        2.79188       0.639166        10.8436                 NaN            NaN
  1293.74        2500.00                 NaN   88.0251                 NaN            NaN   3.26644                 NaN            NaN            NaN  0.753363        1.53487       0.326782        6.09343                 NaN            NaN
  1292.51        2500.00                 NaN   85.7888                 NaN            NaN   3.63202                 NaN            NaN            NaN   1.01853        1.88265       0.406266        7.27171                 NaN            NaN
  1291.28        2500.00                 NaN   86.1880                 NaN            NaN   3.57133                 NaN            NaN            NaN  0.978701        1.83124       0.389298        7.04145                 NaN            NaN
  1290.05        2500.00                 NaN   85.8133                 NaN            NaN   3.64516                 NaN            NaN            NaN   1.02085        1.89301       0.401773        7.22589                 NaN            NaN
  1288.82        2500.00                 NaN   89.7573                 NaN            NaN   2.78517                 NaN            NaN            NaN  0.683142        1.34813       0.276294        5.14999                 NaN            NaN
  1287.59        2500.00                 NaN   88.8419                 NaN            NaN   3.00171                 NaN            NaN            NaN  0.749952        1.48159       0.302301        5.62254                 NaN            NaN
  1286.36        2500.00                 NaN   89.6765                 NaN            NaN   2.81707                 NaN            NaN            NaN  0.669325        1.37183       0.276879        5.18839                 NaN            NaN
  1285.13        2500.00                 NaN   90.1602                 NaN            NaN   2.65962                 NaN            NaN            NaN  0.634876        1.30990       0.266071        4.96937                 NaN            NaN
  1283.90        2500.00                 NaN   90.8985                 NaN            NaN   2.57202                 NaN            NaN            NaN  0.567585        1.20592       0.236033        4.51999                 NaN            NaN
  1282.68        2500.00                 NaN   91.4284                 NaN            NaN   2.41686                 NaN            NaN            NaN  0.519533        1.13998       0.223087        4.27209                 NaN            NaN
  1281.45        2500.00                 NaN   89.4297                 NaN            NaN   3.36115                 NaN            NaN            NaN            NaN   1.33586       0.315125        5.55815                 NaN            NaN
  1280.22        2500.00                 NaN   88.2667                 NaN            NaN   3.14345                 NaN            NaN            NaN   1.20620        1.69241       0.283115        5.40817                 NaN            NaN
  1278.99        2500.00                 NaN   99.4169                 NaN            NaN  0.147283                 NaN            NaN            NaN  0.265391E-001  0.299128E-001            NaN  0.379356                 NaN            NaN
  1277.76        2500.00                 NaN   91.9861                 NaN            NaN   2.21766                 NaN            NaN            NaN  0.496643        1.05586       0.190746        4.05299                 NaN            NaN
  1276.53        2500.00                 NaN   94.1599                 NaN            NaN   1.94844                 NaN            NaN            NaN  0.155139       0.761607       0.138567        2.83633                 NaN            NaN
  1275.30        2500.00                 NaN   94.1981                 NaN            NaN   1.75806                 NaN            NaN            NaN  0.263767       0.775216       0.141465        2.86336                 NaN            NaN
  1274.07        2500.00                 NaN   90.8512                 NaN            NaN  0.576916                 NaN            NaN            NaN   1.64301        1.39851       0.299591        5.23074                 NaN            NaN
